Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Geschlecht,COMMENT_OBS_1,Bundesland,GeoCode,Value
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Weiblich,,,,9.0
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Weiblich,,,,11.8
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Weiblich,,,,12.9
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Weiblich,,,,11.4
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,11.3
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,10.2
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,8.6
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,7.6
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,7.0
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,6.0
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,|,Männlich,r,,,8.9
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,9.0
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,11.6
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,12.5
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,11.4
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,.,,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,9.3
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,8.7
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,7.5
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,6.8
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,6.7
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,|,,,,,6.7
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,6.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,6.7
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,6.8
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,6.4
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,.,Weiblich,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,9.9
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,9.3
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,7.9
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,7.2
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,7.1
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,7.1
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,6.5
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,7.0
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,7.2
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,6.6
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,.,Männlich,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,8.8
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,8.1
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,7.0
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,6.3
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,6.2
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,6.4
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,6.0
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,6.3
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,6.5
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,6.2
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,5.7
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,4.7
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,3.7
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,3.4
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,3.0
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,|,,,,,4.4
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,4.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,6.2
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,6.9
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,6.2
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,Weiblich,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,6.3
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,5.1
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,4.0
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,3.6
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,3.3
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,|,Weiblich,,,,4.4
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,4.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,6.1
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,6.8
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,6.1
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,Männlich,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,5.0
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,4.3
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,3.5
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,3.2
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,2.6
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,|,Männlich,,,,4.3
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,4.4
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,6.3
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,7.0
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,6.3
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Baden-Württemberg,code08,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Baden-Württemberg,code08,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Baden-Württemberg,code08,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Baden-Württemberg,code08,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Baden-Württemberg,code08,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Baden-Württemberg,code08,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Baden-Württemberg,code08,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Baden-Württemberg,code08,3.4
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Baden-Württemberg,code08,5.2
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Baden-Württemberg,code08,6.1
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Baden-Württemberg,code08,6.8
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bayern,code09,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bayern,code09,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bayern,code09,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bayern,code09,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bayern,code09,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bayern,code09,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bayern,code09,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Bayern,code09,3.1
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Bayern,code09,4.1
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Bayern,code09,4.5
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Bayern,code09,3.4
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Berlin,code11,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Berlin,code11,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Berlin,code11,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Berlin,code11,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Berlin,code11,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Berlin,code11,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Berlin,code11,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Berlin,code11,3.4
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Berlin,code11,5.1
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Berlin,code11,5.7
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Berlin,code11,4.0
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Brandenburg,code12,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Brandenburg,code12,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Brandenburg,code12,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Brandenburg,code12,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Brandenburg,code12,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Brandenburg,code12,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Brandenburg,code12,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Brandenburg,code12,2.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Brandenburg,code12,4.5
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Brandenburg,code12,6.3
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Brandenburg,code12,5.0
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bremen,code04,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bremen,code04,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bremen,code04,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bremen,code04,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bremen,code04,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bremen,code04,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Bremen,code04,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Bremen,code04,9.0
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Bremen,code04,10.4
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Bremen,code04,14.0
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Bremen,code04,10.1
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hamburg,code02,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hamburg,code02,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hamburg,code02,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hamburg,code02,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hamburg,code02,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hamburg,code02,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hamburg,code02,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Hamburg,code02,5.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Hamburg,code02,7.4
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Hamburg,code02,6.7
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Hamburg,code02,6.4
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hessen,code06,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hessen,code06,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hessen,code06,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hessen,code06,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hessen,code06,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hessen,code06,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Hessen,code06,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Hessen,code06,6.0
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Hessen,code06,7.8
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Hessen,code06,7.4
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Hessen,code06,7.0
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Mecklenburg-Vorpommern,code13,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Mecklenburg-Vorpommern,code13,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Mecklenburg-Vorpommern,code13,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Mecklenburg-Vorpommern,code13,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Mecklenburg-Vorpommern,code13,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Mecklenburg-Vorpommern,code13,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Mecklenburg-Vorpommern,code13,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Mecklenburg-Vorpommern,code13,4.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Mecklenburg-Vorpommern,code13,8.4
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Mecklenburg-Vorpommern,code13,8.8
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Mecklenburg-Vorpommern,code13,5.2
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Niedersachsen,code03,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Niedersachsen,code03,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Niedersachsen,code03,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Niedersachsen,code03,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Niedersachsen,code03,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Niedersachsen,code03,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Niedersachsen,code03,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Niedersachsen,code03,4.9
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Niedersachsen,code03,7.3
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Niedersachsen,code03,7.7
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Niedersachsen,code03,7.5
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Nordrhein-Westfalen,code05,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Nordrhein-Westfalen,code05,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Nordrhein-Westfalen,code05,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Nordrhein-Westfalen,code05,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Nordrhein-Westfalen,code05,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Nordrhein-Westfalen,code05,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Nordrhein-Westfalen,code05,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Nordrhein-Westfalen,code05,5.8
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Nordrhein-Westfalen,code05,8.5
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Nordrhein-Westfalen,code05,9.1
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Nordrhein-Westfalen,code05,7.8
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Rheinland-Pfalz,code07,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Rheinland-Pfalz,code07,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Rheinland-Pfalz,code07,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Rheinland-Pfalz,code07,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Rheinland-Pfalz,code07,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Rheinland-Pfalz,code07,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Rheinland-Pfalz,code07,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Rheinland-Pfalz,code07,3.9
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Rheinland-Pfalz,code07,5.7
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Rheinland-Pfalz,code07,7.4
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Rheinland-Pfalz,code07,7.3
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Saarland,code10,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Saarland,code10,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Saarland,code10,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Saarland,code10,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Saarland,code10,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Saarland,code10,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Saarland,code10,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Saarland,code10,3.0
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Saarland,code10,5.8
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Saarland,code10,9.0
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Saarland,code10,8.4
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen,code14,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen,code14,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen,code14,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen,code14,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen,code14,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen,code14,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen,code14,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Sachsen,code14,2.8
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Sachsen,code14,2.6
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Sachsen,code14,4.4
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Sachsen,code14,4.3
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen-Anhalt,code15,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen-Anhalt,code15,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen-Anhalt,code15,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen-Anhalt,code15,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen-Anhalt,code15,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen-Anhalt,code15,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Sachsen-Anhalt,code15,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Sachsen-Anhalt,code15,3.1
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Sachsen-Anhalt,code15,5.1
