Year,Units,COMMENT_OBS_0,länder,GeoCode,Value
2008,percentage,.,lower saxony,code03,
2010,percentage,.,lower saxony,code03,
2011,percentage,.,lower saxony,code03,
2013,percentage,.,lower saxony,code03,
2014,percentage,.,lower saxony,code03,
2016,percentage,.,lower saxony,code03,
2017,percentage,.,lower saxony,code03,
2019,percentage,.,lower saxony,code03,
2020,percentage,.,lower saxony,code03,
2006,percentage,,north rhine-westphalia,code05,7.977
2009,percentage,,north rhine-westphalia,code05,8.067
2012,percentage,,north rhine-westphalia,code05,8.122
2015,percentage,,north rhine-westphalia,code05,8.158
2018,percentage,,north rhine-westphalia,code05,9.726
2021,percentage,,north rhine-westphalia,code05,9.169
2007,percentage,.,north rhine-westphalia,code05,
2008,percentage,.,north rhine-westphalia,code05,
2010,percentage,.,north rhine-westphalia,code05,
2011,percentage,.,north rhine-westphalia,code05,
2013,percentage,.,north rhine-westphalia,code05,
2014,percentage,.,north rhine-westphalia,code05,
2016,percentage,.,north rhine-westphalia,code05,
2017,percentage,.,north rhine-westphalia,code05,
2019,percentage,.,north rhine-westphalia,code05,
2020,percentage,.,north rhine-westphalia,code05,
2006,percentage,,rhineland palatinate,code07,3.948
2009,percentage,,rhineland palatinate,code07,4.025
2012,percentage,,rhineland palatinate,code07,4.089
2015,percentage,,rhineland palatinate,code07,4.12
2018,percentage,,rhineland palatinate,code07,5.048
2021,percentage,,rhineland palatinate,code07,4.897
2007,percentage,.,rhineland palatinate,code07,
2008,percentage,.,rhineland palatinate,code07,
2010,percentage,.,rhineland palatinate,code07,
2011,percentage,.,rhineland palatinate,code07,
2013,percentage,.,rhineland palatinate,code07,
2014,percentage,.,rhineland palatinate,code07,
2016,percentage,.,rhineland palatinate,code07,
2017,percentage,.,rhineland palatinate,code07,
2019,percentage,.,rhineland palatinate,code07,
2020,percentage,.,rhineland palatinate,code07,
2006,percentage,,saarland,code10,6.52
2009,percentage,,saarland,code10,6.772
2012,percentage,,saarland,code10,6.85
2015,percentage,,saarland,code10,6.895
2018,percentage,,saarland,code10,8.932
2021,percentage,,saarland,code10,8.589
2007,percentage,.,saarland,code10,
2008,percentage,.,saarland,code10,
2010,percentage,.,saarland,code10,
2011,percentage,.,saarland,code10,
2013,percentage,.,saarland,code10,
2014,percentage,.,saarland,code10,
2016,percentage,.,saarland,code10,
2017,percentage,.,saarland,code10,
2019,percentage,.,saarland,code10,
2020,percentage,.,saarland,code10,
2006,percentage,,saxony,code14,4.73
2009,percentage,,saxony,code14,4.757
2012,percentage,,saxony,code14,4.8
2015,percentage,,saxony,code14,4.831
2018,percentage,,saxony,code14,5.386
2021,percentage,,saxony,code14,4.809
2007,percentage,.,saxony,code14,
2008,percentage,.,saxony,code14,
2010,percentage,.,saxony,code14,
2011,percentage,.,saxony,code14,
2013,percentage,.,saxony,code14,
2014,percentage,.,saxony,code14,
2016,percentage,.,saxony,code14,
2017,percentage,.,saxony,code14,
2019,percentage,.,saxony,code14,
2020,percentage,.,saxony,code14,
2006,percentage,,saxony-anhalt,code15,3.266
2009,percentage,,saxony-anhalt,code15,3.287
2012,percentage,,saxony-anhalt,code15,3.323
2015,percentage,,saxony-anhalt,code15,3.343
2018,percentage,,saxony-anhalt,code15,3.816
2021,percentage,,saxony-anhalt,code15,3.216
2007,percentage,.,saxony-anhalt,code15,
2008,percentage,.,saxony-anhalt,code15,
2010,percentage,.,saxony-anhalt,code15,
2011,percentage,.,saxony-anhalt,code15,
2013,percentage,.,saxony-anhalt,code15,
2014,percentage,.,saxony-anhalt,code15,
2016,percentage,.,saxony-anhalt,code15,
2017,percentage,.,saxony-anhalt,code15,
2019,percentage,.,saxony-anhalt,code15,
2020,percentage,.,saxony-anhalt,code15,
2006,percentage,,schleswig-holstein,code01,3.563
2009,percentage,,schleswig-holstein,code01,3.598
2012,percentage,,schleswig-holstein,code01,3.716
2015,percentage,,schleswig-holstein,code01,3.749
2018,percentage,,schleswig-holstein,code01,4.521
2021,percentage,,schleswig-holstein,code01,4.206
2007,percentage,.,schleswig-holstein,code01,
2008,percentage,.,schleswig-holstein,code01,
2010,percentage,.,schleswig-holstein,code01,
2011,percentage,.,schleswig-holstein,code01,
2013,percentage,.,schleswig-holstein,code01,
2014,percentage,.,schleswig-holstein,code01,
2016,percentage,.,schleswig-holstein,code01,
2017,percentage,.,schleswig-holstein,code01,
2019,percentage,.,schleswig-holstein,code01,
2020,percentage,.,schleswig-holstein,code01,
2006,percentage,,thuringia,code16,3.147
2009,percentage,,thuringia,code16,3.168
2012,percentage,,thuringia,code16,3.214
2015,percentage,,thuringia,code16,3.24
2018,percentage,,thuringia,code16,3.709
2021,percentage,,thuringia,code16,3.22
2007,percentage,.,thuringia,code16,
2008,percentage,.,thuringia,code16,
2010,percentage,.,thuringia,code16,
2011,percentage,.,thuringia,code16,
2013,percentage,.,thuringia,code16,
2014,percentage,.,thuringia,code16,
2016,percentage,.,thuringia,code16,
2017,percentage,.,thuringia,code16,
2019,percentage,.,thuringia,code16,
2020,percentage,.,thuringia,code16,
