Year,Units,Time series,Area,Federal state,GeoCode,Value
2021,Gini coefficient,Gini coefficient of wealth,Germany,,,0.727
2022,Gini coefficient,Gini coefficient of wealth,Germany,,,
2023,Gini coefficient,Gini coefficient of wealth,Germany,,,
2007,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2008,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2009,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2010,Gini coefficient,Gini coefficient of wealth,Eurozone,,,0.68
2011,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2012,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2013,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2014,Gini coefficient,Gini coefficient of wealth,Eurozone,,,0.685
2015,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2016,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2017,Gini coefficient,Gini coefficient of wealth,Eurozone,,,0.695
2018,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2019,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2020,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2021,Gini coefficient,Gini coefficient of wealth,Eurozone,,,0.694
2022,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2023,Gini coefficient,Gini coefficient of wealth,Eurozone,,,
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Baden-Wuerttemberg,code08,0.29
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Baden-Wuerttemberg,code08,0.29
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Baden-Wuerttemberg,code08,0.29
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Baden-Wuerttemberg,code08,0.29
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Bavaria,code09,0.29
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Bavaria,code09,0.3
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Bavaria,code09,0.3
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Bavaria,code09,0.3
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Berlin,code11,0.32
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Berlin,code11,0.32
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Berlin,code11,0.31
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Berlin,code11,0.32
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Brandenburg,code12,0.28
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Brandenburg,code12,0.28
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Brandenburg,code12,0.27
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Brandenburg,code12,0.27
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Bremen,code04,0.32
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Bremen,code04,0.33
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Bremen,code04,0.31
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Bremen,code04,0.31
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Hamburg,code02,0.31
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Hamburg,code02,0.33
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Hamburg,code02,0.33
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Hamburg,code02,0.32
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Hesse,code06,0.32
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Hesse,code06,0.32
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Hesse,code06,0.31
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Hesse,code06,0.32
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Mecklenburg Western Pomerania,code13,0.26
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Mecklenburg Western Pomerania,code13,0.25
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Mecklenburg Western Pomerania,code13,0.25
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Mecklenburg Western Pomerania,code13,0.26
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Lower Saxony,code03,0.29
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Lower Saxony,code03,0.3
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Lower Saxony,code03,0.3
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Lower Saxony,code03,0.29
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,North Rhine-Westphalia,code05,0.3
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,North Rhine-Westphalia,code05,0.32
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,North Rhine-Westphalia,code05,0.32
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,North Rhine-Westphalia,code05,0.31
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Rhineland Palatinate,code07,0.29
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Rhineland Palatinate,code07,0.29
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Rhineland Palatinate,code07,0.3
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Rhineland Palatinate,code07,0.29
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saarland,code10,0.28
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saarland,code10,0.29
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saarland,code10,0.29
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saarland,code10,0.29
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saxony,code14,0.25
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saxony,code14,0.26
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saxony,code14,0.25
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saxony,code14,0.25
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saxony-Anhalt,code15,0.26
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saxony-Anhalt,code15,0.26
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saxony-Anhalt,code15,0.26
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Saxony-Anhalt,code15,0.26
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Schleswig-Holstein,code01,0.29
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Schleswig-Holstein,code01,0.29
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Schleswig-Holstein,code01,0.3
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Schleswig-Holstein,code01,0.3
2020,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Thuringia,code16,0.25
2021,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Thuringia,code16,0.26
2022,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Thuringia,code16,0.25
2023,Gini coefficient,Gini coefficient of equivalised disposable income before social transfers,,Thuringia,code16,0.25
