Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Federal state,GeoCode,Value
2019,Percentage,r,p,Baden-Wuerttemberg,code08,22.968
2020,Percentage,p,,Baden-Wuerttemberg,code08,22.973
2021,Percentage,,,Baden-Wuerttemberg,code08,22.857
2022,Percentage,…,,Baden-Wuerttemberg,code08,
2023,Percentage,…,,Baden-Wuerttemberg,code08,
2024,Percentage,…,,Baden-Wuerttemberg,code08,
1991,Percentage,,,Bavaria,code09,28.111
1992,Percentage,,,Bavaria,code09,27.402
1993,Percentage,,,Bavaria,code09,24.581
1994,Percentage,,,Bavaria,code09,25.283
1995,Percentage,,,Bavaria,code09,24.778
1996,Percentage,,,Bavaria,code09,24.414
1997,Percentage,,,Bavaria,code09,22.886
1998,Percentage,,,Bavaria,code09,23.711
1999,Percentage,,,Bavaria,code09,23.508
2000,Percentage,,,Bavaria,code09,24.274
2001,Percentage,,,Bavaria,code09,23.04
2002,Percentage,,,Bavaria,code09,21.684
2003,Percentage,,,Bavaria,code09,22.353
2004,Percentage,,,Bavaria,code09,21.328
2005,Percentage,,,Bavaria,code09,20.428
2006,Percentage,,,Bavaria,code09,23.701
2007,Percentage,,,Bavaria,code09,22.939
2008,Percentage,,,Bavaria,code09,23.153
2009,Percentage,,,Bavaria,code09,21.517
2010,Percentage,,,Bavaria,code09,21.601
2011,Percentage,,,Bavaria,code09,23.155
2012,Percentage,,,Bavaria,code09,22.917
2013,Percentage,,,Bavaria,code09,22.661
2014,Percentage,,,Bavaria,code09,23.017
2015,Percentage,,,Bavaria,code09,23.145
2016,Percentage,,,Bavaria,code09,22.95
2017,Percentage,,,Bavaria,code09,23.508
2018,Percentage,r,,Bavaria,code09,24.398
2019,Percentage,r,p,Bavaria,code09,23.973
2020,Percentage,p,,Bavaria,code09,25.178
2021,Percentage,,,Bavaria,code09,24.533
2022,Percentage,…,,Bavaria,code09,
2023,Percentage,…,,Bavaria,code09,
2024,Percentage,…,,Bavaria,code09,
1991,Percentage,,,Berlin,code11,22.483
1992,Percentage,,,Berlin,code11,23.048
1993,Percentage,,,Berlin,code11,21.858
1994,Percentage,,,Berlin,code11,20.362
1995,Percentage,,,Berlin,code11,20.46
1996,Percentage,,,Berlin,code11,24.503
1997,Percentage,,,Berlin,code11,28.102
1998,Percentage,,,Berlin,code11,22.954
1999,Percentage,,,Berlin,code11,22.324
2000,Percentage,,,Berlin,code11,20.846
2001,Percentage,,,Berlin,code11,19.104
2002,Percentage,,,Berlin,code11,16.373
2003,Percentage,,,Berlin,code11,14.583
2004,Percentage,,,Berlin,code11,15.739
2005,Percentage,,,Berlin,code11,17.679
2006,Percentage,,,Berlin,code11,17.275
2007,Percentage,,,Berlin,code11,17.789
2008,Percentage,,,Berlin,code11,17.263
2009,Percentage,,,Berlin,code11,16.802
2010,Percentage,,,Berlin,code11,17.02
2011,Percentage,,,Berlin,code11,16.361
2012,Percentage,,,Berlin,code11,18.615
2013,Percentage,,,Berlin,code11,18.284
2014,Percentage,,,Berlin,code11,19.307
2015,Percentage,,,Berlin,code11,19.771
2016,Percentage,,,Berlin,code11,19.348
2017,Percentage,,,Berlin,code11,18.491
2018,Percentage,r,,Berlin,code11,19.133
2019,Percentage,r,p,Berlin,code11,19.191
2020,Percentage,p,,Berlin,code11,18.824
2021,Percentage,,,Berlin,code11,18.98
2022,Percentage,…,,Berlin,code11,
2023,Percentage,…,,Berlin,code11,
2024,Percentage,…,,Berlin,code11,
1991,Percentage,,,Brandenburg,code12,41.352
1992,Percentage,,,Brandenburg,code12,44.822
1993,Percentage,,,Brandenburg,code12,49.554
1994,Percentage,,,Brandenburg,code12,51.913
1995,Percentage,,,Brandenburg,code12,46.895
1996,Percentage,,,Brandenburg,code12,48.102
1997,Percentage,,,Brandenburg,code12,45.026
1998,Percentage,,,Brandenburg,code12,43.923
1999,Percentage,,,Brandenburg,code12,40.894
2000,Percentage,,,Brandenburg,code12,37.354
2001,Percentage,,,Brandenburg,code12,30.734
2002,Percentage,,,Brandenburg,code12,27.14
2003,Percentage,,,Brandenburg,code12,24.075
2004,Percentage,,,Brandenburg,code12,23.728
2005,Percentage,,,Brandenburg,code12,23.135
2006,Percentage,,,Brandenburg,code12,23.34
2007,Percentage,,,Brandenburg,code12,21.829
2008,Percentage,,,Brandenburg,code12,22.336
2009,Percentage,,,Brandenburg,code12,19.879
2010,Percentage,,,Brandenburg,code12,20.472
2011,Percentage,,,Brandenburg,code12,20.634
2012,Percentage,,,Brandenburg,code12,22.353
2013,Percentage,,,Brandenburg,code12,20.981
2014,Percentage,,,Brandenburg,code12,21.561
2015,Percentage,,,Brandenburg,code12,22.073
2016,Percentage,,,Brandenburg,code12,23.475
2017,Percentage,,,Brandenburg,code12,23.486
2018,Percentage,r,,Brandenburg,code12,24.609
2019,Percentage,r,p,Brandenburg,code12,24.106
2020,Percentage,p,,Brandenburg,code12,25.284
2021,Percentage,,,Brandenburg,code12,26.081
2022,Percentage,…,,Brandenburg,code12,
2023,Percentage,…,,Brandenburg,code12,
2024,Percentage,…,,Brandenburg,code12,
1991,Percentage,,,Bremen,code04,18.101
1992,Percentage,,,Bremen,code04,17.479
1993,Percentage,,,Bremen,code04,18.324
1994,Percentage,,,Bremen,code04,15.38
1995,Percentage,,,Bremen,code04,14.646
1996,Percentage,,,Bremen,code04,15.704
1997,Percentage,,,Bremen,code04,14.922
1998,Percentage,,,Bremen,code04,15.947
1999,Percentage,,,Bremen,code04,17.948
2000,Percentage,,,Bremen,code04,18.091
2001,Percentage,,,Bremen,code04,16.924
2002,Percentage,,,Bremen,code04,17.014
2003,Percentage,,,Bremen,code04,13.298
2004,Percentage,,,Bremen,code04,15.415
2005,Percentage,,,Bremen,code04,14.245
2006,Percentage,,,Bremen,code04,14.905
2007,Percentage,,,Bremen,code04,15.077
2008,Percentage,,,Bremen,code04,15.304
2009,Percentage,,,Bremen,code04,14.429
2010,Percentage,,,Bremen,code04,14.812
2011,Percentage,,,Bremen,code04,14.408
2012,Percentage,,,Bremen,code04,18.683
2013,Percentage,,,Bremen,code04,16.268
2014,Percentage,,,Bremen,code04,13.807
2015,Percentage,,,Bremen,code04,16.827
2016,Percentage,,,Bremen,code04,15.843
2017,Percentage,,,Bremen,code04,14.008
2018,Percentage,r,,Bremen,code04,16.139
2019,Percentage,r,p,Bremen,code04,16.915
2020,Percentage,p,,Bremen,code04,15.614
2021,Percentage,,,Bremen,code04,15.185
2022,Percentage,…,,Bremen,code04,
2023,Percentage,…,,Bremen,code04,
2024,Percentage,…,,Bremen,code04,
1991,Percentage,,,Hamburg,code02,16.468
1992,Percentage,,,Hamburg,code02,18.111
1993,Percentage,,,Hamburg,code02,17.08
1994,Percentage,,,Hamburg,code02,15.442
1995,Percentage,,,Hamburg,code02,14.19
1996,Percentage,,,Hamburg,code02,14.041
1997,Percentage,,,Hamburg,code02,14.723
1998,Percentage,,,Hamburg,code02,15.647
1999,Percentage,,,Hamburg,code02,14.84
2000,Percentage,,,Hamburg,code02,16.317
2001,Percentage,,,Hamburg,code02,17.949
2002,Percentage,,,Hamburg,code02,19.162
2003,Percentage,,,Hamburg,code02,18.373
2004,Percentage,,,Hamburg,code02,21.448
2005,Percentage,,,Hamburg,code02,22.596
2006,Percentage,,,Hamburg,code02,23.381
2007,Percentage,,,Hamburg,code02,25.626
2008,Percentage,,,Hamburg,code02,26.45
2009,Percentage,,,Hamburg,code02,20.363
2010,Percentage,,,Hamburg,code02,24.492
2011,Percentage,,,Hamburg,code02,20.894
2012,Percentage,,,Hamburg,code02,20.523
2013,Percentage,,,Hamburg,code02,21.109
2014,Percentage,,,Hamburg,code02,21.322
2015,Percentage,,,Hamburg,code02,21.613
2016,Percentage,,,Hamburg,code02,19.742
2017,Percentage,,,Hamburg,code02,16.015
2018,Percentage,r,,Hamburg,code02,18.165
2019,Percentage,r,p,Hamburg,code02,18.498
2020,Percentage,p,,Hamburg,code02,17.513
2021,Percentage,,,Hamburg,code02,15.24
2022,Percentage,…,,Hamburg,code02,
2023,Percentage,…,,Hamburg,code02,
2024,Percentage,…,,Hamburg,code02,
1991,Percentage,,,Hesse,code06,21.9
1992,Percentage,,,Hesse,code06,21.425
1993,Percentage,,,Hesse,code06,20.49
1994,Percentage,,,Hesse,code06,18.323
1995,Percentage,,,Hesse,code06,18.695
1996,Percentage,,,Hesse,code06,17.431
1997,Percentage,,,Hesse,code06,18.025
1998,Percentage,,,Hesse,code06,18.359
1999,Percentage,,,Hesse,code06,18.625
2000,Percentage,,,Hesse,code06,18.397
2001,Percentage,,,Hesse,code06,18.735
2002,Percentage,,,Hesse,code06,17.016
2003,Percentage,,,Hesse,code06,16.22
2004,Percentage,,,Hesse,code06,16.325
2005,Percentage,,,Hesse,code06,17.927
2006,Percentage,,,Hesse,code06,17.411
2007,Percentage,,,Hesse,code06,18.294
2008,Percentage,,,Hesse,code06,20.031
2009,Percentage,,,Hesse,code06,16.73
2010,Percentage,,,Hesse,code06,17.583
2011,Percentage,,,Hesse,code06,19.185
2012,Percentage,,,Hesse,code06,17.674
2013,Percentage,,,Hesse,code06,17.872
2014,Percentage,,,Hesse,code06,17.333
2015,Percentage,,,Hesse,code06,17.145
2016,Percentage,,,Hesse,code06,18.049
2017,Percentage,,,Hesse,code06,18.512
2018,Percentage,r,,Hesse,code06,18.565
2019,Percentage,r,p,Hesse,code06,18.651
2020,Percentage,p,,Hesse,code06,19.982
2021,Percentage,,,Hesse,code06,19.335
2022,Percentage,…,,Hesse,code06,
2023,Percentage,…,,Hesse,code06,
2024,Percentage,…,,Hesse,code06,
1991,Percentage,,,Mecklenburg Western Pomerania,code13,49.473
1992,Percentage,,,Mecklenburg Western Pomerania,code13,61.605
1993,Percentage,,,Mecklenburg Western Pomerania,code13,60.163
1994,Percentage,,,Mecklenburg Western Pomerania,code13,57.591
1995,Percentage,,,Mecklenburg Western Pomerania,code13,54.99
1996,Percentage,,,Mecklenburg Western Pomerania,code13,48.117
1997,Percentage,,,Mecklenburg Western Pomerania,code13,43.658
1998,Percentage,,,Mecklenburg Western Pomerania,code13,40.509
1999,Percentage,,,Mecklenburg Western Pomerania,code13,37.437
2000,Percentage,,,Mecklenburg Western Pomerania,code13,35.324
2001,Percentage,,,Mecklenburg Western Pomerania,code13,30.18
2002,Percentage,,,Mecklenburg Western Pomerania,code13,26.25
2003,Percentage,,,Mecklenburg Western Pomerania,code13,25.353
2004,Percentage,,,Mecklenburg Western Pomerania,code13,25.032
2005,Percentage,,,Mecklenburg Western Pomerania,code13,26.883
2006,Percentage,,,Mecklenburg Western Pomerania,code13,27.573
2007,Percentage,,,Mecklenburg Western Pomerania,code13,23.026
2008,Percentage,,,Mecklenburg Western Pomerania,code13,23.738
2009,Percentage,,,Mecklenburg Western Pomerania,code13,21.049
2010,Percentage,,,Mecklenburg Western Pomerania,code13,22.211
2011,Percentage,,,Mecklenburg Western Pomerania,code13,24.203
2012,Percentage,,,Mecklenburg Western Pomerania,code13,23.575
2013,Percentage,,,Mecklenburg Western Pomerania,code13,20.589
2014,Percentage,,,Mecklenburg Western Pomerania,code13,21.477
2015,Percentage,,,Mecklenburg Western Pomerania,code13,21.94
2016,Percentage,,,Mecklenburg Western Pomerania,code13,24.057
2017,Percentage,,,Mecklenburg Western Pomerania,code13,22.851
2018,Percentage,r,,Mecklenburg Western Pomerania,code13,25.477
2019,Percentage,r,p,Mecklenburg Western Pomerania,code13,27.031
2020,Percentage,p,,Mecklenburg Western Pomerania,code13,25.96
2021,Percentage,,,Mecklenburg Western Pomerania,code13,22.31
2022,Percentage,…,,Mecklenburg Western Pomerania,code13,
2023,Percentage,…,,Mecklenburg Western Pomerania,code13,
2024,Percentage,…,,Mecklenburg Western Pomerania,code13,
1991,Percentage,,,Lower Saxony,code03,27.839
1992,Percentage,,,Lower Saxony,code03,26.368
1993,Percentage,,,Lower Saxony,code03,24.034
1994,Percentage,,,Lower Saxony,code03,23.631
1995,Percentage,,,Lower Saxony,code03,23.374
1996,Percentage,,,Lower Saxony,code03,22.884
1997,Percentage,,,Lower Saxony,code03,23.651
1998,Percentage,,,Lower Saxony,code03,24.758
1999,Percentage,,,Lower Saxony,code03,26.269
2000,Percentage,,,Lower Saxony,code03,26.602
2001,Percentage,,,Lower Saxony,code03,25.32
2002,Percentage,,,Lower Saxony,code03,23.851
2003,Percentage,,,Lower Saxony,code03,24.784
2004,Percentage,,,Lower Saxony,code03,21.699
2005,Percentage,,,Lower Saxony,code03,19.937
2006,Percentage,,,Lower Saxony,code03,20.756
2007,Percentage,,,Lower Saxony,code03,21.499
2008,Percentage,,,Lower Saxony,code03,20.751
2009,Percentage,,,Lower Saxony,code03,22.813
2010,Percentage,,,Lower Saxony,code03,22.36
2011,Percentage,,,Lower Saxony,code03,24.016
2012,Percentage,,,Lower Saxony,code03,24.352
2013,Percentage,,,Lower Saxony,code03,24.354
2014,Percentage,,,Lower Saxony,code03,24.366
2015,Percentage,,,Lower Saxony,code03,24.869
2016,Percentage,,,Lower Saxony,code03,24.668
2017,Percentage,,,Lower Saxony,code03,25.364
2018,Percentage,,,Lower Saxony,code03,24.992
2019,Percentage,r,p,Lower Saxony,code03,27.177
2020,Percentage,p,,Lower Saxony,code03,27.142
2021,Percentage,,,Lower Saxony,code03,27.554
2022,Percentage,…,,Lower Saxony,code03,
2023,Percentage,…,,Lower Saxony,code03,
2024,Percentage,…,,Lower Saxony,code03,
1991,Percentage,,,North Rhine-Westphalia,code05,20.475
1992,Percentage,,,North Rhine-Westphalia,code05,20.25
1993,Percentage,,,North Rhine-Westphalia,code05,18.358
1994,Percentage,,,North Rhine-Westphalia,code05,17.886
1995,Percentage,,,North Rhine-Westphalia,code05,17.089
1996,Percentage,,,North Rhine-Westphalia,code05,17.19
1997,Percentage,,,North Rhine-Westphalia,code05,17.097
1998,Percentage,,,North Rhine-Westphalia,code05,17.729
1999,Percentage,,,North Rhine-Westphalia,code05,19.248
2000,Percentage,,,North Rhine-Westphalia,code05,19.702
2001,Percentage,,,North Rhine-Westphalia,code05,19.033
2002,Percentage,,,North Rhine-Westphalia,code05,17.127
2003,Percentage,,,North Rhine-Westphalia,code05,16.275
2004,Percentage,,,North Rhine-Westphalia,code05,15.739
2005,Percentage,,,North Rhine-Westphalia,code05,16.743
2006,Percentage,,,North Rhine-Westphalia,code05,16.187
2007,Percentage,,,North Rhine-Westphalia,code05,16.316
2008,Percentage,,,North Rhine-Westphalia,code05,16.315
2009,Percentage,,,North Rhine-Westphalia,code05,15.889
2010,Percentage,,,North Rhine-Westphalia,code05,15.975
2011,Percentage,,,North Rhine-Westphalia,code05,16.625
2012,Percentage,,,North Rhine-Westphalia,code05,15.916
2013,Percentage,,,North Rhine-Westphalia,code05,15.783
2014,Percentage,,,North Rhine-Westphalia,code05,16.052
2015,Percentage,,,North Rhine-Westphalia,code05,15.666
2016,Percentage,,,North Rhine-Westphalia,code05,16.07
2017,Percentage,,,North Rhine-Westphalia,code05,16.542
2018,Percentage,r,,North Rhine-Westphalia,code05,16.749
2019,Percentage,r,p,North Rhine-Westphalia,code05,16.632
2020,Percentage,p,,North Rhine-Westphalia,code05,16.426
2021,Percentage,,,North Rhine-Westphalia,code05,16.944
2022,Percentage,…,,North Rhine-Westphalia,code05,
2023,Percentage,…,,North Rhine-Westphalia,code05,
2024,Percentage,…,,North Rhine-Westphalia,code05,
1991,Percentage,,,Rhineland Palatinate,code07,23.665
1992,Percentage,,,Rhineland Palatinate,code07,22.696
1993,Percentage,,,Rhineland Palatinate,code07,21.935
1994,Percentage,,,Rhineland Palatinate,code07,22.741
1995,Percentage,,,Rhineland Palatinate,code07,22.863
1996,Percentage,,,Rhineland Palatinate,code07,21.164
1997,Percentage,,,Rhineland Palatinate,code07,21.785
1998,Percentage,,,Rhineland Palatinate,code07,22.846
1999,Percentage,,,Rhineland Palatinate,code07,23.222
2000,Percentage,,,Rhineland Palatinate,code07,23.905
2001,Percentage,,,Rhineland Palatinate,code07,21.926
2002,Percentage,,,Rhineland Palatinate,code07,21.826
2003,Percentage,,,Rhineland Palatinate,code07,19.537
2004,Percentage,,,Rhineland Palatinate,code07,18.862
2005,Percentage,,,Rhineland Palatinate,code07,18.662
2006,Percentage,,,Rhineland Palatinate,code07,19.412
2007,Percentage,,,Rhineland Palatinate,code07,20.346
2008,Percentage,,,Rhineland Palatinate,code07,20.192
2009,Percentage,,,Rhineland Palatinate,code07,20.649
2010,Percentage,,,Rhineland Palatinate,code07,19.981
2011,Percentage,,,Rhineland Palatinate,code07,21.129
2012,Percentage,,,Rhineland Palatinate,code07,20.497
2013,Percentage,,,Rhineland Palatinate,code07,21.172
2014,Percentage,,,Rhineland Palatinate,code07,21.368
2015,Percentage,,,Rhineland Palatinate,code07,20.895
2016,Percentage,,,Rhineland Palatinate,code07,20.537
2017,Percentage,,,Rhineland Palatinate,code07,21.026
2018,Percentage,r,,Rhineland Palatinate,code07,22.889
2019,Percentage,r,p,Rhineland Palatinate,code07,22.16
2020,Percentage,p,,Rhineland Palatinate,code07,22.1
2021,Percentage,,,Rhineland Palatinate,code07,23.415
2022,Percentage,…,,Rhineland Palatinate,code07,
2023,Percentage,…,,Rhineland Palatinate,code07,
2024,Percentage,…,,Rhineland Palatinate,code07,
1991,Percentage,,,Saarland,code10,20.715
1992,Percentage,,,Saarland,code10,20.336
1993,Percentage,,,Saarland,code10,18.601
1994,Percentage,,,Saarland,code10,19.635
1995,Percentage,,,Saarland,code10,20.55
1996,Percentage,,,Saarland,code10,21.001
1997,Percentage,,,Saarland,code10,21.216
1998,Percentage,,,Saarland,code10,24.566
1999,Percentage,,,Saarland,code10,23.628
2000,Percentage,,,Saarland,code10,23.37
2001,Percentage,,,Saarland,code10,18.605
2002,Percentage,,,Saarland,code10,18.899
2003,Percentage,,,Saarland,code10,18.754
2004,Percentage,,,Saarland,code10,15.754
2005,Percentage,,,Saarland,code10,15.136
2006,Percentage,,,Saarland,code10,16.21
2007,Percentage,,,Saarland,code10,16.69
2008,Percentage,,,Saarland,code10,16.49
2009,Percentage,,,Saarland,code10,15.022
2010,Percentage,,,Saarland,code10,18.164
2011,Percentage,,,Saarland,code10,17.349
2012,Percentage,,,Saarland,code10,16.892
2013,Percentage,,,Saarland,code10,17.54
2014,Percentage,,,Saarland,code10,17.632
2015,Percentage,,,Saarland,code10,18.07
2016,Percentage,,,Saarland,code10,17.356
2017,Percentage,,,Saarland,code10,16.549
2018,Percentage,r,,Saarland,code10,17.578
2019,Percentage,r,p,Saarland,code10,19.388
2020,Percentage,p,,Saarland,code10,17.733
2021,Percentage,,,Saarland,code10,17.37
2022,Percentage,…,,Saarland,code10,
2023,Percentage,…,,Saarland,code10,
2024,Percentage,…,,Saarland,code10,
1991,Percentage,,,Saxony,code14,42.678
1992,Percentage,,,Saxony,code14,41.581
1993,Percentage,,,Saxony,code14,39.349
1994,Percentage,,,Saxony,code14,46.509
1995,Percentage,,,Saxony,code14,46.064
1996,Percentage,,,Saxony,code14,45.557
1997,Percentage,,,Saxony,code14,43.03
1998,Percentage,,,Saxony,code14,39.023
1999,Percentage,,,Saxony,code14,36.278
2000,Percentage,,,Saxony,code14,35.377
2001,Percentage,,,Saxony,code14,27.214
2002,Percentage,,,Saxony,code14,23.028
2003,Percentage,,,Saxony,code14,22.761
2004,Percentage,,,Saxony,code14,23.155
2005,Percentage,,,Saxony,code14,21.316
2006,Percentage,,,Saxony,code14,20.868
2007,Percentage,,,Saxony,code14,23.751
2008,Percentage,,,Saxony,code14,22.183
2009,Percentage,,,Saxony,code14,20.929
2010,Percentage,,,Saxony,code14,22.612
2011,Percentage,,,Saxony,code14,23.703
2012,Percentage,,,Saxony,code14,23.046
2013,Percentage,,,Saxony,code14,21.224
2014,Percentage,,,Saxony,code14,20.929
2015,Percentage,,,Saxony,code14,19.348
2016,Percentage,,,Saxony,code14,21.197
2017,Percentage,,,Saxony,code14,19.95
2018,Percentage,r,,Saxony,code14,20.517
2019,Percentage,,,Saxony,code14,21.706
2020,Percentage,p,,Saxony,code14,22.245
2021,Percentage,,,Saxony,code14,21.422
2022,Percentage,…,,Saxony,code14,
2023,Percentage,…,,Saxony,code14,
2024,Percentage,…,,Saxony,code14,
1991,Percentage,,,Saxony-Anhalt,code15,42.808
1992,Percentage,,,Saxony-Anhalt,code15,54.176
1993,Percentage,,,Saxony-Anhalt,code15,53.43
1994,Percentage,,,Saxony-Anhalt,code15,54.921
1995,Percentage,,,Saxony-Anhalt,code15,52.905
1996,Percentage,,,Saxony-Anhalt,code15,44.867
1997,Percentage,,,Saxony-Anhalt,code15,41.686
1998,Percentage,,,Saxony-Anhalt,code15,40.97
1999,Percentage,,,Saxony-Anhalt,code15,36.733
2000,Percentage,,,Saxony-Anhalt,code15,33.765
2001,Percentage,,,Saxony-Anhalt,code15,25.808
2002,Percentage,,,Saxony-Anhalt,code15,23.068
2003,Percentage,,,Saxony-Anhalt,code15,22.096
2004,Percentage,,,Saxony-Anhalt,code15,22.227
2005,Percentage,,,Saxony-Anhalt,code15,20.537
2006,Percentage,,,Saxony-Anhalt,code15,18.995
2007,Percentage,,,Saxony-Anhalt,code15,19.524
2008,Percentage,,,Saxony-Anhalt,code15,19.593
2009,Percentage,,,Saxony-Anhalt,code15,21.243
2010,Percentage,,,Saxony-Anhalt,code15,19.825
2011,Percentage,,,Saxony-Anhalt,code15,18.923
2012,Percentage,,,Saxony-Anhalt,code15,19.717
2013,Percentage,,,Saxony-Anhalt,code15,18.742
2014,Percentage,,,Saxony-Anhalt,code15,18.311
2015,Percentage,,,Saxony-Anhalt,code15,18.867
2016,Percentage,,,Saxony-Anhalt,code15,19.003
2017,Percentage,,,Saxony-Anhalt,code15,18.815
2018,Percentage,r,,Saxony-Anhalt,code15,18.687
2019,Percentage,r,p,Saxony-Anhalt,code15,19.548
2020,Percentage,p,,Saxony-Anhalt,code15,19.33
2021,Percentage,,,Saxony-Anhalt,code15,20.338
2022,Percentage,…,,Saxony-Anhalt,code15,
2023,Percentage,…,,Saxony-Anhalt,code15,
2024,Percentage,…,,Saxony-Anhalt,code15,
1991,Percentage,,,Schleswig-Holstein,code01,21.709
1992,Percentage,,,Schleswig-Holstein,code01,22.333
1993,Percentage,,,Schleswig-Holstein,code01,21.227
1994,Percentage,,,Schleswig-Holstein,code01,22.061
1995,Percentage,,,Schleswig-Holstein,code01,22.901
1996,Percentage,,,Schleswig-Holstein,code01,21.373
1997,Percentage,,,Schleswig-Holstein,code01,21.758
1998,Percentage,,,Schleswig-Holstein,code01,23.014
1999,Percentage,,,Schleswig-Holstein,code01,23.786
2000,Percentage,,,Schleswig-Holstein,code01,22.839
2001,Percentage,,,Schleswig-Holstein,code01,20.519
2002,Percentage,,,Schleswig-Holstein,code01,18.327
2003,Percentage,,,Schleswig-Holstein,code01,18.147
2004,Percentage,,,Schleswig-Holstein,code01,17.258
2005,Percentage,,,Schleswig-Holstein,code01,17.375
2006,Percentage,,,Schleswig-Holstein,code01,19.837
2007,Percentage,,,Schleswig-Holstein,code01,19.867
2008,Percentage,,,Schleswig-Holstein,code01,19.911
2009,Percentage,,,Schleswig-Holstein,code01,18.555
2010,Percentage,,,Schleswig-Holstein,code01,21.233
2011,Percentage,,,Schleswig-Holstein,code01,22.71
2012,Percentage,,,Schleswig-Holstein,code01,21.526
2013,Percentage,,,Schleswig-Holstein,code01,18.885
2014,Percentage,,,Schleswig-Holstein,code01,21.483
2015,Percentage,,,Schleswig-Holstein,code01,20.563
2016,Percentage,,,Schleswig-Holstein,code01,23.19
2017,Percentage,,,Schleswig-Holstein,code01,21.467
2018,Percentage,r,,Schleswig-Holstein,code01,21.309
2019,Percentage,r,p,Schleswig-Holstein,code01,23.097
2020,Percentage,p,,Schleswig-Holstein,code01,22.328
2021,Percentage,,,Schleswig-Holstein,code01,21.98
2022,Percentage,…,,Schleswig-Holstein,code01,
2023,Percentage,…,,Schleswig-Holstein,code01,
2024,Percentage,…,,Schleswig-Holstein,code01,
1991,Percentage,,,Thuringia,code16,45.781
1992,Percentage,,,Thuringia,code16,52.463
1993,Percentage,,,Thuringia,code16,55.585
1994,Percentage,,,Thuringia,code16,55.623
1995,Percentage,,,Thuringia,code16,50.165
1996,Percentage,,,Thuringia,code16,39.588
1997,Percentage,,,Thuringia,code16,38.731
1998,Percentage,,,Thuringia,code16,36.758
1999,Percentage,,,Thuringia,code16,38.15
2000,Percentage,,,Thuringia,code16,34.07
2001,Percentage,,,Thuringia,code16,31.701
2002,Percentage,,,Thuringia,code16,26.4
2003,Percentage,,,Thuringia,code16,26.415
2004,Percentage,,,Thuringia,code16,22.372
2005,Percentage,,,Thuringia,code16,23.056
2006,Percentage,,,Thuringia,code16,23.441
2007,Percentage,,,Thuringia,code16,24.13
2008,Percentage,,,Thuringia,code16,26.233
2009,Percentage,,,Thuringia,code16,22.155
