Year,Units,COMMENT_OBS_0,Länder,GeoCode,Value
2013,Percentage,.,Mecklenburg Western Pomerania,code13,
2014,Percentage,.,Mecklenburg Western Pomerania,code13,
2016,Percentage,.,Mecklenburg Western Pomerania,code13,
2017,Percentage,.,Mecklenburg Western Pomerania,code13,
2019,Percentage,.,Mecklenburg Western Pomerania,code13,
2020,Percentage,.,Mecklenburg Western Pomerania,code13,
2006,Percentage,,Lower Saxony,code03,3.612
2009,Percentage,,Lower Saxony,code03,3.669
2012,Percentage,,Lower Saxony,code03,3.731
2015,Percentage,,Lower Saxony,code03,3.766
2018,Percentage,,Lower Saxony,code03,4.647
2021,Percentage,,Lower Saxony,code03,4.207
2007,Percentage,.,Lower Saxony,code03,
2008,Percentage,.,Lower Saxony,code03,
2010,Percentage,.,Lower Saxony,code03,
2011,Percentage,.,Lower Saxony,code03,
2013,Percentage,.,Lower Saxony,code03,
2014,Percentage,.,Lower Saxony,code03,
2016,Percentage,.,Lower Saxony,code03,
2017,Percentage,.,Lower Saxony,code03,
2019,Percentage,.,Lower Saxony,code03,
2020,Percentage,.,Lower Saxony,code03,
2006,Percentage,,North Rhine-Westphalia,code05,7.977
2009,Percentage,,North Rhine-Westphalia,code05,8.067
2012,Percentage,,North Rhine-Westphalia,code05,8.122
2015,Percentage,,North Rhine-Westphalia,code05,8.158
2018,Percentage,,North Rhine-Westphalia,code05,9.726
2021,Percentage,,North Rhine-Westphalia,code05,9.169
2007,Percentage,.,North Rhine-Westphalia,code05,
2008,Percentage,.,North Rhine-Westphalia,code05,
2010,Percentage,.,North Rhine-Westphalia,code05,
2011,Percentage,.,North Rhine-Westphalia,code05,
2013,Percentage,.,North Rhine-Westphalia,code05,
2014,Percentage,.,North Rhine-Westphalia,code05,
2016,Percentage,.,North Rhine-Westphalia,code05,
2017,Percentage,.,North Rhine-Westphalia,code05,
2019,Percentage,.,North Rhine-Westphalia,code05,
2020,Percentage,.,North Rhine-Westphalia,code05,
2006,Percentage,,Rhineland Palatinate,code07,3.948
2009,Percentage,,Rhineland Palatinate,code07,4.025
2012,Percentage,,Rhineland Palatinate,code07,4.089
2015,Percentage,,Rhineland Palatinate,code07,4.12
2018,Percentage,,Rhineland Palatinate,code07,5.048
2021,Percentage,,Rhineland Palatinate,code07,4.897
2007,Percentage,.,Rhineland Palatinate,code07,
2008,Percentage,.,Rhineland Palatinate,code07,
2010,Percentage,.,Rhineland Palatinate,code07,
2011,Percentage,.,Rhineland Palatinate,code07,
2013,Percentage,.,Rhineland Palatinate,code07,
2014,Percentage,.,Rhineland Palatinate,code07,
2016,Percentage,.,Rhineland Palatinate,code07,
2017,Percentage,.,Rhineland Palatinate,code07,
2019,Percentage,.,Rhineland Palatinate,code07,
2020,Percentage,.,Rhineland Palatinate,code07,
2006,Percentage,,Saarland,code10,6.52
2009,Percentage,,Saarland,code10,6.772
2012,Percentage,,Saarland,code10,6.85
2015,Percentage,,Saarland,code10,6.895
2018,Percentage,,Saarland,code10,8.932
2021,Percentage,,Saarland,code10,8.589
2007,Percentage,.,Saarland,code10,
2008,Percentage,.,Saarland,code10,
2010,Percentage,.,Saarland,code10,
2011,Percentage,.,Saarland,code10,
2013,Percentage,.,Saarland,code10,
2014,Percentage,.,Saarland,code10,
2016,Percentage,.,Saarland,code10,
2017,Percentage,.,Saarland,code10,
2019,Percentage,.,Saarland,code10,
2020,Percentage,.,Saarland,code10,
2006,Percentage,,Saxony,code14,4.73
2009,Percentage,,Saxony,code14,4.757
2012,Percentage,,Saxony,code14,4.8
2015,Percentage,,Saxony,code14,4.831
2018,Percentage,,Saxony,code14,5.386
2021,Percentage,,Saxony,code14,4.809
2007,Percentage,.,Saxony,code14,
2008,Percentage,.,Saxony,code14,
2010,Percentage,.,Saxony,code14,
2011,Percentage,.,Saxony,code14,
2013,Percentage,.,Saxony,code14,
2014,Percentage,.,Saxony,code14,
2016,Percentage,.,Saxony,code14,
2017,Percentage,.,Saxony,code14,
2019,Percentage,.,Saxony,code14,
2020,Percentage,.,Saxony,code14,
2006,Percentage,,Saxony-Anhalt,code15,3.266
2009,Percentage,,Saxony-Anhalt,code15,3.287
2012,Percentage,,Saxony-Anhalt,code15,3.323
2015,Percentage,,Saxony-Anhalt,code15,3.343
2018,Percentage,,Saxony-Anhalt,code15,3.816
2021,Percentage,,Saxony-Anhalt,code15,3.216
2007,Percentage,.,Saxony-Anhalt,code15,
2008,Percentage,.,Saxony-Anhalt,code15,
2010,Percentage,.,Saxony-Anhalt,code15,
2011,Percentage,.,Saxony-Anhalt,code15,
2013,Percentage,.,Saxony-Anhalt,code15,
2014,Percentage,.,Saxony-Anhalt,code15,
2016,Percentage,.,Saxony-Anhalt,code15,
2017,Percentage,.,Saxony-Anhalt,code15,
2019,Percentage,.,Saxony-Anhalt,code15,
2020,Percentage,.,Saxony-Anhalt,code15,
2006,Percentage,,Schleswig-Holstein,code01,3.563
2009,Percentage,,Schleswig-Holstein,code01,3.598
2012,Percentage,,Schleswig-Holstein,code01,3.716
2015,Percentage,,Schleswig-Holstein,code01,3.749
2018,Percentage,,Schleswig-Holstein,code01,4.521
2021,Percentage,,Schleswig-Holstein,code01,4.206
2007,Percentage,.,Schleswig-Holstein,code01,
2008,Percentage,.,Schleswig-Holstein,code01,
2010,Percentage,.,Schleswig-Holstein,code01,
2011,Percentage,.,Schleswig-Holstein,code01,
2013,Percentage,.,Schleswig-Holstein,code01,
2014,Percentage,.,Schleswig-Holstein,code01,
2016,Percentage,.,Schleswig-Holstein,code01,
2017,Percentage,.,Schleswig-Holstein,code01,
2019,Percentage,.,Schleswig-Holstein,code01,
2020,Percentage,.,Schleswig-Holstein,code01,
2006,Percentage,,Thuringia,code16,3.147
2009,Percentage,,Thuringia,code16,3.168
2012,Percentage,,Thuringia,code16,3.214
2015,Percentage,,Thuringia,code16,3.24
2018,Percentage,,Thuringia,code16,3.709
2021,Percentage,,Thuringia,code16,3.22
2007,Percentage,.,Thuringia,code16,
2008,Percentage,.,Thuringia,code16,
2010,Percentage,.,Thuringia,code16,
2011,Percentage,.,Thuringia,code16,
2013,Percentage,.,Thuringia,code16,
2014,Percentage,.,Thuringia,code16,
2016,Percentage,.,Thuringia,code16,
2017,Percentage,.,Thuringia,code16,
2019,Percentage,.,Thuringia,code16,
2020,Percentage,.,Thuringia,code16,
