Year,Units,COMMENT_OBS_0,Länder,GeoCode,Age group,Sex,Value
2009,Percentage,,Bavaria,code09,,,12.784
2013,Percentage,,Bavaria,code09,,,13.255
2017,Percentage,,Bavaria,code09,,,13.728
2021,Percentage,,Bavaria,code09,,,13.911
2000,Percentage,.,Bavaria,code09,,,
2001,Percentage,.,Bavaria,code09,,,
2002,Percentage,.,Bavaria,code09,,,
2004,Percentage,.,Bavaria,code09,,,
2006,Percentage,.,Bavaria,code09,,,
2007,Percentage,.,Bavaria,code09,,,
2008,Percentage,.,Bavaria,code09,,,
2010,Percentage,.,Bavaria,code09,,,
2011,Percentage,.,Bavaria,code09,,,
2012,Percentage,.,Bavaria,code09,,,
2014,Percentage,.,Bavaria,code09,,,
2015,Percentage,.,Bavaria,code09,,,
2016,Percentage,.,Bavaria,code09,,,
2018,Percentage,.,Bavaria,code09,,,
2019,Percentage,.,Bavaria,code09,,,
2020,Percentage,.,Bavaria,code09,,,
1999,Percentage,,Berlin,code11,,,9.206
2003,Percentage,,Berlin,code11,,,10.185
2005,Percentage,,Berlin,code11,,,11.228
2009,Percentage,,Berlin,code11,,,11.187
2013,Percentage,,Berlin,code11,,,11.727
2017,Percentage,,Berlin,code11,,,11.913
2021,Percentage,,Berlin,code11,,,13.114
2000,Percentage,.,Berlin,code11,,,
2001,Percentage,.,Berlin,code11,,,
2002,Percentage,.,Berlin,code11,,,
2004,Percentage,.,Berlin,code11,,,
2006,Percentage,.,Berlin,code11,,,
2007,Percentage,.,Berlin,code11,,,
2008,Percentage,.,Berlin,code11,,,
2010,Percentage,.,Berlin,code11,,,
2011,Percentage,.,Berlin,code11,,,
2012,Percentage,.,Berlin,code11,,,
2014,Percentage,.,Berlin,code11,,,
2015,Percentage,.,Berlin,code11,,,
2016,Percentage,.,Berlin,code11,,,
2018,Percentage,.,Berlin,code11,,,
2019,Percentage,.,Berlin,code11,,,
2020,Percentage,.,Berlin,code11,,,
1999,Percentage,,Brandenburg,code12,,,13.054
2003,Percentage,,Brandenburg,code12,,,13.122
2005,Percentage,,Brandenburg,code12,,,13.811
2009,Percentage,,Brandenburg,code12,,,14.843
2013,Percentage,,Brandenburg,code12,,,14.925
2017,Percentage,,Brandenburg,code12,,,15.47
2021,Percentage,,Brandenburg,code12,,,16.36
2000,Percentage,.,Brandenburg,code12,,,
2001,Percentage,.,Brandenburg,code12,,,
2002,Percentage,.,Brandenburg,code12,,,
2004,Percentage,.,Brandenburg,code12,,,
2006,Percentage,.,Brandenburg,code12,,,
2007,Percentage,.,Brandenburg,code12,,,
2008,Percentage,.,Brandenburg,code12,,,
2010,Percentage,.,Brandenburg,code12,,,
2011,Percentage,.,Brandenburg,code12,,,
2012,Percentage,.,Brandenburg,code12,,,
2014,Percentage,.,Brandenburg,code12,,,
2015,Percentage,.,Brandenburg,code12,,,
2016,Percentage,.,Brandenburg,code12,,,
2018,Percentage,.,Brandenburg,code12,,,
2019,Percentage,.,Brandenburg,code12,,,
2020,Percentage,.,Brandenburg,code12,,,
1999,Percentage,,Bremen,code04,,,8.863
2003,Percentage,,Bremen,code04,,,10.82
2005,Percentage,,Bremen,code04,,,10.152
2009,Percentage,,Bremen,code04,,,11.745
2013,Percentage,,Bremen,code04,,,13.546
2017,Percentage,,Bremen,code04,,,16.937
2021,Percentage,,Bremen,code04,,,16.966
2000,Percentage,.,Bremen,code04,,,
2001,Percentage,.,Bremen,code04,,,
2002,Percentage,.,Bremen,code04,,,
2004,Percentage,.,Bremen,code04,,,
2006,Percentage,.,Bremen,code04,,,
2007,Percentage,.,Bremen,code04,,,
2008,Percentage,.,Bremen,code04,,,
2010,Percentage,.,Bremen,code04,,,
2011,Percentage,.,Bremen,code04,,,
2012,Percentage,.,Bremen,code04,,,
2014,Percentage,.,Bremen,code04,,,
2015,Percentage,.,Bremen,code04,,,
2016,Percentage,.,Bremen,code04,,,
2018,Percentage,.,Bremen,code04,,,
2019,Percentage,.,Bremen,code04,,,
2020,Percentage,.,Bremen,code04,,,
1999,Percentage,,Hamburg,code02,,,8.318
2003,Percentage,,Hamburg,code02,,,9.04
2005,Percentage,,Hamburg,code02,,,9.702
2009,Percentage,,Hamburg,code02,,,9.909
2013,Percentage,,Hamburg,code02,,,10.515
2017,Percentage,,Hamburg,code02,,,11.483
2021,Percentage,,Hamburg,code02,,,11.936
2000,Percentage,.,Hamburg,code02,,,
2001,Percentage,.,Hamburg,code02,,,
2002,Percentage,.,Hamburg,code02,,,
2004,Percentage,.,Hamburg,code02,,,
2006,Percentage,.,Hamburg,code02,,,
2007,Percentage,.,Hamburg,code02,,,
2008,Percentage,.,Hamburg,code02,,,
2010,Percentage,.,Hamburg,code02,,,
2011,Percentage,.,Hamburg,code02,,,
2012,Percentage,.,Hamburg,code02,,,
2014,Percentage,.,Hamburg,code02,,,
2015,Percentage,.,Hamburg,code02,,,
2016,Percentage,.,Hamburg,code02,,,
2018,Percentage,.,Hamburg,code02,,,
2019,Percentage,.,Hamburg,code02,,,
2020,Percentage,.,Hamburg,code02,,,
1999,Percentage,,Hesse,code06,,,10.812
2003,Percentage,,Hesse,code06,,,11.599
2005,Percentage,,Hesse,code06,,,11.943
2009,Percentage,,Hesse,code06,,,13.288
2013,Percentage,,Hesse,code06,,,14.233
2017,Percentage,,Hesse,code06,,,14.898
2021,Percentage,,Hesse,code06,,,15.654
2000,Percentage,.,Hesse,code06,,,
2001,Percentage,.,Hesse,code06,,,
2002,Percentage,.,Hesse,code06,,,
2004,Percentage,.,Hesse,code06,,,
2006,Percentage,.,Hesse,code06,,,
2007,Percentage,.,Hesse,code06,,,
2008,Percentage,.,Hesse,code06,,,
2010,Percentage,.,Hesse,code06,,,
2011,Percentage,.,Hesse,code06,,,
2012,Percentage,.,Hesse,code06,,,
2014,Percentage,.,Hesse,code06,,,
2015,Percentage,.,Hesse,code06,,,
2016,Percentage,.,Hesse,code06,,,
2018,Percentage,.,Hesse,code06,,,
2019,Percentage,.,Hesse,code06,,,
2020,Percentage,.,Hesse,code06,,,
1999,Percentage,,Mecklenburg Western Pomerania,code13,,,13.848
2003,Percentage,,Mecklenburg Western Pomerania,code13,,,16.326
2005,Percentage,,Mecklenburg Western Pomerania,code13,,,17.169
2009,Percentage,,Mecklenburg Western Pomerania,code13,,,17.262
2013,Percentage,,Mecklenburg Western Pomerania,code13,,,17.324
2017,Percentage,,Mecklenburg Western Pomerania,code13,,,18.844
2021,Percentage,,Mecklenburg Western Pomerania,code13,,,19.044
2000,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2001,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2002,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2004,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2006,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2007,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2008,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2010,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2011,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2012,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2014,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2015,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2016,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2018,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2019,Percentage,.,Mecklenburg Western Pomerania,code13,,,
2020,Percentage,.,Mecklenburg Western Pomerania,code13,,,
1999,Percentage,,Lower Saxony,code03,,,9.501
2003,Percentage,,Lower Saxony,code03,,,10.482
2005,Percentage,,Lower Saxony,code03,,,11.365
2009,Percentage,,Lower Saxony,code03,,,12.761
2013,Percentage,,Lower Saxony,code03,,,14.218
2017,Percentage,,Lower Saxony,code03,,,15.244
2021,Percentage,,Lower Saxony,code03,,,17.557
2000,Percentage,.,Lower Saxony,code03,,,
2001,Percentage,.,Lower Saxony,code03,,,
2002,Percentage,.,Lower Saxony,code03,,,
2004,Percentage,.,Lower Saxony,code03,,,
2006,Percentage,.,Lower Saxony,code03,,,
2007,Percentage,.,Lower Saxony,code03,,,
2008,Percentage,.,Lower Saxony,code03,,,
2010,Percentage,.,Lower Saxony,code03,,,
2011,Percentage,.,Lower Saxony,code03,,,
2012,Percentage,.,Lower Saxony,code03,,,
2014,Percentage,.,Lower Saxony,code03,,,
2015,Percentage,.,Lower Saxony,code03,,,
2016,Percentage,.,Lower Saxony,code03,,,
2018,Percentage,.,Lower Saxony,code03,,,
2019,Percentage,.,Lower Saxony,code03,,,
2020,Percentage,.,Lower Saxony,code03,,,
1999,Percentage,,North Rhine-Westphalia,code05,,,10.394
2003,Percentage,,North Rhine-Westphalia,code05,,,11.622
2005,Percentage,,North Rhine-Westphalia,code05,,,12.575
2009,Percentage,,North Rhine-Westphalia,code05,,,13.591
2013,Percentage,,North Rhine-Westphalia,code05,,,14.865
2017,Percentage,,North Rhine-Westphalia,code05,,,15.125
2021,Percentage,,North Rhine-Westphalia,code05,,,16.485
2000,Percentage,.,North Rhine-Westphalia,code05,,,
2001,Percentage,.,North Rhine-Westphalia,code05,,,
2002,Percentage,.,North Rhine-Westphalia,code05,,,
2004,Percentage,.,North Rhine-Westphalia,code05,,,
2006,Percentage,.,North Rhine-Westphalia,code05,,,
2007,Percentage,.,North Rhine-Westphalia,code05,,,
2008,Percentage,.,North Rhine-Westphalia,code05,,,
2010,Percentage,.,North Rhine-Westphalia,code05,,,
2011,Percentage,.,North Rhine-Westphalia,code05,,,
2012,Percentage,.,North Rhine-Westphalia,code05,,,
2014,Percentage,.,North Rhine-Westphalia,code05,,,
2015,Percentage,.,North Rhine-Westphalia,code05,,,
2016,Percentage,.,North Rhine-Westphalia,code05,,,
2018,Percentage,.,North Rhine-Westphalia,code05,,,
2019,Percentage,.,North Rhine-Westphalia,code05,,,
2020,Percentage,.,North Rhine-Westphalia,code05,,,
1999,Percentage,,Rhineland Palatinate,code07,,,11.101
2003,Percentage,,Rhineland Palatinate,code07,,,12.228
2005,Percentage,,Rhineland Palatinate,code07,,,13.218
2009,Percentage,,Rhineland Palatinate,code07,,,14.015
2013,Percentage,,Rhineland Palatinate,code07,,,15.185
2017,Percentage,,Rhineland Palatinate,code07,,,16.103
2021,Percentage,,Rhineland Palatinate,code07,,,16.857
2000,Percentage,.,Rhineland Palatinate,code07,,,
2001,Percentage,.,Rhineland Palatinate,code07,,,
2002,Percentage,.,Rhineland Palatinate,code07,,,
2004,Percentage,.,Rhineland Palatinate,code07,,,
2006,Percentage,.,Rhineland Palatinate,code07,,,
2007,Percentage,.,Rhineland Palatinate,code07,,,
2008,Percentage,.,Rhineland Palatinate,code07,,,
2010,Percentage,.,Rhineland Palatinate,code07,,,
2011,Percentage,.,Rhineland Palatinate,code07,,,
2012,Percentage,.,Rhineland Palatinate,code07,,,
2014,Percentage,.,Rhineland Palatinate,code07,,,
2015,Percentage,.,Rhineland Palatinate,code07,,,
2016,Percentage,.,Rhineland Palatinate,code07,,,
2018,Percentage,.,Rhineland Palatinate,code07,,,
2019,Percentage,.,Rhineland Palatinate,code07,,,
2020,Percentage,.,Rhineland Palatinate,code07,,,
1999,Percentage,,Saarland,code10,,,9.576
2003,Percentage,,Saarland,code10,,,10.306
2005,Percentage,,Saarland,code10,,,13.111
2009,Percentage,,Saarland,code10,,,14.111
2013,Percentage,,Saarland,code10,,,14.133
2017,Percentage,,Saarland,code10,,,14.688
2021,Percentage,,Saarland,code10,,,16.877
2000,Percentage,.,Saarland,code10,,,
2001,Percentage,.,Saarland,code10,,,
2002,Percentage,.,Saarland,code10,,,
2004,Percentage,.,Saarland,code10,,,
2006,Percentage,.,Saarland,code10,,,
2007,Percentage,.,Saarland,code10,,,
2008,Percentage,.,Saarland,code10,,,
2010,Percentage,.,Saarland,code10,,,
2011,Percentage,.,Saarland,code10,,,
2012,Percentage,.,Saarland,code10,,,
2014,Percentage,.,Saarland,code10,,,
2015,Percentage,.,Saarland,code10,,,
2016,Percentage,.,Saarland,code10,,,
2018,Percentage,.,Saarland,code10,,,
2019,Percentage,.,Saarland,code10,,,
2020,Percentage,.,Saarland,code10,,,
1999,Percentage,,Saxony,code14,,,11.838
2003,Percentage,,Saxony,code14,,,13.373
2005,Percentage,,Saxony,code14,,,13.693
2009,Percentage,,Saxony,code14,,,13.958
2013,Percentage,,Saxony,code14,,,14.286
2017,Percentage,,Saxony,code14,,,15.453
2021,Percentage,,Saxony,code14,,,14.805
2000,Percentage,.,Saxony,code14,,,
2001,Percentage,.,Saxony,code14,,,
2002,Percentage,.,Saxony,code14,,,
2004,Percentage,.,Saxony,code14,,,
2006,Percentage,.,Saxony,code14,,,
2007,Percentage,.,Saxony,code14,,,
2008,Percentage,.,Saxony,code14,,,
2010,Percentage,.,Saxony,code14,,,
2011,Percentage,.,Saxony,code14,,,
2012,Percentage,.,Saxony,code14,,,
2014,Percentage,.,Saxony,code14,,,
2015,Percentage,.,Saxony,code14,,,
2016,Percentage,.,Saxony,code14,,,
2018,Percentage,.,Saxony,code14,,,
2019,Percentage,.,Saxony,code14,,,
2020,Percentage,.,Saxony,code14,,,
1999,Percentage,,Saxony-Anhalt,code15,,,13.139
2003,Percentage,,Saxony-Anhalt,code15,,,15.012
2005,Percentage,,Saxony-Anhalt,code15,,,15.935
2009,Percentage,,Saxony-Anhalt,code15,,,16.266
2013,Percentage,,Saxony-Anhalt,code15,,,17.149
2017,Percentage,,Saxony-Anhalt,code15,,,17.6
2021,Percentage,,Saxony-Anhalt,code15,,,16.545
2000,Percentage,.,Saxony-Anhalt,code15,,,
2001,Percentage,.,Saxony-Anhalt,code15,,,
2002,Percentage,.,Saxony-Anhalt,code15,,,
2004,Percentage,.,Saxony-Anhalt,code15,,,
2006,Percentage,.,Saxony-Anhalt,code15,,,
2007,Percentage,.,Saxony-Anhalt,code15,,,
2008,Percentage,.,Saxony-Anhalt,code15,,,
2010,Percentage,.,Saxony-Anhalt,code15,,,
2011,Percentage,.,Saxony-Anhalt,code15,,,
2012,Percentage,.,Saxony-Anhalt,code15,,,
2014,Percentage,.,Saxony-Anhalt,code15,,,
2015,Percentage,.,Saxony-Anhalt,code15,,,
2016,Percentage,.,Saxony-Anhalt,code15,,,
2018,Percentage,.,Saxony-Anhalt,code15,,,
2019,Percentage,.,Saxony-Anhalt,code15,,,
2020,Percentage,.,Saxony-Anhalt,code15,,,
1999,Percentage,,Schleswig-Holstein,code01,,,9.248
2003,Percentage,,Schleswig-Holstein,code01,,,10.295
2005,Percentage,,Schleswig-Holstein,code01,,,11.306
2009,Percentage,,Schleswig-Holstein,code01,,,12.144
2013,Percentage,,Schleswig-Holstein,code01,,,13.323
2017,Percentage,,Schleswig-Holstein,code01,,,14.359
2021,Percentage,,Schleswig-Holstein,code01,,,16.693
2000,Percentage,.,Schleswig-Holstein,code01,,,
2001,Percentage,.,Schleswig-Holstein,code01,,,
2002,Percentage,.,Schleswig-Holstein,code01,,,
2004,Percentage,.,Schleswig-Holstein,code01,,,
2006,Percentage,.,Schleswig-Holstein,code01,,,
2007,Percentage,.,Schleswig-Holstein,code01,,,
2008,Percentage,.,Schleswig-Holstein,code01,,,
2010,Percentage,.,Schleswig-Holstein,code01,,,
2011,Percentage,.,Schleswig-Holstein,code01,,,
2012,Percentage,.,Schleswig-Holstein,code01,,,
2014,Percentage,.,Schleswig-Holstein,code01,,,
2015,Percentage,.,Schleswig-Holstein,code01,,,
2016,Percentage,.,Schleswig-Holstein,code01,,,
2018,Percentage,.,Schleswig-Holstein,code01,,,
2019,Percentage,.,Schleswig-Holstein,code01,,,
2020,Percentage,.,Schleswig-Holstein,code01,,,
1999,Percentage,,Thuringia,code16,,,13.768
2003,Percentage,,Thuringia,code16,,,13.159
2005,Percentage,,Thuringia,code16,,,14.527
2009,Percentage,,Thuringia,code16,,,14.922
2013,Percentage,,Thuringia,code16,,,15.39
2017,Percentage,,Thuringia,code16,,,17.726
2021,Percentage,,Thuringia,code16,,,17.051
2000,Percentage,.,Thuringia,code16,,,
2001,Percentage,.,Thuringia,code16,,,
2002,Percentage,.,Thuringia,code16,,,
2004,Percentage,.,Thuringia,code16,,,
2006,Percentage,.,Thuringia,code16,,,
2007,Percentage,.,Thuringia,code16,,,
2008,Percentage,.,Thuringia,code16,,,
2010,Percentage,.,Thuringia,code16,,,
2011,Percentage,.,Thuringia,code16,,,
2012,Percentage,.,Thuringia,code16,,,
2014,Percentage,.,Thuringia,code16,,,
2015,Percentage,.,Thuringia,code16,,,
2016,Percentage,.,Thuringia,code16,,,
2018,Percentage,.,Thuringia,code16,,,
2019,Percentage,.,Thuringia,code16,,,
2020,Percentage,.,Thuringia,code16,,,
1999,Percentage,,,,18 to under 20 years,,
2003,Percentage,.,,,18 to under 20 years,,
2005,Percentage,,,,18 to under 20 years,,
2009,Percentage,.,,,18 to under 20 years,,
2013,Percentage,,,,18 to under 20 years,,3.473
2017,Percentage,,,,18 to under 20 years,,4.241
2021,Percentage,,,,18 to under 20 years,,5.504
2000,Percentage,.,,,18 to under 20 years,,
2001,Percentage,.,,,18 to under 20 years,,
2002,Percentage,.,,,18 to under 20 years,,
2004,Percentage,.,,,18 to under 20 years,,
2006,Percentage,.,,,18 to under 20 years,,
2007,Percentage,.,,,18 to under 20 years,,
2008,Percentage,.,,,18 to under 20 years,,
2010,Percentage,.,,,18 to under 20 years,,
2011,Percentage,.,,,18 to under 20 years,,
2012,Percentage,.,,,18 to under 20 years,,
2014,Percentage,.,,,18 to under 20 years,,
2015,Percentage,.,,,18 to under 20 years,,
2016,Percentage,.,,,18 to under 20 years,,
2018,Percentage,.,,,18 to under 20 years,,
2019,Percentage,.,,,18 to under 20 years,,
2020,Percentage,.,,,18 to under 20 years,,
1999,Percentage,,,,20 to under 25 years,,
2003,Percentage,.,,,20 to under 25 years,,
2005,Percentage,,,,20 to under 25 years,,
2009,Percentage,.,,,20 to under 25 years,,
2013,Percentage,,,,20 to under 25 years,,5.597
2017,Percentage,,,,20 to under 25 years,,6.013
2021,Percentage,,,,20 to under 25 years,,6.35
2000,Percentage,.,,,20 to under 25 years,,
2001,Percentage,.,,,20 to under 25 years,,
2002,Percentage,.,,,20 to under 25 years,,
2004,Percentage,.,,,20 to under 25 years,,
2006,Percentage,.,,,20 to under 25 years,,
2007,Percentage,.,,,20 to under 25 years,,
2008,Percentage,.,,,20 to under 25 years,,
2010,Percentage,.,,,20 to under 25 years,,
2011,Percentage,.,,,20 to under 25 years,,
2012,Percentage,.,,,20 to under 25 years,,
2014,Percentage,.,,,20 to under 25 years,,
2015,Percentage,.,,,20 to under 25 years,,
2016,Percentage,.,,,20 to under 25 years,,
2018,Percentage,.,,,20 to under 25 years,,
2019,Percentage,.,,,20 to under 25 years,,
2020,Percentage,.,,,20 to under 25 years,,
1999,Percentage,,,,25 to under 30 years,,
2003,Percentage,.,,,25 to under 30 years,,
2005,Percentage,,,,25 to under 30 years,,
2009,Percentage,.,,,25 to under 30 years,,
2013,Percentage,,,,25 to under 30 years,,8.023
2017,Percentage,,,,25 to under 30 years,,9.416
2021,Percentage,,,,25 to under 30 years,,10.863
2000,Percentage,.,,,25 to under 30 years,,
2001,Percentage,.,,,25 to under 30 years,,
2002,Percentage,.,,,25 to under 30 years,,
2004,Percentage,.,,,25 to under 30 years,,
2006,Percentage,.,,,25 to under 30 years,,
2007,Percentage,.,,,25 to under 30 years,,
2008,Percentage,.,,,25 to under 30 years,,
2010,Percentage,.,,,25 to under 30 years,,
2011,Percentage,.,,,25 to under 30 years,,
2012,Percentage,.,,,25 to under 30 years,,
2014,Percentage,.,,,25 to under 30 years,,
2015,Percentage,.,,,25 to under 30 years,,
2016,Percentage,.,,,25 to under 30 years,,
2018,Percentage,.,,,25 to under 30 years,,
2019,Percentage,.,,,25 to under 30 years,,
2020,Percentage,.,,,25 to under 30 years,,
1999,Percentage,,,,30 to under 35 years,,
2003,Percentage,.,,,30 to under 35 years,,
2005,Percentage,,,,30 to under 35 years,,
2009,Percentage,.,,,30 to under 35 years,,
2013,Percentage,,,,30 to under 35 years,,10.891
2017,Percentage,,,,30 to under 35 years,,11.866
2021,Percentage,,,,30 to under 35 years,,13.96
2000,Percentage,.,,,30 to under 35 years,,
2001,Percentage,.,,,30 to under 35 years,,
2002,Percentage,.,,,30 to under 35 years,,
2004,Percentage,.,,,30 to under 35 years,,
2006,Percentage,.,,,30 to under 35 years,,
2007,Percentage,.,,,30 to under 35 years,,
2008,Percentage,.,,,30 to under 35 years,,
2010,Percentage,.,,,30 to under 35 years,,
2011,Percentage,.,,,30 to under 35 years,,
2012,Percentage,.,,,30 to under 35 years,,
2014,Percentage,.,,,30 to under 35 years,,
2015,Percentage,.,,,30 to under 35 years,,
2016,Percentage,.,,,30 to under 35 years,,
2018,Percentage,.,,,30 to under 35 years,,
2019,Percentage,.,,,30 to under 35 years,,
2020,Percentage,.,,,30 to under 35 years,,
1999,Percentage,,,,35 to under 40 years,,
2003,Percentage,.,,,35 to under 40 years,,
2005,Percentage,,,,35 to under 40 years,,
2009,Percentage,.,,,35 to under 40 years,,
2013,Percentage,,,,35 to under 40 years,,12.713
2017,Percentage,,,,35 to under 40 years,,13.308
2021,Percentage,,,,35 to under 40 years,,14.524
2000,Percentage,.,,,35 to under 40 years,,
2001,Percentage,.,,,35 to under 40 years,,
2002,Percentage,.,,,35 to under 40 years,,
2004,Percentage,.,,,35 to under 40 years,,
2006,Percentage,.,,,35 to under 40 years,,
2007,Percentage,.,,,35 to under 40 years,,
2008,Percentage,.,,,35 to under 40 years,,
2010,Percentage,.,,,35 to under 40 years,,
2011,Percentage,.,,,35 to under 40 years,,
2012,Percentage,.,,,35 to under 40 years,,
2014,Percentage,.,,,35 to under 40 years,,
2015,Percentage,.,,,35 to under 40 years,,
2016,Percentage,.,,,35 to under 40 years,,
2018,Percentage,.,,,35 to under 40 years,,
2019,Percentage,.,,,35 to under 40 years,,
2020,Percentage,.,,,35 to under 40 years,,
1999,Percentage,,,,40 to under 45 years,,
2003,Percentage,.,,,40 to under 45 years,,
2005,Percentage,,,,40 to under 45 years,,
2009,Percentage,.,,,40 to under 45 years,,
2013,Percentage,,,,40 to under 45 years,,14.255
2017,Percentage,,,,40 to under 45 years,,15.673
2021,Percentage,,,,40 to under 45 years,,16.489
2000,Percentage,.,,,40 to under 45 years,,
2001,Percentage,.,,,40 to under 45 years,,
2002,Percentage,.,,,40 to under 45 years,,
2004,Percentage,.,,,40 to under 45 years,,
2006,Percentage,.,,,40 to under 45 years,,
2007,Percentage,.,,,40 to under 45 years,,
2008,Percentage,.,,,40 to under 45 years,,
2010,Percentage,.,,,40 to under 45 years,,
2011,Percentage,.,,,40 to under 45 years,,
2012,Percentage,.,,,40 to under 45 years,,
2014,Percentage,.,,,40 to under 45 years,,
2015,Percentage,.,,,40 to under 45 years,,
2016,Percentage,.,,,40 to under 45 years,,
2018,Percentage,.,,,40 to under 45 years,,
2019,Percentage,.,,,40 to under 45 years,,
2020,Percentage,.,,,40 to under 45 years,,
1999,Percentage,,,,45 to under 50 years,,
2003,Percentage,.,,,45 to under 50 years,,
2005,Percentage,,,,45 to under 50 years,,
2009,Percentage,.,,,45 to under 50 years,,
2013,Percentage,,,,45 to under 50 years,,15.221
2017,Percentage,,,,45 to under 50 years,,16.237
2021,Percentage,,,,45 to under 50 years,,19.794
2000,Percentage,.,,,45 to under 50 years,,
2001,Percentage,.,,,45 to under 50 years,,
2002,Percentage,.,,,45 to under 50 years,,
2004,Percentage,.,,,45 to under 50 years,,
2006,Percentage,.,,,45 to under 50 years,,
2007,Percentage,.,,,45 to under 50 years,,
2008,Percentage,.,,,45 to under 50 years,,
2010,Percentage,.,,,45 to under 50 years,,
2011,Percentage,.,,,45 to under 50 years,,
2012,Percentage,.,,,45 to under 50 years,,
2014,Percentage,.,,,45 to under 50 years,,
2015,Percentage,.,,,45 to under 50 years,,
2016,Percentage,.,,,45 to under 50 years,,
2018,Percentage,.,,,45 to under 50 years,,
2019,Percentage,.,,,45 to under 50 years,,
2020,Percentage,.,,,45 to under 50 years,,
1999,Percentage,,,,50 to under 55 years,,
2003,Percentage,.,,,50 to under 55 years,,
2005,Percentage,,,,50 to under 55 years,,
2009,Percentage,.,,,50 to under 55 years,,
2013,Percentage,,,,50 to under 55 years,,17.709
2017,Percentage,,,,50 to under 55 years,,17.994
2021,Percentage,,,,50 to under 55 years,,18.834
2000,Percentage,.,,,50 to under 55 years,,
2001,Percentage,.,,,50 to under 55 years,,
2002,Percentage,.,,,50 to under 55 years,,
2004,Percentage,.,,,50 to under 55 years,,
2006,Percentage,.,,,50 to under 55 years,,
2007,Percentage,.,,,50 to under 55 years,,
2008,Percentage,.,,,50 to under 55 years,,
2010,Percentage,.,,,50 to under 55 years,,
2011,Percentage,.,,,50 to under 55 years,,
2012,Percentage,.,,,50 to under 55 years,,
2014,Percentage,.,,,50 to under 55 years,,
2015,Percentage,.,,,50 to under 55 years,,
2016,Percentage,.,,,50 to under 55 years,,
2018,Percentage,.,,,50 to under 55 years,,
2019,Percentage,.,,,50 to under 55 years,,
2020,Percentage,.,,,50 to under 55 years,,
1999,Percentage,,,,55 to under 60 years,,
2003,Percentage,.,,,55 to under 60 years,,
2005,Percentage,,,,55 to under 60 years,,
2009,Percentage,.,,,55 to under 60 years,,
2013,Percentage,,,,55 to under 60 years,,19.977
2017,Percentage,,,,55 to under 60 years,,19.669
2021,Percentage,,,,55 to under 60 years,,19.644
