Year,Units,Time series,Area,COMMENT_OBS_0,Länder,GeoCode,Value
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.345
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.362
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.371
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.363
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.359
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.35
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.366
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.352
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.362
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.381
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,r,,,0.356
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.358
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.355
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.361
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.361
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.36
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.363
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.366
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.36
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.363
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.366
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.365
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.362
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.359
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.359
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,s,,,0.355
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.349
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.36
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.349
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.347
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,European Union,,,,0.344
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,.,,,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,,,,0.409
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,,,,0.454
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,,,,0.46
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,,,,0.461
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised market income,Germany,,,,0.477
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,,,,0.758
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,,,,0.762
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,,,,0.739
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,,,,0.728
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,.,,,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,,,,0.724
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Germany,…,,,
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,,,,0.68
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,,,,0.685
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,,,,0.695
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,.,,,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,,,,0.694
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,…,,,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,…,,,
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of wealth,Eurozone,…,,,
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Baden-Wuerttemberg,code08,0.291
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Baden-Wuerttemberg,code08,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Baden-Wuerttemberg,code08,0.281
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Baden-Wuerttemberg,code08,0.284
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Bavaria,code09,0.326
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bavaria,code09,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Bavaria,code09,0.302
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Bavaria,code09,0.308
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Berlin,code11,0.316
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Berlin,code11,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Berlin,code11,0.287
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Berlin,code11,0.293
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Brandenburg,code12,0.269
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Brandenburg,code12,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Brandenburg,code12,0.273
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Brandenburg,code12,0.259
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Bremen,code04,0.33
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Bremen,code04,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Bremen,code04,0.265
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Bremen,code04,0.299
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Hamburg,code02,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Hamburg,code02,0.364
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hamburg,code02,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Hamburg,code02,0.295
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Hamburg,code02,0.294
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2012,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2013,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2014,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2015,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2016,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2017,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2018,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2019,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2020,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2021,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Hesse,code06,0.34
2022,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,.,Hesse,code06,
2023,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Hesse,code06,0.308
2024,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,,,Hesse,code06,0.305
