Year,Units,Time series,COMMENT_OBS_0,Länder,GeoCode,Value
2022,Minutes,For the medium-sized and major cities of the year in question,.,Hesse,code06,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Hesse,code06,
2012,Minutes,For the medium-sized and major cities of the year in question,,Mecklenburg Western Pomerania,code13,32.314
2016,Minutes,For the medium-sized and major cities of the year in question,,Mecklenburg Western Pomerania,code13,30.667
2018,Minutes,For the medium-sized and major cities of the year in question,,Mecklenburg Western Pomerania,code13,30.601
2020,Minutes,For the medium-sized and major cities of the year in question,,Mecklenburg Western Pomerania,code13,28.342
2024,Minutes,For the medium-sized and major cities of the year in question,,Mecklenburg Western Pomerania,code13,29.7
2013,Minutes,For the medium-sized and major cities of the year in question,.,Mecklenburg Western Pomerania,code13,
2014,Minutes,For the medium-sized and major cities of the year in question,.,Mecklenburg Western Pomerania,code13,
2015,Minutes,For the medium-sized and major cities of the year in question,.,Mecklenburg Western Pomerania,code13,
2017,Minutes,For the medium-sized and major cities of the year in question,.,Mecklenburg Western Pomerania,code13,
2019,Minutes,For the medium-sized and major cities of the year in question,.,Mecklenburg Western Pomerania,code13,
2021,Minutes,For the medium-sized and major cities of the year in question,.,Mecklenburg Western Pomerania,code13,
2022,Minutes,For the medium-sized and major cities of the year in question,.,Mecklenburg Western Pomerania,code13,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Mecklenburg Western Pomerania,code13,
2012,Minutes,For the medium-sized and major cities of the year in question,,Lower Saxony,code03,27.44
2016,Minutes,For the medium-sized and major cities of the year in question,,Lower Saxony,code03,25.597
2018,Minutes,For the medium-sized and major cities of the year in question,,Lower Saxony,code03,24.893
2020,Minutes,For the medium-sized and major cities of the year in question,,Lower Saxony,code03,23.914
2024,Minutes,For the medium-sized and major cities of the year in question,,Lower Saxony,code03,23.1
2013,Minutes,For the medium-sized and major cities of the year in question,.,Lower Saxony,code03,
2014,Minutes,For the medium-sized and major cities of the year in question,.,Lower Saxony,code03,
2015,Minutes,For the medium-sized and major cities of the year in question,.,Lower Saxony,code03,
2017,Minutes,For the medium-sized and major cities of the year in question,.,Lower Saxony,code03,
2019,Minutes,For the medium-sized and major cities of the year in question,.,Lower Saxony,code03,
2021,Minutes,For the medium-sized and major cities of the year in question,.,Lower Saxony,code03,
2022,Minutes,For the medium-sized and major cities of the year in question,.,Lower Saxony,code03,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Lower Saxony,code03,
2012,Minutes,For the medium-sized and major cities of the year in question,,North Rhine-Westphalia,code05,19.402
2016,Minutes,For the medium-sized and major cities of the year in question,,North Rhine-Westphalia,code05,19.286
2018,Minutes,For the medium-sized and major cities of the year in question,,North Rhine-Westphalia,code05,18.984
2020,Minutes,For the medium-sized and major cities of the year in question,,North Rhine-Westphalia,code05,17.798
2024,Minutes,For the medium-sized and major cities of the year in question,,North Rhine-Westphalia,code05,13.1
2013,Minutes,For the medium-sized and major cities of the year in question,.,North Rhine-Westphalia,code05,
2014,Minutes,For the medium-sized and major cities of the year in question,.,North Rhine-Westphalia,code05,
2015,Minutes,For the medium-sized and major cities of the year in question,.,North Rhine-Westphalia,code05,
2017,Minutes,For the medium-sized and major cities of the year in question,.,North Rhine-Westphalia,code05,
2019,Minutes,For the medium-sized and major cities of the year in question,.,North Rhine-Westphalia,code05,
2021,Minutes,For the medium-sized and major cities of the year in question,.,North Rhine-Westphalia,code05,
2022,Minutes,For the medium-sized and major cities of the year in question,.,North Rhine-Westphalia,code05,
2023,Minutes,For the medium-sized and major cities of the year in question,.,North Rhine-Westphalia,code05,
2012,Minutes,For the medium-sized and major cities of the year in question,,Rhineland Palatinate,code07,22.951
2016,Minutes,For the medium-sized and major cities of the year in question,,Rhineland Palatinate,code07,20.937
2018,Minutes,For the medium-sized and major cities of the year in question,,Rhineland Palatinate,code07,20.556
2020,Minutes,For the medium-sized and major cities of the year in question,,Rhineland Palatinate,code07,19.667
2024,Minutes,For the medium-sized and major cities of the year in question,,Rhineland Palatinate,code07,18.6
2013,Minutes,For the medium-sized and major cities of the year in question,.,Rhineland Palatinate,code07,
2014,Minutes,For the medium-sized and major cities of the year in question,.,Rhineland Palatinate,code07,
2015,Minutes,For the medium-sized and major cities of the year in question,.,Rhineland Palatinate,code07,
2017,Minutes,For the medium-sized and major cities of the year in question,.,Rhineland Palatinate,code07,
2019,Minutes,For the medium-sized and major cities of the year in question,.,Rhineland Palatinate,code07,
2021,Minutes,For the medium-sized and major cities of the year in question,.,Rhineland Palatinate,code07,
2022,Minutes,For the medium-sized and major cities of the year in question,.,Rhineland Palatinate,code07,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Rhineland Palatinate,code07,
2012,Minutes,For the medium-sized and major cities of the year in question,,Saarland,code10,22.589
2016,Minutes,For the medium-sized and major cities of the year in question,,Saarland,code10,20.498
2018,Minutes,For the medium-sized and major cities of the year in question,,Saarland,code10,20.456
2020,Minutes,For the medium-sized and major cities of the year in question,,Saarland,code10,19.539
2024,Minutes,For the medium-sized and major cities of the year in question,,Saarland,code10,19.1
2013,Minutes,For the medium-sized and major cities of the year in question,.,Saarland,code10,
2014,Minutes,For the medium-sized and major cities of the year in question,.,Saarland,code10,
2015,Minutes,For the medium-sized and major cities of the year in question,.,Saarland,code10,
2017,Minutes,For the medium-sized and major cities of the year in question,.,Saarland,code10,
2019,Minutes,For the medium-sized and major cities of the year in question,.,Saarland,code10,
2021,Minutes,For the medium-sized and major cities of the year in question,.,Saarland,code10,
2022,Minutes,For the medium-sized and major cities of the year in question,.,Saarland,code10,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Saarland,code10,
2012,Minutes,For the medium-sized and major cities of the year in question,,Saxony,code14,24.894
2016,Minutes,For the medium-sized and major cities of the year in question,,Saxony,code14,23.33
2018,Minutes,For the medium-sized and major cities of the year in question,,Saxony,code14,22.969
2020,Minutes,For the medium-sized and major cities of the year in question,,Saxony,code14,21.88
2024,Minutes,For the medium-sized and major cities of the year in question,,Saxony,code14,17.9
2013,Minutes,For the medium-sized and major cities of the year in question,.,Saxony,code14,
2014,Minutes,For the medium-sized and major cities of the year in question,.,Saxony,code14,
2015,Minutes,For the medium-sized and major cities of the year in question,.,Saxony,code14,
2017,Minutes,For the medium-sized and major cities of the year in question,.,Saxony,code14,
2019,Minutes,For the medium-sized and major cities of the year in question,.,Saxony,code14,
2021,Minutes,For the medium-sized and major cities of the year in question,.,Saxony,code14,
2022,Minutes,For the medium-sized and major cities of the year in question,.,Saxony,code14,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Saxony,code14,
2012,Minutes,For the medium-sized and major cities of the year in question,,Saxony-Anhalt,code15,28.918
2016,Minutes,For the medium-sized and major cities of the year in question,,Saxony-Anhalt,code15,27.151
2018,Minutes,For the medium-sized and major cities of the year in question,,Saxony-Anhalt,code15,27.517
2020,Minutes,For the medium-sized and major cities of the year in question,,Saxony-Anhalt,code15,26.031
2024,Minutes,For the medium-sized and major cities of the year in question,,Saxony-Anhalt,code15,23.7
2013,Minutes,For the medium-sized and major cities of the year in question,.,Saxony-Anhalt,code15,
2014,Minutes,For the medium-sized and major cities of the year in question,.,Saxony-Anhalt,code15,
2015,Minutes,For the medium-sized and major cities of the year in question,.,Saxony-Anhalt,code15,
2017,Minutes,For the medium-sized and major cities of the year in question,.,Saxony-Anhalt,code15,
2019,Minutes,For the medium-sized and major cities of the year in question,.,Saxony-Anhalt,code15,
2021,Minutes,For the medium-sized and major cities of the year in question,.,Saxony-Anhalt,code15,
2022,Minutes,For the medium-sized and major cities of the year in question,.,Saxony-Anhalt,code15,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Saxony-Anhalt,code15,
2012,Minutes,For the medium-sized and major cities of the year in question,,Schleswig-Holstein,code01,30.062
2016,Minutes,For the medium-sized and major cities of the year in question,,Schleswig-Holstein,code01,28.987
2018,Minutes,For the medium-sized and major cities of the year in question,,Schleswig-Holstein,code01,28.335
2020,Minutes,For the medium-sized and major cities of the year in question,,Schleswig-Holstein,code01,27.278
2024,Minutes,For the medium-sized and major cities of the year in question,,Schleswig-Holstein,code01,26.3
2013,Minutes,For the medium-sized and major cities of the year in question,.,Schleswig-Holstein,code01,
2014,Minutes,For the medium-sized and major cities of the year in question,.,Schleswig-Holstein,code01,
2015,Minutes,For the medium-sized and major cities of the year in question,.,Schleswig-Holstein,code01,
2017,Minutes,For the medium-sized and major cities of the year in question,.,Schleswig-Holstein,code01,
2019,Minutes,For the medium-sized and major cities of the year in question,.,Schleswig-Holstein,code01,
2021,Minutes,For the medium-sized and major cities of the year in question,.,Schleswig-Holstein,code01,
2022,Minutes,For the medium-sized and major cities of the year in question,.,Schleswig-Holstein,code01,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Schleswig-Holstein,code01,
2012,Minutes,For the medium-sized and major cities of the year in question,,Thuringia,code16,24.449
2016,Minutes,For the medium-sized and major cities of the year in question,,Thuringia,code16,23.504
2018,Minutes,For the medium-sized and major cities of the year in question,,Thuringia,code16,22.986
2020,Minutes,For the medium-sized and major cities of the year in question,,Thuringia,code16,21.0
2024,Minutes,For the medium-sized and major cities of the year in question,,Thuringia,code16,19.9
2013,Minutes,For the medium-sized and major cities of the year in question,.,Thuringia,code16,
2014,Minutes,For the medium-sized and major cities of the year in question,.,Thuringia,code16,
2015,Minutes,For the medium-sized and major cities of the year in question,.,Thuringia,code16,
2017,Minutes,For the medium-sized and major cities of the year in question,.,Thuringia,code16,
2019,Minutes,For the medium-sized and major cities of the year in question,.,Thuringia,code16,
2021,Minutes,For the medium-sized and major cities of the year in question,.,Thuringia,code16,
2022,Minutes,For the medium-sized and major cities of the year in question,.,Thuringia,code16,
2023,Minutes,For the medium-sized and major cities of the year in question,.,Thuringia,code16,
