Year,Units,COMMENT_OBS_0,Länder,GeoCode,Sector,Value
2007,Percentage,,Bavaria,code09,,2.78
2008,Percentage,,Bavaria,code09,,2.98
2009,Percentage,,Bavaria,code09,,3.0
2010,Percentage,,Bavaria,code09,,2.97
2011,Percentage,,Bavaria,code09,,2.94
2012,Percentage,,Bavaria,code09,,3.04
2013,Percentage,,Bavaria,code09,,3.07
2014,Percentage,,Bavaria,code09,,3.08
2015,Percentage,,Bavaria,code09,,3.08
2016,Percentage,,Bavaria,code09,,3.08
2017,Percentage,,Bavaria,code09,,3.05
2018,Percentage,,Bavaria,code09,,3.13
2019,Percentage,,Bavaria,code09,,3.33
2020,Percentage,,Bavaria,code09,,3.31
2021,Percentage,,Bavaria,code09,,3.34
2022,Percentage,,Bavaria,code09,,3.37
2023,Percentage,,Bavaria,code09,,3.41
2025,Percentage,…,Bavaria,code09,,
1991,Percentage,,Berlin,code11,,
1992,Percentage,,Berlin,code11,,
1993,Percentage,,Berlin,code11,,
1994,Percentage,,Berlin,code11,,
1995,Percentage,,Berlin,code11,,2.91
1996,Percentage,,Berlin,code11,,
1997,Percentage,,Berlin,code11,,3.17
1998,Percentage,,Berlin,code11,,
1999,Percentage,,Berlin,code11,,3.32
2000,Percentage,,Berlin,code11,,3.38
2001,Percentage,,Berlin,code11,,3.75
2002,Percentage,,Berlin,code11,,3.85
2003,Percentage,,Berlin,code11,,3.63
2004,Percentage,,Berlin,code11,,3.63
2005,Percentage,,Berlin,code11,,3.43
2006,Percentage,,Berlin,code11,,3.47
2007,Percentage,,Berlin,code11,,2.97
2008,Percentage,,Berlin,code11,,3.1
2009,Percentage,,Berlin,code11,,3.3
2010,Percentage,,Berlin,code11,,3.36
2011,Percentage,,Berlin,code11,,3.26
2012,Percentage,,Berlin,code11,,3.36
2013,Percentage,,Berlin,code11,,3.46
2014,Percentage,,Berlin,code11,,3.5
2015,Percentage,,Berlin,code11,,3.41
2016,Percentage,,Berlin,code11,,3.34
2017,Percentage,,Berlin,code11,,3.3
2018,Percentage,,Berlin,code11,,3.36
2019,Percentage,,Berlin,code11,,3.28
2020,Percentage,,Berlin,code11,,3.23
2021,Percentage,,Berlin,code11,,3.23
2022,Percentage,,Berlin,code11,,3.13
2023,Percentage,,Berlin,code11,,3.07
2025,Percentage,…,Berlin,code11,,
1991,Percentage,,Brandenburg,code12,,
1992,Percentage,,Brandenburg,code12,,
1993,Percentage,,Brandenburg,code12,,
1994,Percentage,,Brandenburg,code12,,
1995,Percentage,,Brandenburg,code12,,1.33
1996,Percentage,,Brandenburg,code12,,
1997,Percentage,,Brandenburg,code12,,1.44
1998,Percentage,,Brandenburg,code12,,
1999,Percentage,,Brandenburg,code12,,1.55
2000,Percentage,,Brandenburg,code12,,1.42
2001,Percentage,,Brandenburg,code12,,1.42
2002,Percentage,,Brandenburg,code12,,1.34
2003,Percentage,,Brandenburg,code12,,1.16
2004,Percentage,,Brandenburg,code12,,1.22
2005,Percentage,,Brandenburg,code12,,1.15
2006,Percentage,,Brandenburg,code12,,1.2
2007,Percentage,,Brandenburg,code12,,1.2
2008,Percentage,,Brandenburg,code12,,1.29
2009,Percentage,,Brandenburg,code12,,1.37
2010,Percentage,,Brandenburg,code12,,1.39
2011,Percentage,,Brandenburg,code12,,1.61
2012,Percentage,,Brandenburg,code12,,1.6
2013,Percentage,,Brandenburg,code12,,1.5
2014,Percentage,,Brandenburg,code12,,1.53
2015,Percentage,,Brandenburg,code12,,1.64
2016,Percentage,,Brandenburg,code12,,1.69
2017,Percentage,,Brandenburg,code12,,1.66
2018,Percentage,,Brandenburg,code12,,1.65
2019,Percentage,,Brandenburg,code12,,1.76
2020,Percentage,,Brandenburg,code12,,1.81
2021,Percentage,,Brandenburg,code12,,1.71
2022,Percentage,,Brandenburg,code12,,1.67
2023,Percentage,,Brandenburg,code12,,1.48
2025,Percentage,…,Brandenburg,code12,,
1991,Percentage,,Bremen,code04,,
1992,Percentage,,Bremen,code04,,
1993,Percentage,,Bremen,code04,,
1994,Percentage,,Bremen,code04,,
1995,Percentage,,Bremen,code04,,2.84
1996,Percentage,,Bremen,code04,,
1997,Percentage,,Bremen,code04,,2.01
1998,Percentage,,Bremen,code04,,
1999,Percentage,,Bremen,code04,,2.11
2000,Percentage,,Bremen,code04,,2.09
2001,Percentage,,Bremen,code04,,2.1
2002,Percentage,,Bremen,code04,,2.23
2003,Percentage,,Bremen,code04,,2.6
2004,Percentage,,Bremen,code04,,2.61
2005,Percentage,,Bremen,code04,,2.12
2006,Percentage,,Bremen,code04,,2.16
2007,Percentage,,Bremen,code04,,2.13
2008,Percentage,,Bremen,code04,,2.36
2009,Percentage,,Bremen,code04,,2.59
2010,Percentage,,Bremen,code04,,2.61
2011,Percentage,,Bremen,code04,,2.7
2012,Percentage,,Bremen,code04,,2.6
2013,Percentage,,Bremen,code04,,2.69
2014,Percentage,,Bremen,code04,,2.8
2015,Percentage,,Bremen,code04,,2.81
2016,Percentage,,Bremen,code04,,2.86
2017,Percentage,,Bremen,code04,,2.77
2018,Percentage,,Bremen,code04,,2.84
2019,Percentage,,Bremen,code04,,3.01
2020,Percentage,,Bremen,code04,,3.69
2021,Percentage,,Bremen,code04,,3.15
2022,Percentage,,Bremen,code04,,3.05
2023,Percentage,,Bremen,code04,,2.84
2025,Percentage,…,Bremen,code04,,
1991,Percentage,,Hamburg,code02,,
1992,Percentage,,Hamburg,code02,,
1993,Percentage,,Hamburg,code02,,
1994,Percentage,,Hamburg,code02,,
1995,Percentage,,Hamburg,code02,,1.77
1996,Percentage,,Hamburg,code02,,
1997,Percentage,,Hamburg,code02,,1.77
1998,Percentage,,Hamburg,code02,,
1999,Percentage,,Hamburg,code02,,1.66
2000,Percentage,,Hamburg,code02,,1.67
2001,Percentage,,Hamburg,code02,,1.37
2002,Percentage,,Hamburg,code02,,1.33
2003,Percentage,,Hamburg,code02,,1.69
2004,Percentage,,Hamburg,code02,,1.59
2005,Percentage,,Hamburg,code02,,1.74
2006,Percentage,,Hamburg,code02,,1.81
2007,Percentage,,Hamburg,code02,,1.78
2008,Percentage,,Hamburg,code02,,1.88
2009,Percentage,,Hamburg,code02,,2.05
2010,Percentage,,Hamburg,code02,,2.03
2011,Percentage,,Hamburg,code02,,2.13
2012,Percentage,,Hamburg,code02,,2.17
2013,Percentage,,Hamburg,code02,,2.18
2014,Percentage,,Hamburg,code02,,2.27
2015,Percentage,,Hamburg,code02,,2.15
2016,Percentage,,Hamburg,code02,,2.18
2017,Percentage,,Hamburg,code02,,2.06
2018,Percentage,,Hamburg,code02,,2.12
2019,Percentage,,Hamburg,code02,,2.08
2020,Percentage,,Hamburg,code02,,2.14
2021,Percentage,,Hamburg,code02,,2.05
2022,Percentage,,Hamburg,code02,,1.98
2023,Percentage,,Hamburg,code02,,2.65
2025,Percentage,…,Hamburg,code02,,
1991,Percentage,,Hesse,code06,,
1992,Percentage,,Hesse,code06,,
1993,Percentage,,Hesse,code06,,
1994,Percentage,,Hesse,code06,,
1995,Percentage,,Hesse,code06,,2.13
1996,Percentage,,Hesse,code06,,
1997,Percentage,,Hesse,code06,,2.11
1998,Percentage,,Hesse,code06,,
1999,Percentage,,Hesse,code06,,2.38
2000,Percentage,,Hesse,code06,,2.44
2001,Percentage,,Hesse,code06,,2.29
2002,Percentage,,Hesse,code06,,2.33
2003,Percentage,,Hesse,code06,,2.44
2004,Percentage,,Hesse,code06,,2.42
2005,Percentage,,Hesse,code06,,2.43
2006,Percentage,,Hesse,code06,,2.51
2007,Percentage,,Hesse,code06,,2.46
2008,Percentage,,Hesse,code06,,2.65
2009,Percentage,,Hesse,code06,,2.9
2010,Percentage,,Hesse,code06,,2.92
2011,Percentage,,Hesse,code06,,2.81
2012,Percentage,,Hesse,code06,,2.94
2013,Percentage,,Hesse,code06,,2.74
2014,Percentage,,Hesse,code06,,2.8
2015,Percentage,,Hesse,code06,,2.76
2016,Percentage,,Hesse,code06,,2.77
2017,Percentage,,Hesse,code06,,2.84
2018,Percentage,,Hesse,code06,,2.93
2019,Percentage,,Hesse,code06,,3.02
2020,Percentage,,Hesse,code06,,2.98
2021,Percentage,,Hesse,code06,,2.99
2022,Percentage,,Hesse,code06,,3.04
2023,Percentage,,Hesse,code06,,3.01
2025,Percentage,…,Hesse,code06,,
1991,Percentage,,Mecklenburg Western Pomerania,code13,,
1992,Percentage,,Mecklenburg Western Pomerania,code13,,
1993,Percentage,,Mecklenburg Western Pomerania,code13,,
1994,Percentage,,Mecklenburg Western Pomerania,code13,,
1995,Percentage,,Mecklenburg Western Pomerania,code13,,0.94
1996,Percentage,,Mecklenburg Western Pomerania,code13,,
1997,Percentage,,Mecklenburg Western Pomerania,code13,,0.96
1998,Percentage,,Mecklenburg Western Pomerania,code13,,
1999,Percentage,,Mecklenburg Western Pomerania,code13,,1.02
2000,Percentage,,Mecklenburg Western Pomerania,code13,,1.03
2001,Percentage,,Mecklenburg Western Pomerania,code13,,1.16
2002,Percentage,,Mecklenburg Western Pomerania,code13,,1.19
2003,Percentage,,Mecklenburg Western Pomerania,code13,,1.34
2004,Percentage,,Mecklenburg Western Pomerania,code13,,1.38
2005,Percentage,,Mecklenburg Western Pomerania,code13,,1.45
2006,Percentage,,Mecklenburg Western Pomerania,code13,,1.4
2007,Percentage,,Mecklenburg Western Pomerania,code13,,1.37
2008,Percentage,,Mecklenburg Western Pomerania,code13,,1.51
2009,Percentage,,Mecklenburg Western Pomerania,code13,,1.8
2010,Percentage,,Mecklenburg Western Pomerania,code13,,1.95
2011,Percentage,,Mecklenburg Western Pomerania,code13,,2.01
2012,Percentage,,Mecklenburg Western Pomerania,code13,,2.07
2013,Percentage,,Mecklenburg Western Pomerania,code13,,1.78
2014,Percentage,,Mecklenburg Western Pomerania,code13,,1.83
2015,Percentage,,Mecklenburg Western Pomerania,code13,,1.84
2016,Percentage,,Mecklenburg Western Pomerania,code13,,1.82
2017,Percentage,,Mecklenburg Western Pomerania,code13,,1.74
2018,Percentage,,Mecklenburg Western Pomerania,code13,,1.79
2019,Percentage,,Mecklenburg Western Pomerania,code13,,1.75
2020,Percentage,,Mecklenburg Western Pomerania,code13,,1.78
2021,Percentage,,Mecklenburg Western Pomerania,code13,,1.76
2022,Percentage,,Mecklenburg Western Pomerania,code13,,1.69
2023,Percentage,,Mecklenburg Western Pomerania,code13,,1.37
2025,Percentage,…,Mecklenburg Western Pomerania,code13,,
1991,Percentage,,Lower Saxony,code03,,
1992,Percentage,,Lower Saxony,code03,,
1993,Percentage,,Lower Saxony,code03,,
1994,Percentage,,Lower Saxony,code03,,
1995,Percentage,,Lower Saxony,code03,,1.7
1996,Percentage,,Lower Saxony,code03,,
1997,Percentage,,Lower Saxony,code03,,1.72
1998,Percentage,,Lower Saxony,code03,,
1999,Percentage,,Lower Saxony,code03,,2.26
2000,Percentage,,Lower Saxony,code03,,2.27
2001,Percentage,,Lower Saxony,code03,,2.4
2002,Percentage,,Lower Saxony,code03,,2.53
2003,Percentage,,Lower Saxony,code03,,2.79
2004,Percentage,,Lower Saxony,code03,,2.73
2005,Percentage,,Lower Saxony,code03,,2.19
2006,Percentage,,Lower Saxony,code03,,2.13
2007,Percentage,,Lower Saxony,code03,,2.35
2008,Percentage,,Lower Saxony,code03,,2.49
2009,Percentage,,Lower Saxony,code03,,2.56
2010,Percentage,,Lower Saxony,code03,,2.49
2011,Percentage,,Lower Saxony,code03,,2.66
2012,Percentage,,Lower Saxony,code03,,2.71
2013,Percentage,,Lower Saxony,code03,,2.78
2014,Percentage,,Lower Saxony,code03,,2.8
2015,Percentage,,Lower Saxony,code03,,3.34
2016,Percentage,,Lower Saxony,code03,,3.21
2017,Percentage,,Lower Saxony,code03,,3.05
2018,Percentage,,Lower Saxony,code03,,3.07
2019,Percentage,,Lower Saxony,code03,,3.06
2020,Percentage,,Lower Saxony,code03,,3.01
2021,Percentage,,Lower Saxony,code03,,2.68
2022,Percentage,,Lower Saxony,code03,,2.66
2023,Percentage,,Lower Saxony,code03,,2.74
2025,Percentage,…,Lower Saxony,code03,,
1991,Percentage,,North Rhine-Westphalia,code05,,
1992,Percentage,,North Rhine-Westphalia,code05,,
1993,Percentage,,North Rhine-Westphalia,code05,,
1994,Percentage,,North Rhine-Westphalia,code05,,
1995,Percentage,,North Rhine-Westphalia,code05,,1.57
1996,Percentage,,North Rhine-Westphalia,code05,,
1997,Percentage,,North Rhine-Westphalia,code05,,1.61
1998,Percentage,,North Rhine-Westphalia,code05,,
1999,Percentage,,North Rhine-Westphalia,code05,,1.72
2000,Percentage,,North Rhine-Westphalia,code05,,1.76
2001,Percentage,,North Rhine-Westphalia,code05,,1.69
2002,Percentage,,North Rhine-Westphalia,code05,,1.74
2003,Percentage,,North Rhine-Westphalia,code05,,1.73
2004,Percentage,,North Rhine-Westphalia,code05,,1.7
2005,Percentage,,North Rhine-Westphalia,code05,,1.72
2006,Percentage,,North Rhine-Westphalia,code05,,1.75
2007,Percentage,,North Rhine-Westphalia,code05,,1.7
2008,Percentage,,North Rhine-Westphalia,code05,,1.79
2009,Percentage,,North Rhine-Westphalia,code05,,1.94
2010,Percentage,,North Rhine-Westphalia,code05,,1.95
2011,Percentage,,North Rhine-Westphalia,code05,,1.96
2012,Percentage,,North Rhine-Westphalia,code05,,2.05
2013,Percentage,,North Rhine-Westphalia,code05,,1.94
2014,Percentage,,North Rhine-Westphalia,code05,,1.99
2015,Percentage,,North Rhine-Westphalia,code05,,1.95
2016,Percentage,,North Rhine-Westphalia,code05,,1.99
2017,Percentage,,North Rhine-Westphalia,code05,,2.07
2018,Percentage,,North Rhine-Westphalia,code05,,2.12
2019,Percentage,,North Rhine-Westphalia,code05,,2.12
2020,Percentage,,North Rhine-Westphalia,code05,,2.12
2021,Percentage,,North Rhine-Westphalia,code05,,2.17
2022,Percentage,,North Rhine-Westphalia,code05,,2.18
2023,Percentage,,North Rhine-Westphalia,code05,,2.28
2025,Percentage,…,North Rhine-Westphalia,code05,,
1991,Percentage,,Rhineland Palatinate,code07,,
1992,Percentage,,Rhineland Palatinate,code07,,
1993,Percentage,,Rhineland Palatinate,code07,,
1994,Percentage,,Rhineland Palatinate,code07,,
1995,Percentage,,Rhineland Palatinate,code07,,1.71
1996,Percentage,,Rhineland Palatinate,code07,,
1997,Percentage,,Rhineland Palatinate,code07,,2.0
1998,Percentage,,Rhineland Palatinate,code07,,
1999,Percentage,,Rhineland Palatinate,code07,,2.14
2000,Percentage,,Rhineland Palatinate,code07,,2.19
2001,Percentage,,Rhineland Palatinate,code07,,1.91
2002,Percentage,,Rhineland Palatinate,code07,,1.9
2003,Percentage,,Rhineland Palatinate,code07,,1.72
2004,Percentage,,Rhineland Palatinate,code07,,1.69
2005,Percentage,,Rhineland Palatinate,code07,,1.65
2006,Percentage,,Rhineland Palatinate,code07,,1.73
2007,Percentage,,Rhineland Palatinate,code07,,1.77
2008,Percentage,,Rhineland Palatinate,code07,,1.87
2009,Percentage,,Rhineland Palatinate,code07,,1.98
2010,Percentage,,Rhineland Palatinate,code07,,1.99
2011,Percentage,,Rhineland Palatinate,code07,,1.98
2012,Percentage,,Rhineland Palatinate,code07,,2.0
2013,Percentage,,Rhineland Palatinate,code07,,2.11
2014,Percentage,,Rhineland Palatinate,code07,,2.11
2015,Percentage,,Rhineland Palatinate,code07,,2.35
2016,Percentage,,Rhineland Palatinate,code07,,2.42
2017,Percentage,,Rhineland Palatinate,code07,,2.44
2018,Percentage,,Rhineland Palatinate,code07,,2.52
2019,Percentage,,Rhineland Palatinate,code07,,2.55
2020,Percentage,,Rhineland Palatinate,code07,,2.48
2021,Percentage,,Rhineland Palatinate,code07,,2.69
2022,Percentage,,Rhineland Palatinate,code07,,2.73
2023,Percentage,,Rhineland Palatinate,code07,,3.56
2025,Percentage,…,Rhineland Palatinate,code07,,
1991,Percentage,,Saarland,code10,,
1992,Percentage,,Saarland,code10,,
1993,Percentage,,Saarland,code10,,
1994,Percentage,,Saarland,code10,,
1995,Percentage,,Saarland,code10,,0.88
1996,Percentage,,Saarland,code10,,
1997,Percentage,,Saarland,code10,,0.95
1998,Percentage,,Saarland,code10,,
1999,Percentage,,Saarland,code10,,0.96
2000,Percentage,,Saarland,code10,,0.96
2001,Percentage,,Saarland,code10,,1.02
2002,Percentage,,Saarland,code10,,1.0
2003,Percentage,,Saarland,code10,,1.04
2004,Percentage,,Saarland,code10,,1.04
2005,Percentage,,Saarland,code10,,1.0
2006,Percentage,,Saarland,code10,,0.98
2007,Percentage,,Saarland,code10,,1.02
2008,Percentage,,Saarland,code10,,1.09
2009,Percentage,,Saarland,code10,,1.23
2010,Percentage,,Saarland,code10,,1.27
2011,Percentage,,Saarland,code10,,1.45
2012,Percentage,,Saarland,code10,,1.44
2013,Percentage,,Saarland,code10,,1.43
2014,Percentage,,Saarland,code10,,1.39
2015,Percentage,,Saarland,code10,,1.54
2016,Percentage,,Saarland,code10,,1.52
2017,Percentage,,Saarland,code10,,1.7
2018,Percentage,,Saarland,code10,,1.7
2019,Percentage,,Saarland,code10,,1.82
2020,Percentage,,Saarland,code10,,1.86
2021,Percentage,,Saarland,code10,,1.91
2022,Percentage,,Saarland,code10,,1.82
2023,Percentage,,Saarland,code10,,1.64
2025,Percentage,…,Saarland,code10,,
1991,Percentage,,Saxony,code14,,
1992,Percentage,,Saxony,code14,,
1993,Percentage,,Saxony,code14,,
1994,Percentage,,Saxony,code14,,
1995,Percentage,,Saxony,code14,,1.87
1996,Percentage,,Saxony,code14,,
1997,Percentage,,Saxony,code14,,2.1
1998,Percentage,,Saxony,code14,,
1999,Percentage,,Saxony,code14,,2.32
2000,Percentage,,Saxony,code14,,2.39
2001,Percentage,,Saxony,code14,,2.37
2002,Percentage,,Saxony,code14,,2.36
2003,Percentage,,Saxony,code14,,2.22
2004,Percentage,,Saxony,code14,,2.16
2005,Percentage,,Saxony,code14,,2.34
2006,Percentage,,Saxony,code14,,2.28
2007,Percentage,,Saxony,code14,,2.55
2008,Percentage,,Saxony,code14,,2.75
2009,Percentage,,Saxony,code14,,2.68
2010,Percentage,,Saxony,code14,,2.73
2011,Percentage,,Saxony,code14,,2.76
2012,Percentage,,Saxony,code14,,2.75
2013,Percentage,,Saxony,code14,,2.71
2014,Percentage,,Saxony,code14,,2.61
2015,Percentage,,Saxony,code14,,2.68
2016,Percentage,,Saxony,code14,,2.68
2017,Percentage,,Saxony,code14,,2.74
2018,Percentage,,Saxony,code14,,2.82
2019,Percentage,,Saxony,code14,,2.91
2020,Percentage,,Saxony,code14,,2.98
2021,Percentage,,Saxony,code14,,3.06
2022,Percentage,,Saxony,code14,,3.0
2023,Percentage,,Saxony,code14,,2.26
2025,Percentage,…,Saxony,code14,,
1991,Percentage,,Saxony-Anhalt,code15,,
1992,Percentage,,Saxony-Anhalt,code15,,
1993,Percentage,,Saxony-Anhalt,code15,,
1994,Percentage,,Saxony-Anhalt,code15,,
1995,Percentage,,Saxony-Anhalt,code15,,1.34
1996,Percentage,,Saxony-Anhalt,code15,,
1997,Percentage,,Saxony-Anhalt,code15,,1.28
1998,Percentage,,Saxony-Anhalt,code15,,
1999,Percentage,,Saxony-Anhalt,code15,,1.29
2000,Percentage,,Saxony-Anhalt,code15,,1.39
2001,Percentage,,Saxony-Anhalt,code15,,1.3
2002,Percentage,,Saxony-Anhalt,code15,,1.22
2003,Percentage,,Saxony-Anhalt,code15,,1.18
2004,Percentage,,Saxony-Anhalt,code15,,1.14
2005,Percentage,,Saxony-Anhalt,code15,,1.21
2006,Percentage,,Saxony-Anhalt,code15,,1.19
2007,Percentage,,Saxony-Anhalt,code15,,1.17
2008,Percentage,,Saxony-Anhalt,code15,,1.19
2009,Percentage,,Saxony-Anhalt,code15,,1.36
2010,Percentage,,Saxony-Anhalt,code15,,1.39
2011,Percentage,,Saxony-Anhalt,code15,,1.45
2012,Percentage,,Saxony-Anhalt,code15,,1.37
2013,Percentage,,Saxony-Anhalt,code15,,1.4
2014,Percentage,,Saxony-Anhalt,code15,,1.44
2015,Percentage,,Saxony-Anhalt,code15,,1.4
2016,Percentage,,Saxony-Anhalt,code15,,1.45
2017,Percentage,,Saxony-Anhalt,code15,,1.5
2018,Percentage,,Saxony-Anhalt,code15,,1.57
2019,Percentage,,Saxony-Anhalt,code15,,1.52
2020,Percentage,,Saxony-Anhalt,code15,,1.55
2021,Percentage,,Saxony-Anhalt,code15,,1.6
2022,Percentage,,Saxony-Anhalt,code15,,1.59
2023,Percentage,,Saxony-Anhalt,code15,,1.44
2025,Percentage,…,Saxony-Anhalt,code15,,
1991,Percentage,,Schleswig-Holstein,code01,,
1992,Percentage,,Schleswig-Holstein,code01,,
1993,Percentage,,Schleswig-Holstein,code01,,
1994,Percentage,,Schleswig-Holstein,code01,,
1995,Percentage,,Schleswig-Holstein,code01,,1.08
1996,Percentage,,Schleswig-Holstein,code01,,
1997,Percentage,,Schleswig-Holstein,code01,,1.06
1998,Percentage,,Schleswig-Holstein,code01,,
1999,Percentage,,Schleswig-Holstein,code01,,1.08
2000,Percentage,,Schleswig-Holstein,code01,,1.08
2001,Percentage,,Schleswig-Holstein,code01,,1.12
2002,Percentage,,Schleswig-Holstein,code01,,1.2
2003,Percentage,,Schleswig-Holstein,code01,,1.14
2004,Percentage,,Schleswig-Holstein,code01,,1.08
2005,Percentage,,Schleswig-Holstein,code01,,1.14
2006,Percentage,,Schleswig-Holstein,code01,,1.2
2007,Percentage,,Schleswig-Holstein,code01,,1.18
2008,Percentage,,Schleswig-Holstein,code01,,1.22
2009,Percentage,,Schleswig-Holstein,code01,,1.28
2010,Percentage,,Schleswig-Holstein,code01,,1.3
2011,Percentage,,Schleswig-Holstein,code01,,1.41
2012,Percentage,,Schleswig-Holstein,code01,,1.44
2013,Percentage,,Schleswig-Holstein,code01,,1.49
2014,Percentage,,Schleswig-Holstein,code01,,1.55
2015,Percentage,,Schleswig-Holstein,code01,,1.5
2016,Percentage,,Schleswig-Holstein,code01,,1.53
2017,Percentage,,Schleswig-Holstein,code01,,1.55
2018,Percentage,,Schleswig-Holstein,code01,,1.62
2019,Percentage,,Schleswig-Holstein,code01,,1.65
2020,Percentage,,Schleswig-Holstein,code01,,1.6
2021,Percentage,,Schleswig-Holstein,code01,,1.66
2022,Percentage,,Schleswig-Holstein,code01,,1.63
2023,Percentage,,Schleswig-Holstein,code01,,1.53
2025,Percentage,…,Schleswig-Holstein,code01,,
1991,Percentage,,Thuringia,code16,,
1992,Percentage,,Thuringia,code16,,
1993,Percentage,,Thuringia,code16,,
1994,Percentage,,Thuringia,code16,,
1995,Percentage,,Thuringia,code16,,1.58
1996,Percentage,,Thuringia,code16,,
1997,Percentage,,Thuringia,code16,,1.72
1998,Percentage,,Thuringia,code16,,
1999,Percentage,,Thuringia,code16,,1.63
2000,Percentage,,Thuringia,code16,,1.71
2001,Percentage,,Thuringia,code16,,2.04
2002,Percentage,,Thuringia,code16,,2.13
2003,Percentage,,Thuringia,code16,,1.89
2004,Percentage,,Thuringia,code16,,1.89
2005,Percentage,,Thuringia,code16,,1.86
2006,Percentage,,Thuringia,code16,,1.87
2007,Percentage,,Thuringia,code16,,1.86
2008,Percentage,,Thuringia,code16,,2.0
2009,Percentage,,Thuringia,code16,,2.14
2010,Percentage,,Thuringia,code16,,2.13
2011,Percentage,,Thuringia,code16,,2.09
2012,Percentage,,Thuringia,code16,,2.16
2013,Percentage,,Thuringia,code16,,2.13
2014,Percentage,,Thuringia,code16,,2.1
2015,Percentage,,Thuringia,code16,,2.03
2016,Percentage,,Thuringia,code16,,2.04
2017,Percentage,,Thuringia,code16,,2.19
2018,Percentage,,Thuringia,code16,,2.25
2019,Percentage,,Thuringia,code16,,2.29
2020,Percentage,,Thuringia,code16,,2.39
2021,Percentage,,Thuringia,code16,,2.72
2022,Percentage,,Thuringia,code16,,2.74
2023,Percentage,,Thuringia,code16,,2.6
2025,Percentage,…,Thuringia,code16,,
