Year,Units,COMMENT_OBS_0,Sex,Länder,GeoCode,Value
2019,Percentage,.,,Schleswig-Holstein,code01,
2020,Percentage,.,,Schleswig-Holstein,code01,
2021,Percentage,,,Schleswig-Holstein,code01,12.1
2022,Percentage,,,Schleswig-Holstein,code01,13.1
2023,Percentage,,,Schleswig-Holstein,code01,16.4
2024,Percentage,,,Schleswig-Holstein,code01,14.7
2030,Percentage,,,Schleswig-Holstein,code01,
2010,Percentage,.,,Thuringia,code16,
2011,Percentage,.,,Thuringia,code16,
2012,Percentage,.,,Thuringia,code16,
2013,Percentage,.,,Thuringia,code16,
2014,Percentage,.,,Thuringia,code16,
2015,Percentage,.,,Thuringia,code16,
2016,Percentage,.,,Thuringia,code16,
2017,Percentage,.,,Thuringia,code16,
2018,Percentage,.,,Thuringia,code16,
2019,Percentage,.,,Thuringia,code16,
2020,Percentage,.,,Thuringia,code16,
2021,Percentage,,,Thuringia,code16,8.6
2022,Percentage,,,Thuringia,code16,9.4
2023,Percentage,,,Thuringia,code16,12.1
2024,Percentage,,,Thuringia,code16,9.8
2030,Percentage,,,Thuringia,code16,
