Year,Units,Series,COMMENT_OBS_0,Federal state,GeoCode,Value
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,14.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,14.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,12.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,10.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,10.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,10.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Berlin,code11,10.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Berlin,code11,10.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Berlin,code11,10.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Berlin,code11,11.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Berlin,code11,10.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,6.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,7.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,7.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,7.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,7.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,6.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,7.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,5.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,7.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,5.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,6.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,6.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,6.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Brandenburg,code12,7.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Brandenburg,code12,6.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Brandenburg,code12,5.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Brandenburg,code12,6.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Brandenburg,code12,4.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Brandenburg,code12,2.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,25.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,27.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,27.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,24.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,24.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,24.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,27.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,25.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,25.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,25.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,24.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,24.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,23.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bremen,code04,25.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Bremen,code04,22.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Bremen,code04,22.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Bremen,code04,20.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Bremen,code04,19.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Bremen,code04,17.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,20.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,22.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,22.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,23.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,23.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,22.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,24.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,23.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,22.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,22.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,21.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,21.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,21.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hamburg,code02,21.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Hamburg,code02,21.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Hamburg,code02,21.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Hamburg,code02,18.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Hamburg,code02,18.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Hamburg,code02,18.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,23.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,24.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,24.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,24.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,25.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,25.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,24.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,23.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,24.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,23.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,22.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,22.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,21.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Hesse,code06,19.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Hesse,code06,18.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Hesse,code06,18.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Hesse,code06,21.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Hesse,code06,20.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Hesse,code06,19.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,2.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,2.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,3.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,3.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,4.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,6.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,7.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,6.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,8.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,7.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,6.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,6.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,6.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Mecklenburg Western Pomerania,code13,6.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Mecklenburg Western Pomerania,code13,6.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Mecklenburg Western Pomerania,code13,5.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Mecklenburg Western Pomerania,code13,6.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Mecklenburg Western Pomerania,code13,7.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Mecklenburg Western Pomerania,code13,7.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,25.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,24.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,23.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,22.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,22.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,22.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,21.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,20.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,22.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,22.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,21.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,21.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,21.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Lower Saxony,code03,21.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Lower Saxony,code03,19.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Lower Saxony,code03,19.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Lower Saxony,code03,18.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Lower Saxony,code03,18.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Lower Saxony,code03,15.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,24.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,24.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,24.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,23.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,23.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,23.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,24.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,23.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,23.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,23.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,22.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,21.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,20.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,North Rhine-Westphalia,code05,19.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,North Rhine-Westphalia,code05,18.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,North Rhine-Westphalia,code05,17.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,North Rhine-Westphalia,code05,17.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,North Rhine-Westphalia,code05,17.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,North Rhine-Westphalia,code05,16.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,21.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,22.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,22.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,22.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,22.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,22.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,22.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,22.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,21.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,20.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,20.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,19.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,18.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Rhineland Palatinate,code07,17.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Rhineland Palatinate,code07,15.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Rhineland Palatinate,code07,15.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Rhineland Palatinate,code07,15.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Rhineland Palatinate,code07,15.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Rhineland Palatinate,code07,14.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,24.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,26.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,26.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,25.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,25.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,25.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,25.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,24.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,23.0
