Year,Units,Time series,COMMENT_OBS_0,Value
2004,2030 = 100,Farmland sub-indicator,,108.23
2005,2030 = 100,Farmland sub-indicator,,106.13
2006,2030 = 100,Farmland sub-indicator,,97.63
2007,2030 = 100,Farmland sub-indicator,r,98.62
2008,2030 = 100,Farmland sub-indicator,r,98.43
2009,2030 = 100,Farmland sub-indicator,r,92.75
2010,2030 = 100,Farmland sub-indicator,r,83.34
2011,2030 = 100,Farmland sub-indicator,r,77.14
2012,2030 = 100,Farmland sub-indicator,r,80.09
2013,2030 = 100,Farmland sub-indicator,r,74.31
2014,2030 = 100,Farmland sub-indicator,r,74.21
2015,2030 = 100,Farmland sub-indicator,r,78.25
2016,2030 = 100,Farmland sub-indicator,r,79.19
2017,2030 = 100,Farmland sub-indicator,r,71.2
2018,2030 = 100,Farmland sub-indicator,r,69.41
2019,2030 = 100,Farmland sub-indicator,r,71.26
2020,2030 = 100,Farmland sub-indicator,,77.8
2021,2030 = 100,Farmland sub-indicator,,77.18
2022,2030 = 100,Farmland sub-indicator,,77.14
2023,2030 = 100,Farmland sub-indicator,,76.99
2030,2030 = 100,Farmland sub-indicator,…,
1990,2030 = 100,Inland waters sub-indicator,,89.68
1991,2030 = 100,Inland waters sub-indicator,,71.34
1992,2030 = 100,Inland waters sub-indicator,,69.44
1993,2030 = 100,Inland waters sub-indicator,,70.06
1994,2030 = 100,Inland waters sub-indicator,,77.43
1995,2030 = 100,Inland waters sub-indicator,,79.03
1996,2030 = 100,Inland waters sub-indicator,,71.77
1997,2030 = 100,Inland waters sub-indicator,,65.89
1998,2030 = 100,Inland waters sub-indicator,,68.33
1999,2030 = 100,Inland waters sub-indicator,,78.84
2000,2030 = 100,Inland waters sub-indicator,r,74.19
2001,2030 = 100,Inland waters sub-indicator,r,85.34
2002,2030 = 100,Inland waters sub-indicator,r,84.73
2003,2030 = 100,Inland waters sub-indicator,r,85.47
2004,2030 = 100,Inland waters sub-indicator,r,87.81
2005,2030 = 100,Inland waters sub-indicator,r,84.69
2006,2030 = 100,Inland waters sub-indicator,,79.22
2007,2030 = 100,Inland waters sub-indicator,r,92.76
2008,2030 = 100,Inland waters sub-indicator,r,96.82
2009,2030 = 100,Inland waters sub-indicator,r,84.62
2010,2030 = 100,Inland waters sub-indicator,r,77.76
2011,2030 = 100,Inland waters sub-indicator,r,79.83
2012,2030 = 100,Inland waters sub-indicator,r,80.49
2013,2030 = 100,Inland waters sub-indicator,r,80.11
2014,2030 = 100,Inland waters sub-indicator,r,82.96
2015,2030 = 100,Inland waters sub-indicator,r,83.84
2016,2030 = 100,Inland waters sub-indicator,r,86.47
2017,2030 = 100,Inland waters sub-indicator,r,81.86
2018,2030 = 100,Inland waters sub-indicator,r,79.58
2019,2030 = 100,Inland waters sub-indicator,r,78.68
2020,2030 = 100,Inland waters sub-indicator,,85.88
2021,2030 = 100,Inland waters sub-indicator,,78.92
2022,2030 = 100,Inland waters sub-indicator,,78.01
2023,2030 = 100,Inland waters sub-indicator,,80.3
2030,2030 = 100,Inland waters sub-indicator,…,
1990,2030 = 100,<u>Additional time series:</u> Coasts/seas,,88.29
1991,2030 = 100,<u>Additional time series:</u> Coasts/seas,,86.9
1992,2030 = 100,<u>Additional time series:</u> Coasts/seas,,106.2
1993,2030 = 100,<u>Additional time series:</u> Coasts/seas,,99.27
1994,2030 = 100,<u>Additional time series:</u> Coasts/seas,,108.47
1995,2030 = 100,<u>Additional time series:</u> Coasts/seas,,110.09
1996,2030 = 100,<u>Additional time series:</u> Coasts/seas,,96.46
1997,2030 = 100,<u>Additional time series:</u> Coasts/seas,,98.8
1998,2030 = 100,<u>Additional time series:</u> Coasts/seas,,102.05
1999,2030 = 100,<u>Additional time series:</u> Coasts/seas,,102.81
2000,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,102.38
2001,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,103.67
2002,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,99.68
2003,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,98.75
2004,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,90.28
2005,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,86.81
2006,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,85.32
2007,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,88.16
2008,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,83.67
2009,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,77.6
2010,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,78.56
2011,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,81.4
2012,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,78.84
2013,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,78.76
2014,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,81.06
2015,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,76.59
2016,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,81.05
2017,2030 = 100,<u>Additional time series:</u> Coasts/seas,r,76.29
2018,2030 = 100,<u>Additional time series:</u> Coasts/seas,,77.61
2019,2030 = 100,<u>Additional time series:</u> Coasts/seas,,81.98
2020,2030 = 100,<u>Additional time series:</u> Coasts/seas,,84.15
2021,2030 = 100,<u>Additional time series:</u> Coasts/seas,,83.6
2022,2030 = 100,<u>Additional time series:</u> Coasts/seas,,81.72
2023,2030 = 100,<u>Additional time series:</u> Coasts/seas,,79.04
2030,2030 = 100,<u>Additional time series:</u> Coasts/seas,…,
