Year,Units,Time series,COMMENT_OBS_0,Sex,Federal state,GeoCode,Value
2009,Percentage,d) Adults,,,Rhineland Palatinate,code07,25.1
2013,Percentage,d) Adults,,,Rhineland Palatinate,code07,23.86
2017,Percentage,d) Adults,,,Rhineland Palatinate,code07,21.66
2021,Percentage,d) Adults,p,,Rhineland Palatinate,code07,18.5
2003,Percentage,d) Adults,,,Saarland,code10,25.19
2005,Percentage,d) Adults,,,Saarland,code10,26.2
2009,Percentage,d) Adults,,,Saarland,code10,25.3
2013,Percentage,d) Adults,,,Saarland,code10,23.51
2017,Percentage,d) Adults,,,Saarland,code10,20.59
2021,Percentage,d) Adults,p,,Saarland,code10,18.1
2003,Percentage,d) Adults,,,Saxony,code14,24.92
2005,Percentage,d) Adults,,,Saxony,code14,24.4
2009,Percentage,d) Adults,,,Saxony,code14,23.8
2013,Percentage,d) Adults,,,Saxony,code14,22.74
2017,Percentage,d) Adults,,,Saxony,code14,21.47
2021,Percentage,d) Adults,p,,Saxony,code14,21.1
2003,Percentage,d) Adults,,,Saxony-Anhalt,code15,27.23
2005,Percentage,d) Adults,,,Saxony-Anhalt,code15,27.9
2009,Percentage,d) Adults,,,Saxony-Anhalt,code15,28.9
2013,Percentage,d) Adults,,,Saxony-Anhalt,code15,27.85
2017,Percentage,d) Adults,,,Saxony-Anhalt,code15,24.77
2021,Percentage,d) Adults,p,,Saxony-Anhalt,code15,22.8
2003,Percentage,d) Adults,,,Schleswig-Holstein,code01,30.31
2005,Percentage,d) Adults,,,Schleswig-Holstein,code01,29.5
2009,Percentage,d) Adults,,,Schleswig-Holstein,code01,27.0
2013,Percentage,d) Adults,,,Schleswig-Holstein,code01,25.9
2017,Percentage,d) Adults,,,Schleswig-Holstein,code01,23.5
2021,Percentage,d) Adults,p,,Schleswig-Holstein,code01,19.0
2003,Percentage,d) Adults,,,Thuringia,code16,26.9
2005,Percentage,d) Adults,,,Thuringia,code16,27.2
2009,Percentage,d) Adults,,,Thuringia,code16,26.7
2013,Percentage,d) Adults,,,Thuringia,code16,26.11
2017,Percentage,d) Adults,,,Thuringia,code16,26.24
2021,Percentage,d) Adults,p,,Thuringia,code16,23.5
