Year,Units,Degree of urbanisation,Federal state,GeoCode,Value
2012,m² per year,,Baden-Wuerttemberg,code08,-2.278
2013,m² per year,,Baden-Wuerttemberg,code08,-2.143
2014,m² per year,,Baden-Wuerttemberg,code08,-2.028
2015,m² per year,,Baden-Wuerttemberg,code08,-1.918
2016,m² per year,,Baden-Wuerttemberg,code08,-1.7
2017,m² per year,,Baden-Wuerttemberg,code08,-1.88
2018,m² per year,,Baden-Wuerttemberg,code08,-1.81
2019,m² per year,,Baden-Wuerttemberg,code08,-1.765
2020,m² per year,,Baden-Wuerttemberg,code08,-1.862
2021,m² per year,,Baden-Wuerttemberg,code08,-1.723
2022,m² per year,,Baden-Wuerttemberg,code08,-1.721
2009,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.106
2010,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.214
2011,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.199
2012,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.093
2013,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.024
2014,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.899
2015,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.852
2016,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.779
2017,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.867
2018,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.78
2019,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.686
2020,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.707
2021,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.626
2022,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.673
2009,m² per year,Rural areas,Baden-Wuerttemberg,code08,-3.244
2010,m² per year,Rural areas,Baden-Wuerttemberg,code08,-3.063
2011,m² per year,Rural areas,Baden-Wuerttemberg,code08,-3.003
2012,m² per year,Rural areas,Baden-Wuerttemberg,code08,-3.091
2013,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.899
2014,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.756
2015,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.602
2016,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.302
2017,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.577
2018,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.545
2019,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.532
2020,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.645
2021,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.461
2022,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.424
2004,m² per year,,Bavaria,code09,-5.307
2005,m² per year,,Bavaria,code09,-4.868
2006,m² per year,,Bavaria,code09,-5.036
2007,m² per year,,Bavaria,code09,-4.967
2008,m² per year,,Bavaria,code09,-5.04
2009,m² per year,,Bavaria,code09,-5.076
2010,m² per year,,Bavaria,code09,-5.091
2011,m² per year,,Bavaria,code09,-8.473
2012,m² per year,,Bavaria,code09,-8.154
2013,m² per year,,Bavaria,code09,-7.867
2014,m² per year,,Bavaria,code09,-7.12
2015,m² per year,,Bavaria,code09,-3.494
2016,m² per year,,Bavaria,code09,-3.278
2017,m² per year,,Bavaria,code09,-3.186
2018,m² per year,,Bavaria,code09,-3.115
2019,m² per year,,Bavaria,code09,-2.933
2020,m² per year,,Bavaria,code09,-3.076
2021,m² per year,,Bavaria,code09,-2.968
2022,m² per year,,Bavaria,code09,-2.755
2009,m² per year,Non-rural areas,Bavaria,code09,-1.52
2010,m² per year,Non-rural areas,Bavaria,code09,-1.654
2011,m² per year,Non-rural areas,Bavaria,code09,-1.956
2012,m² per year,Non-rural areas,Bavaria,code09,-1.68
2013,m² per year,Non-rural areas,Bavaria,code09,-1.526
2014,m² per year,Non-rural areas,Bavaria,code09,-1.261
2015,m² per year,Non-rural areas,Bavaria,code09,-0.84
2016,m² per year,Non-rural areas,Bavaria,code09,-0.945
2017,m² per year,Non-rural areas,Bavaria,code09,-1.105
2018,m² per year,Non-rural areas,Bavaria,code09,-1.101
2019,m² per year,Non-rural areas,Bavaria,code09,-0.951
2020,m² per year,Non-rural areas,Bavaria,code09,-0.783
2021,m² per year,Non-rural areas,Bavaria,code09,-0.498
2022,m² per year,Non-rural areas,Bavaria,code09,-0.449
2009,m² per year,Rural areas,Bavaria,code09,-5.989
2010,m² per year,Rural areas,Bavaria,code09,-6.806
2011,m² per year,Rural areas,Bavaria,code09,-12.587
2012,m² per year,Rural areas,Bavaria,code09,-10.573
2013,m² per year,Rural areas,Bavaria,code09,-10.25
2014,m² per year,Rural areas,Bavaria,code09,-9.346
2015,m² per year,Rural areas,Bavaria,code09,-4.513
2016,m² per year,Rural areas,Bavaria,code09,-4.172
2017,m² per year,Rural areas,Bavaria,code09,-3.985
2018,m² per year,Rural areas,Bavaria,code09,-3.878
2019,m² per year,Rural areas,Bavaria,code09,-3.693
2020,m² per year,Rural areas,Bavaria,code09,-3.962
2021,m² per year,Rural areas,Bavaria,code09,-3.922
2022,m² per year,Rural areas,Bavaria,code09,-3.648
2004,m² per year,,Berlin,code11,-0.295
2005,m² per year,,Berlin,code11,-0.295
2006,m² per year,,Berlin,code11,-0.221
2007,m² per year,,Berlin,code11,-0.294
2008,m² per year,,Berlin,code11,-0.294
2009,m² per year,,Berlin,code11,-0.364
2010,m² per year,,Berlin,code11,-0.436
2011,m² per year,,Berlin,code11,-0.29
2012,m² per year,,Berlin,code11,-0.142
2013,m² per year,,Berlin,code11,0.003
2014,m² per year,,Berlin,code11,0.075
2015,m² per year,,Berlin,code11,0.075
2016,m² per year,,Berlin,code11,-0.158
2017,m² per year,,Berlin,code11,-0.152
2018,m² per year,,Berlin,code11,-0.18
2019,m² per year,,Berlin,code11,-0.193
2020,m² per year,,Berlin,code11,-0.119
2021,m² per year,,Berlin,code11,-0.057
2022,m² per year,,Berlin,code11,-0.036
2004,m² per year,,Brandenburg,code12,-11.627
2005,m² per year,,Brandenburg,code12,-12.256
2006,m² per year,,Brandenburg,code12,-12.394
2007,m² per year,,Brandenburg,code12,-11.945
2008,m² per year,,Brandenburg,code12,-13.576
2009,m² per year,,Brandenburg,code12,-12.158
2010,m² per year,,Brandenburg,code12,-10.814
2011,m² per year,,Brandenburg,code12,-9.572
2012,m² per year,,Brandenburg,code12,-6.736
2013,m² per year,,Brandenburg,code12,-8.433
2014,m² per year,,Brandenburg,code12,-7.854
2015,m² per year,,Brandenburg,code12,-7.335
2016,m² per year,,Brandenburg,code12,-7.064
2017,m² per year,,Brandenburg,code12,-3.084
2018,m² per year,,Brandenburg,code12,-2.548
2019,m² per year,,Brandenburg,code12,-2.033
2020,m² per year,,Brandenburg,code12,-3.778
2021,m² per year,,Brandenburg,code12,-5.882
2022,m² per year,,Brandenburg,code12,-7.418
2009,m² per year,Non-rural areas,Brandenburg,code12,1.358
2010,m² per year,Non-rural areas,Brandenburg,code12,0.201
2011,m² per year,Non-rural areas,Brandenburg,code12,0.05
2012,m² per year,Non-rural areas,Brandenburg,code12,-0.794
2013,m² per year,Non-rural areas,Brandenburg,code12,-1.435
2014,m² per year,Non-rural areas,Brandenburg,code12,-1.356
2015,m² per year,Non-rural areas,Brandenburg,code12,-1.472
2016,m² per year,Non-rural areas,Brandenburg,code12,-1.252
2017,m² per year,Non-rural areas,Brandenburg,code12,-1.092
2018,m² per year,Non-rural areas,Brandenburg,code12,-1.157
2019,m² per year,Non-rural areas,Brandenburg,code12,-1.144
2020,m² per year,Non-rural areas,Brandenburg,code12,-1.11
2021,m² per year,Non-rural areas,Brandenburg,code12,-1.377
2022,m² per year,Non-rural areas,Brandenburg,code12,-2.848
2009,m² per year,Rural areas,Brandenburg,code12,-10.518
2010,m² per year,Rural areas,Brandenburg,code12,-8.965
2011,m² per year,Rural areas,Brandenburg,code12,-7.687
2012,m² per year,Rural areas,Brandenburg,code12,-7.15
2013,m² per year,Rural areas,Brandenburg,code12,-8.974
2014,m² per year,Rural areas,Brandenburg,code12,-8.266
2015,m² per year,Rural areas,Brandenburg,code12,-7.706
2016,m² per year,Rural areas,Brandenburg,code12,-7.432
2017,m² per year,Rural areas,Brandenburg,code12,-3.193
2018,m² per year,Rural areas,Brandenburg,code12,-2.658
2019,m² per year,Rural areas,Brandenburg,code12,-2.124
2020,m² per year,Rural areas,Brandenburg,code12,-3.987
2021,m² per year,Rural areas,Brandenburg,code12,-6.228
2022,m² per year,Rural areas,Brandenburg,code12,-7.77
2004,m² per year,,Bremen,code04,-0.756
2005,m² per year,,Bremen,code04,-0.754
2006,m² per year,,Bremen,code04,-0.754
2007,m² per year,,Bremen,code04,-1.131
2008,m² per year,,Bremen,code04,-1.131
2009,m² per year,,Bremen,code04,-0.754
2010,m² per year,,Bremen,code04,-1.132
2011,m² per year,,Bremen,code04,-0.762
2012,m² per year,,Bremen,code04,-1.525
2013,m² per year,,Bremen,code04,-1.525
2014,m² per year,,Bremen,code04,-1.525
2015,m² per year,,Bremen,code04,-1.141
2016,m² per year,,Bremen,code04,-0.728
2017,m² per year,,Bremen,code04,-0.83
2018,m² per year,,Bremen,code04,-0.325
2019,m² per year,,Bremen,code04,-0.383
2020,m² per year,,Bremen,code04,-0.173
2021,m² per year,,Bremen,code04,-0.141
2022,m² per year,,Bremen,code04,-0.608
2004,m² per year,,Hamburg,code02,-1.587
2005,m² per year,,Hamburg,code02,-2.161
2006,m² per year,,Hamburg,code02,-1.867
2007,m² per year,,Hamburg,code02,-1.576
2008,m² per year,,Hamburg,code02,-1.0
2009,m² per year,,Hamburg,code02,-0.567
2010,m² per year,,Hamburg,code02,-0.422
2011,m² per year,,Hamburg,code02,-0.281
2012,m² per year,,Hamburg,code02,-0.425
2013,m² per year,,Hamburg,code02,-0.57
2014,m² per year,,Hamburg,code02,-0.005
2015,m² per year,,Hamburg,code02,0.415
2016,m² per year,,Hamburg,code02,0.994
2017,m² per year,,Hamburg,code02,1.224
2018,m² per year,,Hamburg,code02,0.839
2019,m² per year,,Hamburg,code02,0.449
2020,m² per year,,Hamburg,code02,0.029
2021,m² per year,,Hamburg,code02,0.164
2022,m² per year,,Hamburg,code02,0.457
2004,m² per year,,Hesse,code06,-2.381
2005,m² per year,,Hesse,code06,-2.503
2006,m² per year,,Hesse,code06,-2.299
2007,m² per year,,Hesse,code06,-2.342
2008,m² per year,,Hesse,code06,-2.139
2009,m² per year,,Hesse,code06,-2.142
2010,m² per year,,Hesse,code06,-2.225
2011,m² per year,,Hesse,code06,-1.733
2012,m² per year,,Hesse,code06,-1.862
2013,m² per year,,Hesse,code06,-1.656
2014,m² per year,,Hesse,code06,-1.613
2015,m² per year,,Hesse,code06,-1.81
2016,m² per year,,Hesse,code06,-1.964
2017,m² per year,,Hesse,code06,-2.179
2018,m² per year,,Hesse,code06,-2.057
2019,m² per year,,Hesse,code06,-2.051
2020,m² per year,,Hesse,code06,-1.533
2021,m² per year,,Hesse,code06,-1.185
2022,m² per year,,Hesse,code06,-0.37
2009,m² per year,Non-rural areas,Hesse,code06,-0.624
2010,m² per year,Non-rural areas,Hesse,code06,-0.856
2011,m² per year,Non-rural areas,Hesse,code06,-0.863
2012,m² per year,Non-rural areas,Hesse,code06,-1.072
2013,m² per year,Non-rural areas,Hesse,code06,-1.056
2014,m² per year,Non-rural areas,Hesse,code06,-1.268
2015,m² per year,Non-rural areas,Hesse,code06,-1.261
2016,m² per year,Non-rural areas,Hesse,code06,-1.176
2017,m² per year,Non-rural areas,Hesse,code06,-1.387
2018,m² per year,Non-rural areas,Hesse,code06,-1.011
2019,m² per year,Non-rural areas,Hesse,code06,-0.842
2020,m² per year,Non-rural areas,Hesse,code06,-0.461
2021,m² per year,Non-rural areas,Hesse,code06,-0.221
2022,m² per year,Non-rural areas,Hesse,code06,-0.174
2009,m² per year,Rural areas,Hesse,code06,-3.178
2010,m² per year,Rural areas,Hesse,code06,-3.062
2011,m² per year,Rural areas,Hesse,code06,-2.307
2012,m² per year,Rural areas,Hesse,code06,-2.385
2013,m² per year,Rural areas,Hesse,code06,-2.052
2014,m² per year,Rural areas,Hesse,code06,-1.882
2015,m² per year,Rural areas,Hesse,code06,-2.17
2016,m² per year,Rural areas,Hesse,code06,-2.523
2017,m² per year,Rural areas,Hesse,code06,-2.75
2018,m² per year,Rural areas,Hesse,code06,-2.81
2019,m² per year,Rural areas,Hesse,code06,-2.912
2020,m² per year,Rural areas,Hesse,code06,-2.307
2021,m² per year,Rural areas,Hesse,code06,-1.88
2022,m² per year,Rural areas,Hesse,code06,-0.513
2004,m² per year,,Mecklenburg Western Pomerania,code13,-18.403
2005,m² per year,,Mecklenburg Western Pomerania,code13,-18.082
2006,m² per year,,Mecklenburg Western Pomerania,code13,-16.478
2007,m² per year,,Mecklenburg Western Pomerania,code13,-15.288
2008,m² per year,,Mecklenburg Western Pomerania,code13,-16.93
2009,m² per year,,Mecklenburg Western Pomerania,code13,-17.655
2010,m² per year,,Mecklenburg Western Pomerania,code13,-17.627
2011,m² per year,,Mecklenburg Western Pomerania,code13,-15.611
2012,m² per year,,Mecklenburg Western Pomerania,code13,-11.471
2013,m² per year,,Mecklenburg Western Pomerania,code13,-8.485
2014,m² per year,,Mecklenburg Western Pomerania,code13,-8.123
2015,m² per year,,Mecklenburg Western Pomerania,code13,-7.032
2016,m² per year,,Mecklenburg Western Pomerania,code13,-15.399
2017,m² per year,,Mecklenburg Western Pomerania,code13,-9.654
2018,m² per year,,Mecklenburg Western Pomerania,code13,-6.348
2019,m² per year,,Mecklenburg Western Pomerania,code13,-5.606
2020,m² per year,,Mecklenburg Western Pomerania,code13,3.921
2021,m² per year,,Mecklenburg Western Pomerania,code13,-1.362
2022,m² per year,,Mecklenburg Western Pomerania,code13,-1.557
2009,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-0.099
2010,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-1.653
2011,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-1.317
2012,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-1.271
2013,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-1.461
2014,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-0.886
2015,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-3.043
2016,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-2.976
2017,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-2.881
2018,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-2.679
2019,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-0.397
2020,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,0.669
2021,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,0.633
2022,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,0.526
2009,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-19.258
2010,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-18.42
2011,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-14.581
2012,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-12.898
2013,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-9.462
2014,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-6.334
2015,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-7.603
2016,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-17.172
2017,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-10.618
2018,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-9.679
2019,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-6.362
2020,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,4.4
2021,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-1.661
2022,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-1.869
2004,m² per year,,Lower Saxony,code03,-6.607
2005,m² per year,,Lower Saxony,code03,-6.474
2006,m² per year,,Lower Saxony,code03,-6.38
2007,m² per year,,Lower Saxony,code03,-6.133
2008,m² per year,,Lower Saxony,code03,-5.329
2009,m² per year,,Lower Saxony,code03,-4.712
2010,m² per year,,Lower Saxony,code03,-4.375
2011,m² per year,,Lower Saxony,code03,-4.919
2012,m² per year,,Lower Saxony,code03,-4.787
2013,m² per year,,Lower Saxony,code03,-4.9
2014,m² per year,,Lower Saxony,code03,-5.198
2015,m² per year,,Lower Saxony,code03,-4.534
2016,m² per year,,Lower Saxony,code03,-3.472
2017,m² per year,,Lower Saxony,code03,-3.131
2018,m² per year,,Lower Saxony,code03,-2.725
2019,m² per year,,Lower Saxony,code03,-2.318
2020,m² per year,,Lower Saxony,code03,-3.006
2021,m² per year,,Lower Saxony,code03,-2.893
2022,m² per year,,Lower Saxony,code03,-2.694
2009,m² per year,Non-rural areas,Lower Saxony,code03,-1.152
2010,m² per year,Non-rural areas,Lower Saxony,code03,-1.635
2011,m² per year,Non-rural areas,Lower Saxony,code03,-2.366
2012,m² per year,Non-rural areas,Lower Saxony,code03,-2.121
2013,m² per year,Non-rural areas,Lower Saxony,code03,-2.11
2014,m² per year,Non-rural areas,Lower Saxony,code03,-1.819
2015,m² per year,Non-rural areas,Lower Saxony,code03,-1.138
2016,m² per year,Non-rural areas,Lower Saxony,code03,-0.524
2017,m² per year,Non-rural areas,Lower Saxony,code03,-0.153
2018,m² per year,Non-rural areas,Lower Saxony,code03,-0.386
2019,m² per year,Non-rural areas,Lower Saxony,code03,-0.464
2020,m² per year,Non-rural areas,Lower Saxony,code03,-0.931
2021,m² per year,Non-rural areas,Lower Saxony,code03,-1.267
2022,m² per year,Non-rural areas,Lower Saxony,code03,-1.016
2009,m² per year,Rural areas,Lower Saxony,code03,-4.783
2010,m² per year,Rural areas,Lower Saxony,code03,-4.465
2011,m² per year,Rural areas,Lower Saxony,code03,-5.607
2012,m² per year,Rural areas,Lower Saxony,code03,-5.604
2013,m² per year,Rural areas,Lower Saxony,code03,-5.734
2014,m² per year,Rural areas,Lower Saxony,code03,-6.195
2015,m² per year,Rural areas,Lower Saxony,code03,-5.558
2016,m² per year,Rural areas,Lower Saxony,code03,-4.362
2017,m² per year,Rural areas,Lower Saxony,code03,-4.043
2018,m² per year,Rural areas,Lower Saxony,code03,-3.454
2019,m² per year,Rural areas,Lower Saxony,code03,-2.88
2020,m² per year,Rural areas,Lower Saxony,code03,-3.636
2021,m² per year,Rural areas,Lower Saxony,code03,-3.387
2022,m² per year,Rural areas,Lower Saxony,code03,-3.204
2004,m² per year,,North Rhine-Westphalia,code05,-3.085
2005,m² per year,,North Rhine-Westphalia,code05,-2.919
2006,m² per year,,North Rhine-Westphalia,code05,-2.852
2007,m² per year,,North Rhine-Westphalia,code05,-3.104
2008,m² per year,,North Rhine-Westphalia,code05,-2.875
2009,m² per year,,North Rhine-Westphalia,code05,-2.686
2010,m² per year,,North Rhine-Westphalia,code05,-2.539
2011,m² per year,,North Rhine-Westphalia,code05,-2.344
2012,m² per year,,North Rhine-Westphalia,code05,-2.118
2013,m² per year,,North Rhine-Westphalia,code05,-2.126
2014,m² per year,,North Rhine-Westphalia,code05,-2.006
2015,m² per year,,North Rhine-Westphalia,code05,-1.968
2016,m² per year,,North Rhine-Westphalia,code05,-1.019
2017,m² per year,,North Rhine-Westphalia,code05,-0.854
2018,m² per year,,North Rhine-Westphalia,code05,-0.648
2019,m² per year,,North Rhine-Westphalia,code05,-0.585
2020,m² per year,,North Rhine-Westphalia,code05,-1.284
2021,m² per year,,North Rhine-Westphalia,code05,-1.241
2022,m² per year,,North Rhine-Westphalia,code05,-1.261
2009,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.321
2010,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.299
2011,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.204
2012,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.172
2013,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.17
2014,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.147
2015,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.241
2016,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.576
2017,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.318
2018,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.059
2019,m² per year,Non-rural areas,North Rhine-Westphalia,code05,0.143
2020,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.312
2021,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.378
2022,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.445
2009,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.214
2010,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.061
2011,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.238
2012,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.359
2013,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.404
2014,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.04
2015,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.679
2016,m² per year,Rural areas,North Rhine-Westphalia,code05,-2.056
2017,m² per year,Rural areas,North Rhine-Westphalia,code05,-2.115
2018,m² per year,Rural areas,North Rhine-Westphalia,code05,-2.048
2019,m² per year,Rural areas,North Rhine-Westphalia,code05,-2.31
2020,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.597
2021,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.29
2022,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.197
2004,m² per year,,Rhineland Palatinate,code07,-5.238
2005,m² per year,,Rhineland Palatinate,code07,-5.789
2006,m² per year,,Rhineland Palatinate,code07,-5.914
2007,m² per year,,Rhineland Palatinate,code07,-5.979
2008,m² per year,,Rhineland Palatinate,code07,-4.815
2009,m² per year,,Rhineland Palatinate,code07,-3.154
2010,m² per year,,Rhineland Palatinate,code07,-2.045
2011,m² per year,,Rhineland Palatinate,code07,-1.245
2012,m² per year,,Rhineland Palatinate,code07,-0.813
2013,m² per year,,Rhineland Palatinate,code07,-1.002
2014,m² per year,,Rhineland Palatinate,code07,-1.064
2015,m² per year,,Rhineland Palatinate,code07,-0.566
2016,m² per year,,Rhineland Palatinate,code07,-0.752
2017,m² per year,,Rhineland Palatinate,code07,-0.35
2018,m² per year,,Rhineland Palatinate,code07,-0.489
2019,m² per year,,Rhineland Palatinate,code07,-1.258
2020,m² per year,,Rhineland Palatinate,code07,-1.824
2021,m² per year,,Rhineland Palatinate,code07,-3.827
2022,m² per year,,Rhineland Palatinate,code07,-5.057
2009,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.257
2010,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.687
2011,m² per year,Non-rural areas,Rhineland Palatinate,code07,-1.012
2012,m² per year,Non-rural areas,Rhineland Palatinate,code07,-1.006
2013,m² per year,Non-rural areas,Rhineland Palatinate,code07,-1.068
2014,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.92
2015,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.329
2016,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.321
2017,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.253
2018,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.176
2019,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.243
2020,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.09
2021,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.401
2022,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.61
2009,m² per year,Rural areas,Rhineland Palatinate,code07,-0.66
2010,m² per year,Rural areas,Rhineland Palatinate,code07,-0.485
2011,m² per year,Rural areas,Rhineland Palatinate,code07,-0.569
2012,m² per year,Rural areas,Rhineland Palatinate,code07,-0.794
2013,m² per year,Rural areas,Rhineland Palatinate,code07,-0.986
2014,m² per year,Rural areas,Rhineland Palatinate,code07,-1.052
2015,m² per year,Rural areas,Rhineland Palatinate,code07,-0.63
2016,m² per year,Rural areas,Rhineland Palatinate,code07,-0.834
2017,m² per year,Rural areas,Rhineland Palatinate,code07,-0.347
2018,m² per year,Rural areas,Rhineland Palatinate,code07,-0.6
2019,m² per year,Rural areas,Rhineland Palatinate,code07,-1.535
2020,m² per year,Rural areas,Rhineland Palatinate,code07,-2.291
2021,m² per year,Rural areas,Rhineland Palatinate,code07,-4.751
2022,m² per year,Rural areas,Rhineland Palatinate,code07,-6.254
2004,m² per year,,Saarland,code10,-2.592
2005,m² per year,,Saarland,code10,-2.364
2006,m² per year,,Saarland,code10,-2.374
2007,m² per year,,Saarland,code10,-2.621
2008,m² per year,,Saarland,code10,-1.923
2009,m² per year,,Saarland,code10,-2.18
2010,m² per year,,Saarland,code10,-2.684
2011,m² per year,,Saarland,code10,-2.452
