Year,Units,Sex,Age group,Value
2019,Percentage,,20 to under 25 years,
2020,Percentage,,20 to under 25 years,
1999,Percentage,,25 to under 30 years,
2003,Percentage,,25 to under 30 years,
2005,Percentage,,25 to under 30 years,
2009,Percentage,,25 to under 30 years,
2013,Percentage,,25 to under 30 years,8.023
2017,Percentage,,25 to under 30 years,9.416
2021,Percentage,,25 to under 30 years,10.8
2000,Percentage,,25 to under 30 years,
2001,Percentage,,25 to under 30 years,
2002,Percentage,,25 to under 30 years,
2004,Percentage,,25 to under 30 years,
2006,Percentage,,25 to under 30 years,
2007,Percentage,,25 to under 30 years,
2008,Percentage,,25 to under 30 years,
2010,Percentage,,25 to under 30 years,
2011,Percentage,,25 to under 30 years,
2012,Percentage,,25 to under 30 years,
2014,Percentage,,25 to under 30 years,
2015,Percentage,,25 to under 30 years,
2016,Percentage,,25 to under 30 years,
2018,Percentage,,25 to under 30 years,
2019,Percentage,,25 to under 30 years,
2020,Percentage,,25 to under 30 years,
1999,Percentage,,30 to under 35 years,
2003,Percentage,,30 to under 35 years,
2005,Percentage,,30 to under 35 years,
2009,Percentage,,30 to under 35 years,
2013,Percentage,,30 to under 35 years,10.891
2017,Percentage,,30 to under 35 years,11.866
2021,Percentage,,30 to under 35 years,14.1
2000,Percentage,,30 to under 35 years,
2001,Percentage,,30 to under 35 years,
2002,Percentage,,30 to under 35 years,
2004,Percentage,,30 to under 35 years,
2006,Percentage,,30 to under 35 years,
2007,Percentage,,30 to under 35 years,
2008,Percentage,,30 to under 35 years,
2010,Percentage,,30 to under 35 years,
2011,Percentage,,30 to under 35 years,
2012,Percentage,,30 to under 35 years,
2014,Percentage,,30 to under 35 years,
2015,Percentage,,30 to under 35 years,
2016,Percentage,,30 to under 35 years,
2018,Percentage,,30 to under 35 years,
2019,Percentage,,30 to under 35 years,
2020,Percentage,,30 to under 35 years,
1999,Percentage,,35 to under 40 years,
2003,Percentage,,35 to under 40 years,
2005,Percentage,,35 to under 40 years,
2009,Percentage,,35 to under 40 years,
2013,Percentage,,35 to under 40 years,12.713
2017,Percentage,,35 to under 40 years,13.308
2021,Percentage,,35 to under 40 years,14.5
2000,Percentage,,35 to under 40 years,
2001,Percentage,,35 to under 40 years,
2002,Percentage,,35 to under 40 years,
2004,Percentage,,35 to under 40 years,
2006,Percentage,,35 to under 40 years,
2007,Percentage,,35 to under 40 years,
2008,Percentage,,35 to under 40 years,
2010,Percentage,,35 to under 40 years,
2011,Percentage,,35 to under 40 years,
2012,Percentage,,35 to under 40 years,
2014,Percentage,,35 to under 40 years,
2015,Percentage,,35 to under 40 years,
2016,Percentage,,35 to under 40 years,
2018,Percentage,,35 to under 40 years,
2019,Percentage,,35 to under 40 years,
2020,Percentage,,35 to under 40 years,
1999,Percentage,,40 to under 45 years,
2003,Percentage,,40 to under 45 years,
2005,Percentage,,40 to under 45 years,
2009,Percentage,,40 to under 45 years,
2013,Percentage,,40 to under 45 years,14.255
2017,Percentage,,40 to under 45 years,15.673
2021,Percentage,,40 to under 45 years,16.5
2000,Percentage,,40 to under 45 years,
2001,Percentage,,40 to under 45 years,
2002,Percentage,,40 to under 45 years,
2004,Percentage,,40 to under 45 years,
2006,Percentage,,40 to under 45 years,
2007,Percentage,,40 to under 45 years,
2008,Percentage,,40 to under 45 years,
2010,Percentage,,40 to under 45 years,
2011,Percentage,,40 to under 45 years,
2012,Percentage,,40 to under 45 years,
2014,Percentage,,40 to under 45 years,
2015,Percentage,,40 to under 45 years,
2016,Percentage,,40 to under 45 years,
2018,Percentage,,40 to under 45 years,
2019,Percentage,,40 to under 45 years,
2020,Percentage,,40 to under 45 years,
1999,Percentage,,45 to under 50 years,
2003,Percentage,,45 to under 50 years,
2005,Percentage,,45 to under 50 years,
2009,Percentage,,45 to under 50 years,
2013,Percentage,,45 to under 50 years,15.221
2017,Percentage,,45 to under 50 years,16.237
2021,Percentage,,45 to under 50 years,19.6
2000,Percentage,,45 to under 50 years,
2001,Percentage,,45 to under 50 years,
2002,Percentage,,45 to under 50 years,
2004,Percentage,,45 to under 50 years,
2006,Percentage,,45 to under 50 years,
2007,Percentage,,45 to under 50 years,
2008,Percentage,,45 to under 50 years,
2010,Percentage,,45 to under 50 years,
2011,Percentage,,45 to under 50 years,
2012,Percentage,,45 to under 50 years,
2014,Percentage,,45 to under 50 years,
2015,Percentage,,45 to under 50 years,
2016,Percentage,,45 to under 50 years,
2018,Percentage,,45 to under 50 years,
2019,Percentage,,45 to under 50 years,
2020,Percentage,,45 to under 50 years,
1999,Percentage,,50 to under 55 years,
2003,Percentage,,50 to under 55 years,
2005,Percentage,,50 to under 55 years,
2009,Percentage,,50 to under 55 years,
2013,Percentage,,50 to under 55 years,17.709
2017,Percentage,,50 to under 55 years,17.994
2021,Percentage,,50 to under 55 years,18.9
2000,Percentage,,50 to under 55 years,
2001,Percentage,,50 to under 55 years,
2002,Percentage,,50 to under 55 years,
2004,Percentage,,50 to under 55 years,
2006,Percentage,,50 to under 55 years,
2007,Percentage,,50 to under 55 years,
2008,Percentage,,50 to under 55 years,
2010,Percentage,,50 to under 55 years,
2011,Percentage,,50 to under 55 years,
2012,Percentage,,50 to under 55 years,
2014,Percentage,,50 to under 55 years,
2015,Percentage,,50 to under 55 years,
2016,Percentage,,50 to under 55 years,
2018,Percentage,,50 to under 55 years,
2019,Percentage,,50 to under 55 years,
2020,Percentage,,50 to under 55 years,
1999,Percentage,,55 to under 60 years,
2003,Percentage,,55 to under 60 years,
2005,Percentage,,55 to under 60 years,
2009,Percentage,,55 to under 60 years,
2013,Percentage,,55 to under 60 years,19.977
2017,Percentage,,55 to under 60 years,19.669
2021,Percentage,,55 to under 60 years,19.6
2000,Percentage,,55 to under 60 years,
2001,Percentage,,55 to under 60 years,
2002,Percentage,,55 to under 60 years,
2004,Percentage,,55 to under 60 years,
2006,Percentage,,55 to under 60 years,
2007,Percentage,,55 to under 60 years,
2008,Percentage,,55 to under 60 years,
2010,Percentage,,55 to under 60 years,
2011,Percentage,,55 to under 60 years,
2012,Percentage,,55 to under 60 years,
2014,Percentage,,55 to under 60 years,
2015,Percentage,,55 to under 60 years,
2016,Percentage,,55 to under 60 years,
2018,Percentage,,55 to under 60 years,
2019,Percentage,,55 to under 60 years,
2020,Percentage,,55 to under 60 years,
1999,Percentage,,60 to under 65 years,
2003,Percentage,,60 to under 65 years,
2005,Percentage,,60 to under 65 years,
2009,Percentage,,60 to under 65 years,
2013,Percentage,,60 to under 65 years,22.704
2017,Percentage,,60 to under 65 years,21.982
2021,Percentage,,60 to under 65 years,21.0
2000,Percentage,,60 to under 65 years,
2001,Percentage,,60 to under 65 years,
2002,Percentage,,60 to under 65 years,
2004,Percentage,,60 to under 65 years,
2006,Percentage,,60 to under 65 years,
2007,Percentage,,60 to under 65 years,
2008,Percentage,,60 to under 65 years,
2010,Percentage,,60 to under 65 years,
2011,Percentage,,60 to under 65 years,
2012,Percentage,,60 to under 65 years,
2014,Percentage,,60 to under 65 years,
2015,Percentage,,60 to under 65 years,
2016,Percentage,,60 to under 65 years,
2018,Percentage,,60 to under 65 years,
2019,Percentage,,60 to under 65 years,
2020,Percentage,,60 to under 65 years,
1999,Percentage,,65 to under 70 years,
2003,Percentage,,65 to under 70 years,
2005,Percentage,,65 to under 70 years,
2009,Percentage,,65 to under 70 years,
2013,Percentage,,65 to under 70 years,21.943
2017,Percentage,,65 to under 70 years,23.506
2021,Percentage,,65 to under 70 years,21.3
2000,Percentage,,65 to under 70 years,
2001,Percentage,,65 to under 70 years,
2002,Percentage,,65 to under 70 years,
2004,Percentage,,65 to under 70 years,
2006,Percentage,,65 to under 70 years,
2007,Percentage,,65 to under 70 years,
2008,Percentage,,65 to under 70 years,
2010,Percentage,,65 to under 70 years,
2011,Percentage,,65 to under 70 years,
2012,Percentage,,65 to under 70 years,
2014,Percentage,,65 to under 70 years,
2015,Percentage,,65 to under 70 years,
2016,Percentage,,65 to under 70 years,
2018,Percentage,,65 to under 70 years,
2019,Percentage,,65 to under 70 years,
2020,Percentage,,65 to under 70 years,
1999,Percentage,,70 to under 75 years,
2003,Percentage,,70 to under 75 years,
2005,Percentage,,70 to under 75 years,
2009,Percentage,,70 to under 75 years,
2013,Percentage,,70 to under 75 years,20.257
2017,Percentage,,70 to under 75 years,21.164
2021,Percentage,,70 to under 75 years,21.2
2000,Percentage,,70 to under 75 years,
2001,Percentage,,70 to under 75 years,
2002,Percentage,,70 to under 75 years,
2004,Percentage,,70 to under 75 years,
2006,Percentage,,70 to under 75 years,
2007,Percentage,,70 to under 75 years,
2008,Percentage,,70 to under 75 years,
2010,Percentage,,70 to under 75 years,
2011,Percentage,,70 to under 75 years,
2012,Percentage,,70 to under 75 years,
2014,Percentage,,70 to under 75 years,
2015,Percentage,,70 to under 75 years,
2016,Percentage,,70 to under 75 years,
2018,Percentage,,70 to under 75 years,
2019,Percentage,,70 to under 75 years,
2020,Percentage,,70 to under 75 years,
1999,Percentage,,75 years and older,
2003,Percentage,,75 years and older,
2005,Percentage,,75 years and older,
2009,Percentage,,75 years and older,
2013,Percentage,,75 years and older,17.403
2017,Percentage,,75 years and older,17.837
2021,Percentage,,75 years and older,16.2
2000,Percentage,,75 years and older,
2001,Percentage,,75 years and older,
2002,Percentage,,75 years and older,
2004,Percentage,,75 years and older,
2006,Percentage,,75 years and older,
2007,Percentage,,75 years and older,
2008,Percentage,,75 years and older,
2010,Percentage,,75 years and older,
2011,Percentage,,75 years and older,
2012,Percentage,,75 years and older,
2014,Percentage,,75 years and older,
2015,Percentage,,75 years and older,
2016,Percentage,,75 years and older,
2018,Percentage,,75 years and older,
2019,Percentage,,75 years and older,
2020,Percentage,,75 years and older,
1999,Percentage,Female,,10.2
2003,Percentage,Female,,11.2
2005,Percentage,Female,,11.8
2009,Percentage,Female,,12.4
2013,Percentage,Female,,12.8
2017,Percentage,Female,,13.047
2021,Percentage,Female,,13.426
2000,Percentage,Female,,
2001,Percentage,Female,,
2002,Percentage,Female,,
2004,Percentage,Female,,
2006,Percentage,Female,,
2007,Percentage,Female,,
2008,Percentage,Female,,
2010,Percentage,Female,,
2011,Percentage,Female,,
2012,Percentage,Female,,
2014,Percentage,Female,,
2015,Percentage,Female,,
2016,Percentage,Female,,
2018,Percentage,Female,,
2019,Percentage,Female,,
2020,Percentage,Female,,
1999,Percentage,Female,18 to under 20 years,
2003,Percentage,Female,18 to under 20 years,
2005,Percentage,Female,18 to under 20 years,
2009,Percentage,Female,18 to under 20 years,
2013,Percentage,Female,18 to under 20 years,2.814
2017,Percentage,Female,18 to under 20 years,3.402
2021,Percentage,Female,18 to under 20 years,
2000,Percentage,Female,18 to under 20 years,
2001,Percentage,Female,18 to under 20 years,
2002,Percentage,Female,18 to under 20 years,
2004,Percentage,Female,18 to under 20 years,
2006,Percentage,Female,18 to under 20 years,
2007,Percentage,Female,18 to under 20 years,
2008,Percentage,Female,18 to under 20 years,
2010,Percentage,Female,18 to under 20 years,
2011,Percentage,Female,18 to under 20 years,
2012,Percentage,Female,18 to under 20 years,
2014,Percentage,Female,18 to under 20 years,
2015,Percentage,Female,18 to under 20 years,
2016,Percentage,Female,18 to under 20 years,
2018,Percentage,Female,18 to under 20 years,
2019,Percentage,Female,18 to under 20 years,
2020,Percentage,Female,18 to under 20 years,
1999,Percentage,Female,20 to under 25 years,
2003,Percentage,Female,20 to under 25 years,
2005,Percentage,Female,20 to under 25 years,
2009,Percentage,Female,20 to under 25 years,
2013,Percentage,Female,20 to under 25 years,4.952
2017,Percentage,Female,20 to under 25 years,4.886
2021,Percentage,Female,20 to under 25 years,5.3
2000,Percentage,Female,20 to under 25 years,
2001,Percentage,Female,20 to under 25 years,
2002,Percentage,Female,20 to under 25 years,
2004,Percentage,Female,20 to under 25 years,
2006,Percentage,Female,20 to under 25 years,
2007,Percentage,Female,20 to under 25 years,
2008,Percentage,Female,20 to under 25 years,
2010,Percentage,Female,20 to under 25 years,
2011,Percentage,Female,20 to under 25 years,
2012,Percentage,Female,20 to under 25 years,
2014,Percentage,Female,20 to under 25 years,
2015,Percentage,Female,20 to under 25 years,
2016,Percentage,Female,20 to under 25 years,
2018,Percentage,Female,20 to under 25 years,
2019,Percentage,Female,20 to under 25 years,
2020,Percentage,Female,20 to under 25 years,
1999,Percentage,Female,25 to under 30 years,
2003,Percentage,Female,25 to under 30 years,
2005,Percentage,Female,25 to under 30 years,
2009,Percentage,Female,25 to under 30 years,
2013,Percentage,Female,25 to under 30 years,7.15
2017,Percentage,Female,25 to under 30 years,8.037
2021,Percentage,Female,25 to under 30 years,9.0
2000,Percentage,Female,25 to under 30 years,
2001,Percentage,Female,25 to under 30 years,
2002,Percentage,Female,25 to under 30 years,
2004,Percentage,Female,25 to under 30 years,
2006,Percentage,Female,25 to under 30 years,
2007,Percentage,Female,25 to under 30 years,
2008,Percentage,Female,25 to under 30 years,
2010,Percentage,Female,25 to under 30 years,
2011,Percentage,Female,25 to under 30 years,
2012,Percentage,Female,25 to under 30 years,
2014,Percentage,Female,25 to under 30 years,
2015,Percentage,Female,25 to under 30 years,
2016,Percentage,Female,25 to under 30 years,
2018,Percentage,Female,25 to under 30 years,
2019,Percentage,Female,25 to under 30 years,
2020,Percentage,Female,25 to under 30 years,
1999,Percentage,Female,30 to under 35 years,
2003,Percentage,Female,30 to under 35 years,
2005,Percentage,Female,30 to under 35 years,
2009,Percentage,Female,30 to under 35 years,
2013,Percentage,Female,30 to under 35 years,9.543
2017,Percentage,Female,30 to under 35 years,10.136
2021,Percentage,Female,30 to under 35 years,12.5
2000,Percentage,Female,30 to under 35 years,
2001,Percentage,Female,30 to under 35 years,
2002,Percentage,Female,30 to under 35 years,
2004,Percentage,Female,30 to under 35 years,
2006,Percentage,Female,30 to under 35 years,
2007,Percentage,Female,30 to under 35 years,
2008,Percentage,Female,30 to under 35 years,
2010,Percentage,Female,30 to under 35 years,
2011,Percentage,Female,30 to under 35 years,
2012,Percentage,Female,30 to under 35 years,
2014,Percentage,Female,30 to under 35 years,
2015,Percentage,Female,30 to under 35 years,
2016,Percentage,Female,30 to under 35 years,
2018,Percentage,Female,30 to under 35 years,
2019,Percentage,Female,30 to under 35 years,
2020,Percentage,Female,30 to under 35 years,
1999,Percentage,Female,35 to under 40 years,
2003,Percentage,Female,35 to under 40 years,
2005,Percentage,Female,35 to under 40 years,
2009,Percentage,Female,35 to under 40 years,
2013,Percentage,Female,35 to under 40 years,10.402
2017,Percentage,Female,35 to under 40 years,10.833
2021,Percentage,Female,35 to under 40 years,11.3
2000,Percentage,Female,35 to under 40 years,
2001,Percentage,Female,35 to under 40 years,
2002,Percentage,Female,35 to under 40 years,
2004,Percentage,Female,35 to under 40 years,
2006,Percentage,Female,35 to under 40 years,
2007,Percentage,Female,35 to under 40 years,
2008,Percentage,Female,35 to under 40 years,
2010,Percentage,Female,35 to under 40 years,
2011,Percentage,Female,35 to under 40 years,
2012,Percentage,Female,35 to under 40 years,
2014,Percentage,Female,35 to under 40 years,
2015,Percentage,Female,35 to under 40 years,
2016,Percentage,Female,35 to under 40 years,
2018,Percentage,Female,35 to under 40 years,
2019,Percentage,Female,35 to under 40 years,
2020,Percentage,Female,35 to under 40 years,
1999,Percentage,Female,40 to under 45 years,
2003,Percentage,Female,40 to under 45 years,
2005,Percentage,Female,40 to under 45 years,
2009,Percentage,Female,40 to under 45 years,
2013,Percentage,Female,40 to under 45 years,11.419
2017,Percentage,Female,40 to under 45 years,12.254
2021,Percentage,Female,40 to under 45 years,13.3
2000,Percentage,Female,40 to under 45 years,
2001,Percentage,Female,40 to under 45 years,
2002,Percentage,Female,40 to under 45 years,
2004,Percentage,Female,40 to under 45 years,
2006,Percentage,Female,40 to under 45 years,
2007,Percentage,Female,40 to under 45 years,
2008,Percentage,Female,40 to under 45 years,
2010,Percentage,Female,40 to under 45 years,
2011,Percentage,Female,40 to under 45 years,
2012,Percentage,Female,40 to under 45 years,
2014,Percentage,Female,40 to under 45 years,
2015,Percentage,Female,40 to under 45 years,
2016,Percentage,Female,40 to under 45 years,
2018,Percentage,Female,40 to under 45 years,
2019,Percentage,Female,40 to under 45 years,
2020,Percentage,Female,40 to under 45 years,
1999,Percentage,Female,45 to under 50 years,
2003,Percentage,Female,45 to under 50 years,
2005,Percentage,Female,45 to under 50 years,
2009,Percentage,Female,45 to under 50 years,
2013,Percentage,Female,45 to under 50 years,12.21
2017,Percentage,Female,45 to under 50 years,12.737
2021,Percentage,Female,45 to under 50 years,15.3
2000,Percentage,Female,45 to under 50 years,
2001,Percentage,Female,45 to under 50 years,
2002,Percentage,Female,45 to under 50 years,
2004,Percentage,Female,45 to under 50 years,
2006,Percentage,Female,45 to under 50 years,
2007,Percentage,Female,45 to under 50 years,
2008,Percentage,Female,45 to under 50 years,
2010,Percentage,Female,45 to under 50 years,
2011,Percentage,Female,45 to under 50 years,
2012,Percentage,Female,45 to under 50 years,
2014,Percentage,Female,45 to under 50 years,
2015,Percentage,Female,45 to under 50 years,
2016,Percentage,Female,45 to under 50 years,
2018,Percentage,Female,45 to under 50 years,
2019,Percentage,Female,45 to under 50 years,
2020,Percentage,Female,45 to under 50 years,
1999,Percentage,Female,50 to under 55 years,
2003,Percentage,Female,50 to under 55 years,
2005,Percentage,Female,50 to under 55 years,
2009,Percentage,Female,50 to under 55 years,
2013,Percentage,Female,50 to under 55 years,15.033
2017,Percentage,Female,50 to under 55 years,14.766
2021,Percentage,Female,50 to under 55 years,15.4
2000,Percentage,Female,50 to under 55 years,
2001,Percentage,Female,50 to under 55 years,
2002,Percentage,Female,50 to under 55 years,
2004,Percentage,Female,50 to under 55 years,
2006,Percentage,Female,50 to under 55 years,
2007,Percentage,Female,50 to under 55 years,
2008,Percentage,Female,50 to under 55 years,
2010,Percentage,Female,50 to under 55 years,
2011,Percentage,Female,50 to under 55 years,
2012,Percentage,Female,50 to under 55 years,
2014,Percentage,Female,50 to under 55 years,
2015,Percentage,Female,50 to under 55 years,
2016,Percentage,Female,50 to under 55 years,
2018,Percentage,Female,50 to under 55 years,
2019,Percentage,Female,50 to under 55 years,
2020,Percentage,Female,50 to under 55 years,
1999,Percentage,Female,55 to under 60 years,
2003,Percentage,Female,55 to under 60 years,
2005,Percentage,Female,55 to under 60 years,
2009,Percentage,Female,55 to under 60 years,
2013,Percentage,Female,55 to under 60 years,17.315
2017,Percentage,Female,55 to under 60 years,16.552
2021,Percentage,Female,55 to under 60 years,16.6
2000,Percentage,Female,55 to under 60 years,
2001,Percentage,Female,55 to under 60 years,
2002,Percentage,Female,55 to under 60 years,
2004,Percentage,Female,55 to under 60 years,
2006,Percentage,Female,55 to under 60 years,
2007,Percentage,Female,55 to under 60 years,
2008,Percentage,Female,55 to under 60 years,
2010,Percentage,Female,55 to under 60 years,
2011,Percentage,Female,55 to under 60 years,
2012,Percentage,Female,55 to under 60 years,
2014,Percentage,Female,55 to under 60 years,
2015,Percentage,Female,55 to under 60 years,
2016,Percentage,Female,55 to under 60 years,
2018,Percentage,Female,55 to under 60 years,
2019,Percentage,Female,55 to under 60 years,
2020,Percentage,Female,55 to under 60 years,
1999,Percentage,Female,60 to under 65 years,
2003,Percentage,Female,60 to under 65 years,
2005,Percentage,Female,60 to under 65 years,
2009,Percentage,Female,60 to under 65 years,
2013,Percentage,Female,60 to under 65 years,20.751
2017,Percentage,Female,60 to under 65 years,19.48
2021,Percentage,Female,60 to under 65 years,18.4
2000,Percentage,Female,60 to under 65 years,
2001,Percentage,Female,60 to under 65 years,
2002,Percentage,Female,60 to under 65 years,
2004,Percentage,Female,60 to under 65 years,
2006,Percentage,Female,60 to under 65 years,
2007,Percentage,Female,60 to under 65 years,
2008,Percentage,Female,60 to under 65 years,
2010,Percentage,Female,60 to under 65 years,
2011,Percentage,Female,60 to under 65 years,
2012,Percentage,Female,60 to under 65 years,
2014,Percentage,Female,60 to under 65 years,
2015,Percentage,Female,60 to under 65 years,
2016,Percentage,Female,60 to under 65 years,
2018,Percentage,Female,60 to under 65 years,
2019,Percentage,Female,60 to under 65 years,
2020,Percentage,Female,60 to under 65 years,
1999,Percentage,Female,65 to under 70 years,
2003,Percentage,Female,65 to under 70 years,
2005,Percentage,Female,65 to under 70 years,
2009,Percentage,Female,65 to under 70 years,
2013,Percentage,Female,65 to under 70 years,20.324
2017,Percentage,Female,65 to under 70 years,21.724
2021,Percentage,Female,65 to under 70 years,19.5
2000,Percentage,Female,65 to under 70 years,
2001,Percentage,Female,65 to under 70 years,
2002,Percentage,Female,65 to under 70 years,
2004,Percentage,Female,65 to under 70 years,
2006,Percentage,Female,65 to under 70 years,
2007,Percentage,Female,65 to under 70 years,
2008,Percentage,Female,65 to under 70 years,
2010,Percentage,Female,65 to under 70 years,
2011,Percentage,Female,65 to under 70 years,
2012,Percentage,Female,65 to under 70 years,
2014,Percentage,Female,65 to under 70 years,
2015,Percentage,Female,65 to under 70 years,
2016,Percentage,Female,65 to under 70 years,
2018,Percentage,Female,65 to under 70 years,
2019,Percentage,Female,65 to under 70 years,
2020,Percentage,Female,65 to under 70 years,
1999,Percentage,Female,70 to under 75 years,
2003,Percentage,Female,70 to under 75 years,
2005,Percentage,Female,70 to under 75 years,
2009,Percentage,Female,70 to under 75 years,
2013,Percentage,Female,70 to under 75 years,19.42
2017,Percentage,Female,70 to under 75 years,19.855
2021,Percentage,Female,70 to under 75 years,19.9
2000,Percentage,Female,70 to under 75 years,
2001,Percentage,Female,70 to under 75 years,
2002,Percentage,Female,70 to under 75 years,
2004,Percentage,Female,70 to under 75 years,
2006,Percentage,Female,70 to under 75 years,
2007,Percentage,Female,70 to under 75 years,
2008,Percentage,Female,70 to under 75 years,
2010,Percentage,Female,70 to under 75 years,
2011,Percentage,Female,70 to under 75 years,
2012,Percentage,Female,70 to under 75 years,
2014,Percentage,Female,70 to under 75 years,
2015,Percentage,Female,70 to under 75 years,
2016,Percentage,Female,70 to under 75 years,
2018,Percentage,Female,70 to under 75 years,
2019,Percentage,Female,70 to under 75 years,
2020,Percentage,Female,70 to under 75 years,
1999,Percentage,Female,75 years and older,
2003,Percentage,Female,75 years and older,
2005,Percentage,Female,75 years and older,
2009,Percentage,Female,75 years and older,
2013,Percentage,Female,75 years and older,17.941
2017,Percentage,Female,75 years and older,18.029
2021,Percentage,Female,75 years and older,16.2
2000,Percentage,Female,75 years and older,
2001,Percentage,Female,75 years and older,
2002,Percentage,Female,75 years and older,
2004,Percentage,Female,75 years and older,
2006,Percentage,Female,75 years and older,
2007,Percentage,Female,75 years and older,
2008,Percentage,Female,75 years and older,
2010,Percentage,Female,75 years and older,
2011,Percentage,Female,75 years and older,
2012,Percentage,Female,75 years and older,
2014,Percentage,Female,75 years and older,
2015,Percentage,Female,75 years and older,
2016,Percentage,Female,75 years and older,
2018,Percentage,Female,75 years and older,
2019,Percentage,Female,75 years and older,
2020,Percentage,Female,75 years and older,
1999,Percentage,Male,,11.1
2003,Percentage,Male,,12.3
2005,Percentage,Male,,13.0
2009,Percentage,Male,,14.2
2013,Percentage,Male,,15.4
2017,Percentage,Male,,16.416
2021,Percentage,Male,,17.298
2000,Percentage,Male,,
2001,Percentage,Male,,
2002,Percentage,Male,,
2004,Percentage,Male,,
2006,Percentage,Male,,
2007,Percentage,Male,,
2008,Percentage,Male,,
2010,Percentage,Male,,
2011,Percentage,Male,,
2012,Percentage,Male,,
2014,Percentage,Male,,
2015,Percentage,Male,,
2016,Percentage,Male,,
2018,Percentage,Male,,
2019,Percentage,Male,,
2020,Percentage,Male,,
1999,Percentage,Male,18 to under 20 years,
2003,Percentage,Male,18 to under 20 years,
2005,Percentage,Male,18 to under 20 years,
2009,Percentage,Male,18 to under 20 years,
2013,Percentage,Male,18 to under 20 years,4.058
2017,Percentage,Male,18 to under 20 years,4.955
2021,Percentage,Male,18 to under 20 years,
2000,Percentage,Male,18 to under 20 years,
2001,Percentage,Male,18 to under 20 years,
2002,Percentage,Male,18 to under 20 years,
2004,Percentage,Male,18 to under 20 years,
2006,Percentage,Male,18 to under 20 years,
2007,Percentage,Male,18 to under 20 years,
2008,Percentage,Male,18 to under 20 years,
2010,Percentage,Male,18 to under 20 years,
2011,Percentage,Male,18 to under 20 years,
2012,Percentage,Male,18 to under 20 years,
2014,Percentage,Male,18 to under 20 years,
2015,Percentage,Male,18 to under 20 years,
2016,Percentage,Male,18 to under 20 years,
2018,Percentage,Male,18 to under 20 years,
2019,Percentage,Male,18 to under 20 years,
2020,Percentage,Male,18 to under 20 years,
1999,Percentage,Male,20 to under 25 years,
2003,Percentage,Male,20 to under 25 years,
2005,Percentage,Male,20 to under 25 years,
2009,Percentage,Male,20 to under 25 years,
2013,Percentage,Male,20 to under 25 years,6.166
2017,Percentage,Male,20 to under 25 years,6.973
2021,Percentage,Male,20 to under 25 years,7.1
2000,Percentage,Male,20 to under 25 years,
2001,Percentage,Male,20 to under 25 years,
2002,Percentage,Male,20 to under 25 years,
2004,Percentage,Male,20 to under 25 years,
2006,Percentage,Male,20 to under 25 years,
2007,Percentage,Male,20 to under 25 years,
2008,Percentage,Male,20 to under 25 years,
2010,Percentage,Male,20 to under 25 years,
2011,Percentage,Male,20 to under 25 years,
2012,Percentage,Male,20 to under 25 years,
2014,Percentage,Male,20 to under 25 years,
2015,Percentage,Male,20 to under 25 years,
2016,Percentage,Male,20 to under 25 years,
2018,Percentage,Male,20 to under 25 years,
2019,Percentage,Male,20 to under 25 years,
2020,Percentage,Male,20 to under 25 years,
