Year,Units,Series,COMMENT_OBS_0,federal state,GeoCode,Value
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,10.415
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,13.416
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,17.602
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,brandenburg,code12,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,brandenburg,code12,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bremen,code04,
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bremen,code04,9.84
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bremen,code04,11.765
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bremen,code04,17.673
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bremen,code04,12.205
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bremen,code04,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bremen,code04,14.83
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,bremen,code04,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,bremen,code04,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hamburg,code02,
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hamburg,code02,6.823
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hamburg,code02,6.944
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hamburg,code02,8.116
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hamburg,code02,7.924
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hamburg,code02,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hamburg,code02,9.519
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,hamburg,code02,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,hamburg,code02,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,5.6
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,6.8
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,7.0
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,7.0
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,7.8
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,9.485
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,10.571
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,11.594
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,14.976
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,hesse,code06,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,hesse,code06,15.404
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,hesse,code06,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,hesse,code06,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,6.9
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,7.2
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,8.1
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,8.1
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,8.8
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,8.722
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,8.978
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,9.366
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,12.205
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,mecklenburg western pomerania,code13,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,mecklenburg western pomerania,code13,14.83
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,mecklenburg western pomerania,code13,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,mecklenburg western pomerania,code13,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,1.0
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,1.4
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,2.1
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,2.4
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,2.9
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,3.046
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,3.068
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,3.214
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,4.768
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,lower saxony,code03,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,lower saxony,code03,5.675
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,lower saxony,code03,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,lower saxony,code03,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,1.0
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,1.5
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,2.5
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,2.8
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,3.3
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,3.725
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,4.299
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,4.223
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,5.584
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,north rhine-westphalia,code05,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,north rhine-westphalia,code05,6.125
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,north rhine-westphalia,code05,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,north rhine-westphalia,code05,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,rhineland palatinate,code07,1.6
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,rhineland palatinate,code07,2.2
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,rhineland palatinate,code07,2.4
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,rhineland palatinate,code07,2.7
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,rhineland palatinate,code07,3.6
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,rhineland palatinate,code07,5.381
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,rhineland palatinate,code07,6.69
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,rhineland palatinate,code07,8.733
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,rhineland palatinate,code07,
