Year,Units,Series,federal state,GeoCode,type of care,Value
2024,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,46.9
2006,percentage,a) 0 to 2-year-olds,lower saxony,code03,,1.437
2007,percentage,a) 0 to 2-year-olds,lower saxony,code03,,1.859
2008,percentage,a) 0 to 2-year-olds,lower saxony,code03,,2.49
2009,percentage,a) 0 to 2-year-olds,lower saxony,code03,,3.465
2010,percentage,a) 0 to 2-year-olds,lower saxony,code03,,4.698
2011,percentage,a) 0 to 2-year-olds,lower saxony,code03,,5.874
2012,percentage,a) 0 to 2-year-olds,lower saxony,code03,,7.258
2013,percentage,a) 0 to 2-year-olds,lower saxony,code03,,8.55
2014,percentage,a) 0 to 2-year-olds,lower saxony,code03,,10.409
2015,percentage,a) 0 to 2-year-olds,lower saxony,code03,,10.999
2016,percentage,a) 0 to 2-year-olds,lower saxony,code03,,11.695
2017,percentage,a) 0 to 2-year-olds,lower saxony,code03,,12.2
2018,percentage,a) 0 to 2-year-olds,lower saxony,code03,,13.0
2019,percentage,a) 0 to 2-year-olds,lower saxony,code03,,13.5
2020,percentage,a) 0 to 2-year-olds,lower saxony,code03,,14.0
2021,percentage,a) 0 to 2-year-olds,lower saxony,code03,,13.5
2022,percentage,a) 0 to 2-year-olds,lower saxony,code03,,14.1
2023,percentage,a) 0 to 2-year-olds,lower saxony,code03,,14.6
2024,percentage,a) 0 to 2-year-olds,lower saxony,code03,,14.8
2006,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,2.699
2007,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,3.175
2008,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,4.32
2009,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,5.604
2010,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,6.779
2011,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,7.699
2012,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,8.934
2013,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,9.864
2014,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,11.719
2015,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,12.64
2016,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,12.862
2017,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,13.1
2018,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,13.5
2019,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,14.3
2020,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,14.9
2021,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,15.4
2022,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,15.9
2023,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,16.1
2024,percentage,a) 0 to 2-year-olds,north rhine-westphalia,code05,,16.8
2006,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,2.866
2007,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,3.482
2008,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,4.379
2009,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,5.669
2010,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,7.509
2011,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,9.827
2012,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,12.443
2013,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,13.392
2014,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,15.052
2015,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,15.561
2016,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,16.067
2017,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,16.5
2018,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,16.6
2019,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,17.1
2020,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,17.1
2021,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,16.4
2022,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,18.1
2023,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,19.3
2024,percentage,a) 0 to 2-year-olds,rhineland palatinate,code07,,20.1
2006,percentage,a) 0 to 2-year-olds,saarland,code10,,3.857
2007,percentage,a) 0 to 2-year-olds,saarland,code10,,4.714
2008,percentage,a) 0 to 2-year-olds,saarland,code10,,6.026
2009,percentage,a) 0 to 2-year-olds,saarland,code10,,7.865
2010,percentage,a) 0 to 2-year-olds,saarland,code10,,9.856
2011,percentage,a) 0 to 2-year-olds,saarland,code10,,12.083
2012,percentage,a) 0 to 2-year-olds,saarland,code10,,14.114
2013,percentage,a) 0 to 2-year-olds,saarland,code10,,17.066
2014,percentage,a) 0 to 2-year-olds,saarland,code10,,19.436
2015,percentage,a) 0 to 2-year-olds,saarland,code10,,22.146
2016,percentage,a) 0 to 2-year-olds,saarland,code10,,22.536
2017,percentage,a) 0 to 2-year-olds,saarland,code10,,22.4
2018,percentage,a) 0 to 2-year-olds,saarland,code10,,22.5
2019,percentage,a) 0 to 2-year-olds,saarland,code10,,23.7
2020,percentage,a) 0 to 2-year-olds,saarland,code10,,24.1
2021,percentage,a) 0 to 2-year-olds,saarland,code10,,24.3
2022,percentage,a) 0 to 2-year-olds,saarland,code10,,26.5
2023,percentage,a) 0 to 2-year-olds,saarland,code10,,27.9
2024,percentage,a) 0 to 2-year-olds,saarland,code10,,28.7
2006,percentage,a) 0 to 2-year-olds,saxony,code14,,21.586
2007,percentage,a) 0 to 2-year-olds,saxony,code14,,23.544
2008,percentage,a) 0 to 2-year-olds,saxony,code14,,25.43
2009,percentage,a) 0 to 2-year-olds,saxony,code14,,29.625
2010,percentage,a) 0 to 2-year-olds,saxony,code14,,33.485
2011,percentage,a) 0 to 2-year-olds,saxony,code14,,35.091
2012,percentage,a) 0 to 2-year-olds,saxony,code14,,36.933
2013,percentage,a) 0 to 2-year-olds,saxony,code14,,38.394
2014,percentage,a) 0 to 2-year-olds,saxony,code14,,40.978
2015,percentage,a) 0 to 2-year-olds,saxony,code14,,41.985
2016,percentage,a) 0 to 2-year-olds,saxony,code14,,42.456
2017,percentage,a) 0 to 2-year-olds,saxony,code14,,42.5
2018,percentage,a) 0 to 2-year-olds,saxony,code14,,43.3
2019,percentage,a) 0 to 2-year-olds,saxony,code14,,44.8
2020,percentage,a) 0 to 2-year-olds,saxony,code14,,45.5
2021,percentage,a) 0 to 2-year-olds,saxony,code14,,44.3
2022,percentage,a) 0 to 2-year-olds,saxony,code14,,45.5
2023,percentage,a) 0 to 2-year-olds,saxony,code14,,46.7
2024,percentage,a) 0 to 2-year-olds,saxony,code14,,47.3
2006,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,26.57
2007,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,28.321
2008,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,28.827
2009,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,31.798
2010,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,34.152
2011,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,35.599
2012,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,37.592
2013,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,38.798
2014,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,47.008
2015,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,46.633
2016,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,46.212
2017,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,46.6
2018,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,46.8
2019,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,48.1
2020,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,48.5
2021,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,46.3
2022,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,48.1
2023,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,49.1
2024,percentage,a) 0 to 2-year-olds,saxony-anhalt,code15,,49.7
2006,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,2.037
2007,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,2.445
2008,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,3.248
2009,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,4.381
2010,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,5.925
2011,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,7.514
2012,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,8.938
2013,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,10.614
2014,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,12.381
2015,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,13.833
2016,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,13.981
2017,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,14.2
2018,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,15.1
2019,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,15.6
2020,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,16.1
2021,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,17.0
2022,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,17.6
2023,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,19.3
2024,percentage,a) 0 to 2-year-olds,schleswig-holstein,code01,,19.9
2006,percentage,a) 0 to 2-year-olds,thuringia,code16,,31.133
2007,percentage,a) 0 to 2-year-olds,thuringia,code16,,30.988
2008,percentage,a) 0 to 2-year-olds,thuringia,code16,,32.213
2009,percentage,a) 0 to 2-year-olds,thuringia,code16,,36.761
2010,percentage,a) 0 to 2-year-olds,thuringia,code16,,39.675
2011,percentage,a) 0 to 2-year-olds,thuringia,code16,,41.218
2012,percentage,a) 0 to 2-year-olds,thuringia,code16,,42.942
2013,percentage,a) 0 to 2-year-olds,thuringia,code16,,44.836
2014,percentage,a) 0 to 2-year-olds,thuringia,code16,,47.294
2015,percentage,a) 0 to 2-year-olds,thuringia,code16,,47.693
2016,percentage,a) 0 to 2-year-olds,thuringia,code16,,48.155
2017,percentage,a) 0 to 2-year-olds,thuringia,code16,,49.5
2018,percentage,a) 0 to 2-year-olds,thuringia,code16,,50.9
2019,percentage,a) 0 to 2-year-olds,thuringia,code16,,51.7
2020,percentage,a) 0 to 2-year-olds,thuringia,code16,,51.9
2021,percentage,a) 0 to 2-year-olds,thuringia,code16,,50.8
2022,percentage,a) 0 to 2-year-olds,thuringia,code16,,52.3
2023,percentage,a) 0 to 2-year-olds,thuringia,code16,,52.7
2024,percentage,a) 0 to 2-year-olds,thuringia,code16,,53.9
2006,percentage,a) 0 to 2-year-olds,,,day care centres,5.87
2007,percentage,a) 0 to 2-year-olds,,,day care centres,6.521
2008,percentage,a) 0 to 2-year-olds,,,day care centres,7.313
2009,percentage,a) 0 to 2-year-olds,,,day care centres,8.669
2010,percentage,a) 0 to 2-year-olds,,,day care centres,10.167
2011,percentage,a) 0 to 2-year-olds,,,day care centres,11.344
2012,percentage,a) 0 to 2-year-olds,,,day care centres,12.745
2013,percentage,a) 0 to 2-year-olds,,,day care centres,13.718
2014,percentage,a) 0 to 2-year-olds,,,day care centres,15.306
2015,percentage,a) 0 to 2-year-olds,,,day care centres,15.919
2016,percentage,a) 0 to 2-year-olds,,,day care centres,16.158
2017,percentage,a) 0 to 2-year-olds,,,day care centres,16.231
2018,percentage,a) 0 to 2-year-olds,,,day care centres,16.528
2019,percentage,a) 0 to 2-year-olds,,,day care centres,16.914
2020,percentage,a) 0 to 2-year-olds,,,day care centres,17.096
2021,percentage,a) 0 to 2-year-olds,,,day care centres,16.461
2022,percentage,a) 0 to 2-year-olds,,,day care centres,16.803
2023,percentage,a) 0 to 2-year-olds,,,day care centres,17.079
2024,percentage,a) 0 to 2-year-olds,,,day care centres,17.344
2006,percentage,a) 0 to 2-year-olds,,,day care,0.629
2007,percentage,a) 0 to 2-year-olds,,,day care,0.8
2008,percentage,a) 0 to 2-year-olds,,,day care,0.971
2009,percentage,a) 0 to 2-year-olds,,,day care,1.201
2010,percentage,a) 0 to 2-year-olds,,,day care,1.43
2011,percentage,a) 0 to 2-year-olds,,,day care,1.596
2012,percentage,a) 0 to 2-year-olds,,,day care,1.884
2013,percentage,a) 0 to 2-year-olds,,,day care,2.04
2014,percentage,a) 0 to 2-year-olds,,,day care,2.155
2015,percentage,a) 0 to 2-year-olds,,,day care,2.146
2016,percentage,a) 0 to 2-year-olds,,,day care,2.162
2017,percentage,a) 0 to 2-year-olds,,,day care,2.247
2018,percentage,a) 0 to 2-year-olds,,,day care,2.31
2019,percentage,a) 0 to 2-year-olds,,,day care,2.407
2020,percentage,a) 0 to 2-year-olds,,,day care,2.487
2021,percentage,a) 0 to 2-year-olds,,,day care,2.481
2022,percentage,a) 0 to 2-year-olds,,,day care,2.495
2023,percentage,a) 0 to 2-year-olds,,,day care,2.58
2024,percentage,a) 0 to 2-year-olds,,,day care,2.626
2006,percentage,b) 3 to 5-year-olds,,,,22.091
2007,percentage,b) 3 to 5-year-olds,,,,24.329
2008,percentage,b) 3 to 5-year-olds,,,,27.067
2009,percentage,b) 3 to 5-year-olds,,,,29.87
2010,percentage,b) 3 to 5-year-olds,,,,32.321
2011,percentage,b) 3 to 5-year-olds,,,,34.879
2012,percentage,b) 3 to 5-year-olds,,,,37.245
2013,percentage,b) 3 to 5-year-olds,,,,39.485
2014,percentage,b) 3 to 5-year-olds,,,,41.945
2015,percentage,b) 3 to 5-year-olds,,,,43.935
2016,percentage,b) 3 to 5-year-olds,,,,44.756
2017,percentage,b) 3 to 5-year-olds,,,,45.509
2018,percentage,b) 3 to 5-year-olds,,,,46.132
2019,percentage,b) 3 to 5-year-olds,,,,47.178
2020,percentage,b) 3 to 5-year-olds,,,,47.913
2021,percentage,b) 3 to 5-year-olds,,,,47.324
2022,percentage,b) 3 to 5-year-olds,,,,47.353
2023,percentage,b) 3 to 5-year-olds,,,,47.003
2024,percentage,b) 3 to 5-year-olds,,,,46.976
2030,percentage,b) 3 to 5-year-olds,,,,
2006,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,6.921
2007,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,7.979
2008,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,9.306
2009,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,11.858
2010,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,13.056
2011,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,14.899
2012,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,16.2
2013,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,17.764
2014,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,19.861
2015,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,21.57
2016,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,22.779
2017,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,23.9
2018,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,24.6
2019,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,25.2
2020,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,25.3
2021,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,24.4
2022,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,24.2
2023,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,23.6
2024,percentage,b) 3 to 5-year-olds,baden-wuerttemberg,code08,,23.3
2006,percentage,b) 3 to 5-year-olds,bavaria,code09,,16.849
