Year,Units,Time series,Federal state,GeoCode,Value
2002,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,164.6
2003,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,162.1
2004,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,152.8
2005,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,155.2
2006,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,149.3
2007,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,147.5
2008,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,148.5
2009,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,146.2
2010,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,142.4
2011,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,146.6
2012,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,141.1
2013,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,141.5
2014,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,134.2
2015,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,138.8
2016,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,137.8
2017,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,132.0
2018,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,130.7
2019,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,126.6
2020,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,131.2
2021,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,135.7
1991,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,299.4
1992,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,284.1
1993,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,262.2
1994,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,265.7
1995,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,247.5
1996,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,245.5
1997,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,230.4
1998,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,224.2
1999,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,214.1
2000,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,205.5
2001,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,191.3
2002,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,202.1
2003,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,187.6
2004,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,178.0
2005,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,185.7
2006,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,174.7
2007,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,169.0
2008,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,174.4
2009,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,166.7
2010,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,164.0
2011,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,173.5
2012,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,170.5
2013,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,162.5
2014,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,162.1
2015,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,168.9
2016,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,160.8
2017,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,158.7
2018,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,167.4
2019,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,153.7
2020,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,158.1
2021,"Per 100,000 inhabitants",Premature death (women),Berlin,code11,154.3
1991,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,299.7
1992,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,280.3
1993,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,262.2
1994,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,256.3
1995,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,236.6
1996,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,241.9
1997,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,217.1
1998,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,206.6
1999,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,195.1
2000,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,187.1
2001,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,182.5
2002,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,177.1
2003,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,173.6
2004,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,165.8
2005,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,161.6
2006,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,157.6
2007,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,153.3
2008,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,151.2
2009,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,150.4
2010,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,152.9
2011,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,151.8
2012,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,145.0
2013,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,156.9
2014,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,145.0
2015,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,153.0
2016,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,151.7
2017,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,150.9
2018,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,152.0
2019,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,140.7
2020,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,145.0
2021,"Per 100,000 inhabitants",Premature death (women),Brandenburg,code12,155.7
1991,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,262.1
1992,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,237.4
1993,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,258.8
1994,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,242.3
1995,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,254.5
1996,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,224.3
1997,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,233.8
1998,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,218.3
1999,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,201.0
2000,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,218.1
2001,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,205.3
2002,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,208.9
2003,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,191.8
2004,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,204.7
2005,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,188.3
2006,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,188.4
2007,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,188.7
2008,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,192.0
2009,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,196.0
2010,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,174.5
2011,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,190.6
2012,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,190.6
2013,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,187.1
2014,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,184.9
2015,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,179.6
2016,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,185.1
2017,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,162.0
2018,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,188.9
2019,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,169.4
2020,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,177.1
2021,"Per 100,000 inhabitants",Premature death (women),Bremen,code04,181.2
1991,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,246.4
1992,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,239.8
1993,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,242.8
1994,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,236.5
1995,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,224.8
1996,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,226.9
1997,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,219.5
1998,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,207.1
1999,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,210.0
2000,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,202.6
2001,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,195.0
2002,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,196.3
2003,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,186.7
2004,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,190.9
2005,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,178.1
2006,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,178.4
2007,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,176.7
2008,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,167.2
2009,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,177.6
2010,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,160.2
2011,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,172.4
2012,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,170.8
2013,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,167.0
2014,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,162.5
2015,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,171.9
2016,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,157.9
2017,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,156.9
2018,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,159.0
2019,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,150.4
2020,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,145.4
2021,"Per 100,000 inhabitants",Premature death (women),Hamburg,code02,157.6
1991,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,220.5
1992,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,206.8
1993,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,212.3
1994,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,206.6
1995,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,203.4
1996,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,194.1
1997,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,194.2
1998,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,183.0
1999,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,184.3
2000,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,178.6
2001,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,174.6
2002,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,172.7
2003,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,166.1
2004,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,163.4
2005,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,157.2
2006,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,153.0
2007,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,155.0
2008,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,152.2
2009,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,152.3
2010,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,150.6
2011,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,155.8
2012,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,152.3
2013,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,151.1
2014,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,145.2
2015,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,145.9
2016,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,145.0
2017,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,143.4
2018,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,145.2
2019,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,140.3
2020,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,140.0
2021,"Per 100,000 inhabitants",Premature death (women),Hesse,code06,144.1
1991,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,312.1
1992,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,293.8
1993,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,275.6
1994,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,266.3
1995,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,248.7
1996,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,242.1
1997,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,224.2
1998,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,218.8
1999,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,203.4
2000,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,201.9
2001,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,190.2
2002,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,190.0
2003,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,176.5
2004,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,167.8
2005,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,169.6
2006,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,161.9
2007,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,157.7
2008,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,164.5
2009,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,155.9
2010,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,159.6
2011,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,162.5
2012,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,151.3
2013,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,164.3
2014,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,148.8
2015,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,159.1
2016,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,154.2
2017,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,146.7
2018,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,161.5
2019,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,161.4
2020,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,163.6
2021,"Per 100,000 inhabitants",Premature death (women),Mecklenburg Western Pomerania,code13,167.5
1991,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,218.5
1992,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,210.9
1993,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,214.4
1994,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,207.9
1995,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,208.0
1996,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,208.2
1997,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,196.8
1998,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,192.0
1999,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,191.1
2000,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,186.4
2001,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,181.6
2002,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,181.2
2003,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,178.8
2004,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,168.3
2005,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,168.5
2006,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,166.8
2007,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,161.1
2008,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,165.7
2009,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,164.9
2010,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,161.4
2011,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,165.6
2012,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,158.4
2013,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,166.0
2014,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,158.7
2015,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,158.3
2016,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,162.4
2017,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,160.4
2018,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,162.6
2019,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,154.6
2020,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,152.0
2021,"Per 100,000 inhabitants",Premature death (women),Lower Saxony,code03,160.7
1991,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,227.9
1992,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,219.1
1993,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,222.6
1994,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,216.4
1995,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,214.3
1996,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,210.1
1997,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,203.6
1998,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,198.8
1999,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,195.1
2000,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,193.6
2001,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,188.9
2002,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,187.4
2003,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,185.5
2004,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,178.5
2005,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,176.2
2006,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,170.6
2007,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,171.7
2008,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,172.8
2009,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,171.0
2010,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,171.6
2011,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,168.7
2012,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,166.5
2013,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,172.5
2014,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,164.2
2015,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,169.9
2016,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,166.6
2017,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,163.1
2018,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,165.0
2019,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,160.7
2020,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,161.0
2021,"Per 100,000 inhabitants",Premature death (women),North Rhine-Westphalia,code05,165.6
1991,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,209.9
1992,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,216.4
1993,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,210.3
1994,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,203.5
1995,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,204.8
1996,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,197.1
1997,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,196.0
1998,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,189.5
1999,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,183.8
2000,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,184.8
2001,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,176.9
2002,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,179.4
2003,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,172.9
2004,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,171.5
2005,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,168.6
2006,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,161.6
2007,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,165.4
2008,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,162.1
2009,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,163.7
2010,"Per 100,000 inhabitants",Premature death (women),Rhineland Palatinate,code07,155.6
