Year,Units,Series,Sea,Value
2008,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,25.0
2009,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,37.5
2010,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,37.5
2011,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,62.5
2012,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,75.0
2013,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,62.5
2014,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,50.0
2015,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,37.5
2016,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,50.0
2017,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,62.5
2018,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,50.0
2019,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,62.5
2020,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,62.5
2021,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,62.5
2022,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,87.5
2003,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2004,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2005,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2006,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2007,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2008,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2009,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2010,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2011,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2012,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2013,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2014,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2015,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2016,Percentage,Share of MSY examined stocks in all managed fish stocks,,42.308
2017,Percentage,Share of MSY examined stocks in all managed fish stocks,,43.59
2018,Percentage,Share of MSY examined stocks in all managed fish stocks,,43.59
2019,Percentage,Share of MSY examined stocks in all managed fish stocks,,43.59
2020,Percentage,Share of MSY examined stocks in all managed fish stocks,,43.59
2021,Percentage,Share of MSY examined stocks in all managed fish stocks,,43.59
2022,Percentage,Share of MSY examined stocks in all managed fish stocks,,43.59
