Year,Units,Series,federal state,GeoCode,Value
2018,2008 = 100,a) final energy productivity,lower saxony,code03,119.812
2019,2008 = 100,a) final energy productivity,lower saxony,code03,123.259
2020,2008 = 100,a) final energy productivity,lower saxony,code03,123.747
2021,2008 = 100,a) final energy productivity,lower saxony,code03,121.542
2022,2008 = 100,a) final energy productivity,lower saxony,code03,126.642
2008,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,100.0
2009,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,106.784
2010,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,102.132
2011,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,111.632
2012,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,112.414
2013,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,111.927
2014,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,117.176
2015,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,118.901
2016,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,118.31
2017,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,123.777
2018,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,119.864
2019,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,119.529
2020,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,119.853
2021,2008 = 100,a) final energy productivity,north rhine-westphalia,code05,120.399
2008,2008 = 100,a) final energy productivity,rhineland palatinate,code07,100.0
2009,2008 = 100,a) final energy productivity,rhineland palatinate,code07,99.392
2010,2008 = 100,a) final energy productivity,rhineland palatinate,code07,99.844
2011,2008 = 100,a) final energy productivity,rhineland palatinate,code07,110.204
2012,2008 = 100,a) final energy productivity,rhineland palatinate,code07,112.68
2013,2008 = 100,a) final energy productivity,rhineland palatinate,code07,109.215
2014,2008 = 100,a) final energy productivity,rhineland palatinate,code07,114.568
2015,2008 = 100,a) final energy productivity,rhineland palatinate,code07,115.354
2016,2008 = 100,a) final energy productivity,rhineland palatinate,code07,114.079
2017,2008 = 100,a) final energy productivity,rhineland palatinate,code07,114.868
2018,2008 = 100,a) final energy productivity,rhineland palatinate,code07,113.323
2019,2008 = 100,a) final energy productivity,rhineland palatinate,code07,112.704
2020,2008 = 100,a) final energy productivity,rhineland palatinate,code07,111.214
2021,2008 = 100,a) final energy productivity,rhineland palatinate,code07,118.988
2022,2008 = 100,a) final energy productivity,rhineland palatinate,code07,125.392
2008,2008 = 100,a) final energy productivity,saxony,code14,100.0
2009,2008 = 100,a) final energy productivity,saxony,code14,97.326
2010,2008 = 100,a) final energy productivity,saxony,code14,95.168
2011,2008 = 100,a) final energy productivity,saxony,code14,105.46
2012,2008 = 100,a) final energy productivity,saxony,code14,100.662
2013,2008 = 100,a) final energy productivity,saxony,code14,98.788
2014,2008 = 100,a) final energy productivity,saxony,code14,107.094
2015,2008 = 100,a) final energy productivity,saxony,code14,107.151
2016,2008 = 100,a) final energy productivity,saxony,code14,106.091
2017,2008 = 100,a) final energy productivity,saxony,code14,105.551
2018,2008 = 100,a) final energy productivity,saxony,code14,109.175
2019,2008 = 100,a) final energy productivity,saxony,code14,111.945
2020,2008 = 100,a) final energy productivity,saxony,code14,106.627
2021,2008 = 100,a) final energy productivity,saxony,code14,103.539
2022,2008 = 100,a) final energy productivity,saxony,code14,109.644
2008,2008 = 100,a) final energy productivity,saxony-anhalt,code15,100.0
2009,2008 = 100,a) final energy productivity,saxony-anhalt,code15,95.979
2010,2008 = 100,a) final energy productivity,saxony-anhalt,code15,92.862
2011,2008 = 100,a) final energy productivity,saxony-anhalt,code15,95.452
2012,2008 = 100,a) final energy productivity,saxony-anhalt,code15,94.681
2013,2008 = 100,a) final energy productivity,saxony-anhalt,code15,94.603
2014,2008 = 100,a) final energy productivity,saxony-anhalt,code15,99.115
2015,2008 = 100,a) final energy productivity,saxony-anhalt,code15,99.939
2016,2008 = 100,a) final energy productivity,saxony-anhalt,code15,98.61
2017,2008 = 100,a) final energy productivity,saxony-anhalt,code15,98.431
2018,2008 = 100,a) final energy productivity,saxony-anhalt,code15,95.744
2019,2008 = 100,a) final energy productivity,saxony-anhalt,code15,100.653
2020,2008 = 100,a) final energy productivity,saxony-anhalt,code15,101.46
2021,2008 = 100,a) final energy productivity,saxony-anhalt,code15,97.196
2022,2008 = 100,a) final energy productivity,saxony-anhalt,code15,104.552
2008,2008 = 100,a) final energy productivity,schleswig-holstein,code01,100.0
2009,2008 = 100,a) final energy productivity,schleswig-holstein,code01,99.589
2010,2008 = 100,a) final energy productivity,schleswig-holstein,code01,94.807
2011,2008 = 100,a) final energy productivity,schleswig-holstein,code01,102.345
2012,2008 = 100,a) final energy productivity,schleswig-holstein,code01,100.157
2013,2008 = 100,a) final energy productivity,schleswig-holstein,code01,95.782
2014,2008 = 100,a) final energy productivity,schleswig-holstein,code01,103.696
2015,2008 = 100,a) final energy productivity,schleswig-holstein,code01,102.828
2016,2008 = 100,a) final energy productivity,schleswig-holstein,code01,104.962
2017,2008 = 100,a) final energy productivity,schleswig-holstein,code01,107.124
2018,2008 = 100,a) final energy productivity,schleswig-holstein,code01,107.785
2019,2008 = 100,a) final energy productivity,schleswig-holstein,code01,114.518
2020,2008 = 100,a) final energy productivity,schleswig-holstein,code01,112.613
2021,2008 = 100,a) final energy productivity,schleswig-holstein,code01,109.198
2022,2008 = 100,a) final energy productivity,schleswig-holstein,code01,115.242
2008,2008 = 100,a) final energy productivity,thuringia,code16,100.0
2009,2008 = 100,a) final energy productivity,thuringia,code16,100.4
2010,2008 = 100,a) final energy productivity,thuringia,code16,98.88
2011,2008 = 100,a) final energy productivity,thuringia,code16,109.822
2012,2008 = 100,a) final energy productivity,thuringia,code16,108.238
2013,2008 = 100,a) final energy productivity,thuringia,code16,107.018
2014,2008 = 100,a) final energy productivity,thuringia,code16,117.46
2015,2008 = 100,a) final energy productivity,thuringia,code16,117.017
2016,2008 = 100,a) final energy productivity,thuringia,code16,115.824
2017,2008 = 100,a) final energy productivity,thuringia,code16,118.934
2018,2008 = 100,a) final energy productivity,thuringia,code16,118.722
2019,2008 = 100,a) final energy productivity,thuringia,code16,118.917
2020,2008 = 100,a) final energy productivity,thuringia,code16,118.973
2021,2008 = 100,a) final energy productivity,thuringia,code16,118.913
2008,2008 = 100,b) primary energy consumption,,,100.0
2009,2008 = 100,b) primary energy consumption,,,93.945
2010,2008 = 100,b) primary energy consumption,,,98.304
2011,2008 = 100,b) primary energy consumption,,,94.048
2012,2008 = 100,b) primary energy consumption,,,94.75
2013,2008 = 100,b) primary energy consumption,,,96.71
2014,2008 = 100,b) primary energy consumption,,,92.085
2015,2008 = 100,b) primary energy consumption,,,93.031
2016,2008 = 100,b) primary energy consumption,,,93.905
2017,2008 = 100,b) primary energy consumption,,,94.062
2018,2008 = 100,b) primary energy consumption,,,91.704
2019,2008 = 100,b) primary energy consumption,,,89.132
2020,2008 = 100,b) primary energy consumption,,,82.719
2021,2008 = 100,b) primary energy consumption,,,86.59
2022,2008 = 100,b) primary energy consumption,,,81.246
2023,2008 = 100,b) primary energy consumption,,,74.123
2024,2008 = 100,b) primary energy consumption,,,73.335
2030,2008 = 100,b) primary energy consumption,,,
2008,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,100.0
2009,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,95.076
2010,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,95.291
2011,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,88.107
2012,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,85.625
2013,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,89.267
2014,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,85.552
2015,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,87.383
2016,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,89.223
2017,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,87.798
2018,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,86.048
2019,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,86.396
2020,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,77.268
2021,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,79.245
2022,2008 = 100,b) primary energy consumption,baden-wuerttemberg,code08,77.713
2008,2008 = 100,b) primary energy consumption,bavaria,code09,100.0
2009,2008 = 100,b) primary energy consumption,bavaria,code09,98.265
2010,2008 = 100,b) primary energy consumption,bavaria,code09,102.045
2011,2008 = 100,b) primary energy consumption,bavaria,code09,99.897
2012,2008 = 100,b) primary energy consumption,bavaria,code09,97.558
2013,2008 = 100,b) primary energy consumption,bavaria,code09,98.191
2014,2008 = 100,b) primary energy consumption,bavaria,code09,94.712
2015,2008 = 100,b) primary energy consumption,bavaria,code09,94.839
2016,2008 = 100,b) primary energy consumption,bavaria,code09,94.958
2017,2008 = 100,b) primary energy consumption,bavaria,code09,95.405
2018,2008 = 100,b) primary energy consumption,bavaria,code09,89.757
2019,2008 = 100,b) primary energy consumption,bavaria,code09,91.528
2020,2008 = 100,b) primary energy consumption,bavaria,code09,86.8
2021,2008 = 100,b) primary energy consumption,bavaria,code09,89.318
2008,2008 = 100,b) primary energy consumption,berlin,code11,100.0
2009,2008 = 100,b) primary energy consumption,berlin,code11,98.596
2010,2008 = 100,b) primary energy consumption,berlin,code11,107.634
2011,2008 = 100,b) primary energy consumption,berlin,code11,96.33
2012,2008 = 100,b) primary energy consumption,berlin,code11,97.576
2013,2008 = 100,b) primary energy consumption,berlin,code11,100.579
2014,2008 = 100,b) primary energy consumption,berlin,code11,94.605
2015,2008 = 100,b) primary energy consumption,berlin,code11,92.226
2016,2008 = 100,b) primary energy consumption,berlin,code11,94.706
2017,2008 = 100,b) primary energy consumption,berlin,code11,94.161
2018,2008 = 100,b) primary energy consumption,berlin,code11,93.188
2019,2008 = 100,b) primary energy consumption,berlin,code11,90.408
2020,2008 = 100,b) primary energy consumption,berlin,code11,81.05
2021,2008 = 100,b) primary energy consumption,berlin,code11,82.748
2022,2008 = 100,b) primary energy consumption,berlin,code11,78.636
2008,2008 = 100,b) primary energy consumption,brandenburg,code12,100.0
2009,2008 = 100,b) primary energy consumption,brandenburg,code12,97.025
2010,2008 = 100,b) primary energy consumption,brandenburg,code12,102.117
2011,2008 = 100,b) primary energy consumption,brandenburg,code12,104.453
2012,2008 = 100,b) primary energy consumption,brandenburg,code12,104.537
2013,2008 = 100,b) primary energy consumption,brandenburg,code12,102.191
2014,2008 = 100,b) primary energy consumption,brandenburg,code12,101.388
2015,2008 = 100,b) primary energy consumption,brandenburg,code12,101.428
2016,2008 = 100,b) primary energy consumption,brandenburg,code12,101.962
2017,2008 = 100,b) primary energy consumption,brandenburg,code12,103.674
2018,2008 = 100,b) primary energy consumption,brandenburg,code12,106.748
2019,2008 = 100,b) primary energy consumption,brandenburg,code12,97.997
2020,2008 = 100,b) primary energy consumption,brandenburg,code12,84.369
2021,2008 = 100,b) primary energy consumption,brandenburg,code12,94.968
2022,2008 = 100,b) primary energy consumption,brandenburg,code12,90.337
2008,2008 = 100,b) primary energy consumption,bremen,code04,100.0
2009,2008 = 100,b) primary energy consumption,bremen,code04,96.197
2010,2008 = 100,b) primary energy consumption,bremen,code04,105.896
2011,2008 = 100,b) primary energy consumption,bremen,code04,100.289
2012,2008 = 100,b) primary energy consumption,bremen,code04,100.339
2013,2008 = 100,b) primary energy consumption,bremen,code04,99.365
2014,2008 = 100,b) primary energy consumption,bremen,code04,100.788
2015,2008 = 100,b) primary energy consumption,bremen,code04,100.071
2016,2008 = 100,b) primary energy consumption,bremen,code04,98.879
2017,2008 = 100,b) primary energy consumption,bremen,code04,100.548
2018,2008 = 100,b) primary energy consumption,bremen,code04,95.591
2019,2008 = 100,b) primary energy consumption,bremen,code04,89.682
2020,2008 = 100,b) primary energy consumption,bremen,code04,77.493
2008,2008 = 100,b) primary energy consumption,hamburg,code02,100.0
2009,2008 = 100,b) primary energy consumption,hamburg,code02,98.742
2010,2008 = 100,b) primary energy consumption,hamburg,code02,106.297
2011,2008 = 100,b) primary energy consumption,hamburg,code02,99.55
2012,2008 = 100,b) primary energy consumption,hamburg,code02,99.958
2013,2008 = 100,b) primary energy consumption,hamburg,code02,99.159
2014,2008 = 100,b) primary energy consumption,hamburg,code02,99.788
2015,2008 = 100,b) primary energy consumption,hamburg,code02,107.127
2016,2008 = 100,b) primary energy consumption,hamburg,code02,110.385
2017,2008 = 100,b) primary energy consumption,hamburg,code02,111.873
2018,2008 = 100,b) primary energy consumption,hamburg,code02,114.512
2019,2008 = 100,b) primary energy consumption,hamburg,code02,110.137
2020,2008 = 100,b) primary energy consumption,hamburg,code02,96.798
2021,2008 = 100,b) primary energy consumption,hamburg,code02,94.999
2022,2008 = 100,b) primary energy consumption,hamburg,code02,88.172
2008,2008 = 100,b) primary energy consumption,hesse,code06,100.0
2009,2008 = 100,b) primary energy consumption,hesse,code06,83.484
2010,2008 = 100,b) primary energy consumption,hesse,code06,94.985
2011,2008 = 100,b) primary energy consumption,hesse,code06,83.347
2012,2008 = 100,b) primary energy consumption,hesse,code06,80.847
2013,2008 = 100,b) primary energy consumption,hesse,code06,81.39
2014,2008 = 100,b) primary energy consumption,hesse,code06,80.295
2015,2008 = 100,b) primary energy consumption,hesse,code06,81.723
2016,2008 = 100,b) primary energy consumption,hesse,code06,83.305
2017,2008 = 100,b) primary energy consumption,hesse,code06,82.907
2018,2008 = 100,b) primary energy consumption,hesse,code06,81.352
2019,2008 = 100,b) primary energy consumption,hesse,code06,82.379
2020,2008 = 100,b) primary energy consumption,hesse,code06,69.385
2021,2008 = 100,b) primary energy consumption,hesse,code06,72.465
2022,2008 = 100,b) primary energy consumption,hesse,code06,75.303
2008,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,100.0
2009,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,95.143
2010,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,101.928
2011,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,98.294
2012,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,103.934
2013,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,104.584
2014,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,104.247
2015,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,102.135
2016,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,106.068
2017,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,93.209
2018,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,91.066
2019,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,90.088
2020,2008 = 100,b) primary energy consumption,mecklenburg western pomerania,code13,86.536
2008,2008 = 100,b) primary energy consumption,lower saxony,code03,100.0
2009,2008 = 100,b) primary energy consumption,lower saxony,code03,97.643
2010,2008 = 100,b) primary energy consumption,lower saxony,code03,100.68
2011,2008 = 100,b) primary energy consumption,lower saxony,code03,91.887
2012,2008 = 100,b) primary energy consumption,lower saxony,code03,90.817
2013,2008 = 100,b) primary energy consumption,lower saxony,code03,91.163
2014,2008 = 100,b) primary energy consumption,lower saxony,code03,90.386
2015,2008 = 100,b) primary energy consumption,lower saxony,code03,89.769
2016,2008 = 100,b) primary energy consumption,lower saxony,code03,89.541
2017,2008 = 100,b) primary energy consumption,lower saxony,code03,90.113
2018,2008 = 100,b) primary energy consumption,lower saxony,code03,91.145
2019,2008 = 100,b) primary energy consumption,lower saxony,code03,88.895
2020,2008 = 100,b) primary energy consumption,lower saxony,code03,85.99
2021,2008 = 100,b) primary energy consumption,lower saxony,code03,88.226
2022,2008 = 100,b) primary energy consumption,lower saxony,code03,80.024
2008,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,100.0
2009,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,100.704
2010,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,105.724
2011,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,101.909
2012,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,100.616
2013,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,100.5
2014,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,102.51
2015,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,101.619
2016,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,96.716
2017,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,94.961
2018,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,89.343
2019,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,86.35
2020,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,80.755
2021,2008 = 100,b) primary energy consumption,north rhine-westphalia,code05,84.79
2008,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,100.0
2009,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,92.715
2010,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,100.199
2011,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,94.412
2012,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,94.429
2013,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,97.928
2014,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,92.624
2015,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,95.101
2016,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,96.272
2017,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,98.346
2018,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,95.231
2019,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,95.57
2020,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,94.023
2021,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,96.08
2022,2008 = 100,b) primary energy consumption,rhineland palatinate,code07,88.456
2008,2008 = 100,b) primary energy consumption,saarland,code10,100.0
2009,2008 = 100,b) primary energy consumption,saarland,code10,82.887
2010,2008 = 100,b) primary energy consumption,saarland,code10,87.405
2011,2008 = 100,b) primary energy consumption,saarland,code10,91.686
2012,2008 = 100,b) primary energy consumption,saarland,code10,94.808
2013,2008 = 100,b) primary energy consumption,saarland,code10,99.296
2014,2008 = 100,b) primary energy consumption,saarland,code10,90.754
2015,2008 = 100,b) primary energy consumption,saarland,code10,87.673
2016,2008 = 100,b) primary energy consumption,saarland,code10,75.333
2019,2008 = 100,b) primary energy consumption,saarland,code10,66.313
2020,2008 = 100,b) primary energy consumption,saarland,code10,61.963
2021,2008 = 100,b) primary energy consumption,saarland,code10,70.112
2008,2008 = 100,b) primary energy consumption,saxony,code14,100.0
2009,2008 = 100,b) primary energy consumption,saxony,code14,99.49
2010,2008 = 100,b) primary energy consumption,saxony,code14,100.91
2011,2008 = 100,b) primary energy consumption,saxony,code14,96.639
2012,2008 = 100,b) primary energy consumption,saxony,code14,98.588
