Year,Units,Bundesland,GeoCode,Value
2006,Prozent,Hamburg,code02,3.9
2007,Prozent,Hamburg,code02,4.57
2008,Prozent,Hamburg,code02,4.07
2009,Prozent,Hamburg,code02,4.63
2010,Prozent,Hamburg,code02,4.18
2011,Prozent,Hamburg,code02,4.51
2012,Prozent,Hamburg,code02,4.61
2013,Prozent,Hamburg,code02,4.48
2014,Prozent,Hamburg,code02,4.87
2015,Prozent,Hamburg,code02,4.92
2016,Prozent,Hamburg,code02,4.7
2017,Prozent,Hamburg,code02,4.89
2018,Prozent,Hamburg,code02,5.58
2019,Prozent,Hamburg,code02,7.13
2020,Prozent,Hamburg,code02,7.89
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Hessen,code06,4.26
2006,Prozent,Hessen,code06,5.29
2007,Prozent,Hessen,code06,6.08
2008,Prozent,Hessen,code06,5.84
2009,Prozent,Hessen,code06,6.33
2010,Prozent,Hessen,code06,7.51
2011,Prozent,Hessen,code06,8.1
2012,Prozent,Hessen,code06,8.26
2013,Prozent,Hessen,code06,8.68
2014,Prozent,Hessen,code06,8.74
2015,Prozent,Hessen,code06,9.49
2016,Prozent,Hessen,code06,9.61
2017,Prozent,Hessen,code06,10.2
2018,Prozent,Hessen,code06,11.53
2019,Prozent,Hessen,code06,11.53
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2006,Prozent,Niedersachsen,code03,8.4
2008,Prozent,Niedersachsen,code03,10.32
2009,Prozent,Niedersachsen,code03,10.79
2010,Prozent,Niedersachsen,code03,11.69
2011,Prozent,Niedersachsen,code03,13.15
2012,Prozent,Niedersachsen,code03,14.68
2013,Prozent,Niedersachsen,code03,14.78
2014,Prozent,Niedersachsen,code03,15.31
2015,Prozent,Niedersachsen,code03,17.84
2016,Prozent,Niedersachsen,code03,18.08
2017,Prozent,Niedersachsen,code03,20.49
2018,Prozent,Niedersachsen,code03,21.88
2019,Prozent,Niedersachsen,code03,24.11
2020,Prozent,Niedersachsen,code03,26.98
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Nordrhein-Westfalen,code05,3.18
2006,Prozent,Nordrhein-Westfalen,code05,4.07
2007,Prozent,Nordrhein-Westfalen,code05,4.63
2008,Prozent,Nordrhein-Westfalen,code05,3.95
2009,Prozent,Nordrhein-Westfalen,code05,4.9
2010,Prozent,Nordrhein-Westfalen,code05,4.99
2011,Prozent,Nordrhein-Westfalen,code05,5.35
2012,Prozent,Nordrhein-Westfalen,code05,5.82
2013,Prozent,Nordrhein-Westfalen,code05,5.75
2014,Prozent,Nordrhein-Westfalen,code05,5.76
2015,Prozent,Nordrhein-Westfalen,code05,6.33
2016,Prozent,Nordrhein-Westfalen,code05,6.42
2017,Prozent,Nordrhein-Westfalen,code05,6.84
2018,Prozent,Nordrhein-Westfalen,code05,7.3
2019,Prozent,Nordrhein-Westfalen,code05,7.94
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Rheinland-Pfalz,code07,5.51
2006,Prozent,Rheinland-Pfalz,code07,7.52
2007,Prozent,Rheinland-Pfalz,code07,9.19
2008,Prozent,Rheinland-Pfalz,code07,8.67
2009,Prozent,Rheinland-Pfalz,code07,9.19
2010,Prozent,Rheinland-Pfalz,code07,10.02
2011,Prozent,Rheinland-Pfalz,code07,10.78
2012,Prozent,Rheinland-Pfalz,code07,12.31
2013,Prozent,Rheinland-Pfalz,code07,12.82
2014,Prozent,Rheinland-Pfalz,code07,13.05
2015,Prozent,Rheinland-Pfalz,code07,14.27
2016,Prozent,Rheinland-Pfalz,code07,14.09
2017,Prozent,Rheinland-Pfalz,code07,14.67
2018,Prozent,Rheinland-Pfalz,code07,15.4
2019,Prozent,Rheinland-Pfalz,code07,15.96
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Saarland,code10,1.83
2006,Prozent,Saarland,code10,2.21
2007,Prozent,Saarland,code10,2.7
2008,Prozent,Saarland,code10,2.45
2009,Prozent,Saarland,code10,2.98
2010,Prozent,Saarland,code10,3.4
2011,Prozent,Saarland,code10,3.34
2012,Prozent,Saarland,code10,3.3
2013,Prozent,Saarland,code10,3.65
2014,Prozent,Saarland,code10,3.94
2015,Prozent,Saarland,code10,4.44
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Sachsen,code14,3.58
2006,Prozent,Sachsen,code14,6.59
2007,Prozent,Sachsen,code14,7.86
2008,Prozent,Sachsen,code14,7.57
2009,Prozent,Sachsen,code14,8.12
2010,Prozent,Sachsen,code14,8.45
2011,Prozent,Sachsen,code14,9.63
2012,Prozent,Sachsen,code14,10.24
2013,Prozent,Sachsen,code14,10.66
2014,Prozent,Sachsen,code14,11.31
2015,Prozent,Sachsen,code14,12.1
2016,Prozent,Sachsen,code14,11.53
2017,Prozent,Sachsen,code14,11.89
2018,Prozent,Sachsen,code14,12.14
2019,Prozent,Sachsen,code14,12.64
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Sachsen-Anhalt,code15,7.94
2006,Prozent,Sachsen-Anhalt,code15,12.39
2007,Prozent,Sachsen-Anhalt,code15,16.33
2008,Prozent,Sachsen-Anhalt,code15,16.79
2009,Prozent,Sachsen-Anhalt,code15,17.83
2010,Prozent,Sachsen-Anhalt,code15,18.19
2011,Prozent,Sachsen-Anhalt,code15,20.59
2012,Prozent,Sachsen-Anhalt,code15,20.78
2013,Prozent,Sachsen-Anhalt,code15,21.86
2014,Prozent,Sachsen-Anhalt,code15,22.86
2015,Prozent,Sachsen-Anhalt,code15,25.69
2016,Prozent,Sachsen-Anhalt,code15,23.4
2017,Prozent,Sachsen-Anhalt,code15,26.26
2018,Prozent,Sachsen-Anhalt,code15,25.2
2019,Prozent,Sachsen-Anhalt,code15,26.0
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Schleswig-Holstein,code01,9.25
2006,Prozent,Schleswig-Holstein,code01,10.52
2007,Prozent,Schleswig-Holstein,code01,13.93
2008,Prozent,Schleswig-Holstein,code01,14.4
2009,Prozent,Schleswig-Holstein,code01,15.05
2010,Prozent,Schleswig-Holstein,code01,17.19
2011,Prozent,Schleswig-Holstein,code01,19.77
2012,Prozent,Schleswig-Holstein,code01,20.77
2013,Prozent,Schleswig-Holstein,code01,20.58
2014,Prozent,Schleswig-Holstein,code01,23.47
2015,Prozent,Schleswig-Holstein,code01,30.56
2016,Prozent,Schleswig-Holstein,code01,31.87
2017,Prozent,Schleswig-Holstein,code01,36.08
2018,Prozent,Schleswig-Holstein,code01,37.2
2019,Prozent,Schleswig-Holstein,code01,40.26
2020,Prozent,Schleswig-Holstein,code01,41.38
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Thüringen,code16,12.43
2006,Prozent,Thüringen,code16,13.67
2007,Prozent,Thüringen,code16,16.69
2008,Prozent,Thüringen,code16,15.39
2009,Prozent,Thüringen,code16,15.01
2010,Prozent,Thüringen,code16,16.47
2011,Prozent,Thüringen,code16,17.06
2012,Prozent,Thüringen,code16,16.93
2013,Prozent,Thüringen,code16,18.05
2014,Prozent,Thüringen,code16,18.69
2015,Prozent,Thüringen,code16,19.95
2016,Prozent,Thüringen,code16,20.21
2017,Prozent,Thüringen,code16,21.18
2018,Prozent,Thüringen,code16,21.06
2019,Prozent,Thüringen,code16,21.57
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
