Year,Units,Time series,Federal state,GeoCode,Value
2010,Number,,Lower Saxony,code03,10444.0
2011,Number,,Lower Saxony,code03,10452.0
2012,Number,,Lower Saxony,code03,11133.0
2013,Number,,Lower Saxony,code03,12109.0
2014,Number,,Lower Saxony,code03,13195.0
2015,Number,,Lower Saxony,code03,14657.0
2016,Number,,Lower Saxony,code03,15932.0
2017,Number,,Lower Saxony,code03,17702.0
2018,Number,,Lower Saxony,code03,19333.0
2019,Number,,Lower Saxony,code03,20687.0
2020,Number,,Lower Saxony,code03,21354.0
2021,Number,,Lower Saxony,code03,21592.0
2022,Number,,Lower Saxony,code03,22020.0
2023,Number,,Lower Saxony,code03,22429.0
2006,Number,,North Rhine-Westphalia,code05,38324.0
2007,Number,,North Rhine-Westphalia,code05,35303.0
2008,Number,,North Rhine-Westphalia,code05,36388.0
2009,Number,,North Rhine-Westphalia,code05,37820.0
2010,Number,,North Rhine-Westphalia,code05,38968.0
2011,Number,,North Rhine-Westphalia,code05,41572.0
2012,Number,,North Rhine-Westphalia,code05,44860.0
2013,Number,,North Rhine-Westphalia,code05,48945.0
2014,Number,,North Rhine-Westphalia,code05,53164.0
2015,Number,,North Rhine-Westphalia,code05,56422.0
2016,Number,,North Rhine-Westphalia,code05,60688.0
2017,Number,,North Rhine-Westphalia,code05,63089.0
2018,Number,,North Rhine-Westphalia,code05,67424.0
2019,Number,,North Rhine-Westphalia,code05,72166.0
2020,Number,,North Rhine-Westphalia,code05,75112.0
2021,Number,,North Rhine-Westphalia,code05,77363.0
2022,Number,,North Rhine-Westphalia,code05,79204.0
2023,Number,,North Rhine-Westphalia,code05,79691.0
2006,Number,,Rhineland Palatinate,code07,6488.0
2007,Number,,Rhineland Palatinate,code07,6993.0
2008,Number,,Rhineland Palatinate,code07,7166.0
2009,Number,,Rhineland Palatinate,code07,6992.0
2010,Number,,Rhineland Palatinate,code07,7023.0
2011,Number,,Rhineland Palatinate,code07,6748.0
2012,Number,,Rhineland Palatinate,code07,6820.0
2013,Number,,Rhineland Palatinate,code07,6951.0
2014,Number,,Rhineland Palatinate,code07,7214.0
2015,Number,,Rhineland Palatinate,code07,7575.0
2016,Number,,Rhineland Palatinate,code07,8177.0
2017,Number,,Rhineland Palatinate,code07,8928.0
2018,Number,,Rhineland Palatinate,code07,10194.0
2019,Number,,Rhineland Palatinate,code07,11069.0
2020,Number,,Rhineland Palatinate,code07,11896.0
2021,Number,,Rhineland Palatinate,code07,12426.0
2022,Number,,Rhineland Palatinate,code07,12964.0
2023,Number,,Rhineland Palatinate,code07,12957.0
2006,Number,,Saarland,code10,1572.0
2007,Number,,Saarland,code10,1573.0
2008,Number,,Saarland,code10,1597.0
2009,Number,,Saarland,code10,1708.0
2010,Number,,Saarland,code10,1959.0
2011,Number,,Saarland,code10,2085.0
2012,Number,,Saarland,code10,2164.0
2013,Number,,Saarland,code10,2246.0
2014,Number,,Saarland,code10,2331.0
2015,Number,,Saarland,code10,2413.0
2016,Number,,Saarland,code10,2419.0
2017,Number,,Saarland,code10,2481.0
2018,Number,,Saarland,code10,2725.0
2019,Number,,Saarland,code10,2961.0
2020,Number,,Saarland,code10,3114.0
2021,Number,,Saarland,code10,3436.0
2022,Number,,Saarland,code10,3650.0
2023,Number,,Saarland,code10,3859.0
2006,Number,,Saxony,code14,4963.0
2007,Number,,Saxony,code14,5139.0
2008,Number,,Saxony,code14,5053.0
2009,Number,,Saxony,code14,5332.0
2010,Number,,Saxony,code14,5542.0
2011,Number,,Saxony,code14,5966.0
2012,Number,,Saxony,code14,6748.0
2013,Number,,Saxony,code14,7873.0
2014,Number,,Saxony,code14,9023.0
2015,Number,,Saxony,code14,10278.0
2016,Number,,Saxony,code14,10829.0
2017,Number,,Saxony,code14,11340.0
2018,Number,,Saxony,code14,12575.0
2019,Number,,Saxony,code14,13267.0
2020,Number,,Saxony,code14,13507.0
2021,Number,,Saxony,code14,13915.0
2022,Number,,Saxony,code14,14487.0
2023,Number,,Saxony,code14,15487.0
2006,Number,,Saxony-Anhalt,code15,3198.0
2007,Number,,Saxony-Anhalt,code15,3247.0
2008,Number,,Saxony-Anhalt,code15,3251.0
2009,Number,,Saxony-Anhalt,code15,3463.0
2010,Number,,Saxony-Anhalt,code15,3712.0
2011,Number,,Saxony-Anhalt,code15,4041.0
2012,Number,,Saxony-Anhalt,code15,4444.0
2013,Number,,Saxony-Anhalt,code15,4705.0
2014,Number,,Saxony-Anhalt,code15,5080.0
2015,Number,,Saxony-Anhalt,code15,5582.0
2016,Number,,Saxony-Anhalt,code15,5650.0
2017,Number,,Saxony-Anhalt,code15,6091.0
2018,Number,,Saxony-Anhalt,code15,6641.0
2019,Number,,Saxony-Anhalt,code15,7321.0
2020,Number,,Saxony-Anhalt,code15,7679.0
2021,Number,,Saxony-Anhalt,code15,8442.0
2022,Number,,Saxony-Anhalt,code15,9383.0
2023,Number,,Saxony-Anhalt,code15,9687.0
2006,Number,,Schleswig-Holstein,code01,2406.0
2007,Number,,Schleswig-Holstein,code01,2416.0
2008,Number,,Schleswig-Holstein,code01,2436.0
2009,Number,,Schleswig-Holstein,code01,2523.0
2010,Number,,Schleswig-Holstein,code01,2569.0
2011,Number,,Schleswig-Holstein,code01,2633.0
2012,Number,,Schleswig-Holstein,code01,2764.0
2013,Number,,Schleswig-Holstein,code01,2830.0
2014,Number,,Schleswig-Holstein,code01,2998.0
2015,Number,,Schleswig-Holstein,code01,3155.0
2016,Number,,Schleswig-Holstein,code01,3586.0
2017,Number,,Schleswig-Holstein,code01,3667.0
2018,Number,,Schleswig-Holstein,code01,4002.0
2019,Number,,Schleswig-Holstein,code01,4276.0
2020,Number,,Schleswig-Holstein,code01,4402.0
2021,Number,,Schleswig-Holstein,code01,4740.0
2022,Number,,Schleswig-Holstein,code01,4828.0
2023,Number,,Schleswig-Holstein,code01,4972.0
2006,Number,,Thuringia,code16,1937.0
2007,Number,,Thuringia,code16,2176.0
2008,Number,,Thuringia,code16,2192.0
2009,Number,,Thuringia,code16,2543.0
2010,Number,,Thuringia,code16,2909.0
2011,Number,,Thuringia,code16,3012.0
2012,Number,,Thuringia,code16,3412.0
2013,Number,,Thuringia,code16,4000.0
2014,Number,,Thuringia,code16,4508.0
2015,Number,,Thuringia,code16,4948.0
2016,Number,,Thuringia,code16,5180.0
2017,Number,,Thuringia,code16,5623.0
2018,Number,,Thuringia,code16,6397.0
2019,Number,,Thuringia,code16,7700.0
2020,Number,,Thuringia,code16,8785.0
2021,Number,,Thuringia,code16,11414.0
2022,Number,,Thuringia,code16,13809.0
2023,Number,,Thuringia,code16,15776.0
2005,Number,Students from LDCs,,,4960.0
2006,Number,Students from LDCs,,,5012.0
2007,Number,Students from LDCs,,,4933.0
2008,Number,Students from LDCs,,,5331.0
2009,Number,Students from LDCs,,,5738.0
2010,Number,Students from LDCs,,,6300.0
2011,Number,Students from LDCs,,,6925.0
2012,Number,Students from LDCs,,,7577.0
2013,Number,Students from LDCs,,,8348.0
2014,Number,Students from LDCs,,,9244.0
2015,Number,Students from LDCs,,,9746.0
2016,Number,Students from LDCs,,,10119.0
2017,Number,Students from LDCs,,,10576.0
2018,Number,Students from LDCs,,,11525.0
2019,Number,Students from LDCs,,,13067.0
2020,Number,Students from LDCs,,,15055.0
2021,Number,Students from LDCs,,,17113.0
2022,Number,Students from LDCs,,,18315.0
2023,Number,Students from LDCs,,,19505.0
2005,Number,Students from LDCs,Baden-Wuerttemberg,code08,502.0
2006,Number,Students from LDCs,Baden-Wuerttemberg,code08,524.0
2007,Number,Students from LDCs,Baden-Wuerttemberg,code08,532.0
2008,Number,Students from LDCs,Baden-Wuerttemberg,code08,559.0
2009,Number,Students from LDCs,Baden-Wuerttemberg,code08,598.0
2010,Number,Students from LDCs,Baden-Wuerttemberg,code08,669.0
2011,Number,Students from LDCs,Baden-Wuerttemberg,code08,704.0
2012,Number,Students from LDCs,Baden-Wuerttemberg,code08,808.0
2013,Number,Students from LDCs,Baden-Wuerttemberg,code08,895.0
2014,Number,Students from LDCs,Baden-Wuerttemberg,code08,957.0
2015,Number,Students from LDCs,Baden-Wuerttemberg,code08,939.0
2016,Number,Students from LDCs,Baden-Wuerttemberg,code08,937.0
2017,Number,Students from LDCs,Baden-Wuerttemberg,code08,857.0
2018,Number,Students from LDCs,Baden-Wuerttemberg,code08,833.0
2019,Number,Students from LDCs,Baden-Wuerttemberg,code08,794.0
2020,Number,Students from LDCs,Baden-Wuerttemberg,code08,817.0
2021,Number,Students from LDCs,Baden-Wuerttemberg,code08,927.0
2022,Number,Students from LDCs,Baden-Wuerttemberg,code08,929.0
2023,Number,Students from LDCs,Baden-Wuerttemberg,code08,1029.0
2005,Number,Students from LDCs,Bavaria,code09,320.0
2006,Number,Students from LDCs,Bavaria,code09,359.0
2007,Number,Students from LDCs,Bavaria,code09,352.0
2008,Number,Students from LDCs,Bavaria,code09,402.0
2009,Number,Students from LDCs,Bavaria,code09,436.0
2010,Number,Students from LDCs,Bavaria,code09,476.0
2011,Number,Students from LDCs,Bavaria,code09,568.0
2012,Number,Students from LDCs,Bavaria,code09,624.0
2013,Number,Students from LDCs,Bavaria,code09,716.0
2014,Number,Students from LDCs,Bavaria,code09,812.0
2015,Number,Students from LDCs,Bavaria,code09,859.0
2016,Number,Students from LDCs,Bavaria,code09,884.0
2017,Number,Students from LDCs,Bavaria,code09,1036.0
2018,Number,Students from LDCs,Bavaria,code09,1170.0
2019,Number,Students from LDCs,Bavaria,code09,1347.0
2020,Number,Students from LDCs,Bavaria,code09,1751.0
2021,Number,Students from LDCs,Bavaria,code09,2217.0
2022,Number,Students from LDCs,Bavaria,code09,2484.0
2023,Number,Students from LDCs,Bavaria,code09,2841.0
2005,Number,Students from LDCs,Berlin,code11,362.0
2006,Number,Students from LDCs,Berlin,code11,370.0
2007,Number,Students from LDCs,Berlin,code11,337.0
2008,Number,Students from LDCs,Berlin,code11,404.0
2009,Number,Students from LDCs,Berlin,code11,441.0
2010,Number,Students from LDCs,Berlin,code11,505.0
2011,Number,Students from LDCs,Berlin,code11,570.0
2012,Number,Students from LDCs,Berlin,code11,582.0
2013,Number,Students from LDCs,Berlin,code11,634.0
2014,Number,Students from LDCs,Berlin,code11,726.0
2015,Number,Students from LDCs,Berlin,code11,751.0
2016,Number,Students from LDCs,Berlin,code11,755.0
2017,Number,Students from LDCs,Berlin,code11,852.0
2018,Number,Students from LDCs,Berlin,code11,896.0
2019,Number,Students from LDCs,Berlin,code11,1002.0
2020,Number,Students from LDCs,Berlin,code11,1115.0
2021,Number,Students from LDCs,Berlin,code11,1203.0
2022,Number,Students from LDCs,Berlin,code11,1284.0
2023,Number,Students from LDCs,Berlin,code11,1397.0
2005,Number,Students from LDCs,Brandenburg,code12,124.0
2006,Number,Students from LDCs,Brandenburg,code12,121.0
2007,Number,Students from LDCs,Brandenburg,code12,123.0
2008,Number,Students from LDCs,Brandenburg,code12,122.0
2009,Number,Students from LDCs,Brandenburg,code12,125.0
2010,Number,Students from LDCs,Brandenburg,code12,148.0
2011,Number,Students from LDCs,Brandenburg,code12,154.0
2012,Number,Students from LDCs,Brandenburg,code12,193.0
2013,Number,Students from LDCs,Brandenburg,code12,226.0
2014,Number,Students from LDCs,Brandenburg,code12,277.0
2015,Number,Students from LDCs,Brandenburg,code12,321.0
2016,Number,Students from LDCs,Brandenburg,code12,311.0
2017,Number,Students from LDCs,Brandenburg,code12,356.0
2018,Number,Students from LDCs,Brandenburg,code12,400.0
2019,Number,Students from LDCs,Brandenburg,code12,495.0
2020,Number,Students from LDCs,Brandenburg,code12,582.0
2021,Number,Students from LDCs,Brandenburg,code12,669.0
2022,Number,Students from LDCs,Brandenburg,code12,765.0
2023,Number,Students from LDCs,Brandenburg,code12,872.0
2005,Number,Students from LDCs,Bremen,code04,188.0
2006,Number,Students from LDCs,Bremen,code04,192.0
2007,Number,Students from LDCs,Bremen,code04,206.0
2008,Number,Students from LDCs,Bremen,code04,194.0
2009,Number,Students from LDCs,Bremen,code04,194.0
2010,Number,Students from LDCs,Bremen,code04,203.0
2011,Number,Students from LDCs,Bremen,code04,227.0
2012,Number,Students from LDCs,Bremen,code04,255.0
2013,Number,Students from LDCs,Bremen,code04,261.0
2014,Number,Students from LDCs,Bremen,code04,235.0
2015,Number,Students from LDCs,Bremen,code04,262.0
2016,Number,Students from LDCs,Bremen,code04,277.0
2017,Number,Students from LDCs,Bremen,code04,312.0
2018,Number,Students from LDCs,Bremen,code04,337.0
2019,Number,Students from LDCs,Bremen,code04,395.0
2020,Number,Students from LDCs,Bremen,code04,471.0
2021,Number,Students from LDCs,Bremen,code04,525.0
2022,Number,Students from LDCs,Bremen,code04,556.0
2023,Number,Students from LDCs,Bremen,code04,571.0
2005,Number,Students from LDCs,Hamburg,code02,292.0
2006,Number,Students from LDCs,Hamburg,code02,281.0
2007,Number,Students from LDCs,Hamburg,code02,260.0
2008,Number,Students from LDCs,Hamburg,code02,285.0
2009,Number,Students from LDCs,Hamburg,code02,317.0
2010,Number,Students from LDCs,Hamburg,code02,331.0
2011,Number,Students from LDCs,Hamburg,code02,338.0
2012,Number,Students from LDCs,Hamburg,code02,342.0
2013,Number,Students from LDCs,Hamburg,code02,369.0
2014,Number,Students from LDCs,Hamburg,code02,383.0
2015,Number,Students from LDCs,Hamburg,code02,409.0
2016,Number,Students from LDCs,Hamburg,code02,421.0
2017,Number,Students from LDCs,Hamburg,code02,442.0
2018,Number,Students from LDCs,Hamburg,code02,495.0
2019,Number,Students from LDCs,Hamburg,code02,573.0
2020,Number,Students from LDCs,Hamburg,code02,621.0
2021,Number,Students from LDCs,Hamburg,code02,694.0
2022,Number,Students from LDCs,Hamburg,code02,761.0
2023,Number,Students from LDCs,Hamburg,code02,801.0
2005,Number,Students from LDCs,Hesse,code06,728.0
2006,Number,Students from LDCs,Hesse,code06,731.0
2007,Number,Students from LDCs,Hesse,code06,665.0
2008,Number,Students from LDCs,Hesse,code06,766.0
2009,Number,Students from LDCs,Hesse,code06,843.0
2010,Number,Students from LDCs,Hesse,code06,904.0
2011,Number,Students from LDCs,Hesse,code06,968.0
2012,Number,Students from LDCs,Hesse,code06,1062.0
2013,Number,Students from LDCs,Hesse,code06,1158.0
2014,Number,Students from LDCs,Hesse,code06,1263.0
2015,Number,Students from LDCs,Hesse,code06,1345.0
2016,Number,Students from LDCs,Hesse,code06,1352.0
2017,Number,Students from LDCs,Hesse,code06,1385.0
2018,Number,Students from LDCs,Hesse,code06,1481.0
2019,Number,Students from LDCs,Hesse,code06,1649.0
2020,Number,Students from LDCs,Hesse,code06,1826.0
2021,Number,Students from LDCs,Hesse,code06,2071.0
2022,Number,Students from LDCs,Hesse,code06,2192.0
2023,Number,Students from LDCs,Hesse,code06,2342.0
2005,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,61.0
2006,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,66.0
2007,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,68.0
2008,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,69.0
2009,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,79.0
2010,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,86.0
2011,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,103.0
2012,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,104.0
2013,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,118.0
2014,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,133.0
2015,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,123.0
2016,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,141.0
2017,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,143.0
2018,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,172.0
2019,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,177.0
2020,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,155.0
2021,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,159.0
2022,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,150.0
2023,Number,Students from LDCs,Mecklenburg Western Pomerania,code13,156.0
2005,Number,Students from LDCs,Lower Saxony,code03,374.0
2006,Number,Students from LDCs,Lower Saxony,code03,351.0
2007,Number,Students from LDCs,Lower Saxony,code03,340.0
2008,Number,Students from LDCs,Lower Saxony,code03,337.0
2009,Number,Students from LDCs,Lower Saxony,code03,332.0
2010,Number,Students from LDCs,Lower Saxony,code03,388.0
2011,Number,Students from LDCs,Lower Saxony,code03,406.0
2012,Number,Students from LDCs,Lower Saxony,code03,424.0
2013,Number,Students from LDCs,Lower Saxony,code03,467.0
2014,Number,Students from LDCs,Lower Saxony,code03,535.0
2015,Number,Students from LDCs,Lower Saxony,code03,597.0
2016,Number,Students from LDCs,Lower Saxony,code03,667.0
2017,Number,Students from LDCs,Lower Saxony,code03,703.0
2018,Number,Students from LDCs,Lower Saxony,code03,757.0
2019,Number,Students from LDCs,Lower Saxony,code03,830.0
2020,Number,Students from LDCs,Lower Saxony,code03,949.0
2021,Number,Students from LDCs,Lower Saxony,code03,1009.0
2022,Number,Students from LDCs,Lower Saxony,code03,1062.0
2023,Number,Students from LDCs,Lower Saxony,code03,1117.0
2005,Number,Students from LDCs,North Rhine-Westphalia,code05,1261.0
2006,Number,Students from LDCs,North Rhine-Westphalia,code05,1213.0
2007,Number,Students from LDCs,North Rhine-Westphalia,code05,1183.0
2008,Number,Students from LDCs,North Rhine-Westphalia,code05,1229.0
2009,Number,Students from LDCs,North Rhine-Westphalia,code05,1304.0
2010,Number,Students from LDCs,North Rhine-Westphalia,code05,1393.0
2011,Number,Students from LDCs,North Rhine-Westphalia,code05,1666.0
2012,Number,Students from LDCs,North Rhine-Westphalia,code05,1865.0
2013,Number,Students from LDCs,North Rhine-Westphalia,code05,2057.0
2014,Number,Students from LDCs,North Rhine-Westphalia,code05,2399.0
2015,Number,Students from LDCs,North Rhine-Westphalia,code05,2518.0
2016,Number,Students from LDCs,North Rhine-Westphalia,code05,2666.0
2017,Number,Students from LDCs,North Rhine-Westphalia,code05,2684.0
2018,Number,Students from LDCs,North Rhine-Westphalia,code05,2921.0
2019,Number,Students from LDCs,North Rhine-Westphalia,code05,3316.0
2020,Number,Students from LDCs,North Rhine-Westphalia,code05,3768.0
2021,Number,Students from LDCs,North Rhine-Westphalia,code05,4013.0
2022,Number,Students from LDCs,North Rhine-Westphalia,code05,4283.0
2023,Number,Students from LDCs,North Rhine-Westphalia,code05,4509.0
2005,Number,Students from LDCs,Rhineland Palatinate,code07,239.0
2006,Number,Students from LDCs,Rhineland Palatinate,code07,271.0
2007,Number,Students from LDCs,Rhineland Palatinate,code07,313.0
2008,Number,Students from LDCs,Rhineland Palatinate,code07,335.0
2009,Number,Students from LDCs,Rhineland Palatinate,code07,336.0
2010,Number,Students from LDCs,Rhineland Palatinate,code07,373.0
2011,Number,Students from LDCs,Rhineland Palatinate,code07,344.0
2012,Number,Students from LDCs,Rhineland Palatinate,code07,339.0
2013,Number,Students from LDCs,Rhineland Palatinate,code07,348.0
2014,Number,Students from LDCs,Rhineland Palatinate,code07,389.0
2015,Number,Students from LDCs,Rhineland Palatinate,code07,409.0
2016,Number,Students from LDCs,Rhineland Palatinate,code07,422.0
2017,Number,Students from LDCs,Rhineland Palatinate,code07,432.0
2018,Number,Students from LDCs,Rhineland Palatinate,code07,500.0
2019,Number,Students from LDCs,Rhineland Palatinate,code07,562.0
2020,Number,Students from LDCs,Rhineland Palatinate,code07,665.0
2021,Number,Students from LDCs,Rhineland Palatinate,code07,706.0
2022,Number,Students from LDCs,Rhineland Palatinate,code07,755.0
2023,Number,Students from LDCs,Rhineland Palatinate,code07,767.0
2005,Number,Students from LDCs,Saarland,code10,95.0
2006,Number,Students from LDCs,Saarland,code10,93.0
2007,Number,Students from LDCs,Saarland,code10,106.0
2008,Number,Students from LDCs,Saarland,code10,110.0
2009,Number,Students from LDCs,Saarland,code10,104.0
2010,Number,Students from LDCs,Saarland,code10,130.0
2011,Number,Students from LDCs,Saarland,code10,118.0
2012,Number,Students from LDCs,Saarland,code10,115.0
2013,Number,Students from LDCs,Saarland,code10,116.0
2014,Number,Students from LDCs,Saarland,code10,124.0
2015,Number,Students from LDCs,Saarland,code10,126.0
2016,Number,Students from LDCs,Saarland,code10,128.0
2017,Number,Students from LDCs,Saarland,code10,127.0
2018,Number,Students from LDCs,Saarland,code10,130.0
2019,Number,Students from LDCs,Saarland,code10,140.0
