Year,Units,time series,COMMENT_OBS_0,sex,federal state,GeoCode,qualification,Value
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,45.984
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,46.843
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,48.374
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,50.521
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,51.295
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,52.64
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,53.827
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,54.411
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,56.549
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,57.49
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,57.537
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,59.403
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,p,female,,,,61.581
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,30.88
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,31.088
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,31.291
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,32.233
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,34.654
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,34.992
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,36.482
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,38.032
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,39.689
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,42.199
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,35.172
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,40.016
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,40.109
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,40.903
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,42.229
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,42.906
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,43.109
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,44.574
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,45.188
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,46.02
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,46.764
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,48.219
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,50.008
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,49.754
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,51.478
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,p,male,,,,53.318
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,35.042
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,35.23
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,35.233
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,35.467
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,37.722
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,36.975
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,36.526
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,37.256
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,male,,,,37.854
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,,39.223
2010,percentage,,,,baden-wuerttemberg,code08,,42.299
2011,percentage,,,,baden-wuerttemberg,code08,,43.361
2012,percentage,,,,baden-wuerttemberg,code08,,44.959
2013,percentage,,,,baden-wuerttemberg,code08,,47.307
2014,percentage,,,,baden-wuerttemberg,code08,,47.361
2015,percentage,,,,baden-wuerttemberg,code08,,48.419
2016,percentage,,,,baden-wuerttemberg,code08,,50.273
2017,percentage,,,,baden-wuerttemberg,code08,,50.692
2018,percentage,,,,baden-wuerttemberg,code08,,51.4
2019,percentage,,,,baden-wuerttemberg,code08,,53.9169
2020,percentage,,,,baden-wuerttemberg,code08,,53.97
2021,percentage,,r,,baden-wuerttemberg,code08,,55.017
2022,percentage,,r,,baden-wuerttemberg,code08,,55.549
2023,percentage,,r,,baden-wuerttemberg,code08,,56.756
2024,percentage,,p,,baden-wuerttemberg,code08,,58.929
2005,percentage,,,,baden-wuerttemberg,code08,,36.883
2006,percentage,,,,baden-wuerttemberg,code08,,36.866
2007,percentage,,,,baden-wuerttemberg,code08,,37.613
2008,percentage,,,,baden-wuerttemberg,code08,,37.838
2009,percentage,,,,baden-wuerttemberg,code08,,41.901
2010,percentage,,,female,baden-wuerttemberg,code08,,40.739
2011,percentage,,,female,baden-wuerttemberg,code08,,41.862
2012,percentage,,,female,baden-wuerttemberg,code08,,44.466
2013,percentage,,,female,baden-wuerttemberg,code08,,46.18
2014,percentage,,,female,baden-wuerttemberg,code08,,48.068
2015,percentage,,,female,baden-wuerttemberg,code08,,49.643
2016,percentage,,,female,baden-wuerttemberg,code08,,50.954
2017,percentage,,,female,baden-wuerttemberg,code08,,51.52
2018,percentage,,,female,baden-wuerttemberg,code08,,52.285
2019,percentage,,,female,baden-wuerttemberg,code08,,56.606
2020,percentage,,,female,baden-wuerttemberg,code08,,56.993
2021,percentage,,r,female,baden-wuerttemberg,code08,,58.225
2022,percentage,,r,female,baden-wuerttemberg,code08,,58.443
2023,percentage,,r,female,baden-wuerttemberg,code08,,59.651
2024,percentage,,p,female,baden-wuerttemberg,code08,,63.465
2005,percentage,,,female,baden-wuerttemberg,code08,,33.109
2006,percentage,,,female,baden-wuerttemberg,code08,,34.227
2007,percentage,,,female,baden-wuerttemberg,code08,,35.715
2008,percentage,,,female,baden-wuerttemberg,code08,,36.015
2009,percentage,,,female,baden-wuerttemberg,code08,,41.037
2010,percentage,,,male,baden-wuerttemberg,code08,,43.877
2011,percentage,,,male,baden-wuerttemberg,code08,,44.857
2012,percentage,,,male,baden-wuerttemberg,code08,,45.448
2013,percentage,,,male,baden-wuerttemberg,code08,,48.428
2014,percentage,,,male,baden-wuerttemberg,code08,,46.675
2015,percentage,,,male,baden-wuerttemberg,code08,,47.242
2016,percentage,,,male,baden-wuerttemberg,code08,,49.63
2017,percentage,,,male,baden-wuerttemberg,code08,,49.897
2018,percentage,,,male,baden-wuerttemberg,code08,,50.578
2019,percentage,,,male,baden-wuerttemberg,code08,,51.451
2020,percentage,,,male,baden-wuerttemberg,code08,,51.226
2021,percentage,,r,male,baden-wuerttemberg,code08,,52.09
2022,percentage,,r,male,baden-wuerttemberg,code08,,52.87
2023,percentage,,r,male,baden-wuerttemberg,code08,,54.053
2024,percentage,,p,male,baden-wuerttemberg,code08,,54.726
2005,percentage,,,male,baden-wuerttemberg,code08,,40.459
2006,percentage,,,male,baden-wuerttemberg,code08,,39.43
2007,percentage,,,male,baden-wuerttemberg,code08,,39.492
2008,percentage,,,male,baden-wuerttemberg,code08,,39.693
2009,percentage,,,male,baden-wuerttemberg,code08,,42.792
2010,percentage,,,,bavaria,code09,,40.447
2011,percentage,,,,bavaria,code09,,41.17
2012,percentage,,,,bavaria,code09,,43.675
2013,percentage,,,,bavaria,code09,,45.351
2014,percentage,,,,bavaria,code09,,45.92
2015,percentage,,,,bavaria,code09,,45.734
2016,percentage,,,,bavaria,code09,,48.157
2017,percentage,,,,bavaria,code09,,48.756
2018,percentage,,,,bavaria,code09,,50.026
2019,percentage,,,,bavaria,code09,,49.549
2020,percentage,,,,bavaria,code09,,51.069
2021,percentage,,r,,bavaria,code09,,54.196
2022,percentage,,r,,bavaria,code09,,52.816
2023,percentage,,r,,bavaria,code09,,55.954
2024,percentage,,p,,bavaria,code09,,56.567
2005,percentage,,,,bavaria,code09,,35.156
2006,percentage,,,,bavaria,code09,,34.685
2007,percentage,,,,bavaria,code09,,35.842
2008,percentage,,,,bavaria,code09,,37.649
2009,percentage,,,,bavaria,code09,,39.629
2010,percentage,,,female,bavaria,code09,,40.241
2011,percentage,,,female,bavaria,code09,,41.647
2012,percentage,,,female,bavaria,code09,,44.915
2013,percentage,,,female,bavaria,code09,,45.38
2014,percentage,,,female,bavaria,code09,,46.216
2015,percentage,,,female,bavaria,code09,,47.467
2016,percentage,,,female,bavaria,code09,,49.654
2017,percentage,,,female,bavaria,code09,,50.77
2018,percentage,,,female,bavaria,code09,,52.176
2019,percentage,,,female,bavaria,code09,,50.821
2020,percentage,,,female,bavaria,code09,,52.607
2021,percentage,,r,female,bavaria,code09,,56.158
2022,percentage,,r,female,bavaria,code09,,55.125
2023,percentage,,r,female,bavaria,code09,,57.496
2024,percentage,,p,female,bavaria,code09,,59.218
2005,percentage,,,female,bavaria,code09,,32.879
2006,percentage,,,female,bavaria,code09,,33.134
2007,percentage,,,female,bavaria,code09,,34.766
2008,percentage,,,female,bavaria,code09,,36.965
2009,percentage,,,female,bavaria,code09,,38.73
2010,percentage,,,male,bavaria,code09,,40.647
2011,percentage,,,male,bavaria,code09,,40.713
2012,percentage,,,male,bavaria,code09,,42.423
2013,percentage,,,male,bavaria,code09,,45.316
2014,percentage,,,male,bavaria,code09,,45.613
2015,percentage,,,male,bavaria,code09,,43.997
2016,percentage,,,male,bavaria,code09,,46.71
2017,percentage,,,male,bavaria,code09,,46.883
2018,percentage,,,male,bavaria,code09,,48.055
2019,percentage,,,male,bavaria,code09,,48.337
2020,percentage,,,male,bavaria,code09,,49.638
2021,percentage,,r,male,bavaria,code09,,52.397
2022,percentage,,r,male,bavaria,code09,,50.62
2023,percentage,,r,male,bavaria,code09,,53.804
2024,percentage,,p,male,bavaria,code09,,54.059
2005,percentage,,,male,bavaria,code09,,37.378
2006,percentage,,,male,bavaria,code09,,36.245
2007,percentage,,,male,bavaria,code09,,36.866
2008,percentage,,,male,bavaria,code09,,38.335
2009,percentage,,,male,bavaria,code09,,40.486
2010,percentage,,,,berlin,code11,,50.741
2011,percentage,,,,berlin,code11,,51.867
2012,percentage,,,,berlin,code11,,53.682
2013,percentage,,,,berlin,code11,,53.226
2014,percentage,,,,berlin,code11,,53.955
2015,percentage,,,,berlin,code11,,56.682
2016,percentage,,,,berlin,code11,,59.736
2017,percentage,,,,berlin,code11,,60.9
2018,percentage,,,,berlin,code11,,62.662
2019,percentage,,,,berlin,code11,,64.799
2020,percentage,,,,berlin,code11,,65.78
2021,percentage,,r,,berlin,code11,,68.678
2022,percentage,,r,,berlin,code11,,70.217
2023,percentage,,r,,berlin,code11,,68.961
2024,percentage,,p,,berlin,code11,,70.358
2005,percentage,,,,berlin,code11,,46.171
2006,percentage,,,,berlin,code11,,46.613
2007,percentage,,,,berlin,code11,,49.178
2008,percentage,,,,berlin,code11,,47.189
2009,percentage,,,,berlin,code11,,50.363
2010,percentage,,,female,berlin,code11,,55.98
2011,percentage,,,female,berlin,code11,,59.315
2012,percentage,,,female,berlin,code11,,60.203
2013,percentage,,,female,berlin,code11,,59.132
2014,percentage,,,female,berlin,code11,,59.84
2015,percentage,,,female,berlin,code11,,63.74
2016,percentage,,,female,berlin,code11,,63.663
2017,percentage,,,female,berlin,code11,,66.054
2018,percentage,,,female,berlin,code11,,66.992
2019,percentage,,,female,berlin,code11,,69.184
2020,percentage,,,female,berlin,code11,,70.086
2021,percentage,,r,female,berlin,code11,,71.79
2022,percentage,,r,female,berlin,code11,,73.738
2023,percentage,,r,female,berlin,code11,,72.425
2024,percentage,,p,female,berlin,code11,,72.506
2005,percentage,,,female,berlin,code11,,47.091
2006,percentage,,,female,berlin,code11,,50.091
2007,percentage,,,female,berlin,code11,,53.045
2008,percentage,,,female,berlin,code11,,49.991
2009,percentage,,,female,berlin,code11,,56.248
2010,percentage,,,male,berlin,code11,,45.795
2011,percentage,,,male,berlin,code11,,44.749
2012,percentage,,,male,berlin,code11,,47.454
2013,percentage,,,male,berlin,code11,,47.616
2014,percentage,,,male,berlin,code11,,48.408
2015,percentage,,,male,berlin,code11,,49.661
2016,percentage,,,male,berlin,code11,,55.666
2017,percentage,,,male,berlin,code11,,55.683
2018,percentage,,,male,berlin,code11,,58.273
2019,percentage,,,male,berlin,code11,,60.317
2020,percentage,,,male,berlin,code11,,61.697
2021,percentage,,r,male,berlin,code11,,65.508
2022,percentage,,r,male,berlin,code11,,66.813
2023,percentage,,r,male,berlin,code11,,65.565
2024,percentage,,p,male,berlin,code11,,68.328
2005,percentage,,,male,berlin,code11,,45.299
2006,percentage,,,male,berlin,code11,,43.233
2007,percentage,,,male,berlin,code11,,45.499
2008,percentage,,,male,berlin,code11,,44.604
2009,percentage,,,male,berlin,code11,,44.408
2010,percentage,,,,brandenburg,code12,,41.438
2011,percentage,,,,brandenburg,code12,,44.497
2012,percentage,,,,brandenburg,code12,,42.083
2013,percentage,,,,brandenburg,code12,,42.574
2014,percentage,,,,brandenburg,code12,,44.166
2015,percentage,,,,brandenburg,code12,,43.305
2016,percentage,,,,brandenburg,code12,,45.406
2017,percentage,,,,brandenburg,code12,,42.417
2018,percentage,,,,brandenburg,code12,,45.28
2019,percentage,,,,brandenburg,code12,,44.441
2020,percentage,,,,brandenburg,code12,,49.207
2021,percentage,,r,,brandenburg,code12,,54.541
2022,percentage,,r,,brandenburg,code12,,53.28
2023,percentage,,r,,brandenburg,code12,,53.611
2024,percentage,,p,,brandenburg,code12,,57.274
2005,percentage,,,,brandenburg,code12,,32.105
2006,percentage,,,,brandenburg,code12,,33.245
2007,percentage,,,,brandenburg,code12,,34.748
2008,percentage,,,,brandenburg,code12,,38.584
2009,percentage,,,,brandenburg,code12,,41.176
2010,percentage,,,female,brandenburg,code12,,50.174
2011,percentage,,,female,brandenburg,code12,,53.618
2012,percentage,,,female,brandenburg,code12,,51.561
2013,percentage,,,female,brandenburg,code12,,48.956
2014,percentage,,,female,brandenburg,code12,,50.463
2015,percentage,,,female,brandenburg,code12,,53.347
2016,percentage,,,female,brandenburg,code12,,54.237
2017,percentage,,,female,brandenburg,code12,,48.388
2018,percentage,,,female,brandenburg,code12,,53.536
2019,percentage,,,female,brandenburg,code12,,52.09
2020,percentage,,,female,brandenburg,code12,,54.649
2021,percentage,,r,female,brandenburg,code12,,60.2
2022,percentage,,r,female,brandenburg,code12,,61.119
2023,percentage,,r,female,brandenburg,code12,,60.649
2024,percentage,,p,female,brandenburg,code12,,59.686
2005,percentage,,,female,brandenburg,code12,,36.872
2006,percentage,,,female,brandenburg,code12,,39.533
2007,percentage,,,female,brandenburg,code12,,42.239
2008,percentage,,,female,brandenburg,code12,,47.104
2009,percentage,,,female,brandenburg,code12,,47.875
2010,percentage,,,male,brandenburg,code12,,33.499
2011,percentage,,,male,brandenburg,code12,,35.83
2012,percentage,,,male,brandenburg,code12,,33.854
2013,percentage,,,male,brandenburg,code12,,36.482
2014,percentage,,,male,brandenburg,code12,,37.614
2015,percentage,,,male,brandenburg,code12,,34.099
2016,percentage,,,male,brandenburg,code12,,36.92
2017,percentage,,,male,brandenburg,code12,,36.774
2018,percentage,,,male,brandenburg,code12,,36.845
2019,percentage,,,male,brandenburg,code12,,36.719
2020,percentage,,,male,brandenburg,code12,,43.576
2021,percentage,,r,male,brandenburg,code12,,48.798
2022,percentage,,r,male,brandenburg,code12,,45.629
2023,percentage,,r,male,brandenburg,code12,,46.913
2024,percentage,,p,male,brandenburg,code12,,54.882
2005,percentage,,,male,brandenburg,code12,,27.534
2006,percentage,,,male,brandenburg,code12,,27.45
2007,percentage,,,male,brandenburg,code12,,27.288
2008,percentage,,,male,brandenburg,code12,,30.42
2009,percentage,,,male,brandenburg,code12,,35.274
2010,percentage,,,,bremen,code04,,42.091
2011,percentage,,,,bremen,code04,,43.164
2012,percentage,,,,bremen,code04,,42.426
2013,percentage,,,,bremen,code04,,44.794
2014,percentage,,,,bremen,code04,,53.636
2015,percentage,,,,bremen,code04,,51.149
2016,percentage,,,,bremen,code04,,47.308
2017,percentage,,,,bremen,code04,,52.051
2018,percentage,,,,bremen,code04,,52.305
2019,percentage,,,,bremen,code04,,49.131
2020,percentage,,,,bremen,code04,,50.924
2021,percentage,,r,,bremen,code04,,55.517
2022,percentage,,r,,bremen,code04,,50.925
2023,percentage,,r,,bremen,code04,,47.703
2024,percentage,,p,,bremen,code04,,50.471
2005,percentage,,,,bremen,code04,,33.792
2006,percentage,,,,bremen,code04,,36.816
2007,percentage,,,,bremen,code04,,38.2
2008,percentage,,,,bremen,code04,,39.539
2009,percentage,,,,bremen,code04,,32.736
2010,percentage,,,female,bremen,code04,,37.891
2011,percentage,,,female,bremen,code04,,47.784
2012,percentage,,,female,bremen,code04,,46.71
2013,percentage,,,female,bremen,code04,,48.958
2014,percentage,,,female,bremen,code04,,57.459
2015,percentage,,,female,bremen,code04,,55.515
2016,percentage,,,female,bremen,code04,,50.78
2017,percentage,,,female,bremen,code04,,56.96
2018,percentage,,,female,bremen,code04,,56.809
2019,percentage,,,female,bremen,code04,,56.672
2020,percentage,,,female,bremen,code04,,58.881
2021,percentage,,r,female,bremen,code04,,62.569
2022,percentage,,r,female,bremen,code04,,54.762
2023,percentage,,r,female,bremen,code04,,49.396
2024,percentage,,p,female,bremen,code04,,51.469
2005,percentage,,,female,bremen,code04,,35.318
2006,percentage,,,female,bremen,code04,,40.104
2007,percentage,,,female,bremen,code04,,40.341
2008,percentage,,,female,bremen,code04,,40.847
2009,percentage,,,female,bremen,code04,,36.118
2010,percentage,,,male,bremen,code04,,46.66
2011,percentage,,,male,bremen,code04,,37.811
2012,percentage,,,male,bremen,code04,,38.639
2013,percentage,,,male,bremen,code04,,41.539
2014,percentage,,,male,bremen,code04,,50.08
2015,percentage,,,male,bremen,code04,,47.205
2016,percentage,,,male,bremen,code04,,43.493
2017,percentage,,,male,bremen,code04,,47.337
2018,percentage,,,male,bremen,code04,,47.898
2019,percentage,,,male,bremen,code04,,42.249
2020,percentage,,,male,bremen,code04,,43.555
2021,percentage,,r,male,bremen,code04,,49.432
2022,percentage,,r,male,bremen,code04,,47.42
2023,percentage,,r,male,bremen,code04,,45.963
2024,percentage,,p,male,bremen,code04,,49.445
2005,percentage,,,male,bremen,code04,,32.333
2006,percentage,,,male,bremen,code04,,33.914
2007,percentage,,,male,bremen,code04,,36.337
2008,percentage,,,male,bremen,code04,,38.208
2009,percentage,,,male,bremen,code04,,28.794
2010,percentage,,,,hamburg,code02,,52.734
2011,percentage,,,,hamburg,code02,,55.412
2012,percentage,,,,hamburg,code02,,54.853
2013,percentage,,,,hamburg,code02,,55.762
2014,percentage,,,,hamburg,code02,,58.677
2015,percentage,,,,hamburg,code02,,60.619
2016,percentage,,,,hamburg,code02,,60.562
2017,percentage,,,,hamburg,code02,,58.394
2018,percentage,,,,hamburg,code02,,62.482
2019,percentage,,,,hamburg,code02,,60.122
2020,percentage,,,,hamburg,code02,,60.132
2021,percentage,,r,,hamburg,code02,,66.131
2022,percentage,,r,,hamburg,code02,,59.453
2023,percentage,,r,,hamburg,code02,,62.225
2024,percentage,,p,,hamburg,code02,,64.537
2005,percentage,,,,hamburg,code02,,45.79
2006,percentage,,,,hamburg,code02,,48.73
2007,percentage,,,,hamburg,code02,,49.433
2008,percentage,,,,hamburg,code02,,50.213
2009,percentage,,,,hamburg,code02,,53.446
2010,percentage,,,female,hamburg,code02,,54.07
2011,percentage,,,female,hamburg,code02,,57.241
2012,percentage,,,female,hamburg,code02,,57.883
2013,percentage,,,female,hamburg,code02,,60.428
2014,percentage,,,female,hamburg,code02,,61.667
2015,percentage,,,female,hamburg,code02,,62.6
2016,percentage,,,female,hamburg,code02,,62.807
2017,percentage,,,female,hamburg,code02,,63.006
2018,percentage,,,female,hamburg,code02,,64.878
2019,percentage,,,female,hamburg,code02,,61.176
2020,percentage,,,female,hamburg,code02,,63.751
2021,percentage,,r,female,hamburg,code02,,70.736
2022,percentage,,r,female,hamburg,code02,,63.447
2023,percentage,,r,female,hamburg,code02,,67.35
2024,percentage,,p,female,hamburg,code02,,68.011
2005,percentage,,,female,hamburg,code02,,47.503
2006,percentage,,,female,hamburg,code02,,48.986
2007,percentage,,,female,hamburg,code02,,53.833
2008,percentage,,,female,hamburg,code02,,53.129
2009,percentage,,,female,hamburg,code02,,54.502
2010,percentage,,,male,hamburg,code02,,51.466
2011,percentage,,,male,hamburg,code02,,53.572
2012,percentage,,,male,hamburg,code02,,51.135
2013,percentage,,,male,hamburg,code02,,51.061
2014,percentage,,,male,hamburg,code02,,55.467
2015,percentage,,,male,hamburg,code02,,58.535
2016,percentage,,,male,hamburg,code02,,58.411
2017,percentage,,,male,hamburg,code02,,53.722
2018,percentage,,,male,hamburg,code02,,60.036
2019,percentage,,,male,hamburg,code02,,59.103
2020,percentage,,,male,hamburg,code02,,56.579
2021,percentage,,r,male,hamburg,code02,,61.492
2022,percentage,,r,male,hamburg,code02,,55.578
2023,percentage,,r,male,hamburg,code02,,57.303
2024,percentage,,p,male,hamburg,code02,,61.319
2005,percentage,,,male,hamburg,code02,,44.232
2006,percentage,,,male,hamburg,code02,,48.471
2007,percentage,,,male,hamburg,code02,,45.16
2008,percentage,,,male,hamburg,code02,,47.317
2009,percentage,,,male,hamburg,code02,,52.467
2010,percentage,,,,hesse,code06,,45.525
2011,percentage,,,,hesse,code06,,46.133
2012,percentage,,,,hesse,code06,,47.165
2013,percentage,,,,hesse,code06,,47.583
2014,percentage,,,,hesse,code06,,46.33
2015,percentage,,,,hesse,code06,,49.382
2016,percentage,,,,hesse,code06,,50.495
2017,percentage,,,,hesse,code06,,54.079
2018,percentage,,,,hesse,code06,,52.443
2019,percentage,,,,hesse,code06,,52.727
2020,percentage,,,,hesse,code06,,52.672
2021,percentage,,r,,hesse,code06,,52.3
2022,percentage,,r,,hesse,code06,,52.176
2023,percentage,,r,,hesse,code06,,55.086
2024,percentage,,p,,hesse,code06,,57.864
2005,percentage,,,,hesse,code06,,40.651
2006,percentage,,,,hesse,code06,,40.198
2007,percentage,,,,hesse,code06,,40.867
2008,percentage,,,,hesse,code06,,40.319
2009,percentage,,,,hesse,code06,,43.154
2010,percentage,,,female,hesse,code06,,46.354
2011,percentage,,,female,hesse,code06,,46.657
2012,percentage,,,female,hesse,code06,,47.982
2013,percentage,,,female,hesse,code06,,48.974
2014,percentage,,,female,hesse,code06,,47.9
2015,percentage,,,female,hesse,code06,,52.149
2016,percentage,,,female,hesse,code06,,53.07
2017,percentage,,,female,hesse,code06,,58.514
2018,percentage,,,female,hesse,code06,,56.996
2019,percentage,,,female,hesse,code06,,57.354
2020,percentage,,,female,hesse,code06,,54.372
2021,percentage,,r,female,hesse,code06,,55.358
2022,percentage,,r,female,hesse,code06,,55.014
2023,percentage,,r,female,hesse,code06,,59.349
2024,percentage,,p,female,hesse,code06,,62.887
2005,percentage,,,female,hesse,code06,,38.717
2006,percentage,,,female,hesse,code06,,38.815
2007,percentage,,,female,hesse,code06,,39.798
2008,percentage,,,female,hesse,code06,,40.673
2009,percentage,,,female,hesse,code06,,44.189
2010,percentage,,,male,hesse,code06,,44.658
2011,percentage,,,male,hesse,code06,,45.578
2012,percentage,,,male,hesse,code06,,46.331
2013,percentage,,,male,hesse,code06,,46.136
2014,percentage,,,male,hesse,code06,,44.808
2015,percentage,,,male,hesse,code06,,46.628
2016,percentage,,,male,hesse,code06,,47.837
2017,percentage,,,male,hesse,code06,,49.627
2018,percentage,,,male,hesse,code06,,48.008
2019,percentage,,,male,hesse,code06,,48.341
2020,percentage,,,male,hesse,code06,,51.008
2021,percentage,,r,male,hesse,code06,,49.387
2022,percentage,,r,male,hesse,code06,,49.441
