Year,Units,Series,Federal state,GeoCode,Value
2014,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,84.0
2015,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,85.0
2016,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,80.0
2017,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,93.0
2018,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,88.0
2019,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,87.0
2020,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,85.0
2021,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,89.0
2022,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,90.0
2023,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,82.0
2010,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,262.0
2011,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,263.0
2012,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,232.0
2013,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,231.0
2014,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,222.0
2015,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,229.0
2016,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,236.0
2017,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,232.0
2018,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,229.0
2019,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,236.0
2020,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,232.0
2021,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,233.0
2022,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,255.0
2023,Number,Locations of organisation registered with EMAS,North Rhine-Westphalia,code05,227.0
2010,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,53.0
2011,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,48.0
2012,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,49.0
2013,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,53.0
2014,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,51.0
2015,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,45.0
2016,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,51.0
2017,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,53.0
2018,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,54.0
2019,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,66.0
2020,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,50.0
2021,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,49.0
2022,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,55.0
2023,Number,Locations of organisation registered with EMAS,Rhineland Palatinate,code07,54.0
2010,Number,Locations of organisation registered with EMAS,Saarland,code10,60.0
2011,Number,Locations of organisation registered with EMAS,Saarland,code10,55.0
2012,Number,Locations of organisation registered with EMAS,Saarland,code10,55.0
2013,Number,Locations of organisation registered with EMAS,Saarland,code10,57.0
2014,Number,Locations of organisation registered with EMAS,Saarland,code10,63.0
2015,Number,Locations of organisation registered with EMAS,Saarland,code10,61.0
2016,Number,Locations of organisation registered with EMAS,Saarland,code10,62.0
2017,Number,Locations of organisation registered with EMAS,Saarland,code10,64.0
2018,Number,Locations of organisation registered with EMAS,Saarland,code10,59.0
2019,Number,Locations of organisation registered with EMAS,Saarland,code10,59.0
2020,Number,Locations of organisation registered with EMAS,Saarland,code10,60.0
2021,Number,Locations of organisation registered with EMAS,Saarland,code10,56.0
2022,Number,Locations of organisation registered with EMAS,Saarland,code10,54.0
2023,Number,Locations of organisation registered with EMAS,Saarland,code10,53.0
2010,Number,Locations of organisation registered with EMAS,Saxony,code14,63.0
2011,Number,Locations of organisation registered with EMAS,Saxony,code14,62.0
2012,Number,Locations of organisation registered with EMAS,Saxony,code14,66.0
2013,Number,Locations of organisation registered with EMAS,Saxony,code14,63.0
2014,Number,Locations of organisation registered with EMAS,Saxony,code14,65.0
2015,Number,Locations of organisation registered with EMAS,Saxony,code14,64.0
2016,Number,Locations of organisation registered with EMAS,Saxony,code14,74.0
2017,Number,Locations of organisation registered with EMAS,Saxony,code14,89.0
2018,Number,Locations of organisation registered with EMAS,Saxony,code14,112.0
2019,Number,Locations of organisation registered with EMAS,Saxony,code14,113.0
2020,Number,Locations of organisation registered with EMAS,Saxony,code14,106.0
2021,Number,Locations of organisation registered with EMAS,Saxony,code14,107.0
2022,Number,Locations of organisation registered with EMAS,Saxony,code14,110.0
2023,Number,Locations of organisation registered with EMAS,Saxony,code14,99.0
2010,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,53.0
2011,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,50.0
2012,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,40.0
2013,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,41.0
2014,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,39.0
2015,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,39.0
2016,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,44.0
2017,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,44.0
2018,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,45.0
2019,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,66.0
2020,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,65.0
2021,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,64.0
2022,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,67.0
2023,Number,Locations of organisation registered with EMAS,Saxony-Anhalt,code15,63.0
2010,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,59.0
2011,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,59.0
2012,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,45.0
2013,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,43.0
2014,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,41.0
2015,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,32.0
2016,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,33.0
2017,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,45.0
2018,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,39.0
2019,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,37.0
2020,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,40.0
2021,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,39.0
2022,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,40.0
2023,Number,Locations of organisation registered with EMAS,Schleswig-Holstein,code01,33.0
2010,Number,Locations of organisation registered with EMAS,Thuringia,code16,78.0
2011,Number,Locations of organisation registered with EMAS,Thuringia,code16,71.0
2012,Number,Locations of organisation registered with EMAS,Thuringia,code16,62.0
2013,Number,Locations of organisation registered with EMAS,Thuringia,code16,72.0
2014,Number,Locations of organisation registered with EMAS,Thuringia,code16,77.0
2015,Number,Locations of organisation registered with EMAS,Thuringia,code16,90.0
2016,Number,Locations of organisation registered with EMAS,Thuringia,code16,93.0
2017,Number,Locations of organisation registered with EMAS,Thuringia,code16,89.0
2018,Number,Locations of organisation registered with EMAS,Thuringia,code16,81.0
2019,Number,Locations of organisation registered with EMAS,Thuringia,code16,87.0
2020,Number,Locations of organisation registered with EMAS,Thuringia,code16,85.0
2021,Number,Locations of organisation registered with EMAS,Thuringia,code16,84.0
2022,Number,Locations of organisation registered with EMAS,Thuringia,code16,86.0
2023,Number,Locations of organisation registered with EMAS,Thuringia,code16,91.0
2005,1 000,Employees in EMAS organisations,,,961.0
2006,1 000,Employees in EMAS organisations,,,926.0
2007,1 000,Employees in EMAS organisations,,,860.0
2008,1 000,Employees in EMAS organisations,,,840.0
2009,1 000,Employees in EMAS organisations,,,803.0
2010,1 000,Employees in EMAS organisations,,,781.0
2011,1 000,Employees in EMAS organisations,,,765.0
2012,1 000,Employees in EMAS organisations,,,773.0
2013,1 000,Employees in EMAS organisations,,,788.0
2014,1 000,Employees in EMAS organisations,,,785.0
2015,1 000,Employees in EMAS organisations,,,801.0
2016,1 000,Employees in EMAS organisations,,,842.0
2017,1 000,Employees in EMAS organisations,,,985.0
2018,1 000,Employees in EMAS organisations,,,929.0
2019,1 000,Employees in EMAS organisations,,,988.0
2020,1 000,Employees in EMAS organisations,,,860.0
2021,1 000,Employees in EMAS organisations,,,911.0
2022,1 000,Employees in EMAS organisations,,,915.0
2023,1 000,Employees in EMAS organisations,,,1180.0
2030,1 000,Employees in EMAS organisations,,,
2005,Number,EMAS organisations,,,1491.0
2006,Number,EMAS organisations,,,1490.0
2007,Number,EMAS organisations,,,1466.0
2008,Number,EMAS organisations,,,1408.0
2009,Number,EMAS organisations,,,1354.0
2010,Number,EMAS organisations,,,1332.0
2011,Number,EMAS organisations,,,1269.0
2012,Number,EMAS organisations,,,1212.0
2013,Number,EMAS organisations,,,1228.0
2014,Number,EMAS organisations,,,1223.0
2015,Number,EMAS organisations,,,1216.0
2016,Number,EMAS organisations,,,1225.0
2017,Number,EMAS organisations,,,1240.0
2018,Number,EMAS organisations,,,1183.0
2019,Number,EMAS organisations,,,1150.0
2020,Number,EMAS organisations,,,1113.0
2021,Number,EMAS organisations,,,1115.0
2022,Number,EMAS organisations,,,1117.0
2023,Number,EMAS organisations,,,1115.0
2030,Number,EMAS organisations,,,
2005,Number,EMAS organisations,Baden-Wuerttemberg,code08,313.0
2006,Number,EMAS organisations,Baden-Wuerttemberg,code08,358.0
2007,Number,EMAS organisations,Baden-Wuerttemberg,code08,353.0
2008,Number,EMAS organisations,Baden-Wuerttemberg,code08,363.0
2009,Number,EMAS organisations,Baden-Wuerttemberg,code08,366.0
2010,Number,EMAS organisations,Baden-Wuerttemberg,code08,403.0
2011,Number,EMAS organisations,Baden-Wuerttemberg,code08,408.0
2012,Number,EMAS organisations,Baden-Wuerttemberg,code08,410.0
2013,Number,EMAS organisations,Baden-Wuerttemberg,code08,420.0
2014,Number,EMAS organisations,Baden-Wuerttemberg,code08,415.0
2015,Number,EMAS organisations,Baden-Wuerttemberg,code08,422.0
2016,Number,EMAS organisations,Baden-Wuerttemberg,code08,408.0
2017,Number,EMAS organisations,Baden-Wuerttemberg,code08,396.0
2018,Number,EMAS organisations,Baden-Wuerttemberg,code08,371.0
2019,Number,EMAS organisations,Baden-Wuerttemberg,code08,347.0
2020,Number,EMAS organisations,Baden-Wuerttemberg,code08,339.0
2021,Number,EMAS organisations,Baden-Wuerttemberg,code08,330.0
2022,Number,EMAS organisations,Baden-Wuerttemberg,code08,321.0
2023,Number,EMAS organisations,Baden-Wuerttemberg,code08,315.0
2005,Number,EMAS organisations,Bavaria,code09,320.0
2006,Number,EMAS organisations,Bavaria,code09,302.0
2007,Number,EMAS organisations,Bavaria,code09,298.0
2008,Number,EMAS organisations,Bavaria,code09,287.0
2009,Number,EMAS organisations,Bavaria,code09,282.0
2010,Number,EMAS organisations,Bavaria,code09,275.0
2011,Number,EMAS organisations,Bavaria,code09,250.0
2012,Number,EMAS organisations,Bavaria,code09,247.0
2013,Number,EMAS organisations,Bavaria,code09,244.0
2014,Number,EMAS organisations,Bavaria,code09,257.0
2015,Number,EMAS organisations,Bavaria,code09,269.0
2016,Number,EMAS organisations,Bavaria,code09,274.0
2017,Number,EMAS organisations,Bavaria,code09,288.0
2018,Number,EMAS organisations,Bavaria,code09,283.0
2019,Number,EMAS organisations,Bavaria,code09,288.0
2020,Number,EMAS organisations,Bavaria,code09,287.0
2021,Number,EMAS organisations,Bavaria,code09,296.0
2022,Number,EMAS organisations,Bavaria,code09,298.0
2023,Number,EMAS organisations,Bavaria,code09,297.0
2005,Number,EMAS organisations,Berlin,code11,56.0
2006,Number,EMAS organisations,Berlin,code11,55.0
2007,Number,EMAS organisations,Berlin,code11,57.0
2008,Number,EMAS organisations,Berlin,code11,51.0
2009,Number,EMAS organisations,Berlin,code11,43.0
2010,Number,EMAS organisations,Berlin,code11,39.0
2011,Number,EMAS organisations,Berlin,code11,39.0
2012,Number,EMAS organisations,Berlin,code11,34.0
2013,Number,EMAS organisations,Berlin,code11,41.0
2014,Number,EMAS organisations,Berlin,code11,35.0
2015,Number,EMAS organisations,Berlin,code11,26.0
2016,Number,EMAS organisations,Berlin,code11,30.0
2017,Number,EMAS organisations,Berlin,code11,32.0
2018,Number,EMAS organisations,Berlin,code11,30.0
2019,Number,EMAS organisations,Berlin,code11,30.0
2020,Number,EMAS organisations,Berlin,code11,28.0
2021,Number,EMAS organisations,Berlin,code11,32.0
2022,Number,EMAS organisations,Berlin,code11,35.0
2023,Number,EMAS organisations,Berlin,code11,39.0
2005,Number,EMAS organisations,Brandenburg,code12,42.0
2006,Number,EMAS organisations,Brandenburg,code12,38.0
2007,Number,EMAS organisations,Brandenburg,code12,34.0
2008,Number,EMAS organisations,Brandenburg,code12,33.0
2009,Number,EMAS organisations,Brandenburg,code12,34.0
2010,Number,EMAS organisations,Brandenburg,code12,38.0
2011,Number,EMAS organisations,Brandenburg,code12,30.0
2012,Number,EMAS organisations,Brandenburg,code12,26.0
2013,Number,EMAS organisations,Brandenburg,code12,30.0
2014,Number,EMAS organisations,Brandenburg,code12,29.0
2015,Number,EMAS organisations,Brandenburg,code12,27.0
2016,Number,EMAS organisations,Brandenburg,code12,30.0
2017,Number,EMAS organisations,Brandenburg,code12,36.0
2018,Number,EMAS organisations,Brandenburg,code12,37.0
2019,Number,EMAS organisations,Brandenburg,code12,35.0
2020,Number,EMAS organisations,Brandenburg,code12,34.0
2021,Number,EMAS organisations,Brandenburg,code12,36.0
2022,Number,EMAS organisations,Brandenburg,code12,36.0
2023,Number,EMAS organisations,Brandenburg,code12,36.0
2005,Number,EMAS organisations,Bremen,code04,20.0
2006,Number,EMAS organisations,Bremen,code04,20.0
2007,Number,EMAS organisations,Bremen,code04,19.0
2008,Number,EMAS organisations,Bremen,code04,24.0
2009,Number,EMAS organisations,Bremen,code04,24.0
2010,Number,EMAS organisations,Bremen,code04,21.0
2011,Number,EMAS organisations,Bremen,code04,20.0
2012,Number,EMAS organisations,Bremen,code04,17.0
2013,Number,EMAS organisations,Bremen,code04,16.0
2014,Number,EMAS organisations,Bremen,code04,14.0
2015,Number,EMAS organisations,Bremen,code04,12.0
2016,Number,EMAS organisations,Bremen,code04,11.0
2017,Number,EMAS organisations,Bremen,code04,12.0
2018,Number,EMAS organisations,Bremen,code04,11.0
2019,Number,EMAS organisations,Bremen,code04,11.0
2020,Number,EMAS organisations,Bremen,code04,10.0
2021,Number,EMAS organisations,Bremen,code04,9.0
2022,Number,EMAS organisations,Bremen,code04,10.0
2023,Number,EMAS organisations,Bremen,code04,9.0
2005,Number,EMAS organisations,Hamburg,code02,20.0
2006,Number,EMAS organisations,Hamburg,code02,20.0
2007,Number,EMAS organisations,Hamburg,code02,21.0
2008,Number,EMAS organisations,Hamburg,code02,14.0
2009,Number,EMAS organisations,Hamburg,code02,13.0
2010,Number,EMAS organisations,Hamburg,code02,12.0
2011,Number,EMAS organisations,Hamburg,code02,12.0
2012,Number,EMAS organisations,Hamburg,code02,10.0
2013,Number,EMAS organisations,Hamburg,code02,9.0
2014,Number,EMAS organisations,Hamburg,code02,11.0
2015,Number,EMAS organisations,Hamburg,code02,11.0
2016,Number,EMAS organisations,Hamburg,code02,10.0
2017,Number,EMAS organisations,Hamburg,code02,12.0
2018,Number,EMAS organisations,Hamburg,code02,14.0
2019,Number,EMAS organisations,Hamburg,code02,14.0
2020,Number,EMAS organisations,Hamburg,code02,14.0
2021,Number,EMAS organisations,Hamburg,code02,15.0
2022,Number,EMAS organisations,Hamburg,code02,16.0
2023,Number,EMAS organisations,Hamburg,code02,18.0
2005,Number,EMAS organisations,Hesse,code06,103.0
2006,Number,EMAS organisations,Hesse,code06,102.0
2007,Number,EMAS organisations,Hesse,code06,98.0
2008,Number,EMAS organisations,Hesse,code06,69.0
2009,Number,EMAS organisations,Hesse,code06,67.0
2010,Number,EMAS organisations,Hesse,code06,73.0
2011,Number,EMAS organisations,Hesse,code06,74.0
2012,Number,EMAS organisations,Hesse,code06,72.0
2013,Number,EMAS organisations,Hesse,code06,70.0
2014,Number,EMAS organisations,Hesse,code06,73.0
2015,Number,EMAS organisations,Hesse,code06,76.0
2016,Number,EMAS organisations,Hesse,code06,80.0
2017,Number,EMAS organisations,Hesse,code06,78.0
2018,Number,EMAS organisations,Hesse,code06,71.0
2019,Number,EMAS organisations,Hesse,code06,63.0
2020,Number,EMAS organisations,Hesse,code06,63.0
2021,Number,EMAS organisations,Hesse,code06,68.0
2022,Number,EMAS organisations,Hesse,code06,69.0
2023,Number,EMAS organisations,Hesse,code06,71.0
2005,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,24.0
2006,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,25.0
2007,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,24.0
2008,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,23.0
2009,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,16.0
2010,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,8.0
2011,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,8.0
2012,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,6.0
2013,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,6.0
2014,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,6.0
2015,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,5.0
2016,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,6.0
2017,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,5.0
2018,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,4.0
2019,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,2.0
2020,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,2.0
2021,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,1.0
2022,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,1.0
2023,Number,EMAS organisations,Mecklenburg Western Pomerania,code13,1.0
