Year,Units,Degree of urbanisation,Federal state,GeoCode,Value
2012,2000 = 100,,Hamburg,code02,97.765
2013,2000 = 100,,Hamburg,code02,98.245
2014,2000 = 100,,Hamburg,code02,99.587
2015,2000 = 100,,Hamburg,code02,101.198
2016,2000 = 100,,Hamburg,code02,103.338
2017,2000 = 100,,Hamburg,code02,104.573
2018,2000 = 100,,Hamburg,code02,105.808
2019,2000 = 100,,Hamburg,code02,106.473
2020,2000 = 100,,Hamburg,code02,106.851
2021,2000 = 100,,Hamburg,code02,107.293
2022,2000 = 100,,Hamburg,code02,107.993
2000,2000 = 100,,Hesse,code06,100.0
2001,2000 = 100,,Hesse,code06,99.761
2002,2000 = 100,,Hesse,code06,99.375
2003,2000 = 100,,Hesse,code06,98.793
2004,2000 = 100,,Hesse,code06,98.345
2005,2000 = 100,,Hesse,code06,97.783
2006,2000 = 100,,Hesse,code06,97.067
2007,2000 = 100,,Hesse,code06,96.466
2008,2000 = 100,,Hesse,code06,95.941
2009,2000 = 100,,Hesse,code06,95.437
2010,2000 = 100,,Hesse,code06,95.034
2011,2000 = 100,,Hesse,code06,96.47
2012,2000 = 100,,Hesse,code06,94.9
2013,2000 = 100,,Hesse,code06,95.029
2014,2000 = 100,,Hesse,code06,95.112
2015,2000 = 100,,Hesse,code06,95.615
2016,2000 = 100,,Hesse,code06,96.376
2017,2000 = 100,,Hesse,code06,96.558
2018,2000 = 100,,Hesse,code06,96.73
2019,2000 = 100,,Hesse,code06,96.82
2020,2000 = 100,,Hesse,code06,97.007
2021,2000 = 100,,Hesse,code06,96.941
2022,2000 = 100,,Hesse,code06,97.267
2000,2000 = 100,,Mecklenburg Western Pomerania,code13,100.0
2001,2000 = 100,,Mecklenburg Western Pomerania,code13,97.322
2002,2000 = 100,,Mecklenburg Western Pomerania,code13,94.061
2003,2000 = 100,,Mecklenburg Western Pomerania,code13,91.441
2004,2000 = 100,,Mecklenburg Western Pomerania,code13,89.125
2005,2000 = 100,,Mecklenburg Western Pomerania,code13,87.158
2006,2000 = 100,,Mecklenburg Western Pomerania,code13,85.042
2007,2000 = 100,,Mecklenburg Western Pomerania,code13,83.101
2008,2000 = 100,,Mecklenburg Western Pomerania,code13,80.47
2009,2000 = 100,,Mecklenburg Western Pomerania,code13,78.53
2010,2000 = 100,,Mecklenburg Western Pomerania,code13,76.936
2011,2000 = 100,,Mecklenburg Western Pomerania,code13,77.826
2012,2000 = 100,,Mecklenburg Western Pomerania,code13,75.699
2013,2000 = 100,,Mecklenburg Western Pomerania,code13,75.068
2014,2000 = 100,,Mecklenburg Western Pomerania,code13,73.982
2015,2000 = 100,,Mecklenburg Western Pomerania,code13,73.987
2016,2000 = 100,,Mecklenburg Western Pomerania,code13,72.134
2017,2000 = 100,,Mecklenburg Western Pomerania,code13,73.135
2018,2000 = 100,,Mecklenburg Western Pomerania,code13,73.085
2019,2000 = 100,,Mecklenburg Western Pomerania,code13,73.087
2020,2000 = 100,,Mecklenburg Western Pomerania,code13,72.882
2021,2000 = 100,,Mecklenburg Western Pomerania,code13,72.81
2022,2000 = 100,,Mecklenburg Western Pomerania,code13,72.71
2000,2000 = 100,,Lower Saxony,code03,100.0
2001,2000 = 100,,Lower Saxony,code03,99.372
2002,2000 = 100,,Lower Saxony,code03,98.874
2003,2000 = 100,,Lower Saxony,code03,98.204
2004,2000 = 100,,Lower Saxony,code03,97.152
2005,2000 = 100,,Lower Saxony,code03,96.201
2006,2000 = 100,,Lower Saxony,code03,95.388
2007,2000 = 100,,Lower Saxony,code03,94.617
2008,2000 = 100,,Lower Saxony,code03,93.649
2009,2000 = 100,,Lower Saxony,code03,92.909
2010,2000 = 100,,Lower Saxony,code03,92.299
2011,2000 = 100,,Lower Saxony,code03,93.176
2012,2000 = 100,,Lower Saxony,code03,90.978
2013,2000 = 100,,Lower Saxony,code03,90.564
2014,2000 = 100,,Lower Saxony,code03,90.178
2015,2000 = 100,,Lower Saxony,code03,90.135
2016,2000 = 100,,Lower Saxony,code03,91.243
2017,2000 = 100,,Lower Saxony,code03,91.136
2018,2000 = 100,,Lower Saxony,code03,90.981
2019,2000 = 100,,Lower Saxony,code03,90.918
2020,2000 = 100,,Lower Saxony,code03,90.708
2021,2000 = 100,,Lower Saxony,code03,90.545
2022,2000 = 100,,Lower Saxony,code03,90.547
2000,2000 = 100,,North Rhine-Westphalia,code05,100.0
2001,2000 = 100,,North Rhine-Westphalia,code05,99.32
2002,2000 = 100,,North Rhine-Westphalia,code05,98.58
2003,2000 = 100,,North Rhine-Westphalia,code05,98.075
2004,2000 = 100,,North Rhine-Westphalia,code05,97.015
2005,2000 = 100,,North Rhine-Westphalia,code05,96.219
2006,2000 = 100,,North Rhine-Westphalia,code05,95.306
2007,2000 = 100,,North Rhine-Westphalia,code05,94.413
2008,2000 = 100,,North Rhine-Westphalia,code05,93.315
2009,2000 = 100,,North Rhine-Westphalia,code05,92.504
2010,2000 = 100,,North Rhine-Westphalia,code05,91.774
2011,2000 = 100,,North Rhine-Westphalia,code05,92.906
2012,2000 = 100,,North Rhine-Westphalia,code05,90.894
2013,2000 = 100,,North Rhine-Westphalia,code05,90.544
2014,2000 = 100,,North Rhine-Westphalia,code05,90.251
2015,2000 = 100,,North Rhine-Westphalia,code05,90.198
2016,2000 = 100,,North Rhine-Westphalia,code05,91.703
2017,2000 = 100,,North Rhine-Westphalia,code05,91.561
2018,2000 = 100,,North Rhine-Westphalia,code05,91.454
2019,2000 = 100,,North Rhine-Westphalia,code05,91.215
2020,2000 = 100,,North Rhine-Westphalia,code05,91.047
2021,2000 = 100,,North Rhine-Westphalia,code05,90.711
2022,2000 = 100,,North Rhine-Westphalia,code05,90.471
2000,2000 = 100,,Rhineland Palatinate,code07,100.0
2001,2000 = 100,,Rhineland Palatinate,code07,99.598
2002,2000 = 100,,Rhineland Palatinate,code07,99.133
2003,2000 = 100,,Rhineland Palatinate,code07,98.56
2004,2000 = 100,,Rhineland Palatinate,code07,97.493
2005,2000 = 100,,Rhineland Palatinate,code07,96.408
2006,2000 = 100,,Rhineland Palatinate,code07,95.565
2007,2000 = 100,,Rhineland Palatinate,code07,94.806
2008,2000 = 100,,Rhineland Palatinate,code07,93.988
2009,2000 = 100,,Rhineland Palatinate,code07,93.544
2010,2000 = 100,,Rhineland Palatinate,code07,93.259
2011,2000 = 100,,Rhineland Palatinate,code07,93.35
2012,2000 = 100,,Rhineland Palatinate,code07,92.866
2013,2000 = 100,,Rhineland Palatinate,code07,92.708
2014,2000 = 100,,Rhineland Palatinate,code07,92.705
2015,2000 = 100,,Rhineland Palatinate,code07,93.236
2016,2000 = 100,,Rhineland Palatinate,code07,93.926
2017,2000 = 100,,Rhineland Palatinate,code07,94.28
2018,2000 = 100,,Rhineland Palatinate,code07,94.281
2019,2000 = 100,,Rhineland Palatinate,code07,94.256
2020,2000 = 100,,Rhineland Palatinate,code07,93.892
2021,2000 = 100,,Rhineland Palatinate,code07,92.977
2022,2000 = 100,,Rhineland Palatinate,code07,92.339
2000,2000 = 100,,Saarland,code10,100.0
2001,2000 = 100,,Saarland,code10,99.133
2002,2000 = 100,,Saarland,code10,98.539
2003,2000 = 100,,Saarland,code10,97.946
2004,2000 = 100,,Saarland,code10,96.472
2005,2000 = 100,,Saarland,code10,95.471
2006,2000 = 100,,Saarland,code10,94.386
2007,2000 = 100,,Saarland,code10,93.359
2008,2000 = 100,,Saarland,code10,92.364
2009,2000 = 100,,Saarland,code10,91.069
2010,2000 = 100,,Saarland,code10,89.864
2011,2000 = 100,,Saarland,code10,91.1
2012,2000 = 100,,Saarland,code10,89.002
2013,2000 = 100,,Saarland,code10,88.518
2014,2000 = 100,,Saarland,code10,88.036
2015,2000 = 100,,Saarland,code10,87.723
2016,2000 = 100,,Saarland,code10,86.637
2017,2000 = 100,,Saarland,code10,86.638
2018,2000 = 100,,Saarland,code10,86.335
2019,2000 = 100,,Saarland,code10,85.903
2020,2000 = 100,,Saarland,code10,85.497
2021,2000 = 100,,Saarland,code10,84.766
2022,2000 = 100,,Saarland,code10,84.206
2000,2000 = 100,,Saxony,code14,100.0
2001,2000 = 100,,Saxony,code14,97.588
2002,2000 = 100,,Saxony,code14,95.745
2003,2000 = 100,,Saxony,code14,94.371
2004,2000 = 100,,Saxony,code14,93.288
2005,2000 = 100,,Saxony,code14,92.235
2006,2000 = 100,,Saxony,code14,90.909
2007,2000 = 100,,Saxony,code14,88.515
2008,2000 = 100,,Saxony,code14,86.865
2009,2000 = 100,,Saxony,code14,84.873
2010,2000 = 100,,Saxony,code14,83.476
2011,2000 = 100,,Saxony,code14,84.378
2012,2000 = 100,,Saxony,code14,81.738
2013,2000 = 100,,Saxony,code14,81.277
2014,2000 = 100,,Saxony,code14,78.277
2015,2000 = 100,,Saxony,code14,78.869
2016,2000 = 100,,Saxony,code14,79.064
2017,2000 = 100,,Saxony,code14,78.423
2018,2000 = 100,,Saxony,code14,77.894
2019,2000 = 100,,Saxony,code14,77.253
2020,2000 = 100,,Saxony,code14,76.455
2021,2000 = 100,,Saxony,code14,75.522
2022,2000 = 100,,Saxony,code14,74.78
2000,2000 = 100,,Saxony-Anhalt,code15,100.0
2001,2000 = 100,,Saxony-Anhalt,code15,96.514
2002,2000 = 100,,Saxony-Anhalt,code15,94.469
2003,2000 = 100,,Saxony-Anhalt,code15,91.933
2004,2000 = 100,,Saxony-Anhalt,code15,86.575
2005,2000 = 100,,Saxony-Anhalt,code15,82.088
2006,2000 = 100,,Saxony-Anhalt,code15,79.531
2007,2000 = 100,,Saxony-Anhalt,code15,78.401
2008,2000 = 100,,Saxony-Anhalt,code15,77.023
2009,2000 = 100,,Saxony-Anhalt,code15,76.056
2010,2000 = 100,,Saxony-Anhalt,code15,75.506
2011,2000 = 100,,Saxony-Anhalt,code15,76.811
2012,2000 = 100,,Saxony-Anhalt,code15,74.961
2013,2000 = 100,,Saxony-Anhalt,code15,74.357
2014,2000 = 100,,Saxony-Anhalt,code15,73.672
2015,2000 = 100,,Saxony-Anhalt,code15,73.311
2016,2000 = 100,,Saxony-Anhalt,code15,73.432
2017,2000 = 100,,Saxony-Anhalt,code15,73.058
2018,2000 = 100,,Saxony-Anhalt,code15,72.639
2019,2000 = 100,,Saxony-Anhalt,code15,71.964
2020,2000 = 100,,Saxony-Anhalt,code15,71.45
2021,2000 = 100,,Saxony-Anhalt,code15,70.932
2022,2000 = 100,,Saxony-Anhalt,code15,70.395
2000,2000 = 100,,Schleswig-Holstein,code01,100.0
2001,2000 = 100,,Schleswig-Holstein,code01,98.73
2002,2000 = 100,,Schleswig-Holstein,code01,97.426
2003,2000 = 100,,Schleswig-Holstein,code01,95.974
2004,2000 = 100,,Schleswig-Holstein,code01,94.533
2005,2000 = 100,,Schleswig-Holstein,code01,93.829
2006,2000 = 100,,Schleswig-Holstein,code01,92.655
2007,2000 = 100,,Schleswig-Holstein,code01,91.428
2008,2000 = 100,,Schleswig-Holstein,code01,90.767
2009,2000 = 100,,Schleswig-Holstein,code01,90.051
2010,2000 = 100,,Schleswig-Holstein,code01,89.577
2011,2000 = 100,,Schleswig-Holstein,code01,89.899
2012,2000 = 100,,Schleswig-Holstein,code01,88.53
2013,2000 = 100,,Schleswig-Holstein,code01,88.227
2014,2000 = 100,,Schleswig-Holstein,code01,88.044
2015,2000 = 100,,Schleswig-Holstein,code01,88.076
2016,2000 = 100,,Schleswig-Holstein,code01,88.79
2017,2000 = 100,,Schleswig-Holstein,code01,88.979
2018,2000 = 100,,Schleswig-Holstein,code01,88.727
2019,2000 = 100,,Schleswig-Holstein,code01,88.662
2020,2000 = 100,,Schleswig-Holstein,code01,87.986
2021,2000 = 100,,Schleswig-Holstein,code01,87.565
2022,2000 = 100,,Schleswig-Holstein,code01,87.51
2000,2000 = 100,,Thuringia,code16,100.0
2001,2000 = 100,,Thuringia,code16,98.464
2002,2000 = 100,,Thuringia,code16,96.634
2003,2000 = 100,,Thuringia,code16,95.453
2004,2000 = 100,,Thuringia,code16,94.385
2005,2000 = 100,,Thuringia,code16,93.083
2006,2000 = 100,,Thuringia,code16,91.744
2007,2000 = 100,,Thuringia,code16,90.289
2008,2000 = 100,,Thuringia,code16,88.804
2009,2000 = 100,,Thuringia,code16,87.422
2010,2000 = 100,,Thuringia,code16,86.005
2011,2000 = 100,,Thuringia,code16,86.465
2012,2000 = 100,,Thuringia,code16,83.357
2013,2000 = 100,,Thuringia,code16,82.396
2014,2000 = 100,,Thuringia,code16,80.472
2015,2000 = 100,,Thuringia,code16,79.865
2016,2000 = 100,,Thuringia,code16,78.798
2017,2000 = 100,,Thuringia,code16,73.261
2018,2000 = 100,,Thuringia,code16,66.671
2019,2000 = 100,,Thuringia,code16,66.177
2020,2000 = 100,,Thuringia,code16,65.77
2021,2000 = 100,,Thuringia,code16,65.257
2022,2000 = 100,,Thuringia,code16,64.86
2000,Inhabitants per m² settlement and transport area,,,,1854.062
2001,Inhabitants per m² settlement and transport area,,,,1838.803
2002,Inhabitants per m² settlement and transport area,,,,1821.977
2003,Inhabitants per m² settlement and transport area,,,,1803.284
2004,Inhabitants per m² settlement and transport area,,,,1784.352
2005,Inhabitants per m² settlement and transport area,,,,1766.733
2006,Inhabitants per m² settlement and transport area,,,,1748.132
2007,Inhabitants per m² settlement and transport area,,,,1730.352
2008,Inhabitants per m² settlement and transport area,,,,1710.307
2009,Inhabitants per m² settlement and transport area,,,,1694.28
2010,Inhabitants per m² settlement and transport area,,,,1681.729
2011,Inhabitants per m² settlement and transport area,,,,1668.888
2012,Inhabitants per m² settlement and transport area,,,,1664.808
2013,Inhabitants per m² settlement and transport area,,,,1661.983
2014,Inhabitants per m² settlement and transport area,,,,1660.694
2015,Inhabitants per m² settlement and transport area,,,,1674.81
2016,Inhabitants per m² settlement and transport area,,,,1675.431
2017,Inhabitants per m² settlement and transport area,,,,1672.418
2018,Inhabitants per m² settlement and transport area,,,,1666.437
2019,Inhabitants per m² settlement and transport area,,,,1663.907
2020,Inhabitants per m² settlement and transport area,,,,1656.618
2021,Inhabitants per m² settlement and transport area,,,,1651.338
2022,Inhabitants per m² settlement and transport area,,,,1668.389
2000,Inhabitants per m² settlement and transport area,Non-rural areas,,,3398.556
2001,Inhabitants per m² settlement and transport area,Non-rural areas,,,3384.981
2002,Inhabitants per m² settlement and transport area,Non-rural areas,,,3367.915
2003,Inhabitants per m² settlement and transport area,Non-rural areas,,,3348.367
2004,Inhabitants per m² settlement and transport area,Non-rural areas,,,3327.384
2005,Inhabitants per m² settlement and transport area,Non-rural areas,,,3311.494
2006,Inhabitants per m² settlement and transport area,Non-rural areas,,,3296.41
2007,Inhabitants per m² settlement and transport area,Non-rural areas,,,3281.903
2008,Inhabitants per m² settlement and transport area,Non-rural areas,,,3262.576
2009,Inhabitants per m² settlement and transport area,Non-rural areas,,,3247.815
2010,Inhabitants per m² settlement and transport area,Non-rural areas,,,3240.292
2011,Inhabitants per m² settlement and transport area,Non-rural areas,,,3226.06
2012,Inhabitants per m² settlement and transport area,Non-rural areas,,,3238.135
2013,Inhabitants per m² settlement and transport area,Non-rural areas,,,3249.607
2014,Inhabitants per m² settlement and transport area,Non-rural areas,,,3267.353
2015,Inhabitants per m² settlement and transport area,Non-rural areas,,,3304.669
2016,Inhabitants per m² settlement and transport area,Non-rural areas,,,3329.999
2017,Inhabitants per m² settlement and transport area,Non-rural areas,,,3335.804
2018,Inhabitants per m² settlement and transport area,Non-rural areas,,,3343.507
2019,Inhabitants per m² settlement and transport area,Non-rural areas,,,3346.403
2020,Inhabitants per m² settlement and transport area,Non-rural areas,,,3336.769
2021,Inhabitants per m² settlement and transport area,Non-rural areas,,,3330.908
2022,Inhabitants per m² settlement and transport area,Non-rural areas,,,3373.914
2000,Inhabitants per m² settlement and transport area,Rural areas,,,1401.418
2001,Inhabitants per m² settlement and transport area,Rural areas,,,1387.603
2002,Inhabitants per m² settlement and transport area,Rural areas,,,1372.746
2003,Inhabitants per m² settlement and transport area,Rural areas,,,1356.159
2004,Inhabitants per m² settlement and transport area,Rural areas,,,1339.638
2005,Inhabitants per m² settlement and transport area,Rural areas,,,1323.032
2006,Inhabitants per m² settlement and transport area,Rural areas,,,1304.908
2007,Inhabitants per m² settlement and transport area,Rural areas,,,1287.655
2008,Inhabitants per m² settlement and transport area,Rural areas,,,1268.845
2009,Inhabitants per m² settlement and transport area,Rural areas,,,1253.642
2010,Inhabitants per m² settlement and transport area,Rural areas,,,1240.431
2011,Inhabitants per m² settlement and transport area,Rural areas,,,1230.603
2012,Inhabitants per m² settlement and transport area,Rural areas,,,1222.874
2013,Inhabitants per m² settlement and transport area,Rural areas,,,1216.889
2014,Inhabitants per m² settlement and transport area,Rural areas,,,1212.151
2015,Inhabitants per m² settlement and transport area,Rural areas,,,1220.017
2016,Inhabitants per m² settlement and transport area,Rural areas,,,1216.413
2017,Inhabitants per m² settlement and transport area,Rural areas,,,1212.02
2018,Inhabitants per m² settlement and transport area,Rural areas,,,1204.835
2019,Inhabitants per m² settlement and transport area,Rural areas,,,1201.622
2020,Inhabitants per m² settlement and transport area,Rural areas,,,1196.536
2021,Inhabitants per m² settlement and transport area,Rural areas,,,1192.833
2022,Inhabitants per m² settlement and transport area,Rural areas,,,1203.752
2000,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2199.384
2001,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2192.763
2002,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2184.773
2003,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2171.453
2004,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2159.709
2005,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2146.808
2006,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2130.148
2007,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2113.569
2008,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2098.234
2009,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2083.973
2010,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2073.309
2011,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2118.156
2012,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2060.859
2013,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2063.876
2014,Inhabitants per m² settlement and transport area,,Baden-Wuerttemberg,code08,2068.342
