Year,Units,degree of urbanisation,federal state,GeoCode,Value
2012,m² per year,non-rural areas,baden-wuerttemberg,code08,-1.093
2013,m² per year,non-rural areas,baden-wuerttemberg,code08,-1.024
2014,m² per year,non-rural areas,baden-wuerttemberg,code08,-0.899
2015,m² per year,non-rural areas,baden-wuerttemberg,code08,-0.852
2016,m² per year,non-rural areas,baden-wuerttemberg,code08,-0.779
2017,m² per year,non-rural areas,baden-wuerttemberg,code08,-0.867
2018,m² per year,non-rural areas,baden-wuerttemberg,code08,-0.78
2019,m² per year,non-rural areas,baden-wuerttemberg,code08,-0.686
2020,m² per year,non-rural areas,baden-wuerttemberg,code08,-0.707
2021,m² per year,non-rural areas,baden-wuerttemberg,code08,-0.626
2009,m² per year,rural areas,baden-wuerttemberg,code08,-3.2
2010,m² per year,rural areas,baden-wuerttemberg,code08,-3.063
2011,m² per year,rural areas,baden-wuerttemberg,code08,-3.003
2012,m² per year,rural areas,baden-wuerttemberg,code08,-3.091
2013,m² per year,rural areas,baden-wuerttemberg,code08,-2.899
2014,m² per year,rural areas,baden-wuerttemberg,code08,-2.756
2015,m² per year,rural areas,baden-wuerttemberg,code08,-2.602
2016,m² per year,rural areas,baden-wuerttemberg,code08,-2.302
2017,m² per year,rural areas,baden-wuerttemberg,code08,-2.577
2018,m² per year,rural areas,baden-wuerttemberg,code08,-2.545
2019,m² per year,rural areas,baden-wuerttemberg,code08,-2.532
2020,m² per year,rural areas,baden-wuerttemberg,code08,-2.645
2021,m² per year,rural areas,baden-wuerttemberg,code08,-2.461
2004,m² per year,,bavaria,code09,-5.3
2005,m² per year,,bavaria,code09,-4.9
2006,m² per year,,bavaria,code09,-5.0
2007,m² per year,,bavaria,code09,-5.0
2008,m² per year,,bavaria,code09,-5.0
2009,m² per year,,bavaria,code09,-5.1
2010,m² per year,,bavaria,code09,-5.091
2011,m² per year,,bavaria,code09,-8.473
2012,m² per year,,bavaria,code09,-8.154
2013,m² per year,,bavaria,code09,-7.867
2014,m² per year,,bavaria,code09,-7.12
2015,m² per year,,bavaria,code09,-3.494
2016,m² per year,,bavaria,code09,-3.278
2017,m² per year,,bavaria,code09,-3.186
2018,m² per year,,bavaria,code09,-3.115
2019,m² per year,,bavaria,code09,-2.933
2020,m² per year,,bavaria,code09,-3.076
2021,m² per year,,bavaria,code09,-2.968
2009,m² per year,non-rural areas,bavaria,code09,-1.5
2010,m² per year,non-rural areas,bavaria,code09,-1.654
2011,m² per year,non-rural areas,bavaria,code09,-1.956
2012,m² per year,non-rural areas,bavaria,code09,-1.68
2013,m² per year,non-rural areas,bavaria,code09,-1.526
2014,m² per year,non-rural areas,bavaria,code09,-1.261
2015,m² per year,non-rural areas,bavaria,code09,-0.84
2016,m² per year,non-rural areas,bavaria,code09,-0.945
2017,m² per year,non-rural areas,bavaria,code09,-1.105
2018,m² per year,non-rural areas,bavaria,code09,-1.101
2019,m² per year,non-rural areas,bavaria,code09,-0.951
2020,m² per year,non-rural areas,bavaria,code09,-0.783
2021,m² per year,non-rural areas,bavaria,code09,-0.498
2009,m² per year,rural areas,bavaria,code09,-6.0
2010,m² per year,rural areas,bavaria,code09,-6.806
2011,m² per year,rural areas,bavaria,code09,-12.587
2012,m² per year,rural areas,bavaria,code09,-10.573
2013,m² per year,rural areas,bavaria,code09,-10.25
2014,m² per year,rural areas,bavaria,code09,-9.346
2015,m² per year,rural areas,bavaria,code09,-4.513
2016,m² per year,rural areas,bavaria,code09,-4.172
2017,m² per year,rural areas,bavaria,code09,-3.985
2018,m² per year,rural areas,bavaria,code09,-3.878
2019,m² per year,rural areas,bavaria,code09,-3.693
2020,m² per year,rural areas,bavaria,code09,-3.962
2021,m² per year,rural areas,bavaria,code09,-3.922
2004,m² per year,,berlin,code11,-0.3
2005,m² per year,,berlin,code11,-0.3
2006,m² per year,,berlin,code11,-0.2
2007,m² per year,,berlin,code11,-0.3
2008,m² per year,,berlin,code11,-0.3
2009,m² per year,,berlin,code11,-0.4
2010,m² per year,,berlin,code11,-0.436
2011,m² per year,,berlin,code11,-0.29
2012,m² per year,,berlin,code11,-0.142
2013,m² per year,,berlin,code11,0.003
2014,m² per year,,berlin,code11,0.075
2015,m² per year,,berlin,code11,0.075
2016,m² per year,,berlin,code11,-0.158
2017,m² per year,,berlin,code11,-0.152
2018,m² per year,,berlin,code11,-0.18
2019,m² per year,,berlin,code11,-0.193
2020,m² per year,,berlin,code11,-0.119
2021,m² per year,,berlin,code11,-0.057
2004,m² per year,,brandenburg,code12,-11.6
2005,m² per year,,brandenburg,code12,-12.3
2006,m² per year,,brandenburg,code12,-12.4
2007,m² per year,,brandenburg,code12,-11.9
2008,m² per year,,brandenburg,code12,-13.6
2009,m² per year,,brandenburg,code12,-12.2
2010,m² per year,,brandenburg,code12,-10.814
2011,m² per year,,brandenburg,code12,-9.572
2012,m² per year,,brandenburg,code12,-6.736
2013,m² per year,,brandenburg,code12,-8.433
2014,m² per year,,brandenburg,code12,-7.854
2015,m² per year,,brandenburg,code12,-7.335
2016,m² per year,,brandenburg,code12,-7.064
2017,m² per year,,brandenburg,code12,-3.084
2018,m² per year,,brandenburg,code12,-2.548
2019,m² per year,,brandenburg,code12,-2.033
2020,m² per year,,brandenburg,code12,-3.778
2021,m² per year,,brandenburg,code12,-5.882
2009,m² per year,non-rural areas,brandenburg,code12,1.4
2010,m² per year,non-rural areas,brandenburg,code12,0.201
2011,m² per year,non-rural areas,brandenburg,code12,0.05
2012,m² per year,non-rural areas,brandenburg,code12,-0.794
2013,m² per year,non-rural areas,brandenburg,code12,-1.435
2014,m² per year,non-rural areas,brandenburg,code12,-1.356
2015,m² per year,non-rural areas,brandenburg,code12,-1.472
2016,m² per year,non-rural areas,brandenburg,code12,-1.252
2017,m² per year,non-rural areas,brandenburg,code12,-1.092
2018,m² per year,non-rural areas,brandenburg,code12,-1.157
2019,m² per year,non-rural areas,brandenburg,code12,-1.144
2020,m² per year,non-rural areas,brandenburg,code12,-1.11
2021,m² per year,non-rural areas,brandenburg,code12,-1.377
2009,m² per year,rural areas,brandenburg,code12,-10.5
2010,m² per year,rural areas,brandenburg,code12,-8.965
2011,m² per year,rural areas,brandenburg,code12,-7.687
2012,m² per year,rural areas,brandenburg,code12,-7.15
2013,m² per year,rural areas,brandenburg,code12,-8.974
2014,m² per year,rural areas,brandenburg,code12,-8.266
2015,m² per year,rural areas,brandenburg,code12,-7.706
2016,m² per year,rural areas,brandenburg,code12,-7.432
2017,m² per year,rural areas,brandenburg,code12,-3.193
2018,m² per year,rural areas,brandenburg,code12,-2.658
2019,m² per year,rural areas,brandenburg,code12,-2.124
2020,m² per year,rural areas,brandenburg,code12,-3.987
2021,m² per year,rural areas,brandenburg,code12,-6.228
2004,m² per year,,bremen,code04,-0.8
2005,m² per year,,bremen,code04,-0.8
2006,m² per year,,bremen,code04,-0.8
2007,m² per year,,bremen,code04,-1.1
2008,m² per year,,bremen,code04,-1.1
2009,m² per year,,bremen,code04,-0.8
2010,m² per year,,bremen,code04,-1.132
2011,m² per year,,bremen,code04,-0.762
2012,m² per year,,bremen,code04,-1.525
2013,m² per year,,bremen,code04,-1.525
2014,m² per year,,bremen,code04,-1.525
2015,m² per year,,bremen,code04,-1.141
2016,m² per year,,bremen,code04,-0.728
2017,m² per year,,bremen,code04,-0.83
2018,m² per year,,bremen,code04,-0.325
2019,m² per year,,bremen,code04,-0.383
2020,m² per year,,bremen,code04,-0.173
2021,m² per year,,bremen,code04,-0.141
2004,m² per year,,hamburg,code02,-1.6
2005,m² per year,,hamburg,code02,-2.2
2006,m² per year,,hamburg,code02,-1.9
2007,m² per year,,hamburg,code02,-1.6
2008,m² per year,,hamburg,code02,-1.0
2009,m² per year,,hamburg,code02,-0.6
2010,m² per year,,hamburg,code02,-0.422
2011,m² per year,,hamburg,code02,-0.281
2012,m² per year,,hamburg,code02,-0.425
2013,m² per year,,hamburg,code02,-0.57
2014,m² per year,,hamburg,code02,-0.005
2015,m² per year,,hamburg,code02,0.415
2016,m² per year,,hamburg,code02,0.994
2017,m² per year,,hamburg,code02,1.224
2018,m² per year,,hamburg,code02,0.839
2019,m² per year,,hamburg,code02,0.449
2020,m² per year,,hamburg,code02,0.029
2021,m² per year,,hamburg,code02,0.164
2004,m² per year,,hesse,code06,-2.4
2005,m² per year,,hesse,code06,-2.5
2006,m² per year,,hesse,code06,-2.3
2007,m² per year,,hesse,code06,-2.3
2008,m² per year,,hesse,code06,-2.1
2009,m² per year,,hesse,code06,-2.1
2010,m² per year,,hesse,code06,-2.225
2011,m² per year,,hesse,code06,-1.733
2012,m² per year,,hesse,code06,-1.862
2013,m² per year,,hesse,code06,-1.656
2014,m² per year,,hesse,code06,-1.613
2015,m² per year,,hesse,code06,-1.81
2016,m² per year,,hesse,code06,-1.964
2017,m² per year,,hesse,code06,-2.179
2018,m² per year,,hesse,code06,-2.057
2019,m² per year,,hesse,code06,-2.051
2020,m² per year,,hesse,code06,-1.533
2021,m² per year,,hesse,code06,-1.185
2009,m² per year,non-rural areas,hesse,code06,-0.6
2010,m² per year,non-rural areas,hesse,code06,-0.856
2011,m² per year,non-rural areas,hesse,code06,-0.863
2012,m² per year,non-rural areas,hesse,code06,-1.072
2013,m² per year,non-rural areas,hesse,code06,-1.056
2014,m² per year,non-rural areas,hesse,code06,-1.268
2015,m² per year,non-rural areas,hesse,code06,-1.261
2016,m² per year,non-rural areas,hesse,code06,-1.176
2017,m² per year,non-rural areas,hesse,code06,-1.387
2018,m² per year,non-rural areas,hesse,code06,-1.011
2019,m² per year,non-rural areas,hesse,code06,-0.842
2020,m² per year,non-rural areas,hesse,code06,-0.461
2021,m² per year,non-rural areas,hesse,code06,-0.221
2009,m² per year,rural areas,hesse,code06,-3.2
2010,m² per year,rural areas,hesse,code06,-3.062
2011,m² per year,rural areas,hesse,code06,-2.307
2012,m² per year,rural areas,hesse,code06,-2.385
2013,m² per year,rural areas,hesse,code06,-2.052
2014,m² per year,rural areas,hesse,code06,-1.882
2015,m² per year,rural areas,hesse,code06,-2.17
2016,m² per year,rural areas,hesse,code06,-2.523
2017,m² per year,rural areas,hesse,code06,-2.75
2018,m² per year,rural areas,hesse,code06,-2.81
2019,m² per year,rural areas,hesse,code06,-2.912
2020,m² per year,rural areas,hesse,code06,-2.307
2021,m² per year,rural areas,hesse,code06,-1.88
2004,m² per year,,mecklenburg western pomerania,code13,-18.4
2005,m² per year,,mecklenburg western pomerania,code13,-18.1
2006,m² per year,,mecklenburg western pomerania,code13,-16.5
2007,m² per year,,mecklenburg western pomerania,code13,-15.3
2008,m² per year,,mecklenburg western pomerania,code13,-16.9
2009,m² per year,,mecklenburg western pomerania,code13,-17.7
2010,m² per year,,mecklenburg western pomerania,code13,-17.627
2011,m² per year,,mecklenburg western pomerania,code13,-15.611
2012,m² per year,,mecklenburg western pomerania,code13,-11.471
2013,m² per year,,mecklenburg western pomerania,code13,-8.485
2014,m² per year,,mecklenburg western pomerania,code13,-8.123
2015,m² per year,,mecklenburg western pomerania,code13,-7.032
2016,m² per year,,mecklenburg western pomerania,code13,-15.399
2017,m² per year,,mecklenburg western pomerania,code13,-9.654
2018,m² per year,,mecklenburg western pomerania,code13,-6.348
2019,m² per year,,mecklenburg western pomerania,code13,-5.606
2020,m² per year,,mecklenburg western pomerania,code13,3.921
2021,m² per year,,mecklenburg western pomerania,code13,-1.362
2009,m² per year,non-rural areas,mecklenburg western pomerania,code13,-0.1
2010,m² per year,non-rural areas,mecklenburg western pomerania,code13,-1.653
2011,m² per year,non-rural areas,mecklenburg western pomerania,code13,-1.317
2012,m² per year,non-rural areas,mecklenburg western pomerania,code13,-1.271
2013,m² per year,non-rural areas,mecklenburg western pomerania,code13,-1.461
2014,m² per year,non-rural areas,mecklenburg western pomerania,code13,-0.886
2015,m² per year,non-rural areas,mecklenburg western pomerania,code13,-3.043
2016,m² per year,non-rural areas,mecklenburg western pomerania,code13,-2.976
2017,m² per year,non-rural areas,mecklenburg western pomerania,code13,-2.881
2018,m² per year,non-rural areas,mecklenburg western pomerania,code13,-2.679
2019,m² per year,non-rural areas,mecklenburg western pomerania,code13,-0.397
2020,m² per year,non-rural areas,mecklenburg western pomerania,code13,0.669
2021,m² per year,non-rural areas,mecklenburg western pomerania,code13,0.633
2009,m² per year,rural areas,mecklenburg western pomerania,code13,-19.3
2010,m² per year,rural areas,mecklenburg western pomerania,code13,-18.42
2011,m² per year,rural areas,mecklenburg western pomerania,code13,-14.581
2012,m² per year,rural areas,mecklenburg western pomerania,code13,-12.898
2013,m² per year,rural areas,mecklenburg western pomerania,code13,-9.462
2014,m² per year,rural areas,mecklenburg western pomerania,code13,-6.334
2015,m² per year,rural areas,mecklenburg western pomerania,code13,-7.603
2016,m² per year,rural areas,mecklenburg western pomerania,code13,-17.172
2017,m² per year,rural areas,mecklenburg western pomerania,code13,-10.618
2018,m² per year,rural areas,mecklenburg western pomerania,code13,-9.679
2019,m² per year,rural areas,mecklenburg western pomerania,code13,-6.362
2020,m² per year,rural areas,mecklenburg western pomerania,code13,4.4
2021,m² per year,rural areas,mecklenburg western pomerania,code13,-1.661
2004,m² per year,,lower saxony,code03,-6.6
2005,m² per year,,lower saxony,code03,-6.5
2006,m² per year,,lower saxony,code03,-6.4
2007,m² per year,,lower saxony,code03,-6.1
2008,m² per year,,lower saxony,code03,-5.3
2009,m² per year,,lower saxony,code03,-4.7
2010,m² per year,,lower saxony,code03,-4.375
2011,m² per year,,lower saxony,code03,-4.919
2012,m² per year,,lower saxony,code03,-4.787
2013,m² per year,,lower saxony,code03,-4.9
2014,m² per year,,lower saxony,code03,-5.198
2015,m² per year,,lower saxony,code03,-4.534
2016,m² per year,,lower saxony,code03,-3.472
2017,m² per year,,lower saxony,code03,-3.131
2018,m² per year,,lower saxony,code03,-2.725
2019,m² per year,,lower saxony,code03,-2.318
2020,m² per year,,lower saxony,code03,-3.006
2021,m² per year,,lower saxony,code03,-2.893
2009,m² per year,non-rural areas,lower saxony,code03,-1.2
2010,m² per year,non-rural areas,lower saxony,code03,-1.635
2011,m² per year,non-rural areas,lower saxony,code03,-2.366
2012,m² per year,non-rural areas,lower saxony,code03,-2.121
2013,m² per year,non-rural areas,lower saxony,code03,-2.11
2014,m² per year,non-rural areas,lower saxony,code03,-1.819
2015,m² per year,non-rural areas,lower saxony,code03,-1.138
2016,m² per year,non-rural areas,lower saxony,code03,-0.524
2017,m² per year,non-rural areas,lower saxony,code03,-0.153
2018,m² per year,non-rural areas,lower saxony,code03,-0.386
2019,m² per year,non-rural areas,lower saxony,code03,-0.464
2020,m² per year,non-rural areas,lower saxony,code03,-0.931
2021,m² per year,non-rural areas,lower saxony,code03,-1.267
2009,m² per year,rural areas,lower saxony,code03,-4.8
2010,m² per year,rural areas,lower saxony,code03,-4.465
2011,m² per year,rural areas,lower saxony,code03,-5.607
2012,m² per year,rural areas,lower saxony,code03,-5.604
2013,m² per year,rural areas,lower saxony,code03,-5.734
2014,m² per year,rural areas,lower saxony,code03,-6.195
2015,m² per year,rural areas,lower saxony,code03,-5.558
2016,m² per year,rural areas,lower saxony,code03,-4.362
2017,m² per year,rural areas,lower saxony,code03,-4.043
2018,m² per year,rural areas,lower saxony,code03,-3.454
2019,m² per year,rural areas,lower saxony,code03,-2.88
2020,m² per year,rural areas,lower saxony,code03,-3.636
2021,m² per year,rural areas,lower saxony,code03,-3.387
2004,m² per year,,north rhine-westphalia,code05,-3.1
2005,m² per year,,north rhine-westphalia,code05,-2.9
2006,m² per year,,north rhine-westphalia,code05,-2.9
2007,m² per year,,north rhine-westphalia,code05,-3.1
2008,m² per year,,north rhine-westphalia,code05,-2.9
2009,m² per year,,north rhine-westphalia,code05,-2.7
2010,m² per year,,north rhine-westphalia,code05,-2.539
2011,m² per year,,north rhine-westphalia,code05,-2.344
2012,m² per year,,north rhine-westphalia,code05,-2.118
2013,m² per year,,north rhine-westphalia,code05,-2.126
2014,m² per year,,north rhine-westphalia,code05,-2.006
2015,m² per year,,north rhine-westphalia,code05,-1.968
2016,m² per year,,north rhine-westphalia,code05,-1.019
2017,m² per year,,north rhine-westphalia,code05,-0.854
2018,m² per year,,north rhine-westphalia,code05,-0.648
2019,m² per year,,north rhine-westphalia,code05,-0.585
2020,m² per year,,north rhine-westphalia,code05,-1.284
2021,m² per year,,north rhine-westphalia,code05,-1.241
2009,m² per year,non-rural areas,north rhine-westphalia,code05,-1.3
2010,m² per year,non-rural areas,north rhine-westphalia,code05,-1.299
2011,m² per year,non-rural areas,north rhine-westphalia,code05,-1.204
2012,m² per year,non-rural areas,north rhine-westphalia,code05,-1.172
2013,m² per year,non-rural areas,north rhine-westphalia,code05,-1.17
2014,m² per year,non-rural areas,north rhine-westphalia,code05,-1.147
2015,m² per year,non-rural areas,north rhine-westphalia,code05,-1.241
2016,m² per year,non-rural areas,north rhine-westphalia,code05,-0.576
2017,m² per year,non-rural areas,north rhine-westphalia,code05,-0.318
2018,m² per year,non-rural areas,north rhine-westphalia,code05,-0.059
2019,m² per year,non-rural areas,north rhine-westphalia,code05,0.143
2020,m² per year,non-rural areas,north rhine-westphalia,code05,-0.312
2021,m² per year,non-rural areas,north rhine-westphalia,code05,-0.378
2009,m² per year,rural areas,north rhine-westphalia,code05,-3.2
2010,m² per year,rural areas,north rhine-westphalia,code05,-4.061
2011,m² per year,rural areas,north rhine-westphalia,code05,-4.238
2012,m² per year,rural areas,north rhine-westphalia,code05,-4.359
2013,m² per year,rural areas,north rhine-westphalia,code05,-4.404
2014,m² per year,rural areas,north rhine-westphalia,code05,-4.04
2015,m² per year,rural areas,north rhine-westphalia,code05,-3.679
2016,m² per year,rural areas,north rhine-westphalia,code05,-2.056
2017,m² per year,rural areas,north rhine-westphalia,code05,-2.115
2018,m² per year,rural areas,north rhine-westphalia,code05,-2.048
2019,m² per year,rural areas,north rhine-westphalia,code05,-2.31
2020,m² per year,rural areas,north rhine-westphalia,code05,-3.597
2021,m² per year,rural areas,north rhine-westphalia,code05,-3.29
2004,m² per year,,rhineland palatinate,code07,-5.2
2005,m² per year,,rhineland palatinate,code07,-5.8
2006,m² per year,,rhineland palatinate,code07,-5.9
2007,m² per year,,rhineland palatinate,code07,-6.0
2008,m² per year,,rhineland palatinate,code07,-4.8
2009,m² per year,,rhineland palatinate,code07,-3.2
2010,m² per year,,rhineland palatinate,code07,-2.045
2011,m² per year,,rhineland palatinate,code07,-1.245
2012,m² per year,,rhineland palatinate,code07,-0.813
2013,m² per year,,rhineland palatinate,code07,-1.002
2014,m² per year,,rhineland palatinate,code07,-1.064
2015,m² per year,,rhineland palatinate,code07,-0.566
2016,m² per year,,rhineland palatinate,code07,-0.752
2017,m² per year,,rhineland palatinate,code07,-0.35
2018,m² per year,,rhineland palatinate,code07,-0.489
2019,m² per year,,rhineland palatinate,code07,-1.258
2020,m² per year,,rhineland palatinate,code07,-1.824
2021,m² per year,,rhineland palatinate,code07,-3.827
2009,m² per year,non-rural areas,rhineland palatinate,code07,-0.3
2010,m² per year,non-rural areas,rhineland palatinate,code07,-0.687
2011,m² per year,non-rural areas,rhineland palatinate,code07,-1.012
2012,m² per year,non-rural areas,rhineland palatinate,code07,-1.006
2013,m² per year,non-rural areas,rhineland palatinate,code07,-1.068
2014,m² per year,non-rural areas,rhineland palatinate,code07,-0.92
2015,m² per year,non-rural areas,rhineland palatinate,code07,-0.329
2016,m² per year,non-rural areas,rhineland palatinate,code07,-0.321
2017,m² per year,non-rural areas,rhineland palatinate,code07,-0.253
2018,m² per year,non-rural areas,rhineland palatinate,code07,-0.176
2019,m² per year,non-rural areas,rhineland palatinate,code07,-0.243
2020,m² per year,non-rural areas,rhineland palatinate,code07,-0.09
2021,m² per year,non-rural areas,rhineland palatinate,code07,-0.401
2009,m² per year,rural areas,rhineland palatinate,code07,-0.7
2010,m² per year,rural areas,rhineland palatinate,code07,-0.485
2011,m² per year,rural areas,rhineland palatinate,code07,-0.569
2012,m² per year,rural areas,rhineland palatinate,code07,-0.794
2013,m² per year,rural areas,rhineland palatinate,code07,-0.986
2014,m² per year,rural areas,rhineland palatinate,code07,-1.052
2015,m² per year,rural areas,rhineland palatinate,code07,-0.63
2016,m² per year,rural areas,rhineland palatinate,code07,-0.834
2017,m² per year,rural areas,rhineland palatinate,code07,-0.347
2018,m² per year,rural areas,rhineland palatinate,code07,-0.6
2019,m² per year,rural areas,rhineland palatinate,code07,-1.535
2020,m² per year,rural areas,rhineland palatinate,code07,-2.291
2021,m² per year,rural areas,rhineland palatinate,code07,-4.751
2004,m² per year,,saarland,code10,-2.6
2005,m² per year,,saarland,code10,-2.4
2006,m² per year,,saarland,code10,-2.4
2007,m² per year,,saarland,code10,-2.6
2008,m² per year,,saarland,code10,-1.9
2009,m² per year,,saarland,code10,-2.2
2010,m² per year,,saarland,code10,-2.684
2011,m² per year,,saarland,code10,-2.452
2012,m² per year,,saarland,code10,-2.47
2013,m² per year,,saarland,code10,-1.988
2014,m² per year,,saarland,code10,-1.259
2015,m² per year,,saarland,code10,-1.259
2016,m² per year,,saarland,code10,-3.355
2017,m² per year,,saarland,code10,-3.246
2018,m² per year,,saarland,code10,-3.137
2019,m² per year,,saarland,code10,-3.068
2020,m² per year,,saarland,code10,-0.619
2021,m² per year,,saarland,code10,-1.27
2009,m² per year,non-rural areas,saarland,code10,-0.6
2010,m² per year,non-rural areas,saarland,code10,-0.636
2011,m² per year,non-rural areas,saarland,code10,-0.548
2012,m² per year,non-rural areas,saarland,code10,-0.471
2013,m² per year,non-rural areas,saarland,code10,-0.403
2014,m² per year,non-rural areas,saarland,code10,-0.281
2015,m² per year,non-rural areas,saarland,code10,-0.203
2016,m² per year,non-rural areas,saarland,code10,-0.447
2017,m² per year,non-rural areas,saarland,code10,-0.425
2018,m² per year,non-rural areas,saarland,code10,-0.394
2019,m² per year,non-rural areas,saarland,code10,-0.425
2020,m² per year,non-rural areas,saarland,code10,-0.144
2021,m² per year,non-rural areas,saarland,code10,-0.305
2009,m² per year,rural areas,saarland,code10,-3.9
2010,m² per year,rural areas,saarland,code10,-4.455
2011,m² per year,rural areas,saarland,code10,-3.763
2012,m² per year,rural areas,saarland,code10,-3.254
2013,m² per year,rural areas,saarland,code10,-2.666
2014,m² per year,rural areas,saarland,code10,-2.002
2015,m² per year,rural areas,saarland,code10,-1.501
2016,m² per year,rural areas,saarland,code10,-4.989
2017,m² per year,rural areas,saarland,code10,-4.781
2018,m² per year,rural areas,saarland,code10,-4.391
2019,m² per year,rural areas,saarland,code10,-4.552
2020,m² per year,rural areas,saarland,code10,-0.845
2021,m² per year,rural areas,saarland,code10,-1.748
2004,m² per year,,saxony,code14,-4.3
2005,m² per year,,saxony,code14,-3.3
2006,m² per year,,saxony,code14,-3.1
2007,m² per year,,saxony,code14,-4.7
2008,m² per year,,saxony,code14,-5.6
2009,m² per year,,saxony,code14,-7.1
2010,m² per year,,saxony,code14,-7.645
2011,m² per year,,saxony,code14,-6.572
2012,m² per year,,saxony,code14,-6.316
2013,m² per year,,saxony,code14,-4.777
2014,m² per year,,saxony,code14,-8.696
2015,m² per year,,saxony,code14,-6.544
2016,m² per year,,saxony,code14,-6.026
2017,m² per year,,saxony,code14,-6.456
2018,m² per year,,saxony,code14,-2.037
2019,m² per year,,saxony,code14,-3.969
2020,m² per year,,saxony,code14,-4.632
2021,m² per year,,saxony,code14,-4.862
2009,m² per year,non-rural areas,saxony,code14,-5.5
2010,m² per year,non-rural areas,saxony,code14,-5.715
2011,m² per year,non-rural areas,saxony,code14,-5.254
2012,m² per year,non-rural areas,saxony,code14,-4.601
2013,m² per year,non-rural areas,saxony,code14,-3.637
2014,m² per year,non-rural areas,saxony,code14,-2.54
2015,m² per year,non-rural areas,saxony,code14,-2.288
2016,m² per year,non-rural areas,saxony,code14,-1.93
2017,m² per year,non-rural areas,saxony,code14,-1.887
2018,m² per year,non-rural areas,saxony,code14,-1.885
2019,m² per year,non-rural areas,saxony,code14,-1.7
2020,m² per year,non-rural areas,saxony,code14,-1.773
2021,m² per year,non-rural areas,saxony,code14,-1.726
2009,m² per year,rural areas,saxony,code14,-10.3
2010,m² per year,rural areas,saxony,code14,-8.208
2011,m² per year,rural areas,saxony,code14,-7.439
2012,m² per year,rural areas,saxony,code14,-7.156
2013,m² per year,rural areas,saxony,code14,-5.338
2014,m² per year,rural areas,saxony,code14,-11.705
2015,m² per year,rural areas,saxony,code14,-8.627
