Year,Units,time series,area,COMMENT_OBS_0,länder,GeoCode,Value
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.363
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.359
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.35
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.366
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.352
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.362
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.381
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,r,,,0.356
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.358
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,,,,0.355
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.361
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.361
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.36
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.363
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.366
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.36
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.363
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.366
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.365
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.362
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.359
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.359
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,s,,,0.355
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.349
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.36
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.349
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.347
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,european union,,,,0.344
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,.,,,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,,,,0.409
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,,,,0.454
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,,,,0.46
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,,,,0.461
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised market income,germany,,,,0.477
2007,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,,,,0.758
2011,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,,,,0.762
2015,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,,,,0.739
2018,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,,,,0.728
2022,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,.,,,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,,,,0.724
2024,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,germany,…,,,
2007,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,,,,0.68
2011,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,,,,0.685
2015,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,,,,0.695
2018,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,.,,,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,,,,0.694
2022,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,…,,,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,…,,,
2024,gini coefficient,<u>additional time series:</u> gini coefficient of wealth,eurozone,…,,,
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,baden-wuerttemberg,code08,0.291
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,baden-wuerttemberg,code08,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,baden-wuerttemberg,code08,0.281
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,baden-wuerttemberg,code08,0.284
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,bavaria,code09,0.326
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bavaria,code09,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,bavaria,code09,0.302
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,bavaria,code09,0.308
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,berlin,code11,0.316
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,berlin,code11,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,berlin,code11,0.287
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,berlin,code11,0.293
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,brandenburg,code12,0.269
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,brandenburg,code12,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,brandenburg,code12,0.273
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,brandenburg,code12,0.259
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,bremen,code04,0.33
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,bremen,code04,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,bremen,code04,0.265
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,bremen,code04,0.299
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,hamburg,code02,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,hamburg,code02,0.364
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hamburg,code02,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,hamburg,code02,0.295
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,hamburg,code02,0.294
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,hesse,code06,0.34
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,hesse,code06,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,hesse,code06,0.308
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,hesse,code06,0.305
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,mecklenburg western pomerania,code13,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,mecklenburg western pomerania,code13,0.253
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,mecklenburg western pomerania,code13,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,mecklenburg western pomerania,code13,0.253
