Year,Units,Series,sex,Value
2014,percentage,germans,male,93.296
2015,percentage,germans,male,93.842
2016,percentage,germans,male,93.752
2017,percentage,germans,male,93.797
2018,percentage,germans,male,93.464
2019,percentage,germans,male,93.296
2020,percentage,germans,male,93.842
2021,percentage,germans,male,93.752
2022,percentage,germans,male,93.017
2023,percentage,germans,male,93.164
1996,percentage points,difference,,11.841
1997,percentage points,difference,,11.711
1998,percentage points,difference,,11.554
1999,percentage points,difference,,11.315
2000,percentage points,difference,,11.589
2001,percentage points,difference,,11.548
2002,percentage points,difference,,11.175
2003,percentage points,difference,,11.128
2004,percentage points,difference,,10.669
2005,percentage points,difference,,10.163
2006,percentage points,difference,,9.82
2007,percentage points,difference,,9.564
2008,percentage points,difference,,8.759
2009,percentage points,difference,,8.073
2010,percentage points,difference,,7.38
2011,percentage points,difference,,6.784
2012,percentage points,difference,,6.488
2013,percentage points,difference,,6.09
2014,percentage points,difference,,7.079
2015,percentage points,difference,,6.8
2016,percentage points,difference,,9.226
2017,percentage points,difference,,12.812
2018,percentage points,difference,,12.785
2019,percentage points,difference,,12.155
2020,percentage points,difference,,9.56
2021,percentage points,difference,,10.518
2022,percentage points,difference,,10.251
2023,percentage points,difference,,11.941
2030,percentage points,difference,,
1996,percentage points,difference,female,9.998
1997,percentage points,difference,female,9.882
1998,percentage points,difference,female,9.887
1999,percentage points,difference,female,9.279
2000,percentage points,difference,female,9.793
2001,percentage points,difference,female,9.401
2002,percentage points,difference,female,9.613
2003,percentage points,difference,female,9.61
2004,percentage points,difference,female,8.818
2005,percentage points,difference,female,8.252
2006,percentage points,difference,female,8.283
2007,percentage points,difference,female,8.147
2008,percentage points,difference,female,7.315
2009,percentage points,difference,female,7.526
2010,percentage points,difference,female,6.63
2011,percentage points,difference,female,5.776
2012,percentage points,difference,female,5.282
2013,percentage points,difference,female,4.683
2014,percentage points,difference,female,6.406
2015,percentage points,difference,female,5.725
2016,percentage points,difference,female,6.913
2017,percentage points,difference,female,9.443
2018,percentage points,difference,female,10.183
2019,percentage points,difference,female,9.982
2020,percentage points,difference,female,8.004
2021,percentage points,difference,female,8.633
2022,percentage points,difference,female,8.67
2023,percentage points,difference,female,10.097
1996,percentage points,difference,male,13.421
1997,percentage points,difference,male,13.314
1998,percentage points,difference,male,12.893
1999,percentage points,difference,male,12.914
2000,percentage points,difference,male,13.134
2001,percentage points,difference,male,13.249
2002,percentage points,difference,male,12.717
2003,percentage points,difference,male,12.596
2004,percentage points,difference,male,12.278
2005,percentage points,difference,male,11.758
2006,percentage points,difference,male,11.27
2007,percentage points,difference,male,10.763
2008,percentage points,difference,male,10.198
2009,percentage points,difference,male,10.287
2010,percentage points,difference,male,9.03
2011,percentage points,difference,male,7.896
2012,percentage points,difference,male,7.111
2013,percentage points,difference,male,5.903
2014,percentage points,difference,male,6.538
2015,percentage points,difference,male,7.642
2016,percentage points,difference,male,10.852
2017,percentage points,difference,male,15.679
2018,percentage points,difference,male,14.699
2019,percentage points,difference,male,13.801
2020,percentage points,difference,male,10.833
2021,percentage points,difference,male,12.133
2022,percentage points,difference,male,11.582
2023,percentage points,difference,male,13.491
