Year,Units,Series,COMMENT_OBS_0,länder,GeoCode,Value
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,7.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,7.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,7.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,7.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,6.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,7.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,5.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,7.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,5.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,6.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,6.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,6.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,7.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,brandenburg,code12,6.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,brandenburg,code12,5.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,brandenburg,code12,6.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,brandenburg,code12,4.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,brandenburg,code12,2.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,25.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,27.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,27.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,24.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,24.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,24.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,27.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,25.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,25.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,25.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,24.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,24.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,23.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bremen,code04,25.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,bremen,code04,22.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,bremen,code04,22.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,bremen,code04,20.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,bremen,code04,19.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,bremen,code04,17.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,20.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,22.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,22.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,23.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,23.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,22.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,24.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,23.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,22.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,22.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,21.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,21.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,21.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hamburg,code02,21.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,hamburg,code02,21.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,hamburg,code02,21.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,hamburg,code02,18.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,hamburg,code02,18.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,hamburg,code02,18.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,23.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,24.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,24.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,24.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,25.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,25.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,24.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,23.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,24.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,23.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,22.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,22.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,21.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,hesse,code06,19.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,hesse,code06,18.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,hesse,code06,18.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,hesse,code06,21.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,hesse,code06,20.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,hesse,code06,19.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,2.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,2.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,3.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,3.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,4.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,6.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,7.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,6.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,8.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,7.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,6.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,6.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,6.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,mecklenburg western pomerania,code13,6.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,mecklenburg western pomerania,code13,6.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,mecklenburg western pomerania,code13,5.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,mecklenburg western pomerania,code13,6.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,mecklenburg western pomerania,code13,7.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,mecklenburg western pomerania,code13,7.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,25.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,24.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,23.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,22.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,22.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,22.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,21.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,20.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,22.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,22.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,21.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,21.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,21.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,lower saxony,code03,21.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,lower saxony,code03,19.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,lower saxony,code03,19.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,lower saxony,code03,18.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,lower saxony,code03,18.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,lower saxony,code03,15.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,24.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,24.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,24.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,23.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,23.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,23.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,24.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,23.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,23.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,23.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,22.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,21.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,20.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,north rhine-westphalia,code05,19.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,north rhine-westphalia,code05,18.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,north rhine-westphalia,code05,17.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,north rhine-westphalia,code05,17.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,north rhine-westphalia,code05,17.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,north rhine-westphalia,code05,16.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,21.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,22.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,22.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,22.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,22.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,22.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,22.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,22.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,21.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,20.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,20.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,19.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,18.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,rhineland palatinate,code07,17.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,rhineland palatinate,code07,15.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,rhineland palatinate,code07,15.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,rhineland palatinate,code07,15.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,rhineland palatinate,code07,15.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,rhineland palatinate,code07,14.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,24.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,26.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,26.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,25.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,25.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,25.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,25.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,24.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,23.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,24.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,24.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,24.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,23.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saarland,code10,22.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,saarland,code10,20.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,saarland,code10,20.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saarland,code10,18.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saarland,code10,18.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saarland,code10,16.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,9.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,9.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,9.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,9.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,9.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,10.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,11.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,11.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,11.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,11.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,10.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,9.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,8.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony,code14,7.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,saxony,code14,7.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,saxony,code14,6.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saxony,code14,8.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saxony,code14,9.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saxony,code14,7.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,3.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,3.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,3.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,3.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,4.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,5.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,5.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,4.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,5.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,4.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,4.0
