Year,Units,COMMENT_OBS_0,time series,sea,Value
2013,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,42.857
2014,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,71.429
2015,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2016,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2017,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,28.571
2018,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,28.571
2019,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,28.571
2020,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2021,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,42.857
2022,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,57.143
2023,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,71.429
2024,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,85.714
2030,percentage,…,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,
2003,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2004,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2005,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2006,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2007,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2008,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2009,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2010,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2011,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2012,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2013,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2014,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2015,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2016,percentage,r,share of msy examined stocks in all managed fish stocks,,42.308
2017,percentage,r,share of msy examined stocks in all managed fish stocks,,43.59
2018,percentage,r,share of msy examined stocks in all managed fish stocks,,43.59
2019,percentage,r,share of msy examined stocks in all managed fish stocks,,43.59
2020,percentage,r,share of msy examined stocks in all managed fish stocks,,43.59
2021,percentage,r,share of msy examined stocks in all managed fish stocks,,43.59
2022,percentage,r,share of msy examined stocks in all managed fish stocks,,43.59
2023,percentage,r,share of msy examined stocks in all managed fish stocks,,43.59
2024,percentage,,share of msy examined stocks in all managed fish stocks,,43.59
2030,percentage,…,share of msy examined stocks in all managed fish stocks,,
