Year,Units,sex,type of treatment,Value
2015,"per 100,000 inhabitants",female,mortality avoidable through prevention,95.52
2016,"per 100,000 inhabitants",female,mortality avoidable through prevention,94.81
2017,"per 100,000 inhabitants",female,mortality avoidable through prevention,94.92
2018,"per 100,000 inhabitants",female,mortality avoidable through prevention,95.92
2019,"per 100,000 inhabitants",female,mortality avoidable through prevention,92.05
2020,"per 100,000 inhabitants",female,mortality avoidable through prevention,96.22
2021,"per 100,000 inhabitants",female,mortality avoidable through prevention,105.49
2011,"per 100,000 inhabitants",male,mortality avoidable through prevention,238.32
2012,"per 100,000 inhabitants",male,mortality avoidable through prevention,233.42
2013,"per 100,000 inhabitants",male,mortality avoidable through prevention,233.47
2014,"per 100,000 inhabitants",male,mortality avoidable through prevention,224.37
2015,"per 100,000 inhabitants",male,mortality avoidable through prevention,228.08
2016,"per 100,000 inhabitants",male,mortality avoidable through prevention,224.21
2017,"per 100,000 inhabitants",male,mortality avoidable through prevention,219.79
2018,"per 100,000 inhabitants",male,mortality avoidable through prevention,218.89
2019,"per 100,000 inhabitants",male,mortality avoidable through prevention,210.68
2020,"per 100,000 inhabitants",male,mortality avoidable through prevention,221.86
2021,"per 100,000 inhabitants",male,mortality avoidable through prevention,241.06
2011,"per 100,000 inhabitants",,mortality avoidable through treatment,94.48
2012,"per 100,000 inhabitants",,mortality avoidable through treatment,92.0
2013,"per 100,000 inhabitants",,mortality avoidable through treatment,91.54
2014,"per 100,000 inhabitants",,mortality avoidable through treatment,87.42
2015,"per 100,000 inhabitants",,mortality avoidable through treatment,89.37
2016,"per 100,000 inhabitants",,mortality avoidable through treatment,86.92
2017,"per 100,000 inhabitants",,mortality avoidable through treatment,85.51
2018,"per 100,000 inhabitants",,mortality avoidable through treatment,85.36
2019,"per 100,000 inhabitants",,mortality avoidable through treatment,81.75
2020,"per 100,000 inhabitants",,mortality avoidable through treatment,80.84
2021,"per 100,000 inhabitants",,mortality avoidable through treatment,81.27
2011,"per 100,000 inhabitants",female,mortality avoidable through treatment,80.98
2012,"per 100,000 inhabitants",female,mortality avoidable through treatment,78.78
2013,"per 100,000 inhabitants",female,mortality avoidable through treatment,78.71
2014,"per 100,000 inhabitants",female,mortality avoidable through treatment,75.11
2015,"per 100,000 inhabitants",female,mortality avoidable through treatment,76.63
2016,"per 100,000 inhabitants",female,mortality avoidable through treatment,75.14
2017,"per 100,000 inhabitants",female,mortality avoidable through treatment,73.72
2018,"per 100,000 inhabitants",female,mortality avoidable through treatment,73.42
2019,"per 100,000 inhabitants",female,mortality avoidable through treatment,70.42
2020,"per 100,000 inhabitants",female,mortality avoidable through treatment,68.88
2021,"per 100,000 inhabitants",female,mortality avoidable through treatment,68.38
2011,"per 100,000 inhabitants",male,mortality avoidable through treatment,109.32
2012,"per 100,000 inhabitants",male,mortality avoidable through treatment,106.51
2013,"per 100,000 inhabitants",male,mortality avoidable through treatment,105.62
2014,"per 100,000 inhabitants",male,mortality avoidable through treatment,100.9
2015,"per 100,000 inhabitants",male,mortality avoidable through treatment,103.27
2016,"per 100,000 inhabitants",male,mortality avoidable through treatment,99.8
2017,"per 100,000 inhabitants",male,mortality avoidable through treatment,98.42
2018,"per 100,000 inhabitants",male,mortality avoidable through treatment,98.42
2019,"per 100,000 inhabitants",male,mortality avoidable through treatment,94.12
2020,"per 100,000 inhabitants",male,mortality avoidable through treatment,93.88
2021,"per 100,000 inhabitants",male,mortality avoidable through treatment,95.28
