Year,Units,COMMENT_OBS_0,länder,GeoCode,time series,Value
2012,number,,lower saxony,code03,,11133.0
2013,number,,lower saxony,code03,,12109.0
2014,number,,lower saxony,code03,,13195.0
2015,number,,lower saxony,code03,,14657.0
2016,number,,lower saxony,code03,,15932.0
2017,number,,lower saxony,code03,,17702.0
2018,number,,lower saxony,code03,,19333.0
2019,number,,lower saxony,code03,,20687.0
2020,number,,lower saxony,code03,,21354.0
2021,number,,lower saxony,code03,,21592.0
2022,number,,lower saxony,code03,,22020.0
2023,number,,lower saxony,code03,,22429.0
2005,number,.,north rhine-westphalia,code05,,
2006,number,,north rhine-westphalia,code05,,38324.0
2007,number,,north rhine-westphalia,code05,,35303.0
2008,number,,north rhine-westphalia,code05,,36388.0
2009,number,,north rhine-westphalia,code05,,37820.0
2010,number,,north rhine-westphalia,code05,,38968.0
2011,number,,north rhine-westphalia,code05,,41572.0
2012,number,,north rhine-westphalia,code05,,44860.0
2013,number,,north rhine-westphalia,code05,,48945.0
2014,number,,north rhine-westphalia,code05,,53164.0
2015,number,,north rhine-westphalia,code05,,56422.0
2016,number,,north rhine-westphalia,code05,,60688.0
2017,number,,north rhine-westphalia,code05,,63089.0
2018,number,,north rhine-westphalia,code05,,67424.0
2019,number,,north rhine-westphalia,code05,,72166.0
2020,number,,north rhine-westphalia,code05,,75112.0
2021,number,,north rhine-westphalia,code05,,77363.0
2022,number,,north rhine-westphalia,code05,,79204.0
2023,number,,north rhine-westphalia,code05,,79691.0
2005,number,.,rhineland palatinate,code07,,
2006,number,,rhineland palatinate,code07,,6488.0
2007,number,,rhineland palatinate,code07,,6993.0
2008,number,,rhineland palatinate,code07,,7166.0
2009,number,,rhineland palatinate,code07,,6992.0
2010,number,,rhineland palatinate,code07,,7023.0
2011,number,,rhineland palatinate,code07,,6748.0
2012,number,,rhineland palatinate,code07,,6820.0
2013,number,,rhineland palatinate,code07,,6951.0
2014,number,,rhineland palatinate,code07,,7214.0
2015,number,,rhineland palatinate,code07,,7575.0
2016,number,,rhineland palatinate,code07,,8177.0
2017,number,,rhineland palatinate,code07,,8928.0
2018,number,,rhineland palatinate,code07,,10194.0
2019,number,,rhineland palatinate,code07,,11069.0
2020,number,,rhineland palatinate,code07,,11896.0
2021,number,,rhineland palatinate,code07,,12426.0
2022,number,,rhineland palatinate,code07,,12964.0
2023,number,,rhineland palatinate,code07,,12957.0
2005,number,.,saarland,code10,,
2006,number,,saarland,code10,,1572.0
2007,number,,saarland,code10,,1573.0
2008,number,,saarland,code10,,1597.0
2009,number,,saarland,code10,,1708.0
2010,number,,saarland,code10,,1959.0
2011,number,,saarland,code10,,2085.0
2012,number,,saarland,code10,,2164.0
2013,number,,saarland,code10,,2246.0
2014,number,,saarland,code10,,2331.0
2015,number,,saarland,code10,,2413.0
2016,number,,saarland,code10,,2419.0
2017,number,,saarland,code10,,2481.0
2018,number,,saarland,code10,,2725.0
2019,number,,saarland,code10,,2961.0
2020,number,,saarland,code10,,3114.0
2021,number,,saarland,code10,,3436.0
2022,number,,saarland,code10,,3650.0
2023,number,,saarland,code10,,3859.0
2005,number,.,saxony,code14,,
2006,number,,saxony,code14,,4963.0
2007,number,,saxony,code14,,5139.0
2008,number,,saxony,code14,,5053.0
2009,number,,saxony,code14,,5332.0
2010,number,,saxony,code14,,5542.0
2011,number,,saxony,code14,,5966.0
2012,number,,saxony,code14,,6748.0
2013,number,,saxony,code14,,7873.0
2014,number,,saxony,code14,,9023.0
2015,number,,saxony,code14,,10278.0
2016,number,,saxony,code14,,10829.0
2017,number,,saxony,code14,,11340.0
2018,number,,saxony,code14,,12575.0
2019,number,,saxony,code14,,13267.0
2020,number,,saxony,code14,,13507.0
2021,number,,saxony,code14,,13915.0
2022,number,,saxony,code14,,14487.0
2023,number,,saxony,code14,,15487.0
2005,number,.,saxony-anhalt,code15,,
2006,number,,saxony-anhalt,code15,,3198.0
2007,number,,saxony-anhalt,code15,,3247.0
2008,number,,saxony-anhalt,code15,,3251.0
2009,number,,saxony-anhalt,code15,,3463.0
2010,number,,saxony-anhalt,code15,,3712.0
2011,number,,saxony-anhalt,code15,,4041.0
2012,number,,saxony-anhalt,code15,,4444.0
2013,number,,saxony-anhalt,code15,,4705.0
2014,number,,saxony-anhalt,code15,,5080.0
2015,number,,saxony-anhalt,code15,,5582.0
2016,number,,saxony-anhalt,code15,,5650.0
2017,number,,saxony-anhalt,code15,,6091.0
2018,number,,saxony-anhalt,code15,,6641.0
2019,number,,saxony-anhalt,code15,,7321.0
2020,number,,saxony-anhalt,code15,,7679.0
2021,number,,saxony-anhalt,code15,,8442.0
2022,number,,saxony-anhalt,code15,,9383.0
2023,number,,saxony-anhalt,code15,,9687.0
2005,number,.,schleswig-holstein,code01,,
2006,number,,schleswig-holstein,code01,,2406.0
2007,number,,schleswig-holstein,code01,,2416.0
2008,number,,schleswig-holstein,code01,,2436.0
2009,number,,schleswig-holstein,code01,,2523.0
2010,number,,schleswig-holstein,code01,,2569.0
2011,number,,schleswig-holstein,code01,,2633.0
2012,number,,schleswig-holstein,code01,,2764.0
2013,number,,schleswig-holstein,code01,,2830.0
2014,number,,schleswig-holstein,code01,,2998.0
2015,number,,schleswig-holstein,code01,,3155.0
2016,number,,schleswig-holstein,code01,,3586.0
2017,number,,schleswig-holstein,code01,,3667.0
2018,number,,schleswig-holstein,code01,,4002.0
2019,number,,schleswig-holstein,code01,,4276.0
2020,number,,schleswig-holstein,code01,,4402.0
2021,number,,schleswig-holstein,code01,,4740.0
2022,number,,schleswig-holstein,code01,,4828.0
2023,number,,schleswig-holstein,code01,,4972.0
2005,number,.,thuringia,code16,,
2006,number,,thuringia,code16,,1937.0
2007,number,,thuringia,code16,,2176.0
2008,number,,thuringia,code16,,2192.0
2009,number,,thuringia,code16,,2543.0
2010,number,,thuringia,code16,,2909.0
2011,number,,thuringia,code16,,3012.0
2012,number,,thuringia,code16,,3412.0
2013,number,,thuringia,code16,,4000.0
2014,number,,thuringia,code16,,4508.0
2015,number,,thuringia,code16,,4948.0
2016,number,,thuringia,code16,,5180.0
2017,number,,thuringia,code16,,5623.0
2018,number,,thuringia,code16,,6397.0
2019,number,,thuringia,code16,,7700.0
2020,number,,thuringia,code16,,8785.0
2021,number,,thuringia,code16,,11414.0
2022,number,,thuringia,code16,,13809.0
2023,number,,thuringia,code16,,15776.0
2005,number,,,,students from ldcs,4960.0
2006,number,,,,students from ldcs,5012.0
2007,number,,,,students from ldcs,4933.0
2008,number,,,,students from ldcs,5331.0
2009,number,,,,students from ldcs,5738.0
2010,number,,,,students from ldcs,6300.0
2011,number,,,,students from ldcs,6925.0
2012,number,,,,students from ldcs,7577.0
2013,number,,,,students from ldcs,8348.0
2014,number,,,,students from ldcs,9244.0
2015,number,,,,students from ldcs,9746.0
2016,number,,,,students from ldcs,10119.0
2017,number,,,,students from ldcs,10576.0
2018,number,,,,students from ldcs,11525.0
2019,number,,,,students from ldcs,13067.0
2020,number,,,,students from ldcs,15055.0
2021,number,,,,students from ldcs,17113.0
2022,number,,,,students from ldcs,18315.0
2023,number,,,,students from ldcs,19505.0
2005,number,,baden-wuerttemberg,code08,students from ldcs,502.0
2006,number,,baden-wuerttemberg,code08,students from ldcs,524.0
2007,number,,baden-wuerttemberg,code08,students from ldcs,532.0
2008,number,,baden-wuerttemberg,code08,students from ldcs,559.0
2009,number,,baden-wuerttemberg,code08,students from ldcs,598.0
2010,number,,baden-wuerttemberg,code08,students from ldcs,669.0
2011,number,,baden-wuerttemberg,code08,students from ldcs,704.0
2012,number,,baden-wuerttemberg,code08,students from ldcs,808.0
2013,number,,baden-wuerttemberg,code08,students from ldcs,895.0
2014,number,,baden-wuerttemberg,code08,students from ldcs,957.0
2015,number,,baden-wuerttemberg,code08,students from ldcs,939.0
2016,number,,baden-wuerttemberg,code08,students from ldcs,937.0
2017,number,,baden-wuerttemberg,code08,students from ldcs,857.0
2018,number,,baden-wuerttemberg,code08,students from ldcs,833.0
2019,number,,baden-wuerttemberg,code08,students from ldcs,794.0
2020,number,,baden-wuerttemberg,code08,students from ldcs,817.0
2021,number,,baden-wuerttemberg,code08,students from ldcs,927.0
2022,number,,baden-wuerttemberg,code08,students from ldcs,929.0
2023,number,,baden-wuerttemberg,code08,students from ldcs,1029.0
2005,number,,bavaria,code09,students from ldcs,320.0
2006,number,,bavaria,code09,students from ldcs,359.0
2007,number,,bavaria,code09,students from ldcs,352.0
2008,number,,bavaria,code09,students from ldcs,402.0
2009,number,,bavaria,code09,students from ldcs,436.0
2010,number,,bavaria,code09,students from ldcs,476.0
2011,number,,bavaria,code09,students from ldcs,568.0
2012,number,,bavaria,code09,students from ldcs,624.0
2013,number,,bavaria,code09,students from ldcs,716.0
2014,number,,bavaria,code09,students from ldcs,812.0
2015,number,,bavaria,code09,students from ldcs,859.0
2016,number,,bavaria,code09,students from ldcs,884.0
2017,number,,bavaria,code09,students from ldcs,1036.0
2018,number,,bavaria,code09,students from ldcs,1170.0
2019,number,,bavaria,code09,students from ldcs,1347.0
2020,number,,bavaria,code09,students from ldcs,1751.0
2021,number,,bavaria,code09,students from ldcs,2217.0
2022,number,,bavaria,code09,students from ldcs,2484.0
2023,number,,bavaria,code09,students from ldcs,2841.0
2005,number,,berlin,code11,students from ldcs,362.0
2006,number,,berlin,code11,students from ldcs,370.0
2007,number,,berlin,code11,students from ldcs,337.0
2008,number,,berlin,code11,students from ldcs,404.0
2009,number,,berlin,code11,students from ldcs,441.0
2010,number,,berlin,code11,students from ldcs,505.0
2011,number,,berlin,code11,students from ldcs,570.0
2012,number,,berlin,code11,students from ldcs,582.0
2013,number,,berlin,code11,students from ldcs,634.0
2014,number,,berlin,code11,students from ldcs,726.0
2015,number,,berlin,code11,students from ldcs,751.0
2016,number,,berlin,code11,students from ldcs,755.0
2017,number,,berlin,code11,students from ldcs,852.0
2018,number,,berlin,code11,students from ldcs,896.0
2019,number,,berlin,code11,students from ldcs,1002.0
2020,number,,berlin,code11,students from ldcs,1115.0
2021,number,,berlin,code11,students from ldcs,1203.0
2022,number,,berlin,code11,students from ldcs,1284.0
2023,number,,berlin,code11,students from ldcs,1397.0
2005,number,,brandenburg,code12,students from ldcs,124.0
2006,number,,brandenburg,code12,students from ldcs,121.0
2007,number,,brandenburg,code12,students from ldcs,123.0
2008,number,,brandenburg,code12,students from ldcs,122.0
2009,number,,brandenburg,code12,students from ldcs,125.0
2010,number,,brandenburg,code12,students from ldcs,148.0
2011,number,,brandenburg,code12,students from ldcs,154.0
2012,number,,brandenburg,code12,students from ldcs,193.0
2013,number,,brandenburg,code12,students from ldcs,226.0
2014,number,,brandenburg,code12,students from ldcs,277.0
2015,number,,brandenburg,code12,students from ldcs,321.0
2016,number,,brandenburg,code12,students from ldcs,311.0
2017,number,,brandenburg,code12,students from ldcs,356.0
2018,number,,brandenburg,code12,students from ldcs,400.0
2019,number,,brandenburg,code12,students from ldcs,495.0
2020,number,,brandenburg,code12,students from ldcs,582.0
2021,number,,brandenburg,code12,students from ldcs,669.0
2022,number,,brandenburg,code12,students from ldcs,765.0
2023,number,,brandenburg,code12,students from ldcs,872.0
2005,number,,bremen,code04,students from ldcs,188.0
2006,number,,bremen,code04,students from ldcs,192.0
2007,number,,bremen,code04,students from ldcs,206.0
2008,number,,bremen,code04,students from ldcs,194.0
2009,number,,bremen,code04,students from ldcs,194.0
2010,number,,bremen,code04,students from ldcs,203.0
2011,number,,bremen,code04,students from ldcs,227.0
2012,number,,bremen,code04,students from ldcs,255.0
2013,number,,bremen,code04,students from ldcs,261.0
2014,number,,bremen,code04,students from ldcs,235.0
2015,number,,bremen,code04,students from ldcs,262.0
2016,number,,bremen,code04,students from ldcs,277.0
2017,number,,bremen,code04,students from ldcs,312.0
2018,number,,bremen,code04,students from ldcs,337.0
2019,number,,bremen,code04,students from ldcs,395.0
2020,number,,bremen,code04,students from ldcs,471.0
2021,number,,bremen,code04,students from ldcs,525.0
2022,number,,bremen,code04,students from ldcs,556.0
2023,number,,bremen,code04,students from ldcs,571.0
2005,number,,hamburg,code02,students from ldcs,292.0
2006,number,,hamburg,code02,students from ldcs,281.0
2007,number,,hamburg,code02,students from ldcs,260.0
2008,number,,hamburg,code02,students from ldcs,285.0
2009,number,,hamburg,code02,students from ldcs,317.0
2010,number,,hamburg,code02,students from ldcs,331.0
2011,number,,hamburg,code02,students from ldcs,338.0
2012,number,,hamburg,code02,students from ldcs,342.0
2013,number,,hamburg,code02,students from ldcs,369.0
2014,number,,hamburg,code02,students from ldcs,383.0
2015,number,,hamburg,code02,students from ldcs,409.0
2016,number,,hamburg,code02,students from ldcs,421.0
2017,number,,hamburg,code02,students from ldcs,442.0
2018,number,,hamburg,code02,students from ldcs,495.0
2019,number,,hamburg,code02,students from ldcs,573.0
2020,number,,hamburg,code02,students from ldcs,621.0
2021,number,,hamburg,code02,students from ldcs,694.0
2022,number,,hamburg,code02,students from ldcs,761.0
2023,number,,hamburg,code02,students from ldcs,801.0
2005,number,,hesse,code06,students from ldcs,728.0
2006,number,,hesse,code06,students from ldcs,731.0
2007,number,,hesse,code06,students from ldcs,665.0
2008,number,,hesse,code06,students from ldcs,766.0
2009,number,,hesse,code06,students from ldcs,843.0
2010,number,,hesse,code06,students from ldcs,904.0
2011,number,,hesse,code06,students from ldcs,968.0
2012,number,,hesse,code06,students from ldcs,1062.0
2013,number,,hesse,code06,students from ldcs,1158.0
2014,number,,hesse,code06,students from ldcs,1263.0
2015,number,,hesse,code06,students from ldcs,1345.0
2016,number,,hesse,code06,students from ldcs,1352.0
2017,number,,hesse,code06,students from ldcs,1385.0
2018,number,,hesse,code06,students from ldcs,1481.0
2019,number,,hesse,code06,students from ldcs,1649.0
2020,number,,hesse,code06,students from ldcs,1826.0
2021,number,,hesse,code06,students from ldcs,2071.0
2022,number,,hesse,code06,students from ldcs,2192.0
2023,number,,hesse,code06,students from ldcs,2342.0
2005,number,,mecklenburg western pomerania,code13,students from ldcs,61.0
2006,number,,mecklenburg western pomerania,code13,students from ldcs,66.0
2007,number,,mecklenburg western pomerania,code13,students from ldcs,68.0
2008,number,,mecklenburg western pomerania,code13,students from ldcs,69.0
2009,number,,mecklenburg western pomerania,code13,students from ldcs,79.0
2010,number,,mecklenburg western pomerania,code13,students from ldcs,86.0
2011,number,,mecklenburg western pomerania,code13,students from ldcs,103.0
2012,number,,mecklenburg western pomerania,code13,students from ldcs,104.0
2013,number,,mecklenburg western pomerania,code13,students from ldcs,118.0
2014,number,,mecklenburg western pomerania,code13,students from ldcs,133.0
2015,number,,mecklenburg western pomerania,code13,students from ldcs,123.0
2016,number,,mecklenburg western pomerania,code13,students from ldcs,141.0
2017,number,,mecklenburg western pomerania,code13,students from ldcs,143.0
2018,number,,mecklenburg western pomerania,code13,students from ldcs,172.0
2019,number,,mecklenburg western pomerania,code13,students from ldcs,177.0
2020,number,,mecklenburg western pomerania,code13,students from ldcs,155.0
2021,number,,mecklenburg western pomerania,code13,students from ldcs,159.0
2022,number,,mecklenburg western pomerania,code13,students from ldcs,150.0
2023,number,,mecklenburg western pomerania,code13,students from ldcs,156.0
2005,number,,lower saxony,code03,students from ldcs,374.0
2006,number,,lower saxony,code03,students from ldcs,351.0
2007,number,,lower saxony,code03,students from ldcs,340.0
2008,number,,lower saxony,code03,students from ldcs,337.0
2009,number,,lower saxony,code03,students from ldcs,332.0
2010,number,,lower saxony,code03,students from ldcs,388.0
2011,number,,lower saxony,code03,students from ldcs,406.0
2012,number,,lower saxony,code03,students from ldcs,424.0
2013,number,,lower saxony,code03,students from ldcs,467.0
2014,number,,lower saxony,code03,students from ldcs,535.0
2015,number,,lower saxony,code03,students from ldcs,597.0
2016,number,,lower saxony,code03,students from ldcs,667.0
2017,number,,lower saxony,code03,students from ldcs,703.0
2018,number,,lower saxony,code03,students from ldcs,757.0
2019,number,,lower saxony,code03,students from ldcs,830.0
2020,number,,lower saxony,code03,students from ldcs,949.0
2021,number,,lower saxony,code03,students from ldcs,1009.0
2022,number,,lower saxony,code03,students from ldcs,1062.0
2023,number,,lower saxony,code03,students from ldcs,1117.0
2005,number,,north rhine-westphalia,code05,students from ldcs,1261.0
2006,number,,north rhine-westphalia,code05,students from ldcs,1213.0
2007,number,,north rhine-westphalia,code05,students from ldcs,1183.0
2008,number,,north rhine-westphalia,code05,students from ldcs,1229.0
2009,number,,north rhine-westphalia,code05,students from ldcs,1304.0
2010,number,,north rhine-westphalia,code05,students from ldcs,1393.0
2011,number,,north rhine-westphalia,code05,students from ldcs,1666.0
2012,number,,north rhine-westphalia,code05,students from ldcs,1865.0
2013,number,,north rhine-westphalia,code05,students from ldcs,2057.0
2014,number,,north rhine-westphalia,code05,students from ldcs,2399.0
2015,number,,north rhine-westphalia,code05,students from ldcs,2518.0
2016,number,,north rhine-westphalia,code05,students from ldcs,2666.0
2017,number,,north rhine-westphalia,code05,students from ldcs,2684.0
2018,number,,north rhine-westphalia,code05,students from ldcs,2921.0
2019,number,,north rhine-westphalia,code05,students from ldcs,3316.0
2020,number,,north rhine-westphalia,code05,students from ldcs,3768.0
2021,number,,north rhine-westphalia,code05,students from ldcs,4013.0
2022,number,,north rhine-westphalia,code05,students from ldcs,4283.0
2023,number,,north rhine-westphalia,code05,students from ldcs,4509.0
2005,number,,rhineland palatinate,code07,students from ldcs,239.0
2006,number,,rhineland palatinate,code07,students from ldcs,271.0
2007,number,,rhineland palatinate,code07,students from ldcs,313.0
2008,number,,rhineland palatinate,code07,students from ldcs,335.0
2009,number,,rhineland palatinate,code07,students from ldcs,336.0
2010,number,,rhineland palatinate,code07,students from ldcs,373.0
2011,number,,rhineland palatinate,code07,students from ldcs,344.0
2012,number,,rhineland palatinate,code07,students from ldcs,339.0
2013,number,,rhineland palatinate,code07,students from ldcs,348.0
2014,number,,rhineland palatinate,code07,students from ldcs,389.0
2015,number,,rhineland palatinate,code07,students from ldcs,409.0
2016,number,,rhineland palatinate,code07,students from ldcs,422.0
2017,number,,rhineland palatinate,code07,students from ldcs,432.0
2018,number,,rhineland palatinate,code07,students from ldcs,500.0
2019,number,,rhineland palatinate,code07,students from ldcs,562.0
2020,number,,rhineland palatinate,code07,students from ldcs,665.0
2021,number,,rhineland palatinate,code07,students from ldcs,706.0
2022,number,,rhineland palatinate,code07,students from ldcs,755.0
2023,number,,rhineland palatinate,code07,students from ldcs,767.0
2005,number,,saarland,code10,students from ldcs,95.0
2006,number,,saarland,code10,students from ldcs,93.0
2007,number,,saarland,code10,students from ldcs,106.0
2008,number,,saarland,code10,students from ldcs,110.0
2009,number,,saarland,code10,students from ldcs,104.0
2010,number,,saarland,code10,students from ldcs,130.0
2011,number,,saarland,code10,students from ldcs,118.0
2012,number,,saarland,code10,students from ldcs,115.0
2013,number,,saarland,code10,students from ldcs,116.0
2014,number,,saarland,code10,students from ldcs,124.0
2015,number,,saarland,code10,students from ldcs,126.0
2016,number,,saarland,code10,students from ldcs,128.0
2017,number,,saarland,code10,students from ldcs,127.0
2018,number,,saarland,code10,students from ldcs,130.0
2019,number,,saarland,code10,students from ldcs,140.0
2020,number,,saarland,code10,students from ldcs,160.0
2021,number,,saarland,code10,students from ldcs,186.0
2022,number,,saarland,code10,students from ldcs,201.0
2023,number,,saarland,code10,students from ldcs,192.0
2005,number,,saxony,code14,students from ldcs,184.0
2006,number,,saxony,code14,students from ldcs,200.0
2007,number,,saxony,code14,students from ldcs,195.0
2008,number,,saxony,code14,students from ldcs,218.0
2009,number,,saxony,code14,students from ldcs,240.0
2010,number,,saxony,code14,students from ldcs,237.0
2011,number,,saxony,code14,students from ldcs,272.0
2012,number,,saxony,code14,students from ldcs,317.0
2013,number,,saxony,code14,students from ldcs,378.0
2014,number,,saxony,code14,students from ldcs,391.0
2015,number,,saxony,code14,students from ldcs,434.0
2016,number,,saxony,code14,students from ldcs,453.0
2017,number,,saxony,code14,students from ldcs,449.0
2018,number,,saxony,code14,students from ldcs,520.0
2019,number,,saxony,code14,students from ldcs,631.0
2020,number,,saxony,code14,students from ldcs,719.0
2021,number,,saxony,code14,students from ldcs,833.0
2022,number,,saxony,code14,students from ldcs,919.0
2023,number,,saxony,code14,students from ldcs,857.0
2005,number,,saxony-anhalt,code15,students from ldcs,100.0
2006,number,,saxony-anhalt,code15,students from ldcs,93.0
2007,number,,saxony-anhalt,code15,students from ldcs,88.0
2008,number,,saxony-anhalt,code15,students from ldcs,97.0
2009,number,,saxony-anhalt,code15,students from ldcs,121.0
