Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,federal state,GeoCode,Value
2008,percentage,b) structural deficit,.,,hesse,code06,
2009,percentage,b) structural deficit,.,,hesse,code06,
2010,percentage,b) structural deficit,,,hesse,code06,-2.018
2011,percentage,b) structural deficit,,,hesse,code06,-1.7
2012,percentage,b) structural deficit,,,hesse,code06,-1.52
2013,percentage,b) structural deficit,,,hesse,code06,-0.75
2014,percentage,b) structural deficit,,,hesse,code06,-0.459
2015,percentage,b) structural deficit,,,hesse,code06,-0.123
2016,percentage,b) structural deficit,,,hesse,code06,0.323
2017,percentage,b) structural deficit,,,hesse,code06,0.553
2018,percentage,b) structural deficit,,,hesse,code06,0.555
2019,percentage,b) structural deficit,,,hesse,code06,0.62
2020,percentage,b) structural deficit,,,hesse,code06,-0.985
2021,percentage,b) structural deficit,,,hesse,code06,0.388
2022,percentage,b) structural deficit,,,hesse,code06,0.624
2023,percentage,b) structural deficit,,,hesse,code06,-0.373
2024,percentage,b) structural deficit,…,,hesse,code06,
2005,percentage,b) structural deficit,.,,mecklenburg western pomerania,code13,
2006,percentage,b) structural deficit,.,,mecklenburg western pomerania,code13,
2007,percentage,b) structural deficit,.,,mecklenburg western pomerania,code13,
2008,percentage,b) structural deficit,.,,mecklenburg western pomerania,code13,
2009,percentage,b) structural deficit,.,,mecklenburg western pomerania,code13,
2010,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,-0.395
2011,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,0.466
2012,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,-0.316
2013,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,1.136
2014,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,1.035
2015,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,1.818
2016,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,2.44
2017,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,2.486
2018,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,1.858
2019,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,0.433
2020,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,-0.195
2021,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,0.449
2022,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,1.231
2023,percentage,b) structural deficit,,,mecklenburg western pomerania,code13,-0.401
2024,percentage,b) structural deficit,…,,mecklenburg western pomerania,code13,
2005,percentage,b) structural deficit,.,,lower saxony,code03,
2006,percentage,b) structural deficit,.,,lower saxony,code03,
2007,percentage,b) structural deficit,.,,lower saxony,code03,
2008,percentage,b) structural deficit,.,,lower saxony,code03,
2009,percentage,b) structural deficit,.,,lower saxony,code03,
2010,percentage,b) structural deficit,,,lower saxony,code03,-1.097
2011,percentage,b) structural deficit,,,lower saxony,code03,-1.005
2012,percentage,b) structural deficit,,,lower saxony,code03,-0.061
2013,percentage,b) structural deficit,,,lower saxony,code03,0.157
2014,percentage,b) structural deficit,,,lower saxony,code03,-0.011
2015,percentage,b) structural deficit,,,lower saxony,code03,0.415
2016,percentage,b) structural deficit,,,lower saxony,code03,0.784
2017,percentage,b) structural deficit,,,lower saxony,code03,0.745
2018,percentage,b) structural deficit,,,lower saxony,code03,1.274
2019,percentage,b) structural deficit,,,lower saxony,code03,1.088
2020,percentage,b) structural deficit,,,lower saxony,code03,-0.465
2021,percentage,b) structural deficit,,,lower saxony,code03,0.267
2022,percentage,b) structural deficit,,,lower saxony,code03,0.43
2023,percentage,b) structural deficit,,,lower saxony,code03,0.387
2024,percentage,b) structural deficit,…,,lower saxony,code03,
2005,percentage,b) structural deficit,.,,north rhine-westphalia,code05,
2006,percentage,b) structural deficit,.,,north rhine-westphalia,code05,
2007,percentage,b) structural deficit,.,,north rhine-westphalia,code05,
2008,percentage,b) structural deficit,.,,north rhine-westphalia,code05,
2009,percentage,b) structural deficit,.,,north rhine-westphalia,code05,
2010,percentage,b) structural deficit,,,north rhine-westphalia,code05,-1.592
2011,percentage,b) structural deficit,,,north rhine-westphalia,code05,-0.98
2012,percentage,b) structural deficit,,,north rhine-westphalia,code05,-0.696
2013,percentage,b) structural deficit,,,north rhine-westphalia,code05,-0.392
2014,percentage,b) structural deficit,,,north rhine-westphalia,code05,-0.49
2015,percentage,b) structural deficit,,,north rhine-westphalia,code05,-0.249
2016,percentage,b) structural deficit,,,north rhine-westphalia,code05,0.178
2017,percentage,b) structural deficit,,,north rhine-westphalia,code05,0.4
2018,percentage,b) structural deficit,,,north rhine-westphalia,code05,0.728
2019,percentage,b) structural deficit,,,north rhine-westphalia,code05,0.949
2020,percentage,b) structural deficit,,,north rhine-westphalia,code05,-1.037
2021,percentage,b) structural deficit,,,north rhine-westphalia,code05,0.077
2022,percentage,b) structural deficit,,,north rhine-westphalia,code05,-0.585
2023,percentage,b) structural deficit,,,north rhine-westphalia,code05,-0.515
2024,percentage,b) structural deficit,…,,north rhine-westphalia,code05,
2005,percentage,b) structural deficit,.,,rhineland palatinate,code07,
2006,percentage,b) structural deficit,.,,rhineland palatinate,code07,
2007,percentage,b) structural deficit,.,,rhineland palatinate,code07,
2008,percentage,b) structural deficit,.,,rhineland palatinate,code07,
2009,percentage,b) structural deficit,.,,rhineland palatinate,code07,
2010,percentage,b) structural deficit,,,rhineland palatinate,code07,-2.326
2011,percentage,b) structural deficit,,,rhineland palatinate,code07,-1.978
2012,percentage,b) structural deficit,,,rhineland palatinate,code07,-1.033
2013,percentage,b) structural deficit,,,rhineland palatinate,code07,-0.717
2014,percentage,b) structural deficit,,,rhineland palatinate,code07,-0.755
2015,percentage,b) structural deficit,,,rhineland palatinate,code07,-0.348
2016,percentage,b) structural deficit,,,rhineland palatinate,code07,0.318
2017,percentage,b) structural deficit,,,rhineland palatinate,code07,1.082
2018,percentage,b) structural deficit,,,rhineland palatinate,code07,1.016
2019,percentage,b) structural deficit,,,rhineland palatinate,code07,1.06
2020,percentage,b) structural deficit,,,rhineland palatinate,code07,-0.359
2021,percentage,b) structural deficit,,,rhineland palatinate,code07,1.786
2022,percentage,b) structural deficit,,,rhineland palatinate,code07,1.164
2023,percentage,b) structural deficit,,,rhineland palatinate,code07,0.024
2024,percentage,b) structural deficit,…,,rhineland palatinate,code07,
2005,percentage,b) structural deficit,.,,saarland,code10,
2006,percentage,b) structural deficit,.,,saarland,code10,
2007,percentage,b) structural deficit,.,,saarland,code10,
2008,percentage,b) structural deficit,.,,saarland,code10,
2009,percentage,b) structural deficit,.,,saarland,code10,
2010,percentage,b) structural deficit,,,saarland,code10,-3.954
2011,percentage,b) structural deficit,,,saarland,code10,-3.21
2012,percentage,b) structural deficit,,,saarland,code10,-3.24
2013,percentage,b) structural deficit,,,saarland,code10,-2.455
2014,percentage,b) structural deficit,,,saarland,code10,-2.24
2015,percentage,b) structural deficit,,,saarland,code10,-1.289
2016,percentage,b) structural deficit,,,saarland,code10,-0.996
2017,percentage,b) structural deficit,,,saarland,code10,0.131
2018,percentage,b) structural deficit,,,saarland,code10,0.826
2019,percentage,b) structural deficit,,,saarland,code10,0.67
2020,percentage,b) structural deficit,,,saarland,code10,-0.113
2021,percentage,b) structural deficit,,,saarland,code10,-0.217
2022,percentage,b) structural deficit,,,saarland,code10,-8.124
2023,percentage,b) structural deficit,,,saarland,code10,1.225
2024,percentage,b) structural deficit,…,,saarland,code10,
2005,percentage,b) structural deficit,.,,saxony,code14,
2006,percentage,b) structural deficit,.,,saxony,code14,
2007,percentage,b) structural deficit,.,,saxony,code14,
2008,percentage,b) structural deficit,.,,saxony,code14,
2009,percentage,b) structural deficit,.,,saxony,code14,
2010,percentage,b) structural deficit,,,saxony,code14,0.036
2011,percentage,b) structural deficit,,,saxony,code14,1.943
2012,percentage,b) structural deficit,,,saxony,code14,1.63
2013,percentage,b) structural deficit,,,saxony,code14,1.114
2014,percentage,b) structural deficit,,,saxony,code14,1.158
2015,percentage,b) structural deficit,,,saxony,code14,0.987
2016,percentage,b) structural deficit,,,saxony,code14,1.157
2017,percentage,b) structural deficit,,,saxony,code14,0.902
2018,percentage,b) structural deficit,,,saxony,code14,2.205
2019,percentage,b) structural deficit,,,saxony,code14,0.638
2020,percentage,b) structural deficit,,,saxony,code14,-2.271
2021,percentage,b) structural deficit,,,saxony,code14,0.112
2022,percentage,b) structural deficit,,,saxony,code14,0.971
2023,percentage,b) structural deficit,,,saxony,code14,0.226
2024,percentage,b) structural deficit,…,,saxony,code14,
2005,percentage,b) structural deficit,.,,saxony-anhalt,code15,
2006,percentage,b) structural deficit,.,,saxony-anhalt,code15,
2007,percentage,b) structural deficit,.,,saxony-anhalt,code15,
2008,percentage,b) structural deficit,.,,saxony-anhalt,code15,
2009,percentage,b) structural deficit,.,,saxony-anhalt,code15,
2010,percentage,b) structural deficit,,,saxony-anhalt,code15,-1.291
2011,percentage,b) structural deficit,,,saxony-anhalt,code15,-0.031
2012,percentage,b) structural deficit,,,saxony-anhalt,code15,0.344
2013,percentage,b) structural deficit,,,saxony-anhalt,code15,0.678
2014,percentage,b) structural deficit,,,saxony-anhalt,code15,0.245
2015,percentage,b) structural deficit,,,saxony-anhalt,code15,1.579
2016,percentage,b) structural deficit,,,saxony-anhalt,code15,1.838
2017,percentage,b) structural deficit,,,saxony-anhalt,code15,1.173
2018,percentage,b) structural deficit,,,saxony-anhalt,code15,1.294
2019,percentage,b) structural deficit,,,saxony-anhalt,code15,0.805
2020,percentage,b) structural deficit,,,saxony-anhalt,code15,-1.007
2021,percentage,b) structural deficit,,,saxony-anhalt,code15,0.361
2022,percentage,b) structural deficit,,,saxony-anhalt,code15,0.523
2023,percentage,b) structural deficit,,,saxony-anhalt,code15,0.037
2024,percentage,b) structural deficit,…,,saxony-anhalt,code15,
2005,percentage,b) structural deficit,.,,schleswig-holstein,code01,
2006,percentage,b) structural deficit,.,,schleswig-holstein,code01,
2007,percentage,b) structural deficit,.,,schleswig-holstein,code01,
2008,percentage,b) structural deficit,.,,schleswig-holstein,code01,
2009,percentage,b) structural deficit,.,,schleswig-holstein,code01,
2010,percentage,b) structural deficit,,,schleswig-holstein,code01,-2.265
2011,percentage,b) structural deficit,,,schleswig-holstein,code01,-1.04
2012,percentage,b) structural deficit,,,schleswig-holstein,code01,-0.39
2013,percentage,b) structural deficit,,,schleswig-holstein,code01,-0.014
2014,percentage,b) structural deficit,,,schleswig-holstein,code01,-0.346
2015,percentage,b) structural deficit,,,schleswig-holstein,code01,0.275
2016,percentage,b) structural deficit,,,schleswig-holstein,code01,-0.487
2017,percentage,b) structural deficit,,,schleswig-holstein,code01,0.449
2018,percentage,b) structural deficit,,,schleswig-holstein,code01,-1.724
2019,percentage,b) structural deficit,,,schleswig-holstein,code01,0.079
2020,percentage,b) structural deficit,,,schleswig-holstein,code01,-0.207
2021,percentage,b) structural deficit,,,schleswig-holstein,code01,0.205
2022,percentage,b) structural deficit,,,schleswig-holstein,code01,0.233
2023,percentage,b) structural deficit,,,schleswig-holstein,code01,-0.97
2024,percentage,b) structural deficit,…,,schleswig-holstein,code01,
2005,percentage,b) structural deficit,.,,thuringia,code16,
2006,percentage,b) structural deficit,.,,thuringia,code16,
2007,percentage,b) structural deficit,.,,thuringia,code16,
2008,percentage,b) structural deficit,.,,thuringia,code16,
2009,percentage,b) structural deficit,.,,thuringia,code16,
2010,percentage,b) structural deficit,,,thuringia,code16,-1.273
2011,percentage,b) structural deficit,,,thuringia,code16,-0.388
2012,percentage,b) structural deficit,,,thuringia,code16,0.658
2013,percentage,b) structural deficit,,,thuringia,code16,0.943
2014,percentage,b) structural deficit,,,thuringia,code16,0.749
2015,percentage,b) structural deficit,,,thuringia,code16,0.893
2016,percentage,b) structural deficit,,,thuringia,code16,1.476
2017,percentage,b) structural deficit,,,thuringia,code16,2.136
2018,percentage,b) structural deficit,,,thuringia,code16,1.776
2019,percentage,b) structural deficit,,,thuringia,code16,1.309
2020,percentage,b) structural deficit,,,thuringia,code16,-0.413
2021,percentage,b) structural deficit,,,thuringia,code16,0.129
2022,percentage,b) structural deficit,,,thuringia,code16,1.903
2023,percentage,b) structural deficit,,,thuringia,code16,0.329
2024,percentage,b) structural deficit,…,,thuringia,code16,
