Year,Units,Series,federal state,GeoCode,Value
2018,number,locations of organisation registered with emas,rhineland palatinate,code07,54.0
2019,number,locations of organisation registered with emas,rhineland palatinate,code07,66.0
2020,number,locations of organisation registered with emas,rhineland palatinate,code07,50.0
2021,number,locations of organisation registered with emas,rhineland palatinate,code07,49.0
2022,number,locations of organisation registered with emas,rhineland palatinate,code07,55.0
2010,number,locations of organisation registered with emas,saarland,code10,60.0
2011,number,locations of organisation registered with emas,saarland,code10,55.0
2012,number,locations of organisation registered with emas,saarland,code10,55.0
2013,number,locations of organisation registered with emas,saarland,code10,57.0
2014,number,locations of organisation registered with emas,saarland,code10,63.0
2015,number,locations of organisation registered with emas,saarland,code10,61.0
2016,number,locations of organisation registered with emas,saarland,code10,62.0
2017,number,locations of organisation registered with emas,saarland,code10,64.0
2018,number,locations of organisation registered with emas,saarland,code10,59.0
2019,number,locations of organisation registered with emas,saarland,code10,59.0
2020,number,locations of organisation registered with emas,saarland,code10,60.0
2021,number,locations of organisation registered with emas,saarland,code10,56.0
2022,number,locations of organisation registered with emas,saarland,code10,54.0
2010,number,locations of organisation registered with emas,saxony,code14,63.0
2011,number,locations of organisation registered with emas,saxony,code14,62.0
2012,number,locations of organisation registered with emas,saxony,code14,66.0
2013,number,locations of organisation registered with emas,saxony,code14,63.0
2014,number,locations of organisation registered with emas,saxony,code14,65.0
2015,number,locations of organisation registered with emas,saxony,code14,64.0
2016,number,locations of organisation registered with emas,saxony,code14,74.0
2017,number,locations of organisation registered with emas,saxony,code14,89.0
2018,number,locations of organisation registered with emas,saxony,code14,112.0
2019,number,locations of organisation registered with emas,saxony,code14,113.0
2020,number,locations of organisation registered with emas,saxony,code14,106.0
2021,number,locations of organisation registered with emas,saxony,code14,107.0
2022,number,locations of organisation registered with emas,saxony,code14,110.0
2010,number,locations of organisation registered with emas,saxony-anhalt,code15,53.0
2011,number,locations of organisation registered with emas,saxony-anhalt,code15,50.0
2012,number,locations of organisation registered with emas,saxony-anhalt,code15,40.0
2013,number,locations of organisation registered with emas,saxony-anhalt,code15,41.0
2014,number,locations of organisation registered with emas,saxony-anhalt,code15,39.0
2015,number,locations of organisation registered with emas,saxony-anhalt,code15,39.0
2016,number,locations of organisation registered with emas,saxony-anhalt,code15,44.0
2017,number,locations of organisation registered with emas,saxony-anhalt,code15,44.0
2018,number,locations of organisation registered with emas,saxony-anhalt,code15,45.0
2019,number,locations of organisation registered with emas,saxony-anhalt,code15,66.0
2020,number,locations of organisation registered with emas,saxony-anhalt,code15,65.0
2021,number,locations of organisation registered with emas,saxony-anhalt,code15,64.0
2022,number,locations of organisation registered with emas,saxony-anhalt,code15,67.0
2010,number,locations of organisation registered with emas,schleswig-holstein,code01,59.0
2011,number,locations of organisation registered with emas,schleswig-holstein,code01,59.0
2012,number,locations of organisation registered with emas,schleswig-holstein,code01,45.0
2013,number,locations of organisation registered with emas,schleswig-holstein,code01,43.0
2014,number,locations of organisation registered with emas,schleswig-holstein,code01,41.0
2015,number,locations of organisation registered with emas,schleswig-holstein,code01,32.0
2016,number,locations of organisation registered with emas,schleswig-holstein,code01,33.0
2017,number,locations of organisation registered with emas,schleswig-holstein,code01,45.0
2018,number,locations of organisation registered with emas,schleswig-holstein,code01,39.0
2019,number,locations of organisation registered with emas,schleswig-holstein,code01,37.0
2020,number,locations of organisation registered with emas,schleswig-holstein,code01,40.0
2021,number,locations of organisation registered with emas,schleswig-holstein,code01,39.0
2022,number,locations of organisation registered with emas,schleswig-holstein,code01,40.0
2010,number,locations of organisation registered with emas,thuringia,code16,78.0
2011,number,locations of organisation registered with emas,thuringia,code16,71.0
2012,number,locations of organisation registered with emas,thuringia,code16,62.0
2013,number,locations of organisation registered with emas,thuringia,code16,72.0
2014,number,locations of organisation registered with emas,thuringia,code16,77.0
2015,number,locations of organisation registered with emas,thuringia,code16,90.0
2016,number,locations of organisation registered with emas,thuringia,code16,93.0
2017,number,locations of organisation registered with emas,thuringia,code16,89.0
2018,number,locations of organisation registered with emas,thuringia,code16,81.0
2019,number,locations of organisation registered with emas,thuringia,code16,87.0
2020,number,locations of organisation registered with emas,thuringia,code16,85.0
2021,number,locations of organisation registered with emas,thuringia,code16,84.0
2022,number,locations of organisation registered with emas,thuringia,code16,86.0
2005,1 000,employees in emas organisations,,,961.0
2006,1 000,employees in emas organisations,,,926.0
2007,1 000,employees in emas organisations,,,860.0
2008,1 000,employees in emas organisations,,,840.0
2009,1 000,employees in emas organisations,,,803.0
2010,1 000,employees in emas organisations,,,781.0
2011,1 000,employees in emas organisations,,,765.0
2012,1 000,employees in emas organisations,,,773.0
2013,1 000,employees in emas organisations,,,788.0
2014,1 000,employees in emas organisations,,,785.0
2015,1 000,employees in emas organisations,,,801.0
2016,1 000,employees in emas organisations,,,842.0
2017,1 000,employees in emas organisations,,,985.0
2018,1 000,employees in emas organisations,,,929.0
2019,1 000,employees in emas organisations,,,988.0
2020,1 000,employees in emas organisations,,,860.0
2021,1 000,employees in emas organisations,,,911.0
2022,1 000,employees in emas organisations,,,915.0
2030,1 000,employees in emas organisations,,,
2005,number,emas organisations,,,1491.0
2006,number,emas organisations,,,1490.0
2007,number,emas organisations,,,1466.0
2008,number,emas organisations,,,1408.0
2009,number,emas organisations,,,1354.0
2010,number,emas organisations,,,1332.0
2011,number,emas organisations,,,1269.0
2012,number,emas organisations,,,1212.0
2013,number,emas organisations,,,1228.0
2014,number,emas organisations,,,1223.0
2015,number,emas organisations,,,1216.0
2016,number,emas organisations,,,1225.0
2017,number,emas organisations,,,1240.0
2018,number,emas organisations,,,1183.0
2019,number,emas organisations,,,1150.0
2020,number,emas organisations,,,1113.0
2021,number,emas organisations,,,1115.0
2022,number,emas organisations,,,1117.0
2030,number,emas organisations,,,
2005,number,emas organisations,baden-wuerttemberg,code08,313.0
2006,number,emas organisations,baden-wuerttemberg,code08,358.0
2007,number,emas organisations,baden-wuerttemberg,code08,353.0
2008,number,emas organisations,baden-wuerttemberg,code08,363.0
2009,number,emas organisations,baden-wuerttemberg,code08,366.0
2010,number,emas organisations,baden-wuerttemberg,code08,403.0
2011,number,emas organisations,baden-wuerttemberg,code08,408.0
2012,number,emas organisations,baden-wuerttemberg,code08,410.0
2013,number,emas organisations,baden-wuerttemberg,code08,420.0
2014,number,emas organisations,baden-wuerttemberg,code08,415.0
2015,number,emas organisations,baden-wuerttemberg,code08,422.0
2016,number,emas organisations,baden-wuerttemberg,code08,408.0
2017,number,emas organisations,baden-wuerttemberg,code08,396.0
2018,number,emas organisations,baden-wuerttemberg,code08,371.0
2019,number,emas organisations,baden-wuerttemberg,code08,347.0
2020,number,emas organisations,baden-wuerttemberg,code08,339.0
2021,number,emas organisations,baden-wuerttemberg,code08,330.0
2022,number,emas organisations,baden-wuerttemberg,code08,321.0
2005,number,emas organisations,bavaria,code09,320.0
2006,number,emas organisations,bavaria,code09,302.0
2007,number,emas organisations,bavaria,code09,298.0
2008,number,emas organisations,bavaria,code09,287.0
2009,number,emas organisations,bavaria,code09,282.0
2010,number,emas organisations,bavaria,code09,275.0
2011,number,emas organisations,bavaria,code09,250.0
2012,number,emas organisations,bavaria,code09,247.0
2013,number,emas organisations,bavaria,code09,244.0
2014,number,emas organisations,bavaria,code09,257.0
2015,number,emas organisations,bavaria,code09,269.0
2016,number,emas organisations,bavaria,code09,274.0
2017,number,emas organisations,bavaria,code09,288.0
2018,number,emas organisations,bavaria,code09,283.0
2019,number,emas organisations,bavaria,code09,288.0
2020,number,emas organisations,bavaria,code09,287.0
2021,number,emas organisations,bavaria,code09,296.0
2022,number,emas organisations,bavaria,code09,298.0
2005,number,emas organisations,berlin,code11,56.0
2006,number,emas organisations,berlin,code11,55.0
2007,number,emas organisations,berlin,code11,57.0
2008,number,emas organisations,berlin,code11,51.0
2009,number,emas organisations,berlin,code11,43.0
2010,number,emas organisations,berlin,code11,39.0
2011,number,emas organisations,berlin,code11,39.0
2012,number,emas organisations,berlin,code11,34.0
2013,number,emas organisations,berlin,code11,41.0
2014,number,emas organisations,berlin,code11,35.0
2015,number,emas organisations,berlin,code11,26.0
2016,number,emas organisations,berlin,code11,30.0
2017,number,emas organisations,berlin,code11,32.0
2018,number,emas organisations,berlin,code11,30.0
2019,number,emas organisations,berlin,code11,30.0
2020,number,emas organisations,berlin,code11,28.0
2021,number,emas organisations,berlin,code11,32.0
2022,number,emas organisations,berlin,code11,35.0
2005,number,emas organisations,brandenburg,code12,42.0
2006,number,emas organisations,brandenburg,code12,38.0
2007,number,emas organisations,brandenburg,code12,34.0
2008,number,emas organisations,brandenburg,code12,33.0
2009,number,emas organisations,brandenburg,code12,34.0
2010,number,emas organisations,brandenburg,code12,38.0
2011,number,emas organisations,brandenburg,code12,30.0
2012,number,emas organisations,brandenburg,code12,26.0
2013,number,emas organisations,brandenburg,code12,30.0
2014,number,emas organisations,brandenburg,code12,29.0
2015,number,emas organisations,brandenburg,code12,27.0
2016,number,emas organisations,brandenburg,code12,30.0
2017,number,emas organisations,brandenburg,code12,36.0
2018,number,emas organisations,brandenburg,code12,37.0
2019,number,emas organisations,brandenburg,code12,35.0
2020,number,emas organisations,brandenburg,code12,34.0
2021,number,emas organisations,brandenburg,code12,36.0
2022,number,emas organisations,brandenburg,code12,36.0
2005,number,emas organisations,bremen,code04,20.0
2006,number,emas organisations,bremen,code04,20.0
2007,number,emas organisations,bremen,code04,19.0
2008,number,emas organisations,bremen,code04,24.0
2009,number,emas organisations,bremen,code04,24.0
2010,number,emas organisations,bremen,code04,21.0
2011,number,emas organisations,bremen,code04,20.0
2012,number,emas organisations,bremen,code04,17.0
2013,number,emas organisations,bremen,code04,16.0
2014,number,emas organisations,bremen,code04,14.0
2015,number,emas organisations,bremen,code04,12.0
2016,number,emas organisations,bremen,code04,11.0
2017,number,emas organisations,bremen,code04,12.0
2018,number,emas organisations,bremen,code04,11.0
2019,number,emas organisations,bremen,code04,11.0
2020,number,emas organisations,bremen,code04,10.0
2021,number,emas organisations,bremen,code04,9.0
2022,number,emas organisations,bremen,code04,10.0
2005,number,emas organisations,hamburg,code02,20.0
2006,number,emas organisations,hamburg,code02,20.0
2007,number,emas organisations,hamburg,code02,21.0
2008,number,emas organisations,hamburg,code02,14.0
2009,number,emas organisations,hamburg,code02,13.0
2010,number,emas organisations,hamburg,code02,12.0
2011,number,emas organisations,hamburg,code02,12.0
2012,number,emas organisations,hamburg,code02,10.0
2013,number,emas organisations,hamburg,code02,9.0
2014,number,emas organisations,hamburg,code02,11.0
2015,number,emas organisations,hamburg,code02,11.0
2016,number,emas organisations,hamburg,code02,10.0
2017,number,emas organisations,hamburg,code02,12.0
2018,number,emas organisations,hamburg,code02,14.0
2019,number,emas organisations,hamburg,code02,14.0
2020,number,emas organisations,hamburg,code02,14.0
2021,number,emas organisations,hamburg,code02,15.0
2022,number,emas organisations,hamburg,code02,16.0
2005,number,emas organisations,hesse,code06,103.0
2006,number,emas organisations,hesse,code06,102.0
2007,number,emas organisations,hesse,code06,98.0
2008,number,emas organisations,hesse,code06,69.0
2009,number,emas organisations,hesse,code06,67.0
2010,number,emas organisations,hesse,code06,73.0
2011,number,emas organisations,hesse,code06,74.0
2012,number,emas organisations,hesse,code06,72.0
2013,number,emas organisations,hesse,code06,70.0
2014,number,emas organisations,hesse,code06,73.0
2015,number,emas organisations,hesse,code06,76.0
2016,number,emas organisations,hesse,code06,80.0
2017,number,emas organisations,hesse,code06,78.0
2018,number,emas organisations,hesse,code06,71.0
2019,number,emas organisations,hesse,code06,63.0
2020,number,emas organisations,hesse,code06,63.0
2021,number,emas organisations,hesse,code06,68.0
2022,number,emas organisations,hesse,code06,69.0
2005,number,emas organisations,mecklenburg western pomerania,code13,24.0
2006,number,emas organisations,mecklenburg western pomerania,code13,25.0
2007,number,emas organisations,mecklenburg western pomerania,code13,24.0
2008,number,emas organisations,mecklenburg western pomerania,code13,23.0
2009,number,emas organisations,mecklenburg western pomerania,code13,16.0
2010,number,emas organisations,mecklenburg western pomerania,code13,8.0
2011,number,emas organisations,mecklenburg western pomerania,code13,8.0
2012,number,emas organisations,mecklenburg western pomerania,code13,6.0
2013,number,emas organisations,mecklenburg western pomerania,code13,6.0
2014,number,emas organisations,mecklenburg western pomerania,code13,6.0
2015,number,emas organisations,mecklenburg western pomerania,code13,5.0
2016,number,emas organisations,mecklenburg western pomerania,code13,6.0
2017,number,emas organisations,mecklenburg western pomerania,code13,5.0
2018,number,emas organisations,mecklenburg western pomerania,code13,4.0
2019,number,emas organisations,mecklenburg western pomerania,code13,2.0
2020,number,emas organisations,mecklenburg western pomerania,code13,2.0
2021,number,emas organisations,mecklenburg western pomerania,code13,1.0
2022,number,emas organisations,mecklenburg western pomerania,code13,1.0
2005,number,emas organisations,lower saxony,code03,56.0
2006,number,emas organisations,lower saxony,code03,58.0
2007,number,emas organisations,lower saxony,code03,61.0
2008,number,emas organisations,lower saxony,code03,61.0
2009,number,emas organisations,lower saxony,code03,67.0
2010,number,emas organisations,lower saxony,code03,72.0
2011,number,emas organisations,lower saxony,code03,76.0
2012,number,emas organisations,lower saxony,code03,62.0
2013,number,emas organisations,lower saxony,code03,64.0
2014,number,emas organisations,lower saxony,code03,60.0
2015,number,emas organisations,lower saxony,code03,56.0
2016,number,emas organisations,lower saxony,code03,55.0
2017,number,emas organisations,lower saxony,code03,59.0
2018,number,emas organisations,lower saxony,code03,55.0
2019,number,emas organisations,lower saxony,code03,54.0
2020,number,emas organisations,lower saxony,code03,51.0
2021,number,emas organisations,lower saxony,code03,51.0
2022,number,emas organisations,lower saxony,code03,51.0
2005,number,emas organisations,north rhine-westphalia,code05,164.0
2006,number,emas organisations,north rhine-westphalia,code05,156.0
2007,number,emas organisations,north rhine-westphalia,code05,168.0
2008,number,emas organisations,north rhine-westphalia,code05,164.0
2009,number,emas organisations,north rhine-westphalia,code05,157.0
2010,number,emas organisations,north rhine-westphalia,code05,140.0
2011,number,emas organisations,north rhine-westphalia,code05,131.0
2012,number,emas organisations,north rhine-westphalia,code05,121.0
2013,number,emas organisations,north rhine-westphalia,code05,118.0
2014,number,emas organisations,north rhine-westphalia,code05,113.0
2015,number,emas organisations,north rhine-westphalia,code05,114.0
2016,number,emas organisations,north rhine-westphalia,code05,117.0
2017,number,emas organisations,north rhine-westphalia,code05,115.0
2018,number,emas organisations,north rhine-westphalia,code05,111.0
2019,number,emas organisations,north rhine-westphalia,code05,105.0
2020,number,emas organisations,north rhine-westphalia,code05,100.0
2021,number,emas organisations,north rhine-westphalia,code05,99.0
2022,number,emas organisations,north rhine-westphalia,code05,103.0
2005,number,emas organisations,rhineland palatinate,code07,53.0
2006,number,emas organisations,rhineland palatinate,code07,49.0
2007,number,emas organisations,rhineland palatinate,code07,49.0
2008,number,emas organisations,rhineland palatinate,code07,44.0
2009,number,emas organisations,rhineland palatinate,code07,46.0
2010,number,emas organisations,rhineland palatinate,code07,44.0
2011,number,emas organisations,rhineland palatinate,code07,37.0
2012,number,emas organisations,rhineland palatinate,code07,35.0
2013,number,emas organisations,rhineland palatinate,code07,36.0
2014,number,emas organisations,rhineland palatinate,code07,37.0
2015,number,emas organisations,rhineland palatinate,code07,31.0
2016,number,emas organisations,rhineland palatinate,code07,33.0
2017,number,emas organisations,rhineland palatinate,code07,33.0
2018,number,emas organisations,rhineland palatinate,code07,34.0
2019,number,emas organisations,rhineland palatinate,code07,34.0
2020,number,emas organisations,rhineland palatinate,code07,24.0
2021,number,emas organisations,rhineland palatinate,code07,23.0
2022,number,emas organisations,rhineland palatinate,code07,22.0
2005,number,emas organisations,saarland,code10,49.0
2006,number,emas organisations,saarland,code10,47.0
2007,number,emas organisations,saarland,code10,50.0
2008,number,emas organisations,saarland,code10,52.0
2009,number,emas organisations,saarland,code10,51.0
2010,number,emas organisations,saarland,code10,49.0
2011,number,emas organisations,saarland,code10,44.0
2012,number,emas organisations,saarland,code10,43.0
2013,number,emas organisations,saarland,code10,44.0
2014,number,emas organisations,saarland,code10,51.0
2015,number,emas organisations,saarland,code10,50.0
2016,number,emas organisations,saarland,code10,51.0
2017,number,emas organisations,saarland,code10,53.0
2018,number,emas organisations,saarland,code10,48.0
2019,number,emas organisations,saarland,code10,49.0
2020,number,emas organisations,saarland,code10,49.0
2021,number,emas organisations,saarland,code10,46.0
2022,number,emas organisations,saarland,code10,44.0
2005,number,emas organisations,saxony,code14,53.0
2006,number,emas organisations,saxony,code14,47.0
2007,number,emas organisations,saxony,code14,46.0
2008,number,emas organisations,saxony,code14,42.0
2009,number,emas organisations,saxony,code14,40.0
2010,number,emas organisations,saxony,code14,36.0
2011,number,emas organisations,saxony,code14,35.0
2012,number,emas organisations,saxony,code14,35.0
2013,number,emas organisations,saxony,code14,33.0
2014,number,emas organisations,saxony,code14,33.0
2015,number,emas organisations,saxony,code14,32.0
2016,number,emas organisations,saxony,code14,32.0
2017,number,emas organisations,saxony,code14,33.0
2018,number,emas organisations,saxony,code14,30.0
2019,number,emas organisations,saxony,code14,29.0
2020,number,emas organisations,saxony,code14,25.0
2021,number,emas organisations,saxony,code14,23.0
2022,number,emas organisations,saxony,code14,23.0
2005,number,emas organisations,saxony-anhalt,code15,34.0
2006,number,emas organisations,saxony-anhalt,code15,34.0
2007,number,emas organisations,saxony-anhalt,code15,37.0
2008,number,emas organisations,saxony-anhalt,code15,38.0
2009,number,emas organisations,saxony-anhalt,code15,35.0
2010,number,emas organisations,saxony-anhalt,code15,35.0
2011,number,emas organisations,saxony-anhalt,code15,28.0
2012,number,emas organisations,saxony-anhalt,code15,28.0
2013,number,emas organisations,saxony-anhalt,code15,28.0
2014,number,emas organisations,saxony-anhalt,code15,24.0
2015,number,emas organisations,saxony-anhalt,code15,21.0
2016,number,emas organisations,saxony-anhalt,code15,21.0
2017,number,emas organisations,saxony-anhalt,code15,22.0
2018,number,emas organisations,saxony-anhalt,code15,22.0
2019,number,emas organisations,saxony-anhalt,code15,23.0
2020,number,emas organisations,saxony-anhalt,code15,21.0
2021,number,emas organisations,saxony-anhalt,code15,20.0
2022,number,emas organisations,saxony-anhalt,code15,21.0
2005,number,emas organisations,schleswig-holstein,code01,72.0
2006,number,emas organisations,schleswig-holstein,code01,72.0
2007,number,emas organisations,schleswig-holstein,code01,66.0
2008,number,emas organisations,schleswig-holstein,code01,59.0
2009,number,emas organisations,schleswig-holstein,code01,50.0
