Year,Units,time series,federal state,GeoCode,Value
2005,"per 100,000 inhabitants",premature death (women),bavaria,code09,155.2
2006,"per 100,000 inhabitants",premature death (women),bavaria,code09,149.3
2007,"per 100,000 inhabitants",premature death (women),bavaria,code09,147.5
2008,"per 100,000 inhabitants",premature death (women),bavaria,code09,148.5
2009,"per 100,000 inhabitants",premature death (women),bavaria,code09,146.2
2010,"per 100,000 inhabitants",premature death (women),bavaria,code09,142.4
2011,"per 100,000 inhabitants",premature death (women),bavaria,code09,146.6
2012,"per 100,000 inhabitants",premature death (women),bavaria,code09,141.1
2013,"per 100,000 inhabitants",premature death (women),bavaria,code09,141.5
2014,"per 100,000 inhabitants",premature death (women),bavaria,code09,134.2
2015,"per 100,000 inhabitants",premature death (women),bavaria,code09,138.8
2016,"per 100,000 inhabitants",premature death (women),bavaria,code09,137.8
2017,"per 100,000 inhabitants",premature death (women),bavaria,code09,132.0
2018,"per 100,000 inhabitants",premature death (women),bavaria,code09,130.7
2019,"per 100,000 inhabitants",premature death (women),bavaria,code09,126.6
2020,"per 100,000 inhabitants",premature death (women),bavaria,code09,131.2
2021,"per 100,000 inhabitants",premature death (women),bavaria,code09,135.7
2022,"per 100,000 inhabitants",premature death (women),bavaria,code09,135.3
2023,"per 100,000 inhabitants",premature death (women),bavaria,code09,127.5
1991,"per 100,000 inhabitants",premature death (women),berlin,code11,299.4
1992,"per 100,000 inhabitants",premature death (women),berlin,code11,284.1
1993,"per 100,000 inhabitants",premature death (women),berlin,code11,262.2
1994,"per 100,000 inhabitants",premature death (women),berlin,code11,265.7
1995,"per 100,000 inhabitants",premature death (women),berlin,code11,247.5
1996,"per 100,000 inhabitants",premature death (women),berlin,code11,245.5
1997,"per 100,000 inhabitants",premature death (women),berlin,code11,230.4
1998,"per 100,000 inhabitants",premature death (women),berlin,code11,224.2
1999,"per 100,000 inhabitants",premature death (women),berlin,code11,214.1
2000,"per 100,000 inhabitants",premature death (women),berlin,code11,205.5
2001,"per 100,000 inhabitants",premature death (women),berlin,code11,191.3
2002,"per 100,000 inhabitants",premature death (women),berlin,code11,202.1
2003,"per 100,000 inhabitants",premature death (women),berlin,code11,187.6
2004,"per 100,000 inhabitants",premature death (women),berlin,code11,178.0
2005,"per 100,000 inhabitants",premature death (women),berlin,code11,185.7
2006,"per 100,000 inhabitants",premature death (women),berlin,code11,174.7
2007,"per 100,000 inhabitants",premature death (women),berlin,code11,169.0
2008,"per 100,000 inhabitants",premature death (women),berlin,code11,174.4
2009,"per 100,000 inhabitants",premature death (women),berlin,code11,166.7
2010,"per 100,000 inhabitants",premature death (women),berlin,code11,164.0
2011,"per 100,000 inhabitants",premature death (women),berlin,code11,173.5
2012,"per 100,000 inhabitants",premature death (women),berlin,code11,170.5
2013,"per 100,000 inhabitants",premature death (women),berlin,code11,162.5
2014,"per 100,000 inhabitants",premature death (women),berlin,code11,162.1
2015,"per 100,000 inhabitants",premature death (women),berlin,code11,168.9
2016,"per 100,000 inhabitants",premature death (women),berlin,code11,160.8
2017,"per 100,000 inhabitants",premature death (women),berlin,code11,158.7
2018,"per 100,000 inhabitants",premature death (women),berlin,code11,167.4
2019,"per 100,000 inhabitants",premature death (women),berlin,code11,153.7
2020,"per 100,000 inhabitants",premature death (women),berlin,code11,158.1
2021,"per 100,000 inhabitants",premature death (women),berlin,code11,154.3
2022,"per 100,000 inhabitants",premature death (women),berlin,code11,160.1
2023,"per 100,000 inhabitants",premature death (women),berlin,code11,151.2
1991,"per 100,000 inhabitants",premature death (women),brandenburg,code12,299.7
1992,"per 100,000 inhabitants",premature death (women),brandenburg,code12,280.3
1993,"per 100,000 inhabitants",premature death (women),brandenburg,code12,262.2
1994,"per 100,000 inhabitants",premature death (women),brandenburg,code12,256.3
1995,"per 100,000 inhabitants",premature death (women),brandenburg,code12,236.6
1996,"per 100,000 inhabitants",premature death (women),brandenburg,code12,241.9
1997,"per 100,000 inhabitants",premature death (women),brandenburg,code12,217.1
1998,"per 100,000 inhabitants",premature death (women),brandenburg,code12,206.6
1999,"per 100,000 inhabitants",premature death (women),brandenburg,code12,195.1
2000,"per 100,000 inhabitants",premature death (women),brandenburg,code12,187.1
2001,"per 100,000 inhabitants",premature death (women),brandenburg,code12,182.5
2002,"per 100,000 inhabitants",premature death (women),brandenburg,code12,177.1
2003,"per 100,000 inhabitants",premature death (women),brandenburg,code12,173.6
2004,"per 100,000 inhabitants",premature death (women),brandenburg,code12,165.8
2005,"per 100,000 inhabitants",premature death (women),brandenburg,code12,161.6
2006,"per 100,000 inhabitants",premature death (women),brandenburg,code12,157.6
2007,"per 100,000 inhabitants",premature death (women),brandenburg,code12,153.3
2008,"per 100,000 inhabitants",premature death (women),brandenburg,code12,151.2
2009,"per 100,000 inhabitants",premature death (women),brandenburg,code12,150.4
2010,"per 100,000 inhabitants",premature death (women),brandenburg,code12,152.9
2011,"per 100,000 inhabitants",premature death (women),brandenburg,code12,151.8
2012,"per 100,000 inhabitants",premature death (women),brandenburg,code12,145.0
2013,"per 100,000 inhabitants",premature death (women),brandenburg,code12,156.9
2014,"per 100,000 inhabitants",premature death (women),brandenburg,code12,145.0
2015,"per 100,000 inhabitants",premature death (women),brandenburg,code12,153.0
2016,"per 100,000 inhabitants",premature death (women),brandenburg,code12,151.7
2017,"per 100,000 inhabitants",premature death (women),brandenburg,code12,150.9
2018,"per 100,000 inhabitants",premature death (women),brandenburg,code12,152.0
2019,"per 100,000 inhabitants",premature death (women),brandenburg,code12,140.7
2020,"per 100,000 inhabitants",premature death (women),brandenburg,code12,145.0
2021,"per 100,000 inhabitants",premature death (women),brandenburg,code12,155.7
2022,"per 100,000 inhabitants",premature death (women),brandenburg,code12,154.2
2023,"per 100,000 inhabitants",premature death (women),brandenburg,code12,145.6
1991,"per 100,000 inhabitants",premature death (women),bremen,code04,262.1
1992,"per 100,000 inhabitants",premature death (women),bremen,code04,237.4
1993,"per 100,000 inhabitants",premature death (women),bremen,code04,258.8
1994,"per 100,000 inhabitants",premature death (women),bremen,code04,242.3
1995,"per 100,000 inhabitants",premature death (women),bremen,code04,254.5
1996,"per 100,000 inhabitants",premature death (women),bremen,code04,224.3
1997,"per 100,000 inhabitants",premature death (women),bremen,code04,233.8
1998,"per 100,000 inhabitants",premature death (women),bremen,code04,218.3
1999,"per 100,000 inhabitants",premature death (women),bremen,code04,201.0
2000,"per 100,000 inhabitants",premature death (women),bremen,code04,218.1
2001,"per 100,000 inhabitants",premature death (women),bremen,code04,205.3
2002,"per 100,000 inhabitants",premature death (women),bremen,code04,208.9
2003,"per 100,000 inhabitants",premature death (women),bremen,code04,191.8
2004,"per 100,000 inhabitants",premature death (women),bremen,code04,204.7
2005,"per 100,000 inhabitants",premature death (women),bremen,code04,188.3
2006,"per 100,000 inhabitants",premature death (women),bremen,code04,188.4
2007,"per 100,000 inhabitants",premature death (women),bremen,code04,188.7
2008,"per 100,000 inhabitants",premature death (women),bremen,code04,192.0
2009,"per 100,000 inhabitants",premature death (women),bremen,code04,196.0
2010,"per 100,000 inhabitants",premature death (women),bremen,code04,174.5
2011,"per 100,000 inhabitants",premature death (women),bremen,code04,190.6
2012,"per 100,000 inhabitants",premature death (women),bremen,code04,190.6
2013,"per 100,000 inhabitants",premature death (women),bremen,code04,187.1
2014,"per 100,000 inhabitants",premature death (women),bremen,code04,184.9
2015,"per 100,000 inhabitants",premature death (women),bremen,code04,179.6
2016,"per 100,000 inhabitants",premature death (women),bremen,code04,185.1
2017,"per 100,000 inhabitants",premature death (women),bremen,code04,162.0
2018,"per 100,000 inhabitants",premature death (women),bremen,code04,188.9
2019,"per 100,000 inhabitants",premature death (women),bremen,code04,169.4
2020,"per 100,000 inhabitants",premature death (women),bremen,code04,177.1
2021,"per 100,000 inhabitants",premature death (women),bremen,code04,181.2
2022,"per 100,000 inhabitants",premature death (women),bremen,code04,195.5
2023,"per 100,000 inhabitants",premature death (women),bremen,code04,196.6
1991,"per 100,000 inhabitants",premature death (women),hamburg,code02,246.4
1992,"per 100,000 inhabitants",premature death (women),hamburg,code02,239.8
1993,"per 100,000 inhabitants",premature death (women),hamburg,code02,242.8
1994,"per 100,000 inhabitants",premature death (women),hamburg,code02,236.5
1995,"per 100,000 inhabitants",premature death (women),hamburg,code02,224.8
1996,"per 100,000 inhabitants",premature death (women),hamburg,code02,226.9
1997,"per 100,000 inhabitants",premature death (women),hamburg,code02,219.5
1998,"per 100,000 inhabitants",premature death (women),hamburg,code02,207.1
1999,"per 100,000 inhabitants",premature death (women),hamburg,code02,210.0
2000,"per 100,000 inhabitants",premature death (women),hamburg,code02,202.6
2001,"per 100,000 inhabitants",premature death (women),hamburg,code02,195.0
2002,"per 100,000 inhabitants",premature death (women),hamburg,code02,196.3
2003,"per 100,000 inhabitants",premature death (women),hamburg,code02,186.7
2004,"per 100,000 inhabitants",premature death (women),hamburg,code02,190.9
2005,"per 100,000 inhabitants",premature death (women),hamburg,code02,178.1
2006,"per 100,000 inhabitants",premature death (women),hamburg,code02,178.4
2007,"per 100,000 inhabitants",premature death (women),hamburg,code02,176.7
2008,"per 100,000 inhabitants",premature death (women),hamburg,code02,167.2
2009,"per 100,000 inhabitants",premature death (women),hamburg,code02,177.6
2010,"per 100,000 inhabitants",premature death (women),hamburg,code02,160.2
2011,"per 100,000 inhabitants",premature death (women),hamburg,code02,172.4
2012,"per 100,000 inhabitants",premature death (women),hamburg,code02,170.8
2013,"per 100,000 inhabitants",premature death (women),hamburg,code02,167.0
2014,"per 100,000 inhabitants",premature death (women),hamburg,code02,162.5
2015,"per 100,000 inhabitants",premature death (women),hamburg,code02,171.9
2016,"per 100,000 inhabitants",premature death (women),hamburg,code02,157.9
2017,"per 100,000 inhabitants",premature death (women),hamburg,code02,156.9
2018,"per 100,000 inhabitants",premature death (women),hamburg,code02,159.0
2019,"per 100,000 inhabitants",premature death (women),hamburg,code02,150.4
2020,"per 100,000 inhabitants",premature death (women),hamburg,code02,145.4
2021,"per 100,000 inhabitants",premature death (women),hamburg,code02,157.6
2022,"per 100,000 inhabitants",premature death (women),hamburg,code02,153.0
2023,"per 100,000 inhabitants",premature death (women),hamburg,code02,145.5
1991,"per 100,000 inhabitants",premature death (women),hesse,code06,220.5
1992,"per 100,000 inhabitants",premature death (women),hesse,code06,206.8
1993,"per 100,000 inhabitants",premature death (women),hesse,code06,212.3
1994,"per 100,000 inhabitants",premature death (women),hesse,code06,206.6
1995,"per 100,000 inhabitants",premature death (women),hesse,code06,203.4
1996,"per 100,000 inhabitants",premature death (women),hesse,code06,194.1
1997,"per 100,000 inhabitants",premature death (women),hesse,code06,194.2
1998,"per 100,000 inhabitants",premature death (women),hesse,code06,183.0
1999,"per 100,000 inhabitants",premature death (women),hesse,code06,184.3
2000,"per 100,000 inhabitants",premature death (women),hesse,code06,178.6
2001,"per 100,000 inhabitants",premature death (women),hesse,code06,174.6
2002,"per 100,000 inhabitants",premature death (women),hesse,code06,172.7
2003,"per 100,000 inhabitants",premature death (women),hesse,code06,166.1
2004,"per 100,000 inhabitants",premature death (women),hesse,code06,163.4
2005,"per 100,000 inhabitants",premature death (women),hesse,code06,157.2
2006,"per 100,000 inhabitants",premature death (women),hesse,code06,153.0
2007,"per 100,000 inhabitants",premature death (women),hesse,code06,155.0
2008,"per 100,000 inhabitants",premature death (women),hesse,code06,152.2
2009,"per 100,000 inhabitants",premature death (women),hesse,code06,152.3
2010,"per 100,000 inhabitants",premature death (women),hesse,code06,150.6
2011,"per 100,000 inhabitants",premature death (women),hesse,code06,155.8
2012,"per 100,000 inhabitants",premature death (women),hesse,code06,152.3
2013,"per 100,000 inhabitants",premature death (women),hesse,code06,151.1
2014,"per 100,000 inhabitants",premature death (women),hesse,code06,145.2
2015,"per 100,000 inhabitants",premature death (women),hesse,code06,145.9
2016,"per 100,000 inhabitants",premature death (women),hesse,code06,145.0
2017,"per 100,000 inhabitants",premature death (women),hesse,code06,143.4
2018,"per 100,000 inhabitants",premature death (women),hesse,code06,145.2
2019,"per 100,000 inhabitants",premature death (women),hesse,code06,140.3
2020,"per 100,000 inhabitants",premature death (women),hesse,code06,140.0
2021,"per 100,000 inhabitants",premature death (women),hesse,code06,144.1
2022,"per 100,000 inhabitants",premature death (women),hesse,code06,148.3
2023,"per 100,000 inhabitants",premature death (women),hesse,code06,142.1
1991,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,312.1
1992,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,293.8
1993,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,275.6
1994,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,266.3
1995,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,248.7
1996,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,242.1
1997,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,224.2
1998,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,218.8
1999,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,203.4
2000,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,201.9
2001,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,190.2
2002,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,190.0
2003,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,176.5
2004,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,167.8
2005,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,169.6
2006,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,161.9
2007,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,157.7
2008,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,164.5
2009,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,155.9
2010,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,159.6
2011,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,162.5
2012,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,151.3
2013,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,164.3
2014,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,148.8
2015,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,159.1
2016,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,154.2
2017,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,146.7
2018,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,161.5
2019,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,161.4
2020,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,163.6
2021,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,167.5
2022,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,164.6
2023,"per 100,000 inhabitants",premature death (women),mecklenburg western pomerania,code13,160.4
1991,"per 100,000 inhabitants",premature death (women),lower saxony,code03,218.5
1992,"per 100,000 inhabitants",premature death (women),lower saxony,code03,210.9
1993,"per 100,000 inhabitants",premature death (women),lower saxony,code03,214.4
1994,"per 100,000 inhabitants",premature death (women),lower saxony,code03,207.9
1995,"per 100,000 inhabitants",premature death (women),lower saxony,code03,208.0
1996,"per 100,000 inhabitants",premature death (women),lower saxony,code03,208.2
1997,"per 100,000 inhabitants",premature death (women),lower saxony,code03,196.8
1998,"per 100,000 inhabitants",premature death (women),lower saxony,code03,192.0
1999,"per 100,000 inhabitants",premature death (women),lower saxony,code03,191.1
2000,"per 100,000 inhabitants",premature death (women),lower saxony,code03,186.4
2001,"per 100,000 inhabitants",premature death (women),lower saxony,code03,181.6
2002,"per 100,000 inhabitants",premature death (women),lower saxony,code03,181.2
2003,"per 100,000 inhabitants",premature death (women),lower saxony,code03,178.8
2004,"per 100,000 inhabitants",premature death (women),lower saxony,code03,168.3
2005,"per 100,000 inhabitants",premature death (women),lower saxony,code03,168.5
2006,"per 100,000 inhabitants",premature death (women),lower saxony,code03,166.8
2007,"per 100,000 inhabitants",premature death (women),lower saxony,code03,161.1
2008,"per 100,000 inhabitants",premature death (women),lower saxony,code03,165.7
2009,"per 100,000 inhabitants",premature death (women),lower saxony,code03,164.9
2010,"per 100,000 inhabitants",premature death (women),lower saxony,code03,161.4
2011,"per 100,000 inhabitants",premature death (women),lower saxony,code03,165.6
2012,"per 100,000 inhabitants",premature death (women),lower saxony,code03,158.4
2013,"per 100,000 inhabitants",premature death (women),lower saxony,code03,166.0
2014,"per 100,000 inhabitants",premature death (women),lower saxony,code03,158.7
2015,"per 100,000 inhabitants",premature death (women),lower saxony,code03,158.3
2016,"per 100,000 inhabitants",premature death (women),lower saxony,code03,162.4
2017,"per 100,000 inhabitants",premature death (women),lower saxony,code03,160.4
2018,"per 100,000 inhabitants",premature death (women),lower saxony,code03,162.6
2019,"per 100,000 inhabitants",premature death (women),lower saxony,code03,154.6
2020,"per 100,000 inhabitants",premature death (women),lower saxony,code03,152.0
2021,"per 100,000 inhabitants",premature death (women),lower saxony,code03,160.7
2022,"per 100,000 inhabitants",premature death (women),lower saxony,code03,162.6
2023,"per 100,000 inhabitants",premature death (women),lower saxony,code03,158.2
1991,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,227.9
1992,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,219.1
1993,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,222.6
1994,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,216.4
1995,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,214.3
1996,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,210.1
1997,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,203.6
1998,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,198.8
1999,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,195.1
2000,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,193.6
2001,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,188.9
2002,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,187.4
2003,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,185.5
2004,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,178.5
2005,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,176.2
2006,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,170.6
2007,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,171.7
2008,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,172.8
2009,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,171.0
2010,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,171.6
2011,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,168.7
2012,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,166.5
2013,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,172.5
2014,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,164.2
2015,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,169.9
2016,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,166.6
2017,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,163.1
2018,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,165.0
2019,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,160.7
2020,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,161.0
2021,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,165.6
2022,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,167.7
2023,"per 100,000 inhabitants",premature death (women),north rhine-westphalia,code05,160.9
1991,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,209.9
1992,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,216.4
1993,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,210.3
1994,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,203.5
1995,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,204.8
1996,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,197.1
1997,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,196.0
1998,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,189.5
1999,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,183.8
2000,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,184.8
2001,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,176.9
2002,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,179.4
2003,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,172.9
2004,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,171.5
2005,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,168.6
2006,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,161.6
2007,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,165.4
2008,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,162.1
2009,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,163.7
2010,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,155.6
2011,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,162.4
2012,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,153.4
2013,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,161.1
2014,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,153.6
2015,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,150.1
2016,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,151.5
2017,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,154.2
2018,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,154.4
2019,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,154.0
2020,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,153.3
2021,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,151.9
2022,"per 100,000 inhabitants",premature death (women),rhineland palatinate,code07,154.2
