Year,Units,COMMENT_OBS_0,länder,GeoCode,sector,Value
2015,percentage,,bavaria,code09,,3.08
2016,percentage,,bavaria,code09,,3.08
2017,percentage,,bavaria,code09,,3.05
2018,percentage,,bavaria,code09,,3.13
2019,percentage,,bavaria,code09,,3.33
2020,percentage,,bavaria,code09,,3.31
2021,percentage,,bavaria,code09,,3.34
2022,percentage,,bavaria,code09,,3.37
2023,percentage,,bavaria,code09,,3.41
2025,percentage,…,bavaria,code09,,
1991,percentage,,berlin,code11,,
1992,percentage,,berlin,code11,,
1993,percentage,,berlin,code11,,
1994,percentage,,berlin,code11,,
1995,percentage,,berlin,code11,,2.91
1996,percentage,,berlin,code11,,
1997,percentage,,berlin,code11,,3.17
1998,percentage,,berlin,code11,,
1999,percentage,,berlin,code11,,3.32
2000,percentage,,berlin,code11,,3.38
2001,percentage,,berlin,code11,,3.75
2002,percentage,,berlin,code11,,3.85
2003,percentage,,berlin,code11,,3.63
2004,percentage,,berlin,code11,,3.63
2005,percentage,,berlin,code11,,3.43
2006,percentage,,berlin,code11,,3.47
2007,percentage,,berlin,code11,,2.97
2008,percentage,,berlin,code11,,3.1
2009,percentage,,berlin,code11,,3.3
2010,percentage,,berlin,code11,,3.36
2011,percentage,,berlin,code11,,3.26
2012,percentage,,berlin,code11,,3.36
2013,percentage,,berlin,code11,,3.46
2014,percentage,,berlin,code11,,3.5
2015,percentage,,berlin,code11,,3.41
2016,percentage,,berlin,code11,,3.34
2017,percentage,,berlin,code11,,3.3
2018,percentage,,berlin,code11,,3.36
2019,percentage,,berlin,code11,,3.28
2020,percentage,,berlin,code11,,3.23
2021,percentage,,berlin,code11,,3.23
2022,percentage,,berlin,code11,,3.13
2023,percentage,,berlin,code11,,3.07
2025,percentage,…,berlin,code11,,
1991,percentage,,brandenburg,code12,,
1992,percentage,,brandenburg,code12,,
1993,percentage,,brandenburg,code12,,
1994,percentage,,brandenburg,code12,,
1995,percentage,,brandenburg,code12,,1.33
1996,percentage,,brandenburg,code12,,
1997,percentage,,brandenburg,code12,,1.44
1998,percentage,,brandenburg,code12,,
1999,percentage,,brandenburg,code12,,1.55
2000,percentage,,brandenburg,code12,,1.42
2001,percentage,,brandenburg,code12,,1.42
2002,percentage,,brandenburg,code12,,1.34
2003,percentage,,brandenburg,code12,,1.16
2004,percentage,,brandenburg,code12,,1.22
2005,percentage,,brandenburg,code12,,1.15
2006,percentage,,brandenburg,code12,,1.2
2007,percentage,,brandenburg,code12,,1.2
2008,percentage,,brandenburg,code12,,1.29
2009,percentage,,brandenburg,code12,,1.37
2010,percentage,,brandenburg,code12,,1.39
2011,percentage,,brandenburg,code12,,1.61
2012,percentage,,brandenburg,code12,,1.6
2013,percentage,,brandenburg,code12,,1.5
2014,percentage,,brandenburg,code12,,1.53
2015,percentage,,brandenburg,code12,,1.64
2016,percentage,,brandenburg,code12,,1.69
2017,percentage,,brandenburg,code12,,1.66
2018,percentage,,brandenburg,code12,,1.65
2019,percentage,,brandenburg,code12,,1.76
2020,percentage,,brandenburg,code12,,1.81
2021,percentage,,brandenburg,code12,,1.71
2022,percentage,,brandenburg,code12,,1.67
2023,percentage,,brandenburg,code12,,1.48
2025,percentage,…,brandenburg,code12,,
1991,percentage,,bremen,code04,,
1992,percentage,,bremen,code04,,
1993,percentage,,bremen,code04,,
1994,percentage,,bremen,code04,,
1995,percentage,,bremen,code04,,2.84
1996,percentage,,bremen,code04,,
1997,percentage,,bremen,code04,,2.01
1998,percentage,,bremen,code04,,
1999,percentage,,bremen,code04,,2.11
2000,percentage,,bremen,code04,,2.09
2001,percentage,,bremen,code04,,2.1
2002,percentage,,bremen,code04,,2.23
2003,percentage,,bremen,code04,,2.6
2004,percentage,,bremen,code04,,2.61
2005,percentage,,bremen,code04,,2.12
2006,percentage,,bremen,code04,,2.16
2007,percentage,,bremen,code04,,2.13
2008,percentage,,bremen,code04,,2.36
2009,percentage,,bremen,code04,,2.59
2010,percentage,,bremen,code04,,2.61
2011,percentage,,bremen,code04,,2.7
2012,percentage,,bremen,code04,,2.6
2013,percentage,,bremen,code04,,2.69
2014,percentage,,bremen,code04,,2.8
2015,percentage,,bremen,code04,,2.81
2016,percentage,,bremen,code04,,2.86
2017,percentage,,bremen,code04,,2.77
2018,percentage,,bremen,code04,,2.84
2019,percentage,,bremen,code04,,3.01
2020,percentage,,bremen,code04,,3.69
2021,percentage,,bremen,code04,,3.15
2022,percentage,,bremen,code04,,3.05
2023,percentage,,bremen,code04,,2.84
2025,percentage,…,bremen,code04,,
1991,percentage,,hamburg,code02,,
1992,percentage,,hamburg,code02,,
1993,percentage,,hamburg,code02,,
1994,percentage,,hamburg,code02,,
1995,percentage,,hamburg,code02,,1.77
1996,percentage,,hamburg,code02,,
1997,percentage,,hamburg,code02,,1.77
1998,percentage,,hamburg,code02,,
1999,percentage,,hamburg,code02,,1.66
2000,percentage,,hamburg,code02,,1.67
2001,percentage,,hamburg,code02,,1.37
2002,percentage,,hamburg,code02,,1.33
2003,percentage,,hamburg,code02,,1.69
2004,percentage,,hamburg,code02,,1.59
2005,percentage,,hamburg,code02,,1.74
2006,percentage,,hamburg,code02,,1.81
2007,percentage,,hamburg,code02,,1.78
2008,percentage,,hamburg,code02,,1.88
2009,percentage,,hamburg,code02,,2.05
2010,percentage,,hamburg,code02,,2.03
2011,percentage,,hamburg,code02,,2.13
2012,percentage,,hamburg,code02,,2.17
2013,percentage,,hamburg,code02,,2.18
2014,percentage,,hamburg,code02,,2.27
2015,percentage,,hamburg,code02,,2.15
2016,percentage,,hamburg,code02,,2.18
2017,percentage,,hamburg,code02,,2.06
2018,percentage,,hamburg,code02,,2.12
2019,percentage,,hamburg,code02,,2.08
2020,percentage,,hamburg,code02,,2.14
2021,percentage,,hamburg,code02,,2.05
2022,percentage,,hamburg,code02,,1.98
2023,percentage,,hamburg,code02,,2.65
2025,percentage,…,hamburg,code02,,
1991,percentage,,hesse,code06,,
1992,percentage,,hesse,code06,,
1993,percentage,,hesse,code06,,
1994,percentage,,hesse,code06,,
1995,percentage,,hesse,code06,,2.13
1996,percentage,,hesse,code06,,
1997,percentage,,hesse,code06,,2.11
1998,percentage,,hesse,code06,,
1999,percentage,,hesse,code06,,2.38
2000,percentage,,hesse,code06,,2.44
2001,percentage,,hesse,code06,,2.29
2002,percentage,,hesse,code06,,2.33
2003,percentage,,hesse,code06,,2.44
2004,percentage,,hesse,code06,,2.42
2005,percentage,,hesse,code06,,2.43
2006,percentage,,hesse,code06,,2.51
2007,percentage,,hesse,code06,,2.46
2008,percentage,,hesse,code06,,2.65
2009,percentage,,hesse,code06,,2.9
2010,percentage,,hesse,code06,,2.92
2011,percentage,,hesse,code06,,2.81
2012,percentage,,hesse,code06,,2.94
2013,percentage,,hesse,code06,,2.74
2014,percentage,,hesse,code06,,2.8
2015,percentage,,hesse,code06,,2.76
2016,percentage,,hesse,code06,,2.77
2017,percentage,,hesse,code06,,2.84
2018,percentage,,hesse,code06,,2.93
2019,percentage,,hesse,code06,,3.02
2020,percentage,,hesse,code06,,2.98
2021,percentage,,hesse,code06,,2.99
2022,percentage,,hesse,code06,,3.04
2023,percentage,,hesse,code06,,3.01
2025,percentage,…,hesse,code06,,
1991,percentage,,mecklenburg western pomerania,code13,,
1992,percentage,,mecklenburg western pomerania,code13,,
1993,percentage,,mecklenburg western pomerania,code13,,
1994,percentage,,mecklenburg western pomerania,code13,,
1995,percentage,,mecklenburg western pomerania,code13,,0.94
1996,percentage,,mecklenburg western pomerania,code13,,
1997,percentage,,mecklenburg western pomerania,code13,,0.96
1998,percentage,,mecklenburg western pomerania,code13,,
1999,percentage,,mecklenburg western pomerania,code13,,1.02
2000,percentage,,mecklenburg western pomerania,code13,,1.03
2001,percentage,,mecklenburg western pomerania,code13,,1.16
2002,percentage,,mecklenburg western pomerania,code13,,1.19
2003,percentage,,mecklenburg western pomerania,code13,,1.34
2004,percentage,,mecklenburg western pomerania,code13,,1.38
2005,percentage,,mecklenburg western pomerania,code13,,1.45
2006,percentage,,mecklenburg western pomerania,code13,,1.4
2007,percentage,,mecklenburg western pomerania,code13,,1.37
2008,percentage,,mecklenburg western pomerania,code13,,1.51
2009,percentage,,mecklenburg western pomerania,code13,,1.8
2010,percentage,,mecklenburg western pomerania,code13,,1.95
2011,percentage,,mecklenburg western pomerania,code13,,2.01
2012,percentage,,mecklenburg western pomerania,code13,,2.07
2013,percentage,,mecklenburg western pomerania,code13,,1.78
2014,percentage,,mecklenburg western pomerania,code13,,1.83
2015,percentage,,mecklenburg western pomerania,code13,,1.84
2016,percentage,,mecklenburg western pomerania,code13,,1.82
2017,percentage,,mecklenburg western pomerania,code13,,1.74
2018,percentage,,mecklenburg western pomerania,code13,,1.79
2019,percentage,,mecklenburg western pomerania,code13,,1.75
2020,percentage,,mecklenburg western pomerania,code13,,1.78
2021,percentage,,mecklenburg western pomerania,code13,,1.76
2022,percentage,,mecklenburg western pomerania,code13,,1.69
2023,percentage,,mecklenburg western pomerania,code13,,1.37
2025,percentage,…,mecklenburg western pomerania,code13,,
1991,percentage,,lower saxony,code03,,
1992,percentage,,lower saxony,code03,,
1993,percentage,,lower saxony,code03,,
1994,percentage,,lower saxony,code03,,
1995,percentage,,lower saxony,code03,,1.7
1996,percentage,,lower saxony,code03,,
1997,percentage,,lower saxony,code03,,1.72
1998,percentage,,lower saxony,code03,,
1999,percentage,,lower saxony,code03,,2.26
2000,percentage,,lower saxony,code03,,2.27
2001,percentage,,lower saxony,code03,,2.4
2002,percentage,,lower saxony,code03,,2.53
2003,percentage,,lower saxony,code03,,2.79
2004,percentage,,lower saxony,code03,,2.73
2005,percentage,,lower saxony,code03,,2.19
2006,percentage,,lower saxony,code03,,2.13
2007,percentage,,lower saxony,code03,,2.35
2008,percentage,,lower saxony,code03,,2.49
2009,percentage,,lower saxony,code03,,2.56
2010,percentage,,lower saxony,code03,,2.49
2011,percentage,,lower saxony,code03,,2.66
2012,percentage,,lower saxony,code03,,2.71
2013,percentage,,lower saxony,code03,,2.78
2014,percentage,,lower saxony,code03,,2.8
2015,percentage,,lower saxony,code03,,3.34
2016,percentage,,lower saxony,code03,,3.21
2017,percentage,,lower saxony,code03,,3.05
2018,percentage,,lower saxony,code03,,3.07
2019,percentage,,lower saxony,code03,,3.06
2020,percentage,,lower saxony,code03,,3.01
2021,percentage,,lower saxony,code03,,2.68
2022,percentage,,lower saxony,code03,,2.66
2023,percentage,,lower saxony,code03,,2.74
2025,percentage,…,lower saxony,code03,,
1991,percentage,,north rhine-westphalia,code05,,
1992,percentage,,north rhine-westphalia,code05,,
1993,percentage,,north rhine-westphalia,code05,,
1994,percentage,,north rhine-westphalia,code05,,
1995,percentage,,north rhine-westphalia,code05,,1.57
1996,percentage,,north rhine-westphalia,code05,,
1997,percentage,,north rhine-westphalia,code05,,1.61
1998,percentage,,north rhine-westphalia,code05,,
1999,percentage,,north rhine-westphalia,code05,,1.72
2000,percentage,,north rhine-westphalia,code05,,1.76
2001,percentage,,north rhine-westphalia,code05,,1.69
2002,percentage,,north rhine-westphalia,code05,,1.74
2003,percentage,,north rhine-westphalia,code05,,1.73
2004,percentage,,north rhine-westphalia,code05,,1.7
2005,percentage,,north rhine-westphalia,code05,,1.72
2006,percentage,,north rhine-westphalia,code05,,1.75
2007,percentage,,north rhine-westphalia,code05,,1.7
2008,percentage,,north rhine-westphalia,code05,,1.79
2009,percentage,,north rhine-westphalia,code05,,1.94
2010,percentage,,north rhine-westphalia,code05,,1.95
2011,percentage,,north rhine-westphalia,code05,,1.96
2012,percentage,,north rhine-westphalia,code05,,2.05
2013,percentage,,north rhine-westphalia,code05,,1.94
2014,percentage,,north rhine-westphalia,code05,,1.99
2015,percentage,,north rhine-westphalia,code05,,1.95
2016,percentage,,north rhine-westphalia,code05,,1.99
2017,percentage,,north rhine-westphalia,code05,,2.07
2018,percentage,,north rhine-westphalia,code05,,2.12
2019,percentage,,north rhine-westphalia,code05,,2.12
2020,percentage,,north rhine-westphalia,code05,,2.12
2021,percentage,,north rhine-westphalia,code05,,2.17
2022,percentage,,north rhine-westphalia,code05,,2.18
2023,percentage,,north rhine-westphalia,code05,,2.28
2025,percentage,…,north rhine-westphalia,code05,,
1991,percentage,,rhineland palatinate,code07,,
1992,percentage,,rhineland palatinate,code07,,
1993,percentage,,rhineland palatinate,code07,,
1994,percentage,,rhineland palatinate,code07,,
1995,percentage,,rhineland palatinate,code07,,1.71
1996,percentage,,rhineland palatinate,code07,,
1997,percentage,,rhineland palatinate,code07,,2.0
1998,percentage,,rhineland palatinate,code07,,
1999,percentage,,rhineland palatinate,code07,,2.14
2000,percentage,,rhineland palatinate,code07,,2.19
2001,percentage,,rhineland palatinate,code07,,1.91
2002,percentage,,rhineland palatinate,code07,,1.9
2003,percentage,,rhineland palatinate,code07,,1.72
2004,percentage,,rhineland palatinate,code07,,1.69
2005,percentage,,rhineland palatinate,code07,,1.65
2006,percentage,,rhineland palatinate,code07,,1.73
2007,percentage,,rhineland palatinate,code07,,1.77
2008,percentage,,rhineland palatinate,code07,,1.87
2009,percentage,,rhineland palatinate,code07,,1.98
2010,percentage,,rhineland palatinate,code07,,1.99
2011,percentage,,rhineland palatinate,code07,,1.98
2012,percentage,,rhineland palatinate,code07,,2.0
2013,percentage,,rhineland palatinate,code07,,2.11
2014,percentage,,rhineland palatinate,code07,,2.11
2015,percentage,,rhineland palatinate,code07,,2.35
2016,percentage,,rhineland palatinate,code07,,2.42
2017,percentage,,rhineland palatinate,code07,,2.44
2018,percentage,,rhineland palatinate,code07,,2.52
2019,percentage,,rhineland palatinate,code07,,2.55
2020,percentage,,rhineland palatinate,code07,,2.48
2021,percentage,,rhineland palatinate,code07,,2.69
2022,percentage,,rhineland palatinate,code07,,2.73
2023,percentage,,rhineland palatinate,code07,,3.56
2025,percentage,…,rhineland palatinate,code07,,
1991,percentage,,saarland,code10,,
1992,percentage,,saarland,code10,,
1993,percentage,,saarland,code10,,
1994,percentage,,saarland,code10,,
1995,percentage,,saarland,code10,,0.88
1996,percentage,,saarland,code10,,
1997,percentage,,saarland,code10,,0.95
1998,percentage,,saarland,code10,,
1999,percentage,,saarland,code10,,0.96
2000,percentage,,saarland,code10,,0.96
2001,percentage,,saarland,code10,,1.02
2002,percentage,,saarland,code10,,1.0
2003,percentage,,saarland,code10,,1.04
2004,percentage,,saarland,code10,,1.04
2005,percentage,,saarland,code10,,1.0
2006,percentage,,saarland,code10,,0.98
2007,percentage,,saarland,code10,,1.02
2008,percentage,,saarland,code10,,1.09
2009,percentage,,saarland,code10,,1.23
2010,percentage,,saarland,code10,,1.27
2011,percentage,,saarland,code10,,1.45
2012,percentage,,saarland,code10,,1.44
2013,percentage,,saarland,code10,,1.43
2014,percentage,,saarland,code10,,1.39
2015,percentage,,saarland,code10,,1.54
2016,percentage,,saarland,code10,,1.52
2017,percentage,,saarland,code10,,1.7
2018,percentage,,saarland,code10,,1.7
2019,percentage,,saarland,code10,,1.82
2020,percentage,,saarland,code10,,1.86
2021,percentage,,saarland,code10,,1.91
2022,percentage,,saarland,code10,,1.82
2023,percentage,,saarland,code10,,1.64
2025,percentage,…,saarland,code10,,
1991,percentage,,saxony,code14,,
1992,percentage,,saxony,code14,,
1993,percentage,,saxony,code14,,
1994,percentage,,saxony,code14,,
1995,percentage,,saxony,code14,,1.87
1996,percentage,,saxony,code14,,
1997,percentage,,saxony,code14,,2.1
1998,percentage,,saxony,code14,,
1999,percentage,,saxony,code14,,2.32
2000,percentage,,saxony,code14,,2.39
2001,percentage,,saxony,code14,,2.37
2002,percentage,,saxony,code14,,2.36
2003,percentage,,saxony,code14,,2.22
2004,percentage,,saxony,code14,,2.16
2005,percentage,,saxony,code14,,2.34
2006,percentage,,saxony,code14,,2.28
2007,percentage,,saxony,code14,,2.55
2008,percentage,,saxony,code14,,2.75
2009,percentage,,saxony,code14,,2.68
2010,percentage,,saxony,code14,,2.73
2011,percentage,,saxony,code14,,2.76
2012,percentage,,saxony,code14,,2.75
2013,percentage,,saxony,code14,,2.71
2014,percentage,,saxony,code14,,2.61
2015,percentage,,saxony,code14,,2.68
2016,percentage,,saxony,code14,,2.68
2017,percentage,,saxony,code14,,2.74
2018,percentage,,saxony,code14,,2.82
2019,percentage,,saxony,code14,,2.91
2020,percentage,,saxony,code14,,2.98
2021,percentage,,saxony,code14,,3.06
2022,percentage,,saxony,code14,,3.0
2023,percentage,,saxony,code14,,2.26
2025,percentage,…,saxony,code14,,
1991,percentage,,saxony-anhalt,code15,,
1992,percentage,,saxony-anhalt,code15,,
1993,percentage,,saxony-anhalt,code15,,
1994,percentage,,saxony-anhalt,code15,,
1995,percentage,,saxony-anhalt,code15,,1.34
1996,percentage,,saxony-anhalt,code15,,
1997,percentage,,saxony-anhalt,code15,,1.28
1998,percentage,,saxony-anhalt,code15,,
1999,percentage,,saxony-anhalt,code15,,1.29
2000,percentage,,saxony-anhalt,code15,,1.39
2001,percentage,,saxony-anhalt,code15,,1.3
2002,percentage,,saxony-anhalt,code15,,1.22
2003,percentage,,saxony-anhalt,code15,,1.18
2004,percentage,,saxony-anhalt,code15,,1.14
2005,percentage,,saxony-anhalt,code15,,1.21
2006,percentage,,saxony-anhalt,code15,,1.19
2007,percentage,,saxony-anhalt,code15,,1.17
2008,percentage,,saxony-anhalt,code15,,1.19
2009,percentage,,saxony-anhalt,code15,,1.36
2010,percentage,,saxony-anhalt,code15,,1.39
2011,percentage,,saxony-anhalt,code15,,1.45
2012,percentage,,saxony-anhalt,code15,,1.37
2013,percentage,,saxony-anhalt,code15,,1.4
2014,percentage,,saxony-anhalt,code15,,1.44
2015,percentage,,saxony-anhalt,code15,,1.4
2016,percentage,,saxony-anhalt,code15,,1.45
2017,percentage,,saxony-anhalt,code15,,1.5
2018,percentage,,saxony-anhalt,code15,,1.57
2019,percentage,,saxony-anhalt,code15,,1.52
2020,percentage,,saxony-anhalt,code15,,1.55
2021,percentage,,saxony-anhalt,code15,,1.6
2022,percentage,,saxony-anhalt,code15,,1.59
2023,percentage,,saxony-anhalt,code15,,1.44
2025,percentage,…,saxony-anhalt,code15,,
1991,percentage,,schleswig-holstein,code01,,
1992,percentage,,schleswig-holstein,code01,,
1993,percentage,,schleswig-holstein,code01,,
1994,percentage,,schleswig-holstein,code01,,
1995,percentage,,schleswig-holstein,code01,,1.08
1996,percentage,,schleswig-holstein,code01,,
1997,percentage,,schleswig-holstein,code01,,1.06
1998,percentage,,schleswig-holstein,code01,,
1999,percentage,,schleswig-holstein,code01,,1.08
2000,percentage,,schleswig-holstein,code01,,1.08
2001,percentage,,schleswig-holstein,code01,,1.12
2002,percentage,,schleswig-holstein,code01,,1.2
2003,percentage,,schleswig-holstein,code01,,1.14
2004,percentage,,schleswig-holstein,code01,,1.08
2005,percentage,,schleswig-holstein,code01,,1.14
2006,percentage,,schleswig-holstein,code01,,1.2
2007,percentage,,schleswig-holstein,code01,,1.18
2008,percentage,,schleswig-holstein,code01,,1.22
2009,percentage,,schleswig-holstein,code01,,1.28
2010,percentage,,schleswig-holstein,code01,,1.3
2011,percentage,,schleswig-holstein,code01,,1.41
2012,percentage,,schleswig-holstein,code01,,1.44
2013,percentage,,schleswig-holstein,code01,,1.49
2014,percentage,,schleswig-holstein,code01,,1.55
2015,percentage,,schleswig-holstein,code01,,1.5
2016,percentage,,schleswig-holstein,code01,,1.53
2017,percentage,,schleswig-holstein,code01,,1.55
2018,percentage,,schleswig-holstein,code01,,1.62
2019,percentage,,schleswig-holstein,code01,,1.65
2020,percentage,,schleswig-holstein,code01,,1.6
2021,percentage,,schleswig-holstein,code01,,1.66
2022,percentage,,schleswig-holstein,code01,,1.63
2023,percentage,,schleswig-holstein,code01,,1.53
2025,percentage,…,schleswig-holstein,code01,,
1991,percentage,,thuringia,code16,,
1992,percentage,,thuringia,code16,,
1993,percentage,,thuringia,code16,,
1994,percentage,,thuringia,code16,,
1995,percentage,,thuringia,code16,,1.58
1996,percentage,,thuringia,code16,,
1997,percentage,,thuringia,code16,,1.72
1998,percentage,,thuringia,code16,,
1999,percentage,,thuringia,code16,,1.63
2000,percentage,,thuringia,code16,,1.71
2001,percentage,,thuringia,code16,,2.04
2002,percentage,,thuringia,code16,,2.13
2003,percentage,,thuringia,code16,,1.89
2004,percentage,,thuringia,code16,,1.89
2005,percentage,,thuringia,code16,,1.86
2006,percentage,,thuringia,code16,,1.87
2007,percentage,,thuringia,code16,,1.86
2008,percentage,,thuringia,code16,,2.0
2009,percentage,,thuringia,code16,,2.14
2010,percentage,,thuringia,code16,,2.13
2011,percentage,,thuringia,code16,,2.09
2012,percentage,,thuringia,code16,,2.16
2013,percentage,,thuringia,code16,,2.13
2014,percentage,,thuringia,code16,,2.1
2015,percentage,,thuringia,code16,,2.03
2016,percentage,,thuringia,code16,,2.04
2017,percentage,,thuringia,code16,,2.19
2018,percentage,,thuringia,code16,,2.25
2019,percentage,,thuringia,code16,,2.29
2020,percentage,,thuringia,code16,,2.39
2021,percentage,,thuringia,code16,,2.72
2022,percentage,,thuringia,code16,,2.74
2023,percentage,,thuringia,code16,,2.6
2025,percentage,…,thuringia,code16,,
1991,percentage,,,,government and private non-profit institutions,
1992,percentage,,,,government and private non-profit institutions,
1993,percentage,,,,government and private non-profit institutions,
1994,percentage,,,,government and private non-profit institutions,
1995,percentage,,,,government and private non-profit institutions,0.33
1996,percentage,,,,government and private non-profit institutions,
1997,percentage,,,,government and private non-profit institutions,0.32
1998,percentage,,,,government and private non-profit institutions,
1999,percentage,,,,government and private non-profit institutions,0.32
2000,percentage,,,,government and private non-profit institutions,0.32
2001,percentage,,,,government and private non-profit institutions,0.33
2002,percentage,,,,government and private non-profit institutions,0.33
2003,percentage,,,,government and private non-profit institutions,0.33
2004,percentage,,,,government and private non-profit institutions,0.33
2005,percentage,,,,government and private non-profit institutions,0.34
2006,percentage,,,,government and private non-profit institutions,0.34
2007,percentage,,,,government and private non-profit institutions,0.34
2008,percentage,,,,government and private non-profit institutions,0.36
2009,percentage,,,,government and private non-profit institutions,0.4
2010,percentage,,,,government and private non-profit institutions,0.4
2011,percentage,,,,government and private non-profit institutions,0.4
2012,percentage,,,,government and private non-profit institutions,0.41
2013,percentage,,,,government and private non-profit institutions,0.41
2014,percentage,,,,government and private non-profit institutions,0.41
2015,percentage,,,,government and private non-profit institutions,0.4
2016,percentage,,,,government and private non-profit institutions,0.4
2017,percentage,,,,government and private non-profit institutions,0.4
2018,percentage,,,,government and private non-profit institutions,0.41
2019,percentage,,,,government and private non-profit institutions,0.42
2020,percentage,,,,government and private non-profit institutions,0.45
2021,percentage,,,,government and private non-profit institutions,0.46
2022,percentage,,,,government and private non-profit institutions,0.44
2023,percentage,,,,government and private non-profit institutions,0.44
2025,percentage,…,,,government and private non-profit institutions,
1991,percentage,,,,universities,
1992,percentage,,,,universities,
1993,percentage,,,,universities,
1994,percentage,,,,universities,
1995,percentage,,,,universities,0.39
1996,percentage,,,,universities,
1997,percentage,,,,universities,0.39
1998,percentage,,,,universities,
1999,percentage,,,,universities,0.39
2000,percentage,,,,universities,0.39
2001,percentage,,,,universities,0.4
2002,percentage,,,,universities,0.42
2003,percentage,,,,universities,0.42
2004,percentage,,,,universities,0.4
2005,percentage,,,,universities,0.4
2006,percentage,,,,universities,0.4
2007,percentage,,,,universities,0.39
2008,percentage,,,,universities,0.43
2009,percentage,,,,universities,0.48
2010,percentage,,,,universities,0.49
2011,percentage,,,,universities,0.49
2012,percentage,,,,universities,0.5
2013,percentage,,,,universities,0.5
2014,percentage,,,,universities,0.5
2015,percentage,,,,universities,0.5
2016,percentage,,,,universities,0.52
2017,percentage,,,,universities,0.52
2018,percentage,,,,universities,0.54
2019,percentage,,,,universities,0.54
2020,percentage,,,,universities,0.58
2021,percentage,,,,universities,0.56
2022,percentage,,,,universities,0.55
2023,percentage,,,,universities,0.55
2025,percentage,…,,,universities,
1991,percentage,,,,economy,
