Year,Units,time series,area,federal state,GeoCode,Value
2013,gini coefficient,gini coefficient of wealth,eurozone,,,
2014,gini coefficient,gini coefficient of wealth,eurozone,,,0.685
2015,gini coefficient,gini coefficient of wealth,eurozone,,,
2016,gini coefficient,gini coefficient of wealth,eurozone,,,
2017,gini coefficient,gini coefficient of wealth,eurozone,,,0.695
2018,gini coefficient,gini coefficient of wealth,eurozone,,,
2019,gini coefficient,gini coefficient of wealth,eurozone,,,
2020,gini coefficient,gini coefficient of wealth,eurozone,,,
2021,gini coefficient,gini coefficient of wealth,eurozone,,,0.694
2022,gini coefficient,gini coefficient of wealth,eurozone,,,
2023,gini coefficient,gini coefficient of wealth,eurozone,,,
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,baden-wuerttemberg,code08,0.29
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,baden-wuerttemberg,code08,0.29
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,baden-wuerttemberg,code08,0.29
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,baden-wuerttemberg,code08,0.29
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,bavaria,code09,0.29
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,bavaria,code09,0.3
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,bavaria,code09,0.3
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,bavaria,code09,0.3
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,berlin,code11,0.32
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,berlin,code11,0.32
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,berlin,code11,0.31
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,berlin,code11,0.32
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,brandenburg,code12,0.28
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,brandenburg,code12,0.28
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,brandenburg,code12,0.27
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,brandenburg,code12,0.27
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,bremen,code04,0.32
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,bremen,code04,0.33
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,bremen,code04,0.31
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,bremen,code04,0.31
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,hamburg,code02,0.31
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,hamburg,code02,0.33
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,hamburg,code02,0.33
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,hamburg,code02,0.32
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,hesse,code06,0.32
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,hesse,code06,0.32
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,hesse,code06,0.31
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,hesse,code06,0.32
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,mecklenburg western pomerania,code13,0.26
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,mecklenburg western pomerania,code13,0.25
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,mecklenburg western pomerania,code13,0.25
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,mecklenburg western pomerania,code13,0.26
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,lower saxony,code03,0.29
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,lower saxony,code03,0.3
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,lower saxony,code03,0.3
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,lower saxony,code03,0.29
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,north rhine-westphalia,code05,0.3
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,north rhine-westphalia,code05,0.32
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,north rhine-westphalia,code05,0.32
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,north rhine-westphalia,code05,0.31
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,rhineland palatinate,code07,0.29
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,rhineland palatinate,code07,0.29
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,rhineland palatinate,code07,0.3
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,rhineland palatinate,code07,0.29
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saarland,code10,0.28
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saarland,code10,0.29
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saarland,code10,0.29
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saarland,code10,0.29
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saxony,code14,0.25
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saxony,code14,0.26
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saxony,code14,0.25
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saxony,code14,0.25
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saxony-anhalt,code15,0.26
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saxony-anhalt,code15,0.26
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saxony-anhalt,code15,0.26
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,saxony-anhalt,code15,0.26
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,schleswig-holstein,code01,0.29
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,schleswig-holstein,code01,0.29
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,schleswig-holstein,code01,0.3
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,schleswig-holstein,code01,0.3
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,thuringia,code16,0.25
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,thuringia,code16,0.26
2022,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,thuringia,code16,0.25
2023,gini coefficient,gini coefficient of equivalised disposable income before social transfers,,thuringia,code16,0.25
