Year,Units,sex,federal state,GeoCode,Value
2019,percentage,,hamburg,code02,13.96
2020,percentage,,hamburg,code02,11.3
2021,percentage,,hamburg,code02,13.1
2030,percentage,,,,
2005,percentage,female,hamburg,code02,21.9
2006,percentage,female,hamburg,code02,15.9
2007,percentage,female,hamburg,code02,14.1
2008,percentage,female,hamburg,code02,11.9
2009,percentage,female,hamburg,code02,10.2
2010,percentage,female,hamburg,code02,11.7
2011,percentage,female,hamburg,code02,11.02
2012,percentage,female,hamburg,code02,11.12
2013,percentage,female,hamburg,code02,11.9
2014,percentage,female,hamburg,code02,9.7
2015,percentage,female,hamburg,code02,10.99
2016,percentage,female,hamburg,code02,12.4
2017,percentage,female,hamburg,code02,10.75
2018,percentage,female,hamburg,code02,12.17
2019,percentage,female,hamburg,code02,13.45
2030,percentage,,,,
2005,percentage,male,hamburg,code02,20.4
2006,percentage,male,hamburg,code02,17.7
2007,percentage,male,hamburg,code02,16.7
2008,percentage,male,hamburg,code02,17.5
2009,percentage,male,hamburg,code02,14.1
2010,percentage,male,hamburg,code02,14.9
2011,percentage,male,hamburg,code02,15.42
2012,percentage,male,hamburg,code02,13.94
2013,percentage,male,hamburg,code02,11.4
2014,percentage,male,hamburg,code02,13.88
2015,percentage,male,hamburg,code02,14.09
2016,percentage,male,hamburg,code02,13.23
2017,percentage,male,hamburg,code02,12.11
2018,percentage,male,hamburg,code02,10.97
2019,percentage,male,hamburg,code02,14.44
2030,percentage,,,,
2005,percentage,,hesse,code06,13.3
2006,percentage,,hesse,code06,14.7
2007,percentage,,hesse,code06,12.1
2008,percentage,,hesse,code06,12.4
2009,percentage,,hesse,code06,11.4
2010,percentage,,hesse,code06,11.8
2011,percentage,,hesse,code06,10.58
2012,percentage,,hesse,code06,9.07
2013,percentage,,hesse,code06,10.0
2014,percentage,,hesse,code06,9.67
2015,percentage,,hesse,code06,9.52
2016,percentage,,hesse,code06,10.48
2017,percentage,,hesse,code06,10.15
2018,percentage,,hesse,code06,10.7
2019,percentage,,hesse,code06,10.33
2020,percentage,,hesse,code06,12.3
2021,percentage,,hesse,code06,13.6
2030,percentage,,,,
2005,percentage,female,hesse,code06,12.7
2006,percentage,female,hesse,code06,13.8
2007,percentage,female,hesse,code06,13.7
2008,percentage,female,hesse,code06,11.7
2009,percentage,female,hesse,code06,10.4
2010,percentage,female,hesse,code06,10.6
2011,percentage,female,hesse,code06,9.5
2012,percentage,female,hesse,code06,8.43
2013,percentage,female,hesse,code06,9.2
2014,percentage,female,hesse,code06,8.87
2015,percentage,female,hesse,code06,9.42
2016,percentage,female,hesse,code06,9.45
2017,percentage,female,hesse,code06,8.27
2018,percentage,female,hesse,code06,8.91
2019,percentage,female,hesse,code06,8.75
2020,percentage,female,hesse,code06,9.4
2021,percentage,female,hesse,code06,10.6
2030,percentage,,,,
2005,percentage,male,hesse,code06,13.9
2006,percentage,male,hesse,code06,15.6
2007,percentage,male,hesse,code06,10.5
2008,percentage,male,hesse,code06,13.0
2009,percentage,male,hesse,code06,12.4
2010,percentage,male,hesse,code06,13.1
2011,percentage,male,hesse,code06,11.67
2012,percentage,male,hesse,code06,9.69
2013,percentage,male,hesse,code06,10.7
2014,percentage,male,hesse,code06,10.43
2015,percentage,male,hesse,code06,9.61
2016,percentage,male,hesse,code06,11.41
2017,percentage,male,hesse,code06,11.79
2018,percentage,male,hesse,code06,12.35
2019,percentage,male,hesse,code06,11.78
2020,percentage,male,hesse,code06,14.8
2021,percentage,male,hesse,code06,16.3
2030,percentage,,,,
2005,percentage,,mecklenburg western pomerania,code13,14.0
2006,percentage,,mecklenburg western pomerania,code13,12.9
2007,percentage,,mecklenburg western pomerania,code13,13.1
2008,percentage,,mecklenburg western pomerania,code13,8.9
2009,percentage,,mecklenburg western pomerania,code13,9.3
2010,percentage,,mecklenburg western pomerania,code13,9.2
2011,percentage,,mecklenburg western pomerania,code13,9.86
2012,percentage,,mecklenburg western pomerania,code13,10.95
2013,percentage,,mecklenburg western pomerania,code13,9.6
2014,percentage,,mecklenburg western pomerania,code13,9.95
2015,percentage,,mecklenburg western pomerania,code13,10.58
2016,percentage,,mecklenburg western pomerania,code13,13.64
2017,percentage,,mecklenburg western pomerania,code13,9.83
2018,percentage,,mecklenburg western pomerania,code13,11.13
2019,percentage,,mecklenburg western pomerania,code13,11.4
2020,percentage,,mecklenburg western pomerania,code13,13.7
2021,percentage,,mecklenburg western pomerania,code13,13.6
2030,percentage,,,,
2005,percentage,female,mecklenburg western pomerania,code13,12.7
2006,percentage,female,mecklenburg western pomerania,code13,12.7
2007,percentage,female,mecklenburg western pomerania,code13,12.1
2008,percentage,female,mecklenburg western pomerania,code13,8.3
2009,percentage,female,mecklenburg western pomerania,code13,8.9
2011,percentage,female,mecklenburg western pomerania,code13,8.77
2012,percentage,female,mecklenburg western pomerania,code13,10.89
2030,percentage,,,,
2005,percentage,male,mecklenburg western pomerania,code13,15.0
2006,percentage,male,mecklenburg western pomerania,code13,13.1
2007,percentage,male,mecklenburg western pomerania,code13,14.0
2008,percentage,male,mecklenburg western pomerania,code13,9.4
2009,percentage,male,mecklenburg western pomerania,code13,9.6
2010,percentage,male,mecklenburg western pomerania,code13,11.6
2011,percentage,male,mecklenburg western pomerania,code13,10.85
2012,percentage,male,mecklenburg western pomerania,code13,10.99
2016,percentage,male,mecklenburg western pomerania,code13,14.3
2018,percentage,male,mecklenburg western pomerania,code13,12.6
2019,percentage,male,mecklenburg western pomerania,code13,11.75
2021,percentage,male,mecklenburg western pomerania,code13,11.7
2030,percentage,,,,
2005,percentage,,lower saxony,code03,16.0
2006,percentage,,lower saxony,code03,14.6
2007,percentage,,lower saxony,code03,14.0
2008,percentage,,lower saxony,code03,13.0
2009,percentage,,lower saxony,code03,12.6
2010,percentage,,lower saxony,code03,13.9
2011,percentage,,lower saxony,code03,14.09
2012,percentage,,lower saxony,code03,11.8
2013,percentage,,lower saxony,code03,10.8
2014,percentage,,lower saxony,code03,10.69
2015,percentage,,lower saxony,code03,10.67
2016,percentage,,lower saxony,code03,12.05
2017,percentage,,lower saxony,code03,11.33
2018,percentage,,lower saxony,code03,11.0
2019,percentage,,lower saxony,code03,11.91
2020,percentage,,lower saxony,code03,10.4
2021,percentage,,lower saxony,code03,12.2
2030,percentage,,,,
2005,percentage,female,lower saxony,code03,18.5
2006,percentage,female,lower saxony,code03,14.3
2007,percentage,female,lower saxony,code03,13.6
2008,percentage,female,lower saxony,code03,12.1
2009,percentage,female,lower saxony,code03,12.4
2010,percentage,female,lower saxony,code03,12.8
2011,percentage,female,lower saxony,code03,13.71
2012,percentage,female,lower saxony,code03,9.97
2013,percentage,female,lower saxony,code03,10.4
2014,percentage,female,lower saxony,code03,9.88
2015,percentage,female,lower saxony,code03,10.48
2016,percentage,female,lower saxony,code03,11.55
2017,percentage,female,lower saxony,code03,10.35
2018,percentage,female,lower saxony,code03,9.74
2019,percentage,female,lower saxony,code03,10.67
2020,percentage,female,lower saxony,code03,8.7
2021,percentage,female,lower saxony,code03,10.8
2030,percentage,,,,
2005,percentage,male,lower saxony,code03,13.7
2006,percentage,male,lower saxony,code03,14.9
2007,percentage,male,lower saxony,code03,14.3
2008,percentage,male,lower saxony,code03,13.8
2009,percentage,male,lower saxony,code03,12.7
2010,percentage,male,lower saxony,code03,15.0
2011,percentage,male,lower saxony,code03,14.45
2012,percentage,male,lower saxony,code03,13.46
2013,percentage,male,lower saxony,code03,11.1
2014,percentage,male,lower saxony,code03,11.45
2015,percentage,male,lower saxony,code03,10.84
2016,percentage,male,lower saxony,code03,12.51
2017,percentage,male,lower saxony,code03,12.21
2018,percentage,male,lower saxony,code03,12.13
2019,percentage,male,lower saxony,code03,13.06
2020,percentage,male,lower saxony,code03,11.9
2021,percentage,male,lower saxony,code03,13.5
2030,percentage,,,,
2005,percentage,,north rhine-westphalia,code05,15.8
2006,percentage,,north rhine-westphalia,code05,16.7
2007,percentage,,north rhine-westphalia,code05,15.0
2008,percentage,,north rhine-westphalia,code05,14.5
2009,percentage,,north rhine-westphalia,code05,13.7
2010,percentage,,north rhine-westphalia,code05,14.6
2011,percentage,,north rhine-westphalia,code05,13.56
2012,percentage,,north rhine-westphalia,code05,12.77
2013,percentage,,north rhine-westphalia,code05,11.6
2014,percentage,,north rhine-westphalia,code05,11.25
2015,percentage,,north rhine-westphalia,code05,11.42
2016,percentage,,north rhine-westphalia,code05,11.41
2017,percentage,,north rhine-westphalia,code05,11.58
2018,percentage,,north rhine-westphalia,code05,11.98
2019,percentage,,north rhine-westphalia,code05,11.17
2020,percentage,,north rhine-westphalia,code05,10.8
2021,percentage,,north rhine-westphalia,code05,11.8
2030,percentage,,,,
2005,percentage,female,north rhine-westphalia,code05,15.6
2006,percentage,female,north rhine-westphalia,code05,16.0
2007,percentage,female,north rhine-westphalia,code05,13.9
2008,percentage,female,north rhine-westphalia,code05,14.5
2009,percentage,female,north rhine-westphalia,code05,13.5
2010,percentage,female,north rhine-westphalia,code05,13.5
2011,percentage,female,north rhine-westphalia,code05,12.34
2012,percentage,female,north rhine-westphalia,code05,12.12
2013,percentage,female,north rhine-westphalia,code05,10.8
2014,percentage,female,north rhine-westphalia,code05,11.05
2015,percentage,female,north rhine-westphalia,code05,11.46
2016,percentage,female,north rhine-westphalia,code05,10.69
2017,percentage,female,north rhine-westphalia,code05,10.59
2018,percentage,female,north rhine-westphalia,code05,11.15
2019,percentage,female,north rhine-westphalia,code05,9.39
2020,percentage,female,north rhine-westphalia,code05,9.0
2021,percentage,female,north rhine-westphalia,code05,9.8
2030,percentage,,,,
2005,percentage,male,north rhine-westphalia,code05,16.0
2006,percentage,male,north rhine-westphalia,code05,17.4
2007,percentage,male,north rhine-westphalia,code05,16.1
2008,percentage,male,north rhine-westphalia,code05,14.6
2009,percentage,male,north rhine-westphalia,code05,14.0
2010,percentage,male,north rhine-westphalia,code05,15.7
2011,percentage,male,north rhine-westphalia,code05,14.76
2012,percentage,male,north rhine-westphalia,code05,13.39
2013,percentage,male,north rhine-westphalia,code05,12.3
2014,percentage,male,north rhine-westphalia,code05,11.43
2015,percentage,male,north rhine-westphalia,code05,11.38
2016,percentage,male,north rhine-westphalia,code05,12.08
2017,percentage,male,north rhine-westphalia,code05,12.47
2018,percentage,male,north rhine-westphalia,code05,12.72
2019,percentage,male,north rhine-westphalia,code05,12.79
2020,percentage,male,north rhine-westphalia,code05,12.4
2021,percentage,male,north rhine-westphalia,code05,13.6
2030,percentage,,,,
2005,percentage,,rhineland palatinate,code07,16.4
2006,percentage,,rhineland palatinate,code07,15.3
2007,percentage,,rhineland palatinate,code07,15.5
2008,percentage,,rhineland palatinate,code07,12.4
2009,percentage,,rhineland palatinate,code07,13.7
2010,percentage,,rhineland palatinate,code07,15.5
2011,percentage,,rhineland palatinate,code07,13.52
2012,percentage,,rhineland palatinate,code07,12.5
2013,percentage,,rhineland palatinate,code07,13.1
2014,percentage,,rhineland palatinate,code07,10.4
2015,percentage,,rhineland palatinate,code07,12.18
2016,percentage,,rhineland palatinate,code07,11.83
2017,percentage,,rhineland palatinate,code07,11.74
2018,percentage,,rhineland palatinate,code07,11.53
2019,percentage,,rhineland palatinate,code07,11.62
2020,percentage,,rhineland palatinate,code07,10.1
2021,percentage,,rhineland palatinate,code07,13.0
2030,percentage,,,,
2005,percentage,female,rhineland palatinate,code07,17.6
2006,percentage,female,rhineland palatinate,code07,16.5
2007,percentage,female,rhineland palatinate,code07,13.0
2008,percentage,female,rhineland palatinate,code07,11.7
2009,percentage,female,rhineland palatinate,code07,13.5
2010,percentage,female,rhineland palatinate,code07,14.5
2011,percentage,female,rhineland palatinate,code07,12.2
2012,percentage,female,rhineland palatinate,code07,13.23
2013,percentage,female,rhineland palatinate,code07,12.7
2014,percentage,female,rhineland palatinate,code07,9.92
2015,percentage,female,rhineland palatinate,code07,12.22
2016,percentage,female,rhineland palatinate,code07,10.38
2017,percentage,female,rhineland palatinate,code07,10.04
2018,percentage,female,rhineland palatinate,code07,9.59
2019,percentage,female,rhineland palatinate,code07,10.51
2020,percentage,female,rhineland palatinate,code07,7.9
2021,percentage,female,rhineland palatinate,code07,10.8
2030,percentage,,,,
2005,percentage,male,rhineland palatinate,code07,15.1
2006,percentage,male,rhineland palatinate,code07,14.2
2007,percentage,male,rhineland palatinate,code07,17.7
2008,percentage,male,rhineland palatinate,code07,13.1
2009,percentage,male,rhineland palatinate,code07,13.9
2010,percentage,male,rhineland palatinate,code07,16.6
2011,percentage,male,rhineland palatinate,code07,14.79
2012,percentage,male,rhineland palatinate,code07,11.78
2013,percentage,male,rhineland palatinate,code07,13.4
2014,percentage,male,rhineland palatinate,code07,10.89
2015,percentage,male,rhineland palatinate,code07,12.14
2016,percentage,male,rhineland palatinate,code07,13.17
2017,percentage,male,rhineland palatinate,code07,13.28
2018,percentage,male,rhineland palatinate,code07,13.21
2019,percentage,male,rhineland palatinate,code07,12.61
2020,percentage,male,rhineland palatinate,code07,12.1
2021,percentage,male,rhineland palatinate,code07,14.9
2030,percentage,,,,
2005,percentage,,saarland,code10,20.6
2006,percentage,,saarland,code10,20.8
2007,percentage,,saarland,code10,16.3
2008,percentage,,saarland,code10,14.1
2009,percentage,,saarland,code10,14.4
2010,percentage,,saarland,code10,13.2
2011,percentage,,saarland,code10,15.44
2012,percentage,,saarland,code10,12.86
2013,percentage,,saarland,code10,14.1
2014,percentage,,saarland,code10,11.88
2015,percentage,,saarland,code10,12.23
2016,percentage,,saarland,code10,10.32
2017,percentage,,saarland,code10,11.68
2018,percentage,,saarland,code10,11.78
2019,percentage,,saarland,code10,11.52
2030,percentage,,,,
2005,percentage,female,saarland,code10,15.5
2006,percentage,female,saarland,code10,18.8
2007,percentage,female,saarland,code10,15.9
2009,percentage,female,saarland,code10,14.0
2013,percentage,female,saarland,code10,14.2
2015,percentage,female,saarland,code10,15.93
2030,percentage,,,,
2005,percentage,male,saarland,code10,26.4
2006,percentage,male,saarland,code10,22.9
2007,percentage,male,saarland,code10,16.8
2008,percentage,male,saarland,code10,13.9
2009,percentage,male,saarland,code10,14.8
2010,percentage,male,saarland,code10,14.8
2011,percentage,male,saarland,code10,18.44
2012,percentage,male,saarland,code10,14.72
2013,percentage,male,saarland,code10,14.0
2017,percentage,male,saarland,code10,13.0
2030,percentage,,,,
2005,percentage,,saxony,code14,9.8
2006,percentage,,saxony,code14,8.9
2007,percentage,,saxony,code14,8.4
2008,percentage,,saxony,code14,7.4
2009,percentage,,saxony,code14,6.7
2010,percentage,,saxony,code14,7.6
2011,percentage,,saxony,code14,7.68
2012,percentage,,saxony,code14,7.71
2013,percentage,,saxony,code14,6.5
2014,percentage,,saxony,code14,6.82
2015,percentage,,saxony,code14,8.44
2016,percentage,,saxony,code14,7.74
2017,percentage,,saxony,code14,8.57
2018,percentage,,saxony,code14,7.51
2019,percentage,,saxony,code14,8.29
2020,percentage,,saxony,code14,8.0
2021,percentage,,saxony,code14,9.3
2030,percentage,,,,
2005,percentage,female,saxony,code14,10.5
2006,percentage,female,saxony,code14,7.8
2007,percentage,female,saxony,code14,8.6
2008,percentage,female,saxony,code14,5.8
2009,percentage,female,saxony,code14,6.6
2010,percentage,female,saxony,code14,7.6
2011,percentage,female,saxony,code14,7.46
2012,percentage,female,saxony,code14,7.23
2013,percentage,female,saxony,code14,6.7
