Year,Units,Series,Sex,Value
2019,Percentage,Germans,Female,95.812
2020,Percentage,Germans,Female,96.025
2021,Percentage,Germans,Female,96.013
2022,Percentage,Germans,Female,95.538
2023,Percentage,Germans,Female,95.304
1996,Percentage,Germans,Male,90.082
1997,Percentage,Germans,Male,90.144
1998,Percentage,Germans,Male,89.792
1999,Percentage,Germans,Male,89.799
2000,Percentage,Germans,Male,89.348
2001,Percentage,Germans,Male,89.081
2002,Percentage,Germans,Male,89.603
2003,Percentage,Germans,Male,90.019
2004,Percentage,Germans,Male,90.584
2005,Percentage,Germans,Male,90.899
2006,Percentage,Germans,Male,91.449
2007,Percentage,Germans,Male,91.97
2008,Percentage,Germans,Male,92.471
2009,Percentage,Germans,Male,94.14
2010,Percentage,Germans,Male,93.996
2011,Percentage,Germans,Male,94.071
2012,Percentage,Germans,Male,93.797
2013,Percentage,Germans,Male,93.464
2014,Percentage,Germans,Male,93.296
2015,Percentage,Germans,Male,93.842
2016,Percentage,Germans,Male,93.752
2017,Percentage,Germans,Male,93.797
2018,Percentage,Germans,Male,93.464
2019,Percentage,Germans,Male,93.296
2020,Percentage,Germans,Male,93.842
2021,Percentage,Germans,Male,93.752
2022,Percentage,Germans,Male,93.017
2023,Percentage,Germans,Male,93.164
1996,Percentage points,Difference,,11.841
1997,Percentage points,Difference,,11.711
1998,Percentage points,Difference,,11.554
1999,Percentage points,Difference,,11.315
2000,Percentage points,Difference,,11.589
2001,Percentage points,Difference,,11.548
2002,Percentage points,Difference,,11.175
2003,Percentage points,Difference,,11.128
2004,Percentage points,Difference,,10.669
2005,Percentage points,Difference,,10.163
2006,Percentage points,Difference,,9.82
2007,Percentage points,Difference,,9.564
2008,Percentage points,Difference,,8.759
2009,Percentage points,Difference,,8.073
2010,Percentage points,Difference,,7.38
2011,Percentage points,Difference,,6.784
2012,Percentage points,Difference,,6.488
2013,Percentage points,Difference,,6.09
2014,Percentage points,Difference,,7.079
2015,Percentage points,Difference,,6.8
2016,Percentage points,Difference,,9.226
2017,Percentage points,Difference,,12.988
2018,Percentage points,Difference,,12.785
2019,Percentage points,Difference,,12.155
2020,Percentage points,Difference,,9.56
2021,Percentage points,Difference,,10.518
2022,Percentage points,Difference,,10.251
2023,Percentage points,Difference,,11.941
2030,Percentage points,Difference,,
1996,Percentage points,Difference,Female,9.998
1997,Percentage points,Difference,Female,9.882
1998,Percentage points,Difference,Female,9.887
1999,Percentage points,Difference,Female,9.279
2000,Percentage points,Difference,Female,9.793
2001,Percentage points,Difference,Female,9.401
2002,Percentage points,Difference,Female,9.613
2003,Percentage points,Difference,Female,9.61
2004,Percentage points,Difference,Female,8.818
2005,Percentage points,Difference,Female,8.252
2006,Percentage points,Difference,Female,8.283
2007,Percentage points,Difference,Female,8.147
2008,Percentage points,Difference,Female,7.315
2009,Percentage points,Difference,Female,7.526
2010,Percentage points,Difference,Female,6.63
2011,Percentage points,Difference,Female,5.776
2012,Percentage points,Difference,Female,5.282
2013,Percentage points,Difference,Female,4.683
2014,Percentage points,Difference,Female,6.406
2015,Percentage points,Difference,Female,5.725
2016,Percentage points,Difference,Female,6.913
2017,Percentage points,Difference,Female,9.443
2018,Percentage points,Difference,Female,10.183
2019,Percentage points,Difference,Female,9.982
2020,Percentage points,Difference,Female,8.004
2021,Percentage points,Difference,Female,8.633
2022,Percentage points,Difference,Female,8.67
2023,Percentage points,Difference,Female,10.097
1996,Percentage points,Difference,Male,13.421
1997,Percentage points,Difference,Male,13.314
1998,Percentage points,Difference,Male,12.893
1999,Percentage points,Difference,Male,12.914
2000,Percentage points,Difference,Male,13.134
2001,Percentage points,Difference,Male,13.249
2002,Percentage points,Difference,Male,12.717
2003,Percentage points,Difference,Male,12.596
2004,Percentage points,Difference,Male,12.278
2005,Percentage points,Difference,Male,11.758
2006,Percentage points,Difference,Male,11.27
2007,Percentage points,Difference,Male,10.763
2008,Percentage points,Difference,Male,10.198
2009,Percentage points,Difference,Male,10.287
2010,Percentage points,Difference,Male,9.03
2011,Percentage points,Difference,Male,7.896
2012,Percentage points,Difference,Male,7.111
2013,Percentage points,Difference,Male,5.903
2014,Percentage points,Difference,Male,6.538
2015,Percentage points,Difference,Male,7.642
2016,Percentage points,Difference,Male,10.852
2017,Percentage points,Difference,Male,15.679
2018,Percentage points,Difference,Male,14.699
2019,Percentage points,Difference,Male,13.801
2020,Percentage points,Difference,Male,10.833
2021,Percentage points,Difference,Male,12.133
2022,Percentage points,Difference,Male,11.582
2023,Percentage points,Difference,Male,13.491
