Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,länder,GeoCode,Value
2009,hours,mothers,,,baden-wuerttemberg,code08,14.761
2010,hours,mothers,,,baden-wuerttemberg,code08,14.957
2011,hours,mothers,,,baden-wuerttemberg,code08,15.612
2012,hours,mothers,,,baden-wuerttemberg,code08,15.974
2013,hours,mothers,,,baden-wuerttemberg,code08,16.153
2014,hours,mothers,,,baden-wuerttemberg,code08,16.4
2015,hours,mothers,,,baden-wuerttemberg,code08,16.449
2016,hours,mothers,,,baden-wuerttemberg,code08,16.433
2017,hours,mothers,,,baden-wuerttemberg,code08,16.433
2018,hours,mothers,,,baden-wuerttemberg,code08,16.866
2019,hours,mothers,,,baden-wuerttemberg,code08,16.988
2020,hours,mothers,|,,baden-wuerttemberg,code08,16.441
2021,hours,mothers,|,,baden-wuerttemberg,code08,16.788
2022,hours,mothers,,,baden-wuerttemberg,code08,17.279
2023,hours,mothers,,,baden-wuerttemberg,code08,17.538
2024,hours,mothers,p,,baden-wuerttemberg,code08,17.847
2006,hours,mothers,,,bavaria,code09,14.457
2007,hours,mothers,|,,bavaria,code09,14.821
2008,hours,mothers,,,bavaria,code09,15.148
2009,hours,mothers,,,bavaria,code09,15.481
2010,hours,mothers,,,bavaria,code09,15.749
2011,hours,mothers,,,bavaria,code09,16.174
2012,hours,mothers,,,bavaria,code09,16.488
2013,hours,mothers,,,bavaria,code09,16.716
2014,hours,mothers,,,bavaria,code09,16.878
2015,hours,mothers,,,bavaria,code09,16.962
2016,hours,mothers,,,bavaria,code09,17.243
2017,hours,mothers,,,bavaria,code09,17.15
2018,hours,mothers,,,bavaria,code09,17.262
2019,hours,mothers,,,bavaria,code09,17.994
2020,hours,mothers,|,,bavaria,code09,17.237
2021,hours,mothers,|,,bavaria,code09,17.653
2022,hours,mothers,,,bavaria,code09,18.065
2023,hours,mothers,,,bavaria,code09,18.378
2024,hours,mothers,p,,bavaria,code09,18.904
2006,hours,mothers,,,berlin,code11,17.266
2007,hours,mothers,|,,berlin,code11,17.775
2008,hours,mothers,,,berlin,code11,18.023
2009,hours,mothers,,,berlin,code11,18.134
2010,hours,mothers,,,berlin,code11,18.368
2011,hours,mothers,,,berlin,code11,18.761
2012,hours,mothers,,,berlin,code11,18.953
2013,hours,mothers,,,berlin,code11,18.754
2014,hours,mothers,,,berlin,code11,18.56
2015,hours,mothers,,,berlin,code11,18.733
2016,hours,mothers,,,berlin,code11,20.433
2017,hours,mothers,,,berlin,code11,20.112
2018,hours,mothers,,,berlin,code11,21.071
2019,hours,mothers,,,berlin,code11,21.014
2020,hours,mothers,|,,berlin,code11,21.249
2021,hours,mothers,|,,berlin,code11,21.683
2022,hours,mothers,,,berlin,code11,21.705
2023,hours,mothers,,,berlin,code11,20.925
2024,hours,mothers,p,,berlin,code11,21.102
2006,hours,mothers,,,brandenburg,code12,22.992
2007,hours,mothers,|,,brandenburg,code12,22.868
2008,hours,mothers,,,brandenburg,code12,23.329
2009,hours,mothers,,,brandenburg,code12,24.388
2010,hours,mothers,,,brandenburg,code12,24.665
2011,hours,mothers,,,brandenburg,code12,24.502
2012,hours,mothers,,,brandenburg,code12,24.04
2013,hours,mothers,,,brandenburg,code12,24.407
2014,hours,mothers,,,brandenburg,code12,23.926
2015,hours,mothers,,,brandenburg,code12,24.478
2016,hours,mothers,,,brandenburg,code12,25.726
2017,hours,mothers,,,brandenburg,code12,26.279
2018,hours,mothers,,,brandenburg,code12,26.326
2019,hours,mothers,,,brandenburg,code12,26.828
2020,hours,mothers,|,,brandenburg,code12,27.313
2021,hours,mothers,|,,brandenburg,code12,28.033
2022,hours,mothers,,,brandenburg,code12,27.916
2023,hours,mothers,,,brandenburg,code12,27.172
2024,hours,mothers,p,,brandenburg,code12,27.444
2006,hours,mothers,,,bremen,code04,12.462
2007,hours,mothers,|,,bremen,code04,13.508
2008,hours,mothers,,,bremen,code04,13.508
2009,hours,mothers,,,bremen,code04,15.362
2010,hours,mothers,,,bremen,code04,14.78
2011,hours,mothers,,,bremen,code04,14.102
2012,hours,mothers,,,bremen,code04,14.831
2013,hours,mothers,,,bremen,code04,14.898
2014,hours,mothers,,,bremen,code04,13.917
2015,hours,mothers,,,bremen,code04,14.328
2016,hours,mothers,,,bremen,code04,14.441
2017,hours,mothers,,,bremen,code04,14.85
2018,hours,mothers,,,bremen,code04,14.542
2019,hours,mothers,,,bremen,code04,14.3
2020,hours,mothers,|,,bremen,code04,14.113
2021,hours,mothers,|,,bremen,code04,14.877
2022,hours,mothers,,,bremen,code04,14.818
2023,hours,mothers,,,bremen,code04,14.191
2024,hours,mothers,p,,bremen,code04,15.224
2006,hours,mothers,,,hamburg,code02,15.143
2007,hours,mothers,|,,hamburg,code02,15.018
2008,hours,mothers,,,hamburg,code02,15.671
2009,hours,mothers,,,hamburg,code02,15.82
2010,hours,mothers,,,hamburg,code02,15.846
2011,hours,mothers,,,hamburg,code02,16.772
2012,hours,mothers,,,hamburg,code02,17.687
2013,hours,mothers,,,hamburg,code02,17.571
2014,hours,mothers,,,hamburg,code02,17.787
2015,hours,mothers,,,hamburg,code02,18.512
2016,hours,mothers,,,hamburg,code02,17.965
2017,hours,mothers,,,hamburg,code02,18.564
2018,hours,mothers,,,hamburg,code02,18.743
2019,hours,mothers,,,hamburg,code02,19.723
2020,hours,mothers,|,,hamburg,code02,18.929
2021,hours,mothers,|,,hamburg,code02,19.111
2022,hours,mothers,,,hamburg,code02,19.634
2023,hours,mothers,,,hamburg,code02,19.763
2024,hours,mothers,p,,hamburg,code02,19.783
2006,hours,mothers,,,hesse,code06,14.147
2007,hours,mothers,|,,hesse,code06,14.632
2008,hours,mothers,,,hesse,code06,14.995
2009,hours,mothers,,,hesse,code06,15.531
2010,hours,mothers,,,hesse,code06,15.825
2011,hours,mothers,,,hesse,code06,16.336
2012,hours,mothers,,,hesse,code06,16.675
2013,hours,mothers,,,hesse,code06,16.574
2014,hours,mothers,,,hesse,code06,16.747
2015,hours,mothers,,,hesse,code06,16.869
2016,hours,mothers,,,hesse,code06,16.741
2017,hours,mothers,,,hesse,code06,17.388
2018,hours,mothers,,,hesse,code06,17.521
2019,hours,mothers,,,hesse,code06,17.799
2020,hours,mothers,|,,hesse,code06,17.342
2021,hours,mothers,|,,hesse,code06,17.779
2022,hours,mothers,,,hesse,code06,18.313
2023,hours,mothers,,,hesse,code06,18.773
2024,hours,mothers,p,,hesse,code06,18.87
2006,hours,mothers,,,mecklenburg western pomerania,code13,21.772
2007,hours,mothers,|,,mecklenburg western pomerania,code13,20.897
2008,hours,mothers,,,mecklenburg western pomerania,code13,20.874
2009,hours,mothers,,,mecklenburg western pomerania,code13,21.285
2010,hours,mothers,,,mecklenburg western pomerania,code13,23.36
2011,hours,mothers,,,mecklenburg western pomerania,code13,23.291
2012,hours,mothers,,,mecklenburg western pomerania,code13,23.986
2013,hours,mothers,,,mecklenburg western pomerania,code13,23.479
2014,hours,mothers,,,mecklenburg western pomerania,code13,24.448
2015,hours,mothers,,,mecklenburg western pomerania,code13,24.772
2016,hours,mothers,,,mecklenburg western pomerania,code13,24.215
2017,hours,mothers,,,mecklenburg western pomerania,code13,23.789
2018,hours,mothers,,,mecklenburg western pomerania,code13,24.639
2019,hours,mothers,,,mecklenburg western pomerania,code13,25.953
2020,hours,mothers,|,,mecklenburg western pomerania,code13,25.848
2021,hours,mothers,|,,mecklenburg western pomerania,code13,26.193
2022,hours,mothers,,,mecklenburg western pomerania,code13,26.048
2023,hours,mothers,,,mecklenburg western pomerania,code13,27.0
2024,hours,mothers,p,,mecklenburg western pomerania,code13,26.55
2006,hours,mothers,,,lower saxony,code03,13.133
2007,hours,mothers,|,,lower saxony,code03,13.804
2008,hours,mothers,,,lower saxony,code03,14.052
2009,hours,mothers,,,lower saxony,code03,14.752
2010,hours,mothers,,,lower saxony,code03,15.557
2011,hours,mothers,,,lower saxony,code03,15.764
2012,hours,mothers,,,lower saxony,code03,15.799
2013,hours,mothers,,,lower saxony,code03,16.047
2014,hours,mothers,,,lower saxony,code03,16.063
2015,hours,mothers,,,lower saxony,code03,16.35
2016,hours,mothers,,,lower saxony,code03,16.779
2017,hours,mothers,,,lower saxony,code03,16.914
2018,hours,mothers,,,lower saxony,code03,17.376
2019,hours,mothers,,,lower saxony,code03,17.398
2020,hours,mothers,|,,lower saxony,code03,17.011
2021,hours,mothers,|,,lower saxony,code03,17.594
2022,hours,mothers,,,lower saxony,code03,18.227
2023,hours,mothers,,,lower saxony,code03,18.1
2024,hours,mothers,p,,lower saxony,code03,18.395
2006,hours,mothers,,,north rhine-westphalia,code05,12.942
2007,hours,mothers,|,,north rhine-westphalia,code05,13.118
2008,hours,mothers,,,north rhine-westphalia,code05,13.338
2009,hours,mothers,,,north rhine-westphalia,code05,13.632
2010,hours,mothers,,,north rhine-westphalia,code05,13.847
2011,hours,mothers,,,north rhine-westphalia,code05,14.306
2012,hours,mothers,,,north rhine-westphalia,code05,14.57
2013,hours,mothers,,,north rhine-westphalia,code05,14.983
2014,hours,mothers,,,north rhine-westphalia,code05,15.038
2015,hours,mothers,,,north rhine-westphalia,code05,15.367
2016,hours,mothers,,,north rhine-westphalia,code05,15.46
2017,hours,mothers,,,north rhine-westphalia,code05,15.673
2018,hours,mothers,,,north rhine-westphalia,code05,16.02
2019,hours,mothers,,,north rhine-westphalia,code05,16.214
2020,hours,mothers,|,,north rhine-westphalia,code05,16.32
2021,hours,mothers,|,,north rhine-westphalia,code05,16.755
2022,hours,mothers,,,north rhine-westphalia,code05,17.173
2023,hours,mothers,,,north rhine-westphalia,code05,17.427
2024,hours,mothers,p,,north rhine-westphalia,code05,17.647
2006,hours,mothers,,,rhineland palatinate,code07,14.667
2007,hours,mothers,|,,rhineland palatinate,code07,14.564
2008,hours,mothers,,,rhineland palatinate,code07,14.765
2009,hours,mothers,,,rhineland palatinate,code07,15.17
2010,hours,mothers,,,rhineland palatinate,code07,15.322
2011,hours,mothers,,,rhineland palatinate,code07,15.663
2012,hours,mothers,,,rhineland palatinate,code07,15.918
2013,hours,mothers,,,rhineland palatinate,code07,16.434
2014,hours,mothers,,,rhineland palatinate,code07,16.52
2015,hours,mothers,,,rhineland palatinate,code07,16.488
2016,hours,mothers,,,rhineland palatinate,code07,16.722
2017,hours,mothers,,,rhineland palatinate,code07,16.616
2018,hours,mothers,,,rhineland palatinate,code07,16.987
2019,hours,mothers,,,rhineland palatinate,code07,17.315
2020,hours,mothers,|,,rhineland palatinate,code07,16.949
2021,hours,mothers,|,,rhineland palatinate,code07,17.548
2022,hours,mothers,,,rhineland palatinate,code07,17.544
2023,hours,mothers,,,rhineland palatinate,code07,18.065
2024,hours,mothers,p,,rhineland palatinate,code07,18.385
2006,hours,mothers,,,saarland,code10,12.748
2007,hours,mothers,|,,saarland,code10,13.861
2008,hours,mothers,,,saarland,code10,14.819
2009,hours,mothers,,,saarland,code10,14.16
2010,hours,mothers,,,saarland,code10,14.711
2011,hours,mothers,,,saarland,code10,14.554
2012,hours,mothers,,,saarland,code10,14.688
2013,hours,mothers,,,saarland,code10,15.549
2014,hours,mothers,,,saarland,code10,16.7
2015,hours,mothers,,,saarland,code10,16.736
2016,hours,mothers,,,saarland,code10,16.923
2017,hours,mothers,,,saarland,code10,17.462
2018,hours,mothers,,,saarland,code10,17.91
2019,hours,mothers,,,saarland,code10,18.818
2020,hours,mothers,|,,saarland,code10,18.652
2021,hours,mothers,|,,saarland,code10,18.111
2022,hours,mothers,,,saarland,code10,17.374
2023,hours,mothers,,,saarland,code10,17.719
2024,hours,mothers,p,,saarland,code10,17.848
2006,hours,mothers,,,saxony,code14,21.496
2007,hours,mothers,|,,saxony,code14,21.576
2008,hours,mothers,,,saxony,code14,21.582
2009,hours,mothers,,,saxony,code14,21.323
2010,hours,mothers,,,saxony,code14,21.647
2011,hours,mothers,,,saxony,code14,22.221
2012,hours,mothers,,,saxony,code14,23.179
2013,hours,mothers,,,saxony,code14,22.942
2014,hours,mothers,,,saxony,code14,23.531
2015,hours,mothers,,,saxony,code14,23.97
2016,hours,mothers,,,saxony,code14,24.535
2017,hours,mothers,,,saxony,code14,24.597
2018,hours,mothers,,,saxony,code14,24.626
2019,hours,mothers,,,saxony,code14,25.446
2020,hours,mothers,|,,saxony,code14,25.845
2021,hours,mothers,|,,saxony,code14,26.563
2022,hours,mothers,,,saxony,code14,26.244
2023,hours,mothers,,,saxony,code14,25.838
2024,hours,mothers,p,,saxony,code14,26.233
2006,hours,mothers,,,saxony-anhalt,code15,21.449
2007,hours,mothers,|,,saxony-anhalt,code15,21.502
2008,hours,mothers,,,saxony-anhalt,code15,20.849
2009,hours,mothers,,,saxony-anhalt,code15,21.582
2010,hours,mothers,,,saxony-anhalt,code15,22.642
2011,hours,mothers,,,saxony-anhalt,code15,23.275
2012,hours,mothers,,,saxony-anhalt,code15,23.485
2013,hours,mothers,,,saxony-anhalt,code15,23.468
2014,hours,mothers,,,saxony-anhalt,code15,23.797
2015,hours,mothers,,,saxony-anhalt,code15,23.212
2016,hours,mothers,,,saxony-anhalt,code15,24.203
2017,hours,mothers,,,saxony-anhalt,code15,24.73
2018,hours,mothers,,,saxony-anhalt,code15,25.355
2019,hours,mothers,,,saxony-anhalt,code15,25.786
2020,hours,mothers,|,,saxony-anhalt,code15,25.692
2021,hours,mothers,|,,saxony-anhalt,code15,26.098
2022,hours,mothers,,,saxony-anhalt,code15,26.181
2023,hours,mothers,,,saxony-anhalt,code15,26.197
2024,hours,mothers,p,,saxony-anhalt,code15,26.079
2006,hours,mothers,,,schleswig-holstein,code01,14.197
2007,hours,mothers,|,,schleswig-holstein,code01,14.312
2008,hours,mothers,,,schleswig-holstein,code01,14.836
2009,hours,mothers,,,schleswig-holstein,code01,15.347
2010,hours,mothers,,,schleswig-holstein,code01,16.3
2011,hours,mothers,,,schleswig-holstein,code01,16.507
2012,hours,mothers,,,schleswig-holstein,code01,17.247
2013,hours,mothers,,,schleswig-holstein,code01,16.742
2014,hours,mothers,,,schleswig-holstein,code01,17.245
2015,hours,mothers,,,schleswig-holstein,code01,17.591
2016,hours,mothers,,,schleswig-holstein,code01,17.911
2017,hours,mothers,,,schleswig-holstein,code01,18.389
2018,hours,mothers,,,schleswig-holstein,code01,18.603
2019,hours,mothers,,,schleswig-holstein,code01,18.857
2020,hours,mothers,|,,schleswig-holstein,code01,18.13
2021,hours,mothers,|,,schleswig-holstein,code01,18.57
2022,hours,mothers,,,schleswig-holstein,code01,19.291
2023,hours,mothers,,,schleswig-holstein,code01,19.162
2024,hours,mothers,p,,schleswig-holstein,code01,19.415
2006,hours,mothers,,,thuringia,code16,21.146
2007,hours,mothers,|,,thuringia,code16,21.322
2008,hours,mothers,,,thuringia,code16,21.396
2009,hours,mothers,,,thuringia,code16,22.147
2010,hours,mothers,,,thuringia,code16,23.181
2011,hours,mothers,,,thuringia,code16,23.273
2012,hours,mothers,,,thuringia,code16,23.332
2013,hours,mothers,,,thuringia,code16,24.404
2014,hours,mothers,,,thuringia,code16,24.561
2015,hours,mothers,,,thuringia,code16,23.923
2016,hours,mothers,,,thuringia,code16,25.305
2017,hours,mothers,,,thuringia,code16,25.195
2018,hours,mothers,,,thuringia,code16,25.923
2019,hours,mothers,,,thuringia,code16,25.784
2020,hours,mothers,|,,thuringia,code16,25.41
2021,hours,mothers,|,,thuringia,code16,25.768
2022,hours,mothers,,,thuringia,code16,26.528
2023,hours,mothers,,,thuringia,code16,25.935
2024,hours,mothers,p,,thuringia,code16,25.63
2006,hours,fathers,,,baden-wuerttemberg,code08,39.239
2007,hours,fathers,|,,baden-wuerttemberg,code08,39.964
2008,hours,fathers,,,baden-wuerttemberg,code08,39.897
2009,hours,fathers,,,baden-wuerttemberg,code08,39.352
2010,hours,fathers,,,baden-wuerttemberg,code08,39.682
2011,hours,fathers,,,baden-wuerttemberg,code08,40.373
2012,hours,fathers,,,baden-wuerttemberg,code08,40.573
2013,hours,fathers,,,baden-wuerttemberg,code08,40.158
2014,hours,fathers,,,baden-wuerttemberg,code08,39.749
2015,hours,fathers,,,baden-wuerttemberg,code08,39.678
2016,hours,fathers,,,baden-wuerttemberg,code08,39.425
2017,hours,fathers,,,baden-wuerttemberg,code08,38.889
2018,hours,fathers,,,baden-wuerttemberg,code08,38.997
2019,hours,fathers,,,baden-wuerttemberg,code08,39.194
2020,hours,fathers,|,,baden-wuerttemberg,code08,38.005
2021,hours,fathers,|,,baden-wuerttemberg,code08,37.892
2022,hours,fathers,,,baden-wuerttemberg,code08,38.094
2023,hours,fathers,,,baden-wuerttemberg,code08,37.94
2024,hours,fathers,p,,baden-wuerttemberg,code08,37.816
2006,hours,fathers,,,bavaria,code09,39.605
2007,hours,fathers,|,,bavaria,code09,39.744
2008,hours,fathers,,,bavaria,code09,40.303
2009,hours,fathers,,,bavaria,code09,40.011
2010,hours,fathers,,,bavaria,code09,39.986
2011,hours,fathers,,,bavaria,code09,40.502
2012,hours,fathers,,,bavaria,code09,40.622
2013,hours,fathers,,,bavaria,code09,40.271
2014,hours,fathers,,,bavaria,code09,40.033
2015,hours,fathers,,,bavaria,code09,39.941
2016,hours,fathers,,,bavaria,code09,39.911
2017,hours,fathers,,,bavaria,code09,39.473
2018,hours,fathers,,,bavaria,code09,39.422
2019,hours,fathers,,,bavaria,code09,39.287
2020,hours,fathers,|,,bavaria,code09,38.342
2021,hours,fathers,|,,bavaria,code09,38.311
2022,hours,fathers,,,bavaria,code09,38.611
2023,hours,fathers,,,bavaria,code09,38.462
2024,hours,fathers,p,,bavaria,code09,37.898
2006,hours,fathers,,,berlin,code11,30.463
2007,hours,fathers,|,,berlin,code11,31.366
2008,hours,fathers,,,berlin,code11,31.662
2009,hours,fathers,,,berlin,code11,32.391
2010,hours,fathers,,,berlin,code11,33.042
2011,hours,fathers,,,berlin,code11,33.018
2012,hours,fathers,,,berlin,code11,33.459
2013,hours,fathers,,,berlin,code11,32.935
2014,hours,fathers,,,berlin,code11,32.508
2015,hours,fathers,,,berlin,code11,33.092
2016,hours,fathers,,,berlin,code11,33.798
2017,hours,fathers,,,berlin,code11,34.159
2018,hours,fathers,,,berlin,code11,34.364
2019,hours,fathers,,,berlin,code11,34.388
2020,hours,fathers,|,,berlin,code11,33.113
2021,hours,fathers,|,,berlin,code11,33.182
2022,hours,fathers,,,berlin,code11,34.895
2023,hours,fathers,,,berlin,code11,34.021
2024,hours,fathers,p,,berlin,code11,33.512
2006,hours,fathers,,,brandenburg,code12,33.602
2007,hours,fathers,|,,brandenburg,code12,34.882
2008,hours,fathers,,,brandenburg,code12,35.61
2009,hours,fathers,,,brandenburg,code12,35.942
2010,hours,fathers,,,brandenburg,code12,36.578
2011,hours,fathers,,,brandenburg,code12,37.04
2012,hours,fathers,,,brandenburg,code12,37.621
2013,hours,fathers,,,brandenburg,code12,38.084
2014,hours,fathers,,,brandenburg,code12,37.768
2015,hours,fathers,,,brandenburg,code12,37.816
2016,hours,fathers,,,brandenburg,code12,37.882
2017,hours,fathers,,,brandenburg,code12,37.323
2018,hours,fathers,,,brandenburg,code12,37.9
2019,hours,fathers,,,brandenburg,code12,37.578
2020,hours,fathers,|,,brandenburg,code12,36.357
2021,hours,fathers,|,,brandenburg,code12,37.621
2022,hours,fathers,,,brandenburg,code12,37.439
2023,hours,fathers,,,brandenburg,code12,37.163
2024,hours,fathers,p,,brandenburg,code12,36.752
2006,hours,fathers,,,bremen,code04,30.583
2007,hours,fathers,|,,bremen,code04,33.28
2008,hours,fathers,,,bremen,code04,33.804
2009,hours,fathers,,,bremen,code04,31.886
2010,hours,fathers,,,bremen,code04,33.682
2011,hours,fathers,,,bremen,code04,31.889
2012,hours,fathers,,,bremen,code04,34.556
2013,hours,fathers,,,bremen,code04,33.864
2014,hours,fathers,,,bremen,code04,34.4
2015,hours,fathers,,,bremen,code04,33.311
2016,hours,fathers,,,bremen,code04,33.87
2017,hours,fathers,,,bremen,code04,33.667
2018,hours,fathers,,,bremen,code04,33.191
2019,hours,fathers,,,bremen,code04,32.438
2020,hours,fathers,|,,bremen,code04,30.245
2021,hours,fathers,|,,bremen,code04,30.961
2022,hours,fathers,,,bremen,code04,32.074
2023,hours,fathers,,,bremen,code04,31.566
2024,hours,fathers,p,,bremen,code04,31.509
2006,hours,fathers,,,hamburg,code02,35.115
2007,hours,fathers,|,,hamburg,code02,34.677
2008,hours,fathers,,,hamburg,code02,35.904
2009,hours,fathers,,,hamburg,code02,37.153
2010,hours,fathers,,,hamburg,code02,38.092
2011,hours,fathers,,,hamburg,code02,37.942
2012,hours,fathers,,,hamburg,code02,37.496
2013,hours,fathers,,,hamburg,code02,38.055
2014,hours,fathers,,,hamburg,code02,37.547
2015,hours,fathers,,,hamburg,code02,36.515
2016,hours,fathers,,,hamburg,code02,36.986
2017,hours,fathers,,,hamburg,code02,36.833
2018,hours,fathers,,,hamburg,code02,36.379
2019,hours,fathers,,,hamburg,code02,35.306
2020,hours,fathers,|,,hamburg,code02,34.777
2021,hours,fathers,|,,hamburg,code02,35.248
2022,hours,fathers,,,hamburg,code02,35.782
2023,hours,fathers,,,hamburg,code02,35.72
2024,hours,fathers,p,,hamburg,code02,35.322
2006,hours,fathers,,,hesse,code06,38.026
2007,hours,fathers,|,,hesse,code06,38.297
2008,hours,fathers,,,hesse,code06,38.529
2009,hours,fathers,,,hesse,code06,38.617
2010,hours,fathers,,,hesse,code06,38.692
2011,hours,fathers,,,hesse,code06,39.195
2012,hours,fathers,,,hesse,code06,39.004
2013,hours,fathers,,,hesse,code06,39.045
2014,hours,fathers,,,hesse,code06,38.21
2015,hours,fathers,,,hesse,code06,38.515
2016,hours,fathers,,,hesse,code06,38.35
2017,hours,fathers,,,hesse,code06,37.84
2018,hours,fathers,,,hesse,code06,37.605
2019,hours,fathers,,,hesse,code06,37.736
2020,hours,fathers,|,,hesse,code06,36.067
2021,hours,fathers,|,,hesse,code06,36.181
2022,hours,fathers,,,hesse,code06,36.743
2023,hours,fathers,,,hesse,code06,36.563
2024,hours,fathers,p,,hesse,code06,36.587
2006,hours,fathers,,,mecklenburg western pomerania,code13,33.146
2007,hours,fathers,|,,mecklenburg western pomerania,code13,33.975
2008,hours,fathers,,,mecklenburg western pomerania,code13,35.092
2009,hours,fathers,,,mecklenburg western pomerania,code13,34.234
2010,hours,fathers,,,mecklenburg western pomerania,code13,35.222
2011,hours,fathers,,,mecklenburg western pomerania,code13,35.706
2012,hours,fathers,,,mecklenburg western pomerania,code13,35.686
2013,hours,fathers,,,mecklenburg western pomerania,code13,35.827
2014,hours,fathers,,,mecklenburg western pomerania,code13,36.134
2015,hours,fathers,,,mecklenburg western pomerania,code13,35.577
2016,hours,fathers,,,mecklenburg western pomerania,code13,35.779
2017,hours,fathers,,,mecklenburg western pomerania,code13,36.607
2018,hours,fathers,,,mecklenburg western pomerania,code13,35.393
2019,hours,fathers,,,mecklenburg western pomerania,code13,36.554
2020,hours,fathers,|,,mecklenburg western pomerania,code13,37.295
2021,hours,fathers,|,,mecklenburg western pomerania,code13,37.712
2022,hours,fathers,,,mecklenburg western pomerania,code13,36.84
2023,hours,fathers,,,mecklenburg western pomerania,code13,37.05
2024,hours,fathers,p,,mecklenburg western pomerania,code13,36.628
2006,hours,fathers,,,lower saxony,code03,37.001
2007,hours,fathers,|,,lower saxony,code03,37.96
2008,hours,fathers,,,lower saxony,code03,37.974
2009,hours,fathers,,,lower saxony,code03,37.955
2010,hours,fathers,,,lower saxony,code03,38.105
2011,hours,fathers,,,lower saxony,code03,38.379
2012,hours,fathers,,,lower saxony,code03,38.756
2013,hours,fathers,,,lower saxony,code03,38.543
2014,hours,fathers,,,lower saxony,code03,38.498
2015,hours,fathers,,,lower saxony,code03,38.023
2016,hours,fathers,,,lower saxony,code03,37.28
2017,hours,fathers,,,lower saxony,code03,37.178
2018,hours,fathers,,,lower saxony,code03,37.448
2019,hours,fathers,,,lower saxony,code03,37.248
2020,hours,fathers,|,,lower saxony,code03,35.716
2021,hours,fathers,|,,lower saxony,code03,36.468
2022,hours,fathers,,,lower saxony,code03,37.008
2023,hours,fathers,,,lower saxony,code03,36.614
2024,hours,fathers,p,,lower saxony,code03,36.826
2006,hours,fathers,,,north rhine-westphalia,code05,36.579
2007,hours,fathers,|,,north rhine-westphalia,code05,37.019
2008,hours,fathers,,,north rhine-westphalia,code05,37.539
2009,hours,fathers,,,north rhine-westphalia,code05,36.988
2010,hours,fathers,,,north rhine-westphalia,code05,36.934
2011,hours,fathers,,,north rhine-westphalia,code05,37.81
2012,hours,fathers,,,north rhine-westphalia,code05,37.938
2013,hours,fathers,,,north rhine-westphalia,code05,37.341
2014,hours,fathers,,,north rhine-westphalia,code05,37.21
2015,hours,fathers,,,north rhine-westphalia,code05,37.18
2016,hours,fathers,,,north rhine-westphalia,code05,36.988
2017,hours,fathers,,,north rhine-westphalia,code05,36.78
2018,hours,fathers,,,north rhine-westphalia,code05,36.588
2019,hours,fathers,,,north rhine-westphalia,code05,36.547
2020,hours,fathers,|,,north rhine-westphalia,code05,35.312
2021,hours,fathers,|,,north rhine-westphalia,code05,35.19
2022,hours,fathers,,,north rhine-westphalia,code05,36.048
2023,hours,fathers,,,north rhine-westphalia,code05,35.919
2024,hours,fathers,p,,north rhine-westphalia,code05,35.773
2006,hours,fathers,,,rhineland palatinate,code07,38.318
2007,hours,fathers,|,,rhineland palatinate,code07,38.915
2008,hours,fathers,,,rhineland palatinate,code07,39.409
