Year,Units,time series,COMMENT_OBS_0,sex,federal state,GeoCode,Value
2006,percentage,d) adults,.,,brandenburg,code12,
2020,percentage,d) adults,.,,brandenburg,code12,
2022,percentage,d) adults,…,,brandenburg,code12,
2030,percentage,d) adults,…,,brandenburg,code12,
2003,percentage,d) adults,,,bremen,code04,33.85
2004,percentage,d) adults,.,,bremen,code04,
2005,percentage,d) adults,,,bremen,code04,30.8
2007,percentage,d) adults,.,,bremen,code04,
2008,percentage,d) adults,.,,bremen,code04,
2009,percentage,d) adults,,,bremen,code04,30.5
2010,percentage,d) adults,.,,bremen,code04,
2011,percentage,d) adults,.,,bremen,code04,
2012,percentage,d) adults,.,,bremen,code04,
2013,percentage,d) adults,,,bremen,code04,27.77
2014,percentage,d) adults,.,,bremen,code04,
2015,percentage,d) adults,.,,bremen,code04,
2016,percentage,d) adults,.,,bremen,code04,
2017,percentage,d) adults,,,bremen,code04,27.39
2018,percentage,d) adults,.,,bremen,code04,
2019,percentage,d) adults,.,,bremen,code04,
2021,percentage,d) adults,p,,bremen,code04,22.6
2023,percentage,d) adults,…,,bremen,code04,
2006,percentage,d) adults,.,,bremen,code04,
2020,percentage,d) adults,.,,bremen,code04,
2022,percentage,d) adults,…,,bremen,code04,
2030,percentage,d) adults,…,,bremen,code04,
2003,percentage,d) adults,,,hamburg,code02,30.95
2004,percentage,d) adults,.,,hamburg,code02,
2005,percentage,d) adults,,,hamburg,code02,29.8
2007,percentage,d) adults,.,,hamburg,code02,
2008,percentage,d) adults,.,,hamburg,code02,
2009,percentage,d) adults,,,hamburg,code02,26.7
2010,percentage,d) adults,.,,hamburg,code02,
2011,percentage,d) adults,.,,hamburg,code02,
2012,percentage,d) adults,.,,hamburg,code02,
2013,percentage,d) adults,,,hamburg,code02,25.64
2014,percentage,d) adults,.,,hamburg,code02,
2015,percentage,d) adults,.,,hamburg,code02,
2016,percentage,d) adults,.,,hamburg,code02,
2017,percentage,d) adults,,,hamburg,code02,23.14
2018,percentage,d) adults,.,,hamburg,code02,
2019,percentage,d) adults,.,,hamburg,code02,
2021,percentage,d) adults,p,,hamburg,code02,19.4
2023,percentage,d) adults,…,,hamburg,code02,
2006,percentage,d) adults,.,,hamburg,code02,
2020,percentage,d) adults,.,,hamburg,code02,
2022,percentage,d) adults,…,,hamburg,code02,
2030,percentage,d) adults,…,,hamburg,code02,
2003,percentage,d) adults,,,hesse,code06,27.15
2004,percentage,d) adults,.,,hesse,code06,
2005,percentage,d) adults,,,hesse,code06,25.9
2007,percentage,d) adults,.,,hesse,code06,
2008,percentage,d) adults,.,,hesse,code06,
2009,percentage,d) adults,,,hesse,code06,24.6
2010,percentage,d) adults,.,,hesse,code06,
2011,percentage,d) adults,.,,hesse,code06,
2012,percentage,d) adults,.,,hesse,code06,
2013,percentage,d) adults,,,hesse,code06,23.37
2014,percentage,d) adults,.,,hesse,code06,
2015,percentage,d) adults,.,,hesse,code06,
2016,percentage,d) adults,.,,hesse,code06,
2017,percentage,d) adults,,,hesse,code06,21.11
2018,percentage,d) adults,.,,hesse,code06,
2019,percentage,d) adults,.,,hesse,code06,
2021,percentage,d) adults,p,,hesse,code06,19.4
2023,percentage,d) adults,…,,hesse,code06,
2006,percentage,d) adults,.,,hesse,code06,
2020,percentage,d) adults,.,,hesse,code06,
2022,percentage,d) adults,…,,hesse,code06,
2030,percentage,d) adults,…,,hesse,code06,
2003,percentage,d) adults,,,mecklenburg western pomerania,code13,30.61
2004,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2005,percentage,d) adults,,,mecklenburg western pomerania,code13,33.3
2007,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2008,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2009,percentage,d) adults,,,mecklenburg western pomerania,code13,30.4
2010,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2011,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2012,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2013,percentage,d) adults,,,mecklenburg western pomerania,code13,28.22
2014,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2015,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2016,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2017,percentage,d) adults,,,mecklenburg western pomerania,code13,27.66
2018,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2019,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2021,percentage,d) adults,p,,mecklenburg western pomerania,code13,23.5
2023,percentage,d) adults,…,,mecklenburg western pomerania,code13,
2006,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2020,percentage,d) adults,.,,mecklenburg western pomerania,code13,
2022,percentage,d) adults,…,,mecklenburg western pomerania,code13,
2030,percentage,d) adults,…,,mecklenburg western pomerania,code13,
2003,percentage,d) adults,,,lower saxony,code03,28.44
2004,percentage,d) adults,.,,lower saxony,code03,
2005,percentage,d) adults,,,lower saxony,code03,28.1
2007,percentage,d) adults,.,,lower saxony,code03,
2008,percentage,d) adults,.,,lower saxony,code03,
2009,percentage,d) adults,,,lower saxony,code03,26.1
2010,percentage,d) adults,.,,lower saxony,code03,
2011,percentage,d) adults,.,,lower saxony,code03,
2012,percentage,d) adults,.,,lower saxony,code03,
2013,percentage,d) adults,,,lower saxony,code03,24.69
2014,percentage,d) adults,.,,lower saxony,code03,
2015,percentage,d) adults,.,,lower saxony,code03,
2016,percentage,d) adults,.,,lower saxony,code03,
2017,percentage,d) adults,,,lower saxony,code03,22.94
2018,percentage,d) adults,.,,lower saxony,code03,
2019,percentage,d) adults,.,,lower saxony,code03,
2021,percentage,d) adults,p,,lower saxony,code03,18.8
2023,percentage,d) adults,…,,lower saxony,code03,
2006,percentage,d) adults,.,,lower saxony,code03,
2020,percentage,d) adults,.,,lower saxony,code03,
2022,percentage,d) adults,…,,lower saxony,code03,
2030,percentage,d) adults,…,,lower saxony,code03,
2003,percentage,d) adults,,,north rhine-westphalia,code05,27.63
2004,percentage,d) adults,.,,north rhine-westphalia,code05,
2005,percentage,d) adults,,,north rhine-westphalia,code05,29.0
2007,percentage,d) adults,.,,north rhine-westphalia,code05,
2008,percentage,d) adults,.,,north rhine-westphalia,code05,
2009,percentage,d) adults,,,north rhine-westphalia,code05,26.9
2010,percentage,d) adults,.,,north rhine-westphalia,code05,
2011,percentage,d) adults,.,,north rhine-westphalia,code05,
2012,percentage,d) adults,.,,north rhine-westphalia,code05,
2013,percentage,d) adults,,,north rhine-westphalia,code05,25.92
2014,percentage,d) adults,.,,north rhine-westphalia,code05,
2015,percentage,d) adults,.,,north rhine-westphalia,code05,
2016,percentage,d) adults,.,,north rhine-westphalia,code05,
2017,percentage,d) adults,,,north rhine-westphalia,code05,22.64
2018,percentage,d) adults,.,,north rhine-westphalia,code05,
2019,percentage,d) adults,.,,north rhine-westphalia,code05,
2021,percentage,d) adults,p,,north rhine-westphalia,code05,18.7
2023,percentage,d) adults,…,,north rhine-westphalia,code05,
2006,percentage,d) adults,.,,north rhine-westphalia,code05,
2020,percentage,d) adults,.,,north rhine-westphalia,code05,
2022,percentage,d) adults,…,,north rhine-westphalia,code05,
2030,percentage,d) adults,…,,north rhine-westphalia,code05,
2003,percentage,d) adults,,,rhineland palatinate,code07,27.59
2004,percentage,d) adults,.,,rhineland palatinate,code07,
2005,percentage,d) adults,,,rhineland palatinate,code07,26.0
2007,percentage,d) adults,.,,rhineland palatinate,code07,
2008,percentage,d) adults,.,,rhineland palatinate,code07,
2009,percentage,d) adults,,,rhineland palatinate,code07,25.1
2010,percentage,d) adults,.,,rhineland palatinate,code07,
2011,percentage,d) adults,.,,rhineland palatinate,code07,
2012,percentage,d) adults,.,,rhineland palatinate,code07,
2013,percentage,d) adults,,,rhineland palatinate,code07,23.86
2014,percentage,d) adults,.,,rhineland palatinate,code07,
2015,percentage,d) adults,.,,rhineland palatinate,code07,
2016,percentage,d) adults,.,,rhineland palatinate,code07,
2017,percentage,d) adults,,,rhineland palatinate,code07,21.66
2018,percentage,d) adults,.,,rhineland palatinate,code07,
2019,percentage,d) adults,.,,rhineland palatinate,code07,
2021,percentage,d) adults,p,,rhineland palatinate,code07,18.5
2023,percentage,d) adults,…,,rhineland palatinate,code07,
2006,percentage,d) adults,.,,rhineland palatinate,code07,
2020,percentage,d) adults,.,,rhineland palatinate,code07,
2022,percentage,d) adults,…,,rhineland palatinate,code07,
2030,percentage,d) adults,…,,rhineland palatinate,code07,
2003,percentage,d) adults,,,saarland,code10,25.19
2004,percentage,d) adults,.,,saarland,code10,
2005,percentage,d) adults,,,saarland,code10,26.2
2007,percentage,d) adults,.,,saarland,code10,
2008,percentage,d) adults,.,,saarland,code10,
2009,percentage,d) adults,,,saarland,code10,25.3
2010,percentage,d) adults,.,,saarland,code10,
2011,percentage,d) adults,.,,saarland,code10,
2012,percentage,d) adults,.,,saarland,code10,
2013,percentage,d) adults,,,saarland,code10,23.51
2014,percentage,d) adults,.,,saarland,code10,
2015,percentage,d) adults,.,,saarland,code10,
2016,percentage,d) adults,.,,saarland,code10,
2017,percentage,d) adults,,,saarland,code10,20.59
2018,percentage,d) adults,.,,saarland,code10,
2019,percentage,d) adults,.,,saarland,code10,
2021,percentage,d) adults,p,,saarland,code10,18.1
2023,percentage,d) adults,…,,saarland,code10,
2006,percentage,d) adults,.,,saarland,code10,
2020,percentage,d) adults,.,,saarland,code10,
2022,percentage,d) adults,…,,saarland,code10,
2030,percentage,d) adults,…,,saarland,code10,
2003,percentage,d) adults,,,saxony,code14,24.92
2004,percentage,d) adults,.,,saxony,code14,
2005,percentage,d) adults,,,saxony,code14,24.4
2007,percentage,d) adults,.,,saxony,code14,
2008,percentage,d) adults,.,,saxony,code14,
2009,percentage,d) adults,,,saxony,code14,23.8
2010,percentage,d) adults,.,,saxony,code14,
2011,percentage,d) adults,.,,saxony,code14,
2012,percentage,d) adults,.,,saxony,code14,
2013,percentage,d) adults,,,saxony,code14,22.74
2014,percentage,d) adults,.,,saxony,code14,
2015,percentage,d) adults,.,,saxony,code14,
2016,percentage,d) adults,.,,saxony,code14,
2017,percentage,d) adults,,,saxony,code14,21.47
2018,percentage,d) adults,.,,saxony,code14,
2019,percentage,d) adults,.,,saxony,code14,
2021,percentage,d) adults,p,,saxony,code14,21.1
2023,percentage,d) adults,…,,saxony,code14,
2006,percentage,d) adults,.,,saxony,code14,
2020,percentage,d) adults,.,,saxony,code14,
2022,percentage,d) adults,…,,saxony,code14,
2030,percentage,d) adults,…,,saxony,code14,
2003,percentage,d) adults,,,saxony-anhalt,code15,27.23
2004,percentage,d) adults,.,,saxony-anhalt,code15,
2005,percentage,d) adults,,,saxony-anhalt,code15,27.9
2007,percentage,d) adults,.,,saxony-anhalt,code15,
2008,percentage,d) adults,.,,saxony-anhalt,code15,
2009,percentage,d) adults,,,saxony-anhalt,code15,28.9
2010,percentage,d) adults,.,,saxony-anhalt,code15,
2011,percentage,d) adults,.,,saxony-anhalt,code15,
2012,percentage,d) adults,.,,saxony-anhalt,code15,
2013,percentage,d) adults,,,saxony-anhalt,code15,27.85
2014,percentage,d) adults,.,,saxony-anhalt,code15,
2015,percentage,d) adults,.,,saxony-anhalt,code15,
2016,percentage,d) adults,.,,saxony-anhalt,code15,
2017,percentage,d) adults,,,saxony-anhalt,code15,24.77
2018,percentage,d) adults,.,,saxony-anhalt,code15,
2019,percentage,d) adults,.,,saxony-anhalt,code15,
2021,percentage,d) adults,p,,saxony-anhalt,code15,22.8
2023,percentage,d) adults,…,,saxony-anhalt,code15,
2006,percentage,d) adults,.,,saxony-anhalt,code15,
2020,percentage,d) adults,.,,saxony-anhalt,code15,
2022,percentage,d) adults,…,,saxony-anhalt,code15,
2030,percentage,d) adults,…,,saxony-anhalt,code15,
2003,percentage,d) adults,,,schleswig-holstein,code01,30.31
2004,percentage,d) adults,.,,schleswig-holstein,code01,
2005,percentage,d) adults,,,schleswig-holstein,code01,29.5
2007,percentage,d) adults,.,,schleswig-holstein,code01,
2008,percentage,d) adults,.,,schleswig-holstein,code01,
2009,percentage,d) adults,,,schleswig-holstein,code01,27.0
2010,percentage,d) adults,.,,schleswig-holstein,code01,
2011,percentage,d) adults,.,,schleswig-holstein,code01,
2012,percentage,d) adults,.,,schleswig-holstein,code01,
2013,percentage,d) adults,,,schleswig-holstein,code01,25.9
2014,percentage,d) adults,.,,schleswig-holstein,code01,
2015,percentage,d) adults,.,,schleswig-holstein,code01,
2016,percentage,d) adults,.,,schleswig-holstein,code01,
2017,percentage,d) adults,,,schleswig-holstein,code01,23.5
2018,percentage,d) adults,.,,schleswig-holstein,code01,
2019,percentage,d) adults,.,,schleswig-holstein,code01,
2021,percentage,d) adults,p,,schleswig-holstein,code01,19.0
2023,percentage,d) adults,…,,schleswig-holstein,code01,
2006,percentage,d) adults,.,,schleswig-holstein,code01,
2020,percentage,d) adults,.,,schleswig-holstein,code01,
2022,percentage,d) adults,…,,schleswig-holstein,code01,
2030,percentage,d) adults,…,,schleswig-holstein,code01,
2003,percentage,d) adults,,,thuringia,code16,26.9
2004,percentage,d) adults,.,,thuringia,code16,
2005,percentage,d) adults,,,thuringia,code16,27.2
2007,percentage,d) adults,.,,thuringia,code16,
2008,percentage,d) adults,.,,thuringia,code16,
2009,percentage,d) adults,,,thuringia,code16,26.7
2010,percentage,d) adults,.,,thuringia,code16,
2011,percentage,d) adults,.,,thuringia,code16,
2012,percentage,d) adults,.,,thuringia,code16,
2013,percentage,d) adults,,,thuringia,code16,26.11
2014,percentage,d) adults,.,,thuringia,code16,
2015,percentage,d) adults,.,,thuringia,code16,
2016,percentage,d) adults,.,,thuringia,code16,
2017,percentage,d) adults,,,thuringia,code16,26.24
2018,percentage,d) adults,.,,thuringia,code16,
2019,percentage,d) adults,.,,thuringia,code16,
2021,percentage,d) adults,p,,thuringia,code16,23.5
2023,percentage,d) adults,…,,thuringia,code16,
2006,percentage,d) adults,.,,thuringia,code16,
2020,percentage,d) adults,.,,thuringia,code16,
2022,percentage,d) adults,…,,thuringia,code16,
2030,percentage,d) adults,…,,thuringia,code16,
