Year,Units,COMMENT_OBS_0,Sex,Federal state,GeoCode,Value
2011,Percentage,,Male,Baden-Wuerttemberg,code08,9.9
2012,Percentage,,Male,Baden-Wuerttemberg,code08,8.3
2013,Percentage,,Male,Baden-Wuerttemberg,code08,7.9
2014,Percentage,,Male,Baden-Wuerttemberg,code08,8.5
2015,Percentage,,Male,Baden-Wuerttemberg,code08,8.1
2016,Percentage,,Male,Baden-Wuerttemberg,code08,9.9
2017,Percentage,,Male,Baden-Wuerttemberg,code08,9.6
2018,Percentage,,Male,Baden-Wuerttemberg,code08,10.7
2019,Percentage,,Male,Baden-Wuerttemberg,code08,10.7
2020,Percentage,,Male,Baden-Wuerttemberg,code08,9.6
2021,Percentage,,Male,Baden-Wuerttemberg,code08,12.7
2022,Percentage,,Male,Baden-Wuerttemberg,code08,13.2
2023,Percentage,p,Male,Baden-Wuerttemberg,code08,14.5
2030,Percentage,…,Male,Baden-Wuerttemberg,code08,
1999,Percentage,,,Bavaria,code09,
2000,Percentage,.,,Bavaria,code09,
2001,Percentage,.,,Bavaria,code09,
2002,Percentage,.,,Bavaria,code09,
2003,Percentage,.,,Bavaria,code09,
2004,Percentage,.,,Bavaria,code09,
2005,Percentage,,,Bavaria,code09,11.2
2006,Percentage,,,Bavaria,code09,12.6
2007,Percentage,,,Bavaria,code09,11.2
2008,Percentage,,,Bavaria,code09,9.6
2009,Percentage,,,Bavaria,code09,8.8
2010,Percentage,,,Bavaria,code09,9.4
2011,Percentage,,,Bavaria,code09,9.1
2012,Percentage,,,Bavaria,code09,7.4
2013,Percentage,,,Bavaria,code09,7.3
2014,Percentage,,,Bavaria,code09,6.4
2015,Percentage,,,Bavaria,code09,6.2
2016,Percentage,,,Bavaria,code09,7.6
2017,Percentage,,,Bavaria,code09,7.2
2018,Percentage,,,Bavaria,code09,7.2
2019,Percentage,,,Bavaria,code09,7.6
2020,Percentage,,,Bavaria,code09,8.3
2021,Percentage,,,Bavaria,code09,9.8
2022,Percentage,,,Bavaria,code09,9.8
2023,Percentage,p,,Bavaria,code09,10.7
2030,Percentage,…,,Bavaria,code09,
1999,Percentage,,Female,Bavaria,code09,
2000,Percentage,.,Female,Bavaria,code09,
2001,Percentage,.,Female,Bavaria,code09,
2002,Percentage,.,Female,Bavaria,code09,
2003,Percentage,.,Female,Bavaria,code09,
2004,Percentage,.,Female,Bavaria,code09,
2005,Percentage,,Female,Bavaria,code09,11.5
2006,Percentage,,Female,Bavaria,code09,12.5
2007,Percentage,,Female,Bavaria,code09,9.9
2008,Percentage,,Female,Bavaria,code09,9.0
2009,Percentage,,Female,Bavaria,code09,8.2
2010,Percentage,,Female,Bavaria,code09,9.1
2011,Percentage,,Female,Bavaria,code09,8.0
2012,Percentage,,Female,Bavaria,code09,6.8
2013,Percentage,,Female,Bavaria,code09,7.0
2014,Percentage,,Female,Bavaria,code09,6.2
2015,Percentage,,Female,Bavaria,code09,5.6
2016,Percentage,,Female,Bavaria,code09,6.8
2017,Percentage,,Female,Bavaria,code09,6.5
2018,Percentage,,Female,Bavaria,code09,6.4
2019,Percentage,,Female,Bavaria,code09,6.5
2020,Percentage,,Female,Bavaria,code09,7.2
2021,Percentage,,Female,Bavaria,code09,7.9
2022,Percentage,,Female,Bavaria,code09,8.7
2023,Percentage,p,Female,Bavaria,code09,8.6
2030,Percentage,…,Female,Bavaria,code09,
1999,Percentage,,Male,Bavaria,code09,
2000,Percentage,.,Male,Bavaria,code09,
2001,Percentage,.,Male,Bavaria,code09,
2002,Percentage,.,Male,Bavaria,code09,
2003,Percentage,.,Male,Bavaria,code09,
2004,Percentage,.,Male,Bavaria,code09,
2005,Percentage,,Male,Bavaria,code09,10.8
2006,Percentage,,Male,Bavaria,code09,12.6
2007,Percentage,,Male,Bavaria,code09,12.6
2008,Percentage,,Male,Bavaria,code09,10.1
2009,Percentage,,Male,Bavaria,code09,9.5
2010,Percentage,,Male,Bavaria,code09,9.7
2011,Percentage,,Male,Bavaria,code09,10.2
2012,Percentage,,Male,Bavaria,code09,7.8
2013,Percentage,,Male,Bavaria,code09,7.6
2014,Percentage,,Male,Bavaria,code09,6.6
2015,Percentage,,Male,Bavaria,code09,6.7
2016,Percentage,,Male,Bavaria,code09,8.4
2017,Percentage,,Male,Bavaria,code09,7.8
2018,Percentage,,Male,Bavaria,code09,8.0
2019,Percentage,,Male,Bavaria,code09,8.6
2020,Percentage,,Male,Bavaria,code09,9.3
2021,Percentage,,Male,Bavaria,code09,11.4
2022,Percentage,,Male,Bavaria,code09,10.9
2023,Percentage,p,Male,Bavaria,code09,12.6
2030,Percentage,…,Male,Bavaria,code09,
1999,Percentage,,,Berlin,code11,
2000,Percentage,.,,Berlin,code11,
2001,Percentage,.,,Berlin,code11,
2002,Percentage,.,,Berlin,code11,
2003,Percentage,.,,Berlin,code11,
2004,Percentage,.,,Berlin,code11,
2005,Percentage,,,Berlin,code11,18.7
2006,Percentage,,,Berlin,code11,18.2
2007,Percentage,,,Berlin,code11,13.0
2008,Percentage,,,Berlin,code11,15.7
2009,Percentage,,,Berlin,code11,14.2
2010,Percentage,,,Berlin,code11,14.6
2011,Percentage,,,Berlin,code11,13.1
2012,Percentage,,,Berlin,code11,13.0
2013,Percentage,,,Berlin,code11,11.9
2014,Percentage,,,Berlin,code11,13.5
2015,Percentage,,,Berlin,code11,13.7
2016,Percentage,,,Berlin,code11,11.7
2017,Percentage,,,Berlin,code11,13.2
2018,Percentage,,,Berlin,code11,13.6
2019,Percentage,,,Berlin,code11,11.6
2020,Percentage,,,Berlin,code11,9.8
2021,Percentage,,,Berlin,code11,9.5
2022,Percentage,,,Berlin,code11,13.2
2023,Percentage,p,,Berlin,code11,14.7
2030,Percentage,…,,Berlin,code11,
1999,Percentage,,Female,Berlin,code11,
2000,Percentage,.,Female,Berlin,code11,
2001,Percentage,.,Female,Berlin,code11,
2002,Percentage,.,Female,Berlin,code11,
2003,Percentage,.,Female,Berlin,code11,
2004,Percentage,.,Female,Berlin,code11,
2005,Percentage,,Female,Berlin,code11,17.0
2006,Percentage,,Female,Berlin,code11,16.7
2007,Percentage,,Female,Berlin,code11,11.5
2008,Percentage,,Female,Berlin,code11,14.0
2009,Percentage,,Female,Berlin,code11,13.0
2010,Percentage,,Female,Berlin,code11,12.4
2011,Percentage,,Female,Berlin,code11,11.2
2012,Percentage,,Female,Berlin,code11,10.8
2013,Percentage,,Female,Berlin,code11,9.1
2014,Percentage,,Female,Berlin,code11,11.9
2015,Percentage,,Female,Berlin,code11,10.7
2016,Percentage,,Female,Berlin,code11,10.9
2017,Percentage,,Female,Berlin,code11,11.0
2018,Percentage,,Female,Berlin,code11,10.4
2019,Percentage,,Female,Berlin,code11,8.0
2020,Percentage,.,Female,Berlin,code11,
2021,Percentage,.,Female,Berlin,code11,
2022,Percentage,.,Female,Berlin,code11,
2023,Percentage,p,Female,Berlin,code11,16.3
2030,Percentage,…,Female,Berlin,code11,
1999,Percentage,,Male,Berlin,code11,
2000,Percentage,.,Male,Berlin,code11,
2001,Percentage,.,Male,Berlin,code11,
2002,Percentage,.,Male,Berlin,code11,
2003,Percentage,.,Male,Berlin,code11,
2004,Percentage,.,Male,Berlin,code11,
2005,Percentage,,Male,Berlin,code11,20.5
2006,Percentage,,Male,Berlin,code11,19.7
2007,Percentage,,Male,Berlin,code11,14.4
2008,Percentage,,Male,Berlin,code11,17.4
2009,Percentage,,Male,Berlin,code11,15.5
2010,Percentage,,Male,Berlin,code11,17.0
2011,Percentage,,Male,Berlin,code11,15.0
2012,Percentage,,Male,Berlin,code11,15.2
2013,Percentage,,Male,Berlin,code11,14.8
2014,Percentage,,Male,Berlin,code11,15.3
2015,Percentage,,Male,Berlin,code11,17.0
2016,Percentage,,Male,Berlin,code11,12.5
2017,Percentage,,Male,Berlin,code11,15.5
2018,Percentage,,Male,Berlin,code11,16.9
2019,Percentage,,Male,Berlin,code11,15.0
2020,Percentage,.,Male,Berlin,code11,
2021,Percentage,,Male,Berlin,code11,
2022,Percentage,.,Male,Berlin,code11,
2023,Percentage,p,Male,Berlin,code11,13.1
2030,Percentage,…,Male,Berlin,code11,
1999,Percentage,,,Brandenburg,code12,
2000,Percentage,.,,Brandenburg,code12,
2001,Percentage,.,,Brandenburg,code12,
2002,Percentage,.,,Brandenburg,code12,
2003,Percentage,.,,Brandenburg,code12,
2004,Percentage,.,,Brandenburg,code12,
2005,Percentage,,,Brandenburg,code12,10.2
2006,Percentage,,,Brandenburg,code12,11.1
2007,Percentage,,,Brandenburg,code12,9.0
2008,Percentage,,,Brandenburg,code12,9.3
2009,Percentage,,,Brandenburg,code12,9.0
2010,Percentage,,,Brandenburg,code12,9.6
2011,Percentage,,,Brandenburg,code12,10.2
2012,Percentage,,,Brandenburg,code12,10.0
2013,Percentage,,,Brandenburg,code12,10.6
2014,Percentage,,,Brandenburg,code12,9.0
2015,Percentage,,,Brandenburg,code12,11.6
2016,Percentage,,,Brandenburg,code12,11.0
2017,Percentage,,,Brandenburg,code12,12.3
2018,Percentage,,,Brandenburg,code12,11.5
2019,Percentage,,,Brandenburg,code12,10.8
2020,Percentage,.,,Brandenburg,code12,
2021,Percentage,.,,Brandenburg,code12,
2022,Percentage,.,,Brandenburg,code12,
2023,Percentage,p,,Brandenburg,code12,12.0
2030,Percentage,…,,Brandenburg,code12,
1999,Percentage,,Female,Brandenburg,code12,
2000,Percentage,.,Female,Brandenburg,code12,
2001,Percentage,.,Female,Brandenburg,code12,
2002,Percentage,.,Female,Brandenburg,code12,
2003,Percentage,.,Female,Brandenburg,code12,
2004,Percentage,.,Female,Brandenburg,code12,
2005,Percentage,,Female,Brandenburg,code12,10.1
2006,Percentage,,Female,Brandenburg,code12,9.7
2007,Percentage,,Female,Brandenburg,code12,6.2
2008,Percentage,,Female,Brandenburg,code12,7.1
2009,Percentage,,Female,Brandenburg,code12,7.5
2010,Percentage,,Female,Brandenburg,code12,7.1
2011,Percentage,,Female,Brandenburg,code12,8.4
2012,Percentage,,Female,Brandenburg,code12,10.3
2013,Percentage,,Female,Brandenburg,code12,10.1
2014,Percentage,.,Female,Brandenburg,code12,
2015,Percentage,,Female,Brandenburg,code12,11.1
2016,Percentage,.,Female,Brandenburg,code12,
2017,Percentage,.,Female,Brandenburg,code12,
2018,Percentage,,Female,Brandenburg,code12,10.4
2019,Percentage,.,Female,Brandenburg,code12,
2020,Percentage,.,Female,Brandenburg,code12,
2021,Percentage,.,Female,Brandenburg,code12,
2022,Percentage,.,Female,Brandenburg,code12,
2023,Percentage,.,Female,Brandenburg,code12,
2030,Percentage,…,Female,Brandenburg,code12,
1999,Percentage,,Male,Brandenburg,code12,
2000,Percentage,.,Male,Brandenburg,code12,
2001,Percentage,.,Male,Brandenburg,code12,
2002,Percentage,.,Male,Brandenburg,code12,
2003,Percentage,.,Male,Brandenburg,code12,
2004,Percentage,.,Male,Brandenburg,code12,
2005,Percentage,,Male,Brandenburg,code12,10.3
2006,Percentage,,Male,Brandenburg,code12,12.4
2007,Percentage,,Male,Brandenburg,code12,11.5
2008,Percentage,,Male,Brandenburg,code12,11.3
2009,Percentage,,Male,Brandenburg,code12,10.4
2010,Percentage,,Male,Brandenburg,code12,11.7
2011,Percentage,,Male,Brandenburg,code12,11.8
2012,Percentage,,Male,Brandenburg,code12,9.7
2013,Percentage,,Male,Brandenburg,code12,11.0
2014,Percentage,,Male,Brandenburg,code12,9.2
2015,Percentage,,Male,Brandenburg,code12,11.9
2016,Percentage,,Male,Brandenburg,code12,12.6
2017,Percentage,,Male,Brandenburg,code12,15.0
2018,Percentage,,Male,Brandenburg,code12,12.4
2019,Percentage,,Male,Brandenburg,code12,13.6
2020,Percentage,.,Male,Brandenburg,code12,
2021,Percentage,.,Male,Brandenburg,code12,
2022,Percentage,.,Male,Brandenburg,code12,
2023,Percentage,.,Male,Brandenburg,code12,
2030,Percentage,…,Male,Brandenburg,code12,
1999,Percentage,,,Bremen,code04,
2000,Percentage,.,,Bremen,code04,
2001,Percentage,.,,Bremen,code04,
2002,Percentage,.,,Bremen,code04,
2003,Percentage,.,,Bremen,code04,
2004,Percentage,.,,Bremen,code04,
2005,Percentage,,,Bremen,code04,19.1
2006,Percentage,,,Bremen,code04,17.5
2007,Percentage,,,Bremen,code04,15.0
2008,Percentage,,,Bremen,code04,14.4
2009,Percentage,,,Bremen,code04,14.5
2010,Percentage,,,Bremen,code04,14.3
2011,Percentage,,,Bremen,code04,17.2
2012,Percentage,,,Bremen,code04,13.3
2013,Percentage,,,Bremen,code04,14.9
2014,Percentage,,,Bremen,code04,14.0
2015,Percentage,,,Bremen,code04,11.5
2016,Percentage,,,Bremen,code04,11.1
2017,Percentage,,,Bremen,code04,10.9
2018,Percentage,,,Bremen,code04,14.6
2019,Percentage,,,Bremen,code04,16.0
2020,Percentage,.,,Bremen,code04,
2021,Percentage,.,,Bremen,code04,
2022,Percentage,,,Bremen,code04,20.6
2023,Percentage,p,,Bremen,code04,21.5
2030,Percentage,…,,Bremen,code04,
1999,Percentage,,Female,Bremen,code04,
2000,Percentage,.,Female,Bremen,code04,
2001,Percentage,.,Female,Bremen,code04,
2002,Percentage,.,Female,Bremen,code04,
2003,Percentage,.,Female,Bremen,code04,
2004,Percentage,.,Female,Bremen,code04,
2005,Percentage,,Female,Bremen,code04,19.8
2006,Percentage,,Female,Bremen,code04,20.0
2007,Percentage,.,Female,Bremen,code04,
2008,Percentage,.,Female,Bremen,code04,
2009,Percentage,.,Female,Bremen,code04,
2010,Percentage,.,Female,Bremen,code04,
2011,Percentage,.,Female,Bremen,code04,
2012,Percentage,.,Female,Bremen,code04,
2013,Percentage,.,Female,Bremen,code04,
2014,Percentage,.,Female,Bremen,code04,
2015,Percentage,.,Female,Bremen,code04,
2016,Percentage,.,Female,Bremen,code04,
2017,Percentage,.,Female,Bremen,code04,
2018,Percentage,.,Female,Bremen,code04,
2019,Percentage,.,Female,Bremen,code04,
2020,Percentage,.,Female,Bremen,code04,
2021,Percentage,.,Female,Bremen,code04,
2022,Percentage,.,Female,Bremen,code04,
2023,Percentage,.,Female,Bremen,code04,
2030,Percentage,…,Female,Bremen,code04,
1999,Percentage,,Male,Bremen,code04,
2000,Percentage,.,Male,Bremen,code04,
2001,Percentage,.,Male,Bremen,code04,
2002,Percentage,.,Male,Bremen,code04,
2003,Percentage,.,Male,Bremen,code04,
2004,Percentage,.,Male,Bremen,code04,
2005,Percentage,,Male,Bremen,code04,18.2
2006,Percentage,,Male,Bremen,code04,14.8
2007,Percentage,,Male,Bremen,code04,19.2
2008,Percentage,.,Male,Bremen,code04,
2009,Percentage,.,Male,Bremen,code04,
2010,Percentage,.,Male,Bremen,code04,
2011,Percentage,.,Male,Bremen,code04,
2012,Percentage,.,Male,Bremen,code04,
2013,Percentage,.,Male,Bremen,code04,
2014,Percentage,.,Male,Bremen,code04,
2015,Percentage,.,Male,Bremen,code04,
2016,Percentage,.,Male,Bremen,code04,
2017,Percentage,.,Male,Bremen,code04,
2018,Percentage,,Male,Bremen,code04,17.7
2019,Percentage,,Male,Bremen,code04,17.7
2020,Percentage,.,Male,Bremen,code04,
2021,Percentage,.,Male,Bremen,code04,
2022,Percentage,.,Male,Bremen,code04,
2023,Percentage,.,Male,Bremen,code04,
2030,Percentage,…,Male,Bremen,code04,
1999,Percentage,,,Hamburg,code02,
2000,Percentage,.,,Hamburg,code02,
2001,Percentage,.,,Hamburg,code02,
2002,Percentage,.,,Hamburg,code02,
2003,Percentage,.,,Hamburg,code02,
2004,Percentage,.,,Hamburg,code02,
2005,Percentage,,,Hamburg,code02,21.2
2006,Percentage,,,Hamburg,code02,16.7
2007,Percentage,,,Hamburg,code02,15.5
2008,Percentage,,,Hamburg,code02,14.7
2009,Percentage,,,Hamburg,code02,12.1
2010,Percentage,,,Hamburg,code02,13.2
2011,Percentage,,,Hamburg,code02,13.2
2012,Percentage,,,Hamburg,code02,12.5
2013,Percentage,,,Hamburg,code02,11.6
2014,Percentage,,,Hamburg,code02,11.8
2015,Percentage,,,Hamburg,code02,12.6
2016,Percentage,,,Hamburg,code02,12.8
2017,Percentage,,,Hamburg,code02,11.4
2018,Percentage,,,Hamburg,code02,11.6
2019,Percentage,,,Hamburg,code02,14.0
2020,Percentage,.,,Hamburg,code02,
2021,Percentage,.,,Hamburg,code02,
2022,Percentage,,,Hamburg,code02,14.0
2023,Percentage,p,,Hamburg,code02,13.4
2030,Percentage,…,,Hamburg,code02,
1999,Percentage,,Female,Hamburg,code02,
2000,Percentage,.,Female,Hamburg,code02,
2001,Percentage,.,Female,Hamburg,code02,
2002,Percentage,.,Female,Hamburg,code02,
2003,Percentage,.,Female,Hamburg,code02,
2004,Percentage,.,Female,Hamburg,code02,
2005,Percentage,,Female,Hamburg,code02,21.9
2006,Percentage,,Female,Hamburg,code02,15.9
2007,Percentage,,Female,Hamburg,code02,14.1
2008,Percentage,,Female,Hamburg,code02,11.9
2009,Percentage,,Female,Hamburg,code02,10.2
2010,Percentage,,Female,Hamburg,code02,11.7
2011,Percentage,,Female,Hamburg,code02,11.0
2012,Percentage,,Female,Hamburg,code02,11.1
2013,Percentage,,Female,Hamburg,code02,11.9
2014,Percentage,,Female,Hamburg,code02,9.7
2015,Percentage,,Female,Hamburg,code02,11.0
2016,Percentage,,Female,Hamburg,code02,12.4
2017,Percentage,,Female,Hamburg,code02,10.7
2018,Percentage,,Female,Hamburg,code02,12.2
2019,Percentage,,Female,Hamburg,code02,13.4
2020,Percentage,.,Female,Hamburg,code02,
2021,Percentage,.,Female,Hamburg,code02,
2022,Percentage,.,Female,Hamburg,code02,
2023,Percentage,.,Female,Hamburg,code02,
2030,Percentage,…,Female,Hamburg,code02,
1999,Percentage,,Male,Hamburg,code02,
2000,Percentage,.,Male,Hamburg,code02,
2001,Percentage,.,Male,Hamburg,code02,
2002,Percentage,.,Male,Hamburg,code02,
2003,Percentage,.,Male,Hamburg,code02,
2004,Percentage,.,Male,Hamburg,code02,
2005,Percentage,,Male,Hamburg,code02,20.4
2006,Percentage,,Male,Hamburg,code02,17.7
2007,Percentage,,Male,Hamburg,code02,16.7
2008,Percentage,,Male,Hamburg,code02,17.5
2009,Percentage,,Male,Hamburg,code02,14.1
2010,Percentage,,Male,Hamburg,code02,14.9
2011,Percentage,,Male,Hamburg,code02,15.4
2012,Percentage,,Male,Hamburg,code02,13.9
2013,Percentage,,Male,Hamburg,code02,11.4
2014,Percentage,,Male,Hamburg,code02,13.9
2015,Percentage,,Male,Hamburg,code02,14.1
2016,Percentage,,Male,Hamburg,code02,13.2
2017,Percentage,,Male,Hamburg,code02,12.1
2018,Percentage,,Male,Hamburg,code02,11.0
2019,Percentage,,Male,Hamburg,code02,14.4
2020,Percentage,.,Male,Hamburg,code02,
2021,Percentage,.,Male,Hamburg,code02,
2022,Percentage,.,Male,Hamburg,code02,
2023,Percentage,.,Male,Hamburg,code02,
2030,Percentage,…,Male,Hamburg,code02,
1999,Percentage,,,Hesse,code06,
2000,Percentage,.,,Hesse,code06,
2001,Percentage,.,,Hesse,code06,
2002,Percentage,.,,Hesse,code06,
2003,Percentage,.,,Hesse,code06,
2004,Percentage,.,,Hesse,code06,
2005,Percentage,,,Hesse,code06,13.3
2006,Percentage,,,Hesse,code06,14.7
2007,Percentage,,,Hesse,code06,12.1
2008,Percentage,,,Hesse,code06,12.4
2009,Percentage,,,Hesse,code06,11.4
2010,Percentage,,,Hesse,code06,11.8
2011,Percentage,,,Hesse,code06,10.6
2012,Percentage,,,Hesse,code06,9.1
2013,Percentage,,,Hesse,code06,10.0
2014,Percentage,,,Hesse,code06,9.7
2015,Percentage,,,Hesse,code06,9.5
2016,Percentage,,,Hesse,code06,10.5
2017,Percentage,,,Hesse,code06,10.2
2018,Percentage,,,Hesse,code06,10.7
2019,Percentage,,,Hesse,code06,10.3
2020,Percentage,,,Hesse,code06,12.3
2021,Percentage,,,Hesse,code06,13.6
2022,Percentage,,,Hesse,code06,14.6
2023,Percentage,p,,Hesse,code06,14.9
2030,Percentage,…,,Hesse,code06,
1999,Percentage,,Female,Hesse,code06,
2000,Percentage,.,Female,Hesse,code06,
2001,Percentage,.,Female,Hesse,code06,
2002,Percentage,.,Female,Hesse,code06,
2003,Percentage,.,Female,Hesse,code06,
2004,Percentage,.,Female,Hesse,code06,
2005,Percentage,,Female,Hesse,code06,12.7
2006,Percentage,,Female,Hesse,code06,13.8
2007,Percentage,,Female,Hesse,code06,13.7
2008,Percentage,,Female,Hesse,code06,11.7
2009,Percentage,,Female,Hesse,code06,10.4
2010,Percentage,,Female,Hesse,code06,10.6
2011,Percentage,,Female,Hesse,code06,9.5
2012,Percentage,,Female,Hesse,code06,8.4
2013,Percentage,,Female,Hesse,code06,9.2
2014,Percentage,,Female,Hesse,code06,8.9
2015,Percentage,,Female,Hesse,code06,9.4
2016,Percentage,,Female,Hesse,code06,9.5
2017,Percentage,,Female,Hesse,code06,8.3
2018,Percentage,,Female,Hesse,code06,8.9
2019,Percentage,,Female,Hesse,code06,8.7
2020,Percentage,,Female,Hesse,code06,9.4
