Year,Units,Degree of urbanisation,Federal state,GeoCode,Value
2012,m² per year,,Baden-Wuerttemberg,code08,-2.306
2013,m² per year,,Baden-Wuerttemberg,code08,-2.157
2014,m² per year,,Baden-Wuerttemberg,code08,-2.028
2015,m² per year,,Baden-Wuerttemberg,code08,-1.918
2016,m² per year,,Baden-Wuerttemberg,code08,-1.7
2017,m² per year,,Baden-Wuerttemberg,code08,-1.88
2018,m² per year,,Baden-Wuerttemberg,code08,-1.81
2019,m² per year,,Baden-Wuerttemberg,code08,-1.765
2020,m² per year,,Baden-Wuerttemberg,code08,-1.862
2021,m² per year,,Baden-Wuerttemberg,code08,-1.723
2022,m² per year,,Baden-Wuerttemberg,code08,-1.721
2009,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.106
2010,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.214
2011,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.199
2012,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.093
2013,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.024
2014,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.899
2015,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.852
2016,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.779
2017,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.867
2018,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.78
2019,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.686
2020,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.707
2021,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.626
2022,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-0.673
2009,m² per year,Rural areas,Baden-Wuerttemberg,code08,-3.244
2010,m² per year,Rural areas,Baden-Wuerttemberg,code08,-3.063
2011,m² per year,Rural areas,Baden-Wuerttemberg,code08,-3.003
2012,m² per year,Rural areas,Baden-Wuerttemberg,code08,-3.091
2013,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.899
2014,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.756
2015,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.602
2016,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.302
2017,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.577
2018,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.545
2019,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.532
2020,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.645
2021,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.461
2022,m² per year,Rural areas,Baden-Wuerttemberg,code08,-2.424
2004,m² per year,,Bavaria,code09,-5.372
2005,m² per year,,Bavaria,code09,-4.922
2006,m² per year,,Bavaria,code09,-5.092
2007,m² per year,,Bavaria,code09,-5.024
2008,m² per year,,Bavaria,code09,-5.098
2009,m² per year,,Bavaria,code09,-5.134
2010,m² per year,,Bavaria,code09,-5.152
2011,m² per year,,Bavaria,code09,-8.52
2012,m² per year,,Bavaria,code09,-8.188
2013,m² per year,,Bavaria,code09,-7.889
2014,m² per year,,Bavaria,code09,-7.12
2015,m² per year,,Bavaria,code09,-3.494
2016,m² per year,,Bavaria,code09,-3.278
2017,m² per year,,Bavaria,code09,-3.186
2018,m² per year,,Bavaria,code09,-3.115
2019,m² per year,,Bavaria,code09,-2.933
2020,m² per year,,Bavaria,code09,-3.076
2021,m² per year,,Bavaria,code09,-2.968
2022,m² per year,,Bavaria,code09,-2.755
2009,m² per year,Non-rural areas,Bavaria,code09,-1.52
2010,m² per year,Non-rural areas,Bavaria,code09,-1.654
2011,m² per year,Non-rural areas,Bavaria,code09,-1.956
2012,m² per year,Non-rural areas,Bavaria,code09,-1.68
2013,m² per year,Non-rural areas,Bavaria,code09,-1.526
2014,m² per year,Non-rural areas,Bavaria,code09,-1.261
2015,m² per year,Non-rural areas,Bavaria,code09,-0.84
2016,m² per year,Non-rural areas,Bavaria,code09,-0.945
2017,m² per year,Non-rural areas,Bavaria,code09,-1.105
2018,m² per year,Non-rural areas,Bavaria,code09,-1.101
2019,m² per year,Non-rural areas,Bavaria,code09,-0.951
2020,m² per year,Non-rural areas,Bavaria,code09,-0.783
2021,m² per year,Non-rural areas,Bavaria,code09,-0.498
2022,m² per year,Non-rural areas,Bavaria,code09,-0.449
2009,m² per year,Rural areas,Bavaria,code09,-5.989
2010,m² per year,Rural areas,Bavaria,code09,-6.806
2011,m² per year,Rural areas,Bavaria,code09,-12.587
2012,m² per year,Rural areas,Bavaria,code09,-10.573
2013,m² per year,Rural areas,Bavaria,code09,-10.25
2014,m² per year,Rural areas,Bavaria,code09,-9.346
2015,m² per year,Rural areas,Bavaria,code09,-4.513
2016,m² per year,Rural areas,Bavaria,code09,-4.172
2017,m² per year,Rural areas,Bavaria,code09,-3.985
2018,m² per year,Rural areas,Bavaria,code09,-3.878
2019,m² per year,Rural areas,Bavaria,code09,-3.693
2020,m² per year,Rural areas,Bavaria,code09,-3.962
2021,m² per year,Rural areas,Bavaria,code09,-3.922
2022,m² per year,Rural areas,Bavaria,code09,-3.648
2004,m² per year,,Berlin,code11,-0.304
2005,m² per year,,Berlin,code11,-0.305
2006,m² per year,,Berlin,code11,-0.229
2007,m² per year,,Berlin,code11,-0.307
2008,m² per year,,Berlin,code11,-0.307
2009,m² per year,,Berlin,code11,-0.383
2010,m² per year,,Berlin,code11,-0.459
2011,m² per year,,Berlin,code11,-0.306
2012,m² per year,,Berlin,code11,-0.158
2013,m² per year,,Berlin,code11,-0.001
2014,m² per year,,Berlin,code11,0.075
2015,m² per year,,Berlin,code11,0.075
2016,m² per year,,Berlin,code11,-0.158
2017,m² per year,,Berlin,code11,-0.152
2018,m² per year,,Berlin,code11,-0.18
2019,m² per year,,Berlin,code11,-0.193
2020,m² per year,,Berlin,code11,-0.119
2021,m² per year,,Berlin,code11,-0.057
2022,m² per year,,Berlin,code11,-0.036
2004,m² per year,,Brandenburg,code12,-11.701
2005,m² per year,,Brandenburg,code12,-12.348
2006,m² per year,,Brandenburg,code12,-12.495
2007,m² per year,,Brandenburg,code12,-12.048
2008,m² per year,,Brandenburg,code12,-13.696
2009,m² per year,,Brandenburg,code12,-12.27
2010,m² per year,,Brandenburg,code12,-10.923
2011,m² per year,,Brandenburg,code12,-9.659
2012,m² per year,,Brandenburg,code12,-6.785
2013,m² per year,,Brandenburg,code12,-8.454
2014,m² per year,,Brandenburg,code12,-7.854
2015,m² per year,,Brandenburg,code12,-7.335
2016,m² per year,,Brandenburg,code12,-7.064
2017,m² per year,,Brandenburg,code12,-3.084
2018,m² per year,,Brandenburg,code12,-2.548
2019,m² per year,,Brandenburg,code12,-2.033
2020,m² per year,,Brandenburg,code12,-3.778
2021,m² per year,,Brandenburg,code12,-5.882
2022,m² per year,,Brandenburg,code12,-7.418
2009,m² per year,Non-rural areas,Brandenburg,code12,1.358
2010,m² per year,Non-rural areas,Brandenburg,code12,0.201
2011,m² per year,Non-rural areas,Brandenburg,code12,0.05
2012,m² per year,Non-rural areas,Brandenburg,code12,-0.794
2013,m² per year,Non-rural areas,Brandenburg,code12,-1.435
2014,m² per year,Non-rural areas,Brandenburg,code12,-1.356
2015,m² per year,Non-rural areas,Brandenburg,code12,-1.472
2016,m² per year,Non-rural areas,Brandenburg,code12,-1.252
2017,m² per year,Non-rural areas,Brandenburg,code12,-1.092
2018,m² per year,Non-rural areas,Brandenburg,code12,-1.157
2019,m² per year,Non-rural areas,Brandenburg,code12,-1.144
2020,m² per year,Non-rural areas,Brandenburg,code12,-1.11
2021,m² per year,Non-rural areas,Brandenburg,code12,-1.377
2022,m² per year,Non-rural areas,Brandenburg,code12,-2.848
2009,m² per year,Rural areas,Brandenburg,code12,-10.518
2010,m² per year,Rural areas,Brandenburg,code12,-8.965
2011,m² per year,Rural areas,Brandenburg,code12,-7.687
2012,m² per year,Rural areas,Brandenburg,code12,-7.15
2013,m² per year,Rural areas,Brandenburg,code12,-8.974
2014,m² per year,Rural areas,Brandenburg,code12,-8.266
2015,m² per year,Rural areas,Brandenburg,code12,-7.706
2016,m² per year,Rural areas,Brandenburg,code12,-7.432
2017,m² per year,Rural areas,Brandenburg,code12,-3.193
2018,m² per year,Rural areas,Brandenburg,code12,-2.658
2019,m² per year,Rural areas,Brandenburg,code12,-2.124
2020,m² per year,Rural areas,Brandenburg,code12,-3.987
2021,m² per year,Rural areas,Brandenburg,code12,-6.228
2022,m² per year,Rural areas,Brandenburg,code12,-7.77
2004,m² per year,,Bremen,code04,-0.762
2005,m² per year,,Bremen,code04,-0.761
2006,m² per year,,Bremen,code04,-0.761
2007,m² per year,,Bremen,code04,-1.142
2008,m² per year,,Bremen,code04,-1.142
2009,m² per year,,Bremen,code04,-0.761
2010,m² per year,,Bremen,code04,-1.144
2011,m² per year,,Bremen,code04,-0.766
2012,m² per year,,Bremen,code04,-1.53
2013,m² per year,,Bremen,code04,-1.53
2014,m² per year,,Bremen,code04,-1.525
2015,m² per year,,Bremen,code04,-1.141
2016,m² per year,,Bremen,code04,-0.728
2017,m² per year,,Bremen,code04,-0.83
2018,m² per year,,Bremen,code04,-0.325
2019,m² per year,,Bremen,code04,-0.383
2020,m² per year,,Bremen,code04,-0.173
2021,m² per year,,Bremen,code04,-0.141
2022,m² per year,,Bremen,code04,-0.608
2004,m² per year,,Hamburg,code02,-1.635
2005,m² per year,,Hamburg,code02,-2.23
2006,m² per year,,Hamburg,code02,-1.933
2007,m² per year,,Hamburg,code02,-1.635
2008,m² per year,,Hamburg,code02,-1.041
2009,m² per year,,Hamburg,code02,-0.592
2010,m² per year,,Hamburg,code02,-0.442
2011,m² per year,,Hamburg,code02,-0.294
2012,m² per year,,Hamburg,code02,-0.438
2013,m² per year,,Hamburg,code02,-0.578
2014,m² per year,,Hamburg,code02,-0.005
2015,m² per year,,Hamburg,code02,0.415
2016,m² per year,,Hamburg,code02,0.994
2017,m² per year,,Hamburg,code02,1.224
2018,m² per year,,Hamburg,code02,0.839
2019,m² per year,,Hamburg,code02,0.449
2020,m² per year,,Hamburg,code02,0.029
2021,m² per year,,Hamburg,code02,0.164
2022,m² per year,,Hamburg,code02,0.457
2004,m² per year,,Hesse,code06,-2.406
2005,m² per year,,Hesse,code06,-2.53
2006,m² per year,,Hesse,code06,-2.323
2007,m² per year,,Hesse,code06,-2.368
2008,m² per year,,Hesse,code06,-2.164
2009,m² per year,,Hesse,code06,-2.168
2010,m² per year,,Hesse,code06,-2.256
2011,m² per year,,Hesse,code06,-1.756
2012,m² per year,,Hesse,code06,-1.879
2013,m² per year,,Hesse,code06,-1.666
2014,m² per year,,Hesse,code06,-1.613
2015,m² per year,,Hesse,code06,-1.81
2016,m² per year,,Hesse,code06,-1.964
2017,m² per year,,Hesse,code06,-2.179
2018,m² per year,,Hesse,code06,-2.057
2019,m² per year,,Hesse,code06,-2.051
2020,m² per year,,Hesse,code06,-1.533
2021,m² per year,,Hesse,code06,-1.185
2022,m² per year,,Hesse,code06,-0.37
2009,m² per year,Non-rural areas,Hesse,code06,-0.624
2010,m² per year,Non-rural areas,Hesse,code06,-0.856
2011,m² per year,Non-rural areas,Hesse,code06,-0.863
2012,m² per year,Non-rural areas,Hesse,code06,-1.072
2013,m² per year,Non-rural areas,Hesse,code06,-1.056
2014,m² per year,Non-rural areas,Hesse,code06,-1.268
2015,m² per year,Non-rural areas,Hesse,code06,-1.261
2016,m² per year,Non-rural areas,Hesse,code06,-1.176
2017,m² per year,Non-rural areas,Hesse,code06,-1.387
2018,m² per year,Non-rural areas,Hesse,code06,-1.011
2019,m² per year,Non-rural areas,Hesse,code06,-0.842
2020,m² per year,Non-rural areas,Hesse,code06,-0.461
2021,m² per year,Non-rural areas,Hesse,code06,-0.221
2022,m² per year,Non-rural areas,Hesse,code06,-0.174
2009,m² per year,Rural areas,Hesse,code06,-3.178
2010,m² per year,Rural areas,Hesse,code06,-3.062
2011,m² per year,Rural areas,Hesse,code06,-2.307
2012,m² per year,Rural areas,Hesse,code06,-2.385
2013,m² per year,Rural areas,Hesse,code06,-2.052
2014,m² per year,Rural areas,Hesse,code06,-1.882
2015,m² per year,Rural areas,Hesse,code06,-2.17
2016,m² per year,Rural areas,Hesse,code06,-2.523
2017,m² per year,Rural areas,Hesse,code06,-2.75
2018,m² per year,Rural areas,Hesse,code06,-2.81
2019,m² per year,Rural areas,Hesse,code06,-2.912
2020,m² per year,Rural areas,Hesse,code06,-2.307
2021,m² per year,Rural areas,Hesse,code06,-1.88
2022,m² per year,Rural areas,Hesse,code06,-0.513
2004,m² per year,,Mecklenburg Western Pomerania,code13,-18.418
2005,m² per year,,Mecklenburg Western Pomerania,code13,-18.117
2006,m² per year,,Mecklenburg Western Pomerania,code13,-16.532
2007,m² per year,,Mecklenburg Western Pomerania,code13,-15.348
2008,m² per year,,Mecklenburg Western Pomerania,code13,-17.005
2009,m² per year,,Mecklenburg Western Pomerania,code13,-17.746
2010,m² per year,,Mecklenburg Western Pomerania,code13,-17.744
2011,m² per year,,Mecklenburg Western Pomerania,code13,-15.711
2012,m² per year,,Mecklenburg Western Pomerania,code13,-11.543
2013,m² per year,,Mecklenburg Western Pomerania,code13,-8.527
2014,m² per year,,Mecklenburg Western Pomerania,code13,-8.123
2015,m² per year,,Mecklenburg Western Pomerania,code13,-7.032
2016,m² per year,,Mecklenburg Western Pomerania,code13,-15.399
2017,m² per year,,Mecklenburg Western Pomerania,code13,-9.654
2018,m² per year,,Mecklenburg Western Pomerania,code13,-6.348
2019,m² per year,,Mecklenburg Western Pomerania,code13,-5.606
2020,m² per year,,Mecklenburg Western Pomerania,code13,3.921
2021,m² per year,,Mecklenburg Western Pomerania,code13,-1.362
2022,m² per year,,Mecklenburg Western Pomerania,code13,-1.557
2009,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-0.099
2010,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-1.653
2011,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-1.317
2012,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-1.271
2013,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-1.461
2014,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-0.886
2015,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-3.043
2016,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-2.976
2017,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-2.881
2018,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-2.679
2019,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,-0.397
2020,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,0.669
2021,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,0.633
2022,m² per year,Non-rural areas,Mecklenburg Western Pomerania,code13,0.526
2009,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-19.258
2010,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-18.42
2011,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-14.581
2012,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-12.898
2013,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-9.462
2014,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-6.334
2015,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-7.603
2016,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-17.172
2017,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-10.618
2018,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-9.679
2019,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-6.362
2020,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,4.4
2021,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-1.661
2022,m² per year,Rural areas,Mecklenburg Western Pomerania,code13,-1.869
2004,m² per year,,Lower Saxony,code03,-6.695
2005,m² per year,,Lower Saxony,code03,-6.558
2006,m² per year,,Lower Saxony,code03,-6.462
2007,m² per year,,Lower Saxony,code03,-6.212
2008,m² per year,,Lower Saxony,code03,-5.397
2009,m² per year,,Lower Saxony,code03,-4.773
2010,m² per year,,Lower Saxony,code03,-4.435
2011,m² per year,,Lower Saxony,code03,-4.964
2012,m² per year,,Lower Saxony,code03,-4.815
2013,m² per year,,Lower Saxony,code03,-4.915
2014,m² per year,,Lower Saxony,code03,-5.198
2015,m² per year,,Lower Saxony,code03,-4.534
2016,m² per year,,Lower Saxony,code03,-3.472
2017,m² per year,,Lower Saxony,code03,-3.131
2018,m² per year,,Lower Saxony,code03,-2.725
2019,m² per year,,Lower Saxony,code03,-2.318
2020,m² per year,,Lower Saxony,code03,-3.006
2021,m² per year,,Lower Saxony,code03,-2.893
2022,m² per year,,Lower Saxony,code03,-2.694
2009,m² per year,Non-rural areas,Lower Saxony,code03,-1.152
2010,m² per year,Non-rural areas,Lower Saxony,code03,-1.635
2011,m² per year,Non-rural areas,Lower Saxony,code03,-2.366
2012,m² per year,Non-rural areas,Lower Saxony,code03,-2.121
2013,m² per year,Non-rural areas,Lower Saxony,code03,-2.11
2014,m² per year,Non-rural areas,Lower Saxony,code03,-1.819
2015,m² per year,Non-rural areas,Lower Saxony,code03,-1.138
2016,m² per year,Non-rural areas,Lower Saxony,code03,-0.524
2017,m² per year,Non-rural areas,Lower Saxony,code03,-0.153
2018,m² per year,Non-rural areas,Lower Saxony,code03,-0.386
2019,m² per year,Non-rural areas,Lower Saxony,code03,-0.464
2020,m² per year,Non-rural areas,Lower Saxony,code03,-0.931
2021,m² per year,Non-rural areas,Lower Saxony,code03,-1.267
2022,m² per year,Non-rural areas,Lower Saxony,code03,-1.016
2009,m² per year,Rural areas,Lower Saxony,code03,-4.783
2010,m² per year,Rural areas,Lower Saxony,code03,-4.465
2011,m² per year,Rural areas,Lower Saxony,code03,-5.607
2012,m² per year,Rural areas,Lower Saxony,code03,-5.604
2013,m² per year,Rural areas,Lower Saxony,code03,-5.734
2014,m² per year,Rural areas,Lower Saxony,code03,-6.195
2015,m² per year,Rural areas,Lower Saxony,code03,-5.558
2016,m² per year,Rural areas,Lower Saxony,code03,-4.362
2017,m² per year,Rural areas,Lower Saxony,code03,-4.043
2018,m² per year,Rural areas,Lower Saxony,code03,-3.454
2019,m² per year,Rural areas,Lower Saxony,code03,-2.88
2020,m² per year,Rural areas,Lower Saxony,code03,-3.636
2021,m² per year,Rural areas,Lower Saxony,code03,-3.387
2022,m² per year,Rural areas,Lower Saxony,code03,-3.204
2004,m² per year,,North Rhine-Westphalia,code05,-3.119
2005,m² per year,,North Rhine-Westphalia,code05,-2.951
2006,m² per year,,North Rhine-Westphalia,code05,-2.883
2007,m² per year,,North Rhine-Westphalia,code05,-3.139
2008,m² per year,,North Rhine-Westphalia,code05,-2.907
2009,m² per year,,North Rhine-Westphalia,code05,-2.716
2010,m² per year,,North Rhine-Westphalia,code05,-2.57
2011,m² per year,,North Rhine-Westphalia,code05,-2.366
2012,m² per year,,North Rhine-Westphalia,code05,-2.132
2013,m² per year,,North Rhine-Westphalia,code05,-2.135
2014,m² per year,,North Rhine-Westphalia,code05,-2.006
2015,m² per year,,North Rhine-Westphalia,code05,-1.968
2016,m² per year,,North Rhine-Westphalia,code05,-1.019
2017,m² per year,,North Rhine-Westphalia,code05,-0.854
2018,m² per year,,North Rhine-Westphalia,code05,-0.648
2019,m² per year,,North Rhine-Westphalia,code05,-0.585
2020,m² per year,,North Rhine-Westphalia,code05,-1.284
2021,m² per year,,North Rhine-Westphalia,code05,-1.241
2022,m² per year,,North Rhine-Westphalia,code05,-1.261
2009,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.321
2010,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.299
2011,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.204
2012,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.172
2013,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.17
2014,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.147
2015,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-1.241
2016,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.576
2017,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.318
2018,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.059
2019,m² per year,Non-rural areas,North Rhine-Westphalia,code05,0.143
2020,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.312
2021,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.378
2022,m² per year,Non-rural areas,North Rhine-Westphalia,code05,-0.445
2009,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.214
2010,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.061
2011,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.238
2012,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.359
2013,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.404
2014,m² per year,Rural areas,North Rhine-Westphalia,code05,-4.04
2015,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.679
2016,m² per year,Rural areas,North Rhine-Westphalia,code05,-2.056
2017,m² per year,Rural areas,North Rhine-Westphalia,code05,-2.115
2018,m² per year,Rural areas,North Rhine-Westphalia,code05,-2.048
2019,m² per year,Rural areas,North Rhine-Westphalia,code05,-2.31
2020,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.597
2021,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.29
2022,m² per year,Rural areas,North Rhine-Westphalia,code05,-3.197
2004,m² per year,,Rhineland Palatinate,code07,-5.253
2005,m² per year,,Rhineland Palatinate,code07,-5.801
2006,m² per year,,Rhineland Palatinate,code07,-5.922
2007,m² per year,,Rhineland Palatinate,code07,-5.986
2008,m² per year,,Rhineland Palatinate,code07,-4.816
2009,m² per year,,Rhineland Palatinate,code07,-3.152
2010,m² per year,,Rhineland Palatinate,code07,-2.043
2011,m² per year,,Rhineland Palatinate,code07,-1.243
2012,m² per year,,Rhineland Palatinate,code07,-0.813
2013,m² per year,,Rhineland Palatinate,code07,-1.002
2014,m² per year,,Rhineland Palatinate,code07,-1.064
2015,m² per year,,Rhineland Palatinate,code07,-0.566
2016,m² per year,,Rhineland Palatinate,code07,-0.752
2017,m² per year,,Rhineland Palatinate,code07,-0.35
2018,m² per year,,Rhineland Palatinate,code07,-0.489
2019,m² per year,,Rhineland Palatinate,code07,-1.258
2020,m² per year,,Rhineland Palatinate,code07,-1.824
2021,m² per year,,Rhineland Palatinate,code07,-3.827
2022,m² per year,,Rhineland Palatinate,code07,-5.057
2009,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.257
2010,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.687
2011,m² per year,Non-rural areas,Rhineland Palatinate,code07,-1.012
2012,m² per year,Non-rural areas,Rhineland Palatinate,code07,-1.006
2013,m² per year,Non-rural areas,Rhineland Palatinate,code07,-1.068
2014,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.92
2015,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.329
2016,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.321
2017,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.253
2018,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.176
2019,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.243
2020,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.09
2021,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.401
2022,m² per year,Non-rural areas,Rhineland Palatinate,code07,-0.61
2009,m² per year,Rural areas,Rhineland Palatinate,code07,-0.66
2010,m² per year,Rural areas,Rhineland Palatinate,code07,-0.485
2011,m² per year,Rural areas,Rhineland Palatinate,code07,-0.569
2012,m² per year,Rural areas,Rhineland Palatinate,code07,-0.794
2013,m² per year,Rural areas,Rhineland Palatinate,code07,-0.986
2014,m² per year,Rural areas,Rhineland Palatinate,code07,-1.052
2015,m² per year,Rural areas,Rhineland Palatinate,code07,-0.63
2016,m² per year,Rural areas,Rhineland Palatinate,code07,-0.834
2017,m² per year,Rural areas,Rhineland Palatinate,code07,-0.347
2018,m² per year,Rural areas,Rhineland Palatinate,code07,-0.6
2019,m² per year,Rural areas,Rhineland Palatinate,code07,-1.535
2020,m² per year,Rural areas,Rhineland Palatinate,code07,-2.291
2021,m² per year,Rural areas,Rhineland Palatinate,code07,-4.751
2022,m² per year,Rural areas,Rhineland Palatinate,code07,-6.254
2004,m² per year,,Saarland,code10,-2.606
2005,m² per year,,Saarland,code10,-2.378
2006,m² per year,,Saarland,code10,-2.386
2007,m² per year,,Saarland,code10,-2.635
2008,m² per year,,Saarland,code10,-1.934
2009,m² per year,,Saarland,code10,-2.193
2010,m² per year,,Saarland,code10,-2.704
2011,m² per year,,Saarland,code10,-2.47
