Year,Units,Time series,Sex,Federal state,GeoCode,Value
2017,Percentage,Adults,,Mecklenburg Western Pomerania,code13,27.66
2021,Percentage,Adults,,Mecklenburg Western Pomerania,code13,23.5
2003,Percentage,Adults,,Lower Saxony,code03,28.44
2005,Percentage,Adults,,Lower Saxony,code03,28.1
2009,Percentage,Adults,,Lower Saxony,code03,26.1
2013,Percentage,Adults,,Lower Saxony,code03,24.69
2017,Percentage,Adults,,Lower Saxony,code03,22.94
2021,Percentage,Adults,,Lower Saxony,code03,18.8
2003,Percentage,Adults,,North Rhine-Westphalia,code05,27.63
2005,Percentage,Adults,,North Rhine-Westphalia,code05,29.0
2009,Percentage,Adults,,North Rhine-Westphalia,code05,26.9
2013,Percentage,Adults,,North Rhine-Westphalia,code05,25.92
2017,Percentage,Adults,,North Rhine-Westphalia,code05,22.64
2021,Percentage,Adults,,North Rhine-Westphalia,code05,18.7
2003,Percentage,Adults,,Rhineland Palatinate,code07,27.59
2005,Percentage,Adults,,Rhineland Palatinate,code07,26.0
2009,Percentage,Adults,,Rhineland Palatinate,code07,25.1
2013,Percentage,Adults,,Rhineland Palatinate,code07,23.86
2017,Percentage,Adults,,Rhineland Palatinate,code07,21.66
2021,Percentage,Adults,,Rhineland Palatinate,code07,18.5
2003,Percentage,Adults,,Saarland,code10,25.19
2005,Percentage,Adults,,Saarland,code10,26.2
2009,Percentage,Adults,,Saarland,code10,25.3
2013,Percentage,Adults,,Saarland,code10,23.51
2017,Percentage,Adults,,Saarland,code10,20.59
2021,Percentage,Adults,,Saarland,code10,18.1
2003,Percentage,Adults,,Saxony,code14,24.92
2005,Percentage,Adults,,Saxony,code14,24.4
2009,Percentage,Adults,,Saxony,code14,23.8
2013,Percentage,Adults,,Saxony,code14,22.74
2017,Percentage,Adults,,Saxony,code14,21.47
2021,Percentage,Adults,,Saxony,code14,21.1
2003,Percentage,Adults,,Saxony-Anhalt,code15,27.23
2005,Percentage,Adults,,Saxony-Anhalt,code15,27.9
2009,Percentage,Adults,,Saxony-Anhalt,code15,28.9
2013,Percentage,Adults,,Saxony-Anhalt,code15,27.85
2017,Percentage,Adults,,Saxony-Anhalt,code15,24.77
2021,Percentage,Adults,,Saxony-Anhalt,code15,22.8
2003,Percentage,Adults,,Schleswig-Holstein,code01,30.31
2005,Percentage,Adults,,Schleswig-Holstein,code01,29.5
2009,Percentage,Adults,,Schleswig-Holstein,code01,27.0
2013,Percentage,Adults,,Schleswig-Holstein,code01,25.9
2017,Percentage,Adults,,Schleswig-Holstein,code01,23.5
2021,Percentage,Adults,,Schleswig-Holstein,code01,19.0
2003,Percentage,Adults,,Thuringia,code16,26.9
2005,Percentage,Adults,,Thuringia,code16,27.2
2009,Percentage,Adults,,Thuringia,code16,26.7
2013,Percentage,Adults,,Thuringia,code16,26.11
2017,Percentage,Adults,,Thuringia,code16,26.24
2021,Percentage,Adults,,Thuringia,code16,23.5
