Year,Units,Series,Art der Betreuung,Value
2022,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.495
2023,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.58
2024,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.626
2006,Prozent,b) 3- bis 5-Jährige,,22.091
2007,Prozent,b) 3- bis 5-Jährige,,24.329
2008,Prozent,b) 3- bis 5-Jährige,,27.067
2009,Prozent,b) 3- bis 5-Jährige,,29.87
2010,Prozent,b) 3- bis 5-Jährige,,32.321
2011,Prozent,b) 3- bis 5-Jährige,,34.879
2012,Prozent,b) 3- bis 5-Jährige,,37.245
2013,Prozent,b) 3- bis 5-Jährige,,39.485
2014,Prozent,b) 3- bis 5-Jährige,,41.945
2015,Prozent,b) 3- bis 5-Jährige,,43.935
2016,Prozent,b) 3- bis 5-Jährige,,44.756
2017,Prozent,b) 3- bis 5-Jährige,,45.509
2018,Prozent,b) 3- bis 5-Jährige,,46.132
2019,Prozent,b) 3- bis 5-Jährige,,47.178
2020,Prozent,b) 3- bis 5-Jährige,,47.913
2021,Prozent,b) 3- bis 5-Jährige,,47.324
2022,Prozent,b) 3- bis 5-Jährige,,47.353
2023,Prozent,b) 3- bis 5-Jährige,,47.003
2024,Prozent,b) 3- bis 5-Jährige,,46.976
2030,Prozent,b) 3- bis 5-Jährige,,
2006,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,21.963
2007,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,24.189
2008,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,26.896
2009,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,29.696
2010,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,32.138
2011,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,34.672
2012,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,37.041
2013,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,39.267
2014,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,41.701
2015,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,43.67
2016,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,44.49
2017,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,45.239
2018,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,45.838
2019,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,46.871
2020,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,47.553
2021,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,46.934
2022,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,46.99
2023,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,46.64
2024,Prozent,b) 3- bis 5-Jährige,Kindertageseinrichtungen,46.607
2006,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.127
2007,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.141
2008,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.171
2009,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.174
2010,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.183
2011,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.207
2012,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.204
2013,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.218
2014,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.244
2015,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.265
2016,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.266
2017,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.27
2018,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.294
2019,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.306
2020,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.36
2021,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.39
2022,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.363
2023,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.363
2024,Prozent,b) 3- bis 5-Jährige,Kindertagespflege,0.369
