Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Bundesland,GeoCode,Value
2023,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,Europäische Union,,,,0.347
2024,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,Europäische Union,,,,0.344
2007,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2008,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2009,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2010,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2011,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2012,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2013,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2014,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2015,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2016,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2017,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2018,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2019,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,.,,,
2020,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,,,,0.409
2021,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,,,,0.454
2022,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,,,,0.46
2023,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,,,,0.461
2024,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Marktequivalenzeinkommens,Deutschland,,,,0.477
2007,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2008,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2009,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2010,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,,,,0.758
2011,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2012,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2013,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2014,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,,,,0.762
2015,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2016,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2017,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,,,,0.739
2018,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2019,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2020,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2021,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,,,,0.728
2022,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,.,,,
2023,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,,,,0.724
2024,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Deutschland,…,,,
2007,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2008,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2009,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2010,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,,,,0.68
2011,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2012,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2013,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2014,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,,,,0.685
2015,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2016,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2017,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,,,,0.695
2018,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2019,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2020,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,.,,,
2021,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,,,,0.694
2022,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,…,,,
2023,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,…,,,
2024,Gini-Koeffizient,<u>Zusätzliche Zeitreihe:</u> Gini-Koeffizient des Vermögens,Eurozone,…,,,
2007,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2008,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2009,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2010,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2011,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2012,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2013,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2014,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2015,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2016,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2017,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2018,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2019,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2020,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2021,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,,Baden-Württemberg,code08,0.291
2022,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Baden-Württemberg,code08,
2023,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,,Baden-Württemberg,code08,0.281
2024,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,,Baden-Württemberg,code08,0.284
2007,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2008,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2009,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2010,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2011,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2012,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2013,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2014,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2015,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2016,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2017,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2018,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2019,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2020,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2021,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,,Bayern,code09,0.326
2022,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Bayern,code09,
2023,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,,Bayern,code09,0.302
2024,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,,Bayern,code09,0.308
2007,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2008,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2009,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2010,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2011,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2012,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2013,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2014,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2015,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2016,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2017,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2018,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2019,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2020,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2021,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,,Berlin,code11,0.316
2022,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,.,Berlin,code11,
2023,Gini-Koeffizient,<u>Zeitreihe des Indikators:</u> Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,Deutschland,,Berlin,code11,0.287
