Year,Units,Geschlecht,Art der Maßnahme,Value
2018,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,85.36
2019,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,81.75
2020,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,80.84
2021,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,81.27
2011,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,80.98
2012,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,78.78
2013,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,78.71
2014,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,75.11
2015,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,76.63
2016,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,75.14
2017,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,73.72
2018,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,73.42
2019,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,70.42
2020,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,68.88
2021,Je 100 000 Einwohner/-innen,Weiblich,Durch Behandlung vermeidbare Sterblichkeit,68.38
2011,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,109.32
2012,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,106.51
2013,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,105.62
2014,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,100.9
2015,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,103.27
2016,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,99.8
2017,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,98.42
2018,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,98.42
2019,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,94.12
2020,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,93.88
2021,Je 100 000 Einwohner/-innen,Männlich,Durch Behandlung vermeidbare Sterblichkeit,95.28
