Year,Units,sex,federal state,GeoCode,Value
2011,percentage,,baden-wuerttemberg,code08,9.9
2012,percentage,,baden-wuerttemberg,code08,8.3
2013,percentage,,baden-wuerttemberg,code08,7.6
2014,percentage,,baden-wuerttemberg,code08,7.9
2015,percentage,,baden-wuerttemberg,code08,8.3
2016,percentage,,baden-wuerttemberg,code08,9.4
2017,percentage,,baden-wuerttemberg,code08,8.7
2018,percentage,,baden-wuerttemberg,code08,9.7
2019,percentage,,baden-wuerttemberg,code08,9.2
2020,percentage,,baden-wuerttemberg,code08,9.1
2021,percentage,,baden-wuerttemberg,code08,11.1
2022,percentage,,baden-wuerttemberg,code08,11.4
2023,percentage,,baden-wuerttemberg,code08,12.2
2005,percentage,female,baden-wuerttemberg,code08,14.3
2006,percentage,female,baden-wuerttemberg,code08,13.4
2007,percentage,female,baden-wuerttemberg,code08,11.9
2008,percentage,female,baden-wuerttemberg,code08,10.4
2009,percentage,female,baden-wuerttemberg,code08,9.5
2010,percentage,female,baden-wuerttemberg,code08,10.0
2011,percentage,female,baden-wuerttemberg,code08,9.9
2012,percentage,female,baden-wuerttemberg,code08,8.3
2013,percentage,female,baden-wuerttemberg,code08,7.3
2014,percentage,female,baden-wuerttemberg,code08,7.3
2015,percentage,female,baden-wuerttemberg,code08,8.5
2016,percentage,female,baden-wuerttemberg,code08,8.8
2017,percentage,female,baden-wuerttemberg,code08,7.8
2018,percentage,female,baden-wuerttemberg,code08,8.5
2019,percentage,female,baden-wuerttemberg,code08,7.5
2020,percentage,female,baden-wuerttemberg,code08,8.5
2021,percentage,female,baden-wuerttemberg,code08,9.4
2022,percentage,female,baden-wuerttemberg,code08,9.5
2023,percentage,female,baden-wuerttemberg,code08,9.7
2005,percentage,male,baden-wuerttemberg,code08,10.7
2006,percentage,male,baden-wuerttemberg,code08,11.3
2007,percentage,male,baden-wuerttemberg,code08,12.3
2008,percentage,male,baden-wuerttemberg,code08,9.8
2009,percentage,male,baden-wuerttemberg,code08,9.5
2010,percentage,male,baden-wuerttemberg,code08,9.7
2011,percentage,male,baden-wuerttemberg,code08,9.9
2012,percentage,male,baden-wuerttemberg,code08,8.3
2013,percentage,male,baden-wuerttemberg,code08,7.9
2014,percentage,male,baden-wuerttemberg,code08,8.5
2015,percentage,male,baden-wuerttemberg,code08,8.1
2016,percentage,male,baden-wuerttemberg,code08,9.9
2017,percentage,male,baden-wuerttemberg,code08,9.6
2018,percentage,male,baden-wuerttemberg,code08,10.7
2019,percentage,male,baden-wuerttemberg,code08,10.7
2020,percentage,male,baden-wuerttemberg,code08,9.6
2021,percentage,male,baden-wuerttemberg,code08,12.7
2022,percentage,male,baden-wuerttemberg,code08,13.2
2023,percentage,male,baden-wuerttemberg,code08,14.5
2005,percentage,,bavaria,code09,11.2
2006,percentage,,bavaria,code09,12.6
2007,percentage,,bavaria,code09,11.2
2008,percentage,,bavaria,code09,9.6
2009,percentage,,bavaria,code09,8.8
2010,percentage,,bavaria,code09,9.4
2011,percentage,,bavaria,code09,9.1
2012,percentage,,bavaria,code09,7.4
2013,percentage,,bavaria,code09,7.3
2014,percentage,,bavaria,code09,6.4
2015,percentage,,bavaria,code09,6.2
2016,percentage,,bavaria,code09,7.6
2017,percentage,,bavaria,code09,7.2
2018,percentage,,bavaria,code09,7.2
2019,percentage,,bavaria,code09,7.6
2020,percentage,,bavaria,code09,8.3
2021,percentage,,bavaria,code09,9.8
2022,percentage,,bavaria,code09,9.8
2023,percentage,,bavaria,code09,10.7
2005,percentage,female,bavaria,code09,11.5
2006,percentage,female,bavaria,code09,12.5
2007,percentage,female,bavaria,code09,9.9
2008,percentage,female,bavaria,code09,9.0
2009,percentage,female,bavaria,code09,8.2
2010,percentage,female,bavaria,code09,9.1
2011,percentage,female,bavaria,code09,8.0
2012,percentage,female,bavaria,code09,6.8
2013,percentage,female,bavaria,code09,7.0
2014,percentage,female,bavaria,code09,6.2
2015,percentage,female,bavaria,code09,5.6
2016,percentage,female,bavaria,code09,6.8
2017,percentage,female,bavaria,code09,6.5
2018,percentage,female,bavaria,code09,6.4
2019,percentage,female,bavaria,code09,6.5
2020,percentage,female,bavaria,code09,7.2
2021,percentage,female,bavaria,code09,7.9
2022,percentage,female,bavaria,code09,8.7
2023,percentage,female,bavaria,code09,8.6
2005,percentage,male,bavaria,code09,10.8
2006,percentage,male,bavaria,code09,12.6
2007,percentage,male,bavaria,code09,12.6
2008,percentage,male,bavaria,code09,10.1
2009,percentage,male,bavaria,code09,9.5
2010,percentage,male,bavaria,code09,9.7
2011,percentage,male,bavaria,code09,10.2
2012,percentage,male,bavaria,code09,7.8
2013,percentage,male,bavaria,code09,7.6
2014,percentage,male,bavaria,code09,6.6
2015,percentage,male,bavaria,code09,6.7
2016,percentage,male,bavaria,code09,8.4
2017,percentage,male,bavaria,code09,7.8
2018,percentage,male,bavaria,code09,8.0
2019,percentage,male,bavaria,code09,8.6
2020,percentage,male,bavaria,code09,9.3
2021,percentage,male,bavaria,code09,11.4
2022,percentage,male,bavaria,code09,10.9
2023,percentage,male,bavaria,code09,12.6
2005,percentage,,berlin,code11,18.7
2006,percentage,,berlin,code11,18.2
2007,percentage,,berlin,code11,13.0
2008,percentage,,berlin,code11,15.7
2009,percentage,,berlin,code11,14.2
2010,percentage,,berlin,code11,14.6
2011,percentage,,berlin,code11,13.1
2012,percentage,,berlin,code11,13.0
2013,percentage,,berlin,code11,11.9
2014,percentage,,berlin,code11,13.5
2015,percentage,,berlin,code11,13.7
2016,percentage,,berlin,code11,11.7
2017,percentage,,berlin,code11,13.2
2018,percentage,,berlin,code11,13.6
2019,percentage,,berlin,code11,11.6
2020,percentage,,berlin,code11,9.8
2021,percentage,,berlin,code11,9.5
2022,percentage,,berlin,code11,13.2
2023,percentage,,berlin,code11,14.7
2005,percentage,female,berlin,code11,17.0
2006,percentage,female,berlin,code11,16.7
2007,percentage,female,berlin,code11,11.5
2008,percentage,female,berlin,code11,14.0
2009,percentage,female,berlin,code11,13.0
2010,percentage,female,berlin,code11,12.4
2011,percentage,female,berlin,code11,11.2
2012,percentage,female,berlin,code11,10.8
2013,percentage,female,berlin,code11,9.1
2014,percentage,female,berlin,code11,11.9
2015,percentage,female,berlin,code11,10.7
2016,percentage,female,berlin,code11,10.9
2017,percentage,female,berlin,code11,11.0
2018,percentage,female,berlin,code11,10.4
2019,percentage,female,berlin,code11,8.0
2023,percentage,female,berlin,code11,16.3
2005,percentage,male,berlin,code11,20.5
2006,percentage,male,berlin,code11,19.7
2007,percentage,male,berlin,code11,14.4
2008,percentage,male,berlin,code11,17.4
2009,percentage,male,berlin,code11,15.5
2010,percentage,male,berlin,code11,17.0
2011,percentage,male,berlin,code11,15.0
2012,percentage,male,berlin,code11,15.2
2013,percentage,male,berlin,code11,14.8
2014,percentage,male,berlin,code11,15.3
2015,percentage,male,berlin,code11,17.0
2016,percentage,male,berlin,code11,12.5
2017,percentage,male,berlin,code11,15.5
2018,percentage,male,berlin,code11,16.9
2019,percentage,male,berlin,code11,15.0
2023,percentage,male,berlin,code11,13.1
2005,percentage,,brandenburg,code12,10.2
2006,percentage,,brandenburg,code12,11.1
2007,percentage,,brandenburg,code12,9.0
2008,percentage,,brandenburg,code12,9.3
2009,percentage,,brandenburg,code12,9.0
2010,percentage,,brandenburg,code12,9.6
2011,percentage,,brandenburg,code12,10.2
2012,percentage,,brandenburg,code12,10.0
2013,percentage,,brandenburg,code12,10.6
2014,percentage,,brandenburg,code12,9.0
2015,percentage,,brandenburg,code12,11.6
2016,percentage,,brandenburg,code12,11.0
2017,percentage,,brandenburg,code12,12.3
2018,percentage,,brandenburg,code12,11.5
2019,percentage,,brandenburg,code12,10.8
2023,percentage,,brandenburg,code12,12.0
2005,percentage,female,brandenburg,code12,10.1
2006,percentage,female,brandenburg,code12,9.7
2007,percentage,female,brandenburg,code12,6.2
2008,percentage,female,brandenburg,code12,7.1
2009,percentage,female,brandenburg,code12,7.5
2010,percentage,female,brandenburg,code12,7.1
2011,percentage,female,brandenburg,code12,8.4
2012,percentage,female,brandenburg,code12,10.3
2013,percentage,female,brandenburg,code12,10.1
2015,percentage,female,brandenburg,code12,11.1
2018,percentage,female,brandenburg,code12,10.4
2005,percentage,male,brandenburg,code12,10.3
2006,percentage,male,brandenburg,code12,12.4
2007,percentage,male,brandenburg,code12,11.5
2008,percentage,male,brandenburg,code12,11.3
2009,percentage,male,brandenburg,code12,10.4
2010,percentage,male,brandenburg,code12,11.7
2011,percentage,male,brandenburg,code12,11.8
2012,percentage,male,brandenburg,code12,9.7
2013,percentage,male,brandenburg,code12,11.0
2014,percentage,male,brandenburg,code12,9.2
2015,percentage,male,brandenburg,code12,11.9
2016,percentage,male,brandenburg,code12,12.6
2017,percentage,male,brandenburg,code12,15.0
2018,percentage,male,brandenburg,code12,12.4
2019,percentage,male,brandenburg,code12,13.6
2005,percentage,,bremen,code04,19.1
2006,percentage,,bremen,code04,17.5
2007,percentage,,bremen,code04,15.0
2008,percentage,,bremen,code04,14.4
2009,percentage,,bremen,code04,14.5
2010,percentage,,bremen,code04,14.3
2011,percentage,,bremen,code04,17.2
2012,percentage,,bremen,code04,13.3
2013,percentage,,bremen,code04,14.9
2014,percentage,,bremen,code04,14.0
2015,percentage,,bremen,code04,11.5
2016,percentage,,bremen,code04,11.1
2017,percentage,,bremen,code04,10.9
2018,percentage,,bremen,code04,14.6
2019,percentage,,bremen,code04,16.0
2022,percentage,,bremen,code04,20.6
2023,percentage,,bremen,code04,21.5
2005,percentage,female,bremen,code04,19.8
2006,percentage,female,bremen,code04,20.0
2005,percentage,male,bremen,code04,18.2
2006,percentage,male,bremen,code04,14.8
2007,percentage,male,bremen,code04,19.2
2018,percentage,male,bremen,code04,17.7
2019,percentage,male,bremen,code04,17.7
2005,percentage,,hamburg,code02,21.2
2006,percentage,,hamburg,code02,16.7
2007,percentage,,hamburg,code02,15.5
2008,percentage,,hamburg,code02,14.7
2009,percentage,,hamburg,code02,12.1
2010,percentage,,hamburg,code02,13.2
2011,percentage,,hamburg,code02,13.2
2012,percentage,,hamburg,code02,12.5
2013,percentage,,hamburg,code02,11.6
2014,percentage,,hamburg,code02,11.8
2015,percentage,,hamburg,code02,12.6
2016,percentage,,hamburg,code02,12.8
2017,percentage,,hamburg,code02,11.4
2018,percentage,,hamburg,code02,11.6
2019,percentage,,hamburg,code02,14.0
2022,percentage,,hamburg,code02,14.0
2023,percentage,,hamburg,code02,13.4
2005,percentage,female,hamburg,code02,21.9
2006,percentage,female,hamburg,code02,15.9
2007,percentage,female,hamburg,code02,14.1
2008,percentage,female,hamburg,code02,11.9
2009,percentage,female,hamburg,code02,10.2
2010,percentage,female,hamburg,code02,11.7
2011,percentage,female,hamburg,code02,11.0
2012,percentage,female,hamburg,code02,11.1
2013,percentage,female,hamburg,code02,11.9
2014,percentage,female,hamburg,code02,9.7
2015,percentage,female,hamburg,code02,11.0
2016,percentage,female,hamburg,code02,12.4
2017,percentage,female,hamburg,code02,10.7
2018,percentage,female,hamburg,code02,12.2
2019,percentage,female,hamburg,code02,13.4
2005,percentage,male,hamburg,code02,20.4
2006,percentage,male,hamburg,code02,17.7
2007,percentage,male,hamburg,code02,16.7
2008,percentage,male,hamburg,code02,17.5
2009,percentage,male,hamburg,code02,14.1
2010,percentage,male,hamburg,code02,14.9
2011,percentage,male,hamburg,code02,15.4
2012,percentage,male,hamburg,code02,13.9
2013,percentage,male,hamburg,code02,11.4
2014,percentage,male,hamburg,code02,13.9
2015,percentage,male,hamburg,code02,14.1
2016,percentage,male,hamburg,code02,13.2
2017,percentage,male,hamburg,code02,12.1
2018,percentage,male,hamburg,code02,11.0
2019,percentage,male,hamburg,code02,14.4
2005,percentage,,hesse,code06,13.3
2006,percentage,,hesse,code06,14.7
2007,percentage,,hesse,code06,12.1
2008,percentage,,hesse,code06,12.4
2009,percentage,,hesse,code06,11.4
2010,percentage,,hesse,code06,11.8
2011,percentage,,hesse,code06,10.6
2012,percentage,,hesse,code06,9.1
2013,percentage,,hesse,code06,10.0
2014,percentage,,hesse,code06,9.7
2015,percentage,,hesse,code06,9.5
2016,percentage,,hesse,code06,10.5
2017,percentage,,hesse,code06,10.2
2018,percentage,,hesse,code06,10.7
2019,percentage,,hesse,code06,10.3
2020,percentage,,hesse,code06,12.3
2021,percentage,,hesse,code06,13.6
2022,percentage,,hesse,code06,14.6
2023,percentage,,hesse,code06,14.9
2005,percentage,female,hesse,code06,12.7
2006,percentage,female,hesse,code06,13.8
2007,percentage,female,hesse,code06,13.7
2008,percentage,female,hesse,code06,11.7
2009,percentage,female,hesse,code06,10.4
2010,percentage,female,hesse,code06,10.6
2011,percentage,female,hesse,code06,9.5
2012,percentage,female,hesse,code06,8.4
2013,percentage,female,hesse,code06,9.2
2014,percentage,female,hesse,code06,8.9
2015,percentage,female,hesse,code06,9.4
2016,percentage,female,hesse,code06,9.5
2017,percentage,female,hesse,code06,8.3
2018,percentage,female,hesse,code06,8.9
2019,percentage,female,hesse,code06,8.7
2020,percentage,female,hesse,code06,9.4
2021,percentage,female,hesse,code06,10.6
2022,percentage,female,hesse,code06,11.9
2023,percentage,female,hesse,code06,12.7
2005,percentage,male,hesse,code06,13.9
2006,percentage,male,hesse,code06,15.6
2007,percentage,male,hesse,code06,10.5
2008,percentage,male,hesse,code06,13.0
2009,percentage,male,hesse,code06,12.4
2010,percentage,male,hesse,code06,13.1
2011,percentage,male,hesse,code06,11.7
2012,percentage,male,hesse,code06,9.7
2013,percentage,male,hesse,code06,10.7
2014,percentage,male,hesse,code06,10.4
2015,percentage,male,hesse,code06,9.6
2016,percentage,male,hesse,code06,11.4
2017,percentage,male,hesse,code06,11.8
2018,percentage,male,hesse,code06,12.3
2019,percentage,male,hesse,code06,11.8
2020,percentage,male,hesse,code06,14.8
2021,percentage,male,hesse,code06,16.3
2022,percentage,male,hesse,code06,17.2
2023,percentage,male,hesse,code06,17.0
2005,percentage,,mecklenburg western pomerania,code13,14.0
2006,percentage,,mecklenburg western pomerania,code13,12.9
2007,percentage,,mecklenburg western pomerania,code13,13.1
2008,percentage,,mecklenburg western pomerania,code13,8.9
2009,percentage,,mecklenburg western pomerania,code13,9.3
2010,percentage,,mecklenburg western pomerania,code13,9.2
2011,percentage,,mecklenburg western pomerania,code13,9.9
2012,percentage,,mecklenburg western pomerania,code13,11.0
2013,percentage,,mecklenburg western pomerania,code13,9.6
2014,percentage,,mecklenburg western pomerania,code13,9.9
2015,percentage,,mecklenburg western pomerania,code13,10.6
2016,percentage,,mecklenburg western pomerania,code13,13.6
2017,percentage,,mecklenburg western pomerania,code13,9.8
2018,percentage,,mecklenburg western pomerania,code13,11.1
2019,percentage,,mecklenburg western pomerania,code13,11.4
2022,percentage,,mecklenburg western pomerania,code13,14.4
2023,percentage,,mecklenburg western pomerania,code13,14.2
2005,percentage,female,mecklenburg western pomerania,code13,12.7
2006,percentage,female,mecklenburg western pomerania,code13,12.7
2007,percentage,female,mecklenburg western pomerania,code13,12.1
2008,percentage,female,mecklenburg western pomerania,code13,8.3
2009,percentage,female,mecklenburg western pomerania,code13,8.9
2011,percentage,female,mecklenburg western pomerania,code13,8.8
2012,percentage,female,mecklenburg western pomerania,code13,10.9
2005,percentage,male,mecklenburg western pomerania,code13,15.0
2006,percentage,male,mecklenburg western pomerania,code13,13.1
2007,percentage,male,mecklenburg western pomerania,code13,14.0
2008,percentage,male,mecklenburg western pomerania,code13,9.4
2009,percentage,male,mecklenburg western pomerania,code13,9.6
2010,percentage,male,mecklenburg western pomerania,code13,11.6
2011,percentage,male,mecklenburg western pomerania,code13,10.9
2012,percentage,male,mecklenburg western pomerania,code13,11.0
2016,percentage,male,mecklenburg western pomerania,code13,14.3
2018,percentage,male,mecklenburg western pomerania,code13,12.6
2019,percentage,male,mecklenburg western pomerania,code13,11.8
2005,percentage,,lower saxony,code03,16.0
2006,percentage,,lower saxony,code03,14.6
2007,percentage,,lower saxony,code03,14.0
2008,percentage,,lower saxony,code03,13.0
2009,percentage,,lower saxony,code03,12.6
2010,percentage,,lower saxony,code03,13.9
2011,percentage,,lower saxony,code03,14.1
2012,percentage,,lower saxony,code03,11.8
2013,percentage,,lower saxony,code03,10.8
2014,percentage,,lower saxony,code03,10.7
2015,percentage,,lower saxony,code03,10.7
2016,percentage,,lower saxony,code03,12.1
2017,percentage,,lower saxony,code03,11.3
2018,percentage,,lower saxony,code03,11.0
2019,percentage,,lower saxony,code03,11.9
2020,percentage,,lower saxony,code03,10.4
2021,percentage,,lower saxony,code03,12.2
2022,percentage,,lower saxony,code03,13.8
2023,percentage,,lower saxony,code03,15.0
2005,percentage,female,lower saxony,code03,18.5
2006,percentage,female,lower saxony,code03,14.3
2007,percentage,female,lower saxony,code03,13.6
2008,percentage,female,lower saxony,code03,12.1
2009,percentage,female,lower saxony,code03,12.4
2010,percentage,female,lower saxony,code03,12.8
2011,percentage,female,lower saxony,code03,13.7
2012,percentage,female,lower saxony,code03,10.0
2013,percentage,female,lower saxony,code03,10.4
2014,percentage,female,lower saxony,code03,9.9
2015,percentage,female,lower saxony,code03,10.5
2016,percentage,female,lower saxony,code03,11.5
2017,percentage,female,lower saxony,code03,10.4
2018,percentage,female,lower saxony,code03,9.7
2019,percentage,female,lower saxony,code03,10.7
2020,percentage,female,lower saxony,code03,8.7
2021,percentage,female,lower saxony,code03,10.8
2022,percentage,female,lower saxony,code03,12.3
2023,percentage,female,lower saxony,code03,11.8
2005,percentage,male,lower saxony,code03,13.7
2006,percentage,male,lower saxony,code03,14.9
2007,percentage,male,lower saxony,code03,14.3
2008,percentage,male,lower saxony,code03,13.8
2009,percentage,male,lower saxony,code03,12.7
2010,percentage,male,lower saxony,code03,15.0
2011,percentage,male,lower saxony,code03,14.5
2012,percentage,male,lower saxony,code03,13.5
2013,percentage,male,lower saxony,code03,11.1
2014,percentage,male,lower saxony,code03,11.5
2015,percentage,male,lower saxony,code03,10.8
2016,percentage,male,lower saxony,code03,12.5
2017,percentage,male,lower saxony,code03,12.2
2018,percentage,male,lower saxony,code03,12.1
2019,percentage,male,lower saxony,code03,13.1
2020,percentage,male,lower saxony,code03,11.9
2021,percentage,male,lower saxony,code03,13.5
2022,percentage,male,lower saxony,code03,15.2
2023,percentage,male,lower saxony,code03,18.2
2005,percentage,,north rhine-westphalia,code05,15.8
2006,percentage,,north rhine-westphalia,code05,16.7
2007,percentage,,north rhine-westphalia,code05,15.0
2008,percentage,,north rhine-westphalia,code05,14.5
2009,percentage,,north rhine-westphalia,code05,13.7
2010,percentage,,north rhine-westphalia,code05,14.6
2011,percentage,,north rhine-westphalia,code05,13.6
2012,percentage,,north rhine-westphalia,code05,12.8
2013,percentage,,north rhine-westphalia,code05,11.6
2014,percentage,,north rhine-westphalia,code05,11.3
2015,percentage,,north rhine-westphalia,code05,11.4
2016,percentage,,north rhine-westphalia,code05,11.4
2017,percentage,,north rhine-westphalia,code05,11.6
2018,percentage,,north rhine-westphalia,code05,12.0
2019,percentage,,north rhine-westphalia,code05,11.2
2020,percentage,,north rhine-westphalia,code05,10.8
2021,percentage,,north rhine-westphalia,code05,11.8
2022,percentage,,north rhine-westphalia,code05,12.8
2023,percentage,,north rhine-westphalia,code05,12.8
2005,percentage,female,north rhine-westphalia,code05,15.6
2006,percentage,female,north rhine-westphalia,code05,16.0
2007,percentage,female,north rhine-westphalia,code05,13.9
2008,percentage,female,north rhine-westphalia,code05,14.5
2009,percentage,female,north rhine-westphalia,code05,13.5
2010,percentage,female,north rhine-westphalia,code05,13.5
2011,percentage,female,north rhine-westphalia,code05,12.3
2012,percentage,female,north rhine-westphalia,code05,12.1
2013,percentage,female,north rhine-westphalia,code05,10.8
2014,percentage,female,north rhine-westphalia,code05,11.1
2015,percentage,female,north rhine-westphalia,code05,11.5
2016,percentage,female,north rhine-westphalia,code05,10.7
2017,percentage,female,north rhine-westphalia,code05,10.6
2018,percentage,female,north rhine-westphalia,code05,11.1
2019,percentage,female,north rhine-westphalia,code05,9.4
2020,percentage,female,north rhine-westphalia,code05,9.0
2021,percentage,female,north rhine-westphalia,code05,9.8
2022,percentage,female,north rhine-westphalia,code05,11.1
2023,percentage,female,north rhine-westphalia,code05,10.6
2005,percentage,male,north rhine-westphalia,code05,16.0
2006,percentage,male,north rhine-westphalia,code05,17.4
2007,percentage,male,north rhine-westphalia,code05,16.1
2008,percentage,male,north rhine-westphalia,code05,14.6
2009,percentage,male,north rhine-westphalia,code05,14.0
2010,percentage,male,north rhine-westphalia,code05,15.7
2011,percentage,male,north rhine-westphalia,code05,14.8
2012,percentage,male,north rhine-westphalia,code05,13.4
2013,percentage,male,north rhine-westphalia,code05,12.3
2014,percentage,male,north rhine-westphalia,code05,11.4
2015,percentage,male,north rhine-westphalia,code05,11.4
2016,percentage,male,north rhine-westphalia,code05,12.1
2017,percentage,male,north rhine-westphalia,code05,12.5
2018,percentage,male,north rhine-westphalia,code05,12.7
2019,percentage,male,north rhine-westphalia,code05,12.8
2020,percentage,male,north rhine-westphalia,code05,12.4
2021,percentage,male,north rhine-westphalia,code05,13.6
2022,percentage,male,north rhine-westphalia,code05,14.5
2023,percentage,male,north rhine-westphalia,code05,14.9
2005,percentage,,rhineland palatinate,code07,16.4
2006,percentage,,rhineland palatinate,code07,15.3
2007,percentage,,rhineland palatinate,code07,15.5
2008,percentage,,rhineland palatinate,code07,12.4
2009,percentage,,rhineland palatinate,code07,13.7
2010,percentage,,rhineland palatinate,code07,15.5
2011,percentage,,rhineland palatinate,code07,13.5
2012,percentage,,rhineland palatinate,code07,12.5
2013,percentage,,rhineland palatinate,code07,13.1
2014,percentage,,rhineland palatinate,code07,10.4
2015,percentage,,rhineland palatinate,code07,12.2
2016,percentage,,rhineland palatinate,code07,11.8
2017,percentage,,rhineland palatinate,code07,11.7
2018,percentage,,rhineland palatinate,code07,11.5
2019,percentage,,rhineland palatinate,code07,11.6
2020,percentage,,rhineland palatinate,code07,10.1
2021,percentage,,rhineland palatinate,code07,13.0
2022,percentage,,rhineland palatinate,code07,13.8
2023,percentage,,rhineland palatinate,code07,14.0
2005,percentage,female,rhineland palatinate,code07,17.6
2006,percentage,female,rhineland palatinate,code07,16.5
2007,percentage,female,rhineland palatinate,code07,13.0
2008,percentage,female,rhineland palatinate,code07,11.7
2009,percentage,female,rhineland palatinate,code07,13.5
2010,percentage,female,rhineland palatinate,code07,14.5
2011,percentage,female,rhineland palatinate,code07,12.2
2012,percentage,female,rhineland palatinate,code07,13.2
2013,percentage,female,rhineland palatinate,code07,12.7
2014,percentage,female,rhineland palatinate,code07,9.9
2015,percentage,female,rhineland palatinate,code07,12.2
2016,percentage,female,rhineland palatinate,code07,10.4
2017,percentage,female,rhineland palatinate,code07,10.0
2018,percentage,female,rhineland palatinate,code07,9.6
2019,percentage,female,rhineland palatinate,code07,10.57
2021,percentage,female,rhineland palatinate,code07,10.8
2022,percentage,female,rhineland palatinate,code07,12.2
2023,percentage,female,rhineland palatinate,code07,11.6
2005,percentage,male,rhineland palatinate,code07,15.1
2006,percentage,male,rhineland palatinate,code07,14.2
2007,percentage,male,rhineland palatinate,code07,17.7
2008,percentage,male,rhineland palatinate,code07,13.1
2009,percentage,male,rhineland palatinate,code07,13.9
2010,percentage,male,rhineland palatinate,code07,16.6
2011,percentage,male,rhineland palatinate,code07,14.8
2012,percentage,male,rhineland palatinate,code07,11.8
2013,percentage,male,rhineland palatinate,code07,13.4
2014,percentage,male,rhineland palatinate,code07,10.9
2015,percentage,male,rhineland palatinate,code07,12.1
2016,percentage,male,rhineland palatinate,code07,13.2
2017,percentage,male,rhineland palatinate,code07,13.3
2018,percentage,male,rhineland palatinate,code07,13.2
2019,percentage,male,rhineland palatinate,code07,12.6
2020,percentage,male,rhineland palatinate,code07,12.1
2021,percentage,male,rhineland palatinate,code07,14.9
2022,percentage,male,rhineland palatinate,code07,15.3
2023,percentage,male,rhineland palatinate,code07,16.3
2005,percentage,,saarland,code10,20.6
2006,percentage,,saarland,code10,20.8
2007,percentage,,saarland,code10,16.3
2008,percentage,,saarland,code10,14.1
2009,percentage,,saarland,code10,14.4
2010,percentage,,saarland,code10,13.2
2011,percentage,,saarland,code10,15.4
2012,percentage,,saarland,code10,12.9
2013,percentage,,saarland,code10,14.1
2014,percentage,,saarland,code10,11.9
2015,percentage,,saarland,code10,12.2
2016,percentage,,saarland,code10,10.3
2017,percentage,,saarland,code10,11.7
2018,percentage,,saarland,code10,11.8
2019,percentage,,saarland,code10,11.5
2005,percentage,female,saarland,code10,15.5
2006,percentage,female,saarland,code10,18.8
2007,percentage,female,saarland,code10,15.9
2009,percentage,female,saarland,code10,14.0
2013,percentage,female,saarland,code10,14.2
2015,percentage,female,saarland,code10,15.9
2005,percentage,male,saarland,code10,26.4
2006,percentage,male,saarland,code10,22.9
2007,percentage,male,saarland,code10,16.8
2008,percentage,male,saarland,code10,13.9
2009,percentage,male,saarland,code10,14.8
2010,percentage,male,saarland,code10,14.8
2011,percentage,male,saarland,code10,18.4
2012,percentage,male,saarland,code10,14.7
2013,percentage,male,saarland,code10,14.0
2017,percentage,male,saarland,code10,13.0
2005,percentage,,saxony,code14,9.8
