Year,Units,Time series,Sex,Federal state,GeoCode,Value
2009,Percentage,,Male,Brandenburg,code12,35.2
2030,Percentage,,,,,
2010,Percentage,,,Bremen,code04,41.46
2011,Percentage,,,Bremen,code04,43.16
2012,Percentage,,,Bremen,code04,41.83
2013,Percentage,,,Bremen,code04,44.32
2014,Percentage,,,Bremen,code04,53.39
2015,Percentage,,,Bremen,code04,50.5
2016,Percentage,,,Bremen,code04,46.57
2017,Percentage,,,Bremen,code04,52.05
2018,Percentage,,,Bremen,code04,52.3
2019,Percentage,,,Bremen,code04,49.13
2020,Percentage,,,Bremen,code04,49.88
2021,Percentage,,,Bremen,code04,53.977
2005,Percentage,,,Bremen,code04,33.79
2006,Percentage,,,Bremen,code04,36.8
2007,Percentage,,,Bremen,code04,38.2
2008,Percentage,,,Bremen,code04,39.4
2009,Percentage,,,Bremen,code04,32.7
2030,Percentage,,,,,
2010,Percentage,,Female,Bremen,code04,36.9
2011,Percentage,,Female,Bremen,code04,47.8
2012,Percentage,,Female,Bremen,code04,46.0
2013,Percentage,,Female,Bremen,code04,48.2
2014,Percentage,,Female,Bremen,code04,57.5
2015,Percentage,,Female,Bremen,code04,54.6
2016,Percentage,,Female,Bremen,code04,50.1
2017,Percentage,,Female,Bremen,code04,57.0
2018,Percentage,,Female,Bremen,code04,56.81
2019,Percentage,,Female,Bremen,code04,56.67
2020,Percentage,,Female,Bremen,code04,58.77
2021,Percentage,,Female,Bremen,code04,60.863
2005,Percentage,,Female,Bremen,code04,35.3
2006,Percentage,,Female,Bremen,code04,40.1
2007,Percentage,,Female,Bremen,code04,40.3
2008,Percentage,,Female,Bremen,code04,40.8
2009,Percentage,,Female,Bremen,code04,36.1
2030,Percentage,,,,,
2010,Percentage,,Male,Bremen,code04,46.5
2011,Percentage,,Male,Bremen,code04,37.8
2012,Percentage,,Male,Bremen,code04,38.1
2013,Percentage,,Male,Bremen,code04,41.3
2014,Percentage,,Male,Bremen,code04,49.6
2015,Percentage,,Male,Bremen,code04,46.8
2016,Percentage,,Male,Bremen,code04,42.7
2017,Percentage,,Male,Bremen,code04,47.3
2018,Percentage,,Male,Bremen,code04,47.9
2019,Percentage,,Male,Bremen,code04,42.25
2020,Percentage,,Male,Bremen,code04,41.74
2021,Percentage,,Male,Bremen,code04,48.384
2005,Percentage,,Male,Bremen,code04,32.3
2006,Percentage,,Male,Bremen,code04,33.9
2007,Percentage,,Male,Bremen,code04,36.3
2008,Percentage,,Male,Bremen,code04,38.0
2009,Percentage,,Male,Bremen,code04,28.8
2030,Percentage,,,,,
2010,Percentage,,,Hamburg,code02,52.5
2011,Percentage,,,Hamburg,code02,55.37
2012,Percentage,,,Hamburg,code02,54.42
2013,Percentage,,,Hamburg,code02,55.4
2014,Percentage,,,Hamburg,code02,58.52
2015,Percentage,,,Hamburg,code02,60.57
2016,Percentage,,,Hamburg,code02,59.97
2017,Percentage,,,Hamburg,code02,58.39
2018,Percentage,,,Hamburg,code02,62.48
2019,Percentage,,,Hamburg,code02,60.12
2020,Percentage,,,Hamburg,code02,60.17
2021,Percentage,,,Hamburg,code02,64.177
2005,Percentage,,,Hamburg,code02,45.72
2006,Percentage,,,Hamburg,code02,48.6
2007,Percentage,,,Hamburg,code02,49.4
2008,Percentage,,,Hamburg,code02,50.1
2009,Percentage,,,Hamburg,code02,53.1
2030,Percentage,,,,,
2010,Percentage,,Female,Hamburg,code02,53.8
2011,Percentage,,Female,Hamburg,code02,57.1
2012,Percentage,,Female,Hamburg,code02,57.6
2013,Percentage,,Female,Hamburg,code02,60.1
2014,Percentage,,Female,Hamburg,code02,61.4
2015,Percentage,,Female,Hamburg,code02,62.5
2016,Percentage,,Female,Hamburg,code02,62.1
2017,Percentage,,Female,Hamburg,code02,63.0
2018,Percentage,,Female,Hamburg,code02,64.88
2019,Percentage,,Female,Hamburg,code02,61.18
2020,Percentage,,Female,Hamburg,code02,63.23
2021,Percentage,,Female,Hamburg,code02,68.395
2005,Percentage,,Female,Hamburg,code02,47.5
2006,Percentage,,Female,Hamburg,code02,49.0
2007,Percentage,,Female,Hamburg,code02,53.8
2008,Percentage,,Female,Hamburg,code02,53.0
2009,Percentage,,Female,Hamburg,code02,54.0
2030,Percentage,,,,,
2010,Percentage,,Male,Hamburg,code02,51.3
2011,Percentage,,Male,Hamburg,code02,53.6
2012,Percentage,,Male,Hamburg,code02,51.1
2013,Percentage,,Male,Hamburg,code02,50.7
2014,Percentage,,Male,Hamburg,code02,55.4
2015,Percentage,,Male,Hamburg,code02,58.5
2016,Percentage,,Male,Hamburg,code02,58.0
2017,Percentage,,Male,Hamburg,code02,53.7
2018,Percentage,,Male,Hamburg,code02,60.04
2019,Percentage,,Male,Hamburg,code02,59.1
2020,Percentage,,Male,Hamburg,code02,57.17
2021,Percentage,,Male,Hamburg,code02,59.989
2005,Percentage,,Male,Hamburg,code02,44.1
2006,Percentage,,Male,Hamburg,code02,48.3
2007,Percentage,,Male,Hamburg,code02,45.2
2008,Percentage,,Male,Hamburg,code02,47.1
2009,Percentage,,Male,Hamburg,code02,52.2
2030,Percentage,,,,,
2010,Percentage,,,Hesse,code06,45.45
2011,Percentage,,,Hesse,code06,46.11
2012,Percentage,,,Hesse,code06,47.16
2013,Percentage,,,Hesse,code06,47.57
2014,Percentage,,,Hesse,code06,46.33
2015,Percentage,,,Hesse,code06,49.36
2016,Percentage,,,Hesse,code06,50.41
2017,Percentage,,,Hesse,code06,54.08
2018,Percentage,,,Hesse,code06,52.44
2019,Percentage,,,Hesse,code06,52.73
2020,Percentage,,,Hesse,code06,52.76
2021,Percentage,,,Hesse,code06,52.208
2005,Percentage,,,Hesse,code06,40.65
2006,Percentage,,,Hesse,code06,40.2
2007,Percentage,,,Hesse,code06,40.9
2008,Percentage,,,Hesse,code06,40.3
2009,Percentage,,,Hesse,code06,43.1
2030,Percentage,,,,,
2010,Percentage,,Female,Hesse,code06,46.3
2011,Percentage,,Female,Hesse,code06,46.7
2012,Percentage,,Female,Hesse,code06,48.0
2013,Percentage,,Female,Hesse,code06,48.9
2014,Percentage,,Female,Hesse,code06,47.9
2015,Percentage,,Female,Hesse,code06,52.1
2016,Percentage,,Female,Hesse,code06,53.0
2017,Percentage,,Female,Hesse,code06,58.5
2018,Percentage,,Female,Hesse,code06,57.0
2019,Percentage,,Female,Hesse,code06,57.35
2020,Percentage,,Female,Hesse,code06,54.52
2021,Percentage,,Female,Hesse,code06,55.332
2005,Percentage,,Female,Hesse,code06,38.7
2006,Percentage,,Female,Hesse,code06,38.8
2007,Percentage,,Female,Hesse,code06,39.8
2008,Percentage,,Female,Hesse,code06,40.6
2009,Percentage,,Female,Hesse,code06,44.1
2030,Percentage,,,,,
2010,Percentage,,Male,Hesse,code06,44.6
2011,Percentage,,Male,Hesse,code06,45.5
2012,Percentage,,Male,Hesse,code06,46.3
2013,Percentage,,Male,Hesse,code06,46.1
2014,Percentage,,Male,Hesse,code06,44.8
2015,Percentage,,Male,Hesse,code06,46.6
2016,Percentage,,Male,Hesse,code06,47.8
2017,Percentage,,Male,Hesse,code06,49.6
2018,Percentage,,Male,Hesse,code06,48.01
2019,Percentage,,Male,Hesse,code06,48.34
2020,Percentage,,Male,Hesse,code06,51.06
2021,Percentage,,Male,Hesse,code06,49.289
2005,Percentage,,Male,Hesse,code06,42.6
2006,Percentage,,Male,Hesse,code06,41.6
2007,Percentage,,Male,Hesse,code06,41.9
2008,Percentage,,Male,Hesse,code06,39.9
2009,Percentage,,Male,Hesse,code06,42.0
2030,Percentage,,,,,
2010,Percentage,,,Mecklenburg Western Pomerania,code13,33.17
2011,Percentage,,,Mecklenburg Western Pomerania,code13,32.11
2012,Percentage,,,Mecklenburg Western Pomerania,code13,30.77
2013,Percentage,,,Mecklenburg Western Pomerania,code13,33.24
2014,Percentage,,,Mecklenburg Western Pomerania,code13,35.45
2015,Percentage,,,Mecklenburg Western Pomerania,code13,34.82
2016,Percentage,,,Mecklenburg Western Pomerania,code13,32.65
2017,Percentage,,,Mecklenburg Western Pomerania,code13,32.71
2018,Percentage,,,Mecklenburg Western Pomerania,code13,37.94
2019,Percentage,,,Mecklenburg Western Pomerania,code13,38.66
2020,Percentage,,,Mecklenburg Western Pomerania,code13,39.38
2021,Percentage,,,Mecklenburg Western Pomerania,code13,42.064
2005,Percentage,,,Mecklenburg Western Pomerania,code13,26.35
2006,Percentage,,,Mecklenburg Western Pomerania,code13,31.1
2007,Percentage,,,Mecklenburg Western Pomerania,code13,30.5
2008,Percentage,,,Mecklenburg Western Pomerania,code13,32.3
2009,Percentage,,,Mecklenburg Western Pomerania,code13,32.3
2030,Percentage,,,,,
2010,Percentage,,Female,Mecklenburg Western Pomerania,code13,36.5
2011,Percentage,,Female,Mecklenburg Western Pomerania,code13,35.3
2012,Percentage,,Female,Mecklenburg Western Pomerania,code13,38.5
2013,Percentage,,Female,Mecklenburg Western Pomerania,code13,42.1
2014,Percentage,,Female,Mecklenburg Western Pomerania,code13,43.3
2015,Percentage,,Female,Mecklenburg Western Pomerania,code13,44.1
2016,Percentage,,Female,Mecklenburg Western Pomerania,code13,39.2
2017,Percentage,,Female,Mecklenburg Western Pomerania,code13,39.7
2018,Percentage,,Female,Mecklenburg Western Pomerania,code13,44.36
2019,Percentage,,Female,Mecklenburg Western Pomerania,code13,41.24
2020,Percentage,,Female,Mecklenburg Western Pomerania,code13,45.98
2021,Percentage,,Female,Mecklenburg Western Pomerania,code13,46.593
2005,Percentage,,Female,Mecklenburg Western Pomerania,code13,27.0
2006,Percentage,,Female,Mecklenburg Western Pomerania,code13,37.3
2007,Percentage,,Female,Mecklenburg Western Pomerania,code13,37.2
2008,Percentage,,Female,Mecklenburg Western Pomerania,code13,39.4
2009,Percentage,,Female,Mecklenburg Western Pomerania,code13,37.4
2030,Percentage,,,,,
2010,Percentage,,Male,Mecklenburg Western Pomerania,code13,30.4
2011,Percentage,,Male,Mecklenburg Western Pomerania,code13,29.3
2012,Percentage,,Male,Mecklenburg Western Pomerania,code13,23.9
2013,Percentage,,Male,Mecklenburg Western Pomerania,code13,25.4
2014,Percentage,,Male,Mecklenburg Western Pomerania,code13,28.3
2015,Percentage,,Male,Mecklenburg Western Pomerania,code13,26.9
2016,Percentage,,Male,Mecklenburg Western Pomerania,code13,27.0
2017,Percentage,,Male,Mecklenburg Western Pomerania,code13,26.1
2018,Percentage,,Male,Mecklenburg Western Pomerania,code13,32.37
2019,Percentage,,Male,Mecklenburg Western Pomerania,code13,36.44
2020,Percentage,,Male,Mecklenburg Western Pomerania,code13,33.21
2021,Percentage,,Male,Mecklenburg Western Pomerania,code13,37.708
2005,Percentage,,Male,Mecklenburg Western Pomerania,code13,25.8
2006,Percentage,,Male,Mecklenburg Western Pomerania,code13,26.1
2007,Percentage,,Male,Mecklenburg Western Pomerania,code13,25.0
2008,Percentage,,Male,Mecklenburg Western Pomerania,code13,26.7
2009,Percentage,,Male,Mecklenburg Western Pomerania,code13,27.7
2030,Percentage,,,,,
2010,Percentage,,,Lower Saxony,code03,36.19
2011,Percentage,,,Lower Saxony,code03,37.46
2012,Percentage,,,Lower Saxony,code03,38.13
2013,Percentage,,,Lower Saxony,code03,37.89
2014,Percentage,,,Lower Saxony,code03,40.07
2015,Percentage,,,Lower Saxony,code03,43.15
2016,Percentage,,,Lower Saxony,code03,41.38
2017,Percentage,,,Lower Saxony,code03,42.6
2018,Percentage,,,Lower Saxony,code03,44.02
2019,Percentage,,,Lower Saxony,code03,44.67
2020,Percentage,,,Lower Saxony,code03,47.84
2021,Percentage,,,Lower Saxony,code03,47.136
2005,Percentage,,,Lower Saxony,code03,32.06
2006,Percentage,,,Lower Saxony,code03,31.7
2007,Percentage,,,Lower Saxony,code03,33.0
2008,Percentage,,,Lower Saxony,code03,34.0
2009,Percentage,,,Lower Saxony,code03,35.6
2030,Percentage,,,,,
2010,Percentage,,Female,Lower Saxony,code03,37.5
2011,Percentage,,Female,Lower Saxony,code03,39.6
2012,Percentage,,Female,Lower Saxony,code03,40.5
2013,Percentage,,Female,Lower Saxony,code03,38.8
2014,Percentage,,Female,Lower Saxony,code03,42.3
2015,Percentage,,Female,Lower Saxony,code03,46.3
2016,Percentage,,Female,Lower Saxony,code03,44.5
2017,Percentage,,Female,Lower Saxony,code03,45.9
2018,Percentage,,Female,Lower Saxony,code03,48.51
2019,Percentage,,Female,Lower Saxony,code03,49.04
2020,Percentage,,Female,Lower Saxony,code03,52.94
2021,Percentage,,Female,Lower Saxony,code03,51.408
2005,Percentage,,Female,Lower Saxony,code03,29.5
2006,Percentage,,Female,Lower Saxony,code03,29.9
2007,Percentage,,Female,Lower Saxony,code03,30.9
2008,Percentage,,Female,Lower Saxony,code03,33.1
2009,Percentage,,Female,Lower Saxony,code03,36.2
2030,Percentage,,,,,
2010,Percentage,,Male,Lower Saxony,code03,34.9
2011,Percentage,,Male,Lower Saxony,code03,35.4
2012,Percentage,,Male,Lower Saxony,code03,35.7
2013,Percentage,,Male,Lower Saxony,code03,37.0
2014,Percentage,,Male,Lower Saxony,code03,37.9
2015,Percentage,,Male,Lower Saxony,code03,40.1
2016,Percentage,,Male,Lower Saxony,code03,38.4
2017,Percentage,,Male,Lower Saxony,code03,39.5
2018,Percentage,,Male,Lower Saxony,code03,39.82
2019,Percentage,,Male,Lower Saxony,code03,40.67
2020,Percentage,,Male,Lower Saxony,code03,42.91
2021,Percentage,,Male,Lower Saxony,code03,43.103
2005,Percentage,,Male,Lower Saxony,code03,34.6
2006,Percentage,,Male,Lower Saxony,code03,33.5
2007,Percentage,,Male,Lower Saxony,code03,35.1
2008,Percentage,,Male,Lower Saxony,code03,34.9
2009,Percentage,,Male,Lower Saxony,code03,34.9
2030,Percentage,,,,,
2010,Percentage,,,North Rhine-Westphalia,code05,41.29
2011,Percentage,,,North Rhine-Westphalia,code05,42.01
2012,Percentage,,,North Rhine-Westphalia,code05,44.4
2013,Percentage,,,North Rhine-Westphalia,code05,45.0
2014,Percentage,,,North Rhine-Westphalia,code05,47.84
2015,Percentage,,,North Rhine-Westphalia,code05,48.71
2016,Percentage,,,North Rhine-Westphalia,code05,50.25
2017,Percentage,,,North Rhine-Westphalia,code05,51.04
2018,Percentage,,,North Rhine-Westphalia,code05,50.57
2019,Percentage,,,North Rhine-Westphalia,code05,50.93
2020,Percentage,,,North Rhine-Westphalia,code05,54.4
2021,Percentage,,,North Rhine-Westphalia,code05,53.889
