Year,Units,time series,COMMENT_OBS_0,länder,GeoCode,Value
2020,minutes,for the medium-sized and major cities of the year in question,,mecklenburg western pomerania,code13,28.342
2024,minutes,for the medium-sized and major cities of the year in question,|,mecklenburg western pomerania,code13,29.7
2013,minutes,for the medium-sized and major cities of the year in question,.,mecklenburg western pomerania,code13,
2014,minutes,for the medium-sized and major cities of the year in question,.,mecklenburg western pomerania,code13,
2015,minutes,for the medium-sized and major cities of the year in question,.,mecklenburg western pomerania,code13,
2017,minutes,for the medium-sized and major cities of the year in question,.,mecklenburg western pomerania,code13,
2019,minutes,for the medium-sized and major cities of the year in question,.,mecklenburg western pomerania,code13,
2021,minutes,for the medium-sized and major cities of the year in question,.,mecklenburg western pomerania,code13,
2022,minutes,for the medium-sized and major cities of the year in question,.,mecklenburg western pomerania,code13,
2023,minutes,for the medium-sized and major cities of the year in question,.,mecklenburg western pomerania,code13,
2012,minutes,for the medium-sized and major cities of the year in question,,lower saxony,code03,27.44
2016,minutes,for the medium-sized and major cities of the year in question,,lower saxony,code03,25.597
2018,minutes,for the medium-sized and major cities of the year in question,,lower saxony,code03,24.893
2020,minutes,for the medium-sized and major cities of the year in question,,lower saxony,code03,23.914
2024,minutes,for the medium-sized and major cities of the year in question,|,lower saxony,code03,23.1
2013,minutes,for the medium-sized and major cities of the year in question,.,lower saxony,code03,
2014,minutes,for the medium-sized and major cities of the year in question,.,lower saxony,code03,
2015,minutes,for the medium-sized and major cities of the year in question,.,lower saxony,code03,
2017,minutes,for the medium-sized and major cities of the year in question,.,lower saxony,code03,
2019,minutes,for the medium-sized and major cities of the year in question,.,lower saxony,code03,
2021,minutes,for the medium-sized and major cities of the year in question,.,lower saxony,code03,
2022,minutes,for the medium-sized and major cities of the year in question,.,lower saxony,code03,
2023,minutes,for the medium-sized and major cities of the year in question,.,lower saxony,code03,
2012,minutes,for the medium-sized and major cities of the year in question,,north rhine-westphalia,code05,19.402
2016,minutes,for the medium-sized and major cities of the year in question,,north rhine-westphalia,code05,19.286
2018,minutes,for the medium-sized and major cities of the year in question,,north rhine-westphalia,code05,18.984
2020,minutes,for the medium-sized and major cities of the year in question,,north rhine-westphalia,code05,17.798
2024,minutes,for the medium-sized and major cities of the year in question,|,north rhine-westphalia,code05,13.1
2013,minutes,for the medium-sized and major cities of the year in question,.,north rhine-westphalia,code05,
2014,minutes,for the medium-sized and major cities of the year in question,.,north rhine-westphalia,code05,
2015,minutes,for the medium-sized and major cities of the year in question,.,north rhine-westphalia,code05,
2017,minutes,for the medium-sized and major cities of the year in question,.,north rhine-westphalia,code05,
2019,minutes,for the medium-sized and major cities of the year in question,.,north rhine-westphalia,code05,
2021,minutes,for the medium-sized and major cities of the year in question,.,north rhine-westphalia,code05,
2022,minutes,for the medium-sized and major cities of the year in question,.,north rhine-westphalia,code05,
2023,minutes,for the medium-sized and major cities of the year in question,.,north rhine-westphalia,code05,
2012,minutes,for the medium-sized and major cities of the year in question,,rhineland palatinate,code07,22.951
2016,minutes,for the medium-sized and major cities of the year in question,,rhineland palatinate,code07,20.937
2018,minutes,for the medium-sized and major cities of the year in question,,rhineland palatinate,code07,20.556
2020,minutes,for the medium-sized and major cities of the year in question,,rhineland palatinate,code07,19.667
2024,minutes,for the medium-sized and major cities of the year in question,|,rhineland palatinate,code07,18.6
2013,minutes,for the medium-sized and major cities of the year in question,.,rhineland palatinate,code07,
2014,minutes,for the medium-sized and major cities of the year in question,.,rhineland palatinate,code07,
2015,minutes,for the medium-sized and major cities of the year in question,.,rhineland palatinate,code07,
2017,minutes,for the medium-sized and major cities of the year in question,.,rhineland palatinate,code07,
2019,minutes,for the medium-sized and major cities of the year in question,.,rhineland palatinate,code07,
2021,minutes,for the medium-sized and major cities of the year in question,.,rhineland palatinate,code07,
2022,minutes,for the medium-sized and major cities of the year in question,.,rhineland palatinate,code07,
2023,minutes,for the medium-sized and major cities of the year in question,.,rhineland palatinate,code07,
2012,minutes,for the medium-sized and major cities of the year in question,,saarland,code10,22.589
2016,minutes,for the medium-sized and major cities of the year in question,,saarland,code10,20.498
2018,minutes,for the medium-sized and major cities of the year in question,,saarland,code10,20.456
2020,minutes,for the medium-sized and major cities of the year in question,,saarland,code10,19.539
2024,minutes,for the medium-sized and major cities of the year in question,|,saarland,code10,19.1
2013,minutes,for the medium-sized and major cities of the year in question,.,saarland,code10,
2014,minutes,for the medium-sized and major cities of the year in question,.,saarland,code10,
2015,minutes,for the medium-sized and major cities of the year in question,.,saarland,code10,
2017,minutes,for the medium-sized and major cities of the year in question,.,saarland,code10,
2019,minutes,for the medium-sized and major cities of the year in question,.,saarland,code10,
2021,minutes,for the medium-sized and major cities of the year in question,.,saarland,code10,
2022,minutes,for the medium-sized and major cities of the year in question,.,saarland,code10,
2023,minutes,for the medium-sized and major cities of the year in question,.,saarland,code10,
2012,minutes,for the medium-sized and major cities of the year in question,,saxony,code14,24.894
2016,minutes,for the medium-sized and major cities of the year in question,,saxony,code14,23.33
2018,minutes,for the medium-sized and major cities of the year in question,,saxony,code14,22.969
2020,minutes,for the medium-sized and major cities of the year in question,,saxony,code14,21.88
2024,minutes,for the medium-sized and major cities of the year in question,|,saxony,code14,17.9
2013,minutes,for the medium-sized and major cities of the year in question,.,saxony,code14,
2014,minutes,for the medium-sized and major cities of the year in question,.,saxony,code14,
2015,minutes,for the medium-sized and major cities of the year in question,.,saxony,code14,
2017,minutes,for the medium-sized and major cities of the year in question,.,saxony,code14,
2019,minutes,for the medium-sized and major cities of the year in question,.,saxony,code14,
2021,minutes,for the medium-sized and major cities of the year in question,.,saxony,code14,
2022,minutes,for the medium-sized and major cities of the year in question,.,saxony,code14,
2023,minutes,for the medium-sized and major cities of the year in question,.,saxony,code14,
2012,minutes,for the medium-sized and major cities of the year in question,,saxony-anhalt,code15,28.918
2016,minutes,for the medium-sized and major cities of the year in question,,saxony-anhalt,code15,27.151
2018,minutes,for the medium-sized and major cities of the year in question,,saxony-anhalt,code15,27.517
2020,minutes,for the medium-sized and major cities of the year in question,,saxony-anhalt,code15,26.031
2024,minutes,for the medium-sized and major cities of the year in question,|,saxony-anhalt,code15,23.7
2013,minutes,for the medium-sized and major cities of the year in question,.,saxony-anhalt,code15,
2014,minutes,for the medium-sized and major cities of the year in question,.,saxony-anhalt,code15,
2015,minutes,for the medium-sized and major cities of the year in question,.,saxony-anhalt,code15,
2017,minutes,for the medium-sized and major cities of the year in question,.,saxony-anhalt,code15,
2019,minutes,for the medium-sized and major cities of the year in question,.,saxony-anhalt,code15,
2021,minutes,for the medium-sized and major cities of the year in question,.,saxony-anhalt,code15,
2022,minutes,for the medium-sized and major cities of the year in question,.,saxony-anhalt,code15,
2023,minutes,for the medium-sized and major cities of the year in question,.,saxony-anhalt,code15,
2012,minutes,for the medium-sized and major cities of the year in question,,schleswig-holstein,code01,30.062
2016,minutes,for the medium-sized and major cities of the year in question,,schleswig-holstein,code01,28.987
2018,minutes,for the medium-sized and major cities of the year in question,,schleswig-holstein,code01,28.335
2020,minutes,for the medium-sized and major cities of the year in question,,schleswig-holstein,code01,27.278
2024,minutes,for the medium-sized and major cities of the year in question,|,schleswig-holstein,code01,26.3
2013,minutes,for the medium-sized and major cities of the year in question,.,schleswig-holstein,code01,
2014,minutes,for the medium-sized and major cities of the year in question,.,schleswig-holstein,code01,
2015,minutes,for the medium-sized and major cities of the year in question,.,schleswig-holstein,code01,
2017,minutes,for the medium-sized and major cities of the year in question,.,schleswig-holstein,code01,
2019,minutes,for the medium-sized and major cities of the year in question,.,schleswig-holstein,code01,
2021,minutes,for the medium-sized and major cities of the year in question,.,schleswig-holstein,code01,
2022,minutes,for the medium-sized and major cities of the year in question,.,schleswig-holstein,code01,
2023,minutes,for the medium-sized and major cities of the year in question,.,schleswig-holstein,code01,
2012,minutes,for the medium-sized and major cities of the year in question,,thuringia,code16,24.449
2016,minutes,for the medium-sized and major cities of the year in question,,thuringia,code16,23.504
2018,minutes,for the medium-sized and major cities of the year in question,,thuringia,code16,22.986
2020,minutes,for the medium-sized and major cities of the year in question,,thuringia,code16,21.0
2024,minutes,for the medium-sized and major cities of the year in question,|,thuringia,code16,19.9
2013,minutes,for the medium-sized and major cities of the year in question,.,thuringia,code16,
2014,minutes,for the medium-sized and major cities of the year in question,.,thuringia,code16,
2015,minutes,for the medium-sized and major cities of the year in question,.,thuringia,code16,
2017,minutes,for the medium-sized and major cities of the year in question,.,thuringia,code16,
2019,minutes,for the medium-sized and major cities of the year in question,.,thuringia,code16,
2021,minutes,for the medium-sized and major cities of the year in question,.,thuringia,code16,
2022,minutes,for the medium-sized and major cities of the year in question,.,thuringia,code16,
2023,minutes,for the medium-sized and major cities of the year in question,.,thuringia,code16,
