Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Länder,GeoCode,Value
2011,Percentage,r,,Brandenburg,code12,36.823
2012,Percentage,r,,Brandenburg,code12,35.639
2013,Percentage,r,,Brandenburg,code12,33.477
2014,Percentage,r,,Brandenburg,code12,30.935
2015,Percentage,r,,Brandenburg,code12,30.252
2016,Percentage,r,,Brandenburg,code12,29.246
2017,Percentage,r,,Brandenburg,code12,26.089
2018,Percentage,r,,Brandenburg,code12,24.339
2019,Percentage,r,,Brandenburg,code12,23.809
2020,Percentage,r,,Brandenburg,code12,26.44
2021,Percentage,r,,Brandenburg,code12,25.175
2022,Percentage,r,p,Brandenburg,code12,22.284
2023,Percentage,r,p,Brandenburg,code12,21.783
2024,Percentage,p,,Brandenburg,code12,23.382
1991,Percentage,,,Bremen,code04,41.181
1992,Percentage,,,Bremen,code04,42.998
1993,Percentage,,,Bremen,code04,45.163
1994,Percentage,,,Bremen,code04,43.343
1995,Percentage,,,Bremen,code04,42.467
1996,Percentage,,,Bremen,code04,41.856
1997,Percentage,,,Bremen,code04,41.03
1998,Percentage,,,Bremen,code04,39.697
1999,Percentage,,,Bremen,code04,37.338
2000,Percentage,r,,Bremen,code04,37.81
2001,Percentage,r,,Bremen,code04,38.152
2002,Percentage,r,,Bremen,code04,40.084
2003,Percentage,r,,Bremen,code04,43.21
2004,Percentage,r,,Bremen,code04,45.482
2005,Percentage,r,,Bremen,code04,48.55
2006,Percentage,r,,Bremen,code04,50.359
2007,Percentage,r,,Bremen,code04,51.996
2008,Percentage,r,,Bremen,code04,54.763
2009,Percentage,r,,Bremen,code04,62.827
2010,Percentage,r,,Bremen,code04,66.938
2011,Percentage,r,,Bremen,code04,67.824
2012,Percentage,r,,Bremen,code04,67.603
2013,Percentage,r,,Bremen,code04,67.91
2014,Percentage,r,,Bremen,code04,67.563
2015,Percentage,r,,Bremen,code04,70.536
2016,Percentage,r,,Bremen,code04,66.824
2017,Percentage,r,,Bremen,code04,64.178
2018,Percentage,r,,Bremen,code04,65.081
2019,Percentage,r,,Bremen,code04,89.749
2020,Percentage,r,,Bremen,code04,121.561
2021,Percentage,r,,Bremen,code04,102.436
2022,Percentage,r,p,Bremen,code04,58.277
2023,Percentage,r,p,Bremen,code04,58.046
2024,Percentage,p,,Bremen,code04,57.663
1991,Percentage,,,Hamburg,code02,16.069
1992,Percentage,,,Hamburg,code02,16.345
1993,Percentage,,,Hamburg,code02,17.864
1994,Percentage,,,Hamburg,code02,18.981
1995,Percentage,,,Hamburg,code02,19.298
1996,Percentage,,,Hamburg,code02,20.229
1997,Percentage,,,Hamburg,code02,19.911
1998,Percentage,,,Hamburg,code02,19.766
1999,Percentage,,,Hamburg,code02,20.458
2000,Percentage,r,,Hamburg,code02,21.187
2001,Percentage,r,,Hamburg,code02,21.186
2002,Percentage,r,,Hamburg,code02,21.543
2003,Percentage,r,,Hamburg,code02,22.772
2004,Percentage,r,,Hamburg,code02,23.339
2005,Percentage,r,,Hamburg,code02,23.674
2006,Percentage,r,,Hamburg,code02,23.868
2007,Percentage,r,,Hamburg,code02,23.054
2008,Percentage,r,,Hamburg,code02,22.271
2009,Percentage,r,,Hamburg,code02,25.353
2010,Percentage,r,,Hamburg,code02,25.855
2011,Percentage,r,,Hamburg,code02,25.19
2012,Percentage,r,,Hamburg,code02,24.269
2013,Percentage,r,,Hamburg,code02,23.667
2014,Percentage,r,,Hamburg,code02,26.087
2015,Percentage,r,,Hamburg,code02,25.573
2016,Percentage,r,,Hamburg,code02,27.029
2017,Percentage,r,,Hamburg,code02,26.816
2018,Percentage,r,,Hamburg,code02,27.642
2019,Percentage,r,,Hamburg,code02,25.934
2020,Percentage,r,,Hamburg,code02,28.505
2021,Percentage,r,,Hamburg,code02,25.684
2022,Percentage,r,p,Hamburg,code02,21.358
2023,Percentage,r,p,Hamburg,code02,21.133
2024,Percentage,p,,Hamburg,code02,20.164
1991,Percentage,,,Hesse,code06,15.789
1992,Percentage,,,Hesse,code06,15.618
1993,Percentage,,,Hesse,code06,15.297
1994,Percentage,,,Hesse,code06,15.797
1995,Percentage,,,Hesse,code06,16.18
1996,Percentage,,,Hesse,code06,16.381
1997,Percentage,,,Hesse,code06,16.036
1998,Percentage,,,Hesse,code06,16.469
1999,Percentage,,,Hesse,code06,16.048
2000,Percentage,r,,Hesse,code06,15.275
2001,Percentage,r,,Hesse,code06,14.777
2002,Percentage,r,,Hesse,code06,15.291
2003,Percentage,r,,Hesse,code06,15.803
2004,Percentage,r,,Hesse,code06,16.684
2005,Percentage,r,,Hesse,code06,17.267
2006,Percentage,r,,Hesse,code06,17.439
2007,Percentage,r,,Hesse,code06,16.551
2008,Percentage,r,,Hesse,code06,16.439
2009,Percentage,r,,Hesse,code06,18.629
2010,Percentage,r,,Hesse,code06,22.297
2011,Percentage,r,,Hesse,code06,22.839
2012,Percentage,r,,Hesse,code06,24.155
2013,Percentage,r,,Hesse,code06,23.286
2014,Percentage,r,,Hesse,code06,24.072
2015,Percentage,r,,Hesse,code06,22.947
2016,Percentage,r,,Hesse,code06,21.913
2017,Percentage,r,,Hesse,code06,20.349
2018,Percentage,r,,Hesse,code06,18.126
2019,Percentage,r,,Hesse,code06,17.777
2020,Percentage,r,,Hesse,code06,20.455
2021,Percentage,r,,Hesse,code06,18.731
2022,Percentage,r,p,Hesse,code06,16.717
2023,Percentage,r,p,Hesse,code06,16.424
2024,Percentage,p,,Hesse,code06,17.223
1991,Percentage,,,Mecklenburg Western Pomerania,code13,4.672
1992,Percentage,,,Mecklenburg Western Pomerania,code13,8.629
1993,Percentage,,,Mecklenburg Western Pomerania,code13,7.194
1994,Percentage,,,Mecklenburg Western Pomerania,code13,12.484
1995,Percentage,,,Mecklenburg Western Pomerania,code13,16.464
1996,Percentage,,,Mecklenburg Western Pomerania,code13,21.975
1997,Percentage,,,Mecklenburg Western Pomerania,code13,25.906
1998,Percentage,,,Mecklenburg Western Pomerania,code13,29.567
1999,Percentage,,,Mecklenburg Western Pomerania,code13,31.363
2000,Percentage,r,,Mecklenburg Western Pomerania,code13,32.883
2001,Percentage,r,,Mecklenburg Western Pomerania,code13,31.788
2002,Percentage,r,,Mecklenburg Western Pomerania,code13,33.805
2003,Percentage,r,,Mecklenburg Western Pomerania,code13,35.376
2004,Percentage,r,,Mecklenburg Western Pomerania,code13,37.482
2005,Percentage,r,,Mecklenburg Western Pomerania,code13,39.701
2006,Percentage,r,,Mecklenburg Western Pomerania,code13,39.783
2007,Percentage,r,,Mecklenburg Western Pomerania,code13,35.022
2008,Percentage,r,,Mecklenburg Western Pomerania,code13,33.359
2009,Percentage,r,,Mecklenburg Western Pomerania,code13,33.21
2010,Percentage,r,,Mecklenburg Western Pomerania,code13,34.554
2011,Percentage,r,,Mecklenburg Western Pomerania,code13,32.782
2012,Percentage,r,,Mecklenburg Western Pomerania,code13,32.655
2013,Percentage,r,,Mecklenburg Western Pomerania,code13,30.833
2014,Percentage,r,,Mecklenburg Western Pomerania,code13,29.238
2015,Percentage,r,,Mecklenburg Western Pomerania,code13,28.299
2016,Percentage,r,,Mecklenburg Western Pomerania,code13,24.978
2017,Percentage,r,,Mecklenburg Western Pomerania,code13,21.754
2018,Percentage,r,,Mecklenburg Western Pomerania,code13,20.567
2019,Percentage,r,,Mecklenburg Western Pomerania,code13,19.193
2020,Percentage,r,,Mecklenburg Western Pomerania,code13,21.287
2021,Percentage,r,,Mecklenburg Western Pomerania,code13,20.18
2022,Percentage,r,p,Mecklenburg Western Pomerania,code13,17.851
2023,Percentage,r,p,Mecklenburg Western Pomerania,code13,15.357
2024,Percentage,p,,Mecklenburg Western Pomerania,code13,16.653
1991,Percentage,,,Lower Saxony,code03,20.66
1992,Percentage,,,Lower Saxony,code03,20.616
1993,Percentage,,,Lower Saxony,code03,20.171
1994,Percentage,,,Lower Saxony,code03,20.904
1995,Percentage,,,Lower Saxony,code03,21.958
1996,Percentage,,,Lower Saxony,code03,22.803
1997,Percentage,,,Lower Saxony,code03,23.354
1998,Percentage,,,Lower Saxony,code03,23.416
1999,Percentage,,,Lower Saxony,code03,23.293
2000,Percentage,r,,Lower Saxony,code03,22.572
2001,Percentage,r,,Lower Saxony,code03,22.37
2002,Percentage,r,,Lower Saxony,code03,23.778
2003,Percentage,r,,Lower Saxony,code03,25.255
2004,Percentage,r,,Lower Saxony,code03,26.349
2005,Percentage,r,,Lower Saxony,code03,27.281
2006,Percentage,r,,Lower Saxony,code03,26.462
2007,Percentage,r,,Lower Saxony,code03,25.916
2008,Percentage,r,,Lower Saxony,code03,25.523
2009,Percentage,r,,Lower Saxony,code03,27.228
2010,Percentage,r,,Lower Saxony,code03,29.143
2011,Percentage,r,,Lower Saxony,code03,28.534
2012,Percentage,r,,Lower Saxony,code03,27.556
2013,Percentage,r,,Lower Saxony,code03,27.354
2014,Percentage,r,,Lower Saxony,code03,26.497
2015,Percentage,r,,Lower Saxony,code03,27.611
2016,Percentage,r,,Lower Saxony,code03,25.555
2017,Percentage,r,,Lower Saxony,code03,24.922
2018,Percentage,r,,Lower Saxony,code03,23.621
2019,Percentage,r,,Lower Saxony,code03,22.618
2020,Percentage,r,,Lower Saxony,code03,25.608
2021,Percentage,r,,Lower Saxony,code03,24.49
2022,Percentage,r,p,Lower Saxony,code03,22.688
2023,Percentage,r,p,Lower Saxony,code03,20.45
2024,Percentage,r,,Lower Saxony,code03,19.923
1991,Percentage,,,North Rhine-Westphalia,code05,19.759
1992,Percentage,,,North Rhine-Westphalia,code05,19.331
1993,Percentage,,,North Rhine-Westphalia,code05,19.196
1994,Percentage,,,North Rhine-Westphalia,code05,19.647
1995,Percentage,,,North Rhine-Westphalia,code05,19.496
1996,Percentage,,,North Rhine-Westphalia,code05,20.657
1997,Percentage,,,North Rhine-Westphalia,code05,21.051
1998,Percentage,,,North Rhine-Westphalia,code05,21.508
1999,Percentage,,,North Rhine-Westphalia,code05,21.89
2000,Percentage,r,,North Rhine-Westphalia,code05,21.953
2001,Percentage,r,,North Rhine-Westphalia,code05,21.842
2002,Percentage,r,,North Rhine-Westphalia,code05,22.786
2003,Percentage,r,,North Rhine-Westphalia,code05,23.804
2004,Percentage,r,,North Rhine-Westphalia,code05,24.633
2005,Percentage,r,,North Rhine-Westphalia,code05,25.7
2006,Percentage,r,,North Rhine-Westphalia,code05,26.086
2007,Percentage,r,,North Rhine-Westphalia,code05,24.609
2008,Percentage,r,,North Rhine-Westphalia,code05,23.907
2009,Percentage,r,,North Rhine-Westphalia,code05,26.392
2010,Percentage,r,,North Rhine-Westphalia,code05,38.801
2011,Percentage,r,,North Rhine-Westphalia,code05,38.719
2012,Percentage,r,,North Rhine-Westphalia,code05,43.379
2013,Percentage,r,,North Rhine-Westphalia,code05,39.582
2014,Percentage,r,,North Rhine-Westphalia,code05,37.814
2015,Percentage,r,,North Rhine-Westphalia,code05,36.872
2016,Percentage,r,,North Rhine-Westphalia,code05,35.621
2017,Percentage,r,,North Rhine-Westphalia,code05,32.842
2018,Percentage,r,,North Rhine-Westphalia,code05,30.619
2019,Percentage,r,,North Rhine-Westphalia,code05,30.321
2020,Percentage,r,,North Rhine-Westphalia,code05,32.07
2021,Percentage,r,,North Rhine-Westphalia,code05,30.681
2022,Percentage,r,p,North Rhine-Westphalia,code05,28.608
2023,Percentage,r,p,North Rhine-Westphalia,code05,27.491
2024,Percentage,p,,North Rhine-Westphalia,code05,27.415
1991,Percentage,,,Rhineland Palatinate,code07,19.561
1992,Percentage,,,Rhineland Palatinate,code07,19.756
1993,Percentage,,,Rhineland Palatinate,code07,19.697
1994,Percentage,,,Rhineland Palatinate,code07,19.883
1995,Percentage,,,Rhineland Palatinate,code07,20.257
1996,Percentage,,,Rhineland Palatinate,code07,20.797
1997,Percentage,,,Rhineland Palatinate,code07,21.596
1998,Percentage,,,Rhineland Palatinate,code07,22.677
1999,Percentage,,,Rhineland Palatinate,code07,22.987
2000,Percentage,r,,Rhineland Palatinate,code07,23.318
2001,Percentage,r,,Rhineland Palatinate,code07,23.81
2002,Percentage,r,,Rhineland Palatinate,code07,24.694
2003,Percentage,r,,Rhineland Palatinate,code07,25.888
2004,Percentage,r,,Rhineland Palatinate,code07,26.549
2005,Percentage,r,,Rhineland Palatinate,code07,27.549
2006,Percentage,r,,Rhineland Palatinate,code07,27.831
2007,Percentage,r,,Rhineland Palatinate,code07,28.734
2008,Percentage,r,,Rhineland Palatinate,code07,28.491
2009,Percentage,r,,Rhineland Palatinate,code07,30.674
2010,Percentage,r,,Rhineland Palatinate,code07,35.796
2011,Percentage,r,,Rhineland Palatinate,code07,35.954
2012,Percentage,r,,Rhineland Palatinate,code07,36.082
2013,Percentage,r,,Rhineland Palatinate,code07,35.521
2014,Percentage,r,,Rhineland Palatinate,code07,34.527
2015,Percentage,r,,Rhineland Palatinate,code07,33.628
2016,Percentage,r,,Rhineland Palatinate,code07,33.048
2017,Percentage,r,,Rhineland Palatinate,code07,31.484
2018,Percentage,r,,Rhineland Palatinate,code07,29.653
2019,Percentage,r,,Rhineland Palatinate,code07,28.525
2020,Percentage,r,,Rhineland Palatinate,code07,29.691
2021,Percentage,r,,Rhineland Palatinate,code07,24.41
2022,Percentage,r,p,Rhineland Palatinate,code07,22.942
2023,Percentage,r,p,Rhineland Palatinate,code07,21.694
2024,Percentage,p,,Rhineland Palatinate,code07,21.161
1991,Percentage,,,Saarland,code10,36.278
1992,Percentage,,,Saarland,code10,37.658
1993,Percentage,,,Saarland,code10,38.221
1994,Percentage,,,Saarland,code10,39.235
1995,Percentage,,,Saarland,code10,36.688
1996,Percentage,,,Saarland,code10,37.06
1997,Percentage,,,Saarland,code10,35.823
1998,Percentage,,,Saarland,code10,34.057
1999,Percentage,,,Saarland,code10,32.428
2000,Percentage,r,,Saarland,code10,31.453
2001,Percentage,r,,Saarland,code10,30.328
2002,Percentage,r,,Saarland,code10,27.032
2003,Percentage,r,,Saarland,code10,28.107
2004,Percentage,r,,Saarland,code10,28.452
2005,Percentage,r,,Saarland,code10,28.371
2006,Percentage,r,,Saarland,code10,29.568
2007,Percentage,r,,Saarland,code10,31.764
2008,Percentage,r,,Saarland,code10,32.699
2009,Percentage,r,,Saarland,code10,39.657
2010,Percentage,r,,Saarland,code10,47.233
2011,Percentage,r,,Saarland,code10,46.657
2012,Percentage,r,,Saarland,code10,48.994
2013,Percentage,r,,Saarland,code10,51.729
2014,Percentage,r,,Saarland,code10,51.57
2015,Percentage,r,,Saarland,code10,51.418
2016,Percentage,r,,Saarland,code10,50.877
2017,Percentage,r,,Saarland,code10,48.772
2018,Percentage,r,,Saarland,code10,47.344
2019,Percentage,r,,Saarland,code10,47.092
2020,Percentage,r,,Saarland,code10,49.666
2021,Percentage,r,,Saarland,code10,47.084
2022,Percentage,r,p,Saarland,code10,39.848
2023,Percentage,r,p,Saarland,code10,37.848
2024,Percentage,p,,Saarland,code10,39.297
1991,Percentage,,,Saxony,code14,4.958
1992,Percentage,,,Saxony,code14,10.286
1993,Percentage,,,Saxony,code14,8.482
1994,Percentage,,,Saxony,code14,13.088
1995,Percentage,,,Saxony,code14,14.83
1996,Percentage,,,Saxony,code14,17.533
1997,Percentage,,,Saxony,code14,19.541
1998,Percentage,,,Saxony,code14,20.809
1999,Percentage,,,Saxony,code14,20.978
2000,Percentage,r,,Saxony,code14,20.793
2001,Percentage,r,,Saxony,code14,20.466
2002,Percentage,r,,Saxony,code14,19.823
2003,Percentage,r,,Saxony,code14,19.719
2004,Percentage,r,,Saxony,code14,19.75
2005,Percentage,r,,Saxony,code14,20.27
2006,Percentage,r,,Saxony,code14,19.343
2007,Percentage,r,,Saxony,code14,15.713
2008,Percentage,r,,Saxony,code14,13.014
2009,Percentage,r,,Saxony,code14,11.41
2010,Percentage,r,,Saxony,code14,10.447
2011,Percentage,r,,Saxony,code14,8.984
2012,Percentage,r,,Saxony,code14,9.041
2013,Percentage,r,,Saxony,code14,7.967
2014,Percentage,r,,Saxony,code14,6.735
2015,Percentage,r,,Saxony,code14,5.664
2016,Percentage,r,,Saxony,code14,4.45
2017,Percentage,r,,Saxony,code14,3.772
2018,Percentage,r,,Saxony,code14,3.326
2019,Percentage,r,,Saxony,code14,2.843
2020,Percentage,r,,Saxony,code14,5.711
2021,Percentage,r,,Saxony,code14,6.241
2022,Percentage,r,p,Saxony,code14,5.569
2023,Percentage,r,p,Saxony,code14,5.582
2024,Percentage,p,,Saxony,code14,5.935
1991,Percentage,,,Saxony-Anhalt,code15,5.313
1992,Percentage,,,Saxony-Anhalt,code15,15.796
1993,Percentage,,,Saxony-Anhalt,code15,12.855
1994,Percentage,,,Saxony-Anhalt,code15,18.943
1995,Percentage,,,Saxony-Anhalt,code15,22.957
1996,Percentage,,,Saxony-Anhalt,code15,27.065
1997,Percentage,,,Saxony-Anhalt,code15,32.66
1998,Percentage,,,Saxony-Anhalt,code15,35.9
1999,Percentage,,,Saxony-Anhalt,code15,38.894
2000,Percentage,r,,Saxony-Anhalt,code15,41.343
2001,Percentage,r,,Saxony-Anhalt,code15,38.602
2002,Percentage,r,,Saxony-Anhalt,code15,39.44
2003,Percentage,r,,Saxony-Anhalt,code15,41.964
2004,Percentage,r,,Saxony-Anhalt,code15,43.408
2005,Percentage,r,,Saxony-Anhalt,code15,46.33
2006,Percentage,r,,Saxony-Anhalt,code15,46.585
2007,Percentage,r,,Saxony-Anhalt,code15,45.786
2008,Percentage,r,,Saxony-Anhalt,code15,44.334
2009,Percentage,r,,Saxony-Anhalt,code15,46.105
2010,Percentage,r,,Saxony-Anhalt,code15,46.707
2011,Percentage,r,,Saxony-Anhalt,code15,45.492
2012,Percentage,r,,Saxony-Anhalt,code15,43.353
2013,Percentage,r,,Saxony-Anhalt,code15,41.899
2014,Percentage,r,,Saxony-Anhalt,code15,41.23
2015,Percentage,r,,Saxony-Anhalt,code15,41.22
2016,Percentage,r,,Saxony-Anhalt,code15,39.294
2017,Percentage,r,,Saxony-Anhalt,code15,38.333
2018,Percentage,r,,Saxony-Anhalt,code15,36.2
2019,Percentage,r,,Saxony-Anhalt,code15,35.96
2020,Percentage,r,,Saxony-Anhalt,code15,36.902
2021,Percentage,r,,Saxony-Anhalt,code15,36.298
2022,Percentage,r,p,Saxony-Anhalt,code15,34.787
2023,Percentage,r,p,Saxony-Anhalt,code15,32.705
2024,Percentage,p,,Saxony-Anhalt,code15,31.973
1991,Percentage,,,Schleswig-Holstein,code01,23.522
1992,Percentage,,,Schleswig-Holstein,code01,23.416
1993,Percentage,,,Schleswig-Holstein,code01,22.947
1994,Percentage,,,Schleswig-Holstein,code01,24.059
1995,Percentage,,,Schleswig-Holstein,code01,24.175
1996,Percentage,,,Schleswig-Holstein,code01,25.265
1997,Percentage,,,Schleswig-Holstein,code01,25.912
1998,Percentage,,,Schleswig-Holstein,code01,26.807
1999,Percentage,,,Schleswig-Holstein,code01,27.027
2000,Percentage,r,,Schleswig-Holstein,code01,27.181
2001,Percentage,r,,Schleswig-Holstein,code01,26.867
2002,Percentage,r,,Schleswig-Holstein,code01,28.308
2003,Percentage,r,,Schleswig-Holstein,code01,29.554
2004,Percentage,r,,Schleswig-Holstein,code01,31.04
2005,Percentage,r,,Schleswig-Holstein,code01,32.328
2006,Percentage,r,,Schleswig-Holstein,code01,33.431
2007,Percentage,r,,Schleswig-Holstein,code01,33.991
2008,Percentage,r,,Schleswig-Holstein,code01,33.257
2009,Percentage,r,,Schleswig-Holstein,code01,38.529
2010,Percentage,r,,Schleswig-Holstein,code01,41.674
2011,Percentage,r,,Schleswig-Holstein,code01,41.253
2012,Percentage,r,,Schleswig-Holstein,code01,40.431
2013,Percentage,r,,Schleswig-Holstein,code01,39.401
2014,Percentage,r,,Schleswig-Holstein,code01,38.579
2015,Percentage,r,,Schleswig-Holstein,code01,37.438
2016,Percentage,r,,Schleswig-Holstein,code01,38.343
2017,Percentage,r,,Schleswig-Holstein,code01,35.944
2018,Percentage,r,,Schleswig-Holstein,code01,36.692
2019,Percentage,r,,Schleswig-Holstein,code01,35.019
2020,Percentage,r,,Schleswig-Holstein,code01,36.509
2021,Percentage,r,,Schleswig-Holstein,code01,35.84
2022,Percentage,r,p,Schleswig-Holstein,code01,32.342
2023,Percentage,r,p,Schleswig-Holstein,code01,30.363
2024,Percentage,p,,Schleswig-Holstein,code01,30.17
1991,Percentage,,,Thuringia,code16,6.64
