Year,Units,Series,COMMENT_OBS_0,Bundesland,GeoCode,Value
2025,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,,,,6.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,28.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,28.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,28.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,27.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,27.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,27.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,27.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,27.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,27.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,26.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,26.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,25.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,24.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Baden-Württemberg,code08,23.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Baden-Württemberg,code08,23.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Baden-Württemberg,code08,22.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Baden-Württemberg,code08,23.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Baden-Württemberg,code08,22.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Baden-Württemberg,code08,19.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Baden-Württemberg,code08,20.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,23.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,24.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,25.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,25.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,26.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,25.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,25.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,25.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,25.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,24.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,24.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,24.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,24.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bayern,code09,23.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Bayern,code09,22.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Bayern,code09,21.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Bayern,code09,21.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Bayern,code09,21.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Bayern,code09,18.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Bayern,code09,19.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,14.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,14.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,16.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,15.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,14.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,15.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,15.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,14.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,14.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,14.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,12.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,10.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,10.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Berlin,code11,10.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Berlin,code11,10.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Berlin,code11,10.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Berlin,code11,10.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Berlin,code11,11.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Berlin,code11,10.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Berlin,code11,10.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,6.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,7.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,7.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,7.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,7.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,6.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,7.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,5.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,7.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,5.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,6.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,6.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,6.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Brandenburg,code12,7.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Brandenburg,code12,6.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Brandenburg,code12,5.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Brandenburg,code12,6.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Brandenburg,code12,4.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Brandenburg,code12,2.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Brandenburg,code12,4.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,25.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,27.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,27.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,24.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,24.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,24.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,27.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,25.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,25.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,25.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,24.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,24.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,23.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Bremen,code04,25.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Bremen,code04,22.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Bremen,code04,22.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Bremen,code04,20.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Bremen,code04,19.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Bremen,code04,17.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Bremen,code04,14.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,20.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,22.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,22.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,23.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,23.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,22.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,24.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,23.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,22.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,22.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,21.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,21.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,21.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hamburg,code02,21.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Hamburg,code02,21.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Hamburg,code02,21.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Hamburg,code02,18.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Hamburg,code02,18.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Hamburg,code02,18.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Hamburg,code02,17.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,23.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,24.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,24.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,24.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,25.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,25.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,24.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,23.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,24.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,23.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,22.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,22.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,21.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Hessen,code06,19.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Hessen,code06,18.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Hessen,code06,18.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Hessen,code06,21.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Hessen,code06,20.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Hessen,code06,19.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Hessen,code06,19.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,2.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,2.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,3.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,3.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,4.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,6.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,7.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,6.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,8.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,7.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,6.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,6.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,6.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Mecklenburg-Vorpommern,code13,6.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Mecklenburg-Vorpommern,code13,6.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Mecklenburg-Vorpommern,code13,5.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Mecklenburg-Vorpommern,code13,6.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Mecklenburg-Vorpommern,code13,7.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Mecklenburg-Vorpommern,code13,7.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Mecklenburg-Vorpommern,code13,4.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,25.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,24.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,23.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,22.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,22.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,22.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,21.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,20.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,22.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,22.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,21.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,21.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,21.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Niedersachsen,code03,21.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Niedersachsen,code03,19.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Niedersachsen,code03,19.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Niedersachsen,code03,18.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Niedersachsen,code03,18.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Niedersachsen,code03,15.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Niedersachsen,code03,16.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,24.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,24.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,24.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,23.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,23.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,23.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,24.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,23.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,23.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,23.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,22.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,21.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,20.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Nordrhein-Westfalen,code05,19.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Nordrhein-Westfalen,code05,18.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Nordrhein-Westfalen,code05,17.0
