Year,Units,Zeitreihe,Bundesland,GeoCode,Value
2022/1,Prozent,Alle leitungsgebundenen Technologien,Rheinland-Pfalz,code07,58.24
2022/1,Prozent,Alle leitungsgebundenen Technologien,Saarland,code10,59.87
2022/1,Prozent,Alle leitungsgebundenen Technologien,Sachsen,code14,43.78
2022/1,Prozent,Alle leitungsgebundenen Technologien,Sachsen-Anhalt,code15,33.82
2022/1,Prozent,Alle leitungsgebundenen Technologien,Schleswig-Holstein,code01,85.08
2022/1,Prozent,Alle leitungsgebundenen Technologien,Thüringen,code16,39.9
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Baden-Württemberg,code08,10.94
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Bayern,code09,18.99
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Berlin,code11,11.62
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Brandenburg,code12,27.52
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Bremen,code04,9.79
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Hamburg,code02,44.22
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Hessen,code06,12.25
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Mecklenburg-Vorpommern,code13,25.48
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Niedersachsen,code03,30.18
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Nordrhein-Westfalen,code05,18.36
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Rheinland-Pfalz,code07,7.54
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Saarland,code10,4.23
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen,code14,12.45
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen-Anhalt,code15,12.62
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Schleswig-Holstein,code01,41.35
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Thüringen,code16,5.72
2022/1,Prozent,Hybrid Fiber Coax (HFC),Baden-Württemberg,code08,63.77
2022/1,Prozent,Hybrid Fiber Coax (HFC),Bayern,code09,58.7
2022/1,Prozent,Hybrid Fiber Coax (HFC),Berlin,code11,88.62
2022/1,Prozent,Hybrid Fiber Coax (HFC),Brandenburg,code12,32.53
2022/1,Prozent,Hybrid Fiber Coax (HFC),Bremen,code04,91.56
2022/1,Prozent,Hybrid Fiber Coax (HFC),Hamburg,code02,88.24
2022/1,Prozent,Hybrid Fiber Coax (HFC),Hessen,code06,56.13
2022/1,Prozent,Hybrid Fiber Coax (HFC),Mecklenburg-Vorpommern,code13,41.05
2022/1,Prozent,Hybrid Fiber Coax (HFC),Niedersachsen,code03,62.18
2022/1,Prozent,Hybrid Fiber Coax (HFC),Nordrhein-Westfalen,code05,63.98
2022/1,Prozent,Hybrid Fiber Coax (HFC),Rheinland-Pfalz,code07,54.47
2022/1,Prozent,Hybrid Fiber Coax (HFC),Saarland,code10,57.92
2022/1,Prozent,Hybrid Fiber Coax (HFC),Sachsen,code14,33.79
2022/1,Prozent,Hybrid Fiber Coax (HFC),Sachsen-Anhalt,code15,23.66
2022/1,Prozent,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.61
2022/1,Prozent,Hybrid Fiber Coax (HFC),Thüringen,code16,35.41
