Year,Units,degree of urbanisation,federal state,GeoCode,Value
2018,2000 = 100,,berlin,code11,108.541
2019,2000 = 100,,berlin,code11,109.241
2020,2000 = 100,,berlin,code11,109.054
2021,2000 = 100,,berlin,code11,109.44
2000,2000 = 100,,brandenburg,code12,100.0
2001,2000 = 100,,brandenburg,code12,98.188
2002,2000 = 100,,brandenburg,code12,96.516
2003,2000 = 100,,brandenburg,code12,94.992
2004,2000 = 100,,brandenburg,code12,93.69
2005,2000 = 100,,brandenburg,code12,91.864
2006,2000 = 100,,brandenburg,code12,90.282
2007,2000 = 100,,brandenburg,code12,88.928
2008,2000 = 100,,brandenburg,code12,87.0
2009,2000 = 100,,brandenburg,code12,85.747
2010,2000 = 100,,brandenburg,code12,84.862
2011,2000 = 100,,brandenburg,code12,84.212
2012,2000 = 100,,brandenburg,code12,83.687
2013,2000 = 100,,brandenburg,code12,82.443
2014,2000 = 100,,brandenburg,code12,82.409
2015,2000 = 100,,brandenburg,code12,83.105
2016,2000 = 100,,brandenburg,code12,83.225
2017,2000 = 100,,brandenburg,code12,83.477
2018,2000 = 100,,brandenburg,code12,83.566
2019,2000 = 100,,brandenburg,code12,83.841
2020,2000 = 100,,brandenburg,code12,83.308
2021,2000 = 100,,brandenburg,code12,82.85
2000,2000 = 100,,bremen,code04,100.0
2001,2000 = 100,,bremen,code04,99.404
2002,2000 = 100,,bremen,code04,99.705
2003,2000 = 100,,bremen,code04,99.354
2004,2000 = 100,,bremen,code04,99.297
2005,2000 = 100,,bremen,code04,98.835
2006,2000 = 100,,bremen,code04,98.845
2007,2000 = 100,,bremen,code04,97.788
2008,2000 = 100,,bremen,code04,97.536
2009,2000 = 100,,bremen,code04,97.441
2010,2000 = 100,,bremen,code04,96.8
2011,2000 = 100,,bremen,code04,96.49
2012,2000 = 100,,bremen,code04,96.049
2013,2000 = 100,,bremen,code04,96.433
2014,2000 = 100,,bremen,code04,96.681
2015,2000 = 100,,bremen,code04,98.084
2016,2000 = 100,,bremen,code04,99.145
2017,2000 = 100,,bremen,code04,99.36
2018,2000 = 100,,bremen,code04,99.792
2019,2000 = 100,,bremen,code04,99.465
2020,2000 = 100,,bremen,code04,99.149
2021,2000 = 100,,bremen,code04,98.536
2000,2000 = 100,,hamburg,code02,100.0
2001,2000 = 100,,hamburg,code02,100.416
2002,2000 = 100,,hamburg,code02,99.394
2003,2000 = 100,,hamburg,code02,98.788
2004,2000 = 100,,hamburg,code02,97.681
2005,2000 = 100,,hamburg,code02,97.078
2006,2000 = 100,,hamburg,code02,97.018
2007,2000 = 100,,hamburg,code02,97.52
2008,2000 = 100,,hamburg,code02,97.365
2009,2000 = 100,,hamburg,code02,97.029
2010,2000 = 100,,hamburg,code02,97.269
2011,2000 = 100,,hamburg,code02,97.981
2012,2000 = 100,,hamburg,code02,98.68
2013,2000 = 100,,hamburg,code02,98.929
2014,2000 = 100,,hamburg,code02,100.525
2015,2000 = 100,,hamburg,code02,102.611
2016,2000 = 100,,hamburg,code02,104.629
2017,2000 = 100,,hamburg,code02,105.696
2018,2000 = 100,,hamburg,code02,106.38
2019,2000 = 100,,hamburg,code02,106.783
2020,2000 = 100,,hamburg,code02,107.112
2021,2000 = 100,,hamburg,code02,107.336
2000,2000 = 100,,hesse,code06,100.0
2001,2000 = 100,,hesse,code06,99.761
2002,2000 = 100,,hesse,code06,99.375
2003,2000 = 100,,hesse,code06,98.793
2004,2000 = 100,,hesse,code06,98.345
2005,2000 = 100,,hesse,code06,97.783
2006,2000 = 100,,hesse,code06,97.067
2007,2000 = 100,,hesse,code06,96.466
2008,2000 = 100,,hesse,code06,95.941
2009,2000 = 100,,hesse,code06,95.437
2010,2000 = 100,,hesse,code06,95.034
2011,2000 = 100,,hesse,code06,95.305
2012,2000 = 100,,hesse,code06,95.26
2013,2000 = 100,,hesse,code06,95.486
2014,2000 = 100,,hesse,code06,95.874
2015,2000 = 100,,hesse,code06,96.906
2016,2000 = 100,,hesse,code06,97.221
2017,2000 = 100,,hesse,code06,97.296
2018,2000 = 100,,hesse,code06,97.349
2019,2000 = 100,,hesse,code06,97.433
2020,2000 = 100,,hesse,code06,97.355
2021,2000 = 100,,hesse,code06,97.239
2000,2000 = 100,,mecklenburg western pomerania,code13,100.0
2001,2000 = 100,,mecklenburg western pomerania,code13,97.322
2002,2000 = 100,,mecklenburg western pomerania,code13,94.061
2003,2000 = 100,,mecklenburg western pomerania,code13,91.441
2004,2000 = 100,,mecklenburg western pomerania,code13,89.125
2005,2000 = 100,,mecklenburg western pomerania,code13,87.158
2006,2000 = 100,,mecklenburg western pomerania,code13,85.042
2007,2000 = 100,,mecklenburg western pomerania,code13,83.101
2008,2000 = 100,,mecklenburg western pomerania,code13,80.47
2009,2000 = 100,,mecklenburg western pomerania,code13,78.53
2010,2000 = 100,,mecklenburg western pomerania,code13,76.936
2011,2000 = 100,,mecklenburg western pomerania,code13,76.147
2012,2000 = 100,,mecklenburg western pomerania,code13,75.389
2013,2000 = 100,,mecklenburg western pomerania,code13,74.889
2014,2000 = 100,,mecklenburg western pomerania,code13,74.104
2015,2000 = 100,,mecklenburg western pomerania,code13,74.599
2016,2000 = 100,,mecklenburg western pomerania,code13,74.403
2017,2000 = 100,,mecklenburg western pomerania,code13,75.535
2018,2000 = 100,,mecklenburg western pomerania,code13,75.395
2019,2000 = 100,,mecklenburg western pomerania,code13,75.392
2020,2000 = 100,,mecklenburg western pomerania,code13,75.376
2021,2000 = 100,,mecklenburg western pomerania,code13,75.197
2000,2000 = 100,,lower saxony,code03,100.0
2001,2000 = 100,,lower saxony,code03,99.372
2002,2000 = 100,,lower saxony,code03,98.874
2003,2000 = 100,,lower saxony,code03,98.204
2004,2000 = 100,,lower saxony,code03,97.152
2005,2000 = 100,,lower saxony,code03,96.201
2006,2000 = 100,,lower saxony,code03,95.388
2007,2000 = 100,,lower saxony,code03,94.617
2008,2000 = 100,,lower saxony,code03,93.649
2009,2000 = 100,,lower saxony,code03,92.909
2010,2000 = 100,,lower saxony,code03,92.299
2011,2000 = 100,,lower saxony,code03,91.481
2012,2000 = 100,,lower saxony,code03,91.034
2013,2000 = 100,,lower saxony,code03,90.698
2014,2000 = 100,,lower saxony,code03,90.597
2015,2000 = 100,,lower saxony,code03,91.285
2016,2000 = 100,,lower saxony,code03,91.037
2017,2000 = 100,,lower saxony,code03,90.907
2018,2000 = 100,,lower saxony,code03,90.782
2019,2000 = 100,,lower saxony,code03,90.621
2020,2000 = 100,,lower saxony,code03,90.396
2021,2000 = 100,,lower saxony,code03,90.389
2000,2000 = 100,,north rhine-westphalia,code05,100.0
2001,2000 = 100,,north rhine-westphalia,code05,99.32
2002,2000 = 100,,north rhine-westphalia,code05,98.58
2003,2000 = 100,,north rhine-westphalia,code05,98.075
2004,2000 = 100,,north rhine-westphalia,code05,97.015
2005,2000 = 100,,north rhine-westphalia,code05,96.219
2006,2000 = 100,,north rhine-westphalia,code05,95.306
2007,2000 = 100,,north rhine-westphalia,code05,94.413
2008,2000 = 100,,north rhine-westphalia,code05,93.315
2009,2000 = 100,,north rhine-westphalia,code05,92.504
2010,2000 = 100,,north rhine-westphalia,code05,91.774
2011,2000 = 100,,north rhine-westphalia,code05,91.343
2012,2000 = 100,,north rhine-westphalia,code05,90.943
2013,2000 = 100,,north rhine-westphalia,code05,90.635
2014,2000 = 100,,north rhine-westphalia,code05,90.591
2015,2000 = 100,,north rhine-westphalia,code05,91.361
2016,2000 = 100,,north rhine-westphalia,code05,91.089
2017,2000 = 100,,north rhine-westphalia,code05,90.935
2018,2000 = 100,,north rhine-westphalia,code05,90.821
2019,2000 = 100,,north rhine-westphalia,code05,90.553
2020,2000 = 100,,north rhine-westphalia,code05,90.204
2021,2000 = 100,,north rhine-westphalia,code05,89.975
2000,2000 = 100,,rhineland palatinate,code07,100.0
2001,2000 = 100,,rhineland palatinate,code07,99.598
2002,2000 = 100,,rhineland palatinate,code07,99.133
2003,2000 = 100,,rhineland palatinate,code07,98.56
2004,2000 = 100,,rhineland palatinate,code07,97.493
2005,2000 = 100,,rhineland palatinate,code07,96.408
2006,2000 = 100,,rhineland palatinate,code07,95.565
2007,2000 = 100,,rhineland palatinate,code07,94.806
2008,2000 = 100,,rhineland palatinate,code07,93.988
2009,2000 = 100,,rhineland palatinate,code07,93.544
2010,2000 = 100,,rhineland palatinate,code07,93.259
2011,2000 = 100,,rhineland palatinate,code07,93.03
2012,2000 = 100,,rhineland palatinate,code07,92.872
2013,2000 = 100,,rhineland palatinate,code07,92.803
2014,2000 = 100,,rhineland palatinate,code07,93.105
2015,2000 = 100,,rhineland palatinate,code07,94.194
2016,2000 = 100,,rhineland palatinate,code07,94.635
2017,2000 = 100,,rhineland palatinate,code07,94.861
2018,2000 = 100,,rhineland palatinate,code07,94.944
2019,2000 = 100,,rhineland palatinate,code07,94.869
2020,2000 = 100,,rhineland palatinate,code07,94.396
2021,2000 = 100,,rhineland palatinate,code07,93.559
2000,2000 = 100,,saarland,code10,100.0
2001,2000 = 100,,saarland,code10,99.133
2002,2000 = 100,,saarland,code10,98.539
2003,2000 = 100,,saarland,code10,97.946
2004,2000 = 100,,saarland,code10,96.472
2005,2000 = 100,,saarland,code10,95.471
2006,2000 = 100,,saarland,code10,94.386
2007,2000 = 100,,saarland,code10,93.359
2008,2000 = 100,,saarland,code10,92.364
2009,2000 = 100,,saarland,code10,91.069
2010,2000 = 100,,saarland,code10,89.864
2011,2000 = 100,,saarland,code10,89.336
2012,2000 = 100,,saarland,code10,88.683
2013,2000 = 100,,saarland,code10,88.2
2014,2000 = 100,,saarland,code10,87.886
2015,2000 = 100,,saarland,code10,88.305
2016,2000 = 100,,saarland,code10,88.234
2017,2000 = 100,,saarland,code10,87.925
2018,2000 = 100,,saarland,code10,87.509
2019,2000 = 100,,saarland,code10,87.074
2020,2000 = 100,,saarland,code10,86.726
2021,2000 = 100,,saarland,code10,86.093
2000,2000 = 100,,saxony,code14,100.0
2001,2000 = 100,,saxony,code14,97.588
2002,2000 = 100,,saxony,code14,95.745
2003,2000 = 100,,saxony,code14,94.371
2004,2000 = 100,,saxony,code14,93.288
2005,2000 = 100,,saxony,code14,92.235
2006,2000 = 100,,saxony,code14,90.909
2007,2000 = 100,,saxony,code14,88.515
2008,2000 = 100,,saxony,code14,86.865
2009,2000 = 100,,saxony,code14,84.873
2010,2000 = 100,,saxony,code14,83.476
2011,2000 = 100,,saxony,code14,82.441
2012,2000 = 100,,saxony,code14,81.658
2013,2000 = 100,,saxony,code14,81.2
2014,2000 = 100,,saxony,code14,78.449
2015,2000 = 100,,saxony,code14,79.444
2016,2000 = 100,,saxony,code14,79.809
2017,2000 = 100,,saxony,code14,79.212
2018,2000 = 100,,saxony,code14,78.622
2019,2000 = 100,,saxony,code14,77.925
2020,2000 = 100,,saxony,code14,76.948
2021,2000 = 100,,saxony,code14,76.029
2000,2000 = 100,,saxony-anhalt,code15,100.0
2001,2000 = 100,,saxony-anhalt,code15,96.514
2002,2000 = 100,,saxony-anhalt,code15,94.469
2003,2000 = 100,,saxony-anhalt,code15,91.933
2004,2000 = 100,,saxony-anhalt,code15,86.575
2005,2000 = 100,,saxony-anhalt,code15,82.088
2006,2000 = 100,,saxony-anhalt,code15,79.531
2007,2000 = 100,,saxony-anhalt,code15,78.401
2008,2000 = 100,,saxony-anhalt,code15,77.023
2009,2000 = 100,,saxony-anhalt,code15,76.056
2010,2000 = 100,,saxony-anhalt,code15,75.506
2011,2000 = 100,,saxony-anhalt,code15,74.895
2012,2000 = 100,,saxony-anhalt,code15,74.39
2013,2000 = 100,,saxony-anhalt,code15,73.87
2014,2000 = 100,,saxony-anhalt,code15,73.376
2015,2000 = 100,,saxony-anhalt,code15,73.636
2016,2000 = 100,,saxony-anhalt,code15,73.268
2017,2000 = 100,,saxony-anhalt,code15,72.765
2018,2000 = 100,,saxony-anhalt,code15,72.293
2019,2000 = 100,,saxony-anhalt,code15,71.658
2020,2000 = 100,,saxony-anhalt,code15,71.125
2021,2000 = 100,,saxony-anhalt,code15,70.694
2000,2000 = 100,,schleswig-holstein,code01,100.0
2001,2000 = 100,,schleswig-holstein,code01,98.73
2002,2000 = 100,,schleswig-holstein,code01,97.426
2003,2000 = 100,,schleswig-holstein,code01,95.974
2004,2000 = 100,,schleswig-holstein,code01,94.533
2005,2000 = 100,,schleswig-holstein,code01,93.829
2006,2000 = 100,,schleswig-holstein,code01,92.655
2007,2000 = 100,,schleswig-holstein,code01,91.428
2008,2000 = 100,,schleswig-holstein,code01,90.767
2009,2000 = 100,,schleswig-holstein,code01,90.051
2010,2000 = 100,,schleswig-holstein,code01,89.577
2011,2000 = 100,,schleswig-holstein,code01,88.884
2012,2000 = 100,,schleswig-holstein,code01,88.665
2013,2000 = 100,,schleswig-holstein,code01,88.523
2014,2000 = 100,,schleswig-holstein,code01,88.51
2015,2000 = 100,,schleswig-holstein,code01,88.943
2016,2000 = 100,,schleswig-holstein,code01,89.226
2017,2000 = 100,,schleswig-holstein,code01,88.939
2018,2000 = 100,,schleswig-holstein,code01,88.655
2019,2000 = 100,,schleswig-holstein,code01,88.595
2020,2000 = 100,,schleswig-holstein,code01,87.92
2021,2000 = 100,,schleswig-holstein,code01,87.619
2000,2000 = 100,,thuringia,code16,100.0
2001,2000 = 100,,thuringia,code16,98.464
2002,2000 = 100,,thuringia,code16,96.634
2003,2000 = 100,,thuringia,code16,95.453
2004,2000 = 100,,thuringia,code16,94.385
2005,2000 = 100,,thuringia,code16,93.083
2006,2000 = 100,,thuringia,code16,91.744
2007,2000 = 100,,thuringia,code16,90.289
2008,2000 = 100,,thuringia,code16,88.804
2009,2000 = 100,,thuringia,code16,87.422
2010,2000 = 100,,thuringia,code16,86.005
2011,2000 = 100,,thuringia,code16,84.399
2012,2000 = 100,,thuringia,code16,82.931
2013,2000 = 100,,thuringia,code16,82.03
2014,2000 = 100,,thuringia,code16,80.32
2015,2000 = 100,,thuringia,code16,80.381
2016,2000 = 100,,thuringia,code16,79.462
2017,2000 = 100,,thuringia,code16,74.071
2018,2000 = 100,,thuringia,code16,67.371
2019,2000 = 100,,thuringia,code16,66.818
2020,2000 = 100,,thuringia,code16,66.711
2021,2000 = 100,,thuringia,code16,66.601
2000,inhabitants per m² settlement and transport area,,,,1838.697
2001,inhabitants per m² settlement and transport area,,,,1825.273
2002,inhabitants per m² settlement and transport area,,,,1810.25
2003,inhabitants per m² settlement and transport area,,,,1793.304
2004,inhabitants per m² settlement and transport area,,,,1776.114
2005,inhabitants per m² settlement and transport area,,,,1760.136
2006,inhabitants per m² settlement and transport area,,,,1743.143
2007,inhabitants per m² settlement and transport area,,,,1726.972
2008,inhabitants per m² settlement and transport area,,,,1708.594
2009,inhabitants per m² settlement and transport area,,,,1694.188
2010,inhabitants per m² settlement and transport area,,,,1683.195
2011,inhabitants per m² settlement and transport area,,,,1669.659
2012,inhabitants per m² settlement and transport area,,,,1665.577
2013,inhabitants per m² settlement and transport area,,,,1662.751
2014,inhabitants per m² settlement and transport area,,,,1661.461
2015,inhabitants per m² settlement and transport area,,,,1675.584
2016,inhabitants per m² settlement and transport area,,,,1675.431
2017,inhabitants per m² settlement and transport area,,,,1672.418
2018,inhabitants per m² settlement and transport area,,,,1666.433
2019,inhabitants per m² settlement and transport area,,,,1663.904
2020,inhabitants per m² settlement and transport area,,,,1656.88
2021,inhabitants per m² settlement and transport area,,,,1651.824
2000,inhabitants per m² settlement and transport area,non-rural areas,,,3363.224
2001,inhabitants per m² settlement and transport area,non-rural areas,,,3352.93
2002,inhabitants per m² settlement and transport area,non-rural areas,,,3339.122
2003,inhabitants per m² settlement and transport area,non-rural areas,,,3322.754
2004,inhabitants per m² settlement and transport area,non-rural areas,,,3304.979
2005,inhabitants per m² settlement and transport area,non-rural areas,,,3292.112
2006,inhabitants per m² settlement and transport area,non-rural areas,,,3280.012
2007,inhabitants per m² settlement and transport area,non-rural areas,,,3268.526
2008,inhabitants per m² settlement and transport area,non-rural areas,,,3252.377
2009,inhabitants per m² settlement and transport area,non-rural areas,,,3240.734
2010,inhabitants per m² settlement and transport area,non-rural areas,,,3236.22
2011,inhabitants per m² settlement and transport area,non-rural areas,,,3238.668
2012,inhabitants per m² settlement and transport area,non-rural areas,,,3250.791
2013,inhabitants per m² settlement and transport area,non-rural areas,,,3262.307
2014,inhabitants per m² settlement and transport area,non-rural areas,,,3280.122
2015,inhabitants per m² settlement and transport area,non-rural areas,,,3317.584
2016,inhabitants per m² settlement and transport area,non-rural areas,,,3329.999
2017,inhabitants per m² settlement and transport area,non-rural areas,,,3335.804
2018,inhabitants per m² settlement and transport area,non-rural areas,,,3343.507
2019,inhabitants per m² settlement and transport area,non-rural areas,,,3346.403
2020,inhabitants per m² settlement and transport area,non-rural areas,,,3336.769
2021,inhabitants per m² settlement and transport area,non-rural areas,,,3330.923
2000,inhabitants per m² settlement and transport area,rural areas,,,1394.2
2001,inhabitants per m² settlement and transport area,rural areas,,,1381.749
2002,inhabitants per m² settlement and transport area,rural areas,,,1368.223
2003,inhabitants per m² settlement and transport area,rural areas,,,1352.918
2004,inhabitants per m² settlement and transport area,rural areas,,,1337.67
2005,inhabitants per m² settlement and transport area,rural areas,,,1322.26
2006,inhabitants per m² settlement and transport area,rural areas,,,1305.298
2007,inhabitants per m² settlement and transport area,rural areas,,,1289.204
2008,inhabitants per m² settlement and transport area,rural areas,,,1271.582
2009,inhabitants per m² settlement and transport area,rural areas,,,1257.539
2010,inhabitants per m² settlement and transport area,rural areas,,,1245.438
2011,inhabitants per m² settlement and transport area,rural areas,,,1229.994
2012,inhabitants per m² settlement and transport area,rural areas,,,1222.268
2013,inhabitants per m² settlement and transport area,rural areas,,,1216.287
2014,inhabitants per m² settlement and transport area,rural areas,,,1211.551
2015,inhabitants per m² settlement and transport area,rural areas,,,1219.413
2016,inhabitants per m² settlement and transport area,rural areas,,,1216.413
2017,inhabitants per m² settlement and transport area,rural areas,,,1212.02
2018,inhabitants per m² settlement and transport area,rural areas,,,1204.835
2019,inhabitants per m² settlement and transport area,rural areas,,,1201.622
2020,inhabitants per m² settlement and transport area,rural areas,,,1196.536
2021,inhabitants per m² settlement and transport area,rural areas,,,1190.756
2000,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2200.97
2001,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2194.344
2002,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2186.348
2003,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2173.018
2004,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2161.266
2005,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2148.355
2006,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2131.684
2007,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2115.093
2008,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2099.746
2009,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2085.475
2010,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2074.804
2011,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2072.094
2012,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2073.462
2013,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2077.513
2014,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2086.453
2015,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2110.382
2016,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2116.578
2017,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2118.663
2018,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2120.795
2019,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2119.642
2020,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2112.138
2021,inhabitants per m² settlement and transport area,,baden-wuerttemberg,code08,2107.127
2000,inhabitants per m² settlement and transport area,,bavaria,code09,1656.836
2001,inhabitants per m² settlement and transport area,,bavaria,code09,1651.554
2002,inhabitants per m² settlement and transport area,,bavaria,code09,1643.685
2003,inhabitants per m² settlement and transport area,,bavaria,code09,1634.012
2004,inhabitants per m² settlement and transport area,,bavaria,code09,1623.731
2005,inhabitants per m² settlement and transport area,,bavaria,code09,1613.786
2006,inhabitants per m² settlement and transport area,,bavaria,code09,1600.333
2007,inhabitants per m² settlement and transport area,,bavaria,code09,1590.856
2008,inhabitants per m² settlement and transport area,,bavaria,code09,1577.704
2009,inhabitants per m² settlement and transport area,,bavaria,code09,1563.667
2010,inhabitants per m² settlement and transport area,,bavaria,code09,1551.459
2011,inhabitants per m² settlement and transport area,,bavaria,code09,1515.93
2012,inhabitants per m² settlement and transport area,,bavaria,code09,1517.095
2013,inhabitants per m² settlement and transport area,,bavaria,code09,1518.902
2014,inhabitants per m² settlement and transport area,,bavaria,code09,1522.283
2015,inhabitants per m² settlement and transport area,,bavaria,code09,1531.704
2016,inhabitants per m² settlement and transport area,,bavaria,code09,1533.295
2017,inhabitants per m² settlement and transport area,,bavaria,code09,1533.418
2018,inhabitants per m² settlement and transport area,,bavaria,code09,1536.191
2019,inhabitants per m² settlement and transport area,,bavaria,code09,1534.718
2020,inhabitants per m² settlement and transport area,,bavaria,code09,1528.938
2021,inhabitants per m² settlement and transport area,,bavaria,code09,1526.553
2000,inhabitants per m² settlement and transport area,,berlin,code11,5342.128
2001,inhabitants per m² settlement and transport area,,berlin,code11,5319.91
2002,inhabitants per m² settlement and transport area,,berlin,code11,5302.909
2003,inhabitants per m² settlement and transport area,,berlin,code11,5273.513
2004,inhabitants per m² settlement and transport area,,berlin,code11,5258.187
2005,inhabitants per m² settlement and transport area,,berlin,code11,5239.144
2006,inhabitants per m² settlement and transport area,,berlin,code11,5239.235
2007,inhabitants per m² settlement and transport area,,berlin,code11,5226.991
2008,inhabitants per m² settlement and transport area,,berlin,code11,5236.708
2009,inhabitants per m² settlement and transport area,,berlin,code11,5213.664
