Year,Units,title,sex,area,Value
2014,percentage (%),a) materially deprived persons,,germany,12.3
2015,percentage (%),a) materially deprived persons,,germany,11.2
2016,percentage (%),a) materially deprived persons,,germany,9.6
2017,percentage (%),a) materially deprived persons,,germany,8.3
2018,percentage (%),a) materially deprived persons,,germany,7.6
2019,percentage (%),a) materially deprived persons,,germany,6.8
2020,percentage (%),a) materially deprived persons,,germany,9.1
2021,percentage (%),a) materially deprived persons,,germany,8.8
2010,percentage (%),a) materially deprived persons,female,germany,11.5
2011,percentage (%),a) materially deprived persons,female,germany,13.3
2012,percentage (%),a) materially deprived persons,female,germany,12.2
2013,percentage (%),a) materially deprived persons,female,germany,12.5
2014,percentage (%),a) materially deprived persons,female,germany,13.3
2015,percentage (%),a) materially deprived persons,female,germany,12.2
2016,percentage (%),a) materially deprived persons,female,germany,10.5
2017,percentage (%),a) materially deprived persons,female,germany,9.0
2018,percentage (%),a) materially deprived persons,female,germany,8.2
2019,percentage (%),a) materially deprived persons,female,germany,7.2
2020,percentage (%),a) materially deprived persons,female,germany,9.3
2021,percentage (%),a) materially deprived persons,female,germany,8.8
2010,percentage (%),a) materially deprived persons,male,germany,10.6
2011,percentage (%),a) materially deprived persons,male,germany,11.5
2012,percentage (%),a) materially deprived persons,male,germany,10.5
2013,percentage (%),a) materially deprived persons,male,germany,10.7
2014,percentage (%),a) materially deprived persons,male,germany,11.3
2015,percentage (%),a) materially deprived persons,male,germany,10.2
2016,percentage (%),a) materially deprived persons,male,germany,8.6
2017,percentage (%),a) materially deprived persons,male,germany,7.6
2018,percentage (%),a) materially deprived persons,male,germany,7.0
2019,percentage (%),a) materially deprived persons,male,germany,6.4
2020,percentage (%),a) materially deprived persons,male,germany,8.9
2021,percentage (%),a) materially deprived persons,male,germany,8.8
2010,percentage (%),b) severely materially deprived persons,,eu,8.4
2011,percentage (%),b) severely materially deprived persons,,eu,8.8
2012,percentage (%),b) severely materially deprived persons,,eu,9.9
2013,percentage (%),b) severely materially deprived persons,,eu,9.6
2014,percentage (%),b) severely materially deprived persons,,eu,8.9
2015,percentage (%),b) severely materially deprived persons,,eu,8.1
2016,percentage (%),b) severely materially deprived persons,,eu,7.5
2017,percentage (%),b) severely materially deprived persons,,eu,6.6
2018,percentage (%),b) severely materially deprived persons,,eu,5.9
2019,percentage (%),b) severely materially deprived persons,,eu,5.3
2020,percentage (%),b) severely materially deprived persons,,eu,5.9
2011,percentage (%),b) severely materially deprived persons,female,eu,9.1
2012,percentage (%),b) severely materially deprived persons,female,eu,10.2
2013,percentage (%),b) severely materially deprived persons,female,eu,9.8
2014,percentage (%),b) severely materially deprived persons,female,eu,9.0
2015,percentage (%),b) severely materially deprived persons,female,eu,8.2
2016,percentage (%),b) severely materially deprived persons,female,eu,7.7
2017,percentage (%),b) severely materially deprived persons,female,eu,6.8
2018,percentage (%),b) severely materially deprived persons,female,eu,6.1
2019,percentage (%),b) severely materially deprived persons,female,eu,5.6
2020,percentage (%),b) severely materially deprived persons,female,eu,5.9
2011,percentage (%),b) severely materially deprived persons,male,eu,8.6
2012,percentage (%),b) severely materially deprived persons,male,eu,9.7
2013,percentage (%),b) severely materially deprived persons,male,eu,9.4
2014,percentage (%),b) severely materially deprived persons,male,eu,8.8
2015,percentage (%),b) severely materially deprived persons,male,eu,8.0
2016,percentage (%),b) severely materially deprived persons,male,eu,7.3
2017,percentage (%),b) severely materially deprived persons,male,eu,6.4
2018,percentage (%),b) severely materially deprived persons,male,eu,5.7
2019,percentage (%),b) severely materially deprived persons,male,eu,5.1
2020,percentage (%),b) severely materially deprived persons,male,eu,5.8
2010,percentage (%),b) severely materially deprived persons,,germany,4.5
2011,percentage (%),b) severely materially deprived persons,,germany,5.3
2012,percentage (%),b) severely materially deprived persons,,germany,4.9
2013,percentage (%),b) severely materially deprived persons,,germany,5.4
2014,percentage (%),b) severely materially deprived persons,,germany,5.0
2015,percentage (%),b) severely materially deprived persons,,germany,4.4
2016,percentage (%),b) severely materially deprived persons,,germany,3.7
2017,percentage (%),b) severely materially deprived persons,,germany,3.4
2018,percentage (%),b) severely materially deprived persons,,germany,3.1
2019,percentage (%),b) severely materially deprived persons,,germany,2.6
2020,percentage (%),b) severely materially deprived persons,,germany,5.6
2011,percentage (%),b) severely materially deprived persons,female,germany,5.7
2012,percentage (%),b) severely materially deprived persons,female,germany,5.2
2013,percentage (%),b) severely materially deprived persons,female,germany,5.6
2014,percentage (%),b) severely materially deprived persons,female,germany,5.1
2015,percentage (%),b) severely materially deprived persons,female,germany,4.6
2016,percentage (%),b) severely materially deprived persons,female,germany,4.0
2017,percentage (%),b) severely materially deprived persons,female,germany,3.9
2018,percentage (%),b) severely materially deprived persons,female,germany,3.2
2019,percentage (%),b) severely materially deprived persons,female,germany,2.8
2020,percentage (%),b) severely materially deprived persons,female,germany,5.4
2011,percentage (%),b) severely materially deprived persons,male,germany,5.0
2012,percentage (%),b) severely materially deprived persons,male,germany,4.5
2013,percentage (%),b) severely materially deprived persons,male,germany,5.2
2014,percentage (%),b) severely materially deprived persons,male,germany,4.8
2015,percentage (%),b) severely materially deprived persons,male,germany,4.2
2016,percentage (%),b) severely materially deprived persons,male,germany,3.4
2017,percentage (%),b) severely materially deprived persons,male,germany,2.9
2018,percentage (%),b) severely materially deprived persons,male,germany,3.0
2019,percentage (%),b) severely materially deprived persons,male,germany,2.4
2020,percentage (%),b) severely materially deprived persons,male,germany,5.8
