Year,Units,display,title,sea,Value
2019,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,45.5
2020,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,59.1
2003,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,12.5
2004,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,12.5
2005,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,12.5
2006,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,12.5
2007,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,12.5
2008,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,25.0
2009,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,25.0
2010,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2011,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2012,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,50.0
2013,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,50.0
2014,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,50.0
2015,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2016,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2017,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2018,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2019,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,50.0
2020,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,62.5
2003,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2004,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2005,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2006,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2007,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2008,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2009,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2010,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2011,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2012,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2013,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2014,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2015,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2016,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2017,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2018,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2019,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
2020,percentage (%),a) time series,proportion of msy examined in all managed stocks,,38.5
