Year,Units,display,title,Value
2003,2030 = 100,a) time series,b) sub-index settlements,59.2
2004,2030 = 100,a) time series,b) sub-index settlements,66.5
2005,2030 = 100,a) time series,b) sub-index settlements,66.5
2006,2030 = 100,a) time series,b) sub-index settlements,65.1
2007,2030 = 100,a) time series,b) sub-index settlements,66.0
2008,2030 = 100,a) time series,b) sub-index settlements,63.2
2009,2030 = 100,a) time series,b) sub-index settlements,63.8
2010,2030 = 100,a) time series,b) sub-index settlements,66.5
2011,2030 = 100,a) time series,b) sub-index settlements,70.5
2012,2030 = 100,a) time series,b) sub-index settlements,70.7
2013,2030 = 100,a) time series,b) sub-index settlements,67.5
2014,2030 = 100,a) time series,b) sub-index settlements,69.6
2015,2030 = 100,a) time series,b) sub-index settlements,72.2
2016,2030 = 100,a) time series,b) sub-index settlements,75.5
1970,2030 = 100,a) time series,c) sub-index farmland,128.8
1975,2030 = 100,a) time series,c) sub-index farmland,117.2
1990,2030 = 100,a) time series,c) sub-index farmland,74.2
1991,2030 = 100,a) time series,c) sub-index farmland,71.2
1992,2030 = 100,a) time series,c) sub-index farmland,70.1
1993,2030 = 100,a) time series,c) sub-index farmland,70.9
1994,2030 = 100,a) time series,c) sub-index farmland,75.7
1995,2030 = 100,a) time series,c) sub-index farmland,73.8
1996,2030 = 100,a) time series,c) sub-index farmland,75.2
1997,2030 = 100,a) time series,c) sub-index farmland,71.1
1998,2030 = 100,a) time series,c) sub-index farmland,69.1
1999,2030 = 100,a) time series,c) sub-index farmland,75.2
2000,2030 = 100,a) time series,c) sub-index farmland,71.7
2001,2030 = 100,a) time series,c) sub-index farmland,68.6
2002,2030 = 100,a) time series,c) sub-index farmland,68.8
2003,2030 = 100,a) time series,c) sub-index farmland,67.8
2004,2030 = 100,a) time series,c) sub-index farmland,70.7
2005,2030 = 100,a) time series,c) sub-index farmland,68.0
2006,2030 = 100,a) time series,c) sub-index farmland,68.0
2007,2030 = 100,a) time series,c) sub-index farmland,68.0
2008,2030 = 100,a) time series,c) sub-index farmland,65.8
2009,2030 = 100,a) time series,c) sub-index farmland,64.7
2010,2030 = 100,a) time series,c) sub-index farmland,62.4
2011,2030 = 100,a) time series,c) sub-index farmland,57.6
2012,2030 = 100,a) time series,c) sub-index farmland,62.0
2013,2030 = 100,a) time series,c) sub-index farmland,57.6
2014,2030 = 100,a) time series,c) sub-index farmland,57.0
2015,2030 = 100,a) time series,c) sub-index farmland,58.0
2016,2030 = 100,a) time series,c) sub-index farmland,60.5
1970,2030 = 100,a) time series,d) sub-index inland waters,82.7
1975,2030 = 100,a) time series,d) sub-index inland waters,80.3
1990,2030 = 100,a) time series,d) sub-index inland waters,64.1
1991,2030 = 100,a) time series,d) sub-index inland waters,55.8
1992,2030 = 100,a) time series,d) sub-index inland waters,57.3
1993,2030 = 100,a) time series,d) sub-index inland waters,63.7
1994,2030 = 100,a) time series,d) sub-index inland waters,68.5
1995,2030 = 100,a) time series,d) sub-index inland waters,67.5
1996,2030 = 100,a) time series,d) sub-index inland waters,58.2
1997,2030 = 100,a) time series,d) sub-index inland waters,58.6
1998,2030 = 100,a) time series,d) sub-index inland waters,61.5
1999,2030 = 100,a) time series,d) sub-index inland waters,67.2
2000,2030 = 100,a) time series,d) sub-index inland waters,67.4
2001,2030 = 100,a) time series,d) sub-index inland waters,73.7
2002,2030 = 100,a) time series,d) sub-index inland waters,67.0
2003,2030 = 100,a) time series,d) sub-index inland waters,66.7
2004,2030 = 100,a) time series,d) sub-index inland waters,72.0
2005,2030 = 100,a) time series,d) sub-index inland waters,69.0
2006,2030 = 100,a) time series,d) sub-index inland waters,63.1
2007,2030 = 100,a) time series,d) sub-index inland waters,72.9
2008,2030 = 100,a) time series,d) sub-index inland waters,77.0
2009,2030 = 100,a) time series,d) sub-index inland waters,70.6
2010,2030 = 100,a) time series,d) sub-index inland waters,68.2
2011,2030 = 100,a) time series,d) sub-index inland waters,69.5
2012,2030 = 100,a) time series,d) sub-index inland waters,72.1
2013,2030 = 100,a) time series,d) sub-index inland waters,73.0
2014,2030 = 100,a) time series,d) sub-index inland waters,73.6
2015,2030 = 100,a) time series,d) sub-index inland waters,74.0
2016,2030 = 100,a) time series,d) sub-index inland waters,75.0
1970,2030 = 100,a) time series,e) sub-index coasts/seas,77.3
1975,2030 = 100,a) time series,e) sub-index coasts/seas,81.1
1990,2030 = 100,a) time series,e) sub-index coasts/seas,79.7
1991,2030 = 100,a) time series,e) sub-index coasts/seas,72.3
1992,2030 = 100,a) time series,e) sub-index coasts/seas,79.0
1993,2030 = 100,a) time series,e) sub-index coasts/seas,79.4
1994,2030 = 100,a) time series,e) sub-index coasts/seas,85.8
1995,2030 = 100,a) time series,e) sub-index coasts/seas,85.4
1996,2030 = 100,a) time series,e) sub-index coasts/seas,74.3
1997,2030 = 100,a) time series,e) sub-index coasts/seas,76.4
1998,2030 = 100,a) time series,e) sub-index coasts/seas,80.5
1999,2030 = 100,a) time series,e) sub-index coasts/seas,76.9
2000,2030 = 100,a) time series,e) sub-index coasts/seas,76.8
2001,2030 = 100,a) time series,e) sub-index coasts/seas,80.9
2002,2030 = 100,a) time series,e) sub-index coasts/seas,71.8
2003,2030 = 100,a) time series,e) sub-index coasts/seas,68.1
2004,2030 = 100,a) time series,e) sub-index coasts/seas,63.5
2005,2030 = 100,a) time series,e) sub-index coasts/seas,63.6
2006,2030 = 100,a) time series,e) sub-index coasts/seas,63.2
2007,2030 = 100,a) time series,e) sub-index coasts/seas,65.6
2008,2030 = 100,a) time series,e) sub-index coasts/seas,55.1
2009,2030 = 100,a) time series,e) sub-index coasts/seas,59.4
2010,2030 = 100,a) time series,e) sub-index coasts/seas,62.2
2011,2030 = 100,a) time series,e) sub-index coasts/seas,62.5
2012,2030 = 100,a) time series,e) sub-index coasts/seas,56.2
2013,2030 = 100,a) time series,e) sub-index coasts/seas,56.6
2014,2030 = 100,a) time series,e) sub-index coasts/seas,56.6
2015,2030 = 100,a) time series,e) sub-index coasts/seas,59.0
2016,2030 = 100,a) time series,e) sub-index coasts/seas,58.0
