Year,Units,typification,Bundesland,GeoCode,Value
2018,2000 = 100,a) rural and non-rural areas,hb,code04,99.8
2019,2000 = 100,a) rural and non-rural areas,hb,code04,99.5
2000,2000 = 100,a) rural and non-rural areas,hh,code02,100.0
2001,2000 = 100,a) rural and non-rural areas,hh,code02,100.4
2002,2000 = 100,a) rural and non-rural areas,hh,code02,99.4
2003,2000 = 100,a) rural and non-rural areas,hh,code02,98.8
2004,2000 = 100,a) rural and non-rural areas,hh,code02,97.7
2005,2000 = 100,a) rural and non-rural areas,hh,code02,97.1
2006,2000 = 100,a) rural and non-rural areas,hh,code02,97.0
2007,2000 = 100,a) rural and non-rural areas,hh,code02,97.5
2008,2000 = 100,a) rural and non-rural areas,hh,code02,97.4
2009,2000 = 100,a) rural and non-rural areas,hh,code02,97.0
2010,2000 = 100,a) rural and non-rural areas,hh,code02,97.3
2011,2000 = 100,a) rural and non-rural areas,hh,code02,98.0
2012,2000 = 100,a) rural and non-rural areas,hh,code02,98.7
2013,2000 = 100,a) rural and non-rural areas,hh,code02,98.9
2014,2000 = 100,a) rural and non-rural areas,hh,code02,100.5
2015,2000 = 100,a) rural and non-rural areas,hh,code02,102.6
2016,2000 = 100,a) rural and non-rural areas,hh,code02,104.6
2017,2000 = 100,a) rural and non-rural areas,hh,code02,105.7
2018,2000 = 100,a) rural and non-rural areas,hh,code02,106.4
2019,2000 = 100,a) rural and non-rural areas,hh,code02,106.8
2000,2000 = 100,a) rural and non-rural areas,he,code06,100.0
2001,2000 = 100,a) rural and non-rural areas,he,code06,99.8
2002,2000 = 100,a) rural and non-rural areas,he,code06,99.4
2003,2000 = 100,a) rural and non-rural areas,he,code06,98.8
2004,2000 = 100,a) rural and non-rural areas,he,code06,98.3
2005,2000 = 100,a) rural and non-rural areas,he,code06,97.8
2006,2000 = 100,a) rural and non-rural areas,he,code06,97.1
2007,2000 = 100,a) rural and non-rural areas,he,code06,96.5
2008,2000 = 100,a) rural and non-rural areas,he,code06,95.9
2009,2000 = 100,a) rural and non-rural areas,he,code06,95.4
2010,2000 = 100,a) rural and non-rural areas,he,code06,95.0
2011,2000 = 100,a) rural and non-rural areas,he,code06,95.3
2012,2000 = 100,a) rural and non-rural areas,he,code06,95.3
2013,2000 = 100,a) rural and non-rural areas,he,code06,95.5
2014,2000 = 100,a) rural and non-rural areas,he,code06,95.9
2015,2000 = 100,a) rural and non-rural areas,he,code06,96.9
2016,2000 = 100,a) rural and non-rural areas,he,code06,97.2
2017,2000 = 100,a) rural and non-rural areas,he,code06,97.3
2018,2000 = 100,a) rural and non-rural areas,he,code06,97.3
2019,2000 = 100,a) rural and non-rural areas,he,code06,97.4
2000,2000 = 100,a) rural and non-rural areas,mv,code13,100.0
2001,2000 = 100,a) rural and non-rural areas,mv,code13,97.3
2002,2000 = 100,a) rural and non-rural areas,mv,code13,94.1
2003,2000 = 100,a) rural and non-rural areas,mv,code13,91.4
2004,2000 = 100,a) rural and non-rural areas,mv,code13,89.1
2005,2000 = 100,a) rural and non-rural areas,mv,code13,87.2
2006,2000 = 100,a) rural and non-rural areas,mv,code13,85.0
2007,2000 = 100,a) rural and non-rural areas,mv,code13,83.1
2008,2000 = 100,a) rural and non-rural areas,mv,code13,80.5
2009,2000 = 100,a) rural and non-rural areas,mv,code13,78.5
2010,2000 = 100,a) rural and non-rural areas,mv,code13,76.9
2011,2000 = 100,a) rural and non-rural areas,mv,code13,76.1
2012,2000 = 100,a) rural and non-rural areas,mv,code13,75.4
2013,2000 = 100,a) rural and non-rural areas,mv,code13,74.9
2014,2000 = 100,a) rural and non-rural areas,mv,code13,74.1
2015,2000 = 100,a) rural and non-rural areas,mv,code13,74.6
2016,2000 = 100,a) rural and non-rural areas,mv,code13,74.4
2017,2000 = 100,a) rural and non-rural areas,mv,code13,75.5
2018,2000 = 100,a) rural and non-rural areas,mv,code13,75.4
2019,2000 = 100,a) rural and non-rural areas,mv,code13,75.4
2000,2000 = 100,a) rural and non-rural areas,ni,code03,100.0
2001,2000 = 100,a) rural and non-rural areas,ni,code03,99.4
2002,2000 = 100,a) rural and non-rural areas,ni,code03,98.9
2003,2000 = 100,a) rural and non-rural areas,ni,code03,98.2
2004,2000 = 100,a) rural and non-rural areas,ni,code03,97.2
2005,2000 = 100,a) rural and non-rural areas,ni,code03,96.2
2006,2000 = 100,a) rural and non-rural areas,ni,code03,95.4
2007,2000 = 100,a) rural and non-rural areas,ni,code03,94.6
2008,2000 = 100,a) rural and non-rural areas,ni,code03,93.6
2009,2000 = 100,a) rural and non-rural areas,ni,code03,92.9
2010,2000 = 100,a) rural and non-rural areas,ni,code03,92.3
2011,2000 = 100,a) rural and non-rural areas,ni,code03,91.5
2012,2000 = 100,a) rural and non-rural areas,ni,code03,91.0
2013,2000 = 100,a) rural and non-rural areas,ni,code03,90.7
2014,2000 = 100,a) rural and non-rural areas,ni,code03,90.6
2015,2000 = 100,a) rural and non-rural areas,ni,code03,91.3
2016,2000 = 100,a) rural and non-rural areas,ni,code03,91.0
2017,2000 = 100,a) rural and non-rural areas,ni,code03,90.9
2018,2000 = 100,a) rural and non-rural areas,ni,code03,90.8
2019,2000 = 100,a) rural and non-rural areas,ni,code03,90.6
2000,2000 = 100,a) rural and non-rural areas,nw,code05,100.0
2001,2000 = 100,a) rural and non-rural areas,nw,code05,99.3
2002,2000 = 100,a) rural and non-rural areas,nw,code05,98.6
2003,2000 = 100,a) rural and non-rural areas,nw,code05,98.1
2004,2000 = 100,a) rural and non-rural areas,nw,code05,97.0
2005,2000 = 100,a) rural and non-rural areas,nw,code05,96.2
2006,2000 = 100,a) rural and non-rural areas,nw,code05,95.3
2007,2000 = 100,a) rural and non-rural areas,nw,code05,94.4
2008,2000 = 100,a) rural and non-rural areas,nw,code05,93.3
2009,2000 = 100,a) rural and non-rural areas,nw,code05,92.5
2010,2000 = 100,a) rural and non-rural areas,nw,code05,91.8
2011,2000 = 100,a) rural and non-rural areas,nw,code05,91.3
2012,2000 = 100,a) rural and non-rural areas,nw,code05,90.9
2013,2000 = 100,a) rural and non-rural areas,nw,code05,90.6
2014,2000 = 100,a) rural and non-rural areas,nw,code05,90.6
2015,2000 = 100,a) rural and non-rural areas,nw,code05,91.4
2016,2000 = 100,a) rural and non-rural areas,nw,code05,91.1
2017,2000 = 100,a) rural and non-rural areas,nw,code05,90.9
2018,2000 = 100,a) rural and non-rural areas,nw,code05,90.8
2019,2000 = 100,a) rural and non-rural areas,nw,code05,90.6
2000,2000 = 100,a) rural and non-rural areas,rp,code07,100.0
2001,2000 = 100,a) rural and non-rural areas,rp,code07,99.6
2002,2000 = 100,a) rural and non-rural areas,rp,code07,99.1
2003,2000 = 100,a) rural and non-rural areas,rp,code07,98.6
2004,2000 = 100,a) rural and non-rural areas,rp,code07,97.5
2005,2000 = 100,a) rural and non-rural areas,rp,code07,96.4
2006,2000 = 100,a) rural and non-rural areas,rp,code07,95.6
2007,2000 = 100,a) rural and non-rural areas,rp,code07,94.8
2008,2000 = 100,a) rural and non-rural areas,rp,code07,94.0
2009,2000 = 100,a) rural and non-rural areas,rp,code07,93.5
2010,2000 = 100,a) rural and non-rural areas,rp,code07,93.3
2011,2000 = 100,a) rural and non-rural areas,rp,code07,93.0
2012,2000 = 100,a) rural and non-rural areas,rp,code07,92.9
2013,2000 = 100,a) rural and non-rural areas,rp,code07,92.8
2014,2000 = 100,a) rural and non-rural areas,rp,code07,93.1
2015,2000 = 100,a) rural and non-rural areas,rp,code07,94.2
2016,2000 = 100,a) rural and non-rural areas,rp,code07,94.6
2017,2000 = 100,a) rural and non-rural areas,rp,code07,94.9
2018,2000 = 100,a) rural and non-rural areas,rp,code07,94.9
2019,2000 = 100,a) rural and non-rural areas,rp,code07,94.9
2000,2000 = 100,a) rural and non-rural areas,sl,code10,100.0
2001,2000 = 100,a) rural and non-rural areas,sl,code10,99.1
2002,2000 = 100,a) rural and non-rural areas,sl,code10,98.5
2003,2000 = 100,a) rural and non-rural areas,sl,code10,97.9
2004,2000 = 100,a) rural and non-rural areas,sl,code10,96.5
2005,2000 = 100,a) rural and non-rural areas,sl,code10,95.5
2006,2000 = 100,a) rural and non-rural areas,sl,code10,94.4
2007,2000 = 100,a) rural and non-rural areas,sl,code10,93.4
2008,2000 = 100,a) rural and non-rural areas,sl,code10,92.4
2009,2000 = 100,a) rural and non-rural areas,sl,code10,91.1
2010,2000 = 100,a) rural and non-rural areas,sl,code10,89.9
2011,2000 = 100,a) rural and non-rural areas,sl,code10,89.3
2012,2000 = 100,a) rural and non-rural areas,sl,code10,88.7
2013,2000 = 100,a) rural and non-rural areas,sl,code10,88.2
2014,2000 = 100,a) rural and non-rural areas,sl,code10,87.9
2015,2000 = 100,a) rural and non-rural areas,sl,code10,88.3
2016,2000 = 100,a) rural and non-rural areas,sl,code10,88.2
2017,2000 = 100,a) rural and non-rural areas,sl,code10,87.9
2018,2000 = 100,a) rural and non-rural areas,sl,code10,87.5
2019,2000 = 100,a) rural and non-rural areas,sl,code10,87.1
2000,2000 = 100,a) rural and non-rural areas,sn,code14,100.0
2001,2000 = 100,a) rural and non-rural areas,sn,code14,97.6
2002,2000 = 100,a) rural and non-rural areas,sn,code14,95.7
2003,2000 = 100,a) rural and non-rural areas,sn,code14,94.4
2004,2000 = 100,a) rural and non-rural areas,sn,code14,93.3
2005,2000 = 100,a) rural and non-rural areas,sn,code14,92.2
2006,2000 = 100,a) rural and non-rural areas,sn,code14,90.9
2007,2000 = 100,a) rural and non-rural areas,sn,code14,88.5
2008,2000 = 100,a) rural and non-rural areas,sn,code14,86.9
2009,2000 = 100,a) rural and non-rural areas,sn,code14,84.9
2010,2000 = 100,a) rural and non-rural areas,sn,code14,83.5
2011,2000 = 100,a) rural and non-rural areas,sn,code14,82.4
2012,2000 = 100,a) rural and non-rural areas,sn,code14,81.7
2013,2000 = 100,a) rural and non-rural areas,sn,code14,81.2
2014,2000 = 100,a) rural and non-rural areas,sn,code14,78.4
2015,2000 = 100,a) rural and non-rural areas,sn,code14,79.4
2016,2000 = 100,a) rural and non-rural areas,sn,code14,79.8
2017,2000 = 100,a) rural and non-rural areas,sn,code14,79.2
2018,2000 = 100,a) rural and non-rural areas,sn,code14,78.6
2019,2000 = 100,a) rural and non-rural areas,sn,code14,77.9
2000,2000 = 100,a) rural and non-rural areas,st,code15,100.0
2001,2000 = 100,a) rural and non-rural areas,st,code15,96.5
2002,2000 = 100,a) rural and non-rural areas,st,code15,94.5
2003,2000 = 100,a) rural and non-rural areas,st,code15,91.9
2004,2000 = 100,a) rural and non-rural areas,st,code15,86.6
2005,2000 = 100,a) rural and non-rural areas,st,code15,82.1
2006,2000 = 100,a) rural and non-rural areas,st,code15,79.5
2007,2000 = 100,a) rural and non-rural areas,st,code15,78.4
2008,2000 = 100,a) rural and non-rural areas,st,code15,77.0
2009,2000 = 100,a) rural and non-rural areas,st,code15,76.1
2010,2000 = 100,a) rural and non-rural areas,st,code15,75.5
2011,2000 = 100,a) rural and non-rural areas,st,code15,74.9
2012,2000 = 100,a) rural and non-rural areas,st,code15,74.4
2013,2000 = 100,a) rural and non-rural areas,st,code15,73.9
2014,2000 = 100,a) rural and non-rural areas,st,code15,73.4
2015,2000 = 100,a) rural and non-rural areas,st,code15,73.6
2016,2000 = 100,a) rural and non-rural areas,st,code15,73.3
2017,2000 = 100,a) rural and non-rural areas,st,code15,72.8
2018,2000 = 100,a) rural and non-rural areas,st,code15,72.3
2019,2000 = 100,a) rural and non-rural areas,st,code15,71.7
2000,2000 = 100,a) rural and non-rural areas,sh,code01,100.0
2001,2000 = 100,a) rural and non-rural areas,sh,code01,98.7
2002,2000 = 100,a) rural and non-rural areas,sh,code01,97.4
2003,2000 = 100,a) rural and non-rural areas,sh,code01,96.0
2004,2000 = 100,a) rural and non-rural areas,sh,code01,94.5
2005,2000 = 100,a) rural and non-rural areas,sh,code01,93.8
2006,2000 = 100,a) rural and non-rural areas,sh,code01,92.7
2007,2000 = 100,a) rural and non-rural areas,sh,code01,91.4
2008,2000 = 100,a) rural and non-rural areas,sh,code01,90.8
2009,2000 = 100,a) rural and non-rural areas,sh,code01,90.1
2010,2000 = 100,a) rural and non-rural areas,sh,code01,89.6
2011,2000 = 100,a) rural and non-rural areas,sh,code01,88.9
2012,2000 = 100,a) rural and non-rural areas,sh,code01,88.7
2013,2000 = 100,a) rural and non-rural areas,sh,code01,88.5
2014,2000 = 100,a) rural and non-rural areas,sh,code01,88.5
2015,2000 = 100,a) rural and non-rural areas,sh,code01,88.9
2016,2000 = 100,a) rural and non-rural areas,sh,code01,89.2
2017,2000 = 100,a) rural and non-rural areas,sh,code01,88.9
2018,2000 = 100,a) rural and non-rural areas,sh,code01,88.7
2019,2000 = 100,a) rural and non-rural areas,sh,code01,88.6
2000,2000 = 100,a) rural and non-rural areas,th,code16,100.0
2001,2000 = 100,a) rural and non-rural areas,th,code16,98.5
2002,2000 = 100,a) rural and non-rural areas,th,code16,96.6
2003,2000 = 100,a) rural and non-rural areas,th,code16,95.5
2004,2000 = 100,a) rural and non-rural areas,th,code16,94.4
2005,2000 = 100,a) rural and non-rural areas,th,code16,93.1
2006,2000 = 100,a) rural and non-rural areas,th,code16,91.7
2007,2000 = 100,a) rural and non-rural areas,th,code16,90.3
2008,2000 = 100,a) rural and non-rural areas,th,code16,88.8
2009,2000 = 100,a) rural and non-rural areas,th,code16,87.4
2010,2000 = 100,a) rural and non-rural areas,th,code16,86.0
2011,2000 = 100,a) rural and non-rural areas,th,code16,84.4
2012,2000 = 100,a) rural and non-rural areas,th,code16,82.9
2013,2000 = 100,a) rural and non-rural areas,th,code16,82.0
2014,2000 = 100,a) rural and non-rural areas,th,code16,80.3
2015,2000 = 100,a) rural and non-rural areas,th,code16,80.4
2016,2000 = 100,a) rural and non-rural areas,th,code16,79.5
2017,2000 = 100,a) rural and non-rural areas,th,code16,74.1
2018,2000 = 100,a) rural and non-rural areas,th,code16,67.4
2019,2000 = 100,a) rural and non-rural areas,th,code16,66.8
