Year,Units,display,title,Bundesland,GeoCode,Value
2010,number,a) time series,a) total,hh,code02,5384
2011,number,a) time series,a) total,hh,code02,5611
2012,number,a) time series,a) total,hh,code02,5981
2013,number,a) time series,a) total,hh,code02,6189
2014,number,a) time series,a) total,hh,code02,6366
2015,number,a) time series,a) total,hh,code02,6741
2016,number,a) time series,a) total,hh,code02,7205
2017,number,a) time series,a) total,hh,code02,7685
2018,number,a) time series,a) total,hh,code02,8619
2019,number,a) time series,a) total,hh,code02,9058
2006,number,a) time series,a) total,he,code06,14955
2007,number,a) time series,a) total,he,code06,13532
2008,number,a) time series,a) total,he,code06,15441
2009,number,a) time series,a) total,he,code06,17026
2010,number,a) time series,a) total,he,code06,18427
2011,number,a) time series,a) total,he,code06,18524
2012,number,a) time series,a) total,he,code06,19593
2013,number,a) time series,a) total,he,code06,21041
2014,number,a) time series,a) total,he,code06,22324
2015,number,a) time series,a) total,he,code06,23542
2016,number,a) time series,a) total,he,code06,24605
2017,number,a) time series,a) total,he,code06,25754
2018,number,a) time series,a) total,he,code06,27467
2019,number,a) time series,a) total,he,code06,28777
2006,number,a) time series,a) total,mv,code13,1194
2007,number,a) time series,a) total,mv,code13,1207
2008,number,a) time series,a) total,mv,code13,1195
2009,number,a) time series,a) total,mv,code13,1291
2010,number,a) time series,a) total,mv,code13,1390
2011,number,a) time series,a) total,mv,code13,1405
2012,number,a) time series,a) total,mv,code13,1442
2013,number,a) time series,a) total,mv,code13,1618
2014,number,a) time series,a) total,mv,code13,1759
2015,number,a) time series,a) total,mv,code13,1972
2016,number,a) time series,a) total,mv,code13,2303
2017,number,a) time series,a) total,mv,code13,2775
2018,number,a) time series,a) total,mv,code13,3115
2019,number,a) time series,a) total,mv,code13,3247
2006,number,a) time series,a) total,ni,code03,10759
2007,number,a) time series,a) total,ni,code03,10237
2008,number,a) time series,a) total,ni,code03,10357
2009,number,a) time series,a) total,ni,code03,10402
2010,number,a) time series,a) total,ni,code03,10444
2011,number,a) time series,a) total,ni,code03,10452
2012,number,a) time series,a) total,ni,code03,11133
2013,number,a) time series,a) total,ni,code03,12109
2014,number,a) time series,a) total,ni,code03,13195
2015,number,a) time series,a) total,ni,code03,14657
2016,number,a) time series,a) total,ni,code03,15932
2017,number,a) time series,a) total,ni,code03,17702
2018,number,a) time series,a) total,ni,code03,19333
2019,number,a) time series,a) total,ni,code03,20687
2006,number,a) time series,a) total,nw,code05,38324
2007,number,a) time series,a) total,nw,code05,35303
2008,number,a) time series,a) total,nw,code05,36388
2009,number,a) time series,a) total,nw,code05,37820
2010,number,a) time series,a) total,nw,code05,38968
2011,number,a) time series,a) total,nw,code05,41572
2012,number,a) time series,a) total,nw,code05,44860
2013,number,a) time series,a) total,nw,code05,48945
2014,number,a) time series,a) total,nw,code05,53164
2015,number,a) time series,a) total,nw,code05,56422
2016,number,a) time series,a) total,nw,code05,60688
2017,number,a) time series,a) total,nw,code05,63089
2018,number,a) time series,a) total,nw,code05,67424
2019,number,a) time series,a) total,nw,code05,72166
2006,number,a) time series,a) total,rp,code07,6488
2007,number,a) time series,a) total,rp,code07,6993
2008,number,a) time series,a) total,rp,code07,7166
2009,number,a) time series,a) total,rp,code07,6992
2010,number,a) time series,a) total,rp,code07,7023
2011,number,a) time series,a) total,rp,code07,6748
2012,number,a) time series,a) total,rp,code07,6820
2013,number,a) time series,a) total,rp,code07,6951
2014,number,a) time series,a) total,rp,code07,7214
2015,number,a) time series,a) total,rp,code07,7575
2016,number,a) time series,a) total,rp,code07,8177
2017,number,a) time series,a) total,rp,code07,8928
2018,number,a) time series,a) total,rp,code07,10194
2019,number,a) time series,a) total,rp,code07,11069
2006,number,a) time series,a) total,sl,code10,1572
2007,number,a) time series,a) total,sl,code10,1573
2008,number,a) time series,a) total,sl,code10,1597
2009,number,a) time series,a) total,sl,code10,1708
2010,number,a) time series,a) total,sl,code10,1959
2011,number,a) time series,a) total,sl,code10,2085
2012,number,a) time series,a) total,sl,code10,2164
2013,number,a) time series,a) total,sl,code10,2246
2014,number,a) time series,a) total,sl,code10,2331
2015,number,a) time series,a) total,sl,code10,2413
2016,number,a) time series,a) total,sl,code10,2419
2017,number,a) time series,a) total,sl,code10,2481
2018,number,a) time series,a) total,sl,code10,2725
2019,number,a) time series,a) total,sl,code10,2961
2006,number,a) time series,a) total,sn,code14,4963
2007,number,a) time series,a) total,sn,code14,5139
2008,number,a) time series,a) total,sn,code14,5053
2009,number,a) time series,a) total,sn,code14,5332
2010,number,a) time series,a) total,sn,code14,5542
2011,number,a) time series,a) total,sn,code14,5966
2012,number,a) time series,a) total,sn,code14,6748
2013,number,a) time series,a) total,sn,code14,7873
2014,number,a) time series,a) total,sn,code14,9023
2015,number,a) time series,a) total,sn,code14,10278
2016,number,a) time series,a) total,sn,code14,10829
2017,number,a) time series,a) total,sn,code14,11340
2018,number,a) time series,a) total,sn,code14,12575
2019,number,a) time series,a) total,sn,code14,13267
2006,number,a) time series,a) total,st,code15,3198
2007,number,a) time series,a) total,st,code15,3247
2008,number,a) time series,a) total,st,code15,3251
2009,number,a) time series,a) total,st,code15,3463
2010,number,a) time series,a) total,st,code15,3712
2011,number,a) time series,a) total,st,code15,4041
2012,number,a) time series,a) total,st,code15,4444
2013,number,a) time series,a) total,st,code15,4705
2014,number,a) time series,a) total,st,code15,5080
2015,number,a) time series,a) total,st,code15,5582
2016,number,a) time series,a) total,st,code15,5650
2017,number,a) time series,a) total,st,code15,6091
2018,number,a) time series,a) total,st,code15,6641
2019,number,a) time series,a) total,st,code15,7321
2006,number,a) time series,a) total,sh,code01,2406
2007,number,a) time series,a) total,sh,code01,2416
2008,number,a) time series,a) total,sh,code01,2436
2009,number,a) time series,a) total,sh,code01,2523
2010,number,a) time series,a) total,sh,code01,2569
2011,number,a) time series,a) total,sh,code01,2633
2012,number,a) time series,a) total,sh,code01,2764
2013,number,a) time series,a) total,sh,code01,2830
2014,number,a) time series,a) total,sh,code01,2998
2015,number,a) time series,a) total,sh,code01,3155
2016,number,a) time series,a) total,sh,code01,3586
2017,number,a) time series,a) total,sh,code01,3667
2018,number,a) time series,a) total,sh,code01,4002
2019,number,a) time series,a) total,sh,code01,4276
2006,number,a) time series,a) total,th,code16,1937
2007,number,a) time series,a) total,th,code16,2176
2008,number,a) time series,a) total,th,code16,2192
2009,number,a) time series,a) total,th,code16,2543
2010,number,a) time series,a) total,th,code16,2909
2011,number,a) time series,a) total,th,code16,3012
2012,number,a) time series,a) total,th,code16,3412
2013,number,a) time series,a) total,th,code16,4000
2014,number,a) time series,a) total,th,code16,4508
2015,number,a) time series,a) total,th,code16,4948
2016,number,a) time series,a) total,th,code16,5180
2017,number,a) time series,a) total,th,code16,5623
2018,number,a) time series,a) total,th,code16,6397
2019,number,a) time series,a) total,th,code16,7700
2005,number,a) time series,d) students from ldcs,,,4960
2006,number,a) time series,d) students from ldcs,,,5012
2007,number,a) time series,d) students from ldcs,,,4933
2008,number,a) time series,d) students from ldcs,,,5331
2009,number,a) time series,d) students from ldcs,,,5738
2010,number,a) time series,d) students from ldcs,,,6300
2011,number,a) time series,d) students from ldcs,,,6925
2012,number,a) time series,d) students from ldcs,,,7577
2013,number,a) time series,d) students from ldcs,,,8348
2014,number,a) time series,d) students from ldcs,,,9244
2015,number,a) time series,d) students from ldcs,,,9746
2016,number,a) time series,d) students from ldcs,,,10119
2017,number,a) time series,d) students from ldcs,,,10576
2018,number,a) time series,d) students from ldcs,,,11525
2019,number,a) time series,d) students from ldcs,,,13067
2005,number,a) time series,d) students from ldcs,bw,,502
2006,number,a) time series,d) students from ldcs,bw,,524
2007,number,a) time series,d) students from ldcs,bw,,532
2008,number,a) time series,d) students from ldcs,bw,,559
2009,number,a) time series,d) students from ldcs,bw,,598
2010,number,a) time series,d) students from ldcs,bw,,669
2011,number,a) time series,d) students from ldcs,bw,,704
2012,number,a) time series,d) students from ldcs,bw,,808
2013,number,a) time series,d) students from ldcs,bw,,895
2014,number,a) time series,d) students from ldcs,bw,,957
2015,number,a) time series,d) students from ldcs,bw,,939
2016,number,a) time series,d) students from ldcs,bw,,937
2017,number,a) time series,d) students from ldcs,bw,,857
2018,number,a) time series,d) students from ldcs,bw,,833
2019,number,a) time series,d) students from ldcs,bw,,794
2005,number,a) time series,d) students from ldcs,by,,320
2006,number,a) time series,d) students from ldcs,by,,359
2007,number,a) time series,d) students from ldcs,by,,352
2008,number,a) time series,d) students from ldcs,by,,402
2009,number,a) time series,d) students from ldcs,by,,436
2010,number,a) time series,d) students from ldcs,by,,476
2011,number,a) time series,d) students from ldcs,by,,568
2012,number,a) time series,d) students from ldcs,by,,624
2013,number,a) time series,d) students from ldcs,by,,716
2014,number,a) time series,d) students from ldcs,by,,812
2015,number,a) time series,d) students from ldcs,by,,859
2016,number,a) time series,d) students from ldcs,by,,884
2017,number,a) time series,d) students from ldcs,by,,1036
2018,number,a) time series,d) students from ldcs,by,,1170
2019,number,a) time series,d) students from ldcs,by,,1347
2005,number,a) time series,d) students from ldcs,be,,362
2006,number,a) time series,d) students from ldcs,be,,370
2007,number,a) time series,d) students from ldcs,be,,337
2008,number,a) time series,d) students from ldcs,be,,404
2009,number,a) time series,d) students from ldcs,be,,441
2010,number,a) time series,d) students from ldcs,be,,505
2011,number,a) time series,d) students from ldcs,be,,570
2012,number,a) time series,d) students from ldcs,be,,582
2013,number,a) time series,d) students from ldcs,be,,634
2014,number,a) time series,d) students from ldcs,be,,726
2015,number,a) time series,d) students from ldcs,be,,751
2016,number,a) time series,d) students from ldcs,be,,755
2017,number,a) time series,d) students from ldcs,be,,852
2018,number,a) time series,d) students from ldcs,be,,896
2019,number,a) time series,d) students from ldcs,be,,1002
2005,number,a) time series,d) students from ldcs,bb,,124
2006,number,a) time series,d) students from ldcs,bb,,121
2007,number,a) time series,d) students from ldcs,bb,,123
2008,number,a) time series,d) students from ldcs,bb,,122
2009,number,a) time series,d) students from ldcs,bb,,125
2010,number,a) time series,d) students from ldcs,bb,,148
2011,number,a) time series,d) students from ldcs,bb,,154
2012,number,a) time series,d) students from ldcs,bb,,193
2013,number,a) time series,d) students from ldcs,bb,,226
2014,number,a) time series,d) students from ldcs,bb,,277
2015,number,a) time series,d) students from ldcs,bb,,321
2016,number,a) time series,d) students from ldcs,bb,,311
2017,number,a) time series,d) students from ldcs,bb,,356
2018,number,a) time series,d) students from ldcs,bb,,400
2019,number,a) time series,d) students from ldcs,bb,,495
2005,number,a) time series,d) students from ldcs,hb,,188
2006,number,a) time series,d) students from ldcs,hb,,192
2007,number,a) time series,d) students from ldcs,hb,,206
2008,number,a) time series,d) students from ldcs,hb,,194
2009,number,a) time series,d) students from ldcs,hb,,194
2010,number,a) time series,d) students from ldcs,hb,,203
2011,number,a) time series,d) students from ldcs,hb,,227
2012,number,a) time series,d) students from ldcs,hb,,255
2013,number,a) time series,d) students from ldcs,hb,,261
2014,number,a) time series,d) students from ldcs,hb,,235
2015,number,a) time series,d) students from ldcs,hb,,262
2016,number,a) time series,d) students from ldcs,hb,,277
2017,number,a) time series,d) students from ldcs,hb,,312
2018,number,a) time series,d) students from ldcs,hb,,337
2019,number,a) time series,d) students from ldcs,hb,,395
2005,number,a) time series,d) students from ldcs,hh,,292
2006,number,a) time series,d) students from ldcs,hh,,281
2007,number,a) time series,d) students from ldcs,hh,,260
2008,number,a) time series,d) students from ldcs,hh,,285
2009,number,a) time series,d) students from ldcs,hh,,317
2010,number,a) time series,d) students from ldcs,hh,,331
2011,number,a) time series,d) students from ldcs,hh,,338
2012,number,a) time series,d) students from ldcs,hh,,342
2013,number,a) time series,d) students from ldcs,hh,,369
2014,number,a) time series,d) students from ldcs,hh,,383
2015,number,a) time series,d) students from ldcs,hh,,409
2016,number,a) time series,d) students from ldcs,hh,,421
2017,number,a) time series,d) students from ldcs,hh,,442
2018,number,a) time series,d) students from ldcs,hh,,495
2019,number,a) time series,d) students from ldcs,hh,,573
2005,number,a) time series,d) students from ldcs,he,,728
2006,number,a) time series,d) students from ldcs,he,,731
2007,number,a) time series,d) students from ldcs,he,,665
2008,number,a) time series,d) students from ldcs,he,,766
2009,number,a) time series,d) students from ldcs,he,,843
2010,number,a) time series,d) students from ldcs,he,,904
2011,number,a) time series,d) students from ldcs,he,,968
2012,number,a) time series,d) students from ldcs,he,,1062
2013,number,a) time series,d) students from ldcs,he,,1158
2014,number,a) time series,d) students from ldcs,he,,1263
2015,number,a) time series,d) students from ldcs,he,,1345
2016,number,a) time series,d) students from ldcs,he,,1352
2017,number,a) time series,d) students from ldcs,he,,1385
2018,number,a) time series,d) students from ldcs,he,,1481
2019,number,a) time series,d) students from ldcs,he,,1649
2005,number,a) time series,d) students from ldcs,mv,,61
2006,number,a) time series,d) students from ldcs,mv,,66
2007,number,a) time series,d) students from ldcs,mv,,68
2008,number,a) time series,d) students from ldcs,mv,,69
2009,number,a) time series,d) students from ldcs,mv,,79
2010,number,a) time series,d) students from ldcs,mv,,86
2011,number,a) time series,d) students from ldcs,mv,,103
2012,number,a) time series,d) students from ldcs,mv,,104
2013,number,a) time series,d) students from ldcs,mv,,118
2014,number,a) time series,d) students from ldcs,mv,,133
2015,number,a) time series,d) students from ldcs,mv,,123
2016,number,a) time series,d) students from ldcs,mv,,141
2017,number,a) time series,d) students from ldcs,mv,,143
2018,number,a) time series,d) students from ldcs,mv,,172
2019,number,a) time series,d) students from ldcs,mv,,177
2005,number,a) time series,d) students from ldcs,ni,,374
2006,number,a) time series,d) students from ldcs,ni,,351
2007,number,a) time series,d) students from ldcs,ni,,340
2008,number,a) time series,d) students from ldcs,ni,,337
2009,number,a) time series,d) students from ldcs,ni,,332
2010,number,a) time series,d) students from ldcs,ni,,388
2011,number,a) time series,d) students from ldcs,ni,,406
2012,number,a) time series,d) students from ldcs,ni,,424
2013,number,a) time series,d) students from ldcs,ni,,467
2014,number,a) time series,d) students from ldcs,ni,,535
2015,number,a) time series,d) students from ldcs,ni,,597
2016,number,a) time series,d) students from ldcs,ni,,667
2017,number,a) time series,d) students from ldcs,ni,,703
2018,number,a) time series,d) students from ldcs,ni,,757
2019,number,a) time series,d) students from ldcs,ni,,830
2005,number,a) time series,d) students from ldcs,nw,,1261
2006,number,a) time series,d) students from ldcs,nw,,1213
2007,number,a) time series,d) students from ldcs,nw,,1183
2008,number,a) time series,d) students from ldcs,nw,,1229
2009,number,a) time series,d) students from ldcs,nw,,1304
2010,number,a) time series,d) students from ldcs,nw,,1393
2011,number,a) time series,d) students from ldcs,nw,,1666
2012,number,a) time series,d) students from ldcs,nw,,1865
2013,number,a) time series,d) students from ldcs,nw,,2057
2014,number,a) time series,d) students from ldcs,nw,,2399
2015,number,a) time series,d) students from ldcs,nw,,2518
2016,number,a) time series,d) students from ldcs,nw,,2666
2017,number,a) time series,d) students from ldcs,nw,,2684
2018,number,a) time series,d) students from ldcs,nw,,2921
2019,number,a) time series,d) students from ldcs,nw,,3316
2005,number,a) time series,d) students from ldcs,rp,,239
2006,number,a) time series,d) students from ldcs,rp,,271
2007,number,a) time series,d) students from ldcs,rp,,313
2008,number,a) time series,d) students from ldcs,rp,,335
2009,number,a) time series,d) students from ldcs,rp,,336
2010,number,a) time series,d) students from ldcs,rp,,373
2011,number,a) time series,d) students from ldcs,rp,,344
2012,number,a) time series,d) students from ldcs,rp,,339
2013,number,a) time series,d) students from ldcs,rp,,348
2014,number,a) time series,d) students from ldcs,rp,,389
2015,number,a) time series,d) students from ldcs,rp,,409
2016,number,a) time series,d) students from ldcs,rp,,422
2017,number,a) time series,d) students from ldcs,rp,,432
2018,number,a) time series,d) students from ldcs,rp,,500
2019,number,a) time series,d) students from ldcs,rp,,562
2005,number,a) time series,d) students from ldcs,sl,,95
2006,number,a) time series,d) students from ldcs,sl,,93
2007,number,a) time series,d) students from ldcs,sl,,106
2008,number,a) time series,d) students from ldcs,sl,,110
2009,number,a) time series,d) students from ldcs,sl,,104
2010,number,a) time series,d) students from ldcs,sl,,130
2011,number,a) time series,d) students from ldcs,sl,,118
2012,number,a) time series,d) students from ldcs,sl,,115
2013,number,a) time series,d) students from ldcs,sl,,116
2014,number,a) time series,d) students from ldcs,sl,,124
2015,number,a) time series,d) students from ldcs,sl,,126
2016,number,a) time series,d) students from ldcs,sl,,128
2017,number,a) time series,d) students from ldcs,sl,,127
2018,number,a) time series,d) students from ldcs,sl,,130
2019,number,a) time series,d) students from ldcs,sl,,140
2005,number,a) time series,d) students from ldcs,sn,,184
2006,number,a) time series,d) students from ldcs,sn,,200
2007,number,a) time series,d) students from ldcs,sn,,195
2008,number,a) time series,d) students from ldcs,sn,,218
2009,number,a) time series,d) students from ldcs,sn,,240
2010,number,a) time series,d) students from ldcs,sn,,237
2011,number,a) time series,d) students from ldcs,sn,,272
2012,number,a) time series,d) students from ldcs,sn,,317
2013,number,a) time series,d) students from ldcs,sn,,378
2014,number,a) time series,d) students from ldcs,sn,,391
2015,number,a) time series,d) students from ldcs,sn,,434
2016,number,a) time series,d) students from ldcs,sn,,453
2017,number,a) time series,d) students from ldcs,sn,,449
2018,number,a) time series,d) students from ldcs,sn,,520
2019,number,a) time series,d) students from ldcs,sn,,631
2005,number,a) time series,d) students from ldcs,st,,100
2006,number,a) time series,d) students from ldcs,st,,93
2007,number,a) time series,d) students from ldcs,st,,88
2008,number,a) time series,d) students from ldcs,st,,97
2009,number,a) time series,d) students from ldcs,st,,121
2010,number,a) time series,d) students from ldcs,st,,150
2011,number,a) time series,d) students from ldcs,st,,171
2012,number,a) time series,d) students from ldcs,st,,201
2013,number,a) time series,d) students from ldcs,st,,227
2014,number,a) time series,d) students from ldcs,st,,240
2015,number,a) time series,d) students from ldcs,st,,282
2016,number,a) time series,d) students from ldcs,st,,261
2017,number,a) time series,d) students from ldcs,st,,288
2018,number,a) time series,d) students from ldcs,st,,344
2019,number,a) time series,d) students from ldcs,st,,459
2005,number,a) time series,d) students from ldcs,sh,,105
2006,number,a) time series,d) students from ldcs,sh,,118
2007,number,a) time series,d) students from ldcs,sh,,132
2008,number,a) time series,d) students from ldcs,sh,,150
2009,number,a) time series,d) students from ldcs,sh,,171
2010,number,a) time series,d) students from ldcs,sh,,160
2011,number,a) time series,d) students from ldcs,sh,,181
2012,number,a) time series,d) students from ldcs,sh,,196
2013,number,a) time series,d) students from ldcs,sh,,213
2014,number,a) time series,d) students from ldcs,sh,,201
2015,number,a) time series,d) students from ldcs,sh,,184
2016,number,a) time series,d) students from ldcs,sh,,221
2017,number,a) time series,d) students from ldcs,sh,,270
2018,number,a) time series,d) students from ldcs,sh,,295
2019,number,a) time series,d) students from ldcs,sh,,339
2005,number,a) time series,d) students from ldcs,th,,25
2006,number,a) time series,d) students from ldcs,th,,29
2007,number,a) time series,d) students from ldcs,th,,33
2008,number,a) time series,d) students from ldcs,th,,54
2009,number,a) time series,d) students from ldcs,th,,97
2010,number,a) time series,d) students from ldcs,th,,147
2011,number,a) time series,d) students from ldcs,th,,135
2012,number,a) time series,d) students from ldcs,th,,150
2013,number,a) time series,d) students from ldcs,th,,165
2014,number,a) time series,d) students from ldcs,th,,179
2015,number,a) time series,d) students from ldcs,th,,187
2016,number,a) time series,d) students from ldcs,th,,223
2017,number,a) time series,d) students from ldcs,th,,240
2018,number,a) time series,d) students from ldcs,th,,274
2019,number,a) time series,d) students from ldcs,th,,357
2005,number,a) time series,b) students from other developing and emerging countries,,,129502
2006,number,a) time series,b) students from other developing and emerging countries,,,129631
2007,number,a) time series,b) students from other developing and emerging countries,,,124181
2008,number,a) time series,b) students from other developing and emerging countries,,,127067
2009,number,a) time series,b) students from other developing and emerging countries,,,131633
2010,number,a) time series,b) students from other developing and emerging countries,,,136445
2011,number,a) time series,b) students from other developing and emerging countries,,,140304
2012,number,a) time series,b) students from other developing and emerging countries,,,150880
2013,number,a) time series,b) students from other developing and emerging countries,,,164098
2014,number,a) time series,b) students from other developing and emerging countries,,,176768
2015,number,a) time series,b) students from other developing and emerging countries,,,190403
2016,number,a) time series,b) students from other developing and emerging countries,,,204694
2017,number,a) time series,b) students from other developing and emerging countries,,,219306
2018,number,a) time series,b) students from other developing and emerging countries,,,236609
2019,number,a) time series,b) students from other developing and emerging countries,,,251488
2005,number,a) time series,b) students from other developing and emerging countries,bw,,18582
2006,number,a) time series,b) students from other developing and emerging countries,bw,,18379
2007,number,a) time series,b) students from other developing and emerging countries,bw,,17473
2008,number,a) time series,b) students from other developing and emerging countries,bw,,17650
2009,number,a) time series,b) students from other developing and emerging countries,bw,,18418
2010,number,a) time series,b) students from other developing and emerging countries,bw,,19111
2011,number,a) time series,b) students from other developing and emerging countries,bw,,19082
2012,number,a) time series,b) students from other developing and emerging countries,bw,,21116
2013,number,a) time series,b) students from other developing and emerging countries,bw,,22842
2014,number,a) time series,b) students from other developing and emerging countries,bw,,24597
2015,number,a) time series,b) students from other developing and emerging countries,bw,,26283
2016,number,a) time series,b) students from other developing and emerging countries,bw,,28310
2017,number,a) time series,b) students from other developing and emerging countries,bw,,28393
2018,number,a) time series,b) students from other developing and emerging countries,bw,,27934
2019,number,a) time series,b) students from other developing and emerging countries,bw,,27198
2005,number,a) time series,b) students from other developing and emerging countries,by,,12251
2006,number,a) time series,b) students from other developing and emerging countries,by,,12721
2007,number,a) time series,b) students from other developing and emerging countries,by,,12324
2008,number,a) time series,b) students from other developing and emerging countries,by,,12533
2009,number,a) time series,b) students from other developing and emerging countries,by,,12980
2010,number,a) time series,b) students from other developing and emerging countries,by,,13620
2011,number,a) time series,b) students from other developing and emerging countries,by,,14060
2012,number,a) time series,b) students from other developing and emerging countries,by,,15284
2013,number,a) time series,b) students from other developing and emerging countries,by,,17719
2014,number,a) time series,b) students from other developing and emerging countries,by,,19151
2015,number,a) time series,b) students from other developing and emerging countries,by,,21169
2016,number,a) time series,b) students from other developing and emerging countries,by,,23123
2017,number,a) time series,b) students from other developing and emerging countries,by,,26821
2018,number,a) time series,b) students from other developing and emerging countries,by,,30524
2019,number,a) time series,b) students from other developing and emerging countries,by,,33606
2005,number,a) time series,b) students from other developing and emerging countries,be,,9047
2006,number,a) time series,b) students from other developing and emerging countries,be,,8871
2007,number,a) time series,b) students from other developing and emerging countries,be,,9202
2008,number,a) time series,b) students from other developing and emerging countries,be,,9570
2009,number,a) time series,b) students from other developing and emerging countries,be,,9868
2010,number,a) time series,b) students from other developing and emerging countries,be,,10512
2011,number,a) time series,b) students from other developing and emerging countries,be,,10747
2012,number,a) time series,b) students from other developing and emerging countries,be,,11270
2013,number,a) time series,b) students from other developing and emerging countries,be,,12157
2014,number,a) time series,b) students from other developing and emerging countries,be,,12996
2015,number,a) time series,b) students from other developing and emerging countries,be,,14133
2016,number,a) time series,b) students from other developing and emerging countries,be,,15513
2017,number,a) time series,b) students from other developing and emerging countries,be,,18083
2018,number,a) time series,b) students from other developing and emerging countries,be,,20159
2019,number,a) time series,b) students from other developing and emerging countries,be,,22166
2005,number,a) time series,b) students from other developing and emerging countries,bb,,2288
2006,number,a) time series,b) students from other developing and emerging countries,bb,,2347
2007,number,a) time series,b) students from other developing and emerging countries,bb,,2396
2008,number,a) time series,b) students from other developing and emerging countries,bb,,2423
2009,number,a) time series,b) students from other developing and emerging countries,bb,,2524
2010,number,a) time series,b) students from other developing and emerging countries,bb,,2536
2011,number,a) time series,b) students from other developing and emerging countries,bb,,2678
2012,number,a) time series,b) students from other developing and emerging countries,bb,,2969
2013,number,a) time series,b) students from other developing and emerging countries,bb,,3080
2014,number,a) time series,b) students from other developing and emerging countries,bb,,3246
2015,number,a) time series,b) students from other developing and emerging countries,bb,,3462
2016,number,a) time series,b) students from other developing and emerging countries,bb,,3827
2017,number,a) time series,b) students from other developing and emerging countries,bb,,4263
2018,number,a) time series,b) students from other developing and emerging countries,bb,,4618
