Year,Units,display,title,Value
2018,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2019,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2020,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2025,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2030,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1992,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.9231
1993,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-0.9768
1994,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.3919
1995,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.5441
1996,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.8058
1997,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.7922
1998,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.0139
1999,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.8873
2000,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.9125
2001,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.6815
2002,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-0.198
2003,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-0.7001
2004,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.1751
2005,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.7317
2006,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),3.8164
2007,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.9765
2008,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.9599
2009,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-5.6938
2010,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),4.1799
2011,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),3.9252
2012,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.4185
2013,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.4376
2014,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.2095
2015,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.4919
2016,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.23
2017,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.602
2018,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.268
2019,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.5555
2020,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-4.9808
