Year,Units,typification,Bundesland,GeoCode,Value
2011,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-4.9193
2012,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-4.7865
2013,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-4.9001
2014,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-5.1983
2015,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-4.5342
2016,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-3.4719
2017,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-3.1312
2018,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-2.7248
2004,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-3.0852
2005,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.9188
2006,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.8516
2007,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-3.1038
2008,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.8747
2009,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.6857
2010,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.5392
2011,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.3437
2012,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.1181
2013,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.1263
2014,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-2.0056
2015,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-1.9684
2016,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-1.0189
2017,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-0.8538
2018,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,-0.6485
2004,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-5.2377
2005,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-5.7891
2006,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-5.9138
2007,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-5.9788
2008,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-4.8152
2009,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-3.1535
2010,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-2.0447
2011,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-1.2448
2012,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-0.8134
2013,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-1.0017
2014,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-1.0638
2015,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-0.5664
2016,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-0.7518
2017,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-0.3505
2018,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,-0.4885
2004,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-2.5915
2005,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-2.3643
2006,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-2.3742
2007,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-2.621
2008,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-1.923
2009,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-2.1804
2010,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-2.6838
2011,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-2.452
2012,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-2.4696
2013,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-1.9885
2014,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-1.2585
2015,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-1.2591
2016,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-3.3549
2017,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-3.2459
2018,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,-3.137
2004,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-4.3105
2005,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-3.3003
2006,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-3.0932
2007,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-4.6542
2008,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-5.563
2009,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-7.1384
2010,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-7.6446
2011,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-6.5724
2012,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-6.3162
2013,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-4.777
2014,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-8.6958
2015,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-6.5435
2016,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-6.0256
2017,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-6.4559
2018,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,-2.0369
2004,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-18.534
2005,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-23.7736
2006,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-26.6069
2007,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-23.7468
2008,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-14.8696
2009,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-5.8702
2010,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-0.8253
2011,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-0.2948
2012,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,0.8711
2013,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,0.9719
2014,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-0.3414
2015,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-0.7837
2016,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-1.7037
2017,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-1.8443
2018,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,-1.1325
2004,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-11.0002
2005,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-9.6484
2006,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-9.0138
2007,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-8.6476
2008,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-6.8781
2009,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-6.6138
2010,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-5.4671
2011,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-4.6048
2012,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-4.3471
2013,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-4.0873
2014,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-4.0885
2015,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-3.4464
2016,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-3.0382
2017,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-3.2085
2018,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,-3.2304
2004,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-3.3476
2005,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-3.057
2006,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-2.1347
2007,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-2.4816
2008,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-3.0492
2009,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-3.5179
2010,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-4.4311
2011,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-5.7348
2012,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-6.9311
2013,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-6.9769
2014,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-9.0002
2015,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-7.8594
2016,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-9.3663
2017,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-21.2648
2018,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,-37.0487
2004,m2/(inhabitant*a),rural areas,a) germany (total),,-1.8043
2005,m2/(inhabitant*a),rural areas,a) germany (total),,-1.7704
2006,m2/(inhabitant*a),rural areas,a) germany (total),,-1.7366
2007,m2/(inhabitant*a),rural areas,a) germany (total),,-1.7025
2008,m2/(inhabitant*a),rural areas,a) germany (total),,-1.6685
2009,m2/(inhabitant*a),rural areas,a) germany (total),,-1.5469
2010,m2/(inhabitant*a),rural areas,a) germany (total),,-1.4725
2011,m2/(inhabitant*a),rural areas,a) germany (total),,-1.3912
2012,m2/(inhabitant*a),rural areas,a) germany (total),,-1.2292
2013,m2/(inhabitant*a),rural areas,a) germany (total),,-1.1798
2014,m2/(inhabitant*a),rural areas,a) germany (total),,-1.0512
2015,m2/(inhabitant*a),rural areas,a) germany (total),,-0.9517
2016,m2/(inhabitant*a),rural areas,a) germany (total),,-0.6443
2017,m2/(inhabitant*a),rural areas,a) germany (total),,-0.6412
2004,m2/(inhabitant*a),non-rural areas,a) germany (total),,-7.4453
2005,m2/(inhabitant*a),non-rural areas,a) germany (total),,-7.26
2006,m2/(inhabitant*a),non-rural areas,a) germany (total),,-7.0824
2007,m2/(inhabitant*a),non-rural areas,a) germany (total),,-6.909
2008,m2/(inhabitant*a),non-rural areas,a) germany (total),,-6.7417
2009,m2/(inhabitant*a),non-rural areas,a) germany (total),,-6.3583
2010,m2/(inhabitant*a),non-rural areas,a) germany (total),,-5.9131
2011,m2/(inhabitant*a),non-rural areas,a) germany (total),,-6.3059
2012,m2/(inhabitant*a),non-rural areas,a) germany (total),,-5.6959
2013,m2/(inhabitant*a),non-rural areas,a) germany (total),,-5.4575
2014,m2/(inhabitant*a),non-rural areas,a) germany (total),,-5.6604
2015,m2/(inhabitant*a),non-rural areas,a) germany (total),,-4.3197
2016,m2/(inhabitant*a),non-rural areas,a) germany (total),,-4.2775
2017,m2/(inhabitant*a),non-rural areas,a) germany (total),,-4.3711
