Year,Units,display,sex,age,Bundesland,GeoCode,Value
2012,percentage (%),a) time series,male and female,20 - 64 years,hb,code04,72.2
2013,percentage (%),a) time series,male and female,20 - 64 years,hb,code04,71.7
2014,percentage (%),a) time series,male and female,20 - 64 years,hb,code04,72.1
2015,percentage (%),a) time series,male and female,20 - 64 years,hb,code04,72.0
2016,percentage (%),a) time series,male and female,20 - 64 years,hb,code04,74.8
2010,percentage (%),a) time series,male and female,20 - 64 years,he,code06,75.5
2011,percentage (%),a) time series,male and female,20 - 64 years,he,code06,77.1
2012,percentage (%),a) time series,male and female,20 - 64 years,he,code06,77.2
2013,percentage (%),a) time series,male and female,20 - 64 years,he,code06,77.7
2014,percentage (%),a) time series,male and female,20 - 64 years,he,code06,77.4
2015,percentage (%),a) time series,male and female,20 - 64 years,he,code06,77.8
2016,percentage (%),a) time series,male and female,20 - 64 years,he,code06,78.5
2010,percentage (%),a) time series,male and female,20 - 64 years,hh,code02,75.1
2011,percentage (%),a) time series,male and female,20 - 64 years,hh,code02,76.8
2012,percentage (%),a) time series,male and female,20 - 64 years,hh,code02,76.7
2013,percentage (%),a) time series,male and female,20 - 64 years,hh,code02,77.2
2014,percentage (%),a) time series,male and female,20 - 64 years,hh,code02,78.3
2015,percentage (%),a) time series,male and female,20 - 64 years,hh,code02,78.8
2016,percentage (%),a) time series,male and female,20 - 64 years,hh,code02,78.9
2010,percentage (%),a) time series,male and female,20 - 64 years,mv,code13,72.8
2011,percentage (%),a) time series,male and female,20 - 64 years,mv,code13,73.5
2012,percentage (%),a) time series,male and female,20 - 64 years,mv,code13,72.8
2013,percentage (%),a) time series,male and female,20 - 64 years,mv,code13,73.1
2014,percentage (%),a) time series,male and female,20 - 64 years,mv,code13,73.9
2015,percentage (%),a) time series,male and female,20 - 64 years,mv,code13,75.0
2016,percentage (%),a) time series,male and female,20 - 64 years,mv,code13,75.6
2010,percentage (%),a) time series,male and female,20 - 64 years,ni,code03,75.0
2011,percentage (%),a) time series,male and female,20 - 64 years,ni,code03,76.6
2012,percentage (%),a) time series,male and female,20 - 64 years,ni,code03,77.1
2013,percentage (%),a) time series,male and female,20 - 64 years,ni,code03,77.6
2014,percentage (%),a) time series,male and female,20 - 64 years,ni,code03,77.9
2015,percentage (%),a) time series,male and female,20 - 64 years,ni,code03,77.9
2016,percentage (%),a) time series,male and female,20 - 64 years,ni,code03,77.8
2010,percentage (%),a) time series,male and female,20 - 64 years,nw,code05,72.3
2011,percentage (%),a) time series,male and female,20 - 64 years,nw,code05,73.9
2012,percentage (%),a) time series,male and female,20 - 64 years,nw,code05,74.2
2013,percentage (%),a) time series,male and female,20 - 64 years,nw,code05,74.3
2014,percentage (%),a) time series,male and female,20 - 64 years,nw,code05,75.0
2015,percentage (%),a) time series,male and female,20 - 64 years,nw,code05,75.1
2016,percentage (%),a) time series,male and female,20 - 64 years,nw,code05,75.8
2010,percentage (%),a) time series,male and female,20 - 64 years,rp,code07,76.0
2011,percentage (%),a) time series,male and female,20 - 64 years,rp,code07,76.6
2012,percentage (%),a) time series,male and female,20 - 64 years,rp,code07,77.2
2013,percentage (%),a) time series,male and female,20 - 64 years,rp,code07,77.8
2014,percentage (%),a) time series,male and female,20 - 64 years,rp,code07,78.1
2015,percentage (%),a) time series,male and female,20 - 64 years,rp,code07,78.3
2016,percentage (%),a) time series,male and female,20 - 64 years,rp,code07,78.5
2010,percentage (%),a) time series,male and female,20 - 64 years,sh,code01,75.6
2011,percentage (%),a) time series,male and female,20 - 64 years,sh,code01,76.7
2012,percentage (%),a) time series,male and female,20 - 64 years,sh,code01,77.8
2013,percentage (%),a) time series,male and female,20 - 64 years,sh,code01,77.8
2014,percentage (%),a) time series,male and female,20 - 64 years,sh,code01,78.3
2015,percentage (%),a) time series,male and female,20 - 64 years,sh,code01,79.0
2016,percentage (%),a) time series,male and female,20 - 64 years,sh,code01,78.5
2010,percentage (%),a) time series,male and female,20 - 64 years,sl,code10,71.4
2011,percentage (%),a) time series,male and female,20 - 64 years,sl,code10,72.2
2012,percentage (%),a) time series,male and female,20 - 64 years,sl,code10,72.7
2013,percentage (%),a) time series,male and female,20 - 64 years,sl,code10,73.6
2014,percentage (%),a) time series,male and female,20 - 64 years,sl,code10,73.9
2015,percentage (%),a) time series,male and female,20 - 64 years,sl,code10,74.4
2016,percentage (%),a) time series,male and female,20 - 64 years,sl,code10,75.7
2010,percentage (%),a) time series,male and female,20 - 64 years,sn,code14,74.0
2011,percentage (%),a) time series,male and female,20 - 64 years,sn,code14,75.8
2012,percentage (%),a) time series,male and female,20 - 64 years,sn,code14,76.3
2013,percentage (%),a) time series,male and female,20 - 64 years,sn,code14,77.3
2014,percentage (%),a) time series,male and female,20 - 64 years,sn,code14,77.8
2015,percentage (%),a) time series,male and female,20 - 64 years,sn,code14,78.4
2016,percentage (%),a) time series,male and female,20 - 64 years,sn,code14,79.7
2010,percentage (%),a) time series,male and female,20 - 64 years,st,code15,73.5
2011,percentage (%),a) time series,male and female,20 - 64 years,st,code15,74.9
2012,percentage (%),a) time series,male and female,20 - 64 years,st,code15,75.0
2013,percentage (%),a) time series,male and female,20 - 64 years,st,code15,75.8
2014,percentage (%),a) time series,male and female,20 - 64 years,st,code15,75.8
2015,percentage (%),a) time series,male and female,20 - 64 years,st,code15,76.4
2016,percentage (%),a) time series,male and female,20 - 64 years,st,code15,76.7
2010,percentage (%),a) time series,male and female,20 - 64 years,th,code16,76.1
2011,percentage (%),a) time series,male and female,20 - 64 years,th,code16,77.0
2012,percentage (%),a) time series,male and female,20 - 64 years,th,code16,77.0
2013,percentage (%),a) time series,male and female,20 - 64 years,th,code16,77.9
2014,percentage (%),a) time series,male and female,20 - 64 years,th,code16,78.5
2015,percentage (%),a) time series,male and female,20 - 64 years,th,code16,77.4
2016,percentage (%),a) time series,male and female,20 - 64 years,th,code16,79.0
2000,percentage (%),a) time series,female,20 - 64 years,,,60.7
2001,percentage (%),a) time series,female,20 - 64 years,,,61.6
2002,percentage (%),a) time series,female,20 - 64 years,,,61.8
2003,percentage (%),a) time series,female,20 - 64 years,,,62.0
2004,percentage (%),a) time series,female,20 - 64 years,,,61.8
2005,percentage (%),a) time series,female,20 - 64 years,,,63.1
2006,percentage (%),a) time series,female,20 - 64 years,,,65.0
2007,percentage (%),a) time series,female,20 - 64 years,,,66.7
2008,percentage (%),a) time series,female,20 - 64 years,,,67.8
2009,percentage (%),a) time series,female,20 - 64 years,,,68.7
2010,percentage (%),a) time series,female,20 - 64 years,,,69.7
2011,percentage (%),a) time series,female,20 - 64 years,,,71.3
2012,percentage (%),a) time series,female,20 - 64 years,,,71.6
2013,percentage (%),a) time series,female,20 - 64 years,,,72.5
2014,percentage (%),a) time series,female,20 - 64 years,,,73.1
2015,percentage (%),a) time series,female,20 - 64 years,,,73.6
2016,percentage (%),a) time series,female,20 - 64 years,,,74.5
2017,percentage (%),a) time series,female,20 - 64 years,,,75.2
2010,percentage (%),a) time series,female,20 - 64 years,bb,code12,74.0
2011,percentage (%),a) time series,female,20 - 64 years,bb,code12,75.3
2012,percentage (%),a) time series,female,20 - 64 years,bb,code12,74.6
2013,percentage (%),a) time series,female,20 - 64 years,bb,code12,75.8
2014,percentage (%),a) time series,female,20 - 64 years,bb,code12,75.6
2015,percentage (%),a) time series,female,20 - 64 years,bb,code12,76.3
2016,percentage (%),a) time series,female,20 - 64 years,bb,code12,78.7
2010,percentage (%),a) time series,female,20 - 64 years,be,code11,66.8
2011,percentage (%),a) time series,female,20 - 64 years,be,code11,68.1
2012,percentage (%),a) time series,female,20 - 64 years,be,code11,68.6
2013,percentage (%),a) time series,female,20 - 64 years,be,code11,69.3
2014,percentage (%),a) time series,female,20 - 64 years,be,code11,70.0
2015,percentage (%),a) time series,female,20 - 64 years,be,code11,69.8
2016,percentage (%),a) time series,female,20 - 64 years,be,code11,72.2
2010,percentage (%),a) time series,female,20 - 64 years,bw,code08,72.3
2011,percentage (%),a) time series,female,20 - 64 years,bw,code08,74.0
2012,percentage (%),a) time series,female,20 - 64 years,bw,code08,74.4
2013,percentage (%),a) time series,female,20 - 64 years,bw,code08,75.4
2014,percentage (%),a) time series,female,20 - 64 years,bw,code08,76.0
2015,percentage (%),a) time series,female,20 - 64 years,bw,code08,76.5
2016,percentage (%),a) time series,female,20 - 64 years,bw,code08,77.3
2010,percentage (%),a) time series,female,20 - 64 years,by,code09,72.0
2011,percentage (%),a) time series,female,20 - 64 years,by,code09,73.9
2012,percentage (%),a) time series,female,20 - 64 years,by,code09,74.5
2013,percentage (%),a) time series,female,20 - 64 years,by,code09,75.2
2014,percentage (%),a) time series,female,20 - 64 years,by,code09,76.2
2015,percentage (%),a) time series,female,20 - 64 years,by,code09,76.3
2016,percentage (%),a) time series,female,20 - 64 years,by,code09,77.2
2010,percentage (%),a) time series,female,20 - 64 years,hb,code04,66.8
2011,percentage (%),a) time series,female,20 - 64 years,hb,code04,67.5
2012,percentage (%),a) time series,female,20 - 64 years,hb,code04,67.1
2013,percentage (%),a) time series,female,20 - 64 years,hb,code04,67.7
2014,percentage (%),a) time series,female,20 - 64 years,hb,code04,68.1
2015,percentage (%),a) time series,female,20 - 64 years,hb,code04,69.0
2016,percentage (%),a) time series,female,20 - 64 years,hb,code04,70.8
2010,percentage (%),a) time series,female,20 - 64 years,he,code06,69.4
2011,percentage (%),a) time series,female,20 - 64 years,he,code06,71.1
2012,percentage (%),a) time series,female,20 - 64 years,he,code06,71.5
2013,percentage (%),a) time series,female,20 - 64 years,he,code06,72.7
2014,percentage (%),a) time series,female,20 - 64 years,he,code06,72.2
2015,percentage (%),a) time series,female,20 - 64 years,he,code06,73.0
2016,percentage (%),a) time series,female,20 - 64 years,he,code06,73.4
2010,percentage (%),a) time series,female,20 - 64 years,hh,code02,70.8
2011,percentage (%),a) time series,female,20 - 64 years,hh,code02,72.6
2012,percentage (%),a) time series,female,20 - 64 years,hh,code02,72.6
2013,percentage (%),a) time series,female,20 - 64 years,hh,code02,73.7
2014,percentage (%),a) time series,female,20 - 64 years,hh,code02,74.1
2015,percentage (%),a) time series,female,20 - 64 years,hh,code02,75.4
2016,percentage (%),a) time series,female,20 - 64 years,hh,code02,75.3
2010,percentage (%),a) time series,female,20 - 64 years,mv,code13,71.1
2011,percentage (%),a) time series,female,20 - 64 years,mv,code13,70.7
2012,percentage (%),a) time series,female,20 - 64 years,mv,code13,70.3
2013,percentage (%),a) time series,female,20 - 64 years,mv,code13,71.1
2014,percentage (%),a) time series,female,20 - 64 years,mv,code13,72.1
2015,percentage (%),a) time series,female,20 - 64 years,mv,code13,72.9
2016,percentage (%),a) time series,female,20 - 64 years,mv,code13,74.2
2010,percentage (%),a) time series,female,20 - 64 years,ni,code03,69.3
2011,percentage (%),a) time series,female,20 - 64 years,ni,code03,71.0
2012,percentage (%),a) time series,female,20 - 64 years,ni,code03,71.7
2013,percentage (%),a) time series,female,20 - 64 years,ni,code03,72.7
2014,percentage (%),a) time series,female,20 - 64 years,ni,code03,73.0
2015,percentage (%),a) time series,female,20 - 64 years,ni,code03,73.2
2016,percentage (%),a) time series,female,20 - 64 years,ni,code03,73.3
2010,percentage (%),a) time series,female,20 - 64 years,nw,code05,65.7
2011,percentage (%),a) time series,female,20 - 64 years,nw,code05,67.6
2012,percentage (%),a) time series,female,20 - 64 years,nw,code05,67.8
2013,percentage (%),a) time series,female,20 - 64 years,nw,code05,68.5
2014,percentage (%),a) time series,female,20 - 64 years,nw,code05,69.4
2015,percentage (%),a) time series,female,20 - 64 years,nw,code05,69.9
2016,percentage (%),a) time series,female,20 - 64 years,nw,code05,70.9
2010,percentage (%),a) time series,female,20 - 64 years,rp,code07,69.7
2011,percentage (%),a) time series,female,20 - 64 years,rp,code07,70.4
2012,percentage (%),a) time series,female,20 - 64 years,rp,code07,71.0
2013,percentage (%),a) time series,female,20 - 64 years,rp,code07,71.9
2014,percentage (%),a) time series,female,20 - 64 years,rp,code07,72.8
2015,percentage (%),a) time series,female,20 - 64 years,rp,code07,73.2
2016,percentage (%),a) time series,female,20 - 64 years,rp,code07,74.2
2010,percentage (%),a) time series,female,20 - 64 years,sh,code01,70.9
2011,percentage (%),a) time series,female,20 - 64 years,sh,code01,71.9
2012,percentage (%),a) time series,female,20 - 64 years,sh,code01,73.1
2013,percentage (%),a) time series,female,20 - 64 years,sh,code01,72.7
2014,percentage (%),a) time series,female,20 - 64 years,sh,code01,73.8
2015,percentage (%),a) time series,female,20 - 64 years,sh,code01,74.4
2016,percentage (%),a) time series,female,20 - 64 years,sh,code01,74.6
2010,percentage (%),a) time series,female,20 - 64 years,sl,code10,64.7
2011,percentage (%),a) time series,female,20 - 64 years,sl,code10,65.8
2012,percentage (%),a) time series,female,20 - 64 years,sl,code10,66.0
2013,percentage (%),a) time series,female,20 - 64 years,sl,code10,67.4
2014,percentage (%),a) time series,female,20 - 64 years,sl,code10,67.6
2015,percentage (%),a) time series,female,20 - 64 years,sl,code10,69.8
2016,percentage (%),a) time series,female,20 - 64 years,sl,code10,71.7
2010,percentage (%),a) time series,female,20 - 64 years,sn,code14,71.2
2011,percentage (%),a) time series,female,20 - 64 years,sn,code14,73.0
2012,percentage (%),a) time series,female,20 - 64 years,sn,code14,73.5
2013,percentage (%),a) time series,female,20 - 64 years,sn,code14,74.7
2014,percentage (%),a) time series,female,20 - 64 years,sn,code14,75.3
2015,percentage (%),a) time series,female,20 - 64 years,sn,code14,76.3
2016,percentage (%),a) time series,female,20 - 64 years,sn,code14,77.5
2010,percentage (%),a) time series,female,20 - 64 years,st,code15,71.0
2011,percentage (%),a) time series,female,20 - 64 years,st,code15,72.1
2012,percentage (%),a) time series,female,20 - 64 years,st,code15,72.4
2013,percentage (%),a) time series,female,20 - 64 years,st,code15,72.9
2014,percentage (%),a) time series,female,20 - 64 years,st,code15,73.8
2015,percentage (%),a) time series,female,20 - 64 years,st,code15,74.5
2016,percentage (%),a) time series,female,20 - 64 years,st,code15,74.6
2010,percentage (%),a) time series,female,20 - 64 years,th,code16,73.0
2011,percentage (%),a) time series,female,20 - 64 years,th,code16,73.7
2012,percentage (%),a) time series,female,20 - 64 years,th,code16,73.6
2013,percentage (%),a) time series,female,20 - 64 years,th,code16,74.8
2014,percentage (%),a) time series,female,20 - 64 years,th,code16,75.9
2015,percentage (%),a) time series,female,20 - 64 years,th,code16,75.1
2016,percentage (%),a) time series,female,20 - 64 years,th,code16,77.0
2000,percentage (%),a) time series,male,20 - 64 years,,,76.5
2001,percentage (%),a) time series,male,20 - 64 years,,,76.4
2002,percentage (%),a) time series,male,20 - 64 years,,,75.6
2003,percentage (%),a) time series,male,20 - 64 years,,,74.8
2004,percentage (%),a) time series,male,20 - 64 years,,,74.0
2005,percentage (%),a) time series,male,20 - 64 years,,,75.6
2006,percentage (%),a) time series,male,20 - 64 years,,,77.2
2007,percentage (%),a) time series,male,20 - 64 years,,,79.1
2008,percentage (%),a) time series,male,20 - 64 years,,,80.1
2009,percentage (%),a) time series,male,20 - 64 years,,,79.6
2010,percentage (%),a) time series,male,20 - 64 years,,,80.4
2011,percentage (%),a) time series,male,20 - 64 years,,,81.7
2012,percentage (%),a) time series,male,20 - 64 years,,,82.1
2013,percentage (%),a) time series,male,20 - 64 years,,,82.1
2014,percentage (%),a) time series,male,20 - 64 years,,,82.2
2015,percentage (%),a) time series,male,20 - 64 years,,,82.3
2016,percentage (%),a) time series,male,20 - 64 years,,,82.7
2017,percentage (%),a) time series,male,20 - 64 years,,,83.1
2010,percentage (%),a) time series,male,20 - 64 years,bb,code12,78.1
2011,percentage (%),a) time series,male,20 - 64 years,bb,code12,78.6
2012,percentage (%),a) time series,male,20 - 64 years,bb,code12,79.3
2013,percentage (%),a) time series,male,20 - 64 years,bb,code12,79.9
2014,percentage (%),a) time series,male,20 - 64 years,bb,code12,80.1
2015,percentage (%),a) time series,male,20 - 64 years,bb,code12,81.2
2016,percentage (%),a) time series,male,20 - 64 years,bb,code12,81.9
2010,percentage (%),a) time series,male,20 - 64 years,be,code11,71.7
2011,percentage (%),a) time series,male,20 - 64 years,be,code11,73.1
2012,percentage (%),a) time series,male,20 - 64 years,be,code11,74.8
2013,percentage (%),a) time series,male,20 - 64 years,be,code11,74.7
2014,percentage (%),a) time series,male,20 - 64 years,be,code11,74.8
2015,percentage (%),a) time series,male,20 - 64 years,be,code11,75.1
2016,percentage (%),a) time series,male,20 - 64 years,be,code11,78.2
2010,percentage (%),a) time series,male,20 - 64 years,bw,code08,84.3
2011,percentage (%),a) time series,male,20 - 64 years,bw,code08,85.8
2012,percentage (%),a) time series,male,20 - 64 years,bw,code08,85.8
2013,percentage (%),a) time series,male,20 - 64 years,bw,code08,85.9
2014,percentage (%),a) time series,male,20 - 64 years,bw,code08,85.7
2015,percentage (%),a) time series,male,20 - 64 years,bw,code08,86.0
2016,percentage (%),a) time series,male,20 - 64 years,bw,code08,86.1
2010,percentage (%),a) time series,male,20 - 64 years,by,code09,84.4
2011,percentage (%),a) time series,male,20 - 64 years,by,code09,85.3
2012,percentage (%),a) time series,male,20 - 64 years,by,code09,85.9
2013,percentage (%),a) time series,male,20 - 64 years,by,code09,86.1
2014,percentage (%),a) time series,male,20 - 64 years,by,code09,86.1
2015,percentage (%),a) time series,male,20 - 64 years,by,code09,86.1
2016,percentage (%),a) time series,male,20 - 64 years,by,code09,86.3
2010,percentage (%),a) time series,male,20 - 64 years,hb,code04,73.2
2011,percentage (%),a) time series,male,20 - 64 years,hb,code04,74.1
2012,percentage (%),a) time series,male,20 - 64 years,hb,code04,77.3
2013,percentage (%),a) time series,male,20 - 64 years,hb,code04,75.8
2014,percentage (%),a) time series,male,20 - 64 years,hb,code04,76.0
2015,percentage (%),a) time series,male,20 - 64 years,hb,code04,75.0
2016,percentage (%),a) time series,male,20 - 64 years,hb,code04,78.5
2010,percentage (%),a) time series,male,20 - 64 years,he,code06,81.8
2011,percentage (%),a) time series,male,20 - 64 years,he,code06,83.2
2012,percentage (%),a) time series,male,20 - 64 years,he,code06,82.9
2013,percentage (%),a) time series,male,20 - 64 years,he,code06,82.8
2014,percentage (%),a) time series,male,20 - 64 years,he,code06,82.5
2015,percentage (%),a) time series,male,20 - 64 years,he,code06,82.7
2016,percentage (%),a) time series,male,20 - 64 years,he,code06,83.5
2010,percentage (%),a) time series,male,20 - 64 years,hh,code02,79.5
2011,percentage (%),a) time series,male,20 - 64 years,hh,code02,81.1
2012,percentage (%),a) time series,male,20 - 64 years,hh,code02,81.0
2013,percentage (%),a) time series,male,20 - 64 years,hh,code02,80.8
2014,percentage (%),a) time series,male,20 - 64 years,hh,code02,82.5
2015,percentage (%),a) time series,male,20 - 64 years,hh,code02,82.3
2016,percentage (%),a) time series,male,20 - 64 years,hh,code02,82.4
2010,percentage (%),a) time series,male,20 - 64 years,mv,code13,74.5
2011,percentage (%),a) time series,male,20 - 64 years,mv,code13,76.1
2012,percentage (%),a) time series,male,20 - 64 years,mv,code13,75.2
2013,percentage (%),a) time series,male,20 - 64 years,mv,code13,75.0
2014,percentage (%),a) time series,male,20 - 64 years,mv,code13,75.7
2015,percentage (%),a) time series,male,20 - 64 years,mv,code13,77.1
2016,percentage (%),a) time series,male,20 - 64 years,mv,code13,76.8
2010,percentage (%),a) time series,male,20 - 64 years,ni,code03,80.7
2011,percentage (%),a) time series,male,20 - 64 years,ni,code03,82.1
2012,percentage (%),a) time series,male,20 - 64 years,ni,code03,82.5
2013,percentage (%),a) time series,male,20 - 64 years,ni,code03,82.6
2014,percentage (%),a) time series,male,20 - 64 years,ni,code03,82.8
2015,percentage (%),a) time series,male,20 - 64 years,ni,code03,82.6
2016,percentage (%),a) time series,male,20 - 64 years,ni,code03,82.1
2010,percentage (%),a) time series,male,20 - 64 years,nw,code05,78.9
2011,percentage (%),a) time series,male,20 - 64 years,nw,code05,80.3
2012,percentage (%),a) time series,male,20 - 64 years,nw,code05,80.7
2013,percentage (%),a) time series,male,20 - 64 years,nw,code05,80.2
2014,percentage (%),a) time series,male,20 - 64 years,nw,code05,80.6
2015,percentage (%),a) time series,male,20 - 64 years,nw,code05,80.4
2016,percentage (%),a) time series,male,20 - 64 years,nw,code05,80.7
2010,percentage (%),a) time series,male,20 - 64 years,rp,code07,82.2
2011,percentage (%),a) time series,male,20 - 64 years,rp,code07,82.7
2012,percentage (%),a) time series,male,20 - 64 years,rp,code07,83.4
2013,percentage (%),a) time series,male,20 - 64 years,rp,code07,83.6
2014,percentage (%),a) time series,male,20 - 64 years,rp,code07,83.4
2015,percentage (%),a) time series,male,20 - 64 years,rp,code07,83.4
2016,percentage (%),a) time series,male,20 - 64 years,rp,code07,82.8
2010,percentage (%),a) time series,male,20 - 64 years,sh,code01,80.3
2011,percentage (%),a) time series,male,20 - 64 years,sh,code01,81.5
2012,percentage (%),a) time series,male,20 - 64 years,sh,code01,82.6
2013,percentage (%),a) time series,male,20 - 64 years,sh,code01,83.1
2014,percentage (%),a) time series,male,20 - 64 years,sh,code01,83.0
2015,percentage (%),a) time series,male,20 - 64 years,sh,code01,83.8
2016,percentage (%),a) time series,male,20 - 64 years,sh,code01,82.4
2010,percentage (%),a) time series,male,20 - 64 years,sl,code10,78.1
2011,percentage (%),a) time series,male,20 - 64 years,sl,code10,78.6
2012,percentage (%),a) time series,male,20 - 64 years,sl,code10,79.3
2013,percentage (%),a) time series,male,20 - 64 years,sl,code10,79.7
2014,percentage (%),a) time series,male,20 - 64 years,sl,code10,80.2
2015,percentage (%),a) time series,male,20 - 64 years,sl,code10,79.0
2016,percentage (%),a) time series,male,20 - 64 years,sl,code10,79.6
2010,percentage (%),a) time series,male,20 - 64 years,sn,code14,76.8
2011,percentage (%),a) time series,male,20 - 64 years,sn,code14,78.5
2012,percentage (%),a) time series,male,20 - 64 years,sn,code14,78.9
2013,percentage (%),a) time series,male,20 - 64 years,sn,code14,79.8
2014,percentage (%),a) time series,male,20 - 64 years,sn,code14,80.2
2015,percentage (%),a) time series,male,20 - 64 years,sn,code14,80.4
2016,percentage (%),a) time series,male,20 - 64 years,sn,code14,81.8
2010,percentage (%),a) time series,male,20 - 64 years,st,code15,75.9
2011,percentage (%),a) time series,male,20 - 64 years,st,code15,77.6
2012,percentage (%),a) time series,male,20 - 64 years,st,code15,77.6
2013,percentage (%),a) time series,male,20 - 64 years,st,code15,78.7
2014,percentage (%),a) time series,male,20 - 64 years,st,code15,77.7
2015,percentage (%),a) time series,male,20 - 64 years,st,code15,78.3
2016,percentage (%),a) time series,male,20 - 64 years,st,code15,78.8
2010,percentage (%),a) time series,male,20 - 64 years,th,code16,79.0
2011,percentage (%),a) time series,male,20 - 64 years,th,code16,80.2
2012,percentage (%),a) time series,male,20 - 64 years,th,code16,80.3
2013,percentage (%),a) time series,male,20 - 64 years,th,code16,80.8
2014,percentage (%),a) time series,male,20 - 64 years,th,code16,81.0
2015,percentage (%),a) time series,male,20 - 64 years,th,code16,79.6
2016,percentage (%),a) time series,male,20 - 64 years,th,code16,80.8
2000,percentage (%),a) time series,male and female,60 - 64 years,,,19.6
2001,percentage (%),a) time series,male and female,60 - 64 years,,,20.8
2002,percentage (%),a) time series,male and female,60 - 64 years,,,22.2
2003,percentage (%),a) time series,male and female,60 - 64 years,,,23.5
2004,percentage (%),a) time series,male and female,60 - 64 years,,,25.3
2005,percentage (%),a) time series,male and female,60 - 64 years,,,28.2
2006,percentage (%),a) time series,male and female,60 - 64 years,,,29.7
2007,percentage (%),a) time series,male and female,60 - 64 years,,,32.9
2008,percentage (%),a) time series,male and female,60 - 64 years,,,35.1
2009,percentage (%),a) time series,male and female,60 - 64 years,,,38.6
2010,percentage (%),a) time series,male and female,60 - 64 years,,,41.1
2011,percentage (%),a) time series,male and female,60 - 64 years,,,44.3
2012,percentage (%),a) time series,male and female,60 - 64 years,,,46.6
2013,percentage (%),a) time series,male and female,60 - 64 years,,,50.0
2014,percentage (%),a) time series,male and female,60 - 64 years,,,52.6
2015,percentage (%),a) time series,male and female,60 - 64 years,,,53.3
2016,percentage (%),a) time series,male and female,60 - 64 years,,,56.0
2017,percentage (%),a) time series,male and female,60 - 64 years,,,58.4
2030,percentage (%),b) target (min),male and female,60 - 64 years,,,60.0
2000,percentage (%),a) time series,female,60 - 64 years,,,12.1
2001,percentage (%),a) time series,female,60 - 64 years,,,13.4
2002,percentage (%),a) time series,female,60 - 64 years,,,14.5
