Year,Units,display,criminal offences,Bundesland,GeoCode,Value
2016,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6306
2017,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5572
2018,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5412
2019,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5280
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,6123
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5729
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5676
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5763
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5823
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5611
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5508
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5459
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5551
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5730
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5547
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,6220
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5883
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5795
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5815
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5629
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5516
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5457
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5562
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5455
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5451
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5592
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5761
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5599
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5295
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5191
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,code08,5184
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5699
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5756
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5659
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5792
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5841
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5729
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5712
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5655
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5790
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5672
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5755
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5802
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5533
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5455
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5392
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5200
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5130
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5017
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5032
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5038
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5073
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,5164
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,6350
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,6871
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,4868
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,4889
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,code09,4615
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,16398
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,15961
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,16889
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,17333
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,17393
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,17432
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,17206
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,16849
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,17385
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,17758
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,17174
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,16500
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,15614
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,15240
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,15220
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,14796
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,15188
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,14526
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,15080
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,14892
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,14908
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,15873
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,16414
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,16161
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,14558
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,14160
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,code11,14086
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,12919
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,12974
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,12097
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,11742
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,11312
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,10872
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,9786
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,9925
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,9556
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,9511
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,9613
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,9407
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,8975
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,8816
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,9010
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,8365
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,8070
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,8267
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,8031
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,7955
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,8052
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,8004
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,7660
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,7479
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,7015
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,6902
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,code12,6841
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,16134
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14849
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14855
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14963
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14447
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,13343
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,13049
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14085
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14219
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14556
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14482
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,15418
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14716
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14546
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14638
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14452
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14239
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,13644
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,14277
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,13311
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,13059
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,12744
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,13784
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,13687
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,11960
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,10943
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,code04,11454
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,16920
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,15402
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,16735
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,16124
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,17664
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,16924
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,16854
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,17030
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,19007
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,15993
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,16144
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,15529
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,14583
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,14051
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,14027
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13888
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13932
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13240
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13418
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13245
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13724
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13743
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13839
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,13384
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,12480
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,11941
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,code02,11451
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,8363
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7940
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7776
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7710
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7628
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7452
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7136
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6988
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6801
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7104
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7535
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7671
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7329
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7099
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,7016
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6802
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6810
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6732
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6648
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6601
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6429
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6566
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6616
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6672
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,6046
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,5971
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,code06,5823
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,13812
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,11898
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,12060
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,11705
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,11666
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,11311
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,10500
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,10267
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,10447
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,10001
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,10863
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,10412
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,9402
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,9029
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,9016
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,8881
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,8425
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,7968
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,7953
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,7883
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,7529
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,7304
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,7333
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,7632
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,6850
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,6745
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,code13,6916
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,8597
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7710
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7788
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7516
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7424
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7286
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7018
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7206
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7219
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7727
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7523
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7437
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7618
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7657
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7717
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7516
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7549
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7473
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7099
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7167
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7015
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7095
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7263
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,7090
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,6621
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,6362
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,code03,6346
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7806
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7518
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7681
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7762
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7579
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7456
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7461
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7435
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7709
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8176
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8373
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8566
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8417
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8367
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8407
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8193
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8257
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8203
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8615
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8654
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8459
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8543
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8603
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,8225
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7677
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,7160
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,code05,6847
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6087
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6242
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6331
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6515
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6667
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6545
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6651
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6711
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6509
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6944
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,7102
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,7417
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,7345
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,7375
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,7130
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,7274
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,7044
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6989
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6878
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6703
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6702
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6623
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6818
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6775
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,code07,6191
