Year,Units,display,title,Bundesland,GeoCode,Value
2014,ha/d,a) time series,transport area,,,23.4
2015,ha/d,a) time series,transport area,,,9.8
2017,ha/d,a) time series,transport area,,,8.5
2018,ha/d,a) time series,transport area,,,16.0
2019,ha/d,a) time series,transport area,,,2.0
2020,ha/d,a) time series,transport area,,,6.0
1996,ha/d,a) time series,a) total (moving four-year average),,,119.6
1997,ha/d,a) time series,a) total (moving four-year average),,,120.7
1998,ha/d,a) time series,a) total (moving four-year average),,,123.5
1999,ha/d,a) time series,a) total (moving four-year average),,,126.3
2000,ha/d,a) time series,a) total (moving four-year average),,,129.1
2001,ha/d,a) time series,a) total (moving four-year average),,,128.3
2002,ha/d,a) time series,a) total (moving four-year average),,,123.1
2003,ha/d,a) time series,a) total (moving four-year average),,,115.1
2004,ha/d,a) time series,a) total (moving four-year average),,,115.1
2005,ha/d,a) time series,a) total (moving four-year average),,,114.3
2006,ha/d,a) time series,a) total (moving four-year average),,,113.3
2007,ha/d,a) time series,a) total (moving four-year average),,,112.8
2008,ha/d,a) time series,a) total (moving four-year average),,,103.8
2009,ha/d,a) time series,a) total (moving four-year average),,,93.9
2010,ha/d,a) time series,a) total (moving four-year average),,,86.6
2011,ha/d,a) time series,a) total (moving four-year average),,,80.9
2012,ha/d,a) time series,a) total (moving four-year average),,,74.4
2013,ha/d,a) time series,a) total (moving four-year average),,,72.6
2014,ha/d,a) time series,a) total (moving four-year average),,,69.2
2015,ha/d,a) time series,a) total (moving four-year average),,,66.1
2016,ha/d,a) time series,a) total (moving four-year average),,,61.5
2017,ha/d,a) time series,a) total (moving four-year average),,,57.7
2018,ha/d,a) time series,a) total (moving four-year average),,,56.4
2019,ha/d,a) time series,a) total (moving four-year average),,,52.0
2020,ha/d,a) time series,a) total (moving four-year average),,,54.0
2030,ha/d,b) target (max),a) total (moving four-year average),,,30.0
1996,ha/d,a) time series,a) total (moving four-year average),bw,code08,10.2
2000,ha/d,a) time series,a) total (moving four-year average),bw,code08,12.0
2004,ha/d,a) time series,a) total (moving four-year average),bw,code08,10.4
2005,ha/d,a) time series,a) total (moving four-year average),bw,code08,9.6
2006,ha/d,a) time series,a) total (moving four-year average),bw,code08,9.3
2007,ha/d,a) time series,a) total (moving four-year average),bw,code08,9.3
2008,ha/d,a) time series,a) total (moving four-year average),bw,code08,9.2
2009,ha/d,a) time series,a) total (moving four-year average),bw,code08,8.7
2010,ha/d,a) time series,a) total (moving four-year average),bw,code08,8.1
2011,ha/d,a) time series,a) total (moving four-year average),bw,code08,7.1
2012,ha/d,a) time series,a) total (moving four-year average),bw,code08,6.7
2013,ha/d,a) time series,a) total (moving four-year average),bw,code08,6.2
2014,ha/d,a) time series,a) total (moving four-year average),bw,code08,5.9
2015,ha/d,a) time series,a) total (moving four-year average),bw,code08,5.6
2019,ha/d,a) time series,a) total (moving four-year average),bw,code08,5.2
2020,ha/d,a) time series,a) total (moving four-year average),bw,code08,5.6
1996,ha/d,a) time series,a) total (moving four-year average),by,code09,27.4
2000,ha/d,a) time series,a) total (moving four-year average),by,code09,28.4
2004,ha/d,a) time series,a) total (moving four-year average),by,code09,18.0
2005,ha/d,a) time series,a) total (moving four-year average),by,code09,16.5
2006,ha/d,a) time series,a) total (moving four-year average),by,code09,17.2
2007,ha/d,a) time series,a) total (moving four-year average),by,code09,16.9
2008,ha/d,a) time series,a) total (moving four-year average),by,code09,17.2
2009,ha/d,a) time series,a) total (moving four-year average),by,code09,17.4
2010,ha/d,a) time series,a) total (moving four-year average),by,code09,17.4
2011,ha/d,a) time series,a) total (moving four-year average),by,code09,17.9
2012,ha/d,a) time series,a) total (moving four-year average),by,code09,18.0
2013,ha/d,a) time series,a) total (moving four-year average),by,code09,18.5
2015,ha/d,a) time series,a) total (moving four-year average),by,code09,12.1
2018,ha/d,a) time series,a) total (moving four-year average),by,code09,11.1
2019,ha/d,a) time series,a) total (moving four-year average),by,code09,10.6
2020,ha/d,a) time series,a) total (moving four-year average),by,code09,11.0
1996,ha/d,a) time series,a) total (moving four-year average),be,code11,-0.7
2000,ha/d,a) time series,a) total (moving four-year average),be,code11,1.4
2004,ha/d,a) time series,a) total (moving four-year average),be,code11,0.3
2005,ha/d,a) time series,a) total (moving four-year average),be,code11,0.3
2006,ha/d,a) time series,a) total (moving four-year average),be,code11,0.2
2007,ha/d,a) time series,a) total (moving four-year average),be,code11,0.3
2008,ha/d,a) time series,a) total (moving four-year average),be,code11,0.3
2009,ha/d,a) time series,a) total (moving four-year average),be,code11,0.3
2010,ha/d,a) time series,a) total (moving four-year average),be,code11,0.4
2011,ha/d,a) time series,a) total (moving four-year average),be,code11,0.3
2012,ha/d,a) time series,a) total (moving four-year average),be,code11,0.1
2013,ha/d,a) time series,a) total (moving four-year average),be,code11,0.0
2014,ha/d,a) time series,a) total (moving four-year average),be,code11,0.0
2015,ha/d,a) time series,a) total (moving four-year average),be,code11,-0.1
2016,ha/d,a) time series,a) total (moving four-year average),be,code11,0.1
2017,ha/d,a) time series,a) total (moving four-year average),be,code11,0.1
2018,ha/d,a) time series,a) total (moving four-year average),be,code11,0.2
2019,ha/d,a) time series,a) total (moving four-year average),be,code11,0.2
2020,ha/d,a) time series,a) total (moving four-year average),be,code11,0.1
1996,ha/d,a) time series,a) total (moving four-year average),bb,code12,6.9
2000,ha/d,a) time series,a) total (moving four-year average),bb,code12,9.3
2004,ha/d,a) time series,a) total (moving four-year average),bb,code12,8.2
2005,ha/d,a) time series,a) total (moving four-year average),bb,code12,8.6
2006,ha/d,a) time series,a) total (moving four-year average),bb,code12,8.7
2007,ha/d,a) time series,a) total (moving four-year average),bb,code12,8.3
2008,ha/d,a) time series,a) total (moving four-year average),bb,code12,9.5
2009,ha/d,a) time series,a) total (moving four-year average),bb,code12,8.4
2010,ha/d,a) time series,a) total (moving four-year average),bb,code12,7.5
2011,ha/d,a) time series,a) total (moving four-year average),bb,code12,6.6
2012,ha/d,a) time series,a) total (moving four-year average),bb,code12,4.6
2013,ha/d,a) time series,a) total (moving four-year average),bb,code12,5.7
2014,ha/d,a) time series,a) total (moving four-year average),bb,code12,5.2
2015,ha/d,a) time series,a) total (moving four-year average),bb,code12,4.9
2016,ha/d,a) time series,a) total (moving four-year average),bb,code12,4.7
2017,ha/d,a) time series,a) total (moving four-year average),bb,code12,2.1
2018,ha/d,a) time series,a) total (moving four-year average),bb,code12,1.7
2019,ha/d,a) time series,a) total (moving four-year average),bb,code12,1.4
2020,ha/d,a) time series,a) total (moving four-year average),bb,code12,2.6
1996,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.1
2000,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.5
2004,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.2
2005,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.1
2006,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.1
2007,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.2
2008,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.2
2009,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.2
2010,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.2
2011,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.2
2012,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.3
2013,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.3
2014,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.2
2015,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.2
2016,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.1
2017,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.1
2018,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.1
2019,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.1
2020,ha/d,a) time series,a) total (moving four-year average),hb,code04,0.0
1996,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.4
2000,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.2
2004,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.8
2005,ha/d,a) time series,a) total (moving four-year average),hh,code02,1.0
2006,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.9
2007,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.8
2008,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.5
2009,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.3
2010,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.2
2011,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.1
2012,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.2
2013,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.2
2014,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.0
2015,ha/d,a) time series,a) total (moving four-year average),hh,code02,-0.2
2016,ha/d,a) time series,a) total (moving four-year average),hh,code02,-0.5
2017,ha/d,a) time series,a) total (moving four-year average),hh,code02,-0.6
2018,ha/d,a) time series,a) total (moving four-year average),hh,code02,-0.4
2019,ha/d,a) time series,a) total (moving four-year average),hh,code02,-0.2
2020,ha/d,a) time series,a) total (moving four-year average),hh,code02,0.0
1996,ha/d,a) time series,a) total (moving four-year average),he,code06,4.5
2000,ha/d,a) time series,a) total (moving four-year average),he,code06,4.9
2004,ha/d,a) time series,a) total (moving four-year average),he,code06,3.9
2005,ha/d,a) time series,a) total (moving four-year average),he,code06,4.2
2006,ha/d,a) time series,a) total (moving four-year average),he,code06,3.8
2007,ha/d,a) time series,a) total (moving four-year average),he,code06,3.9
2008,ha/d,a) time series,a) total (moving four-year average),he,code06,3.6
2009,ha/d,a) time series,a) total (moving four-year average),he,code06,3.6
2010,ha/d,a) time series,a) total (moving four-year average),he,code06,3.6
2011,ha/d,a) time series,a) total (moving four-year average),he,code06,2.9
2012,ha/d,a) time series,a) total (moving four-year average),he,code06,3.1
2013,ha/d,a) time series,a) total (moving four-year average),he,code06,2.7
2014,ha/d,a) time series,a) total (moving four-year average),he,code06,2.7
2015,ha/d,a) time series,a) total (moving four-year average),he,code06,3.0
1996,ha/d,a) time series,a) total (moving four-year average),mv,code13,6.0
2000,ha/d,a) time series,a) total (moving four-year average),mv,code13,7.6
2004,ha/d,a) time series,a) total (moving four-year average),mv,code13,8.7
2005,ha/d,a) time series,a) total (moving four-year average),mv,code13,8.6
2006,ha/d,a) time series,a) total (moving four-year average),mv,code13,7.7
2007,ha/d,a) time series,a) total (moving four-year average),mv,code13,7.2
2008,ha/d,a) time series,a) total (moving four-year average),mv,code13,7.8
2009,ha/d,a) time series,a) total (moving four-year average),mv,code13,8.1
2010,ha/d,a) time series,a) total (moving four-year average),mv,code13,8.0
2011,ha/d,a) time series,a) total (moving four-year average),mv,code13,7.0
2012,ha/d,a) time series,a) total (moving four-year average),mv,code13,5.1
2013,ha/d,a) time series,a) total (moving four-year average),mv,code13,3.8
2014,ha/d,a) time series,a) total (moving four-year average),mv,code13,2.5
2015,ha/d,a) time series,a) total (moving four-year average),mv,code13,3.1
2016,ha/d,a) time series,a) total (moving four-year average),mv,code13,6.8
2017,ha/d,a) time series,a) total (moving four-year average),mv,code13,4.2
2018,ha/d,a) time series,a) total (moving four-year average),mv,code13,3.9
2019,ha/d,a) time series,a) total (moving four-year average),mv,code13,2.5
2020,ha/d,a) time series,a) total (moving four-year average),mv,code13,-1.7
1996,ha/d,a) time series,a) total (moving four-year average),ni,code03,15.9
2000,ha/d,a) time series,a) total (moving four-year average),ni,code03,16.4
2004,ha/d,a) time series,a) total (moving four-year average),ni,code03,14.4
2005,ha/d,a) time series,a) total (moving four-year average),ni,code03,14.2
2006,ha/d,a) time series,a) total (moving four-year average),ni,code03,14.1
2007,ha/d,a) time series,a) total (moving four-year average),ni,code03,13.5
2008,ha/d,a) time series,a) total (moving four-year average),ni,code03,11.6
2009,ha/d,a) time series,a) total (moving four-year average),ni,code03,10.3
2010,ha/d,a) time series,a) total (moving four-year average),ni,code03,9.4
2011,ha/d,a) time series,a) total (moving four-year average),ni,code03,10.6
2012,ha/d,a) time series,a) total (moving four-year average),ni,code03,10.3
2013,ha/d,a) time series,a) total (moving four-year average),ni,code03,10.5
2014,ha/d,a) time series,a) total (moving four-year average),ni,code03,11.1
2015,ha/d,a) time series,a) total (moving four-year average),ni,code03,9.7
2016,ha/d,a) time series,a) total (moving four-year average),ni,code03,7.5
2017,ha/d,a) time series,a) total (moving four-year average),ni,code03,6.8
2018,ha/d,a) time series,a) total (moving four-year average),ni,code03,6.0
2019,ha/d,a) time series,a) total (moving four-year average),ni,code03,5.1
2020,ha/d,a) time series,a) total (moving four-year average),ni,code03,6.6
1996,ha/d,a) time series,a) total (moving four-year average),nw,code05,15.8
2000,ha/d,a) time series,a) total (moving four-year average),nw,code05,16.5
2004,ha/d,a) time series,a) total (moving four-year average),nw,code05,15.2
2005,ha/d,a) time series,a) total (moving four-year average),nw,code05,14.5
2006,ha/d,a) time series,a) total (moving four-year average),nw,code05,14.1
2007,ha/d,a) time series,a) total (moving four-year average),nw,code05,15.4
2008,ha/d,a) time series,a) total (moving four-year average),nw,code05,14.2
2009,ha/d,a) time series,a) total (moving four-year average),nw,code05,13.2
2010,ha/d,a) time series,a) total (moving four-year average),nw,code05,12.5
2011,ha/d,a) time series,a) total (moving four-year average),nw,code05,11.4
2012,ha/d,a) time series,a) total (moving four-year average),nw,code05,10.3
2013,ha/d,a) time series,a) total (moving four-year average),nw,code05,10.3
2014,ha/d,a) time series,a) total (moving four-year average),nw,code05,9.7
2015,ha/d,a) time series,a) total (moving four-year average),nw,code05,9.5
1996,ha/d,a) time series,a) total (moving four-year average),rp,code07,5.0
2000,ha/d,a) time series,a) total (moving four-year average),rp,code07,5.4
2004,ha/d,a) time series,a) total (moving four-year average),rp,code07,5.8
2005,ha/d,a) time series,a) total (moving four-year average),rp,code07,6.5
2006,ha/d,a) time series,a) total (moving four-year average),rp,code07,6.6
2007,ha/d,a) time series,a) total (moving four-year average),rp,code07,6.6
2008,ha/d,a) time series,a) total (moving four-year average),rp,code07,5.4
2009,ha/d,a) time series,a) total (moving four-year average),rp,code07,3.5
2010,ha/d,a) time series,a) total (moving four-year average),rp,code07,2.3
2011,ha/d,a) time series,a) total (moving four-year average),rp,code07,1.4
2012,ha/d,a) time series,a) total (moving four-year average),rp,code07,0.9
2013,ha/d,a) time series,a) total (moving four-year average),rp,code07,1.1
2014,ha/d,a) time series,a) total (moving four-year average),rp,code07,1.1
2015,ha/d,a) time series,a) total (moving four-year average),rp,code07,0.6
2016,ha/d,a) time series,a) total (moving four-year average),rp,code07,0.8
2017,ha/d,a) time series,a) total (moving four-year average),rp,code07,0.4
2018,ha/d,a) time series,a) total (moving four-year average),rp,code07,0.6
2019,ha/d,a) time series,a) total (moving four-year average),rp,code07,1.4
2020,ha/d,a) time series,a) total (moving four-year average),rp,code07,2.0
1996,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.6
2000,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.7
2004,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.7
2005,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.7
2006,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.7
2007,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.8
2008,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.6
2009,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.6
2010,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.7
2011,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.7
2012,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.6
2013,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.5
2014,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.4
2015,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.3
2016,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.9
2017,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.9
2018,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.8
2019,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.9
2020,ha/d,a) time series,a) total (moving four-year average),sl,code10,0.2
1996,ha/d,a) time series,a) total (moving four-year average),sn,code14,8.8
2000,ha/d,a) time series,a) total (moving four-year average),sn,code14,8.2
2004,ha/d,a) time series,a) total (moving four-year average),sn,code14,5.2
2005,ha/d,a) time series,a) total (moving four-year average),sn,code14,3.9
2006,ha/d,a) time series,a) total (moving four-year average),sn,code14,3.6
2007,ha/d,a) time series,a) total (moving four-year average),sn,code14,5.4
2008,ha/d,a) time series,a) total (moving four-year average),sn,code14,6.4
2009,ha/d,a) time series,a) total (moving four-year average),sn,code14,8.2
2010,ha/d,a) time series,a) total (moving four-year average),sn,code14,8.8
2011,ha/d,a) time series,a) total (moving four-year average),sn,code14,7.5
2012,ha/d,a) time series,a) total (moving four-year average),sn,code14,7.2
2013,ha/d,a) time series,a) total (moving four-year average),sn,code14,5.4
2020,ha/d,a) time series,a) total (moving four-year average),sn,code14,5.2
1996,ha/d,a) time series,a) total (moving four-year average),st,code15,9.2
2000,ha/d,a) time series,a) total (moving four-year average),st,code15,9.9
2004,ha/d,a) time series,a) total (moving four-year average),st,code15,12.8
2005,ha/d,a) time series,a) total (moving four-year average),st,code15,16.2
2006,ha/d,a) time series,a) total (moving four-year average),st,code15,18.1
2007,ha/d,a) time series,a) total (moving four-year average),st,code15,16.1
2008,ha/d,a) time series,a) total (moving four-year average),st,code15,10.0
2009,ha/d,a) time series,a) total (moving four-year average),st,code15,3.9
2010,ha/d,a) time series,a) total (moving four-year average),st,code15,0.5
2011,ha/d,a) time series,a) total (moving four-year average),st,code15,0.2
2012,ha/d,a) time series,a) total (moving four-year average),st,code15,-0.6
2013,ha/d,a) time series,a) total (moving four-year average),st,code15,-0.6
2014,ha/d,a) time series,a) total (moving four-year average),st,code15,0.2
2015,ha/d,a) time series,a) total (moving four-year average),st,code15,0.5
2016,ha/d,a) time series,a) total (moving four-year average),st,code15,1.0
2017,ha/d,a) time series,a) total (moving four-year average),st,code15,1.1
2018,ha/d,a) time series,a) total (moving four-year average),st,code15,0.7
2019,ha/d,a) time series,a) total (moving four-year average),st,code15,1.0
2020,ha/d,a) time series,a) total (moving four-year average),st,code15,0.7
1996,ha/d,a) time series,a) total (moving four-year average),sh,code01,3.3
2000,ha/d,a) time series,a) total (moving four-year average),sh,code01,4.1
2004,ha/d,a) time series,a) total (moving four-year average),sh,code01,8.4
2008,ha/d,a) time series,a) total (moving four-year average),sh,code01,5.4
2009,ha/d,a) time series,a) total (moving four-year average),sh,code01,5.1
2010,ha/d,a) time series,a) total (moving four-year average),sh,code01,4.2
2011,ha/d,a) time series,a) total (moving four-year average),sh,code01,3.6
2012,ha/d,a) time series,a) total (moving four-year average),sh,code01,3.4
2013,ha/d,a) time series,a) total (moving four-year average),sh,code01,3.2
2014,ha/d,a) time series,a) total (moving four-year average),sh,code01,3.2
2015,ha/d,a) time series,a) total (moving four-year average),sh,code01,2.7
2016,ha/d,a) time series,a) total (moving four-year average),sh,code01,2.3
2017,ha/d,a) time series,a) total (moving four-year average),sh,code01,2.5
2018,ha/d,a) time series,a) total (moving four-year average),sh,code01,2.6
2019,ha/d,a) time series,a) total (moving four-year average),sh,code01,2.3
2020,ha/d,a) time series,a) total (moving four-year average),sh,code01,3.5
1996,ha/d,a) time series,a) total (moving four-year average),th,code16,6.1
2000,ha/d,a) time series,a) total (moving four-year average),th,code16,3.6
2004,ha/d,a) time series,a) total (moving four-year average),th,code16,2.2
2005,ha/d,a) time series,a) total (moving four-year average),th,code16,2.0
2006,ha/d,a) time series,a) total (moving four-year average),th,code16,1.4
2007,ha/d,a) time series,a) total (moving four-year average),th,code16,1.6
2008,ha/d,a) time series,a) total (moving four-year average),th,code16,1.9
2009,ha/d,a) time series,a) total (moving four-year average),th,code16,2.2
2010,ha/d,a) time series,a) total (moving four-year average),th,code16,2.7
2011,ha/d,a) time series,a) total (moving four-year average),th,code16,3.5
2012,ha/d,a) time series,a) total (moving four-year average),th,code16,4.2
2013,ha/d,a) time series,a) total (moving four-year average),th,code16,4.2
2014,ha/d,a) time series,a) total (moving four-year average),th,code16,5.3
2015,ha/d,a) time series,a) total (moving four-year average),th,code16,4.7
2016,ha/d,a) time series,a) total (moving four-year average),th,code16,5.5
